site,Genus,Species,Family,Genus_species,dry.mg,leafarea(m2),d13c,C(%),d15N,N(%),SLA,LMA_g_m2,Narea_g_m2,ci_ca,Nfixer,leafless,longitude (deg),latitude (deg),elevation (m),growing degree days,moisture index,PET (mm),AET (mm),MAT (C),MAP (mm),mean vapor pressure deficit (kPa)
NTABRT0006,Rhagodia,eremaea,Rhagodidae,Rhagodia eremaea,412.96,9.31021e-4,-27.82,40.7605426,4.45,3.133993115,0.002254506,443.556201,13.90101918,0.694428465,No,1,133.613,-22.289,548.082,22.544,0.157,2162.55,457.965,22.575,339.973,2.109
NTABRT0006,Goodenia,heterochila,Goodeniaceae,Goodenia heterochila,155.4,0.001458991,-29,45.11071341,1.07,3.300608553,0.009388617,106.5119656,3.515542867,0.760553212,No,1,133.613,-22.289,548.082,22.544,0.157,2162.55,457.965,22.575,339.973,2.109
NTABRT0006,Cucumis,argenteus,Cucurbitaceae,Cucumis argenteus,270.45,0.003507129,-27.1,40.66491815,2.44,3.292758007,0.012967754,77.11435801,2.539189136,0.676383041,No,1,133.613,-22.289,548.082,22.544,0.157,2162.55,457.965,22.575,339.973,2.109
NTABRT0006,Acacia,aptaneura,Fabaceae,Acacia aptaneura,828.67,0.002218376,-28.62,49.91164574,-0.38,2.136251075,0.002677032,373.5480676,7.979923568,0.743808141,yes,1,133.613,-22.289,548.082,22.544,0.157,2162.55,457.965,22.575,339.973,2.109
NTABRT0006,Sclerolaena,convexula,Amaranthaceae,Sclerolaena convexula,158.75,0.00101942,-29.53,36.15923139,4.37,3.083378703,0.006421541,155.725863,4.801618028,0.770727423,No,1,133.613,-22.289,548.082,22.544,0.157,2162.55,457.965,22.575,339.973,2.109
NTABRT0006,Senna,artemisioides,Fabaceae,Senna artemisioides subsp. artemisioides,722.29,0.002723332,-29.21,48.5554029,3.06,2.291318102,0.003770414,265.2228665,6.077099496,0.771834529,yes,1,133.613,-22.289,548.082,22.544,0.157,2162.55,457.965,22.575,339.973,2.109
NTABRT0006,Solanum,quadriloculatum,Solanaceae,Solanum quadriloculatum,447.26,0.003070705,-31.15,41.46084629,2.28,2.749205807,0.006865593,145.6538497,4.00432389,0.858178769,No,1,133.613,-22.289,548.082,22.544,0.157,2162.55,457.965,22.575,339.973,2.109
NTADAC0001,Ehretia,NA,Boraginaceae,Ehretia,1440.52,0.008218097,-30.9,44.46285283,8.26,1.747613208,0.005704951,175.2863322,3.063327289,0.850892581,No,1,130.778,-13.158,212.453,26.517,0.817,2113.543,1247.719,26.524,1726.128,1.41
NTADAC0001,Acacia,dimidata,Fabaceae,Acacia dimidata,1321.45,0.007880904,-31.4,52.11150146,-1.32,1.30986076,0.005963831,167.6774549,2.196341177,0.874273424,yes,1,130.778,-13.158,212.453,26.517,0.817,2113.543,1247.719,26.524,1726.128,1.41
NTADAC0001,Stenocarpus,cunninghamii,Proteaceae,Stenocarpus cunninghamii,596.72,0.002778279,-31.94,47.4282611,1.36,0.652555265,0.004655917,214.7804661,1.401561207,0.899551864,No,1,130.778,-13.158,212.453,26.517,0.817,2113.543,1247.719,26.524,1726.128,1.41
NTADAC0001,Persoonia,falcata,Proteaceae,Perssonia falcata,1311.63,0.006164689,-33.15,47.59559802,4.02,1.060579077,0.004700021,212.7649896,2.256541145,0.956296815,No,1,130.778,-13.158,212.453,26.517,0.817,2113.543,1247.719,26.524,1726.128,1.41
NTADAC0001,Livistona,humilis,Arecaceae,Livistona humilis,1868.73,0.012622815,-30.35,46.99459843,-1.24,1.238878937,0.006754756,148.0438372,1.834083921,0.824675867,No,1,130.778,-13.158,212.453,26.517,0.817,2113.543,1247.719,26.524,1726.128,1.41
NTADAC0001,Buchanania,obovata,Anacardiaceae,Buchanania obovata,2006.52,0.01178248,-28.6,46.07733782,-1.33,0.882979832,0.005872097,170.2969082,1.503687408,0.745344205,No,1,130.778,-13.158,212.453,26.517,0.817,2113.543,1247.719,26.524,1726.128,1.41
NTADAC0001,Alphitonia,excelsa,Rhamnaceae,Alphitonia excelsa,981.47,0.005678638,-30.27,39.57876697,-1.4,0.899143091,0.00578585,172.8354486,1.554038026,0.819720101,No,1,130.778,-13.158,212.453,26.517,0.817,2113.543,1247.719,26.524,1726.128,1.41
NTADAC0001,Grevillea,decurrens,Proteaceae,Grevillea decurrens,1414.22,0.010519759,-30.04,48.99242249,2.49,0.744405451,0.007438559,134.4346324,1.000738787,0.810972382,No,1,130.778,-13.158,212.453,26.517,0.817,2113.543,1247.719,26.524,1726.128,1.41
NTADAC0001,Eucalyptus,tetrodonta,Myrtaceae,Eucalyptus tetrodonta,1222.69,0.005328068,-30.62,50.11549781,-2.6,0.83480597,0.004357661,229.4809264,1.915720314,0.837192447,No,1,130.778,-13.158,212.453,26.517,0.817,2113.543,1247.719,26.524,1726.128,1.41
NTADAC0001,Parinari,nonda,Chrysobalanaceae,Parinaria nonda,582.48,0.004702837,-31.91,47.28973344,-3.18,1.504781684,0.008073818,123.8571412,1.863779545,0.896692476,No,1,130.778,-13.158,212.453,26.517,0.817,2113.543,1247.719,26.524,1726.128,1.41
NTADAC0001,Stenocarpus,acacioides,Proteaceae,Stenocarpus acacioides,1229.36,0.007642708,-30.46,47.79349033,3.68,1.095779438,0.006216818,160.8539866,1.762604982,0.831872667,No,1,130.778,-13.158,212.453,26.517,0.817,2113.543,1247.719,26.524,1726.128,1.41
NTADAC0001,Acacia,oncinocarpa,Fabaceae,Acacia oncinocarpa,515.54,0.003821529,-30.94,50.83276325,-1.18,2.600959364,0.007412673,134.9041008,3.508800893,0.852243588,yes,1,130.778,-13.158,212.453,26.517,0.817,2113.543,1247.719,26.524,1726.128,1.41
NTADAC0001,Denhamia,obscura,Celastraceae,Denhamia obscura,947.2,0.007243801,-31.42,48.69762747,-2.96,1.147166524,0.007647594,130.7600759,1.50003586,0.874679212,No,1,130.778,-13.158,212.453,26.517,0.817,2113.543,1247.719,26.524,1726.128,1.41
NTADAC0001,Corymbia,polysciada,Myrtaceae,Corymbia polysciada,1572.97,0.01100001,-29.86,48.23679691,-2.97,0.975971954,0.006993147,142.9971406,1.395611953,0.803943443,No,1,130.778,-13.158,212.453,26.517,0.817,2113.543,1247.719,26.524,1726.128,1.41
NTADAC0001,Eucalyptus,miniata,Myrtaceae,Eucalyptus miniata,1086.53,0.005255392,-30.81,51.21891262,-3.02,0.846736246,0.004836858,206.7457697,1.750591491,0.845666833,No,1,130.778,-13.158,212.453,26.517,0.817,2113.543,1247.719,26.524,1726.128,1.41
NTADAC0001,Grevillea,decurrens/ heliosperma,Proteaceae,Grevillea decurrens,949.37,0.005977574,-29.04,50.4926113,2.25,0.801888704,0.006296359,158.8219466,1.273575258,0.765878304,No,1,130.778,-13.158,212.453,26.517,0.817,2113.543,1247.719,26.524,1726.128,1.41
NTADAC0001,Petalostigma,quadriloculare,Picrodendraceae,Petalostigma quadriloculare,674.93,0.005440528,-29.85,49.39642953,-2.94,0.494883389,0.008060877,124.0559835,0.613932441,0.801039898,No,1,130.778,-13.158,212.453,26.517,0.817,2113.543,1247.719,26.524,1726.128,1.41
NTADAC0001,Pandanus,spiralis,Pandanaceae,Pandanus spiralis,1198.3,0.005081992,-30.4,20.95348037,-1.93,0.314963551,0.004241002,235.7933599,0.742663057,0.827535851,No,1,130.778,-13.158,212.453,26.517,0.817,2113.543,1247.719,26.524,1726.128,1.41
NTADAC0001,Fabaceae,sp.,Fabaceae,Fabaceae sp.,638.9,0.007014846,-31.42,48.23107167,-2.92,1.270137372,0.010979568,91.07826642,1.156819077,0.87520916,yes,1,130.778,-13.158,212.453,26.517,0.817,2113.543,1247.719,26.524,1726.128,1.41
NTAFIN0019,Eremophila,freelingii,Scrophulariaceae,Eremophila freelingii,166.35,8.94421e-4,-30.29,49.78487409,4.14,1.061575955,0.005376741,185.9862814,1.974385515,0.822400603,No,1,132.936,-24.358,465.576,21.808,0.13,2091.912,403.99,21.843,272.279,2.062
NTAFIN0019,Dodonaea,viscosa,Sapindaceae,Dodonaea viscosa subsp. angustissima,222.17,9.50113e-4,-29.66,50.73722121,7.78,1.445223035,0.004276513,233.8353805,3.379442632,0.777147614,No,1,132.936,-24.358,465.576,21.808,0.13,2091.912,403.99,21.843,272.279,2.062
NTAFIN0019,Senna,artemisioides,Fabaceae,Senna artemisioides subsp. filifolia,325.25,0.001070667,-29,52.9204335,6.66,1.079895567,0.003291827,303.7827022,3.280535602,0.764358884,yes,1,132.936,-24.358,465.576,21.808,0.13,2091.912,403.99,21.843,272.279,2.062
NTAFIN0019,Amyema,preissii,Loranthaceae,Amyema preissii,208.97,3.6815e-4,-31.12,42.76230009,3.4,0.795619946,0.001761734,567.6224466,4.516118472,0.857809631,No,1,132.936,-24.358,465.576,21.808,0.13,2091.912,403.99,21.843,272.279,2.062
NTAFIN0019,Sida,cunninghamii,Malvaceae,Sida cunninghamii,142.04,4.77204e-4,-28.02,44.10507194,10.45,3.664957734,0.006719286,148.8253444,5.45438568,0.716837289,No,1,132.936,-24.358,465.576,21.808,0.13,2091.912,403.99,21.843,272.279,2.062
NTAFIN0019,Eremophila,sturtii,Myoporaceae,Eremophila sturtii,234.47,0.001044548,-28.18,49.86321561,10.57,1.294711896,0.004454934,224.4702045,2.906242598,0.725049706,No,1,132.936,-24.358,465.576,21.808,0.13,2091.912,403.99,21.843,272.279,2.062
NTAFIN0019,Acacia aneura,aneura,Fabaceae,Acacia aptaneura,392.61,9.21944e-4,-29.16,26.8387073,10.87,0.779962142,0.002348244,425.8500652,3.321469754,0.767475171,yes,1,132.936,-24.358,465.576,21.808,0.13,2091.912,403.99,21.843,272.279,2.062
NTAFIN0019,Acacia,victoriae,Fabaceae,Acacia victoriae,178.28,0.0010207390000000001,-26.9,50.45488176,-2.15,2.246809966,0.005725481,174.6578079,3.924229189,0.664596014,yes,1,132.936,-24.358,465.576,21.808,0.13,2091.912,403.99,21.843,272.279,2.062
NTAFIN0019,Atalaya,hemiglauca,Sapindaceae,Atalaya hemiglauca,424.13,0.002988902,-26.77,49.13050676,7.16,1.815329392,0.007047136,141.9016126,2.575981778,0.659396419,No,1,132.936,-24.358,465.576,21.808,0.13,2091.912,403.99,21.843,272.279,2.062
NTAFIN0019,Acacia,estrophiolata,Fabaceae,Acacia estrophiolata,494.43,0.002564178,-27.58,53.40520968,0.12,2.292726613,0.00518613,192.8219985,4.420881492,0.695914779,yes,1,132.936,-24.358,465.576,21.808,0.13,2091.912,403.99,21.843,272.279,2.062
NTAFIN0019,Senna,artemisioides,Fabaceae,Senna artemisioides ssp. Filifolia,238.77,6.76456e-4,-27.21,51.22858377,10.23,1.360025043,0.002833087,352.9718837,4.800505749,0.679534503,yes,1,132.936,-24.358,465.576,21.808,0.13,2091.912,403.99,21.843,272.279,2.062
NTAFIN0019,Senna,artemisioides,Fabaceae,Senna artemisioides ssp. petiolaris,251.41,7.66275e-4,-27.71,49.85891412,6.49,1.22700691,0.003047908,328.0938623,4.025734733,0.702390413,yes,1,132.936,-24.358,465.576,21.808,0.13,2091.912,403.99,21.843,272.279,2.062
NTAFIN0019,Dipteracanthus,australasicus,Acanthaceae,Dipteracanthus australasicus,85.21,5.94309e-4,-27.82,35.87648276,6.99,1.954811207,0.006974639,143.3766061,2.802741772,0.7084374,No,1,132.936,-24.358,465.576,21.808,0.13,2091.912,403.99,21.843,272.279,2.062
NTAFIN0019,Scaevola,sp. (poss. amblyanthera),Goodeniaceae,Scaevola sp.  (poss. amblyanthera),87.19,6.08748e-4,-28.94,45.21269355,9.88,2.211741936,0.006981858,143.2283596,3.167841477,0.760179855,No,1,132.936,-24.358,465.576,21.808,0.13,2091.912,403.99,21.843,272.279,2.062
NTAFIN0019,Acacia,murrayana,Fabaceae,Acacia murrayana,381.65,0.001843508,-27.12,52.04835327,-3.1,2.323793008,0.004830364,207.0237344,4.810803095,0.67491102,yes,1,132.936,-24.358,465.576,21.808,0.13,2091.912,403.99,21.843,272.279,2.062
NTAFIN0022,Ptilotus,obovatus,Amaranthaceae,Ptilotus obovatus,167.37,0.001285434,-28.23,43.60305556,9.32,2.303333333,0.007680192,130.2050793,2.999056968,0.725404653,No,1,133.452,-24.631,416.855,21.71,0.117,2086.261,402.383,21.744,244.947,2.054
NTAFIN0022,Rhagodia,eremaea,Rhagodidae,Rhagodia eremaea,181.15,9.28956e-4,-27.13,40.73385643,14.19,3.235359766,0.005128103,195.0038755,6.309077189,0.675169129,No,1,133.452,-24.631,416.855,21.71,0.117,2086.261,402.383,21.744,244.947,2.054
NTAFIN0022,Senna,artemisioides,Fabaceae,Senna artemisioides subsp. alicia,1304.58,0.005210655,-26.9,50.87258768,4.46,0.990384834,0.003994124,250.3677792,2.479604624,0.665887017,yes,1,133.452,-24.631,416.855,21.71,0.117,2086.261,402.383,21.744,244.947,2.054
NTAFIN0022,Senna,artemisioides,Fabaceae,Senna artemisioides ssp. artemisioides,758.43,0.003087281,-28.03,52.44078589,10.95,1.5043287890000001,0.00407062,245.6627959,3.695576568,0.705656334,yes,1,133.452,-24.631,416.855,21.71,0.117,2086.261,402.383,21.744,244.947,2.054
NTAFIN0022,Eremophila,latrobei,Myoporaceae,Eremophila latrobei,516.33,0.001895508,-27.62,47.84011572,5.62,1.521490839,0.003671118,272.3966023,4.14448906,0.697101649,No,1,133.452,-24.631,416.855,21.71,0.117,2086.261,402.383,21.744,244.947,2.054
NTAFIN0022,Dodonaea,viscosa,Sapindaceae,Dodonaea viscosa ssp. angustissima,514.3,0.002335352,-26.52,49.7827907,3.37,1.068080426,0.004540836,220.2237559,2.352166927,0.648055396,No,1,133.452,-24.631,416.855,21.71,0.117,2086.261,402.383,21.744,244.947,2.054
NTAFIN0022,Amyema,maidenii,Loranthaceae,Amyema maidenii,863.32,0.002766937,-28.7,50.60285185,1.18,1.818635185,0.003204995,312.0129195,5.674377604,0.744647228,No,1,133.452,-24.631,416.855,21.71,0.117,2086.261,402.383,21.744,244.947,2.054
NTAFIN0022,Solanum,quadriloculatum,Solanaceae,Solanum quadriloculatum,545.43,0.002552722,-27.9,40.27529972,3.92,1.763100856,0.0046802,213.6660689,3.767148532,0.710293365,No,1,133.452,-24.631,416.855,21.71,0.117,2086.261,402.383,21.744,244.947,2.054
NTAFIN0022,Enchylaena,tomentosa,Amaranthaceae,Enchylaena tomentosa,159.03,7.18763e-4,-24.92,38.09319271,16.63,3.068863854,0.004519669,221.2551641,6.790019035,0.576104099,No,1,133.452,-24.631,416.855,21.71,0.117,2086.261,402.383,21.744,244.947,2.054
NTAFIN0022,Scaevola,spinescens,Goodeniaceae,Scaevola spinescens,355.51,0.001711864,-27.02,48.61261037,3.88,1.197196737,0.004815233,207.6742601,2.486269589,0.671057004,No,1,133.452,-24.631,416.855,21.71,0.117,2086.261,402.383,21.744,244.947,2.054
NTAFIN0022,Senna,artemisioides,Fabaceae,Senna artemisioides subsp. sturtii x coriacea,586.35,0.002191326,-27.35,52.21867249,6.36,1.324734498,0.003737231,267.5777618,3.544695252,0.683962797,yes,1,133.452,-24.631,416.855,21.71,0.117,2086.261,402.383,21.744,244.947,2.054
NTAFIN0022,Eremophila,freelingii,Myoporaceae,Eremophila freelingii,560.96,0.002684503,-25.56,50.05186555,13.68,1.315739496,0.004785551,208.9623502,2.749400217,0.604149143,No,1,133.452,-24.631,416.855,21.71,0.117,2086.261,402.383,21.744,244.947,2.054
NTAFIN0031,Acacia,aneura,Fabaceae,Acacia aneura,626.13,0.001246267,-26.11,51.32877645,5.63,1.697777369,0.001990429,502.4043034,8.529705752,0.626013996,yes,1,133.897,-25.9,444.664,21.09,0.112,2038.804,392.929,21.125,228.74,1.953
NTAFIN0031,Maireana,georgei,Amaranthaceae,Maireana georgei,469.41,0.001527007,-23.61,37.79415013,12.35,2.537831752,0.003253035,307.4052139,7.80142775,0.514004369,No,1,133.897,-25.9,444.664,21.09,0.112,2038.804,392.929,21.125,228.74,1.953
NTAFIN0031,Acacia,tetanophylla,Fabaceae,Acacia tetragonophylla,227.44,5.94524e-4,-25.38,49.16989843,8.96,1.386278855,0.002613982,382.5581274,5.303322115,0.594953892,yes,1,133.897,-25.9,444.664,21.09,0.112,2038.804,392.929,21.125,228.74,1.953
NTAFIN0031,Acacia,aptaneura,Fabaceae,Acacia aptaneura,697.04,0.001609592,-25.52,51.75777982,5.69,1.480566055,0.002309181,433.0538924,6.411650083,0.602206567,yes,1,133.897,-25.9,444.664,21.09,0.112,2038.804,392.929,21.125,228.74,1.953
NTAFIN0031,Senna,artemisioides,Fabaceae,Senna artemisioides subsp. x petiolaris,464.41,0.001420147,-27.15,52.20633826,5.5,2.030219212,0.00305796,327.0154201,6.639129393,0.674595644,yes,1,133.897,-25.9,444.664,21.09,0.112,2038.804,392.929,21.125,228.74,1.953
NTAFIN0031,Senna,artemisioides,Fabaceae,Senna artemisioides subsp. artemisioides,1015,0.003043676,-27.2,53.52346667,7.73,1.12873,0.002998696,333.4783048,3.764069449,0.677115746,yes,1,133.897,-25.9,444.664,21.09,0.112,2038.804,392.929,21.125,228.74,1.953
NTAFIN0031,Senna,artemisioides,Fabaceae,Senna artemisioides subsp. x coriacea,749.41,0.002694332,-25.24,54.20594175,3.47,1.37554466,0.003595271,278.1431533,3.825983243,0.589430471,yes,1,133.897,-25.9,444.664,21.09,0.112,2038.804,392.929,21.125,228.74,1.953
NTAFIN0031,Senna,artemisioides,Fabaceae,Senna artemisioides subsp. alicia,566.25,0.002389546,-25.54,50.62427027,5.35,1.425027027,0.004219948,236.9697317,3.376882907,0.604307207,yes,1,133.897,-25.9,444.664,21.09,0.112,2038.804,392.929,21.125,228.74,1.953
NTAFIN0031,Acacia,sibirica,Fabaceae,Acacia sibirica,968.62,0.002310689,-25.63,49.00360656,3.71,1.502304189,0.002385548,419.1909404,6.297522368,0.607218158,yes,1,133.897,-25.9,444.664,21.09,0.112,2038.804,392.929,21.125,228.74,1.953
NTAFIN0031,Ptilotus,obovatus,Amaranthaceae,Ptilotus obovatus,154.2,0.001156592,-28.65,41.8973556,10.48,3.063542419,0.007500597,133.3227154,4.084398107,0.742974507,No,1,133.897,-25.9,444.664,21.09,0.112,2038.804,392.929,21.125,228.74,1.953
NTAFIN0031,Enchylaena,tomentosa,Amaranthaceae,Enchylaena tomentosa,276.84,0.001242446,-27.21,37.29026523,11.43,3.072608055,0.004487957,222.8185565,6.846340228,0.677668284,No,1,133.897,-25.9,444.664,21.09,0.112,2038.804,392.929,21.125,228.74,1.953
NTAFIN0031,Maireana,triptera,Amaranthaceae,Maireana triptera,326.79,0.001179663,-23.46,35.25816964,12.91,2.557013393,0.003609851,277.0197241,7.083431956,0.50834851700000006,No,1,133.897,-25.9,444.664,21.09,0.112,2038.804,392.929,21.125,228.74,1.953
NTAFIN0031,Eremophila,latrobei,Myoporaceae,Eremophila latrobei var. latrobei,414.09,0.001078324,-26.98,46.2912605,10.1,1.744420168,0.00260408,384.0127532,6.698796381,0.65850227,No,1,133.897,-25.9,444.664,21.09,0.112,2038.804,392.929,21.125,228.74,1.953
NTAFIN0031,Sclerolaena,diacantha,Amaranthaceae,Sclerolaena diacantha,587.67,0.002229868,-25.2,37.22603068,9.18,1.713159156,0.003794423,263.5447012,4.514939837,0.586190434,No,1,133.897,-25.9,444.664,21.09,0.112,2038.804,392.929,21.125,228.74,1.953
NTAFIN0031,Eremophila,freelingii,Myoporaceae,Eremophila freelingii,873.59,0.002324118,-25.38,50.38933906,11.75,1.630978541,0.002660421,375.8802956,6.130527992,0.594491998,No,1,133.897,-25.9,444.664,21.09,0.112,2038.804,392.929,21.125,228.74,1.953
NTAFIN0031,Solanum,quadriloculatum,Solanaceae,Solanum quadriloculatum,606.38,0.003082599,-25.54,42.88427185,6.44,1.844354369,0.005083609,196.7106306,3.628041356,0.600060789,No,1,133.897,-25.9,444.664,21.09,0.112,2038.804,392.929,21.125,228.74,1.953
NTAFIN0033,Senecio,magnificus,Asteraceae,Senecio magnificus,132.95,0.001270134,-25.55,42.05772806,3.9,2.318554217,0.009553473,104.6739797,2.426922876,0.593555981,No,1,133.972,-24.034,577.032,20.794,0.144,2071.905,403.068,20.828,299.126,1.944
NTAFIN0033,Senna,artemisioides,Fabaceae,Senna artemisioides subsp. artemisioides,614.37,0.002061122,-28.75,51.59326781,5.26,1.156482392,0.003354854,298.0755443,3.447191419,0.750629264,yes,1,133.972,-24.034,577.032,20.794,0.144,2071.905,403.068,20.828,299.126,1.944
