genus_species,individual,Species.code,number,Site,Rainfall,Soil.nutrient,Group,Diamter_of_sapwood_for_mechanical_test (mm),Diameter_of_whole_stem_for_mechanical_test (mm),Estimated_bark_thickness (mm),Drymatter content (sapwood),Drymatter content (whole stem),"Fresh_density (Sapwood, g/cm3)","Dry_density (Sapwood, g/cm3)","Fresh_density (Whole stem, g/cm3)","Dry_wood_density (whole stem, g/cm3)","Youngs_modulus (sapwood, Mpa)","Bending_strength (sapwood, Mpa)","Youngs_modulus (whole stem, Mpa)","Bending_strength (whole stem, Mpa)","Youngs_modulus (bark, Mpa)"
Syncarpia glomulifera,SynGlo_2_at_HR-HN,SynGlo,2,"Westhead, Kuringai",high,high,HR-HN,4.69,6.85,1.409462,0.56492663,0.531878254,1.093947368,0.618,0.9988,0.53124,9547.03,111.80903,5571.39,76.86887,5029.626342
Syncarpia glomulifera,SynGlo_3_at_HR-HN,SynGlo,3,"Westhead, Kuringai",high,high,HR-HN,5.6,5.7,0.898954,0.568721872,0.510182208,1.083902439,0.616439024,1.036666667,0.528888889,11307.24,108.8269,5052.65,64.22054,3292.337405
Syncarpia glomulifera,SynGlo_4_at_HR-HN,SynGlo,4,"Westhead, Kuringai",high,high,HR-HN,5.24,6.14,1.0942788,0.589486673,0.521997207,1.095135135,0.645567568,1.168979592,0.610204082,11519.01,124.17237,3146.9,60.62834,1413.459216
Syncarpia glomulifera,SynGlo_5_at_HR-HN,SynGlo,5,"Westhead, Kuringai",high,high,HR-HN,4.37,6.5,1.25409,0.555179204,0.506400379,1.103913043,0.612869565,1.155753425,0.585273973,9808.29,89.35283,6351.17,89.65509,5777.87421
Acacia suaveolens,AcaSua_1_at_HR-LN,AcaSua,1,"Murrua, Kuringai",high,low,HR-LN,3.6,5.09,0.7251053,0.574644684,0.555015974,0.8795,0.5054,1.009677419,0.560387097,9754.82,87.01286,6738.67,63.0938,5670.788505
Acacia suaveolens,AcaSua_2_at_HR-LN,AcaSua,2,"Murrua, Kuringai",high,low,HR-LN,4.94,5.3,0.826781,0.6416105,0.627743804,0.972068966,0.623689655,0.9709375,0.6095,10006.81,91.21019,4077.28,52.42386,2365.030585
Acacia suaveolens,AcaSua_3_at_HR-LN,AcaSua,3,"Murrua, Kuringai",high,low,HR-LN,2.75,4.54,0.4588118,0.665497076,0.630899256,0.855,0.569,0.986,0.622066667,9437.38,82.82597,3659.22,50.37537,-278.3199455
Acacia suaveolens,AcaSua_4_at_HR-LN,AcaSua,4,"Murrua, Kuringai",high,low,HR-LN,4.87,4.1,0.245777,0.598942848,0.522260783,1.009,0.604333333,1.0085,0.5267,8113.19,64.4616,3246.8,37.83744,-4052.546822
Acacia suaveolens,AcaSua_5_at_HR-LN,AcaSua,5,"Murrua, Kuringai",high,low,HR-LN,3.71,4.79,0.5798543,0.629735525,0.631035754,0.999285714,0.629285714,1.043461538,0.658461538,5959.46,56.17739,2345.84,35.63482,566.5453955
Boronia ledifolia,BorLed_1_at_HR-LN,BorLed,1,"Murrua, Kuringai",high,low,HR-LN,3.13,3.94,0.194145,0.653420195,0.581899441,0.959375,0.626875,1.11875,0.651,15042.24,126.04691,6633.84,74.24511,-9712.833619
