ID,Species,Conifer,N-fixing,site,Site 2,site2,Gm,gm/mass,Rd,Rd/mass,Amax for Ci=250,Amax/mass,A/Ci-curve data,TPU/area,TPU/mass,Jmax/area,Jmax/mass,Jmax/TPU mass,average ETR,Last point lower ETR,Last/previous (Jmax),Last/previous (ETR),Jmax/Vcmax,Vcmax/mass,Average Vcmax,Modelled Cc-ci,Ci,Cc-modelled,Cc/Ci-modelled,Ci-Cc-modelled,AvGtc,av-CA,av A,Av-Ci,av Ci/CA,av-Cc,Cc/Ci,Ci-Cc,Cc/Ca,GE-LMA,dC13,dN15,N%,C%,P%,P/N,GE-N/area,GE-P/area,site_name,LfSize(cm2),SLA(cm/2),Narea,Parea,ChlAarea(umol m-2),ChlBarea,Chl(tot)area,carots_area,Chla/b,ChlAmass(mmol/kg),ChlBmass,Chl(tot)mass,carots_mass(umol/m2),SLAchl(cm2/g),SLAall,Thickness,Density,climate,plantID,who,spp,site_spp,abs400_700,absLCF,PRI,Rred/Rgreen,R400-700,transmission
25,Acacia suaveolens,NA,Y,hiRloP,hiRloP,HiR,0.061,0.342,-2.191,-0.012,6.99,0.039,NA,6.296,0.035,100.993,0.567,16.04,101.031,Y,0.983,0.914,2.514,0.226,40.178,NA,250,135.007,0.54,114.993,0.035,385.543,6.398,217.997,0.565,112.741,0.088,5.833,16.295,177.969,-29.4,-3.2,2.285,53.95,0.026,0.005,4.067,0.046,KCNP_Murrua_Track,3,54.1,4.23,0.05,518,224,743,320,2.31,3.01,1.3,4.32,1.86,58.1,54.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,Acacia suaveolens,NA,Y,hiRloP,hiRloP,HiR,0.071,0.456,-2.029,-0.013,8.23,0.053,NA,7.867,0.05,123.754,0.791,15.73,74.673,N,1.45,1.172,2.69,0.294,46.013,NA,250,134.699,0.539,115.301,0.04,371.975,3.457,284.811,0.766,236.373,0.221,2.692,19.303,156.416,-31.472,-2.4,1.94,52.8,0.032,0.007,3.034,0.05,KCNP_Basin_Track,2.3,67.9,2.86,0.05,505,194,699,230,2.6,3.18,1.22,4.4,1.45,62.9,67.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Angophora hispida,NA,NA,hiRloP,hiRloP,HiR,0.032,0.155,-1.363,-0.007,4.009,0.019,NA,3.053,0.015,76.371,0.368,25.012,107.728,N,1.11,1.073,3.092,0.119,24.703,NA,250,125.057,0.5,124.943,0.018,371.965,2.898,211.238,0.568,120.898,0.196,2.331,31.491,207.446,-26.546,2.05,0.66,52.5,0.032,0.022,1.369,0.066,KCNP_Murrua_Track,19.8,48.2,1.37,0.07,365,119,484,214,3.06,1.76,0.57,2.33,1.03,48.2,48.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Angophora hispida,NA,NA,hiRloP,hiRloP,HiR,0.063,0.497,-1.635,-0.013,5.058,0.04,NA,3.824,0.03,69.597,0.547,18.201,83.749,Y,1,0.955,2.821,0.194,24.67,NA,250,169.934,0.68,80.066,0.038,369.48,4.801,243.286,0.658,167.298,0.137,4.142,17.255,127.204,-28.2,4.55,0.6,54.2,0.04,0.03,0.763,0.051,KCNP_Murrua_Track,14.8,78.6,0.76,0.05,371,135,506,158,2.75,2.92,1.06,3.98,1.24,78.6,78.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Angophora hispida,NA,NA,hiRloP,hiRloP,HiR,0.08,0.396,-2.599,-0.013,8.156,0.04,NA,6.246,0.031,98.659,0.486,15.794,105.832,Y,0.985,0.93,2.255,0.216,43.742,NA,250,148.594,0.594,101.406,0.056,367.615,7.836,227.116,0.618,129.69,0.079,7.218,11.062,202.904,-28.011,-3.4,0.54,53.7,0.038,0.032,1.096,0.077,KCNP_Murrua_Track,26.7,56,0.96,0.07,219,95,314,165,2.3,1.08,0.47,1.55,0.81,49.3,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Angophora hispida,NA,NA,hiRloP,hiRloP,HiR,0.038,0.194,-2.6,-0.013,4.398,0.022,NA,3.349,0.017,68.067,0.346,20.326,107.973,Y,0.825,NA,2.403,0.144,28.325,NA,250,134.94,0.54,115.06,0.016,371.495,2.465,222.391,0.599,157.916,0.243,1.866,36.344,196.642,-27.302,-3.762,0.59,51.6,0.037,0.028,1.16,0.072,KCNP_Murrua_Track,20.1,49.6,1.19,0.07,330,108,438,171,3.04,1.68,0.55,2.23,0.87,50.9,49.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Banksia marginata,NA,NA,hiRloP,hiRloP,HiR,0.037,0.158,-1.559,-0.007,4.751,0.02,NA,3.877,0.017,57.442,0.246,14.815,59.791,Y,1.048,0.934,1.922,0.128,29.891,NA,250,120.942,0.484,129.058,0.023,388.723,2.899,263.29,0.677,184.547,0.234,2.221,29.284,233.474,-29.8,1.536,0.4,57.7,0.008,0.009,0.934,0.018,KCNP_Murrua_Track,2.7,42.9,0.93,0.02,425,132,557,231,3.23,1.78,0.55,2.33,0.97,41.8,42.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Banksia marginata,NA,NA,hiRloP,hiRloP,HiR,0.099,0.454,-0.977,-0.004,8.053,0.037,NA,5.002,0.023,83.451,0.382,16.683,86.215,Y,0.911,0.926,2.317,0.165,36.018,NA,250,168.906,0.676,81.094,0.054,383.187,7.712,238.888,0.623,161.229,0.081,7.089,11.518,218.548,-28.625,-2.57,0.468,51.15,0.015,0.014,1.024,0.032,KCNP_Murrua_Track,1.6,50.6,0.93,0.03,216,80,297,125,2.69,1.09,0.41,1.5,0.63,50.48,50.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Banksia marginata,NA,NA,hiRloP,hiRloP,HiR,0.056,0.232,-1.18,-0.005,7.238,0.03,NA,4.324,0.018,91.653,0.377,21.195,116.93,Y,0.875,0.944,2.176,0.173,42.128,NA,250,121.616,0.486,128.384,0.039,385.267,5.963,230.623,0.599,124.851,0.1,5.365,15.304,243.311,-29.126,-2.257,0.503,52.079,0.009,0.008,1.224,0.022,KCNP_Murrua_Track,2.1,42.2,1.19,0.02,504,161,665,234,3.13,2.05,0.65,2.7,0.95,40.6,42.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,Banksia marginata,NA,NA,hiRloP,hiRloP,HiR,0.033,0.161,-2.314,-0.011,3.672,0.018,NA,3.892,0.019,57.302,0.275,14.724,67.962,N,1.029,1.063,2.456,0.112,23.333,NA,250,140.135,0.561,109.865,0.112,370.45,3.599,338.371,0.913,230.698,0.254,2.685,8.135,208.218,-28.099,-0.292,0.393,51.847,0.012,0.014,0.819,0.026,KCNP_Murrua_Track,2.5,46.5,0.85,0.03,356,113,469,233,3.13,1.69,0.54,2.23,1.11,47.5,46.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Banksia oblongifolia,NA,NA,hiRloP,hiRloP,HiR,0.143,0.595,-2.176,-0.009,12.896,0.054,NA,7.581,0.032,140.109,0.583,18.481,126.363,Y,0.891,0.863,2.284,0.255,61.337,NA,250,159.87,0.639,90.13,0.076,380.443,11.656,226.726,0.598,145.263,0.051,11.058,7.884,240.342,-28.172,2.2,0.89,NA,0.021,0.011,2.139,0.051,KCNP_Murrua_Track,8,43.4,2.05,0.05,426,136,562,122,3.14,1.77,0.56,2.34,0.51,41.6,43.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,Banksia oblongifolia,NA,NA,hiRloP,hiRloP,HiR,0.112,0.401,-2.491,-0.009,12.62,0.045,NA,9.841,0.035,157.915,0.564,16.047,135.609,Y,0.972,0.991,2.325,0.242,67.915,NA,250,137.603,0.55,112.397,0.083,380.363,11.239,244.852,0.644,144.755,0.057,10.595,7.785,280.098,-29.34,-3.113,0.727,51.689,0.022,0.014,2.036,0.063,KCNP_Basin_Track,9.9,37.9,1.92,0.06,492,203,696,97,2.42,1.76,0.73,2.48,0.35,35.7,37.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,Banksia oblongifolia,NA,NA,hiRloP,hiRloP,HiR,0.075,0.269,-1.212,-0.004,9.989,0.036,NA,4.707,0.017,109.525,0.395,23.266,119.865,Y,0.951,0.912,1.852,0.213,59.151,NA,250,116.008,0.464,133.992,0.038,384.603,6.308,217.272,0.565,132.658,0.09,5.743,14.994,277.571,-28.589,4.155,0.63,51.7,0.022,0.016,1.749,0.061,KCNP_Basin_Track,14.2,35.9,1.75,0.06,594,155,749,242,3.82,2.14,0.56,2.7,0.87,36,35.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Banksia serrata,NA,NA,hiRloP,hiRloP,HiR,0.114,0.468,-1.301,-0.005,11.412,0.047,NA,7.514,0.031,130,0.534,17.301,115.275,Y,0.868,0.923,2.346,0.228,55.419,NA,250,149.996,0.6,100.004,0.056,381.86,9.229,218.02,0.571,137.144,0.062,8.658,10.164,243.577,-29.429,-4.765,0.53,42.6,0.023,0.02,1.291,0.056,KCNP_Murrua_Track,26.8,41.3,1.28,0.06,391,137,528,206,2.85,1.61,0.56,2.17,0.84,41.1,41.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,Banksia serrata,NA,NA,hiRloP,hiRloP,HiR,0.091,0.381,-1.727,-0.007,10.115,0.043,NA,7.164,0.03,144.715,0.609,20.2,125.64,Y,0.849,0.886,2.701,0.225,53.574,NA,250,138.298,0.553,111.702,0.069,381.383,10.073,236.536,0.62,125.305,0.062,9.453,8.97,237.617,-29.125,-3.327,0.45,42.8,0.032,0.033,1.069,0.077,KCNP_Murrua_Track,27.3,41.7,1.08,0.08,392,129,521,111,3.05,1.65,0.54,2.19,0.47,42.1,41.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Banksia serrata,NA,NA,hiRloP,hiRloP,HiR,0.062,0.211,-1.416,-0.005,7.752,0.027,NA,5.42,0.019,86.839,0.298,16.023,79.161,Y,0.939,0.946,1.937,0.154,44.835,NA,250,124.069,0.496,125.931,0.262,381.87,8.491,349.56,0.915,211.636,0.108,7.575,3.489,291.785,-28.923,-3.3,0.66,53.1,0.02,0.013,1.926,0.057,KCNP_Murrua_Track,34.1,37.7,1.75,0.05,682,226,908,211,3.01,2.34,0.78,3.11,0.72,34.3,37.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,Corymbia gummifera,NA,NA,hiRloP,hiRloP,HiR,0.04,0.174,-0.689,-0.003,5.234,0.023,NA,3.695,0.016,81.808,0.354,22.141,88.225,Y,0.928,0.981,2.691,0.131,30.403,NA,250,119.64,0.479,130.36,0.034,386.587,3.335,288.46,0.746,205.401,0.224,2.589,22.093,231.329,-27.4,-3.233,0.6,48.8,0.024,0.018,1.388,0.056,KCNP_Murrua_Track,37,44.7,1.34,0.05,460,167,627,269,2.75,1.99,0.72,2.71,1.16,43.2,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,Eriostemon australasius,NA,NA,hiRloP,hiRloP,HiR,0.067,0.557,-2.027,-0.017,3.899,0.033,NA,4.82,0.04,73.107,0.61,15.167,71.837,N,1.318,1.141,3.855,0.158,18.965,NA,250,191.685,0.767,58.315,0.031,370.57,3.685,249.876,0.674,194.761,0.183,3.011,22.073,119.937,-30.442,-3.326,1.19,48.6,0.01,0.004,1.427,0.012,KCNP_Basin_Track,1.1,81.1,1.47,0.01,239,96,335,149,2.48,1.95,0.79,2.74,1.22,81.9,81.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,Eriostemon australasius,NA,NA,hiRloP,hiRloP,HiR,0.057,0.336,-1.799,-0.011,6.343,0.038,NA,5.684,0.034,100.916,0.598,17.756,89.821,N,1.371,1.16,2.853,0.209,35.37,NA,250,138.142,0.553,111.858,0.021,387.807,3.192,232.65,0.6,176.361,0.188,2.592,29.15,168.875,-27.935,-1.267,1.4,50.4,0.011,0.003,2.364,0.018,KCNP_Basin_Track,1.5,66,2.12,0.02,429,164,593,239,2.61,2.76,1.06,3.82,1.54,64.5,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,Eriostemon australasius,NA,NA,hiRloP,hiRloP,HiR,0.086,0.541,-0.919,-0.006,7.267,0.045,NA,6.183,0.039,88.748,0.555,14.354,89.22,Y,1.031,0.961,2.69,0.206,32.996,NA,250,165.936,0.664,84.064,0.028,386.473,5.475,187.367,0.485,124.029,0.089,4.991,17.532,159.835,-28.006,-4.541,NA,NA,0.012,NA,NA,0.02,KCNP_Basin_Track,1.4,63.3,NA,0.02,414,150,565,260,2.75,2.61,0.95,3.56,1.64,63.1,63.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,Grevillea speciosa,NA,NA,hiRloP,hiRloP,HiR,0.042,0.316,-1.516,-0.012,3.385,0.026,NA,4.503,0.034,59.268,0.45,13.162,64.031,N,1.316,1.136,3.388,0.133,17.494,NA,250,168.583,0.674,81.417,0.097,387.547,3.991,346.655,0.894,250.655,0.224,3.097,9.178,131.575,-30.092,-0.301,0.33,51.8,0.019,0.025,0.434,0.024,KCNP_Basin_Track,1.3,75.8,0.44,0.02,269,88,356,159,3.07,2.06,0.67,2.73,1.22,76.6,75.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,Grevillea speciosa,NA,NA,hiRloP,hiRloP,HiR,0.055,0.433,-1.567,-0.012,5.207,0.041,NA,4.673,0.036,69.157,0.54,14.8,67.682,Y,1.089,0.952,2.588,0.209,26.723,NA,250,156.179,0.625,93.821,0.04,369.185,5.354,232.574,0.63,136.112,0.118,4.724,15.705,128.115,-30,-3.117,0.57,49.6,0.007,0.006,0.73,0.009,KCNP_Basin_Track,0.9,76.2,0.75,0.01,297,105,402,208,2.84,2.33,0.82,3.14,1.63,78.2,76.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Hakea dactyloides,NA,NA,hiRloP,hiRloP,HiR,0.096,0.358,-2.135,-0.008,8.944,0.034,NA,5.345,0.02,103.943,0.39,19.446,94.155,Y,0.925,0.9,2.331,0.167,44.592,NA,250,156.496,0.626,93.504,0.067,381.987,9.177,245.811,0.644,149.866,0.07,8.534,9.597,266.825,-29.733,3.119,0.36,53.7,0.023,0.029,0.961,0.062,KCNP_Murrua_Track,18.7,37.9,0.95,0.06,303,82,385,169,3.68,1.14,0.31,1.44,0.63,37.5,37.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Hakea dactyloides,NA,NA,hiRloP,hiRloP,HiR,0.126,0.412,-1.683,-0.006,10.571,0.035,NA,7.522,0.025,117.579,0.385,15.631,107.671,Y,0.96,0.952,2.413,0.159,48.721,NA,250,166.002,0.664,83.998,0.089,380.41,11.04,254.793,0.67,167.067,0.061,10.37,7.551,305.658,-29.873,2.374,0.44,54.4,0.015,0.016,1.345,0.047,KCNP_Murrua_Track,12.2,32.7,1.35,0.05,426,140,566,300,3.04,1.39,0.46,1.85,0.98,32.7,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,Hakea dactyloides,NA,NA,hiRloP,hiRloP,HiR,0.064,0.172,-3.486,-0.009,7.161,0.019,NA,6.558,0.018,103.19,0.28,15.735,92.83,Y,0.939,0.994,2.362,0.119,43.68,NA,250,137.339,0.549,112.661,0.093,383.687,7.57,302.768,0.789,183.68,0.104,6.781,8.441,368.56,-30.115,2.459,0.5,52.9,0.015,0.014,1.843,0.056,KCNP_Basin_Track,16,27,1.85,0.06,524,178,703,311,2.94,1.42,0.48,1.91,0.84,27.1,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,Lambertia formosa,NA,NA,hiRloP,hiRloP,HiR,0.054,0.235,-1.189,-0.005,4.966,0.022,NA,3.647,0.016,54.331,0.237,14.897,57.708,Y,0.971,0.91,2.207,0.107,24.616,NA,250,157.832,0.631,92.168,0.051,385.923,5.54,277.097,0.718,174.275,0.13,4.822,14.143,229.34,-29.15,1.5,0.5,52.1,0.013,0.012,1.147,0.031,KCNP_Murrua_Track,1.4,44,1.14,0.03,346,123,469,310,2.82,1.5,0.53,2.04,1.34,43.4,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,Lambertia formosa,NA,NA,hiRloP,hiRloP,HiR,0.08,0.349,-0.913,-0.004,8.983,0.039,NA,5.039,0.022,90.488,0.395,17.957,92.129,Y,0.924,0.853,1.958,0.202,46.221,NA,250,137.673,0.551,112.327,0.085,391.43,9.303,281.861,0.72,165.53,0.077,8.583,8.464,229.216,-29.5,-3.75,0.49,52.1,0.012,0.011,1.123,0.027,KCNP_Murrua_Track,1.5,46.7,1.05,0.02,472,179,651,194,2.64,2.16,0.81,2.97,0.88,45.6,46.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Persoonia lanceolata,NA,NA,hiRloP,hiRloP,HiR,0.043,0.262,-1.197,-0.007,4.768,0.029,NA,4.797,0.029,67.593,0.415,14.092,61.381,N,1.205,1.171,2.583,0.161,26.168,NA,250,138.425,0.554,111.575,0.071,371.065,4.563,328.072,0.884,221.281,0.194,3.679,12.496,162.906,-27.808,3.431,0.97,NA,0.01,0.005,1.58,0.016,KCNP_Murrua_Track,3.2,61.5,1.58,0.02,239,75,314,167,3.19,1.47,0.46,1.93,1.03,61.4,61.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Persoonia lanceolata,NA,NA,hiRloP,hiRloP,HiR,0.089,0.503,-1.331,-0.008,10.17,0.058,NA,6.918,0.039,109.589,0.62,15.841,112.273,Y,0.938,0.967,2.041,0.304,53.69,NA,250,135.51,0.542,114.49,0.061,383.73,8.325,246.729,0.643,153.013,0.077,7.682,10.572,176.631,-29.158,0.493,0.9,50.26,0.066,0.033,1.59,0.117,KCNP_Murrua_Track,4.3,55.1,1.63,0.12,272,58,330,142,4.73,1.54,0.33,1.87,0.8,56.6,55.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,Persoonia lanceolata,NA,NA,hiRloP,hiRloP,HiR,0.038,0.198,-1.252,-0.007,3.673,0.019,NA,4.715,0.025,62.181,0.327,13.188,60.178,N,1.158,1.019,3.185,0.103,19.524,NA,250,152.4,0.61,97.6,0.078,385.807,4.932,322.785,0.837,191.749,0.17,4.095,10.7,190.232,-28.917,1.6,0.32,53.5,0.022,0.031,0.609,0.041,KCNP_Murrua_Track,3.6,52.4,0.61,0.04,200,86,286,112,2.32,1.11,0.48,1.59,0.62,55.6,52.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Persoonia levis,NA,NA,hiRloP,hiRloP,HiR,0.055,0.322,-1.428,-0.008,5.69,0.033,NA,5.206,0.03,70.752,0.414,13.591,86.953,N,1.114,1.019,2.365,0.175,29.921,NA,250,146.622,0.586,103.378,0.074,368.255,6.151,285.544,0.775,173.799,0.126,5.375,10.424,170.909,-30.3,3.2,0.58,50.7,0.025,0.019,0.991,0.043,KCNP_Murrua_Track,25.1,60.3,0.96,0.04,294,96,390,98,3.06,1.72,0.56,2.28,0.58,58.5,60.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Persoonia levis,NA,NA,hiRloP,hiRloP,HiR,0.07,0.369,-1.277,-0.007,6.652,0.035,NA,6.72,0.036,90.722,0.482,13.499,95.827,N,1.115,1.001,2.766,0.174,32.805,NA,250,154.32,0.617,95.68,0.081,383.95,6.999,297.453,0.775,196.77,0.111,6.225,9.616,188.375,-29.95,4.238,0.64,51.5,0.024,0.017,1.206,0.046,KCNP_Murrua_Track,19.8,56.1,1.14,0.04,338,105,443,165,3.2,1.79,0.56,2.35,0.87,53.1,56.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Persoonia levis,NA,NA,hiRloP,hiRloP,HiR,0.053,0.302,-1.955,-0.011,5.263,0.03,NA,5.467,0.031,78.075,0.441,14.281,78.67,Y,1.045,0.973,2.742,0.161,28.472,NA,250,151.441,0.606,98.559,0.093,384.46,6.136,318.079,0.827,203.186,0.135,5.308,8.852,176.99,-29.53,3.4,0.57,51,0.025,0.02,1.009,0.044,KCNP_Murrua_Track,14.8,54,1.06,0.05,247,72,319,115,3.44,1.4,0.41,1.8,0.65,56.5,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,Acacia falcata,NA,Y,loRhiP,loRhiP,LowR,0.04,0.341,-1.747,-0.015,5.018,0.042,NA,4.392,0.037,71.142,0.601,16.198,79.669,N,1.155,1.086,2.303,0.261,30.888,NA,250,125.82,0.503,124.18,0.021,370.06,3.644,195.928,0.529,105.767,0.145,3.114,25.139,118.425,-30.4,-1.45,2.1,52.6,0.066,0.014,2.487,0.078,Castlereagh,23.5,85.3,2.46,0.08,641,196,837,247,3.27,5.41,1.65,7.06,2.09,84.4,85.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,Acacia falcata,NA,Y,loRhiP,loRhiP,LowR,0.049,0.325,-1.459,-0.01,5.365,0.036,NA,5.161,0.034,77.211,0.516,14.961,79.274,N,0.985,1.019,2.617,0.197,29.499,NA,250,139.817,0.559,110.183,0.035,369.82,4.838,230.55,0.623,131.195,0.129,4.215,17.92,149.736,-29.766,-1.5,1.87,53.2,0.043,0.01,2.8,0.064,Castlereagh,23.9,66.7,2.81,0.06,581,187,768,242,3.11,3.88,1.25,5.13,1.61,66.8,66.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,Acacia falcata,NA,Y,loRhiP,loRhiP,LowR,0.059,0.511,-1.738,-0.015,5.818,0.05,NA,4.708,0.041,75.941,0.656,16.131,85.251,N,0.912,1.028,2.492,0.263,30.477,NA,250,151.652,0.607,98.348,0.031,369.25,4.862,212.313,0.575,130.131,0.118,4.287,18.591,115.816,-29.973,-1.082,1.82,53.3,0.051,0.013,2.108,0.059,Castlereagh,20,79.2,2.3,0.06,522,157,679,168,3.33,4.51,1.35,5.86,1.45,86.3,79.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,Eucalyptus fibrosa,NA,NA,loRhiP,loRhiP,LowR,0.039,0.177,-3.05,-0.014,4.698,0.022,NA,4.365,0.02,66.168,0.304,15.16,52.133,N,1.064,1.087,2.058,0.148,32.145,NA,250,128.289,0.513,121.711,0.025,386.79,3.054,258.552,0.668,179.447,0.219,2.385,27.157,217.77,-29.8,-4.82,0.99,49.5,0.034,0.016,2.156,0.075,Castlereagh,63.1,45.3,2.19,0.08,499,185,683,201,2.7,2.29,0.85,3.14,0.92,45.9,45.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,Eucalyptus fibrosa,NA,NA,loRhiP,loRhiP,LowR,0.03,0.13,-2.701,-0.012,3.198,0.014,NA,3.364,0.015,50.196,0.22,14.923,49.739,N,1.037,1.054,2.306,0.096,21.766,NA,250,141.961,0.568,108.039,0.045,387.097,3.643,305.968,0.79,182.916,0.217,2.852,17.613,227.868,-28.8,-3.103,0.967,52.067,0.043,0.02,2.203,0.098,Castlereagh,58.2,44.2,2.19,0.1,594,208,802,230,2.86,2.61,0.91,3.52,1.01,43.9,44.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,Eucalyptus fibrosa,NA,NA,loRhiP,loRhiP,LowR,NA,NA,-0.911,-0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.032,372.1,1.788,316.207,0.85,NA,NA,NA,NA,156.878,-28.6,-4.7,1.02,50.3,0.041,0.018,1.6,0.065,Castlereagh,45.7,54.7,1.87,0.08,413,171,584,172,2.41,2.63,1.09,3.72,1.1,63.7,54.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,Eucalyptus haemostoma,NA,NA,loRhiP,loRhiP,LowR,0.103,0.737,-1.969,-0.014,9.698,0.07,NA,6.296,0.045,95.814,0.687,15.218,101.253,Y,0.918,0.924,2.005,0.343,47.778,NA,250,155.62,0.622,94.38,0.054,383.293,8.507,225.968,0.59,143.174,0.069,7.918,10.914,139.37,-30.624,-4.513,1.15,54,0.063,0.025,1.603,0.088,Castlereagh,18.6,69.6,1.65,0.09,426,136,562,129,3.14,3.06,0.97,4.03,0.93,71.8,69.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,Eucalyptus haemostoma,NA,NA,loRhiP,loRhiP,LowR,0.064,0.528,-2.204,-0.018,3.523,0.029,NA,3.863,0.032,57.269,0.47,14.824,66.515,Y,0.979,1,3.248,0.145,17.632,NA,250,195.251,0.781,54.749,0.033,369.715,4.12,244.009,0.66,179.98,0.16,3.46,20.166,121.773,-31.5,-4.919,0.96,54.4,0.068,0.032,1.169,0.082,Castlereagh,11.5,74.1,1.3,0.09,270,100,369,105,2.71,2.21,0.82,3.03,0.86,82.1,74.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,Macrozamia spiralis,NA,Y,loRhiP,loRhiP,LowR,0.058,0.234,-1.217,-0.005,7.227,0.029,NA,5.082,0.021,83.544,0.338,16.439,60.157,Y,0.794,0.887,2.025,0.167,41.265,NA,250,125.072,0.5,124.928,0.03,386.12,6.789,232.99,0.603,115.623,0.089,6.186,20.439,247.249,-26.035,-1.5,1.37,55.6,0.062,0.02,3.387,0.153,Castlereagh,5.4,41,3.34,0.15,739,337,1076,349,2.19,2.82,1.29,4.1,1.33,38.1,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,Macrozamia spiralis,NA,Y,loRhiP,loRhiP,LowR,0.048,0.19,-1.332,-0.005,6.429,0.025,NA,5.404,0.021,75.541,0.298,13.979,65.161,N,1.277,1.065,1.912,0.156,39.518,NA,250,116.356,0.465,133.644,0.018,371.57,4.202,213.453,0.574,126.112,0.137,3.627,32.285,253.569,-25.724,-1.291,1.78,58.1,0.071,0.018,4.514,0.18,Castlereagh,8.8,39,4.56,0.18,486,195,681,268,2.49,1.85,0.74,2.59,1.02,38,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,Banksia spinulosa,NA,NA,loRhiP,loRloP,LowR,0.033,0.15,-0.999,-0.005,3.336,0.015,NA,2.252,0.01,45.29,0.207,20.113,48.695,Y,0.904,0.937,2.55,0.081,17.76,NA,250,148.389,0.594,101.611,0.04,371.395,3.973,270.742,0.729,149.719,0.183,3.244,18.319,218.886,-28.716,-2.22,0.604,50.869,0.019,0.014,1.323,0.042,Castlereagh,2.1,46.5,1.3,0.04,185,81,266,215,2.27,0.87,0.39,1.26,1.02,47.3,46.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
