species,wood.density,units
Eucalyptus diversifolia,0.736595287,g cm-3
Eucalyptus extensa,0.827537086,g cm-3
Eucalyptus falcata,0.830917915,g cm-3
Eucalyptus fasciculosa,0.644708182,g cm-3
Eucalyptus gardneri,0.820126353,g cm-3
Eucalyptus incrassata,0.849859671,g cm-3
Eucalyptus kitsoniana,0.572472417,g cm-3
Eucalyptus kochii,0.819194639,g cm-3
Eucalyptus lehmannii,0.905102313,g cm-3
Eucalyptus leptophylla,0.843119704,g cm-3
Eucalyptus longicornis,0.902045763,g cm-3
Eucalyptus megacornuta,0.809355401,g cm-3
Eucalyptus occidentalis,0.7393019,g cm-3
Eucalyptus odorata,0.846545358,g cm-3
Eucalyptus perriniana,0.651403056,g cm-3
Eucalyptus phaenophylla,0.869594741,g cm-3
Eucalyptus phenax,0.841334808,g cm-3
Eucalyptus pileata,0.878130472,g cm-3
Eucalyptus platypus,0.887579357,g cm-3
Eucalyptus pleurocarpa,0.739384475,g cm-3
Eucalyptus porosa,0.719281365,g cm-3
Eucalyptus pulchella,0.714283382,g cm-3
Eucalyptus rodwayi,0.588430806,g cm-3
Eucalyptus sargentii,0.844310891,g cm-3
Eucalyptus socialis,0.791171929,g cm-3
Eucalyptus spathulata,0.872047354,g cm-3
Eucalyptus stellulata,0.57298523,g cm-3
Eucalyptus tenuiramis,0.701212804,g cm-3
Eucalyptus tricarpa,0.717862078,g cm-3
Eucalyptus utilis,0.859958812,g cm-3
Eucalyptus willisii,0.544562503,g cm-3
Eutaxia myrtifolia,0.856600307,g cm-3
Exocarpos sparteus,0.577612101,g cm-3
Goodenia ovata,0.56189318,g cm-3
Hakea laurina,0.731380159,g cm-3
Hakea mitchellii,0.680586791,g cm-3
Hakea rostrata,0.639910673,g cm-3
Hakea rugosa,0.631865006,g cm-3
Hakea trifurcata,0.658044501,g cm-3
Kunzea ericifolia,0.68786069,g cm-3
Leptomeria drupacea,0.607836086,g cm-3
Leptospermum continentale,0.620004105,g cm-3
Leptospermum coriaceum,0.812120839,g cm-3
Leucopogon parviflorus,0.72311242,g cm-3
Lomatia fraseri,0.549269296,g cm-3
Melaleuca acuminata,0.782768631,g cm-3
Melaleuca adnata,0.730403561,g cm-3
Melaleuca armillaris,0.630422879,g cm-3
Melaleuca brevifolia,0.770357955,g cm-3
Melaleuca cuticularis,0.652392073,g cm-3
Melaleuca decussata,0.68625318,g cm-3
Melaleuca ericifolia,0.613292255,g cm-3
Melaleuca halmaturorum,0.790653183,g cm-3
Melaleuca hamata,0.802509175,g cm-3
Melaleuca lanceolata,0.719588296,g cm-3
Melaleuca lateriflora,0.843040638,g cm-3
Melaleuca preissiana,0.601082949,g cm-3
Melaleuca spathulata,0.775779117,g cm-3
Melaleuca squarrosa,0.54132209,g cm-3
Olearia argophylla,0.721478464,g cm-3
Olearia lirata,0.725266662,g cm-3
Ozothamnus ferrugineus,0.662637339,g cm-3
Pomaderris aspera,0.570898552,g cm-3
Prostanthera lasianthos,0.352624975,g cm-3
Rhagodia parabolica,0.699217984,g cm-3
Senna artemisioides,0.787165399,g cm-3
Viminaria juncea,0.386310117,g cm-3
