species,surface.area(mm2),dry.mass(mg),specific.leaf.area(mm2.mg-1)
Acacia leucoclada,1502.851,185.7,8.0928971459
Acacia leucoclada,1596.875,191.3,8.3474908521
Acacia leucoclada,1040.338,124.5,8.3561285141
Acacia leucoclada,1528.477,169.9,8.9963331371
Acacia leucoclada,1037.907,107.2,9.6819682836
Acacia microbotrya,1083.675,248.3,4.3643777688
Acacia microbotrya,1813.468,401.7,4.5144834454
Acacia microbotrya,872.453,192.5,4.5322233766
Acacia microbotrya,3054.925,673,4.5392644874
Acacia microbotrya,1675.59,368.9,4.5421252372
Acacia microbotrya,1376.18,302.2,4.5538716082
Acacia microbotrya,2924.204,639.4,4.5733562715
Acacia microbotrya,2107.758,455.8,4.6243045195
Acacia microbotrya,2687.082,577.8,4.6505399792
Acacia microbotrya,1009.24,215,4.6941395349
Acacia microbotrya,2691.843,573.3,4.6953479853
Acacia microbotrya,1788.867,377.1,4.7437470167
Acacia microbotrya,1487.8,305.9,4.8636809415
Acacia microbotrya,1487.893,302.8,4.9137813738
Acacia microbotrya,902.432,183.5,4.9178855586
Acacia microbotrya,1724.671,343.1,5.0267298164
Acacia microbotrya,2392.792,475.6,5.0311017662
Acacia microbotrya,1054.965,208.9,5.0500957396
Acacia microbotrya,2139.881,421.6,5.0756190702
Acacia microbotrya,977.505,188.4,5.188455414
Acacia microbotrya,822.942,152,5.4140921053
Acacia microbotrya,784.093,139.7,5.6126914817
Acacia microbotrya,920.573,157.1,5.8597899427
Acacia microbotrya,938.584,155.3,6.0436831938
Acacia microbotrya,952.939,157,6.0696751592
Acacia microcarpa,107.956,60.2,1.7932890365
Acacia microcarpa,118.131,63.2,1.8691613924
Acacia microcarpa,93.895,48.4,1.9399793388
Acacia microcarpa,85.126,42.2,2.0172037915
Acacia microcarpa,95.343,44.3,2.1522121896
Acacia microcarpa,80.214,36.4,2.2036813187
Acacia microcarpa,102.356,45.9,2.2299782135
Acacia microcarpa,77.217,32.9,2.3470212766
Acacia microcarpa,100.936,41.7,2.4205275779
Acacia microcarpa,118.633,48.2,2.4612655602
Acacia microcarpa,121.4,48.3,2.5134575569
Acacia microcarpa,122.813,47.1,2.6074946921
Acacia microcarpa,138.652,52.6,2.6359695817
Acacia microcarpa,131.439,49.6,2.6499798387
Acacia microcarpa,92.282,34.5,2.6748405797
Acacia microcarpa,87.004,31,2.8065806452
Acacia microcarpa,114.388,40.7,2.8105159705
Acacia microcarpa,63.292,22.2,2.850990991
Acacia microcarpa,86.875,29.1,2.985395189
Acacia microcarpa,131.216,43.9,2.9889749431
Acacia microcarpa,80.558,25.8,3.1224031008
Acacia microcarpa,78.773,21.5,3.6638604651
Acacia microcarpa,124.978,34,3.6758235294
Acacia microcarpa,79.26,20.7,3.8289855072
Acacia microcarpa,79.017,20.5,3.8544878049
Acacia montana,154.14,42.8,3.6014018692
Acacia montana,140.624,38.6,3.6431088083
Acacia montana,144.768,37.7,3.84
Acacia montana,101.381,26.2,3.8695038168
Acacia montana,134.35,32.1,4.1853582555
Acacia montana,138.057,21.4,6.4512616822
Acacia montana,115.657,17.8,6.4975842697
Acacia montana,87.506,13,6.7312307692
Acacia montana,152.95,22.7,6.7378854626
Acacia montana,148.461,21.9,6.7790410959
Acacia montana,155.875,22.9,6.806768559
Acacia montana,102.428,15,6.8285333333
Acacia montana,103.31,15,6.8873333333
Acacia montana,76.321,11,6.9382727273
Acacia montana,142.137,19.8,7.1786363636
Acacia montana,152.656,21.2,7.200754717
Acacia montana,161.697,22.2,7.2836486486
Acacia montana,177.106,24,7.3794166667
Acacia montana,156.685,20.6,7.6060679612
Acacia montana,198.087,24.8,7.9873790323
Acacia montana,122.913,15.3,8.0335294118
Acacia montana,229.342,27.4,8.3701459854
Acacia montana,147.973,17.2,8.6030813953
Acacia montana,193.591,20.6,9.3976213592
Acacia montana,168.272,17.5,9.6155428571
Acacia mucronata,133.518,38.9,3.4323393316
Acacia mucronata,145.299,40.4,3.596509901
Acacia mucronata,194.258,48.9,3.9725562372
Acacia mucronata,491.058,119,4.1265378151
Acacia mucronata,573.968,135.2,4.2453254438
Acacia mucronata,290.289,66,4.3983181818
Acacia mucronata,485.737,109.3,4.4440713632
Acacia mucronata,331.54,74.2,4.4681940701
Acacia mucronata,200.044,43.9,4.5568109339
Acacia mucronata,198.983,43.1,4.616774942
Acacia mucronata,410.951,88.1,4.6645970488
Acacia mucronata,359.619,77,4.6703766234
Acacia mucronata,267.473,57.1,4.684290718
Acacia mucronata,160.622,33.7,4.766231454
Acacia mucronata,597.981,124.8,4.7915144231
Acacia mucronata,450.309,92.7,4.8577022654
Acacia mucronata,345.787,70,4.9398142857
Acacia mucronata,566.998,112.5,5.0399822222
Acacia mucronata,336.645,59.5,5.6578991597
Acacia mucronata,164.53,28.9,5.6930795848
Acacia mucronata,224.416,39.2,5.7248979592
Acacia mucronata,279.713,47.4,5.9011181435
Acacia mucronata,174.002,29.1,5.9794501718
Acacia mucronata,181.394,29.3,6.1909215017
Acacia mucronata,177.479,27.8,6.3841366906
Acacia notabilis,284.374,69.8,4.0741260745
Acacia notabilis,494.643,115.2,4.2937760417
Acacia notabilis,393.52,88.2,4.4616780045
Acacia notabilis,349.05,78.2,4.4635549872
Acacia notabilis,372.619,82.2,4.5330778589
Acacia notabilis,298.033,65.4,4.5570795107
Acacia notabilis,433.244,94.9,4.5652687039
Acacia notabilis,455.751,99.3,4.5896374622
Acacia notabilis,448.122,97.4,4.6008418891
Acacia notabilis,324.191,69.9,4.637925608
Acacia notabilis,284.309,61.2,4.6455718954
Acacia notabilis,355.912,75.8,4.695408971
Acacia notabilis,337.212,71.6,4.7096648045
Acacia notabilis,426.783,90.4,4.721050885
Acacia notabilis,216.658,45.8,4.7305240175
Acacia notabilis,264.039,54.1,4.8805730129
Acacia notabilis,248.487,50.6,4.9108102767
Acacia notabilis,478.108,96.6,4.9493581781
Acacia notabilis,353.445,70.1,5.0420114123
Acacia notabilis,253.305,49.6,5.1069556452
Acacia notabilis,288.282,56.3,5.1204618117
Acacia notabilis,479.564,92.6,5.1788768898
Acacia notabilis,319.214,61.3,5.207406199
Acacia notabilis,231.307,44.4,5.2096171171
Acacia notabilis,348.727,63.6,5.4831289308
Acacia oxycedrus,47.259,19.8,2.3868181818
Acacia oxycedrus,40.792,16.9,2.4137278107
Acacia oxycedrus,44.341,18,2.4633888889
Acacia oxycedrus,33.514,13.4,2.5010447761
Acacia oxycedrus,41.595,16.6,2.5057228916
Acacia oxycedrus,41.387,16.3,2.5390797546
Acacia oxycedrus,43.717,17.2,2.5416860465
Acacia oxycedrus,42.685,16.7,2.555988024
Acacia oxycedrus,40.405,15.8,2.557278481
Acacia oxycedrus,46.585,18,2.5880555556
Acacia oxycedrus,37.995,14.6,2.6023972603
Acacia oxycedrus,44.413,17,2.6125294118
Acacia oxycedrus,47.496,18.1,2.6240883978
Acacia oxycedrus,39.759,15,2.6506
Acacia oxycedrus,39.788,15,2.6525333333
Acacia oxycedrus,38.225,14.3,2.6730769231
Acacia oxycedrus,44.7,16.7,2.6766467066
Acacia oxycedrus,41.272,15.4,2.68
Acacia oxycedrus,35.651,13.3,2.6805263158
Acacia oxycedrus,45.467,16.9,2.6903550296
Acacia oxycedrus,45.474,15.8,2.8781012658
Acacia oxycedrus,40.935,14.1,2.9031914894
Acacia oxycedrus,43.531,14.9,2.9215436242
Acacia oxycedrus,31.592,10.8,2.9251851852
Acacia oxycedrus,43.18,14.4,2.9986111111
Acacia polybotrya,629.477,107.5,5.8556
Acacia polybotrya,580.107,93.4,6.2109957173
Acacia polybotrya,485.049,71.4,6.7934033613
Acacia polybotrya,676.23,93.6,7.2246794872
Acacia polybotrya,398.564,53.6,7.4358955224
Acacia polybotrya,712.49,95.4,7.4684486373
Acacia polybotrya,305.807,38.9,7.8613624679
Acacia polybotrya,380.95,45.7,8.3358862144
Acacia polybotrya,517.184,60.6,8.5343894389
Acacia polybotrya,539.185,61.8,8.7246763754
Acacia polybotrya,358.572,40.9,8.7670415648
Acacia polybotrya,366.137,40.6,9.0181527094
Acacia polybotrya,645.721,69.5,9.2909496403
Acacia polybotrya,315.421,33.6,9.3875297619
Acacia polybotrya,466.823,46.8,9.9748504274
Acacia polybotrya,519.504,50.7,10.2466272189
Acacia polybotrya,414.79714348,39.5,10.5011935058
Acacia pycnantha,2027.745,619.5,3.2731961259
Acacia pycnantha,2948.167,837.4,3.5206197755
Acacia pycnantha,4491.73,1263.3,3.555552917
Acacia pycnantha,4203.865,1150.5,3.6539461104
Acacia pycnantha,3883.632,1060.2,3.6631126203
Acacia pycnantha,2161.693,571.8,3.7805054215
Acacia pycnantha,1856.396,486.7,3.8142510787
Acacia pycnantha,1312.142,341,3.8479237537
Acacia pycnantha,1910.69,491.9,3.8843057532
Acacia pycnantha,5989.92,1526,3.925242464
Acacia pycnantha,2253.724,565.9,3.9825481534
Acacia pycnantha,2747.198,678.9,4.0465429371
Acacia pycnantha,4106.399,1011.2,4.0609167326
Acacia pycnantha,2461.11,605.3,4.0659342475
Acacia pycnantha,1388.857,331.5,4.1896138763
Acacia pycnantha,4023.682,951.8,4.2274448414
Acacia pycnantha,1920.743,394.8,4.8651038501
Acacia pycnantha,2510.585,514.8,4.8768162393
Acacia pycnantha,1903.806,387.2,4.9168543388
Acacia pycnantha,2948.045,598.2,4.9281929121
Acacia pycnantha,2539.331,513.1,4.948998246
Acacia pycnantha,1230.774,247.5,4.9728242424
Acacia pycnantha,1488.582,291.3,5.1101338826
Acacia pycnantha,1944.304,379.6,5.1219810327
Acacia pycnantha,1855.636,349,5.317008596
Acacia retinodes,481.213,74.1,6.4941025641
Acacia retinodes,443.891,67.9,6.5374226804
Acacia retinodes,478.933,71.7,6.679679219
Acacia retinodes,610.436,90.3,6.7600885936
Acacia retinodes,588.488,84.1,6.9974791914
Acacia retinodes,357.54,50.9,7.0243614931
Acacia retinodes,421.85,58.9,7.162139219
Acacia retinodes,437.782,59.9,7.3085475793
Acacia retinodes,386.988,52.5,7.3712
Acacia retinodes,466.069,62.7,7.4333173844
Acacia retinodes,551.137,72.7,7.5809766162
Acacia retinodes,615.211,81.1,7.5858323058
Acacia retinodes,370.274,48.7,7.6031622177
Acacia retinodes,366.796,47.9,7.6575365344
Acacia retinodes,539.794,70.3,7.6784352774
Acacia retinodes,515.394,66.8,7.7154790419
Acacia retinodes,367.528,47.5,7.7374315789
Acacia retinodes,529.842,65.9,8.040091047
Acacia retinodes,486.777,60,8.11295
Acacia retinodes,401.701,48.4,8.299607438
Acacia retinodes,322.778,38.7,8.3405167959
Acacia retinodes,441.174,52.8,8.3555681818
Acacia retinodes,419.778,50,8.39556
Acacia retinodes,256.61,30.5,8.413442623
Acacia retinodes,436.04,51.7,8.4340425532
Acacia sclerophylla,208.526,77.1,2.70461738
Acacia sclerophylla,175.973,58.2,3.0235910653
Acacia sclerophylla,170.452,55.6,3.0656834532
Acacia sclerophylla,162.3,51.5,3.1514563107
Acacia sclerophylla,134.422,41.1,3.2706082725
Acacia sclerophylla,163.382,48.6,3.3617695473
Acacia sclerophylla,155.158,45.7,3.3951422319
Acacia sclerophylla,121.529,35.4,3.4330225989
Acacia sclerophylla,160.944,46.4,3.4686206897
Acacia sclerophylla,99.151,28.1,3.5285053381
Acacia sclerophylla,117.994,32.7,3.6083792049
Acacia sclerophylla,169.664,47,3.6098723404
Acacia sclerophylla,148.404,41.1,3.6108029197
Acacia sclerophylla,86.768,23.5,3.6922553191
Acacia sclerophylla,137.978,37,3.7291351351
Acacia sclerophylla,118.374,30.8,3.8433116883
Acacia sclerophylla,146.138,34.4,4.2481976744
Acacia sclerophylla,178.734,40,4.46835
Acacia sclerophylla,190.83,41.5,4.598313253
Acacia sclerophylla,181.315,39.1,4.6372122762
Acacia sclerophylla,144.718,29.1,4.9731271478
Acacia sclerophylla,89.987,17.2,5.2318023256
Acacia sclerophylla,141.75,25.6,5.537109375
Acacia sclerophylla,120.447,20.9,5.7630143541
Acacia sclerophylla,73.603,12.1,6.082892562
Acacia verniciflua,260.769,46,5.6688913043
Acacia verniciflua,282.925,49,5.7739795918
Acacia verniciflua,254.079,44,5.7745227273
Acacia verniciflua,406.577,70.3,5.7834566145
Acacia verniciflua,306.717,53,5.7871132075
Acacia verniciflua,395.549,68.2,5.7998387097
Acacia verniciflua,285.858,49.2,5.8101219512
Acacia verniciflua,413.36,70.8,5.8384180791
Acacia verniciflua,200.08,34.2,5.8502923977
Acacia verniciflua,426.066,72,5.9175833333
Acacia verniciflua,341.88,57.5,5.9457391304
Acacia verniciflua,323.667,54.2,5.9717158672
Acacia verniciflua,234.246,39.1,5.9909462916
Acacia verniciflua,340.61,56,6.0823214286
Acacia verniciflua,344.834,55.9,6.168765653
Acacia verniciflua,228.94,36.5,6.2723287671
Acacia verniciflua,343.816,54.8,6.2740145985
Acacia verniciflua,219.146,34.7,6.3154466859
Acacia verniciflua,163.397,25.2,6.4840079365
Acacia verniciflua,198.631,30.2,6.5771854305
Acacia verniciflua,324.857,41.9,7.753150358
Acacia verniciflua,360.279,45,8.0062
Acacia verniciflua,272.672,33.9,8.0434218289
Acacia verniciflua,224.516,27.5,8.1642181818
Acacia verniciflua,346.662,42.3,8.1953191489
Acacia verticillata,12.053,2.789,4.3216206526
Acacia verticillata,10.763,2.42,4.4475206612
Acacia verticillata,12.985,2.82,4.6046099291
Acacia verticillata,12.985,2.728,4.7598973607
Acacia verticillata,13.114,2.56,5.12265625
Acacia verticillata,16.04,3.111,5.1558984249
Acacia verticillata,17.496,3.376,5.182464455
Acacia verticillata,10.655,2.02,5.2747524752
Acacia verticillata,9.873,1.87,5.2796791444
Acacia verticillata,15.925,2.99,5.3260869565
Acacia verticillata,10.892,1.99,5.4733668342
Acacia verticillata,18.377,3.168,5.8008207071
Acacia verticillata,12.95,2.16,5.9953703704
Acacia verticillata,15.517,2.495,6.219238477
Acacia verticillata,10.497,1.67,6.2856287425
Acacia verticillata,15.56,2.47,6.2995951417
Acacia verticillata,12.204,1.92,6.35625
Acacia verticillata,11.781,1.84,6.4027173913
Acacia verticillata,7.342,1.14,6.4403508772
Acacia verticillata,15.818,2.376,6.6574074074
Acacia verticillata,12.734,1.89,6.7375661376
Acacia verticillata,13.645,2.02,6.754950495
Acacia verticillata,13.545,1.935,7
Acacia verticillata,12.369,1.75,7.068
Acacia verticillata,12.541,1.64,7.6469512195
Acacia wattsiana,212.119,66.3,3.1993815988
Acacia wattsiana,208.326,51.1,4.0768297456
Acacia wattsiana,158.872,37.9,4.1918733509
Acacia wattsiana,359.468,85.5,4.2043040936
Acacia wattsiana,168.201,39.9,4.2155639098
Acacia wattsiana,404.763,95,4.2606631579
Acacia wattsiana,197.319,45.7,4.317702407
Acacia wattsiana,250.781,58,4.3238103448
Acacia wattsiana,286.073,65.3,4.3809035222
Acacia wattsiana,231.199,52.7,4.3870777989
Acacia wattsiana,244.765,55,4.4502727273
Acacia wattsiana,149.565,33.2,4.5049698795
Acacia wattsiana,303.296,67.3,4.5066270431
Acacia wattsiana,165.168,36.5,4.5251506849
Acacia wattsiana,279.771,61.2,4.5714215686
Acacia wattsiana,191.483,41.4,4.6251932367
Acacia wattsiana,212.37,45.4,4.677753304
Acacia wattsiana,178.555,37.7,4.7362068966
Acacia wattsiana,240.635,48.8,4.931045082
Acacia wattsiana,258.288,52.1,4.9575431862
Acacia wattsiana,293.38,59.1,4.9641285956
Acacia wattsiana,280.932,54.8,5.1264963504
Acacia wattsiana,167.656,30,5.5885333333
Acacia wattsiana,190.056,33.2,5.7245783133
Acacia wattsiana,233.286,40.4,5.7744059406
Allocasuarina acutivalvis,224.925,145.6,1.5448145604
Allocasuarina acutivalvis,296.09,189.9,1.5591890469
Allocasuarina acutivalvis,141.341,90,1.5704555556
Allocasuarina acutivalvis,156.649,98.8,1.5855161943
Allocasuarina acutivalvis,158.707,96.5,1.6446321244
Allocasuarina acutivalvis,165.318,100.2,1.6498802395
Allocasuarina acutivalvis,145.822,88.1,1.6551872872
