species,fresh.volume(cm3),dry.mass(g),wood.density(g.cm-3))
Acacia falciformis,11.86,8.357,0.7046374368
Acacia floribunda,16.56,11.1911,0.6757910628
Acacia floribunda,13.87,9.426,0.6795962509
Acacia floribunda,14.82,10.2737,0.6932321188
Acacia floribunda,11.5,8.2508,0.7174608696
Acacia floribunda,17.26,12.9832,0.7522132097
Acacia genistifolia,4.37,2.8271,0.6469336384
Acacia genistifolia,12.57,8.3233,0.6621559268
Acacia genistifolia,5.61,3.8022,0.6777540107
Acacia genistifolia,3.2,2.1718,0.6786875
Acacia genistifolia,5.89,4.0476,0.6871986418
Acacia hakeoides,14.12,9.1528,0.6482152975
Acacia hakeoides,10.15,6.6542,0.6555862069
Acacia hakeoides,7.98,5.4309,0.6805639098
Acacia hakeoides,12.73,9.408,0.7390416339
Acacia hakeoides,11.3,8.885,0.7862831858
Acacia ligulata,9.55,6.7674,0.7086282723
Acacia ligulata,8.38,6.0811,0.7256682578
Acacia ligulata,10.4,8.1627,0.784875
Acacia ligulata,9.48,7.4648,0.7874261603
Acacia ligulata,7.52,5.9618,0.7927925532
Acacia lineata,7.76,6.1588,0.7936597938
Acacia lineata,5.74,4.7107,0.8206794425
Acacia lineata,5.89,4.926,0.8363327674
Acacia lineata,9.73,8.2408,0.8469475848
Acacia lineata,11.97,10.4387,0.8720718463
Acacia longissima,12.39,7.0518,0.5691525424
Acacia longissima,9.1,5.3704,0.5901538462
Acacia longissima,11.63,6.9038,0.5936199484
Acacia longissima,10.29,6.3161,0.6138095238
Acacia longissima,11.25,7.447,0.6619555556
Acacia microbotrya,12.05,8.3267,0.6910124481
Acacia microbotrya,14.11,10.135,0.7182849043
Acacia microbotrya,10.83,7.8355,0.7234995383
Acacia microbotrya,11.25,8.4857,0.7542844444
Acacia microbotrya,12.28,9.4068,0.7660260586
Acacia microcarpa,9.82,7.5708,0.7709572301
Acacia microcarpa,12.19,10.0129,0.8214027892
Acacia microcarpa,10.88,9.1394,0.8400183824
Acacia microcarpa,13.68,11.6351,0.8505190058
Acacia microcarpa,9.42,8.0171,0.8510721868
Acacia montana,6.47,5.0665,0.7830757342
Acacia montana,6.78,5.4429,0.8027876106
Acacia montana,6.63,5.4377,0.8201659125
Acacia montana,7.08,5.8999,0.833319209
Acacia montana,4.72,4.0014,0.8477542373
Acacia mucronata,8.22,4.1297,0.5023965937
Acacia mucronata,3.51,1.8017,0.5133048433
Acacia mucronata,7.58,4.2079,0.5551319261
Acacia mucronata,10.53,6.4658,0.6140360874
Acacia mucronata,3.37,2.0739,0.6154005935
Acacia notabilis,6.84,5.4557,0.7976169591
Acacia notabilis,10.66,8.7539,0.8211913696
Acacia notabilis,11.3,9.5953,0.8491415929
Acacia notabilis,10.23,8.7694,0.8572238514
Acacia notabilis,11.83,10.4212,0.8809129332
Acacia oxycedrus,2.16,1.3375,0.619212963
Acacia oxycedrus,2.65,1.6887,0.637245283
Acacia oxycedrus,1.57,1.0131,0.6452866242
Acacia oxycedrus,1.2,0.7816,0.6513333333
Acacia oxycedrus,1.15,0.7704,0.6699130435
Acacia paradoxa,10.33,7.8013,0.7552081317
Acacia paradoxa,9.56,7.3087,0.7645083682
Acacia paradoxa,7.12,5.6918,0.7994101124
Acacia paradoxa,7.8,6.3271,0.8111666667
Acacia paradoxa,6.46,5.2802,0.8173684211
Acacia polybotrya,5.6,3.9875,0.7120535714
Acacia polybotrya,5.14,3.914,0.7614785992
Acacia polybotrya,5.91,4.6864,0.7929610829
Acacia polybotrya,3.95,3.1753,0.8038734177
Acacia polybotrya,6.99,5.6243,0.804620887
Acacia pravissima,14.76,7.9098,0.5358943089
Acacia pravissima,17.33,10.0171,0.5780207732
Acacia pravissima,12.01,6.9705,0.5803913405
Acacia pravissima,14.53,8.7583,0.6027735719
Acacia pravissima,11.22,7.1852,0.6403921569
Acacia pycnantha,12.05,7.1719,0.5951784232
Acacia pycnantha,10.34,6.2287,0.6023887814
Acacia pycnantha,6.32,3.8589,0.610585443
Acacia pycnantha,15.28,9.779,0.639986911
Acacia pycnantha,10.73,7.0435,0.6564305685
Acacia retinodes,9.41,6.1376,0.6522422954
Acacia retinodes,9.92,7.0897,0.7146875
Acacia retinodes,8.4,6.4111,0.7632261905
Acacia retinodes,16.41,13.0759,0.7968251066
Acacia retinodes,13.01,10.6322,0.8172328978
Acacia rigens,6.51,5.234,0.8039938556
Acacia rigens,5.17,4.4978,0.8699806576
Acacia rigens,7.52,7.0579,0.9385505319
Acacia rigens,5.25,5.186,0.9878095238
Acacia rigens,5.29,5.2378,0.9901323251
Acacia rubida,14.38,8.5536,0.5948261474
Acacia rubida,15.08,9.7811,0.6486140584
Acacia rubida,19.39,12.5892,0.6492625064
Acacia rubida,10.03,6.7439,0.6723728814
Acacia rubida,8.45,5.7303,0.6781420118
Acacia saligna,11.33,6.5318,0.5765048544
Acacia saligna,11.55,7.3894,0.6397748918
Acacia saligna,10.32,6.6607,0.6454166667
Acacia saligna,12.6,8.4483,0.6705
Acacia saligna,12.4,8.567,0.6908870968
Acacia sclerophylla,6.19,4.7921,0.7741680129
Acacia sclerophylla,5.85,4.6082,0.7877264957
Acacia sclerophylla,6.01,4.8069,0.7998169717
Acacia sclerophylla,11.47,9.3621,0.8162249346
Acacia sclerophylla,10.31,8.7359,0.8473229874
Acacia trineura,8.89,6.1475,0.6915073116
Acacia trineura,15.06,10.4528,0.6940770252
Acacia trineura,16.28,11.4936,0.705995086
Acacia trineura,13.93,10.5305,0.7559583632
Acacia trineura,14.45,10.9868,0.7603321799
Acacia triptera,6.16,5.2031,0.8446590909
Acacia triptera,9.11,7.7039,0.8456531284
Acacia triptera,7.92,6.7307,0.8498358586
Acacia triptera,4,3.4687,0.867175
Acacia triptera,9.58,8.7904,0.9175782881
Acacia verniciflua,14.99,11.3731,0.758712475
Acacia verniciflua,13.17,10.188,0.7735763098
Acacia verniciflua,11.86,9.2904,0.7833389545
Acacia verniciflua,12.43,9.9484,0.8003539823
Acacia verniciflua,11.18,9.0354,0.8081753131
Acacia verticillata,4.72,2.6499,0.5614194915
Acacia verticillata,5.12,2.9537,0.5768945313
Acacia verticillata,6.15,3.7758,0.6139512195
Acacia verticillata,0.93,0.6195,0.6661290323
Acacia verticillata,6.78,4.8434,0.7143657817
Acacia wattsiana,7.83,4.9897,0.6372541507
Acacia wattsiana,6.5,4.7063,0.7240461538
Acacia wattsiana,9.44,7.0068,0.7422457627
Acacia wattsiana,7.97,5.9206,0.7428607277
Acacia wattsiana,6.91,5.145,0.7445730825
Allocasuarina muelleriana,11.67,7.941,0.6804627249
Allocasuarina muelleriana,10.57,7.5833,0.71743614
Allocasuarina muelleriana,8.86,6.4684,0.7300677201
Allocasuarina muelleriana,7.56,5.7186,0.7564285714
Allocasuarina muelleriana,15.58,11.9976,0.7700641849
Allocasuarina paludosa,12.19,7.8241,0.6418457752
Allocasuarina paludosa,7.38,4.8064,0.6512737127
Allocasuarina paludosa,6.3,4.2323,0.6717936508
Allocasuarina paludosa,8.42,5.8238,0.6916627078
Allocasuarina paludosa,7.08,5.3369,0.753799435
Allocasuarina verticillata,11.76,8.4949,0.7223554422
Allocasuarina verticillata,13.09,9.6476,0.7370206264
Allocasuarina verticillata,9.32,7.0815,0.7598175966
Allocasuarina verticillata,9.03,6.8874,0.7627242525
Allocasuarina verticillata,10.93,8.6138,0.7880878317
Atriplex nummularia,8.05,5.2655,0.6540993789
Atriplex nummularia,10.09,7.8689,0.7798711596
Atriplex nummularia,8.09,6.6279,0.8192707046
Atriplex nummularia,9.64,7.917,0.8212655602
Atriplex nummularia,9.54,7.8422,0.822033543
Babingtonia behrii,10.85,9.0758,0.8364792627
Babingtonia behrii,10.71,9.1758,0.8567507003
Babingtonia behrii,10.54,9.146,0.8677419355
Babingtonia behrii,8.12,7.063,0.8698275862
Babingtonia behrii,9.29,8.4558,0.910204521
Banksia attenuata,10.63,6.3085,0.5934619003
Banksia attenuata,5.49,3.5058,0.638579235
Banksia attenuata,6.5,4.2342,0.6514153846
Banksia attenuata,6.02,3.971,0.6596345515
Banksia attenuata,6.22,4.2761,0.6874758842
Banksia grandis,7.22,4.0185,0.5565789474
Banksia grandis,4.05,2.3249,0.5740493827
Banksia grandis,4.97,3.3559,0.6752313883
Banksia grandis,4.39,3.0081,0.6852164009
Banksia grandis,5.12,4.4575,0.8706054688
Banksia littoralis,11.05,5.2003,0.4706153846
Banksia littoralis,7.33,3.7843,0.5162755798
Banksia littoralis,7.32,3.8326,0.523579235
Banksia littoralis,9.46,5.4903,0.5803699789
Banksia littoralis,8.57,5.4137,0.6317036173
Banksia menziesii,2.11,1.329,0.6298578199
Banksia menziesii,1.65,1.1037,0.6689090909
Banksia menziesii,2.11,1.4374,0.6812322275
Banksia menziesii,1.98,1.3496,0.6816161616
Banksia menziesii,1.71,1.2185,0.7125730994
Banksia ornata,9.34,4.7571,0.5093254818
Banksia ornata,8.3,4.5239,0.5450481928
Banksia ornata,6.94,3.8208,0.5505475504
Banksia ornata,8.34,4.7329,0.5674940048
Banksia ornata,7.05,4.1818,0.5931631206
Bedfordia arborescens,12.11,5.886,0.4860445912
Bedfordia arborescens,10.81,5.5392,0.5124144311
Bedfordia arborescens,13.49,7.7945,0.5777983692
Bedfordia arborescens,13.01,8.116,0.6238278248
Bedfordia arborescens,13.43,8.4727,0.6308786299
Callistemon rugulosus,9.44,7.4882,0.7932415254
Callistemon rugulosus,16.5,13.1371,0.7961878788
Callistemon rugulosus,5.3,4.222,0.7966037736
Callistemon rugulosus,9.57,7.6333,0.7976280042
Callistemon rugulosus,11.16,9.0567,0.8115322581
Callitris canescens,12.6,7.9275,0.6291666667
Callitris canescens,12.12,7.6803,0.6336881188
Callitris canescens,10.56,6.8327,0.6470359848
Callitris canescens,10.24,6.7131,0.6555761719
Callitris canescens,11.02,7.2351,0.6565426497
Callitris gracilis,12.82,6.5684,0.5123556942
Callitris gracilis,9.01,4.9298,0.5471476138
Callitris gracilis,10.32,6.5964,0.6391860465
Callitris gracilis,8.01,5.2296,0.6528838951
Callitris preissii,7.74,5.0821,0.6566020672
Callitris preissii,8.91,5.8966,0.6617957351
Callitris preissii,10.52,6.9967,0.6650855513
Callitris preissii,7.05,4.7654,0.6759432624
Callitris preissii,7.17,5.3614,0.7477545328
Cassinia aculeata,7.82,4.1306,0.5282097187
Cassinia aculeata,13.58,8.7789,0.6464580265
Cassinia aculeata,13.7,8.8731,0.6476715328
Cassinia aculeata,5.98,4.0681,0.6802842809
Cassinia aculeata,15.48,10.7826,0.6965503876
Casuarina obesa,9.52,6.8571,0.7202836134
Casuarina obesa,5.25,4.0594,0.7732190476
Casuarina obesa,8.39,6.5664,0.7826460072
Casuarina obesa,4.44,3.4919,0.786463964
Casuarina obesa,4.49,3.6392,0.8105122494
Chamaecytisus palmensis,8.36,4.7924,0.5732535885
Chamaecytisus palmensis,8.29,5.017,0.6051869723
Chamaecytisus palmensis,5.94,3.8083,0.6411279461
Chamaecytisus palmensis,8.8,6.1886,0.70325
Chamaecytisus palmensis,3.03,2.1345,0.7044554455
Coprosma quadrifida,12.56,6.8486,0.5452707006
Coprosma quadrifida,11.97,6.7095,0.5605263158
Coprosma quadrifida,12.86,7.2835,0.5663685848
Coprosma quadrifida,10.11,6.2006,0.6133135509
Coprosma quadrifida,14.86,9.232,0.6212651413
Corymbia calophylla,11.21,6.5997,0.5887332739
Corymbia calophylla,10.55,6.2842,0.5956587678
Corymbia calophylla,13.06,8.1302,0.6225267994
Corymbia calophylla,7.46,4.7011,0.6301742627
Corymbia calophylla,9.22,6.0388,0.654967462
Dodonaea baueri,5.54,4.9071,0.8857581227
Dodonaea baueri,5.47,4.8878,0.8935648995
Dodonaea baueri,3.37,3.0586,0.9075964392
Dodonaea baueri,8.06,7.4375,0.9227667494
Dodonaea baueri,4.02,3.7274,0.9272139303
Dodonaea sinuolata,7.18,5.8587,0.8159749304
Dodonaea sinuolata,12.38,10.4133,0.8411389338
Dodonaea sinuolata,7.67,6.6558,0.8677705346
Dodonaea sinuolata,10.74,9.337,0.8693668529
Dodonaea sinuolata,14.72,12.8886,0.8755842391
Enchylaena tomentosa,6.64,4.7696,0.718313253
Enchylaena tomentosa,4.25,3.3991,0.7997882353
Enchylaena tomentosa,3.95,3.1748,0.8037468354
Enchylaena tomentosa,4.44,3.5706,0.8041891892
Enchylaena tomentosa,4.36,3.6505,0.8372706422
Eucalyptus acaciiformis,16.75,9.2796,0.5540059701
Eucalyptus acaciiformis,16.39,9.5075,0.5800793167
Eucalyptus acaciiformis,23.37,14.9296,0.6388361147
Eucalyptus acaciiformis,21.04,13.5184,0.6425095057
Eucalyptus acaciiformis,17.62,11.4553,0.6501305335
Eucalyptus arenacea,14.18,7.2625,0.5121650212
Eucalyptus arenacea,12.69,7.2565,0.5718282112
Eucalyptus arenacea,9.44,5.4492,0.5772457627
Eucalyptus arenacea,10.83,6.4461,0.5952077562
Eucalyptus arenacea,12.83,7.7369,0.6030319564
Eucalyptus argyphea,13.73,11.5557,0.8416387473
Eucalyptus argyphea,11.98,10.1434,0.8466944908
Eucalyptus argyphea,11.58,9.9359,0.8580224525
Eucalyptus argyphea,11.72,10.2541,0.8749232082
Eucalyptus argyphea,9.28,8.1836,0.8818534483
Eucalyptus behriana,11.78,9.2306,0.783582343
Eucalyptus behriana,16.46,13.6556,0.8296233293
Eucalyptus behriana,10.95,9.3082,0.8500639269
Eucalyptus behriana,12.96,11.2027,0.8644058642
Eucalyptus behriana,13.97,12.6126,0.9028346457
Eucalyptus brachycalyx,13.58,11.2112,0.8255670103
Eucalyptus brachycalyx,14.3,12.3473,0.8634475524
Eucalyptus brachycalyx,15.51,13.5039,0.8706576402
Eucalyptus brachycalyx,11.01,9.7283,0.8835876476
Eucalyptus brachycalyx,6.12,5.4968,0.8981699346
Eucalyptus capillosa,9.05,6.5091,0.7192375691
Eucalyptus capillosa,10.54,8.4409,0.8008444023
Eucalyptus capillosa,20.65,17.1182,0.828968523
Eucalyptus capillosa,11.66,9.9451,0.8529245283
Eucalyptus capillosa,15.88,13.8874,0.8745214106
Eucalyptus clivicola,9.49,7.6008,0.8009272919
Eucalyptus clivicola,9.92,8.238,0.8304435484
Eucalyptus clivicola,7.75,6.5585,0.8462580645
Eucalyptus clivicola,13.7,11.614,0.8477372263
Eucalyptus clivicola,7.62,6.7118,0.8808136483
Eucalyptus coccifera,13.23,6.8313,0.5163492063
Eucalyptus coccifera,10.61,6.0306,0.5683883129
Eucalyptus coccifera,12.73,7.276,0.5715632364
Eucalyptus coccifera,10.24,6.1487,0.6004589844
Eucalyptus coccifera,10.91,8.3627,0.7665169569
Eucalyptus conferruminata,11.64,8.8641,0.7615206186
Eucalyptus conferruminata,8.8,6.7037,0.7617840909
Eucalyptus conferruminata,16.2,12.823,0.7915432099
Eucalyptus conferruminata,5.95,4.7728,0.8021512605
Eucalyptus conferruminata,9.62,7.7414,0.8047193347
Eucalyptus decipiens,6.04,3.6595,0.6058774834
Eucalyptus decipiens,9.84,6.0568,0.6155284553
Eucalyptus decipiens,9.5,5.912,0.6223157895
Eucalyptus decipiens,11.32,7.431,0.6564487633
Eucalyptus decipiens,6.94,4.6302,0.6671757925
Eucalyptus diversifolia,9.12,6.4369,0.7058004386
Eucalyptus diversifolia,7.98,5.8054,0.7274937343
Eucalyptus diversifolia,7.87,5.7743,0.7337102922
Eucalyptus diversifolia,10.09,7.5321,0.7464915758
Eucalyptus diversifolia,10.2,7.8487,0.7694803922
Eucalyptus extensa,8.21,6.5615,0.7992082826
Eucalyptus extensa,11.34,9.3219,0.822037037
Eucalyptus extensa,14.92,12.3198,0.8257238606
Eucalyptus extensa,10.31,8.6515,0.8391367604
Eucalyptus extensa,9.75,8.3029,0.8515794872
Eucalyptus falcata,11.36,9.3197,0.8203961268
Eucalyptus falcata,12.28,10.0851,0.821262215
Eucalyptus falcata,13.07,10.7444,0.8220657995
Eucalyptus falcata,6.7,5.5953,0.835119403
Eucalyptus falcata,6.3,5.3912,0.8557460317
Eucalyptus fasciculosa,17.23,9.2202,0.5351247824
Eucalyptus fasciculosa,10.37,6.4125,0.6183702989
Eucalyptus fasciculosa,13.16,8.7741,0.666724924
Eucalyptus fasciculosa,13.42,9.3041,0.6933010432
Eucalyptus fasciculosa,10.07,7.1499,0.710019861
Eucalyptus gardneri,7.12,5.4837,0.7701825843
Eucalyptus gardneri,6.59,5.3704,0.8149317147
Eucalyptus gardneri,11.33,9.2429,0.8157899382
Eucalyptus gardneri,8.83,7.4485,0.8435447339
Eucalyptus gardneri,7.44,6.37,0.8561827957
Eucalyptus incrassata,6.37,4.9478,0.7767346939
Eucalyptus incrassata,6.91,5.8646,0.8487120116
Eucalyptus incrassata,10.5,9.0708,0.8638857143
Eucalyptus incrassata,8.05,7.0421,0.8747950311
Eucalyptus incrassata,11.41,10.0998,0.8851709027
Eucalyptus kitsoniana,11.62,6.1471,0.529010327
Eucalyptus kitsoniana,9.52,5.2383,0.5502415966
Eucalyptus kitsoniana,14.37,8.2049,0.5709742519
Eucalyptus kitsoniana,11.72,6.8624,0.5855290102
Eucalyptus kitsoniana,14.5,9.0858,0.6266068966
Eucalyptus kochii,10.58,8.4368,0.7974291115
Eucalyptus kochii,5,4.0025,0.8005
Eucalyptus kochii,8.63,7.0039,0.811575898
Eucalyptus kochii,7.6,6.2714,0.8251842105
Eucalyptus kochii,10.67,9.1899,0.8612839738
Eucalyptus lehmannii,10.15,8.948,0.8815763547
Eucalyptus lehmannii,12.19,10.8585,0.8907711239
Eucalyptus lehmannii,11.13,10.1122,0.9085534591
Eucalyptus lehmannii,8.4,7.6924,0.9157619048
Eucalyptus lehmannii,17.98,16.7007,0.9288487208
Eucalyptus leptophylla,7.85,6.1284,0.7806878981
Eucalyptus leptophylla,11.47,9.617,0.8384481255
Eucalyptus leptophylla,22.75,19.2063,0.844232967
Eucalyptus leptophylla,12.36,10.626,0.8597087379
Eucalyptus leptophylla,15.63,13.9501,0.8925207933
Eucalyptus longicornis,13.21,11.3807,0.8615215746
Eucalyptus longicornis,9.2,8.1215,0.8827717391
Eucalyptus longicornis,9.41,8.5854,0.9123698193
Eucalyptus longicornis,7.58,6.9941,0.9227044855
Eucalyptus longicornis,9.87,9.1876,0.9308611955
Eucalyptus megacornuta,11.07,8.5212,0.7697560976
Eucalyptus megacornuta,10.05,7.9801,0.794039801
Eucalyptus megacornuta,7.09,5.7518,0.8112552891
Eucalyptus megacornuta,9.13,7.5926,0.8316100767
Eucalyptus megacornuta,8.64,7.2586,0.8401157407
Eucalyptus occidentalis,12.55,8.9181,0.7106055777
Eucalyptus occidentalis,8.79,6.2553,0.7116382253
Eucalyptus occidentalis,8.88,6.7954,0.7652477477
Eucalyptus occidentalis,8.1,6.2347,0.7697160494
Eucalyptus odorata,13.37,10.7481,0.8038967838
Eucalyptus odorata,12.09,9.8255,0.8126964433
Eucalyptus odorata,9.67,8.0199,0.8293588418
Eucalyptus odorata,8.85,7.8404,0.885920904
Eucalyptus odorata,15.46,13.9272,0.9008538163
Eucalyptus perriniana,14.92,8.6747,0.5814142091
Eucalyptus perriniana,9.73,6.0019,0.6168448099
Eucalyptus perriniana,12.27,7.612,0.6203748981
Eucalyptus perriniana,16.5,11.5958,0.7027757576
Eucalyptus perriniana,9.99,7.3487,0.7356056056
Eucalyptus phaenophylla,4.62,3.9462,0.8541558442
Eucalyptus phaenophylla,5.97,5.1107,0.8560636516
Eucalyptus phaenophylla,3.54,3.0706,0.8674011299
Eucalyptus phaenophylla,5.63,4.9472,0.8787211368
Eucalyptus phaenophylla,8.64,7.7037,0.8916319444
Eucalyptus phenax,14.52,11.7216,0.8072727273
Eucalyptus phenax,8.55,7.0286,0.8220584795
Eucalyptus phenax,9.64,8.1635,0.8468360996
Eucalyptus phenax,12.68,11.2747,0.8891719243
Eucalyptus pileata,12.33,10.1238,0.8210705596
Eucalyptus pileata,17.76,15.444,0.8695945946
Eucalyptus pileata,8.33,7.379,0.8858343337
Eucalyptus pileata,13.12,11.6855,0.8906631098
Eucalyptus pileata,11.72,10.8233,0.9234897611
Eucalyptus platypus,12.88,10.9417,0.8495108696
Eucalyptus platypus,17.16,14.6487,0.8536538462
Eucalyptus platypus,16.06,14.1062,0.8783437111
Eucalyptus platypus,14.61,13.3193,0.9116563997
Eucalyptus platypus,19.4,18.3278,0.9447319588
Eucalyptus pleurocarpa,12.3,8.5853,0.6979918699
Eucalyptus pleurocarpa,8.81,6.4985,0.7376276958
Eucalyptus pleurocarpa,14.6,10.7754,0.7380410959
Eucalyptus pleurocarpa,13.32,10.0322,0.7531681682
Eucalyptus pleurocarpa,10.69,8.2323,0.7700935454
Eucalyptus porosa,15.14,10.1342,0.6693659181
Eucalyptus porosa,12.04,8.4804,0.7043521595
Eucalyptus porosa,11.02,7.8981,0.7167059891
Eucalyptus porosa,9.61,7.0371,0.7322684703
Eucalyptus porosa,13.3,10.2904,0.7737142857
Eucalyptus pulchella,12.98,8.9364,0.6884745763
Eucalyptus pulchella,12.97,9.0206,0.6954973015
Eucalyptus pulchella,16.49,11.8343,0.7176652517
Eucalyptus pulchella,16.69,11.9886,0.7183103655
Eucalyptus pulchella,15.04,11.3021,0.7514694149
Eucalyptus rodwayi,14.15,7.1072,0.5022756184
Eucalyptus rodwayi,12.05,7.1686,0.5949045643
Eucalyptus rodwayi,13.08,7.9295,0.6062308869
Eucalyptus rodwayi,10.06,6.1009,0.6064512922
Eucalyptus rodwayi,10.56,6.677,0.6322916667
Eucalyptus sargentii,9.43,7.7962,0.8267444327
Eucalyptus sargentii,7.62,6.3348,0.8313385827
Eucalyptus sargentii,6.87,5.8392,0.8499563319
Eucalyptus sargentii,18.55,15.8879,0.856490566
Eucalyptus sargentii,6.52,5.5878,0.8570245399
Eucalyptus socialis,9.07,6.8361,0.7537045204
Eucalyptus socialis,9.55,7.3475,0.7693717277
Eucalyptus socialis,7.43,5.9442,0.8000269179
Eucalyptus socialis,9.05,7.3819,0.815679558
Eucalyptus socialis,11.7,9.5598,0.8170769231
Eucalyptus spathulata,3.7,3.1311,0.8462432432
Eucalyptus spathulata,5.09,4.3444,0.8535166994
Eucalyptus spathulata,7,6.0004,0.8572
Eucalyptus spathulata,15.11,13.6033,0.9002845797
Eucalyptus spathulata,12.9,11.6486,0.9029922481
Eucalyptus stellulata,17.73,9.6072,0.5418612521
Eucalyptus stellulata,15.32,8.5499,0.5580874674
Eucalyptus stellulata,16.29,9.4534,0.5803192142
Eucalyptus stellulata,13.94,8.1818,0.5869296987
Eucalyptus stellulata,18.27,10.9205,0.5977285167
Eucalyptus tenuiramis,13.34,9.0372,0.6774512744
Eucalyptus tenuiramis,15.41,10.5095,0.6819922128
Eucalyptus tenuiramis,17.07,11.9068,0.6975278266
Eucalyptus tenuiramis,18.69,13.479,0.721187801
Eucalyptus tenuiramis,13.46,9.7976,0.7279049034
Eucalyptus tricarpa,14.44,9.7688,0.6765096953
Eucalyptus tricarpa,10.79,7.5682,0.7014087118
Eucalyptus tricarpa,10.8,7.6594,0.7092037037
Eucalyptus tricarpa,14.96,11.1274,0.7438101604
Eucalyptus tricarpa,10.42,7.9023,0.758378119
Eucalyptus utilis,6.85,5.6516,0.8250510949
Eucalyptus utilis,7.97,6.7703,0.8494730238
Eucalyptus utilis,5.77,4.9255,0.8536395147
Eucalyptus utilis,6.11,5.3843,0.8812274959
Eucalyptus utilis,8.19,7.2924,0.8904029304
Eucalyptus willisii,11.83,5.9806,0.505545224
Eucalyptus willisii,16.93,8.6494,0.5108919079
Eucalyptus willisii,17.01,8.7631,0.5151734274
Eucalyptus willisii,10.01,5.5604,0.5554845155
Eucalyptus willisii,9.06,5.7596,0.6357174393
Eutaxia myrtifolia,3.17,2.6065,0.8222397476
Eutaxia myrtifolia,9.3,7.6524,0.8228387097
Eutaxia myrtifolia,2.74,2.3659,0.8634671533
Eutaxia myrtifolia,9.18,8.0441,0.8762636166
Eutaxia myrtifolia,5.2,4.6706,0.8981923077
Exocarpos sparteus,15.16,8.2583,0.5447427441
Exocarpos sparteus,16.52,9.6024,0.5812590799
Exocarpos sparteus,15.36,8.9607,0.5833789063
Exocarpos sparteus,15.44,9.0183,0.5840867876
Exocarpos sparteus,15.11,8.9843,0.5945929848
Goodenia ovata,1.61,0.7807,0.4849068323
Goodenia ovata,2.82,1.5818,0.5609219858
Goodenia ovata,2.86,1.6213,0.5668881119
Goodenia ovata,2.43,1.4501,0.5967489712
Goodenia ovata,2.23,1.338,0.6
Hakea laurina,13.2,9.4739,0.717719697
Hakea laurina,8.94,6.4707,0.7237919463
Hakea laurina,8.84,6.4015,0.7241515837
Hakea laurina,8.76,6.4389,0.7350342466
Hakea laurina,9.64,7.2898,0.7562033195
Hakea mitchellii,9.71,6.5268,0.6721730175
Hakea mitchellii,8.86,6.0043,0.6776862302
Hakea mitchellii,13.4,9.0903,0.678380597
Hakea mitchellii,10.25,7.1146,0.6941073171
Hakea rostrata,8.82,5.3393,0.6053628118
Hakea rostrata,10.45,6.3892,0.6114066986
Hakea rostrata,13.19,8.528,0.646550417
