taxon_name,family,native_status,source_details,name_resolution_and_type,references,reference_category,plant_growth_form_to_use,woodiness_to_use
Hemigraphis alternata,Acanthaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Hemigraphis ciliata,Acanthaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Hemigraphis primulifolia,Acanthaceae,naturalised,APC_accepted,binomial,species - www.nparks.gov.sg/florafaunaweb/flora/2/0/2088,website - well referenced material,herb,herbaceous
Hygrophila angustifolia,Acanthaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Hygrophila costata,Acanthaceae,naturalised,APC_accepted,binomial,genus - PlantNet,scraped from online flora - applied genus value to individual species,herb,herbaceous
Hygrophila polysperma,Acanthaceae,naturalised,APC_accepted,binomial,genus - PlantNet,scraped from online flora - applied genus value to individual species,herb,herbaceous
Hygrophila triflora,Acanthaceae,naturalised,APC_accepted,binomial,genus - PlantNet,scraped from online flora - applied genus value to individual species,herb,herbaceous
Hypoestes aristata,Acanthaceae,naturalised,APC_accepted,binomial,species - PlantNet,scraped from online flora,herb subshrub,herbaceous semi_woody
Hypoestes floribunda,Acanthaceae,native,APC_accepted,binomial,species - PlantNet,scraped from online flora,herb subshrub,herbaceous woody
Hypoestes floribunda var. angustifolia,Acanthaceae,native,APC_accepted,variety,species - PlantNet,scraped from online flora,herb subshrub,herbaceous woody
Hypoestes floribunda var. canescens,Acanthaceae,native,APC_accepted,variety,species - PlantNet,scraped from online flora - applied species value to infraspecific taxon,herb subshrub,herbaceous woody
Hypoestes floribunda var. cinerea,Acanthaceae,native,APC_accepted,variety,species - PlantNet,scraped from online flora - applied species value to infraspecific taxon,herb subshrub,herbaceous woody
Hypoestes floribunda var. distans,Acanthaceae,native,APC_accepted,variety,species - PlantNet,scraped from online flora,herb subshrub,herbaceous woody
Hypoestes floribunda var. floribunda,Acanthaceae,native,APC_accepted,variety,species - PlantNet,scraped from online flora - applied species value to infraspecific taxon,herb subshrub,herbaceous woody
Hypoestes floribunda var. pubescens,Acanthaceae,native,APC_accepted,variety,species - PlantNet,scraped from online flora - applied species value to infraspecific taxon,herb subshrub,herbaceous woody
Hypoestes floribunda var. suaveolens,Acanthaceae,native,APC_accepted,variety,species - PlantNet,scraped from online flora,herb subshrub,herbaceous woody
Hypoestes floribunda var. varia,Acanthaceae,native,APC_accepted,variety,species - PlantNet,scraped from online flora,herb subshrub,herbaceous woody
Hypoestes floribunda var. velutina,Acanthaceae,native,APC_accepted,variety,species - PlantNet,scraped from online flora - applied species value to infraspecific taxon,herb subshrub,herbaceous woody
Hypoestes floribunda var. yorkensis,Acanthaceae,native,APC_accepted,variety,species - PlantNet,scraped from online flora - applied species value to infraspecific taxon,herb subshrub,herbaceous woody
Hypoestes phyllostachya,Acanthaceae,naturalised,APC_accepted,binomial,species - PlantNet,scraped from online flora,herb subshrub,herbaceous woody
Hypoestes sparsiflora,Acanthaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,herb subshrub,herbaceous woody
Isoglossa eranthemoides,Acanthaceae,native,APC_accepted,binomial,"species - Barker 1986, Journal of the Adelaide Botanic Gardens 9: 1-286",taxon revision; taxonomic species description,herb,herbaceous
Justicia betonica,Acanthaceae,naturalised,APC_accepted,binomial,species - www.jcu.edu.au/discover-nature-at-jcu/plants/nq-weeds-by-scientific-name2/justicia-betonica,website - without source references or incompletely referenced,herb shrub,herbaceous soft_woody
Justicia brandegeeana,Acanthaceae,naturalised,APC_accepted,binomial,species - Wikipedia,website - well referenced material,shrub,woody
Justicia carnea,Acanthaceae,naturalised,APC_accepted,binomial,species - Wikipedia,website - well referenced material,shrub,woody
Justicia carthagenensis,Acanthaceae,naturalised,APC_accepted,binomial,species - Wikipedia,website - well referenced material,herb,herbaceous
Justicia caudata,Acanthaceae,naturalised,APC_accepted,binomial,species - PlantNet,scraped from online flora,shrub,woody
Justicia gendarussa,Acanthaceae,naturalised,APC_accepted,binomial,species - Wikipedia,website - well referenced material,shrub,woody
Justicia spicigera,Acanthaceae,naturalised,APC_accepted,binomial,species - Wikipedia,website - well referenced material,shrub,woody
Justicia tenella,Acanthaceae,naturalised,APC_accepted,binomial,species - tropical.theferns.info,website - well referenced material,herb,herbaceous
Lepidagathis royenii,Acanthaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Nelsonia campestris,Acanthaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,herb,herbaceous
Odontonema cuspidatum,Acanthaceae,naturalised,APC_accepted,binomial,species - www.cabi.org/isc/datasheet/120147,website - well referenced material,shrub,woody
Pachystachys coccinea,Acanthaceae,naturalised,APC_accepted,binomial,species - Wikipedia,website - well referenced material,shrub,woody
Peristrophe bivalvis,Acanthaceae,naturalised,APC_accepted,binomial,species - Wikipedia,website - well referenced material,herb,herbaceous
Peristrophe brassii,Acanthaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Peristrophe speciosa,Acanthaceae,naturalised,APC_accepted,binomial,species - tropical.theferns.info,website - well referenced material,herb shrub,herbaceous woody
Pseuderanthemum tenellum,Acanthaceae,native,APC_accepted,binomial,"species - Barker 1986, Journal of the Adelaide Botanic Gardens 9: 1-286",taxon revision; taxonomic species description,shrub,woody
Pseuderanthemum variabile,Acanthaceae,native,APC_accepted,binomial,"species - Lucid, PlantNet",scraped from online flora,herb,herbaceous
Rhaphidospora bonneyana,Acanthaceae,native,APC_accepted,binomial,"species - Barker 1986, Journal of the Adelaide Botanic Gardens 9: 1-286",taxon revision; taxonomic species description,shrub,woody
Rhaphidospora cavernarum,Acanthaceae,native,APC_accepted,binomial,species - Lucid,scraped from online flora,herb shrub,herbaceous semi_woody
Rhaphidospora platyphylla,Acanthaceae,native,APC_accepted,binomial,species - Lucid,scraped from online flora,herb shrub,herbaceous semi_woody
Rostellularia adscendens,Acanthaceae,native,APC_accepted,binomial,species - PlantNet,scraped from online flora,herb subshrub,herbaceous semi_woody
Rostellularia adscendens subsp. adscendens,Acanthaceae,native,APC_accepted,subspecies,species - PlantNet,scraped from online flora - applied species value to infraspecific taxon,herb subshrub,herbaceous semi_woody
Rostellularia adscendens subsp. clementii,Acanthaceae,native,APC_accepted,subspecies,species - PlantNet,scraped from online flora,herb subshrub,herbaceous semi_woody
Rostellularia adscendens subsp. dallachyi,Acanthaceae,native,APC_accepted,subspecies,species - PlantNet,scraped from online flora - applied species value to infraspecific taxon,herb subshrub,herbaceous semi_woody
Rostellularia adscendens subsp. glaucoviolacea,Acanthaceae,native,APC_accepted,subspecies,species - PlantNet,scraped from online flora - applied species value to infraspecific taxon,herb subshrub,herbaceous semi_woody
Rostellularia adscendens subsp. Irvinebank (A.R.Bean+ 5461),Acanthaceae,native,APC_accepted,phrase_name,species - PlantNet,scraped from online flora - applied species value to infraspecific taxon,herb subshrub,herbaceous semi_woody
Rostellularia adscendens var. adscendens,Acanthaceae,native,APC_accepted,variety,species - PlantNet,scraped from online flora - applied species value to infraspecific taxon,herb subshrub,herbaceous semi_woody
Rostellularia adscendens var. clementii,Acanthaceae,native,APC_accepted,variety,species - WA,scraped from online flora,herb,herbaceous
Rostellularia adscendens var. hispida,Acanthaceae,native,APC_accepted,variety,species - PlantNet,scraped from online flora - applied species value to infraspecific taxon,herb subshrub,herbaceous semi_woody
Rostellularia adscendens var. juncea,Acanthaceae,native,APC_accepted,variety,species - PlantNet,scraped from online flora - applied species value to infraspecific taxon,herb subshrub,herbaceous semi_woody
Rostellularia adscendens var. largiflorens,Acanthaceae,native,APC_accepted,variety,species - WA,scraped from online flora,herb,herbaceous
Rostellularia adscendens var. latifolia,Acanthaceae,native,APC_accepted,variety,species - WA,scraped from online flora,herb subshrub,herbaceous semi_woody
Rostellularia adscendens var. pogonanthera,Acanthaceae,native,APC_accepted,variety,species - WA,scraped from online flora,herb subshrub,herbaceous semi_woody
Rostellularia obtusa,Acanthaceae,native,APC_accepted,binomial,species - PlantNet,scraped from online flora,herb,herbaceous
Ruellia blechum,Acanthaceae,naturalised,APC_accepted,binomial,genus - WA,scraped from online flora - applied genus value to individual species,herb,herbaceous
Ruellia ciliosa,Acanthaceae,naturalised,APC_accepted,binomial,genus - WA,scraped from online flora - applied genus value to individual species,herb,herbaceous
Ruellia repens,Acanthaceae,naturalised,APC_accepted,binomial,genus - WA,scraped from online flora - applied genus value to individual species,herb,herbaceous
Ruellia simplex,Acanthaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Ruellia solitaria,Acanthaceae,naturalised,APC_accepted,binomial,genus - WA,scraped from online flora - applied genus value to individual species,herb,herbaceous
Ruellia sp. A Kimberley Flora (K.F.Kenneally 9007),Acanthaceae,native,APC_accepted,phrase_name,species - WA,scraped from online flora,herb shrub,herbaceous semi_woody woody
Ruellia squarrosa,Acanthaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Ruellia tuberosa,Acanthaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Sanchezia parvibracteata,Acanthaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Staurogyne spatulata,Acanthaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stephanophysum longifolium,Acanthaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,herb subshrub shrub,herbaceous semi_woody woody
Strobilanthes hamiltoniana,Acanthaceae,naturalised,APC_accepted,binomial,species - www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=242425795,website - well referenced material,shrub,woody
Strobilanthes persicifolia,Acanthaceae,naturalised,APC_accepted,binomial,species - PlantNet,scraped from online flora,shrub,woody
Strobilanthes wallichii,Acanthaceae,naturalised,APC_accepted,binomial,species - Wikipedia,website - well referenced material,herb,herbaceous
Thunbergia alata,Acanthaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,climber_herbaceous,herbaceous
Thunbergia arnhemica,Acanthaceae,native,APC_accepted,binomial,species,scraped from online flora,climber_herbaceous,herbaceous
Thunbergia fragrans,Acanthaceae,naturalised,APC_accepted,binomial,genus - WA,scraped from online flora - applied genus value to individual species,climber_herbaceous,herbaceous
Thunbergia grandiflora,Acanthaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,climber_herbaceous,herbaceous
Thunbergia mysorensis,Acanthaceae,naturalised,APC_accepted,binomial,genus - WA,scraped from online flora - applied genus value to individual species,climber_herbaceous,herbaceous
Xerothamnella herbacea,Acanthaceae,native,APC_accepted,binomial,"species - Barker 1986, Journal of the Adelaide Botanic Gardens 9: 1-286",taxon revision; taxonomic species description,herb,herbaceous
Xerothamnella parvifolia,Acanthaceae,native,APC_accepted,binomial,"species - Barker 1986, Journal of the Adelaide Botanic Gardens 9: 1-286",taxon revision; taxonomic species description,shrub,woody
Baileyoxylon lanceolatum,Achariaceae,native,APC_accepted,binomial,species,scraped from online flora,tree,woody
Hydnocarpus sp. Possum Scrub (G.Sankowsky+ 1349),Achariaceae,native,APC_accepted,phrase_name,genus - Wikipedia,website - well referenced material,tree,woody
Ryparosa kurrangii,Achariaceae,native,APC_accepted,binomial,species,scraped from online flora,tree,woody
Actinidia chinensis,Actinidiaceae,naturalised,APC_accepted,binomial,species - PlantNet,scraped from online flora,climber_woody,woody
Actinidia chinensis var. deliciosa,Actinidiaceae,,APNI_unplaced,variety,species,scraped from online flora,climber_woody,woody
Actinidia deliciosa,Actinidiaceae,,APNI_unplaced,binomial,species,scraped from online flora,climber_woody,woody
Saurauia andreana,Actinidiaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub tree,woody
Sambucus canadensis,Adoxaceae,non-native-not-naturalised,taxon_non-native-not-naturalised,binomial,species - Wikipedia,website - well referenced material,shrub,woody
Agapanthus praecox,Agapanthaceae,naturalised,APC_accepted,binomial,genus - PlantNet,scraped from online flora,herb,herbaceous
Agapanthus praecox subsp. orientalis,Agapanthaceae,naturalised,APC_accepted,subspecies,genus - PlantNet,scraped from online flora,herb,herbaceous
Agapanthus praecox subsp. praecox,Agapanthaceae,naturalised,APC_accepted,subspecies,genus - PlantNet,scraped from online flora,herb,herbaceous
Aizoon pubescens,Aizoaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,herb subshrub,herbaceous woody_base
Aizoon secundum,Aizoaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Carpanthea pomeridiana,Aizoaceae,non-native-not-naturalised,taxon_non-native-not-naturalised,binomial,genus,scraped from online flora - applied genus value to individual species,herb,herbaceous
Carpobrotus aequilaterus,Aizoaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Carpobrotus chilensis,Aizoaceae,naturalised,APC_accepted,binomial,species - Wikipedia,website - well referenced material,herb,herbaceous soft_woody
Carpobrotus edulis,Aizoaceae,naturalised,APC_accepted,binomial,species - WA,scraped from online flora,herb,herbaceous
Carpobrotus edulis subsp. edulis,Aizoaceae,naturalised,APC_accepted,subspecies,species - WA,scraped from online flora - applied species value to infraspecific taxon,herb,herbaceous
Carpobrotus glaucescens,Aizoaceae,native,APC_accepted,binomial,species - PlantNet,scraped from online flora,herb,herbaceous
Carpobrotus modestus,Aizoaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,herb,herbaceous
Carpobrotus rossii,Aizoaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,herb,herbaceous
Carpobrotus sp. Lateral Flowers (N.Gibson & M.Lyons 973),Aizoaceae,native,APC_accepted,phrase_name,species - WA,scraped from online flora,herb,herbaceous
Carpobrotus sp. Short Calyx (S.T.Blake 20451),Aizoaceae,native,APC_accepted,phrase_name,*AusTraits plant_growth_form value,AusTraits value - usually for genus sp. or phrase names,herb,herbaceous
Carpobrotus sp. Thevenard Island (M.White 050),Aizoaceae,native,APC_accepted,phrase_name,species - WA,scraped from online flora,herb,herbaceous
Carpobrotus virescens,Aizoaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,herb,herbaceous
Cleretum bellidiforme,Aizoaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Cleretum papulosum,Aizoaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Cleretum papulosum subsp. papulosum,Aizoaceae,naturalised,APC_accepted,subspecies,species,scraped from online flora,herb,herbaceous
Conicosia pugioniformis,Aizoaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Conicosia pugioniformis subsp. muirii,Aizoaceae,naturalised,APC_accepted,subspecies,"species - FoA, Vic",scraped from online flora,herb,herbaceous
Delosperma vinaceum,Aizoaceae,naturalised,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Disphyma crassifolium,Aizoaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Disphyma crassifolium subsp. clavellatum,Aizoaceae,native,APC_accepted,subspecies,species,scraped from online flora,shrub,woody
Drosanthemum candens,Aizoaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Gunniopsis calcarea,Aizoaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Gunniopsis calva,Aizoaceae,native,APC_accepted,binomial,species - SA,scraped from online flora,herb,herbaceous
Gunniopsis divisa,Aizoaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Gunniopsis glabra,Aizoaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous woody_base
Gunniopsis intermedia,Aizoaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Gunniopsis kochii,Aizoaceae,native,APC_accepted,binomial,species - SA,scraped from online flora,herb,herbaceous
Gunniopsis papillata,Aizoaceae,native,APC_accepted,binomial,species - SA,scraped from online flora,herb,herbaceous
Gunniopsis propinqua,Aizoaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Gunniopsis quadrifida,Aizoaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Gunniopsis rodwayi,Aizoaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Gunniopsis rubra,Aizoaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Gunniopsis septifraga,Aizoaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Gunniopsis sp. Blue Hills (D.J.Edinger Nats 59),Aizoaceae,native,APC_accepted,phrase_name,species - library.dbca.wa.gov.au/static/FullTextFiles/072223.pdf (photo),website - well referenced material,herb,herbaceous
Gunniopsis sp. Lake Kerrylyn (N.Gibson et al. NG 7028),Aizoaceae,native,APC_accepted,phrase_name,(no information),"no information - usually phrase names, occasionally taxa without a recent revision",,
Gunniopsis sp. Nuytsland (G.J.Keighery & J.J.Alford 522),Aizoaceae,native,APC_accepted,phrase_name,species - WA,scraped from online flora,herb,herbaceous
Gunniopsis tenuifolia,Aizoaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Gunniopsis zygophylloides,Aizoaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Lampranthus glaucus,Aizoaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,shrub subshrub,woody
Lampranthus haworthii,Aizoaceae,naturalised,APC_accepted,binomial,species - Vic,scraped from online flora,shrub subshrub,woody
Lampranthus immelmaniae,Aizoaceae,naturalised,APC_accepted,binomial,species - Vic,scraped from online flora,shrub subshrub,woody
Lampranthus multiradiatus,Aizoaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,shrub subshrub,woody
Lampranthus tegens,Aizoaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,shrub,woody
