Site,Species,Family,N,Ca,K,Mg,P,S,Al,B,Co,Cr,Cu,Fe,Mn,Na,Ni,Zn,Se,cellulose,alkaloids,water content (% fresh wt),Total Phenolics_FW,Total Phenolics_DW,Condensed_Tannins_FW,Condensed_Tannins_DW,Condensed_Tannins/Total Phenolics,thickness,leafarea,SLA,Toughness,Tough_adj,Toughness_N_per_m,Tough_adj_N_per_m2,site name,latitude,longitude
3,Acacia melanoxylon,Mimosaceae,2.627,0.3215634,0.467318,0.2443084,0.1326248,0.1803149,80.7,29.8,0.1,0.3,5.265,97.8,306.5,1756.4,5,10.5,1,16.8,0,58.9,61.7,15,6,14.7,9.8,0.25,8.2,89.1,3,11.7,1871.663712,29197953.9,Tully Falls Rd: Smiths,-17.68174,145.52989
5,Acacia melanoxylon,Mimosaceae,2.004,0.2755255,0.6638525,0.1276819,0.0653312,0.1501235,19.8,17.6,0.1,0.3,4.825,37.4,325.3,909.4,5,10.1,1,20.3,0,51.6,72.2,14.9,6.2,12.8,8.6,0.31,15,63,3.2,10.5,1996.441292,21131687.07,Longlands Gap (rhyolite),-17.45501,145.47862
6,Acacia melanoxylon,Mimosaceae,2.686,0.5573195,0.5494469,0.2055495,0.1042958,0.2046169,16.6,16.7,0.1,0.3,7.321,60.2,497.6,779.4,5,11.9,1,20.2,0,53.8,54.9,11.9,4,8.7,7.3,0.26,11.4,80.8,2.5,9.4,1559.71976,22555947.29,Mt Haig,-17.10111,145.57346
7,Acacia melanoxylon,Mimosaceae,2.364,0.4683696,0.72439685,0.135491,0.071014,0.1521775,15.6,17.4,0.1,0.3,7.9595,41.6,445.6,737.6,5,8.5,1,21.1,0,60,69.5,17.4,4.9,12.3,7.1,0.31,15.2,74.5,3.1,10.1,1934.052502,20326670.42,Arthur Baillie Rd,-17.68914,145.50649
2,Acronychia aberrans,Rutaceae,3.164,0.9988434,0.7059471,0.3378906,0.2412742,0.2697489,46,30.5,0.1,0.392,22.441,82.5,487.1,1530.1,25.783,18.8,1,24.2,0,63.3,16.4,4.5,0.2,0.6,1.4,0.29,82.4,86.9,1.1,4,686.2766943,8605350.399,Mt Fisher: Kjellberg Rd,-17.54112,145.56136
4,Acronychia aberrans,Rutaceae,2.426,1.1248125,0.5433259,0.3748219,0.1123107,0.2161347,40.3,41,0.1,0.3,23.538,67.3,789,515.3,9.336,15.2,1,23.8,0,63.4,20.3,5.5,0.1,0.4,0.6,0.3,104.8,75.7,1.3,4.4,811.0542751,9150355.924,Malaan SF,-17.58672,145.582
9,Acronychia aberrans,Rutaceae,2.51,0.51382585,1.3904477,0.29024665,0.16800345,0.20794615,42.9,25.9,0.1,0.4735,13.307,50.1,337,239.2,8.1035,19.5,1,21.8,0,66,24.9,7.3,0.4,1.3,1.8,0.32,85.2,81.9,1.2,3.9,748.6654847,7603633.829,Lamins Hill (Cairns track),-17.36528,145.71537
17,Acronychia acidula,Rutaceae,2.779,1.1642497,1.2389238,0.3831536,0.2036708,0.1952569,29.8,23,0.1,0.3,12.848,53.1,160.2,285.4,5,21.4,1,29.1,0,67.1,19.1,5.8,0.5,1.6,2.7,0.32,93.2,12.9,1.3,3.9,811.0542751,7603633.829,Thomas Rd (recent basalt),-17.26548,145.56578
13,Acronychia acronychioides,Rutaceae,1.762,0.2896272,1.1252485,0.2176148,0.0730224,0.1288016,101.5,20.3,0.1,0.618,7.049,84.1,133,633.8,5,9.1,1,22.4,0,58.1,66.3,15.8,2.2,5.4,3.4,0.29,56.4,74.8,1.7,6,1060.609437,12908025.6,Cairns Track,-17.35164,145.72726
10,Acronychia vestita,Rutaceae,2.473,0.4455544,0.48326835,0.23570695,0.20337775,0.178761,63,22.3,0.1,0.48,19.051,81,701.1,1766.7,6.0485,18.5,1,17.6,0,62.4,47.7,12.7,6.8,18.1,14.2,0.24,74.6,103.6,0.9,3.8,561.4991135,9878225.145,Wallace Rd (Glen Allyn),-17.42063,145.67164
11,Acronychia vestita,Rutaceae,2.796,0.6079203,0.8635243,0.2953176,0.2029182,0.2117175,20.1,19.1,0.1,0.3,15.263,52.9,1065,1328.6,9.659,23.2,1,19,0,68.8,29.8,9.6,4.1,13.3,13.9,0.25,123.8,126.3,0.9,3.4,561.4991135,8484875.493,"Tully Falls Rd, near TF",-17.75847,145.54569
12,Acronychia vestita,Rutaceae,2.121,0.8367527,0.3723069,0.4269322,0.2252996,0.1719204,56.8,30.5,0.1,0.42,18.126,73.6,761.4,2380.3,8.505,27.8,1,21.5,0,67.8,44.3,13.8,7.5,23.3,16.9,0.26,76,119.5,0.9,3.6,561.4991135,8638447.9,Palmerston: Malaan Rd turnoff,-17.59143,145.70355
5,Agathis atropurpurea,Araucariaceae,1.107,0.4538365,0.5436946,0.2061571,0.0529315,0.0947376,29,19.6,0.1,0.436,3.871,41.2,207.1,202.8,5,7.4,1,23.4,0,56.1,55.2,12.6,8.6,19.5,15.5,0.4,11.4,68.7,2.2,5.4,1372.553389,8422486.703,Longlands Gap (rhyolite),-17.45501,145.47862
17,Aglaia sapindina,Meliaceae,2.882,0.8802703,2.365627,0.3556843,0.3291402,0.2206585,22.2,13.3,0.1,0.3,8.894,50.3,37.9,90,5,21.8,1,26.4,0,71.8,20.5,7.3,2.6,9.1,12.5,0.24,58.8,35.5,0.6,2.5,374.3327423,6498832.332,Thomas Rd (recent basalt),-17.26548,145.56578
1,Alangium villosum,Alangiaceae,3.439,0.6237208,2.109672,0.3164299,0.2014496,0.2349131,12.8,52.7,0.1,0.3,5.438,15.7,180,297.6,6.593,15.8,1,22.6,4,65.2,37.6,10.8,0.2,0.7,0.6,0.25,22.6,109.7,0.9,3.7,561.4991135,9233540.978,Longlands Gap (basalt),-17.46028,145.47473
11,Aleurites moluccana,Euphorbiaceae,2.774,1.4687059,1.8101461,0.5289824,0.193908,0.17884,28.8,35.5,2.306,0.309,4.289,50.4,321.7,51.6,5,12.3,1,21.2,0,70.3,6.9,2.3,0.3,1,4.4,0.34,NA,116.7,1,2.8,623.8879039,5137900.385,"Tully Falls Rd, near TF",-17.75847,145.54569
17,Aleurites moluccana,Euphorbiaceae,2.068,2.0321728,1.8399878,0.6693976,0.2489818,0.1436932,48.9,36.1,5.439,0.3,3.484,38.8,132,70.5,5,11,1,23.4,0,68.4,14.4,4.6,0.8,2.6,5.7,0.32,NA,17.9,1,3.2,623.8879039,6238879.039,Thomas Rd (recent basalt),-17.26548,145.56578
6,Alloxylon wickhamii,Proteaceae,1.046,0.1859557,0.4425024,0.2056659,0.0406948,0.1027867,392.2,24.8,0.1,0.3,3.288,41.5,108.9,1308.8,5,6.4,2.674650699,33.6,0,49.2,37.5,7.4,5.4,10.6,14.4,0.44,47,62.3,1.4,3.1,873.4430655,4395573.868,Mt Haig,-17.10111,145.57346
1,Alphitonia petriei,Rhamnaceae,1.972,0.194774,0.8505865,0.2351157,0.1319709,0.1582397,20.8,17.1,0.1,0.3,4.45,46.7,441.9,151.2,6.627,14.2,1,13.8,0,58.4,109.1,26.2,11.7,28.1,10.7,0.26,43.5,88.1,0.5,1.9,311.9439519,4559180.836,Longlands Gap (basalt),-17.46028,145.47473
2,Alphitonia petriei,Rhamnaceae,2.095,0.2299362,0.8389929,0.2255413,0.1583027,0.1555076,46.2,18.6,0.1,0.3,4.174,47.7,253.1,173,6.768,15,1,12.3,0,59.2,94.4,23.1,9.8,24.1,10.4,0.29,44.8,79.7,0.4,1.4,249.5551616,3011872.639,Mt Fisher: Kjellberg Rd,-17.54112,145.56136
3,Alphitonia petriei,Rhamnaceae,2.231,0.337516,0.7687135,0.2404749,0.1379909,0.1720704,49.1,21,0.1,0.3,5.963,52.3,339.2,152,8.365,14.8,1,9.1,0,59.9,126.2,31.5,14.9,37.2,11.8,0.29,58.6,93.9,0.5,1.7,311.9439519,3657273.919,Tully Falls Rd: Smiths,-17.68174,145.52989
4,Alphitonia petriei,Rhamnaceae,1.856,0.2204246,0.8209654,0.2217021,0.1735736,0.1412461,36.2,18.3,0.1,0.302,4.495,21.3,328.6,373.7,6.846,12.1,1,15.7,0,57.7,91.2,21.5,10.6,25.1,11.7,0.31,41,75.9,0.4,1.2,249.5551616,2415049.951,Malaan SF,-17.58672,145.582
5,Alphitonia petriei,Rhamnaceae,1.822,0.2084327,0.8498345,0.1192015,0.0604058,0.1423715,16.9,17.6,0.1,0.3,3.35,43.5,146.9,190.7,5,8.2,1,13.7,0,54.4,91.5,20,12,26.3,13.1,0.3,41.3,71,0.5,1.8,311.9439519,3743327.423,Longlands Gap (rhyolite),-17.45501,145.47862
6,Alphitonia petriei,Rhamnaceae,2.13,0.2050182,0.5521146,0.1443914,0.0848145,0.1610109,21.5,13.8,0.1,0.3,4.245,44.5,104.3,190.9,5,11.5,1,16.7,0,55.2,86.4,19.3,9.2,20.6,10.7,0.3,48.4,80.7,0.6,2.1,374.3327423,4367215.327,Mt Haig,-17.10111,145.57346
7,Alphitonia petriei,Rhamnaceae,2.36,0.3373757,1.0444622,0.1558902,0.1055724,0.1669667,27.2,24,0.1,0.3,4.241,43.1,413.4,56.6,5,11.8,1,14.7,0,56.8,88.9,20.6,10.2,23.5,11.4,0.32,73.2,78,0.5,1.7,311.9439519,3314404.489,Arthur Baillie Rd,-17.68914,145.50649
8,Alphitonia petriei,Rhamnaceae,1.963,0.2479359,0.9101784,0.1911534,0.0944583,0.1535933,15.7,18.4,0.1,0.3,3.994,42.2,119,108.7,5,12.4,1,13.8,0,58.8,85.2,20.7,11.1,26.9,13,0.31,39.2,84.8,0.5,1.5,311.9439519,3018812.438,Massey Creek,-17.60993,145.56264
9,Alphitonia petriei,Rhamnaceae,1.955,0.1995612,0.7947413,0.1932281,0.11021985,0.13316435,19,20.3,0.1,0.3545,4.461,39.8,316.9,144.5,5.968,14.1,1,15.2,0,57,100.7,23.4,9.2,21.4,9.1,0.31,40,78.4,0.5,1.6,311.9439519,3220066.601,Lamins Hill (Cairns track),-17.36528,145.71537
10,Alphitonia petriei,Rhamnaceae,2.175,0.2456693,0.9642087,0.1979151,0.1796885,0.14059425,46.2,23.9,0.1,0.365,4.7295,49.4,372,398.2,5,14.5,1,17.7,0,61.1,81.6,21,13.5,34.7,16.6,0.28,49,97.6,0.5,1.7,311.9439519,3787890.845,Wallace Rd (Glen Allyn),-17.42063,145.67164
11,Alphitonia petriei,Rhamnaceae,2.344,0.2642386,0.8763654,0.1625107,0.1378057,0.1584611,28.5,18.7,0.1,0.39,3.91,37.3,612.8,81.7,5,12,1,15.2,0,56.9,121.7,28.3,14.9,34.6,12.2,0.29,83,88.1,0.4,1.3,249.5551616,2796738.88,"Tully Falls Rd, near TF",-17.75847,145.54569
12,Alphitonia petriei,Rhamnaceae,2.309,0.2971252,0.8947546,0.19793,0.1504419,0.1623987,10.6,20.4,0.1,0.3,4.012,26.3,632.8,112.4,5.334,13.8,1,18.6,0,59.5,102,25.2,13.3,32.7,13,0.29,44.4,83.5,0.3,1.2,187.1663712,2581605.12,Palmerston: Malaan Rd turnoff,-17.59143,145.70355
13,Alphitonia petriei,Rhamnaceae,2.058,0.1951007,0.7461691,0.2332967,0.0947458,0.1446995,26,13.7,0.1,0.3,4.571,54.2,224,243.6,5,11.1,1,16.6,0,56.9,102.7,23.8,8.8,20.5,8.6,0.28,63.6,92.4,0.5,1.7,311.9439519,3787890.845,Cairns Track,-17.35164,145.72726
14,Alphitonia petriei,Rhamnaceae,1.989,0.261057,0.8877503,0.164334,0.098796,0.1306208,14.1,21.3,0.1,0.3,3.403,36.3,356.5,137.8,5,12.9,1,18.2,0,56.6,130.9,30.2,13.7,31.6,10.5,0.28,55.8,93.6,0.5,1.7,311.9439519,3787890.845,Robson Ck,-17.11917,145.62952
15,Alphitonia petriei,Rhamnaceae,1.877,0.22881585,0.89019275,0.17711355,0.07431325,0.1263498,36.2,17.5,0.1,0.3,3.6995,44.1,423.4,264.8,5,9.6,1,19.1,0,51.6,124.7,25.8,17.3,35.8,13.9,0.28,42.8,80.5,0.5,1.7,311.9439519,3787890.845,TF Rd rhyolite,-17.78676,145.55958
16,Alphitonia petriei,Rhamnaceae,1.815,0.2402443,0.8139723,0.2108783,0.1012467,0.1242215,28.1,19.3,0.1,0.3,3.88,33.8,352.5,84,5,12.4,1,17.7,0,58.3,84.7,20.3,12.2,29.3,14.4,0.29,56.8,90.4,0.5,1.8,311.9439519,3872407.679,Sutties Gap Rd,-17.64678,145.63772
1,Alphitonia whitei,Rhamnaceae,1.764,0.4646645,0.5446956,0.1769325,0.0789683,0.1242151,45.2,23,0.1,0.3,4.755,72.7,235.3,212.2,5,10.5,1,20.4,0,51,61.8,12.6,5.3,10.7,8.5,0.3,71.2,74.9,1.1,3.6,686.2766943,7486654.847,Longlands Gap (basalt),-17.46028,145.47473
4,Alphitonia whitei,Rhamnaceae,2.002,0.343194,0.7894921,0.275793,0.1358874,0.1423067,41,26.7,0.1,0.3,3.879,33.7,208.5,199.9,5,10.4,1,24.8,0,52.9,52.8,11.2,6.2,13.2,11.8,0.29,84,89.6,1.1,3.8,686.2766943,8175082.879,Malaan SF,-17.58672,145.582
5,Alphitonia whitei,Rhamnaceae,1.634,0.4615915,0.6199057,0.1519816,0.0595728,0.1117193,31.6,24.6,0.1,0.3,5.016,49.1,225.1,169.3,5,12,1,21.3,0,47,88.3,16.7,9.6,18.1,10.9,0.34,70,54.5,1,3,623.8879039,5504893.27,Longlands Gap (rhyolite),-17.45501,145.47862
6,Alphitonia whitei,Rhamnaceae,1.782,0.4619111,0.6056228,0.1811838,0.05929,0.1323491,47.6,21.9,0.1,0.3,3.409,63.8,326,187.7,5,11.7,1,22.1,0,48.9,56.5,11.1,5.1,10,9,0.36,86.4,63.3,1.6,4.4,998.2206462,7625296.603,Mt Haig,-17.10111,145.57346
9,Alphitonia whitei,Rhamnaceae,1.894,0.51014875,0.5351616,0.2404254,0.0935289,0.14281165,43.2,25.5,0.1,0.388,5.895,55.5,318.3,169.4,5.875,9.6,1,21.6,0,52,79.4,16.5,6.2,12.9,7.8,0.3,76,84.1,1.1,3.6,686.2766943,7486654.847,Lamins Hill (Cairns track),-17.36528,145.71537
11,Alphitonia whitei,Rhamnaceae,2.244,0.3907693,1.0273804,0.1953383,0.1709559,0.1414485,11.6,19.3,0.1,0.3,4.967,22.6,261.8,41.8,5,13.7,1,21.9,0,60.6,64.8,16.4,6.6,16.7,10.1,0.35,83.6,83.4,1,2.8,623.8879039,4991103.231,"Tully Falls Rd, near TF",-17.75847,145.54569
14,Alphitonia whitei,Rhamnaceae,1.766,0.4124564,0.9503334,0.1879698,0.0702818,0.1181205,17.3,28.9,0.1,0.3,6.048,42.4,125.4,154.2,5,9.4,1,23.2,0,53.2,80.4,17.2,8.2,17.5,10.2,0.31,150,84.1,1,3.1,623.8879039,6238879.039,Robson Ck,-17.11917,145.62952
15,Alphitonia whitei,Rhamnaceae,1.757,0.7500968,0.7658038,0.2001359,0.05984,0.1228107,29.4,29.9,0.1,0.3,4.559,54.7,516.9,249.2,5,11.5,1,21.4,0,51.7,68.5,14.2,7.9,16.3,11.5,0.34,67.8,66.9,1.2,3.7,748.6654847,6789368.366,TF Rd rhyolite,-17.78676,145.55958
13,Alstonia muelleriana,Apocynaceae,2.028,0.5458675,1.2449075,0.4098968,0.0701903,0.353264,118.7,37.2,0.1,0.43,5.334,98.6,122.1,1431.1,5,8.5,1,18.9,0,66.9,58.6,17.7,6.3,19.1,10.8,0.22,29.2,129.2,0.4,1.6,249.5551616,4537366.574,Cairns Track,-17.35164,145.72726
15,Alstonia muelleriana,Apocynaceae,2.057,0.3817161,1.8230691,0.2389125,0.105856,0.3155282,44.8,17.1,0.1,0.463,5.648,55.4,488.7,823.3,5,10.8,1,20.8,0,71.1,64.7,22.4,7.1,24.7,11,0.25,49.4,119.3,0.4,1.4,249.5551616,3493772.262,TF Rd rhyolite,-17.78676,145.55958
10,Alstonia scholaris,Apocynaceae,2.471,1.5803973,1.8200711,0.6719248,0.15262515,0.2033161,69.4,43.5,0.1,0.55,9.2415,52.9,138.7,826.2,12.037,11,1,30.4,1,72.8,9.3,3.4,0.6,2.2,6.4,0.28,37.4,165.5,1,3.6,623.8879039,8021415.907,Wallace Rd (Glen Allyn),-17.42063,145.67164
17,Argyrodendron #576,Sterculiaceae,2.458,0.4932091,1.3276124,0.1513175,0.2167437,0.0952118,15.9,14.1,0.1,0.3,8.778,32.7,26.7,39.7,5,8.8,1,21.3,1,59.9,74.1,18.5,9.2,23,12.4,0.28,38.6,30.3,1.4,4.8,873.4430655,10695221.21,Thomas Rd (recent basalt),-17.26548,145.56578
10,Argyrodendron #577,Sterculiaceae,2.152,0.6881709,0.63509895,0.1528472,0.1269223,0.13572005,34.3,67.1,0.1,0.3,9.14,36.9,444,396.4,6.3925,20.2,1,21.9,0,45.4,82.4,15.1,11.3,20.8,13.8,0.25,35.6,78.8,1.7,7,1060.609437,17468861.31,Wallace Rd (Glen Allyn),-17.42063,145.67164
17,Argyrodendron peralatum,Sterculiaceae,1.492,1.8379079,0.6956415,0.1573609,0.1228295,0.1049378,61.6,33.2,0.1,0.3,4.58,76.5,142.5,441.4,7.9,7,1,25.3,0,49.6,71.4,14.2,10.2,20.2,14.3,0.41,34,13.9,1.9,4.6,1185.387017,6999717.946,Thomas Rd (recent basalt),-17.26548,145.56578
9,Argyrodendron trifoliolatum,Sterculiaceae,1.527,0.53755875,1.02506825,0.2545312,0.09651895,0.15820035,71.9,22.4,0.1,0.516,12.8535,69.6,193.8,172,5.165,14.1,1,26.5,0,50.3,72.1,14.5,7,14.1,9.7,0.29,32.2,71.9,2.2,7.5,1372.553389,16135032,Lamins Hill (Cairns track),-17.36528,145.71537
17,Arytera divaricata,Sapindaceae,1.744,1.2575509,1.5655486,0.1499328,0.1614524,0.1409646,38.1,18.7,0.1,0.3,6.258,22.9,17.8,710.6,5,27.2,1,28,0,52.5,44.6,9.4,5.2,11,11.7,0.21,44,25.2,1.7,8,1060.609437,23767158.24,Thomas Rd (recent basalt),-17.26548,145.56578
9,Athertonia diversifolia,Proteaceae,1.229,1.4187738,0.7125715,0.33665805,0.0771334,0.19012155,3055.3,40.6,0.1,0.7235,11.9255,54.2,1178.9,109.5,6.541,7.9,4.191061671,22,0,57.5,29.2,6.9,0.6,1.5,2.2,0.31,150,72.9,1.8,5.7,1122.998227,11471487.27,Lamins Hill (Cairns track),-17.36528,145.71537
17,Austromyrtus sp (#939),Myrtaceae,1.712,0.4365179,1.2903448,0.1222618,0.1037061,0.2113355,31.4,15.6,0.1,1.437,3.944,39.8,18561.3,43.8,5,10,7.462686567,NA,0,68,55.5,17.3,0.9,2.9,1.7,0.22,16.8,121.4,0.9,4.3,561.4991135,12194172.67,Thomas Rd (recent basalt),-17.26548,145.56578
5,Balanops australiana,Balanopaceae,0.939,0.695911,0.6786293,0.3549731,0.0351802,0.1370588,57.3,37.4,0.1,0.3,2.448,52.8,29.7,442.6,5,15.7,1,23.7,0,53.4,67.4,14.4,8.4,18,12.4,0.4,16.8,54.9,2.3,5.7,1434.942179,8890402.631,Longlands Gap (rhyolite),-17.45501,145.47862
8,Bielschmiedia bancroftii,Lauraceae,3.706,0.4529346,0.5773144,0.067862,0.0849748,0.2371682,54.7,9.8,0.1,0.3,4.157,41.6,67.3,491.8,5,12.8,1,20.6,0,53.5,64.4,13.8,6,12.8,9.2,0.29,21.2,63.1,1.4,4.7,873.4430655,10111286.72,Massey Creek,-17.60993,145.56264
10,Bielschmiedia brunnea,Lauraceae,2.584,0.74752655,0.89540595,0.14523555,0.1440503,0.21111195,254.6,44.2,0.1,0.5765,14.4925,75.5,387.7,1115.4,5,13.7,1,25.4,4,58.7,48.8,11.8,0,0,0,0.21,36.8,104.5,1.1,5,686.2766943,14854473.9,Wallace Rd (Glen Allyn),-17.42063,145.67164
2,Bielschmiedia collina,Lauraceae,2.547,0.3394137,0.7736781,0.4291015,0.1586686,0.3293339,181.1,13,0.1,0.475,7.748,60.5,166.2,867.8,7.521,12.6,1,19.4,0,55.7,67.3,15.2,6.8,15.4,10.2,0.25,30.6,87.9,1.2,4.9,748.6654847,12228202.92,Mt Fisher: Kjellberg Rd,-17.54112,145.56136
6,Bielschmiedia collina,Lauraceae,2.385,0.1692149,0.5381037,0.2448884,0.0779348,0.2407981,91.4,15,0.1,0.3,4.601,50.4,63.4,1208.4,5,9.7,1,19.4,0,50.6,85.9,17.4,8.8,17.9,10.3,0.25,30.8,75.1,1.3,5.2,811.0542751,12976868.4,Mt Haig,-17.10111,145.57346
7,Bielschmiedia collina,Lauraceae,2.379,0.2561175,0.9468238,0.2557848,0.0861952,0.2335652,90.3,24.7,0.1,0.355,8.094,45.9,103.5,835.5,5,11.1,1,22.1,0,51,70.5,14.4,5.6,11.4,7.9,0.22,22.8,81.4,1,4.8,623.8879039,13612099.72,Arthur Baillie Rd,-17.68914,145.50649
8,Bielschmiedia collina,Lauraceae,2.299,0.1622818,0.7423859,0.2709792,0.0743024,0.2371741,185.3,11.4,0.1,0.35,4.86,56.5,29,1033.9,5,8.3,1,14.7,0,51,92.3,18.8,9.9,20.3,10.8,0.27,13.8,69.7,1.1,4.1,686.2766943,9473853.355,Massey Creek,-17.60993,145.56264
8,Bielschmiedia collina,Lauraceae,2.233,0.3881985,0.83350255,0.315505,0.07901935,0.25001485,135.4,10.5,0.1,0.3,5.595,46.9,52,480.3,5,12,1,17.2,0,52.2,92.6,19.4,10.1,21,10.9,0.26,23.8,68.8,1,3.9,623.8879039,9358318.558,Massey Creek,-17.60993,145.56264
13,Bielschmiedia collina,Lauraceae,1.971,0.3988579,0.8654845,0.3618168,0.0732753,0.229104,194.5,19.3,0.1,0.332,6.555,86.8,102.6,1426.4,5,12.1,1,19.5,0,49.8,96.5,19.2,7.9,15.7,8.2,0.26,22,69.2,1.1,4.5,686.2766943,10798059.88,Cairns Track,-17.35164,145.72726
8,Bielschmiedia recurva,Lauraceae,1.95,0.28442485,0.89692395,0.3718299,0.0891308,0.17307165,138.7,15.5,1.3,0.3,4.2575,50,64,1495.6,5,8.2,1,15.6,0,59.1,72,17.6,5.9,14.5,8.2,0.38,37.6,54.5,1.1,2.9,686.2766943,4761249.793,Massey Creek,-17.60993,145.56264
9,Bielschmiedia recurva,Lauraceae,1.694,0.3934808,1.0049304,0.4456913,0.14175895,0.2271326,109.8,15.2,6.8,1.5675,6.441,48.3,71,3063.8,18.5555,10.1,1,17.9,0,63.2,55.7,15.1,5.2,14.1,9.3,0.35,49,69.6,1.1,3.2,686.2766943,5704117.978,Lamins Hill (Cairns track),-17.36528,145.71537
2,Bielschmiedia tooram,Lauraceae,1.105,0.1419131,0.4245539,0.1202142,0.0976508,0.1587493,50.1,12.5,0.1,0.3,7.585,39.2,68.1,234.7,5,11.7,1,30.8,0,44.8,76.5,13.9,8.4,15.2,11,0.27,35.2,66.4,1.8,6.9,1122.998227,15943801.99,Mt Fisher: Kjellberg Rd,-17.54112,145.56136
3,Bielschmiedia tooram,Lauraceae,1.305,0.2772954,0.8041571,0.1654042,0.1348209,0.1488299,106.3,23.3,0.1,0.509,8.27,58.2,221.7,164.5,5,11.5,1,29.4,0,47.5,95.7,18.2,11.8,22.5,12.3,0.28,41.6,64.8,1.5,5.3,935.8318558,11809306.75,Tully Falls Rd: Smiths,-17.68174,145.52989
2,Bleasdalea bleasdalei,Proteaceae,1.271,0.4321298,0.2676682,0.2581283,0.0813842,0.1898045,7418.9,4.7,0.1,0.81,6.169,46.8,241,853.7,5,6.2,1,29.8,0,50.3,60,12.1,7,14.1,11.7,0.22,27,84.9,1.3,5.8,811.0542751,16447953.83,Mt Fisher: Kjellberg Rd,-17.54112,145.56136
