1,Genus_species,Genus,Species,Family,Order,superorder,Species code,location,lat,long,d13C,wood density (g/cm3),LMA (g m-2),Leaf size (cm2),Ks (kg m-1 s-1 MPa -1),PSIpd (MPa),PSImd (MPa),Amass (umol/kg/s),Aarea (umol m-2 s-1),Rmass (umol/kg/s),Rarea,max_ht (m),MOR (Pa),MOE (Pa),LA/SA at 1.0 cm (m2/m2),LA/SA Gleason 2012 (m2/m2),gl N (mg/g),gl P (mg/g),gl K (mg/g),gl S (mg/g),gl C (mg/g),gl Ca (mg/g),gl Mg (mg/g),gl Na (mg/g),gl Cu (mg/kg),gl Zn (mg/kg),gl Mn (mg/kg),gl Fe (mg/kg),gl B (mg/kg),gl Mo (mg/kg),gl Co (mg/kg),gl Si (mg/kg),gl Crude Protein,stem N (mg/g),stem P (mg/g),N area (mg/cm3),P area (mg/cm3),stem K (mg/g),stem S (mg/g),stem C (mg/g),stem Ca (mg/g),stem Mg (mg/g),stem Na (mg/g),stem Cu (mg/kg),stem Zn (mg/kg),stem Mn (mg/kg),stem Fe (mg/kg),stem B (mg/kg),stem Mo (mg/kg),stem Co (mg/kg),stem Si (mg/kg),Crude Protein (%),bark thickness (mm bark/mm whole-stem),Ksap (kg m-1 s-1 MPa -1),Kl (10^4 x kg m-1 s-1 MPa -1),WUE (mmol CO2/mol H2O/m2/s,SA (mm),E (mmol/m2/s)
12,Eucalyptus tenuiramis,Eucalyptus,tenuiramis,Myrtaceae,Myrtales,Rosidae,EucTen,Bothwell,-42.387,147.048,-28.102,0.75,179.6,9.294,6.88,-0.49,-1.47,74.06,13.304,13.15,2.36,21,67.893,5170.607,6998.69622,,17.1047619,0.986434528,7.445604527,1.37875,548.8,2.885353026,2.247376591,1.776924682,6.179154659,13.89000961,356.0626801,44.95315778,14.83465418,0,0.110080451,322.2908862,10.69047619,,,,,,,,,,,,,,,,,,,,0.20648,6.88,,5.61,21.07226414,2.604
13,Exocarpos cupressiformis,Exocarpos,cupressiformis,Santalaceae,Santales,Rosidae,ExoCup,Bothwell,-42.387,147.048,-27.748,0.65,266.7,0.349,2.03,-1.11,-2.64,16.79,4.477,9.78,2.61,6.5,39.754,2474.565,3288.27194,,12.22857143,0.955605662,9.009642823,1.079375,545.1,0.982149006,1.383332323,0.784454625,4.404097963,16.1139064,74.06522793,48.3402483,15.78755456,0,0.076018429,226.6370635,7.642857143,,,,,,,,,,,,,,,,,,,,0.20493,2.03,,4.96,21.18397917,0.972
14,Leucopogon ericoides,Leucopogon,ericoides,Epacridaceae,Ericales,Dilleniidae,LeuEri,Bothwell,-42.387,147.048,-28.201,0.68,112.3,0.057,0.39,-0.33,-1.09,78.49,8.812,28.56,3.21,1.7,78.102,6246.662,1307.46726,,11.40952381,0.670324742,3.316001841,1.082875,542.5,3.932006627,1.691149239,0.769346895,9.959499264,17.4733677,129.817133,105.0479588,23.3621134,0,0.135830879,309.6610211,7.130952381,,,,,,,,,,,,,,,,,,,,0.12764,0.39,,5.38,15.14198572,1.832
15,Leucopogon virgatus,Leucopogon,virgatus,Epacridaceae,Ericales,Dilleniidae,LeuVir,Bothwell,-42.387,147.048,,0.77,116.7,0.032,0.16,-0.42,-1.79,55.2,6.44,17.03,1.99,0.6,59.292,4626.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16384,0.16,,6.75,4.87488786,1.349
16,Persoonia juniperina,Persoonia,juniperina,Proteaceae,Proteales,Rosidae,PerJun,Bothwell,-42.387,147.048,-27.01,0.65,216.5,0.125,0.68,-0.47,-1.29,10.69,2.314,5.94,1.29,1.4,52.38,4195.674,3611.14967,,8.599047619,0.723401641,3.416429018,0.828375,506.5,1.222040054,1.94586367,0.57418159,1.853258207,12.29685203,130.1880206,105.8268403,15.97764576,0.162297893,0.063418667,295.4434713,5.374404762,,,,,,,,,,,,,,,,,,,,0.14932,0.68,,4.52,18.11836594,0.672
17,Pultenaea juniperina,Pultenaea,juniperina,Fabaceae,Fabales,Rosidae,Pul,Bothwell,-42.387,147.048,-27.457,,155.2,0.076,0.05,-0.69,-1.63,57.47,8.921,25.75,4,1.4,70.576,5773.65,3456.29027,,14.95238095,0.465082968,6.566169103,1.11825,494.3,2.522345882,2.890699714,1.86605854,3.605628655,18.1517422,50.43433236,67.81472076,16.33013523,0,0.129050926,361.1982212,9.345238095,,,,,,,,,,,,,,,,,,,,0.19667,0.05,,5.6,21.31031832,1.778
18,Acacia crassicarpa,Acacia,crassicarpa,Mimosaceae,Fabales,Rosidae,AcaAul,Cardwell,-18.437,146.13,-29.05,0.51,78.9,57.9,8.65,-0.19,-0.88,169.95,13.414,26.63,2.1,20,49.828,4513.967,17896.39582,11425,20.4342,0.616397026,6.713746329,1.93149,513.45,4.387594224,1.779252753,2.982417401,6.555097651,25.10279001,51.16387225,53.97749535,10.27381302,0,0,234.6835536,12.771375,4.3269,0.147388996,2.196766689,0.080525276,2.832212235,0.24801,472.395,2.137813103,0.41781431,0.799484073,7.20378861,20.62680985,5.73238417,45.46754344,4.847369691,0.079614382,0,107.8088803,2.7043125,0.23161,8.65,7.21,2.74,15.8311137,5.122
19,Acacia flavescens,Acacia,flavescens,Mimosaceae,Fabales,Rosidae,AcaFla,Cardwell,-18.437,146.13,-28.538,0.64,108.2,60.6,9.38,-0.24,-1.93,109.22,11.82,17.5,1.89,20,56.908,5165.107,10000.70603,11195,27.3142,0.845666534,10.35138203,1.79729,501.27,2.652729829,3.414931174,2.049341687,5.5614022,12.1002445,26.84402934,30.99724694,23.950978,0.100244499,0.121363081,273.1107579,17.071375,4.107,0.117085811,2.616369714,0.067493413,1.084563022,0.51083,476.805,3.506153163,0.899964158,0.355285627,7.271498771,4.948249386,13.78286241,13.0387715,6.041031941,0,0,72.67616708,2.566875,0.20286,9.38,6.03,3.17,15.5731104,4.528
20,Acacia mangium,Acacia,mangium,Mimosaceae,Fabales,Rosidae,AcaMan,Cardwell,-18.437,146.13,-28.645,0.4,101.1,87.2,3.48,-0.27,-0.97,132.01,13.352,24.72,2.5,30,45.289,4753.891,8186.72135,8658,24.7942,0.699910807,12.11904948,1.53989,505.785,4.434763765,0.996889974,2.008508743,7.020349206,18.95027282,111.6412411,63.13536756,17.19074901,0,0,156.3035714,15.496375,5.681,0.210242658,2.292587839,0.079920229,3.711304294,0.384905,476.805,6.972741115,0.547857971,0.140566387,3.891288253,7.492596249,24.94916091,9.030745311,4.983002221,0.428183613,0,77.63314413,3.550625,0.24169,3.48,4.01,2.5,19.14415877,5.632
21,Allocasuarina torulosa,Allocasuarina,torulosa,Casuarinaceae,Casuarinales,Hamamelidae,AllTor,Cardwell,-18.437,146.13,-28.904,0.62,188.4,1,2.27,-0.3,-1.99,24.64,4.644,4.13,0.78,15,64.145,6371.029,4724.56609,4175,10.7542,0.313064533,3.96212201,0.68244,495.18,4.664683612,1.425177811,1.131777632,3.539,6.958732057,220.9338301,49.23994737,9.85861244,0,0.225,164.8385167,6.721375,3.347,0.119362063,2.083861532,0.078265012,1.664879343,0.322115,460.005,4.114988295,0.407706228,0.711046852,5.526737309,6.717071217,79.74747413,5.902370626,4.493161656,0,0,61.84512075,2.091875,0.19381,2.27,7.1,4.41,17.7421131,0.902
22,Alphitonia excelsa,Alphitonia,excelsa,Rhamnaceae,Rhamnales,Rosidae,AlpExc,Cardwell,-18.437,146.13,-27.104,0.37,80.6,32.3,5.68,-0.35,-1.15,162.4,13.0933,13.5,1.09,25,46.477,4395.995,5611.68359,5048,20.2242,0.863777542,10.71082869,1.24399,493.185,3.809940073,2.152009958,0.145550908,5.37177845,11.99394673,329.7041913,52.40882082,12.76973366,0,0.050605327,289.2276029,12.640125,3.8259,0.190640556,1.418068155,0.095101096,2.498091752,0.213675,470.61,4.093014885,1.261461079,0.232767204,8.149097121,12.6659346,80.13726208,46.39580283,9.188018546,0,0.087217972,118.9692533,2.3911875,0.19482,5.68,13.35,3.62,21.63371387,3.97
23,Canarium australianum,Canarium,australianum,Burseraceae,Sapindales,Rosidae,CanAus,Cardwell,-18.437,146.13,-29.864,0.45,,255.5,3.26,-0.21,-0.49,94.37,8.885,9.78,0.92,20,32.384,2250.974,7283.94527,5891,14.6642,1.019225362,9.324277174,1.27259,450.135,7.57681401,1.819640489,0.577863345,7.519525362,10.63466184,70.20330435,52.08364493,33.95157005,0.062801932,0,758.5521739,9.165125,4.702,0.309855736,2.128815023,0.145714492,3.86653086,1.09503,473.235,5.589654052,1.317497974,0.387082294,4.244389027,13.3855985,98.06960723,14.8155611,6.05255611,0.058603491,0,152.4481297,2.93875,0.29961,3.26,5.26,4.27,21.61940392,2.5755
24,Chionanthus ramiflora,Chionanthus,ramiflora,Oleaceae,Gentianales,Asteridae,ChiRam,Cardwell,-18.437,146.13,-28.558,0.56,117.9,100.2,2.37,-1.43,-2.86,35.46,4.182,7.75,0.91,18,64.451,6332.935,8103.36087,7509,17.4842,1.104230347,14.71080322,1.69829,470.505,8.182942505,1.533249298,0.108681396,11.68539893,34.81323242,25.05504199,31.42746729,21.89985352,0,1.633972168,244.3366699,10.927625,2.275,0.16435018,1.273793566,0.102552597,2.503598377,0.182045,473.445,5.839138341,0.587392969,0.2178125,6.079326923,14.59269832,6.374459135,13.62954327,6.363701923,0,0,70.31213942,1.421875,0.1847,2.37,3.28,7.25,29.04088249,0.75175
25,Corymbia intermedia,Corymbia,intermedia,Myrtaceae,Myrtales,Rosidae,CorInt,Cardwell,-18.437,146.13,-27.192,0.6,93.8,32.6,3.61,-0.22,-1.42,106.31,9.97,24.5,2.3,35,37.674,2657.346,8891.73947,6500,14.8442,0.896170705,10.32154623,1.05864,501.585,3.140793257,1.867142848,1.510980478,6.306191373,14.7273178,116.1048235,25.56991175,12.85751116,0,0.383273426,185.8349033,9.277625,5.502,0.127502918,3.28196332,0.0807527,1.404500506,0.49519,486.99,2.66820745,1.119968944,0.483850197,5.687232015,3.472189138,12.38339686,6.784759409,4.41111839,0,0,85.88423059,3.43875,0.3054,3.61,7.73,3.51,14.53795562,3.4875
26,Eucalyptus platyphylla ,Eucalyptus,platyphylla,Myrtaceae,Myrtales,Rosidae,EucPla,Cardwell,-18.437,146.13,-27.731,0.49,103.4,92.4,2.62,-0.21,-2.11,162.7,16.82,20.99,2.17,35,42.559,3156.302,5775.5312,6787,12.1642,0.637935159,7.600077624,0.9647,500.115,9.577970059,1.921377741,0.550634303,6.440232134,15.8446279,646.9805559,34.71277427,35.49812716,0.577254805,0.085448497,231.0650567,7.602625,4.542,0.32632398,2.206710991,0.182986084,4.843876276,0.47656,470.505,10.85299913,1.386143728,0.123076624,6.707939273,22.17427825,69.70230836,27.7719562,11.62307118,0.100174216,0.053198109,313.565331,2.83875,0.21481,2.62,5.28,2.09,21.61753467,7.9525
27,Ixora timorensis,Ixora,timorensis,Rubiaceae,Rubiales,Asteridae,IxoTim,Cardwell,-18.437,146.13,-27.007,0.52,81.5,90.3,2.4,-0.69,-1.39,91.57,7.466,8.67,0.71,8,59.206,5640.078,8987.99772,6452,21.6542,1.148960183,14.1276784,2.73559,470.715,11.46343183,5.145072738,0.38903666,5.260726336,10.01839137,63.7259897,83.31226287,15.30588524,0.362923001,0.157828592,211.7140755,13.533875,3.383,0.328015212,1.758494942,0.157780577,5.176546747,0.56971,473.13,3.686944444,0.861400884,0.341326209,10.02224627,11.04157648,9.027146465,10.53891775,6.582491582,0,0,87.01430976,2.114375,0.15735,2.4,4.08,4.56,16.8870187,1.6352
28,Lophostemon suaveolens,Lophostemon,suaveolens,Myrtaceae,Myrtales,Rosidae,LopSua,Cardwell,-18.437,146.13,-27.477,0.54,61.8,51.5,1.39,-0.21,-1.68,195.47,12.074,31.15,1.92,25,48.616,4093.993,11798.3021,3927,12.8142,0.585309473,4.413324388,1.08295,509.565,7.574205567,1.388349133,1.089446206,7.197144034,15.2646031,269.7954623,51.67434249,28.85229656,0,0.055728907,363.0621568,8.008875,5.001,0.159376284,2.692029658,0.073074501,2.477873227,0.619965,479.115,2.015225978,0.523345416,0.298690403,2.833129584,14.58025672,106.0082824,12.32850856,4.626711491,0,0,142.6314181,3.125625,0.17454,1.39,5.29,3.87,28.16048256,3.54
29,Macaranga involucrata,Macaranga,involucrata,Euphorbiaceae,Euphorbiales,Rosidae,MacInv,Cardwell,-18.437,146.13,-28.784,0.4,69.8,98,3.09,-0.15,-0.28,89.04,6.214,11.77,0.82,5,53.697,6982.159,7817.62344,6136,20.6642,1.455373033,12.45075924,1.80059,464.94,10.58315497,3.074992133,0.209277473,8.384148601,12.31518482,294.2779091,61.41045055,29.96520979,0.149225774,0.125156094,745.3891109,12.915125,3.6019,0.253840833,1.435450803,0.098715971,2.67851961,0.32088,466.515,2.357779115,0.932529475,0.115391723,3.596607315,8.209817132,51.63618864,37.5060154,4.980149182,0,0,111.1761309,2.2511875,0.15146,3.09,7.2,5.19,25.82508934,1.3636
30,Macaranga tanarius,Macaranga,tanarius,Euphorbiaceae,Euphorbiales,Rosidae,MacTan,Cardwell,-18.437,146.13,-25.064,0.39,78.7,145.2,4.35,-0.16,-0.4,88.45,6.96,11.99,0.94,7,41.307,4580.139,7436.88678,8549,20.3442,1.334208581,11.06839525,1.48929,472.29,5.373187221,2.508613299,0.155641283,6.580963843,13.55993066,78.47526152,73.535158,20.14868747,0,0.099399455,400.8439822,12.715125,3.745,0.406178451,1.463281876,0.126450544,2.710643521,0.68701,473.235,3.723814611,1.249394215,0.230148257,6.268098456,11.71506998,59.84543919,15.78710425,7.317929537,0,0.162192326,71.60641892,2.340625,0.22682,4.35,4.54,5.03,22.58371185,1.6286
31,Planchonia careya,Planchonia,careya,Lecythidaceae,Lecythidales,Dilleniidae,PlaCar,Cardwell,-18.437,146.13,-26.949,0.44,89.1,38.1,9.35,-0.21,-0.87,106.48,9.488,9.98,0.89,7,24.31,1520.431,5336.25533,3678,17.5242,0.925008057,7.768711424,1.76759,474.495,8.326907666,4.350072517,0.392447175,3.076070682,19.11896466,72.583777,34.27457641,17.46500747,0,0,226.1759582,10.952625,5.8529,0.3110173,2.584865203,0.183986272,5.061134868,0.638085,464.205,3.793039717,1.439834917,0.653829678,9.718567251,37.17166179,40.62439084,37.81798246,9.353070175,0,0.055835526,257.1118421,3.6580625,0.3931,9.35,29.8,2.34,16.3228672,4.128
32,Polyscias elegans,Polyscias,elegans,Araliaceae,Umbellales,Rosidae,PolEle,Cardwell,-18.437,146.13,,0.38,,323.4,4.35,-0.08,-0.31,50.26,3.66,17.17,1.25,25,28.78,3607.265,,12326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19272,4.35,3.08,6.15,8.791401466,0.6112
33,Timonius timon,Timonius,timon,Rubiaceae,Rubiales,Asteridae,TimTim,Cardwell,-18.437,146.13,-28.649,0.47,84.9,27.4,6.36,-0.37,-0.89,102.11,8.674,15.92,1.35,10,58.58,5309.415,5153.5929,5860,15.6542,0.945072312,11.03118113,1.45959,490.77,5.16987567,2.004347483,0.833127316,7.048976841,10.66979522,40.35527157,164.5911926,18.60533886,0.134080936,0.066004388,200.336665,9.783875,5.5849,0.390412816,2.634251283,0.223000164,4.737670233,0.44478,469.98,2.516584995,0.70902055,0.297002918,8.187621595,15.43409533,59.33365759,1109.946498,6.152115759,0.511577335,0.54818142,271.8210117,3.4905625,0.16501,6.36,11.4,5.14,17.48996887,2.1638
34,Acacia holosericea,Acacia,holosericea,Mimosaceae,Fabales,Rosidae,AcaHol,Claraville,-18.705,141.818,-26.874,0.577,133,28.4,4.1,-0.461,-1.322,221.98,29.52,31.14,4.14,3,65.666,7008.199,8807.15659,,26.838,0.90701157,10.54357109,1.6928,516.495,4.313339695,1.879071058,0.351094287,4.728533874,12.88764313,113.5796658,37.65144847,27.89426288,0.301765267,0.176914361,194.7526539,16.77375,3.8979,0.115640819,2.2490883,0.062569549,1.453755583,0.2121,465.465,4.739424938,0.678679901,0.607564764,4.773573201,14.99813896,18.27915633,33.94789082,4.33808933,0.426391749,0.058597705,45.04764268,2.4361875,0.21568,4.1,,3.06,17.51280825,11.31242267
35,Alphitonia excelsa,Alphitonia,excelsa,Rhamnaceae,Rhamnales,Rosidae,AlpExc,Claraville,-18.705,141.818,,0.64,132.1,17.2,2.82,-0.605,-2.092,181.14,23.92,12.9,1.7,8,46.771,3209.289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29674,2.82,,3.03,12.45484408,7.980838816
36,Archidendropsis basaltica,Archidendropsis,basaltica,Fabaceae,Fabales,Rosidae,ArcBas,Claraville,-18.705,141.818,-25.352,0.735,172.6,15.8,4.26,-1.007,-2.374,219.71,21.28,28.74,2.78,10,25.434,1269.878,6874.77933,,19.65714286,0.747541233,8.061595035,1.56625,519.2,6.512019564,1.875075997,0.100388621,7.059806835,7.273402675,59.49727588,91.84144577,44.61134844,0.233407628,1.108686231,319.6420877,12.28571429,8.9479,0.251984591,6.5767065,0.194921194,1.870255614,0.597345,457.17,15.78041627,0.555093765,0.070808887,6.774964166,21.970258,20.18275203,57.21810798,13.96261347,2.646804646,0.129926481,113.1643574,5.5924375,0.41689,4.26,,2.51,15.14803721,9.059168765
37,Carissa lanceolata,Carissa,lanceolata,Apocynaceae,Gentianales,Asteridae,CarLan,Claraville,-18.705,141.818,-28.024,0.684,127.4,1.2,2.38,-0.837,-2.213,116.25,14.81,12.59,1.6,2,49.142,2615.591,3786.71571,,10.9515,0.510992788,8.239885216,1.3202,513.66,7.068411058,2.656559946,0,7.353778846,15.72536058,299.3352031,57.10151683,137.1489784,0.189302885,0.237530048,216.2665264,6.8446875,5.7679,0.256316437,3.9452436,0.197815919,3.93548659,0.57015,471.45,11.83390071,0.896106053,0.181664616,10.37586122,35.71358268,82.95337106,59.72010335,11.13127461,0.230531988,0.22029626,111.5684055,3.6049375,0.32784,2.38,,2.83,19.22887182,5.329283113
38,Corymbia polycarpa,Corymbia,polycarpa,Myrtaceae,Myrtales,Rosidae,CorPol,Claraville,-18.705,141.818,-26.606,0.576,156,12.9,8.37,-0.526,-1.567,172.68,26.93,20.63,3.22,15,39.366,2773.575,9426.33379,,13.31428571,0.819677942,9.345406944,1.1035,519.8,3.584327824,1.828024852,0,5.334854465,16.33719783,342.8959053,22.9257373,17.212722,0.068450913,6.716082881,213.4690429,8.321428571,2.4819,0.211263086,1.4295744,0.139676373,3.612715603,0.290325,461.475,6.278232802,1.317843345,0.187815553,4.444790628,21.6245015,147.00835,36.54100199,7.710618146,0.06555172,0.445839855,69.77392822,1.5511875,0.25223,8.37,,3.02,16.20780637,10.0716407
39,Dodonaea physocarpa,Dodonaea,physocarpa,Sapindaceae,Sapindales,Rosidae,DodPhy,Claraville,-18.705,141.818,-26.089,0.799,136.2,1.7,1.07,-0.985,-2.117,185.38,23.45,13.21,1.67,1.5,71.746,6511.551,3509.02248,,13.3245,0.700832307,12.83926195,1.31905,480.69,8.793039059,2.599451207,0.578093919,2.603865451,13.51527846,81.05194455,59.37447708,34.65420158,0.471907344,0.54512691,185.7141757,8.3278125,1.6289,0.133827857,1.3014911,0.11067527,1.29937592,0.200025,466.62,3.172003433,0.237889284,0.052024767,3.541564492,24.74558607,14.97793036,30.7405591,3.967631192,0,0.120214995,241.6942128,1.0180625,0.17069,1.07,,3.59,15.00839342,7.588945687
40,Erythrophleum chlorostachys,Erythrophleum,chlorostachys,Fabaceae,Fabales,Rosidae,EryCle,Claraville,-18.705,141.818,-25.131,0.717,160.3,380.6,2.35,-0.671,-2.639,,17.04,,2.35,15,35.507,2112.338,,,25.48571429,0.826478257,6.034543426,1.170125,543.8,2.225913392,1.082851801,0.03911102,6.508369723,9.308102863,50.24078117,41.07755386,36.49590611,0,0.305949782,251.0636827,15.92857143,8.2459,0.229743159,5.9123103,0.176944597,1.600472015,0.274155,471.975,5.591019279,0.551201493,0,5.891791045,12.20460199,75.18718905,53.82835821,20.78793532,0.204744403,0.06043097,90.82910448,5.1536875,0.35206,2.35,,3.23,14.47548505,5.594767293
41,Gardenia vilhelmii,Gardenia,vilhelmii,Rubiaceae,Rubiales,Asteridae,GarVil,Claraville,-18.705,141.818,-27.533,0.643,99.7,2.6,2.71,-1.009,-2.355,139.07,13.86,15.34,1.53,4,31.76,1285.322,4675.10751,,14.91428571,0.772212021,12.72216046,1.58625,452.6,13.21177421,2.361334747,0.706770127,4.627581121,5.790007375,44.74250246,72.23810546,30.00424041,0.301745329,0.11384587,242.2544248,9.321428571,3.9569,0.26151177,2.5442867,0.188204773,6.422687592,0.49245,458.85,9.992473639,0.608320868,0,5.287518391,13.75919568,10.58913683,44.0430358,12.96346248,0.07849013,0.124628923,77.39970574,2.4730625,0.33747,2.71,,2.47,17.63099496,5.23754813
42,Grevillea parallela,Grevillea,parallela,Proteaceae,Proteales,Rosidae,GrePar,Claraville,-18.705,141.818,,0.672,217.3,12.2,3.34,-1.197,-2.33,98.75,21.46,5.14,1.12,7,55.837,4343.844,5868.95119,,,,,,,,,,,,,,,,,,,2.6269,0.102522953,1.7652768,0.073564323,1.478040323,4.49673,462.21,8.100761787,0.390797146,0.568443424,5.019230769,21.72890819,92.08312655,43.34243176,6.222084367,0.086379342,0.109404156,77.2898263,1.6418125,0.2137,3.34,,3.32,24.60454526,6.662362386
