family,SID taxa,spauth,infraspecauth,pdadesc,pdasubgroupdesc,method,animalgp,animalspecies,dispnotes,refshort,refdesc
AMARANTHACEAE,Maireana scleroptera,(J.M.Black) Paul G.Wilson,,Unassisted,Seeds drop to the ground close to or beneath the parent plant,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
AMARANTHACEAE,Ptilotus helipteroides,(F.Muell.) F.Muell.,,Wind,,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
AMARANTHACEAE,Ptilotus macrocephalus,(R.Br.) Poir.,,Wind,,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
AMARANTHACEAE,Ptilotus obovatus,(Gaudich.) F.Muell.,,Wind,,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
AMARANTHACEAE,Rhagodia spinescens,R.Br.,,Animal,Diaspore is eaten intentionally,Assumption based upon diaspore morphology,,,The fruit is fleshy/juicy.,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
AMARANTHACEAE,Sclerolaena bicornis,Lindl.,,Unassisted,Seeds drop to the ground close to or beneath the parent plant,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
AMARANTHACEAE,Sclerolaena convexula,(R.H.Anderson) A.J.Scott,,Animal,Diaspore is carried intentionally,Assumption based upon diaspore morphology,Ants.,,Diaspore=seed. The seed has an elaiosome.,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
AMARANTHACEAE,Sclerolaena cornishiana,(F.Muell.) A.J.Scott,,Unassisted,Seeds drop to the ground close to or beneath the parent plant,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
AMARANTHACEAE,Sclerolaena costata,(R.H.Anderson) A.J.Scott,,Unassisted,Seeds drop to the ground close to or beneath the parent plant,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
AMARANTHACEAE,Sclerolaena cuneata,Paul G.Wilson,,Unassisted,Seeds drop to the ground close to or beneath the parent plant,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
AMARANTHACEAE,Sclerolaena lanicuspis,(F.Muell.) F.Muell. ex Benth.,,Unassisted,Seeds drop to the ground close to or beneath the parent plant,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
AMARANTHACEAE,Sclerolaena parviflora,(R.H.Anderson) A.J.Scott,,Unassisted,Seeds drop to the ground close to or beneath the parent plant,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
APIACEAE,Daucus glochidiatus,"(Labill.) Fisch., C.A.Mey. & Avé-Lall.",,Animal,Diaspore is carried accidentally,Assumption based upon diaspore morphology,,,,"(McIntyre et al., 1995)","McIntyre, S., Lavorel, S. and Tremont, R.M. 1995. Plant life-history attributes: their relationship to disturbance response in herbaceous vegetation. Journal of Ecology, 83:31-44."
APIACEAE,Xanthosia pilosa,Rudge,,Animal,Diaspore is carried intentionally,Direct or experimental observation,Ants.,Aphaenogaster longiceps,,"(Berg, 1975)","Berg, R.Y. 1975. Myrmechorous plants in Australia and their dispersal by ants. Australian Journal of Botany, 23:475-508."
APOCYNACEAE,Alstonia scholaris,(L.) R.Br.,,Wind,Diaspore is blown by wind,Method not stated,,,Diaspore=seed. The diaspore is hairy or has hair-like processes.,"(Ridley, 1930)","Ridley, H.N. 1930. The Dispersal of Plants Throughout the World. William Clowes and Sons Ltd., London."
APOCYNACEAE,Rhyncharrhena linearis,(Decne.) K.L.Wilson,,Wind,,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
ARACEAE,Alocasia macrorrhizos,(L.) G.Don,,Animal,Diaspore is eaten intentionally,Direct or experimental observation,Birds.,,Diaspore=fruit. Fruit is fleshy.,"(Corlett, 1996)","Corlett, R.T. 1996. Characteristics of vertebrate-dispersed fruits in Hong Kong. Journal of Tropical Ecology, 12:819-833."
ARALIACEAE,Polyscias sambucifolia,(Sieber ex DC.) Harms,,Animal,Diaspore is eaten intentionally,Direct or experimental observation,Birds.,,The fruit is fleshy/juicy.,"(O'Dowd & Gill, 1986)","O'Dowd, D.J. and Gill, A.M. 1986. Seed dispersal syndromes in Australian Acacia. In: Seed Dispersal (Ed. by D.R.Murray), pp 87-123. Academic Press, London."
ARAUCARIACEAE,Agathis atropurpurea,B.Hyland,,Wind,Diaspore is blown by wind,Method not stated,,,,"(Enright & Ogden, 1995)","Enright, N.J. and Ogden, J. 1995. The southern conifers - a synthesis. In: Ecology of the Southern Conifers (Ed. by N.J. Enright and R.S. Hill), pp. 271-287. Smithsonian Institute Press, Washington."
ARAUCARIACEAE,Agathis microstachya,J.F.Bailey & C.T.White,,Wind,Diaspore is blown by wind,Method not stated,,,,"(Enright & Ogden, 1995)","Enright, N.J. and Ogden, J. 1995. The southern conifers - a synthesis. In: Ecology of the Southern Conifers (Ed. by N.J. Enright and R.S. Hill), pp. 271-287. Smithsonian Institute Press, Washington."
ARAUCARIACEAE,Agathis robusta,(C.Moore ex F.Muell.) F.M.Bailey,,Wind,Diaspore is blown by wind,Method not stated,,,,"(Enright & Ogden, 1995)","Enright, N.J. and Ogden, J. 1995. The southern conifers - a synthesis. In: Ecology of the Southern Conifers (Ed. by N.J. Enright and R.S. Hill), pp. 271-287. Smithsonian Institute Press, Washington."
ARAUCARIACEAE,Araucaria bidwillii,Hook.,,Animal,,Method not stated,,,Also dispersed by methods originating from parent plant. ,"(Enright & Ogden, 1995)","Enright, N.J. and Ogden, J. 1995. The southern conifers - a synthesis. In: Ecology of the Southern Conifers (Ed. by N.J. Enright and R.S. Hill), pp. 271-287. Smithsonian Institute Press, Washington."
ARAUCARIACEAE,Araucaria cunninghamii,Ait. ex D.Don,,Wind,Diaspore is blown by wind,Assumption based upon diaspore morphology,,,Diaspore=seed. The diaspore has wings or wing-like features.,"(Enright, 1995)","Enright, N.J. 1995. Conifers of tropical Australasia. In: Ecology of the Southern Conifers (Ed. by N.J. Enright and R.S. Hill), pp. 197-222. Smithsonian Institute Press, Washington."
ARAUCARIACEAE,Wollemia nobilis,"W.G.Jones, K.D.Hill & J.M.Allen",,Wind,Diaspore is blown by wind,Assumption based upon diaspore morphology,,,Diaspore=seed. The diaspore has wings or wing-like features.,"(Enright, 1995)","Enright, N.J. 1995. Conifers of tropical Australasia. In: Ecology of the Southern Conifers (Ed. by N.J. Enright and R.S. Hill), pp. 197-222. Smithsonian Institute Press, Washington."
ARECACEAE,Archontophoenix alexandrae,(F.Muell.) H.Wendl. & Drude,,Animal,Diaspore is eaten intentionally,Direct or experimental observation,Birds.,"Ducula spilorrhoa, Ptilinopus superbus, Casuarius casuarius",,"(Zona & Henderson, 1989)","Zona, S. and Henderson, A. 1989. A review of animal-mediated seed dispersal of palms. Selbyana, 11:6-21."
ARECACEAE,Archontophoenix alexandrae,(F.Muell.) H.Wendl. & Drude,,Animal,Diaspore is eaten intentionally,Direct or experimental observation,Birds.,Eudynamys scolopacea,Diaspore=fruit. The fruit is fleshy/juicy.,"(Zona, 2001)","Zona, S. 2001. Additions to ""A Review of Animal-Mediated Seed Dispersal of Palms"". Fairchild Tropical Garden."
ARECACEAE,Archontophoenix cunninghamiana,(H.Wendl.) H.Wendl. & Drude,,Animal,Diaspore is eaten intentionally,Direct or experimental observation,Birds.,Lopholaimus antarcticus,,"(Zona & Henderson, 1989)","Zona, S. and Henderson, A. 1989. A review of animal-mediated seed dispersal of palms. Selbyana, 11:6-21."
ARECACEAE,Archontophoenix cunninghamiana,(H.Wendl.) H.Wendl. & Drude,,Animal,Diaspore is eaten intentionally,Direct or experimental observation,Birds.,"Ptilonopus magnificus magnificus, Lopholaimus antarcticus, Ptilonopus regina regina, Ailuroedus crassirostris",Diaspore=fruit. The fruit is fleshy/juicy.,"(Zona, 2001)","Zona, S. 2001. Additions to ""A Review of Animal-Mediated Seed Dispersal of Palms"". Fairchild Tropical Garden."
ARECACEAE,Calamus australis,Mart.,,Animal,Diaspore is eaten intentionally,Direct or experimental observation,Birds.,Casuarius casuarius,,"(Zona & Henderson, 1989)","Zona, S. and Henderson, A. 1989. A review of animal-mediated seed dispersal of palms. Selbyana, 11:6-21."
ARECACEAE,Calamus moti,Bailey,,Animal,Diaspore is eaten intentionally,Direct or experimental observation,Birds.,Casuarius casuarius,,"(Zona & Henderson, 1989)","Zona, S. and Henderson, A. 1989. A review of animal-mediated seed dispersal of palms. Selbyana, 11:6-21."
ARECACEAE,Calamus radicalis,H.Wendl.,,Animal,Diaspore is eaten intentionally,Direct or experimental observation,Birds.,Casuarius casuarius,,"(Zona & Henderson, 1989)","Zona, S. and Henderson, A. 1989. A review of animal-mediated seed dispersal of palms. Selbyana, 11:6-21."
ARECACEAE,Carpentaria acuminata,(H.Wendl. & Drude) Becc.,,Animal,Diaspore is eaten intentionally,Direct or experimental observation,Mammals (non-bat)+birds.,Ducula spilorrhoa; Pteropus alecto,Diaspore=fruit. The fruit is fleshy/juicy.,"(Zona, 2001)","Zona, S. 2001. Additions to ""A Review of Animal-Mediated Seed Dispersal of Palms"". Fairchild Tropical Garden."
ARECACEAE,Cocos nucifera,L.,,Water,Floating in saltwater currents,Direct or experimental observation,,,Unassisted dispersal also occurs. Diaspore=nut. The diaspore is buoyant. ,"(Gunn & Dennis, 1999)","Gunn, C.R. and Dennis, J.V. 1999. World Guide to Tropical Drift Seeds and Fruits. Krieger Publishing Company, Florida, USA."
ARECACEAE,Corypha utan,Lam.,,Animal,Diaspore is eaten intentionally,Direct or experimental observation,Mammals (bats)+birds.,,,"(Zona & Henderson, 1989)","Zona, S. and Henderson, A. 1989. A review of animal-mediated seed dispersal of palms. Selbyana, 11:6-21."
ARECACEAE,Corypha utan,Lam.,,Animal,Diaspore is eaten intentionally,Direct or experimental observation,Reptiles.,Varanus grayi,Diaspore=fruit. The fruit is fleshy/juicy.,"(Zona, 2001)","Zona, S. 2001. Additions to ""A Review of Animal-Mediated Seed Dispersal of Palms"". Fairchild Tropical Garden."
ARECACEAE,Linospadix monostachyos,(M.Martens) Wendl.,,Animal,Diaspore is eaten intentionally,Direct or experimental observation,Birds.,"Ailuroedus crassirostris, Ptilonorhynchus violaceus",,"(Zona & Henderson, 1989)","Zona, S. and Henderson, A. 1989. A review of animal-mediated seed dispersal of palms. Selbyana, 11:6-21."
ARECACEAE,Livistona australis,(R.Br.) M.Martens,,Animal,Diaspore is eaten intentionally,Method not stated,Birds.,,,"(Whelan, 1986)","Whelan, R.J. 1986. Seed dispersal in relation to fire. In: Seed Dispersal (Ed. by D.R. Murray), pp. 237-271. Academic Press, Australia."
ARECACEAE,Normanbya normanbyi,(Hill) Bailey,,Animal,Diaspore is eaten intentionally,Direct or experimental observation,Birds.,Casuarinus casuarinus,Diaspore=fruit. The fruit is fleshy/juicy.,"(Zona, 2001)","Zona, S. 2001. Additions to ""A Review of Animal-Mediated Seed Dispersal of Palms"". Fairchild Tropical Garden."
ARECACEAE,Nypa fruticans,Wurmb,,Water,Floating in freshwater currents,Direct or experimental observation,,,The diaspore is buoyant.,"(Kozlowski, 1972)","Kozlowski, T.T. 1972. Seed Biology. Volume 1: Importance, Development and Germination. Academic Press, London."
ARECACEAE,Nypa fruticans,Wurmb,,Water,Floating in freshwater currents,Method not stated,,,"The diaspore is buoyant. Possibly dispersed locally by saltwater currents, but viability of transported seeds is untested.","(Gunn & Dennis, 1999)","Gunn, C.R. and Dennis, J.V. 1999. World Guide to Tropical Drift Seeds and Fruits. Krieger Publishing Company, Florida, USA."
ARECACEAE,Nypa fruticans,Wurmb,,Water,Floating in saltwater currents,Direct or experimental observation,,,Diaspore=fruit,"(Tomlinson, 1986)","Tomlinson, P.B. 1986. The Botany of Mangroves. Cambridge University Press, Cambridge."
ARECACEAE,Ptychosperma macarthurii,(Wendl. ex Veitch) H.Wendl. ex Hook.f.,,Animal,Diaspore is eaten intentionally,Direct or experimental observation,Birds.,,,"(Zona & Henderson, 1989)","Zona, S. and Henderson, A. 1989. A review of animal-mediated seed dispersal of palms. Selbyana, 11:6-21."
ASPARAGACEAE,Arthropodium milleflorum,(DC.) J.F.Macbr.,,Wind,Diaspore is blown by wind,Assumption based upon diaspore morphology,,,Seeds are very small (dust seeds),"(McIntyre et al., 1995)","McIntyre, S., Lavorel, S. and Tremont, R.M. 1995. Plant life-history attributes: their relationship to disturbance response in herbaceous vegetation. Journal of Ecology, 83:31-44."
BIGNONIACEAE,Dolichandrone spathacea,(L.f.) Baill. ex Schum.,,Water,Floating in saltwater currents,Method not stated,,,Diaspore=capsule. The diaspore is buoyant.,"(Murray, 1986)","Murray, D.R. 1986. Seed dispersal by water. In: Seed Dispersal (Ed. by D.R. Murray), pp 49-85. Academic Press, Sydney, Australia."
BORAGINACEAE,Cynoglossum australe,R.Br.,,Animal,Diaspore is carried accidentally,Assumption based upon diaspore morphology,,,,"(McIntyre et al., 1995)","McIntyre, S., Lavorel, S. and Tremont, R.M. 1995. Plant life-history attributes: their relationship to disturbance response in herbaceous vegetation. Journal of Ecology, 83:31-44."
BORAGINACEAE,Trichodesma zeylanicum,(Burm.f.) R.Br.,,Unassisted,Seeds drop to the ground close to or beneath the parent plant,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
BRASSICACEAE,Geococcus pusillus,J.Drumm. ex Harv.,,Dispersal prevented,Seeds are produced below ground level,Direct or experimental observation,,,"The species is geocarpic, producing all diaspores beneath the soil surface.","(van Rheede van Oudtshoorn & van Rooyen, 1999)","van Rheede van Oudtshoorn, K. and van Rooyen, M.W. 1999. Dispersal Biology of Desert Plants. Adaptations of Desert Organisms. Springer-Verlag, Berlin."
BRASSICACEAE,Lepidium muelleri-ferdinandi,Thell.,,Unassisted,Seeds drop to the ground close to or beneath the parent plant,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
BRASSICACEAE,Lepidium oxytrichum,Sprague,,Unassisted,Seeds drop to the ground close to or beneath the parent plant,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
BRASSICACEAE,Lepidium phlebopetalum,(F.Muell.) F.Muell.,,Unassisted,Seeds drop to the ground close to or beneath the parent plant,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
BRASSICACEAE,Stenopetalum anfractum,E.A.Shaw,,Unassisted,Seeds drop to the ground close to or beneath the parent plant,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
BRASSICACEAE,Stenopetalum nutans,F.Muell.,,Unassisted,Seeds drop to the ground close to or beneath the parent plant,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
CALOPHYLLACEAE,Calophyllum inophyllum,L.,,Water,Floating in freshwater currents,Method not stated,,,The diaspore is buoyant.,"(van der Pijl, 1982)","van der Pijl, L. 1982. Principles of Dispersal in Higher Plants. 3rd Edn. Springer-Verlag, New York."
CAMPANULACEAE,Wahlenbergia gracilis,(G.Forst.) A.DC.,,Wind,Diaspore is blown by wind,Assumption based upon diaspore morphology,,,Seeds are very small (dust seeds),"(McIntyre et al., 1995)","McIntyre, S., Lavorel, S. and Tremont, R.M. 1995. Plant life-history attributes: their relationship to disturbance response in herbaceous vegetation. Journal of Ecology, 83:31-44."
CAMPANULACEAE,Wahlenbergia luteola,P.J.Sm.,,Wind,Diaspore is blown by wind,Assumption based upon diaspore morphology,,,Seeds are very small (dust seeds),"(McIntyre et al., 1995)","McIntyre, S., Lavorel, S. and Tremont, R.M. 1995. Plant life-history attributes: their relationship to disturbance response in herbaceous vegetation. Journal of Ecology, 83:31-44."
CAMPANULACEAE,Wahlenbergia planiflora,P.J.Sm.,,Wind,Diaspore is blown by wind,Assumption based upon diaspore morphology,,,Seeds are very small (dust seeds),"(McIntyre et al., 1995)","McIntyre, S., Lavorel, S. and Tremont, R.M. 1995. Plant life-history attributes: their relationship to disturbance response in herbaceous vegetation. Journal of Ecology, 83:31-44."
CAMPANULACEAE,Wahlenbergia queenslandica,Carolin ex P.J.Sm.,,Wind,Diaspore is blown by wind,Assumption based upon diaspore morphology,,,Seeds are very small (dust seeds),"(McIntyre et al., 1995)","McIntyre, S., Lavorel, S. and Tremont, R.M. 1995. Plant life-history attributes: their relationship to disturbance response in herbaceous vegetation. Journal of Ecology, 83:31-44."
CAPPARACEAE,Capparis mitchellii,Lindl.,,Animal,Diaspore is eaten intentionally,Assumption based upon diaspore morphology,,,The fruit is fleshy/juicy.,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
CARYOPHYLLACEAE,Polycarpaea corymbosa,(L.) Lam.,,Wind,Diaspore is propelled by action of wind on the plant structure,Method not stated,,,Diaspore=seed. Seeds dispersed from dehisced capsule (ellipsoidal in shape with 3 entire valves) when shaken by wind.,"(Sen, 1982)","Sen, D.N. 1982. Environment and Plant Life in Indian Desert. Geobios International, Jodhpur, India."
CASUARINACEAE,Allocasuarina decaisneana,(F.Muell.) L.A.S.Johnson,,Wind,,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
CASUARINACEAE,Casuarina equisetifolia,L.,,Combination: wind+water,,Method not stated,,,Diaspore=fruit. The diaspore is buoyant. Fruit is winged and buoyant.,"(Ridley, 1930)","Ridley, H.N. 1930. The Dispersal of Plants Throughout the World. William Clowes and Sons Ltd., London."
CLEOMACEAE,Cleome viscosa,L.,,Unassisted,Seeds drop to the ground close to or beneath the parent plant,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
CLEOMACEAE,Cleome viscosa,L.,,Wind,Diaspore is propelled by action of wind on the plant structure,Method not stated,,,"Diaspore=seed. Seeds are attached to a false partitioning (replum) within a capsule. When the capsule splits the replum is exposed, allowing seeds to be detached by wind currents.","(Sen, 1982)","Sen, D.N. 1982. Environment and Plant Life in Indian Desert. Geobios International, Jodhpur, India."
