Species,Date,Temp,CO2,Water,Potnum,Height (cm),BasalDia1 (mm),BasalDia2 (mm),LA (cm-2),leafDW (g),stemDW (g),rootDW (g)
P. radiata,22/05/2012,Elv,400,Dry,425,40,4.7,4.7,311.34,3.12,1.532394366,1.55
C. rhomboidea,22/05/2012,Elv,640,Dry,354,25.5,2.5,2.7,,1.42,0.3825,0.43
C. rhomboidea,22/05/2012,Elv,640,Dry,357,28,3.1,3.2,,2.78,1.018181818,0.93
C. rhomboidea,22/05/2012,Elv,640,Dry,358,32.5,3.6,3.6,358,2.94,0.92693662,0.98
C. rhomboidea,22/05/2012,Elv,400,Dry,456,32,3.7,3.6,,2.83,0.78615917,0.85
C. rhomboidea,22/05/2012,Elv,400,Dry,451,27.5,2.6,2.5,,2.04,0.458333333,0.54
C. rhomboidea,22/05/2012,Elv,400,Dry,444,24.5,2.8,2.8,,2.23,0.550956938,0.52
P. radiata,22/05/2012,Amb,400,Wet,538,28,4.6,4.3,,1.9,1.05,1.2
P. radiata,22/05/2012,Amb,400,Wet,528,32,4.8,4.7,,1.92,1.189891697,1.13
P. radiata,22/05/2012,Amb,400,Wet,522,41.5,6.5,6.1,,5.04,3.013013699,2.37
P. radiata,22/05/2012,Amb,640,Wet,623,39,4.6,4.7,,2.93,1.585459941,1.33
P. radiata,22/05/2012,Amb,640,Wet,622,35,5.2,5.4,,3.21,1.71009772,2.33
P. radiata,22/05/2012,Amb,640,Wet,629,39.5,5.9,5.7,,4.44,1.936703601,3.14
C. rhomboidea,22/05/2012,Amb,400,Wet,553,32,4,4.4,,3.37,1.484057971,0.93
C. rhomboidea,22/05/2012,Amb,400,Wet,556,25.3,2.8,2.6,363.26,1.51,0.5405,0.49
C. rhomboidea,22/05/2012,Amb,400,Wet,559,28.5,4,4,,2.69,1.151632653,0.9
C. rhomboidea,22/05/2012,Amb,640,Wet,648,33.5,3.7,3.8,,3.19,1.719966443,1.18
C. rhomboidea,22/05/2012,Amb,640,Wet,649,34,4.2,4.3,,3.09,1.750830565,1.28
C. rhomboidea,22/05/2012,Amb,640,Wet,646,30.5,3.4,3.5,,2.31,1.21557971,0.73
P. radiata,22/05/2012,Elv,640,Wet,322,47.3,6.2,5.8,610.09,4.68,3.41,3.17
P. radiata,22/05/2012,Elv,640,Wet,325,36.5,5.8,5.6,,3.77,1.780214724,2.18
P. radiata,22/05/2012,Elv,640,Wet,332,31.5,4.4,4.3,,2.19,1.093097015,1.8
P. radiata,22/05/2012,Elv,400,Wet,430,41,4.9,5,,2.98,2.005191257,1.64
P. radiata,22/05/2012,Elv,400,Wet,434,37,4.6,4.6,,2.99,1.468615385,1.73
P. radiata,22/05/2012,Elv,400,Wet,438,41,4.8,4.5,,2.9,1.617534247,1.59
C. rhomboidea,22/05/2012,Elv,640,Wet,346,42.5,5.9,5.6,,5.83,2.58984375,1.68
C. rhomboidea,22/05/2012,Elv,640,Wet,350,36.8,3.4,3.7,,2.95,1.460848485,0.83
C. rhomboidea,22/05/2012,Elv,640,Wet,359,33.8,3.5,3.7,,2.1,0.964131148,0.65
C. rhomboidea,22/05/2012,Elv,400,Wet,448,35.5,3.7,3.8,,2.23,1.16835443,0.56
C. rhomboidea,22/05/2012,Elv,400,Wet,453,32,3.9,4,608.6,2.75,1.100350877,0.61
C. rhomboidea,22/05/2012,Elv,400,Wet,457,38.7,5.1,4.9,,5.91,2.602241379,1.46
P. radiata,16/10/2012,Amb,400,Dry,536,29,3.97,3.9,,1.46,0.98,1.71
P. radiata,16/10/2012,Amb,400,Dry,535,26,3.4,3.4,,1.3,0.744444444,1.04
P. radiata,16/10/2012,Amb,400,Dry,521,33.8,4.38,4.58,,2.68,1.358682043,1.65
P. radiata,16/10/2012,Amb,400,Dry,539,28.5,3.9,4,,2.19,0.992647059,2.29
P. radiata,16/10/2012,Amb,640,Dry,636,30.1,4.6,4.6,,2.31,1.091709845,1.81
P. radiata,16/10/2012,Amb,640,Dry,634,38,4.43,4.35,,2.89,1.92,2.27
P. radiata,16/10/2012,Amb,640,Dry,631,31.5,4.18,4.34,,2.65,1.312963617,1.91
P. radiata,16/10/2012,Amb,640,Dry,625,35,5.42,5,,2.46,1.474842767,2.17
C. rhomboidea,16/10/2012,Amb,400,Dry,558,29.3,3.34,3.23,,2.45,0.800960473,0.95
C. rhomboidea,16/10/2012,Amb,400,Dry,542,23,2.6,2.38,,1.04,0.42,0.86
C. rhomboidea,16/10/2012,Amb,400,Dry,548,20.5,2.49,2.59,,1.4,0.374673629,0.62
C. rhomboidea,16/10/2012,Amb,400,Dry,555,25.7,2.88,2.88,,1.94,0.73112069,0.74
C. rhomboidea,16/10/2012,Amb,640,Dry,652,28.3,3.1,3.1,,2.05,0.79,1.12
C. rhomboidea,16/10/2012,Amb,640,Dry,645,26.3,3.17,2.98,,3.75,1.187308348,1.08
C. rhomboidea,16/10/2012,Amb,640,Dry,644,29,3.5,3.3,,2.83,0.866641763,1.45
C. rhomboidea,16/10/2012,Amb,640,Dry,658,22,2.5,2.57,,1.67,0.462365591,0.67
P. radiata,16/10/2012,Elv,640,Dry,331,32.8,3.79,3.9,,1.61,0.97339113,1.64
P. radiata,16/10/2012,Elv,640,Dry,324,37.5,4.3,4.65,,2.96,1.532846715,1.73
P. radiata,16/10/2012,Elv,640,Dry,336,32.3,4.02,3.76,,1.77,0.975466576,1.23
P. radiata,16/10/2012,Elv,640,Dry,327,30.9,3.63,3.65,,1.62,0.99,2.17
P. radiata,16/10/2012,Elv,400,Dry,435,34.8,4.8,4.4,,2.19,1.224120603,2.16
P. radiata,16/10/2012,Elv,400,Dry,436,35.8,4.6,5,,1.78,1.37,2.33
P. radiata,16/10/2012,Elv,400,Dry,433,31,4.1,4.1,,1.85,1.029275259,1.27
P. radiata,16/10/2012,Elv,400,Dry,428,38.3,4.5,4.4,,2.53,1.686645696,2.11
C. rhomboidea,16/10/2012,Elv,640,Dry,342,31,3.18,3.12,,2.62,0.955663318,1
C. rhomboidea,16/10/2012,Elv,640,Dry,352,23.9,2.35,2.48,,1.52,0.43,0.5
C. rhomboidea,16/10/2012,Elv,640,Dry,341,38,3.87,3.9,,3.07,1.174487216,1.32
C. rhomboidea,16/10/2012,Elv,640,Dry,348,24,2.64,2.65,,1.66,0.466968326,0.5
C. rhomboidea,16/10/2012,Elv,400,Dry,443,25,2.6,2.9,,1.97,0.66,0.57
C. rhomboidea,16/10/2012,Elv,400,Dry,447,33.3,4.6,4.1,,1.77,0.691533546,0.56
C. rhomboidea,16/10/2012,Elv,400,Dry,442,27.2,3.4,3.5,,1.3,0.716932907,0.59
C. rhomboidea,16/10/2012,Elv,400,Dry,450,28.5,3,3.1,,2.01,0.691432904,0.57
P. radiata,16/10/2012,Amb,400,Wet,527,84.5,10.2,9.63,,16.46,9.030366219,11.11
P. radiata,16/10/2012,Amb,400,Wet,529,62.5,10.12,10,,16.85,8.367486339,15.17
P. radiata,16/10/2012,Amb,400,Wet,524,72.5,10.89,10.39,,19.4,10.5117028,16.54
P. radiata,16/10/2012,Amb,400,Wet,540,82,12.7,11.95,,22.36,12.46,15.83
P. radiata,16/10/2012,Amb,640,Wet,627,80.5,10.91,10.8,,23.04,12.94888179,13.49
P. radiata,16/10/2012,Amb,640,Wet,626,66,9.61,9.73,,12.27,6.288373667,9.51
P. radiata,16/10/2012,Amb,640,Wet,621,66,8.86,9.2,,12.45,6.05,22.57
P. radiata,16/10/2012,Amb,640,Wet,640,91.5,12.64,12.81,,25.28,18.06394349,30.08
C. rhomboidea,16/10/2012,Amb,400,Wet,546,83.5,10.48,10.32,,38.43,,18.07
C. rhomboidea,16/10/2012,Amb,400,Wet,544,71.8,9.29,9.2,,28.92,,8.19
C. rhomboidea,16/10/2012,Amb,400,Wet,560,81,10.23,10.75,,49.35,,13.92
C. rhomboidea,16/10/2012,Amb,400,Wet,545,70.5,9.67,9.56,,36,,12.08
C. rhomboidea,16/10/2012,Amb,640,Wet,647,78,9.4,9.5,,37.94,,9.66
C. rhomboidea,16/10/2012,Amb,640,Wet,656,74.5,11.65,11.95,,42.78,,13.45
C. rhomboidea,16/10/2012,Amb,640,Wet,641,104,14.05,13.7,,58.56,,24.89
P. radiata,16/10/2012,Elv,640,Wet,321,76.5,13.06,13.5,,30.48,18.36676492,37.54
P. radiata,16/10/2012,Elv,640,Wet,335,67,10.97,10.22,,23.45,9.54,18.95
P. radiata,16/10/2012,Elv,640,Wet,333,66.5,9.37,9.77,,15.76,8.810797003,12.88
P. radiata,16/10/2012,Elv,640,Wet,323,63.7,11.41,10.84,,21.22,10.1525814,23.02
P. radiata,16/10/2012,Elv,400,Wet,427,68.7,8.54,8.6,,14.15,7.400339147,13.51
P. radiata,16/10/2012,Elv,400,Wet,429,70.5,12.46,12.65,,23.42,13.00729572,26.32
P. radiata,16/10/2012,Elv,400,Wet,437,64.5,9.55,8.96,,16.8,7.22553303,10.39
P. radiata,16/10/2012,Elv,400,Wet,440,76,13.44,12.79,,20.42,13.11,23.63
C. rhomboidea,16/10/2012,Elv,640,Wet,345,113.2,13.95,13.29,,64.79,,28.19
C. rhomboidea,16/10/2012,Elv,640,Wet,356,91.3,10.2,10.32,,56.51,,13.48
C. rhomboidea,16/10/2012,Elv,640,Wet,343,86.5,14.1,13.95,,66.54,,16.28
C. rhomboidea,16/10/2012,Elv,640,Wet,355,97.5,13.38,12.65,,76.12,,16.68
C. rhomboidea,16/10/2012,Elv,400,Wet,441,64.3,6.94,7.05,,20.84,,9.13
C. rhomboidea,16/10/2012,Elv,400,Wet,454,92,10.63,10.2,,49.16,,11.68
C. rhomboidea,16/10/2012,Elv,400,Wet,460,100,10.62,11.2,,44.41,,9.33
C. rhomboidea,16/10/2012,Elv,400,Wet,446,62.3,8.13,8,,27.51,,12.74
