Species,Date,Day,Temp,CO2,Water,Potnum,Photo (umol m-2 s-1),Cond (mol m-2 s-1),Ci (umol mol-1),Trmmol (mmol m-2 s-1),VpdL (kPa),CiCa,Rdark (umol m-2 s-1)
C. rhomboidea,10/04/2012,16,Amb,400,Dry,543,10.43794307,0.119447709,227.4181304,2.545024579,2.225737304,,0.12648204
C. rhomboidea,10/04/2012,16,Amb,400,Dry,549,9.388009897,0.109254022,230.6782087,2.557866472,2.431179564,,0.910659545
C. rhomboidea,10/04/2012,16,Amb,400,Dry,541,7.27170917,0.084765981,235.0793332,1.975031816,2.399870022,,
C. rhomboidea,10/04/2012,16,Amb,640,Dry,660,14.50669477,0.123720394,407.4357569,2.088816756,1.765210055,,0.847600743
C. rhomboidea,10/04/2012,16,Amb,640,Dry,652,14.51012777,0.129404322,414.7512864,2.391040536,1.934089708,,1.169997604
C. rhomboidea,10/04/2012,16,Amb,640,Dry,654,16.77005181,0.160215485,423.9255855,2.466599324,1.631898973,,1.11156409
C. rhomboidea,10/04/2012,16,Amb,640,Dry,658,16.2425093,0.15431164,421.1380489,2.761299869,1.889548851,,
C. rhomboidea,10/04/2012,16,Elv,640,Dry,351,9.111619293,0.05368887,328.3393882,1.451001251,2.7282357,,1.068011793
C. rhomboidea,10/04/2012,16,Elv,640,Dry,347,10.63370281,0.080792385,380.1568181,2.433115988,3.066715348,,1.448367046
C. rhomboidea,10/04/2012,16,Elv,640,Dry,342,10.51824037,0.066939001,341.8245829,1.945969987,2.951317695,,1.024783777
C. rhomboidea,10/04/2012,16,Elv,640,Dry,348,12.33329556,0.101896122,397.2139894,2.732155689,2.763308277,,
C. rhomboidea,10/04/2012,16,Elv,400,Dry,455,7.850028591,0.110161199,257.6722708,2.624125458,2.464588299,,1.251476809
C. rhomboidea,10/04/2012,16,Elv,400,Dry,458,7.340350672,0.078284025,219.3502453,2.272444998,2.962212538,,1.38562068
C. rhomboidea,10/04/2012,16,Elv,400,Dry,452,5.41471859,0.073060397,253.9452575,2.1412848,2.978090874,,
C. rhomboidea,10/04/2012,16,Elv,400,Dry,442,6.227563555,0.065826828,222.3457791,1.879197885,2.890333174,,1.185331541
C. rhomboidea,10/04/2012,16,Amb,400,Wet,546,6.802489399,0.070031539,218.2515393,1.680975778,2.45736268,,0.297329814
C. rhomboidea,10/04/2012,16,Amb,400,Wet,545,9.162820231,0.103780582,228.490901,2.26320765,2.264511447,,0.700540645
C. rhomboidea,10/04/2012,16,Amb,400,Wet,559,11.05402238,0.13413285,233.9911798,2.852852453,2.232690243,,0.348967047
C. rhomboidea,10/04/2012,16,Amb,400,Wet,544,7.134374443,0.064867794,198.2287312,1.410687161,2.225428072,,
C. rhomboidea,10/04/2012,16,Amb,640,Wet,649,15.39771841,0.142513533,419.3340964,2.64194449,1.949190596,,1.017340239
C. rhomboidea,10/04/2012,16,Amb,640,Wet,647,12.98501367,0.108644264,406.0165295,2.120451964,2.025496214,,0.852337726
C. rhomboidea,10/04/2012,16,Amb,640,Wet,646,16.47237349,0.154734052,420.7822064,2.491116934,1.702857666,,1.058549846
C. rhomboidea,10/04/2012,16,Amb,640,Wet,656,13.07823652,0.113216244,413.0442529,1.859214669,1.711080034,,
C. rhomboidea,10/04/2012,16,Elv,640,Wet,343,8.511048577,0.059157055,368.2574201,1.725486551,2.948565007,,0.961782722
C. rhomboidea,10/04/2012,16,Elv,640,Wet,355,10.89723221,0.072066888,351.9800961,2.083917446,2.940022282,,1.026156959
C. rhomboidea,10/04/2012,16,Elv,640,Wet,346,12.82879657,0.102386928,385.9309724,2.836511714,2.848930041,,1.705040297
C. rhomboidea,10/04/2012,16,Elv,640,Wet,356,9.973391951,0.067512965,359.5525675,1.911365943,2.876042881,,
C. rhomboidea,10/04/2012,16,Elv,400,Wet,446,7.11284324,0.102371507,259.1523787,2.768362209,2.782058078,,1.157552416
C. rhomboidea,10/04/2012,16,Elv,400,Wet,454,6.652173941,0.083156498,245.7047885,2.159220902,2.661196409,,0.957241184
C. rhomboidea,10/04/2012,16,Elv,400,Wet,457,8.519385291,0.127492182,263.0670871,3.01375812,2.460764387,,
C. rhomboidea,10/04/2012,16,Elv,400,Wet,441,5.836995888,0.065910702,231.9817677,1.846189868,2.837948325,,0.965844753
C. rhomboidea,17/04/2012,23,Amb,400,Dry,542,12.82036609,0.201329533,263.1617249,2.750917154,1.46823466,0.69271877,
C. rhomboidea,17/04/2012,23,Amb,400,Dry,543,12.51573933,0.205602562,269.8129141,2.597185886,1.352149463,0.70739818,
C. rhomboidea,17/04/2012,23,Amb,400,Dry,549,9.292468614,0.146073574,271.4535504,2.101830312,1.50953292,0.702321998,
C. rhomboidea,17/04/2012,23,Amb,400,Dry,541,9.072996114,0.129509142,261.0199489,1.782343896,1.4345432,0.676676485,
C. rhomboidea,17/04/2012,23,Amb,640,Dry,660,12.48087887,0.1060904,413.2523019,1.689817016,1.65004969,0.664072709,
C. rhomboidea,17/04/2012,23,Amb,640,Dry,652,18.23741304,0.191360816,436.3704282,2.794231806,1.55561547,0.712616014,
C. rhomboidea,17/04/2012,23,Amb,640,Dry,654,15.63861017,0.165855358,442.4772321,2.406622577,1.534845882,0.719158136,
C. rhomboidea,17/04/2012,23,Amb,640,Dry,658,19.41385566,0.258066047,464.5067089,3.615163387,1.532575607,0.762625311,
C. rhomboidea,17/04/2012,23,Elv,640,Dry,351,9.581837529,0.074186387,399.005184,1.264787196,1.728493621,0.637927062,
C. rhomboidea,17/04/2012,23,Elv,640,Dry,347,10.15037062,0.081118332,404.0283597,1.426739322,1.786567953,0.646522375,
C. rhomboidea,17/04/2012,23,Elv,640,Dry,342,11.31156242,0.082726585,382.3085585,1.527937606,1.873965773,0.613826134,
C. rhomboidea,17/04/2012,23,Elv,640,Dry,348,12.62690713,0.11908426,433.1205549,1.630794884,1.409356581,0.696301462,
C. rhomboidea,17/04/2012,23,Elv,400,Dry,455,7.629548932,0.124890085,275.9102753,2.292315666,1.893884188,0.710753467,
C. rhomboidea,17/04/2012,23,Elv,400,Dry,458,7.284306657,0.083116322,234.5381347,1.505026989,1.836514561,0.604157126,
C. rhomboidea,17/04/2012,23,Elv,400,Dry,452,5.376546265,0.08015467,270.8928351,1.360098922,1.720416383,0.693673218,
C. rhomboidea,17/04/2012,23,Elv,400,Dry,442,5.575431362,0.066851016,245.2960177,1.080100011,1.626408225,0.628431555,
C. rhomboidea,17/04/2012,23,Amb,400,Wet,546,9.013743915,0.1038999,233.4269278,1.657029971,1.648386163,0.605411066,
C. rhomboidea,17/04/2012,23,Amb,400,Wet,545,13.50768652,0.208349556,261.3424798,2.552472442,1.311598415,0.688596703,
C. rhomboidea,17/04/2012,23,Amb,400,Wet,559,13.70867125,0.221327189,265.9311241,2.865585648,1.398571208,0.699681363,
C. rhomboidea,17/04/2012,23,Amb,400,Wet,544,10.40939351,0.137488639,249.6251104,1.871332457,1.423419084,0.650166971,
C. rhomboidea,17/04/2012,23,Amb,640,Wet,649,13.93534118,0.159988103,457.2151272,2.295483583,1.516915439,0.740343932,
C. rhomboidea,17/04/2012,23,Amb,640,Wet,647,16.35269541,0.176844635,445.0436877,2.624379645,1.573691874,0.722809945,
C. rhomboidea,17/04/2012,23,Amb,640,Wet,646,17.72150446,0.193591754,443.5528011,2.604410512,1.439458016,0.724430031,
C. rhomboidea,17/04/2012,23,Amb,640,Wet,626,13.08733343,0.133158164,442.4942107,1.988242847,1.559886829,0.71310454,
C. rhomboidea,17/04/2012,23,Elv,640,Wet,343,8.111663647,0.090729716,465.099594,1.535140072,1.726891736,0.740541691,
C. rhomboidea,17/04/2012,23,Elv,640,Wet,355,9.122215286,0.085045005,433.4727582,1.543973225,1.844936137,0.692275753,
C. rhomboidea,17/04/2012,23,Elv,640,Wet,346,12.05931082,0.182994087,494.730124,2.670277383,1.540024814,0.796762762,
C. rhomboidea,17/04/2012,23,Elv,640,Wet,356,15.51218912,0.158198099,439.2298421,2.236863027,1.475023421,0.711186742,
C. rhomboidea,17/04/2012,23,Elv,400,Wet,446,7.407464588,0.147969814,295.0368014,2.288041472,1.612463378,0.759895216,
C. rhomboidea,17/04/2012,23,Elv,400,Wet,454,6.687316053,0.095327336,263.3154969,1.660638655,1.77564768,0.677304224,
C. rhomboidea,17/04/2012,23,Elv,400,Wet,457,6.586714736,0.13599444,299.3490687,2.340036256,1.780065841,0.766462736,
C. rhomboidea,17/04/2012,23,Elv,400,Wet,441,5.061652787,0.094640847,295.0301047,1.577601834,1.694964577,0.750757877,
C. rhomboidea,24/04/2012,30,Amb,400,Dry,542,12.06521522,0.162537733,246.2752697,2.678912076,1.719217636,0.646944454,1.179049057
C. rhomboidea,24/04/2012,30,Amb,400,Dry,543,10.0650615,0.137259766,252.8393584,2.379367957,1.788422552,0.656402255,0.910830785
C. rhomboidea,24/04/2012,30,Amb,400,Dry,549,8.583534882,0.110323543,248.6250785,1.751203795,1.623187155,0.643445251,0.13897759
C. rhomboidea,24/04/2012,30,Amb,400,Dry,541,7.993213358,0.093347581,236.0370012,1.725085815,1.873748146,0.609720027,
C. rhomboidea,24/04/2012,30,Amb,640,Dry,652,13.88021446,0.107421421,389.6283285,1.904166093,1.805179279,0.62930075,1.142869689
C. rhomboidea,24/04/2012,30,Amb,640,Dry,654,16.41971607,0.138346074,400.6091011,2.387386717,1.782088958,0.651838616,1.031634346
C. rhomboidea,24/04/2012,30,Amb,640,Dry,660,11.9328667,0.088754299,381.4385076,1.879397152,2.142877255,0.614347916,0.754696421
C. rhomboidea,24/04/2012,30,Amb,640,Dry,658,16.19446915,0.186694795,453.4700964,2.761166163,1.556878929,0.737370274,
C. rhomboidea,24/04/2012,30,Elv,640,Dry,351,5.599768823,0.023174814,222.7339334,0.635300345,2.675460065,0.352746157,0.455470643
C. rhomboidea,24/04/2012,30,Elv,640,Dry,347,8.889301526,0.042844952,273.680304,0.932046752,2.145149136,0.436755651,0.699553976
C. rhomboidea,24/04/2012,30,Elv,640,Dry,342,6.123192084,0.028345118,265.2940375,0.677021335,2.3383296,0.41994351,0.510666627
C. rhomboidea,24/04/2012,30,Elv,640,Dry,348,8.481332087,0.045758934,309.567951,1.050154018,2.272924424,0.492575557,
C. rhomboidea,24/04/2012,30,Elv,400,Dry,455,5.575787184,0.074796694,258.7340244,1.544477473,2.064817387,0.65965018,0.935021047
C. rhomboidea,24/04/2012,30,Elv,400,Dry,458,2.22397438,0.014647487,141.7861122,0.392602427,2.613311178,0.356590157,0.606255366
C. rhomboidea,24/04/2012,30,Elv,400,Dry,452,2.203987434,0.015463234,156.5519073,0.345616268,2.17385659,0.395530541,
C. rhomboidea,24/04/2012,30,Elv,400,Dry,442,5.161711919,0.042347043,181.687443,1.148910401,2.675259035,0.46312585,0.784179805
C. rhomboidea,24/04/2012,30,Amb,400,Wet,546,7.546487473,0.091575512,240.7023274,2.027618505,2.244680707,0.619780806,0.902833341
C. rhomboidea,24/04/2012,30,Amb,400,Wet,545,12.2598688,0.195552962,265.5661381,3.108620822,1.676036901,0.695788619,1.032492234
C. rhomboidea,24/04/2012,30,Amb,400,Wet,559,10.51874939,0.159609751,262.9182046,2.849520187,1.856835756,0.684445457,1.116256504
C. rhomboidea,24/04/2012,30,Amb,400,Wet,544,8.554265662,0.089924652,219.8567363,1.650268694,1.858561012,0.569394092,
C. rhomboidea,24/04/2012,30,Amb,640,Wet,649,12.49611717,0.118480888,429.451326,2.081893405,1.803500415,0.691860194,0.940213438
C. rhomboidea,24/04/2012,30,Amb,640,Wet,647,17.92356614,0.170854886,418.5473327,2.86459766,1.749264188,0.684708709,0.884677307
C. rhomboidea,24/04/2012,30,Amb,640,Wet,646,15.18150189,0.136349173,412.6030444,2.486387065,1.87854495,0.670750345,0.976576003
C. rhomboidea,24/04/2012,30,Amb,640,Wet,656,11.24483907,0.113415954,442.3356429,1.901189203,1.715345677,0.710871096,
C. rhomboidea,24/04/2012,30,Elv,640,Wet,343,8.600400923,0.086970817,445.3484209,1.810087368,2.091716893,0.710415915,0.98247958
C. rhomboidea,24/04/2012,30,Elv,640,Wet,355,7.727207164,0.061062654,404.132552,1.2558916,2.043459789,0.643140341,0.905757038
C. rhomboidea,24/04/2012,30,Elv,640,Wet,346,10.02530888,0.122074191,467.8280535,2.351825524,1.95862407,0.751549098,1.254153197
C. rhomboidea,24/04/2012,30,Elv,640,Wet,356,10.07913293,0.101999666,442.3588975,2.094772717,2.079182561,0.708481272,
C. rhomboidea,24/04/2012,30,Elv,400,Wet,446,7.672315969,0.134203678,279.9403063,2.910850023,2.21436283,0.721620753,1.494108984
C. rhomboidea,24/04/2012,30,Elv,400,Wet,454,6.345045629,0.084728345,255.7281721,1.838554237,2.173951216,0.654489308,0.862045665
C. rhomboidea,24/04/2012,30,Elv,400,Wet,457,8.159270791,0.16179395,290.3526829,3.215614835,2.051391435,0.750092058,
C. rhomboidea,24/04/2012,30,Elv,400,Wet,441,5.870700391,0.081099014,258.727953,1.947003207,2.405343067,0.662154984,1.015346078
C. rhomboidea,1/05/2012,37,Amb,400,Dry,542,7.438548608,0.062392681,183.9635523,1.393891552,2.275781369,0.472345013,1.013876409
C. rhomboidea,1/05/2012,37,Amb,400,Dry,543,9.899101871,0.121161975,237.6442125,2.307948932,1.987699623,0.619027123,0.778070101
C. rhomboidea,1/05/2012,37,Amb,400,Dry,549,5.232749958,0.040933051,174.0299596,0.983567402,2.42409614,0.443266693,0.676530698
C. rhomboidea,1/05/2012,37,Amb,400,Dry,541,5.991514319,0.051007876,188.7451314,1.112259026,2.209755115,0.483478275,
C. rhomboidea,1/05/2012,37,Amb,640,Dry,660,9.585127123,0.058907053,342.395675,1.236398221,2.133392445,0.548014672,0.74555895
C. rhomboidea,1/05/2012,37,Amb,640,Dry,652,10.97386812,0.056253557,290.5869105,1.088420959,1.965827092,0.466128,1.031137399
C. rhomboidea,1/05/2012,37,Amb,640,Dry,654,8.875980623,0.042167656,269.6537317,0.929038863,2.219600833,0.429688373,0.669056937
C. rhomboidea,1/05/2012,37,Amb,640,Dry,658,15.66851041,0.144788194,420.3211798,2.18873476,1.586607781,0.682799749,
C. rhomboidea,1/05/2012,37,Elv,640,Dry,347,2.370711968,0.009315444,206.0094449,0.313440351,3.329163552,0.323249078,0.559265722
C. rhomboidea,1/05/2012,37,Elv,640,Dry,351,2.769998762,0.010442684,189.1923996,0.331841567,3.148845989,0.297354766,0.483116041
C. rhomboidea,1/05/2012,37,Elv,640,Dry,342,2.033115592,0.008678372,241.150836,0.253203926,2.890105701,0.378140845,0.460873237
C. rhomboidea,1/05/2012,37,Elv,640,Dry,348,3.542179342,0.014432371,218.643726,0.438197607,3.012997217,0.344765821,
C. rhomboidea,1/05/2012,37,Elv,400,Dry,458,1.021263364,0.006863463,146.0172401,0.20603455,2.963026118,0.367043598,0.488880429
C. rhomboidea,1/05/2012,37,Elv,400,Dry,455,3.603669194,0.031310714,199.1575466,0.644490819,2.062962373,0.503862547,0.847009769
C. rhomboidea,1/05/2012,37,Elv,400,Dry,452,0.858515015,0.00669816,179.6381575,0.179508116,2.646031032,0.45183601,
C. rhomboidea,1/05/2012,37,Elv,400,Dry,442,2.701610298,0.018158728,145.4646513,0.514766949,2.809332707,0.365977222,1.172022014
C. rhomboidea,1/05/2012,37,Amb,400,Wet,546,9.293611025,0.119810486,246.3591628,2.256406018,1.964701726,0.638343258,1.16872488
C. rhomboidea,1/05/2012,37,Amb,400,Wet,545,8.734338533,0.139180815,271.1931137,2.41286395,1.825308185,0.702179072,0.862421198
C. rhomboidea,1/05/2012,37,Amb,400,Wet,559,9.742345433,0.140318433,259.8764087,2.35360734,1.764279545,0.673916301,1.061972406
C. rhomboidea,1/05/2012,37,Amb,400,Wet,544,7.629365904,0.080945783,222.1357524,1.660559956,2.102788744,0.573036835,
C. rhomboidea,1/05/2012,37,Amb,640,Wet,649,13.58372297,0.112974571,401.2851111,2.180896888,2.001587618,0.64955253,1.476045609
C. rhomboidea,1/05/2012,37,Amb,640,Wet,647,15.8357575,0.153485465,425.691947,2.628366664,1.804536588,0.692359429,
C. rhomboidea,1/05/2012,37,Amb,640,Wet,646,15.65085225,0.19714877,466.1647509,2.715288526,1.47806763,0.758161991,1.725300995
C. rhomboidea,1/05/2012,37,Amb,640,Wet,656,13.20161818,0.179515271,479.6696698,2.724944354,1.615195275,0.774829983,
C. rhomboidea,1/05/2012,37,Elv,640,Wet,343,9.584352752,0.080198271,408.7896056,1.908845996,2.430579139,0.653295522,1.333501985
C. rhomboidea,1/05/2012,37,Elv,640,Wet,355,8.022421053,0.046607089,324.9070979,1.44134276,3.109257525,0.516643285,1.120040501
C. rhomboidea,1/05/2012,37,Elv,640,Wet,346,9.677311281,0.087409656,419.6767836,2.385553896,2.789132608,0.670540523,1.823551174
C. rhomboidea,1/05/2012,37,Elv,640,Wet,356,10.9400499,0.101515633,423.9207504,2.49009296,2.520093906,0.679472444,
C. rhomboidea,1/05/2012,37,Elv,400,Wet,446,7.427472489,0.11619875,270.3882229,2.400881149,2.139048022,0.69645117,1.328774218
C. rhomboidea,1/05/2012,37,Elv,400,Wet,454,6.272018395,0.083518274,254.5663609,1.831012163,2.235388801,0.652830206,1.106077811
C. rhomboidea,1/05/2012,37,Elv,400,Wet,457,7.164172337,0.122037676,277.6825665,2.966562112,2.511213178,0.713410899,
C. rhomboidea,1/05/2012,37,Elv,400,Wet,441,5.578691288,0.08346974,267.1065269,2.039857235,2.486856954,0.684074174,1.22400748
C. rhomboidea,8/05/2012,44,Amb,400,Dry,543,8.714469248,0.086474845,210.9500206,1.664957356,1.964408578,0.545582904,0.816818235
C. rhomboidea,8/05/2012,44,Amb,400,Dry,549,3.593249086,0.022421506,128.1084841,0.488803471,2.165879034,0.323680158,0.560488846
C. rhomboidea,8/05/2012,44,Amb,400,Dry,541,3.897938261,0.025296141,138.0643273,0.484482951,1.905825132,0.349460268,
C. rhomboidea,8/05/2012,44,Amb,400,Dry,542,5.729118351,0.036466926,129.4175385,0.770962854,2.124716321,0.329303097,0.449286274
C. rhomboidea,8/05/2012,44,Amb,640,Dry,660,6.968346452,0.026217547,186.4184797,0.553668219,2.105152653,0.296097462,0.414401217
C. rhomboidea,8/05/2012,44,Amb,640,Dry,652,4.343406764,0.017287578,213.7067097,0.410551852,2.355236287,0.336863185,0.732784277
C. rhomboidea,8/05/2012,44,Amb,640,Dry,654,4.143229342,0.014908633,173.8488964,0.30737031,2.045861914,0.274093452,0.450737276
C. rhomboidea,8/05/2012,44,Elv,640,Dry,351,2.907005201,0.01084804,187.9753718,0.287498189,2.602714705,0.295590136,0.43457334
C. rhomboidea,8/05/2012,44,Elv,640,Dry,347,2.107469386,0.009275652,251.8085151,0.264763617,2.804855905,0.395415656,0.360276263
C. rhomboidea,8/05/2012,44,Elv,640,Dry,342,2.356232272,0.008292543,160.8440667,0.251892664,2.979249996,0.252829628,0.329181121
C. rhomboidea,8/05/2012,44,Elv,640,Dry,348,2.543046145,0.010103738,210.7492581,0.293073287,2.844534557,0.332028324,
C. rhomboidea,8/05/2012,44,Elv,400,Dry,455,2.011843773,0.013718514,147.7907797,0.404913645,2.911172766,0.372746096,0.527748346
