Species,Treatment,Replicate,life_form,WP leaf (Mpa) predawn,leaf RWC at predawn,WP leaf (Mpa) midday,Shoot:Root,Stem mass fraction (SMF) g/g,Root mass fraction (RMF) g/g,WUE ,RGR mg g/day,Transpiration rate g/day,Total plant leaf area cm2,Total leaf dry mass g,Daily transpiration g H20/leaf area cm2,LMA kg/m2,LAR m2/kg whole plant,SLA m2/kg whole plant,LMF total g/g,Stomatal density Upper surface,Stomatal density Lower surface,Mean Stomatal density (upper and lower surfaces),site
Brachyscome multifida,Drought,1,hemicryptophyte,*,51.30434783,2.5,1.569902048,0.311291221,0.389119889,4.052059179,11.46834126,4.655,67.44890944,1.729227074,0.0690152,0.256375839,1.168553525,3.90052356,0.29958889,NA,NA,NA,The University of Melbourne Burnley campus
Brachyscome multifida,Drought,2,,1.5,75.99431818,2,0.794392523,0.219447732,0.557291667,3.230874609,7.705020387,6.78,86.3082274,1.071650888,0.078555663,0.124165554,1.798088071,8.053763441,0.223260602,NA,NA,NA,The University of Melbourne Burnley campus
Brachyscome multifida,Drought,3,,5.4,49.46619217,5.5,1.700093284,0.328236908,0.370357575,4.825215342,11.52836013,5.48,96.26275052,1.744836538,0.056927524,0.181257707,1.662856288,5.517006803,0.301405517,NA,NA,NA,The University of Melbourne Burnley campus
Brachyscome multifida,Drought,4,,3.7,63.25757576,4,1.761209068,0.370237543,0.36216019,4.057197896,10.41260504,4.98,66.86554239,1.466728027,0.074477823,0.219354839,1.219951512,4.558823529,0.267602267,NA,NA,NA,The University of Melbourne Burnley campus
Brachyscome multifida,Drought,5,,3.9,69.02439024,5.1,1.512633625,0.302435098,0.397988784,3.414687296,9.224411723,3.755,87.85501229,1.549108108,0.042740874,0.176325524,1.698994629,5.671328671,0.299576118,NA,NA,NA,The University of Melbourne Burnley campus
Brachyscome multifida,Watered,1,,0.5,100,1.4,2.080662586,0.309640537,0.324605494,2.649154589,19.49889772,38.815,280.9512072,3.12902521,0.138155662,0.111372549,3.28405853,8.978873239,0.36575397,14.33121019,17.19745223,15.76433121,The University of Melbourne Burnley campus
Brachyscome multifida,Watered,2,,0.5,90.78674948,0.95,2.050864198,0.316600175,0.327775979,3.666539683,12.85560562,26.065,245.2427024,2.197044118,0.106282469,0.089586524,3.969613182,11.16239316,0.355623846,17.51592357,17.19745223,17.3566879,The University of Melbourne Burnley campus
Brachyscome multifida,Watered,3,,0.45,92.53539254,1.1,1.63312369,0.305192968,0.37977707,3.459124648,22.78170797,29.34,193.1365599,3.165421053,0.151913237,0.163895487,1.92213933,6.101449275,0.315029961,13.37579618,10.1910828,11.78343949,The University of Melbourne Burnley campus
Brachyscome multifida,Watered,4,,0.55,92.51908397,1.2,1.450266277,0.308612694,0.408118909,4.200765697,29.93058883,56.04,457.6092665,4.040257143,0.122462555,0.088290545,3.208366167,11.32624113,0.283268397,15.2866242,14.96815287,15.12738854,The University of Melbourne Burnley campus
Brachyscome multifida,Watered,5,,0.45,91.78498986,1.2,1.27763556,0.271306836,0.439051803,3.935780928,22.24459297,30.115,234.8541765,2.83472,0.128228505,0.120701281,2.399654404,8.284916201,0.289641361,NA,NA,NA,The University of Melbourne Burnley campus
Calytrix tetragona,Drought,1,chamaephyte,1.6,76.56675749,2.5,1.970083765,0.316341489,0.336690841,5.059781226,13.377721,7.08,52.56129494,2.583521277,0.134699878,0.491525424,0.705899744,2.034482759,0.346967671,NA,NA,NA,The University of Melbourne Burnley campus
Calytrix tetragona,Drought,2,,1.85,80.078125,3,0.992353792,0.234353283,0.501918888,8.10349666,18.65012635,5.98,99.39976875,2.5426,0.060161106,0.255795364,1.031010982,3.909375,0.263727829,NA,NA,NA,The University of Melbourne Burnley campus
Calytrix tetragona,Drought,3,,1.6,84.42906574,2.8,1.727014756,0.283602308,0.366701353,1.286963194,4.438538695,7.28,39.6489697,1.680290909,0.183611329,0.423791822,0.82516066,2.359649123,0.349696339,NA,NA,NA,The University of Melbourne Burnley campus
Calytrix tetragona,Drought,4,,1.7,87.93103448,2.7,1.844270323,0.318615702,0.351584022,2.753019221,8.307502676,5.955,37.93766214,1.91548,0.156968028,0.504901961,0.653196662,1.980582524,0.329800275,NA,NA,NA,The University of Melbourne Burnley campus
Calytrix tetragona,Drought,5,,2.7,77.40524781,3,1.814267756,0.276746664,0.355332217,7.176175301,17.14374264,6.33,105.7824888,3.294733624,0.059839772,0.311463047,1.181267323,3.210653753,0.367921119,NA,NA,NA,The University of Melbourne Burnley campus
Calytrix tetragona,Watered,1,,0.4,84.58498024,0.9,1.510989011,0.320050601,0.398249453,2.827586207,14.24434305,45.515,122.5575054,2.188526882,0.371376684,0.178571429,1.577519698,5.6,0.281699946,17.8343949,15.60509554,16.71974522,The University of Melbourne Burnley campus
Calytrix tetragona,Watered,2,,0.65,88.36140888,1.1,2.285246668,0.320657947,0.304391147,3.032031436,26.33724329,112.99,284.4955,5.268435185,0.397159182,0.185185185,2.024734894,5.4,0.374950906,10.82802548,12.10191083,11.46496815,The University of Melbourne Burnley campus
Calytrix tetragona,Watered,3,,0.65,92.34899329,1.1,2.090571205,0.432196089,0.323564783,2.830186889,28.73016328,111.415,189.1804098,3.85873399,0.588935187,0.203971119,1.197420152,4.902654867,0.244239128,16.24203822,15.2866242,15.76433121,The University of Melbourne Burnley campus
Calytrix tetragona,Watered,4,,0.5,92.82608696,1.2,4.868552413,0.513246878,0.170399773,4.30179955,30.97381464,66.49,316.1371739,5.578891304,0.210320094,0.176470588,1.792668976,5.666666667,0.316353349,12.42038217,21.01910828,16.71974522,The University of Melbourne Burnley campus
Calytrix tetragona,Watered,5,,0.65,93.72197309,0.7,3.699966021,0.47318047,0.212767496,4.161773917,26.01665514,67.14,282.5965828,4.343967742,0.237582491,0.153716216,2.043063785,6.505494505,0.314052035,NA,NA,NA,The University of Melbourne Burnley campus
Chrysocephalum semipapposum,Drought,1,hemicryptophyte,4.4,42.82267793,6.3,1.554836512,0.256724744,0.391414478,4.749701631,9.821851112,4.93,187.2481809,2.639307692,0.026328694,0.140952381,2.49630957,7.094594595,0.351860778,NA,NA,NA,The University of Melbourne Burnley campus
Chrysocephalum semipapposum,Drought,2,,4.5,52.17391304,5.9,2.016532618,0.286755872,0.331506443,3.688064437,7.671938808,4.08,181.489774,2.577111111,0.022480605,0.141997593,2.68833912,7.042372881,0.381737685,NA,NA,NA,The University of Melbourne Burnley campus
Chrysocephalum semipapposum,Drought,3,,5.65,50.60240964,6.3,1.189691445,0.220398424,0.456685348,2.832553064,6.081949043,4.355,131.9854337,2.016611842,0.032996065,0.152790485,2.113457706,6.54491018,0.322916228,NA,NA,NA,The University of Melbourne Burnley campus
Chrysocephalum semipapposum,Drought,4,,4.4,69.03914591,5,0.726341169,0.159233748,0.579259777,1.917231212,4.318383453,4.33,111.1994581,1.497909091,0.038939039,0.134704711,1.941331322,7.42364532,0.261506475,NA,NA,NA,The University of Melbourne Burnley campus
Chrysocephalum semipapposum,Drought,5,,1,91.4893617,3.3,0.77516113,0.213193688,0.563329144,4.645866294,8.875183583,4.73,101.7561962,1.60032,0.046483656,0.15727003,1.420977464,6.358490566,0.223477168,NA,NA,NA,The University of Melbourne Burnley campus
Chrysocephalum semipapposum,Watered,1,,0.75,85.35211268,1.5,1.314986199,0.214898102,0.431968018,3.098003863,22.92964311,111.99,468.6661092,5.034982857,0.238954765,0.107432194,3.287039621,9.308196721,0.35313388,0,21.01910828,10.50955414,The University of Melbourne Burnley campus
Chrysocephalum semipapposum,Watered,2,,0.6,89.07753254,1.2,1.868095839,0.263835564,0.348663384,3.874388911,18.31405211,52.19,528.7994366,4.406661972,0.098695264,0.083333333,4.650012633,12,0.387501053,NA,NA,NA,The University of Melbourne Burnley campus
Chrysocephalum semipapposum,Watered,3,,0.75,85.24590164,1.6,1.650937155,0.237273332,0.377225087,3.812138728,19.44842172,43.99,370.0506378,4.6345,0.118875623,0.125239617,3.078112109,7.984693878,0.38550158,NA,NA,NA,The University of Melbourne Burnley campus
Chrysocephalum semipapposum,Watered,4,,0.75,81.8086225,7,0.952203857,0.185098257,0.512241586,4.303880866,22.8076144,59.79,291.5854999,4.28960241,0.205051349,0.147113022,2.05733084,6.797494781,0.302660157,NA,NA,NA,The University of Melbourne Burnley campus
Chrysocephalum semipapposum,Watered,5,,0.4,95.91240876,1.6,1.001090645,0.15028311,0.499727487,4.566825592,25.92616957,53.265,522.6722266,5.779375,0.101908992,0.110573601,3.165216657,9.04375,0.349989402,NA,NA,NA,The University of Melbourne Burnley campus
Correa reflexa,Drought,1,chamaephyte,2.5,82.52611586,3.7,1.689228111,0.319813645,0.371853915,8.808897573,14.23479497,3.18,197.3448748,2.8789,0.016113922,0.145881671,2.113579038,6.854870775,0.308332441,NA,NA,NA,The University of Melbourne Burnley campus
Correa reflexa,Drought,2,,3,73.97260274,2.6,2.264308981,0.337394097,0.30634355,4.451549804,8.39940134,3.43,201.7686938,2.499180412,0.016999664,0.123863636,2.876246527,8.073394495,0.356262354,NA,NA,NA,The University of Melbourne Burnley campus
Correa reflexa,Drought,3,,1.2,87.21649485,1.6,1.391254315,0.348098323,0.418190568,-0.961553489,-2.284223972,3.955,84.29050485,0.971303371,0.046921062,0.115232833,2.028164217,8.678082192,0.233711109,NA,NA,NA,The University of Melbourne Burnley campus
Correa reflexa,Drought,4,,4.35,60.7300885,4.3,1.708672736,0.28034738,0.369184504,1.85462734,3.994006731,2.405,136.3699325,1.981196262,0.017635852,0.145281018,2.412346231,6.883211679,0.350468116,NA,NA,NA,The University of Melbourne Burnley campus
Correa reflexa,Drought,5,,2.3,80.73196986,2.6,2.483870968,0.409466231,0.287037037,1.388929944,3.059569504,3.955,131.5068016,1.638882353,0.03007449,0.124623391,2.43531114,8.024175824,0.303496732,NA,NA,NA,The University of Melbourne Burnley campus
Correa reflexa,Watered,1,,0.55,87.97909408,1.05,2.772104608,0.382551574,0.265103995,4.616413053,24.10592646,69.29,813.0379558,5.33625641,0.085223574,0.065633546,5.368358903,15.23611111,0.352344431,0,41.40127389,20.70063694,The University of Melbourne Burnley campus
Correa reflexa,Watered,2,,0.75,89.7680764,1.35,2.626977951,0.375849797,0.275711629,4.011604418,22.47532123,61.89,657.5269507,4.871868132,0.094125419,0.074093817,4.702667363,13.49640288,0.348438573,0,38.21656051,19.10828025,The University of Melbourne Burnley campus
Correa reflexa,Watered,3,,0.7,94.62474645,1.1,2.371813372,0.34617127,0.29657632,1.750778354,8.384850065,23.215,233.5538617,2.504339394,0.099398913,0.107227488,3.331724133,9.325966851,0.35725241,0,34.39490446,17.19745223,The University of Melbourne Burnley campus
Correa reflexa,Watered,4,,0.8,93.64864865,1.55,2.235395932,0.365581115,0.309081182,2.454916254,9.701052942,17.49,208.8405829,2.43255,0.08374809,0.116478798,2.793106633,8.585253456,0.325337702,0,37.89808917,18.94904459,The University of Melbourne Burnley campus
Correa reflexa,Watered,5,,0.7,89.96865204,1.4,3.042471042,0.380260834,0.247373448,1.222263784,6.14710925,30.29,379.2960185,2.339201439,0.079858471,0.061672185,6.037822645,16.2147651,0.372365718,NA,NA,NA,The University of Melbourne Burnley campus
Derwentia perfoliata,Drought,1,hemicryptophyte,1.8,86.41666667,3.65,1.35082028,0.170256712,0.425383433,11.24679589,15.38092559,16.305,1228.505584,10.25577903,0.013272223,0.083481745,4.843691928,11.97866667,0.404359856,NA,NA,NA,The University of Melbourne Burnley campus
Derwentia perfoliata,Drought,2,,1.5,75.88306943,3.2,1.357857646,0.17122613,0.424113814,3.835355508,6.888115816,14.78,691.1943612,6.769558074,0.021383276,0.097940007,4.131713559,10.2103321,0.404660056,NA,NA,NA,The University of Melbourne Burnley campus
Derwentia perfoliata,Drought,3,,1.3,84.20338983,3,2.273516643,0.18768954,0.305481874,7.125258063,10.89485489,16.63,953.7193482,10.31801634,0.017436996,0.108187135,4.684739897,9.243243243,0.506828585,NA,NA,NA,The University of Melbourne Burnley campus
Derwentia perfoliata,Drought,4,,1.7,82.29398664,3.5,1.437547674,0.164694609,0.410248386,11.18275511,15.54281966,13.355,1222.279919,10.86658233,0.010926302,0.088904204,4.781067551,11.24806202,0.425057005,NA,NA,NA,The University of Melbourne Burnley campus
Derwentia perfoliata,Drought,5,,2.7,73.98280802,4.8,1.779345909,0.183309847,0.359796885,7.3919438,11.01778697,13.83,1065.87356,9.357631024,0.012975273,0.087793068,5.20420663,11.3904209,0.456893268,NA,NA,NA,The University of Melbourne Burnley campus
Derwentia perfoliata,Watered,1,,0.4,91.47837314,1.45,1.435536689,0.170799994,0.410587122,5.3961687,24.76112673,124.165,1553.939704,16.81233065,0.079903358,0.108191654,3.869179085,9.242857143,0.418612884,26.11464968,23.56687898,24.84076433,The University of Melbourne Burnley campus
Derwentia perfoliata,Watered,2,,0.45,90.80036799,2.25,2.361400971,0.167798638,0.297495005,6.004605877,20.46306873,87.29,2009.971753,17.39667133,0.043428471,0.08655182,6.177875375,11.55377207,0.534706357,22.92993631,17.51592357,20.22292994,The University of Melbourne Burnley campus
Derwentia perfoliata,Watered,3,,0.4,93.02325581,2,2.222925968,0.215270619,0.310277062,3.307798864,19.50307408,112.44,1369.303351,14.727,0.082114748,0.10755104,4.411415437,9.29791099,0.47445232,25.15923567,24.84076433,25,The University of Melbourne Burnley campus
Derwentia perfoliata,Watered,4,,0.4,92.90399523,2,1.559156996,0.170327464,0.390753675,4.8657623,23.83065228,123.065,1712.632938,16.84219456,0.071857196,0.098340947,4.463236053,10.16870416,0.438918862,33.12101911,26.11464968,29.61783439,The University of Melbourne Burnley campus
Derwentia perfoliata,Watered,5,,0.35,91.90871369,1.6,2.51827957,0.183656317,0.284229829,3.481982411,13.29970413,59.09,1194.004936,12.18753571,0.049488908,0.102072741,5.21308477,9.796934866,0.532113854,NA,NA,NA,The University of Melbourne Burnley campus
Dianella admixta,Drought,1,hemicryptophyte,0.65,94.66019417,2.2,0.512507973,0,0.66115354,12.26262716,14.77054329,8.58,515.28,7.232,0.016651141,0.140350877,2.414281029,7.125,0.33884646,NA,NA,NA,The University of Melbourne Burnley campus
Dianella admixta,Drought,2,,1,94.92753623,2.3,0.437991632,0,0.695414339,17.37223811,18.62197205,8.38,448.6285714,7.851,0.018679149,0.175,1.740489492,5.714285714,0.304585661,NA,NA,NA,The University of Melbourne Burnley campus
Dianella admixta,Drought,3,,1.6,95.71788413,2.8,0.372527517,0,0.728582843,27.23483352,24.14870377,8.88,533.5565535,9.172,0.016643034,0.171903052,1.578896675,5.817232376,0.271417157,NA,NA,NA,The University of Melbourne Burnley campus
Dianella admixta,Drought,4,,1.2,94.58333333,2.4,0.693708735,0,0.590420289,14.30097505,15.68217004,8.88,640.1830479,9.141,0.013871033,0.142787286,2.86846065,7.003424658,0.409579711,NA,NA,NA,The University of Melbourne Burnley campus
Dianella admixta,Drought,5,,0.8,95.22613065,2.4,0.438891413,0,0.694979476,25.1127235,22.82454418,7.155,724.6180929,9.66,0.009874167,0.133311604,2.288026817,7.501222494,0.305020524,NA,NA,NA,The University of Melbourne Burnley campus
Dianella admixta,Watered,1,,0.45,98.42519685,1.5,0.384922198,0,0.722062222,12.09842115,34.54773154,92.79,1398.766101,15.634,0.066337038,0.111769938,2.48669529,8.946949602,0.277937778,0,10.82802548,5.414012739,The University of Melbourne Burnley campus
Dianella admixta,Watered,2,,0.45,97.23320158,1.2,0.978039157,0,0.505551165,5.114355078,19.24190203,76.44,1067.727991,13.138,0.071591267,0.12304632,4.018395961,8.127020785,0.494448835,0,13.05732484,6.52866242,The University of Melbourne Burnley campus
Dianella admixta,Watered,3,,0.9,*,1.7,1.681881199,0,0.372872594,5.093694066,18.1185954,71.69,1049.862048,15.771,0.068285162,0.150219736,4.174733768,6.656914894,0.627127406,0,13.69426752,6.847133758,The University of Melbourne Burnley campus
Dianella admixta,Watered,4,,0.35,99.73333333,1.1,0.572392662,0,0.635973459,6.169401475,27.86421657,94.715,1354.940613,14.758,0.069903433,0.108919903,3.342148967,9.181058496,0.364026541,NA,NA,NA,The University of Melbourne Burnley campus
Dianella admixta,Watered,5,,0.5,98.71382637,1.7,0.960194012,0,0.510153584,4.557075718,16.68319936,59.615,969.6302454,11.482,0.061482199,0.118416273,4.136647805,8.444785276,0.489846416,NA,NA,NA,The University of Melbourne Burnley campus
Grevillea alpina,Drought,1,chamaephyte,3.4,73.14189189,3.2,2.683333333,0.31896339,0.271493213,2.857296022,5.32580988,1.155,101.5755765,1.900690909,0.011370844,0.187120859,2.188657111,5.344139651,0.409543398,NA,NA,NA,The University of Melbourne Burnley campus
Grevillea alpina,Drought,2,,6.75,54.37616387,6,2.285490196,0.247978821,0.304368584,11.945384,17.38049074,-0.145,124.4935544,3.750433437,-0.001164719,0.30125523,1.485957918,3.319444444,0.447652594,NA,NA,NA,The University of Melbourne Burnley campus
Grevillea alpina,Drought,3,,5,57.99373041,4.5,1.610928242,0.293698821,0.383005547,1.049157454,2.118221509,-0.67,55.94703802,1.282190476,-0.011975612,0.229179331,1.410666617,4.363395225,0.323295632,NA,NA,NA,The University of Melbourne Burnley campus
Grevillea alpina,Drought,4,,6.3,70,4.4,2.849086577,0.332515151,0.259801898,3.019863144,6.207927474,0.08,92.13281883,1.975631579,0.000868312,0.21443299,1.90121376,4.663461538,0.407682951,NA,NA,NA,The University of Melbourne Burnley campus
Grevillea alpina,Drought,5,,4.7,73.03370787,5.5,3.65750736,0.261575537,0.214707122,2.886511536,5.782387385,-0.895,117.8316126,2.4855625,-0.007595585,0.210941906,2.482756271,4.740641711,0.523717341,NA,NA,NA,The University of Melbourne Burnley campus
Grevillea alpina,Watered,1,,0.4,89.80815348,1.1,4.598746082,0.28386099,0.178611422,-0.009287926,-0.017132921,7.265,93.31739888,1.920048544,0.077852577,0.205754615,2.612469174,4.860158311,0.537527588,0,40.76433121,20.38216561,The University of Melbourne Burnley campus
Grevillea alpina,Watered,2,,0.7,96.6189857,0.9,7.232235702,0.329099215,0.121473684,6.80174492,19.94544127,23.69,287.9207314,5.219557457,0.082279591,0.18128453,3.030744541,5.516190476,0.549427101,0,60.82802548,30.41401274,The University of Melbourne Burnley campus
Grevillea alpina,Watered,3,,0.3,93.43283582,1,7.136936937,0.310379282,0.122896368,1.453730882,4.768601431,17.315,220.451135,2.55932716,0.078543483,0.116094987,4.881557461,8.613636364,0.566724349,0,51.59235669,25.79617834,The University of Melbourne Burnley campus
Grevillea alpina,Watered,4,,0.4,78.36338419,1.1,5.889340102,0.311727656,0.145151783,3.6143629,13.07952021,16.64,186.6988051,3.685616129,0.089127512,0.197409733,2.751234971,5.065606362,0.543120561,NA,33.75796178,NA,The University of Melbourne Burnley campus
Grevillea alpina,Watered,5,,0.7,94.10029499,1.1,8.64801444,0.330742689,0.103648269,2.115959354,8.20808915,10.515,178.0317304,3.023180328,0.059062505,0.169811321,3.330808801,5.888888889,0.565609042,NA,NA,NA,The University of Melbourne Burnley campus
Hibbertia obtusifolia,Drought,1,chamaephyte,3.6,71.67755991,3.2,0.925549915,0.294802372,0.519332162,0.484111506,0.77117644,2.755,48.83162903,0.846059603,0.056418351,0.173260573,1.072751077,5.771653543,0.185865466,NA,NA,NA,The University of Melbourne Burnley campus
Hibbertia obtusifolia,Drought,2,,1.3,83.04239401,1.55,1.125207297,0.237108623,0.470542333,-6.22333151,-10.95103273,3.38,51.27881261,0.749290598,0.065914163,0.146120895,2.000734007,6.843648208,0.292349043,NA,NA,NA,The University of Melbourne Burnley campus
Hibbertia obtusifolia,Drought,3,,2.4,75.08417508,5.4,0.733998624,0.215178577,0.576701727,1.793861809,2.845481601,2.855,63.48472078,1.048715152,0.044971451,0.16519174,1.259867449,6.053571429,0.208119697,NA,NA,NA,The University of Melbourne Burnley campus
Hibbertia obtusifolia,Drought,4,,3.9,70.28301887,4.5,0.75575909,0.194145387,0.569554221,4.819886871,7.487532115,2.98,66.2313893,1.494836283,0.044993772,0.225699068,1.046971061,4.430678466,0.236300393,NA,NA,NA,The University of Melbourne Burnley campus
Hibbertia obtusifolia,Drought,5,,3.65,63.03030303,4.5,0.689090909,0.21599216,0.592034446,-1.866920365,-3.370025108,2.405,32.66756974,0.713373134,0.073620414,0.218373494,0.879105752,4.579310345,0.191973395,NA,NA,NA,The University of Melbourne Burnley campus
Hibbertia obtusifolia,Watered,1,,0.2,94.90740741,0.9,8.816793893,0.063923279,0.101866252,34.79833391,35.06523579,16.79,1808.707139,20.38309859,0.009282874,0.112694301,7.402419331,8.873563218,0.834210469,12.42038217,22.29299363,17.3566879,The University of Melbourne Burnley campus
Hibbertia obtusifolia,Watered,2,,0.3,87.54098361,0.85,1.738283628,0.23790472,0.365192265,4.397979605,14.67802611,33.84,333.5777305,3.571333333,0.101445621,0.107061503,3.70724306,9.340425532,0.396903015,9.554140127,NA,NA,The University of Melbourne Burnley campus
Hibbertia obtusifolia,Watered,3,,0.3,91.51291513,1,1.994042553,0.273536331,0.333996589,2.745317189,9.658383176,26.04,231.379916,2.761398374,0.112542179,0.119344774,3.288515009,8.379084967,0.39246708,8.598726115,23.56687898,16.08280255,The University of Melbourne Burnley campus
Hibbertia obtusifolia,Watered,4,,0.4,91.71270718,0.95,2.540618956,0.251775992,0.282436493,2.250402022,10.47151966,34.14,293.0169757,3.410496183,0.116512021,0.116392444,4.001870742,8.591623037,0.465787515,9.872611465,23.88535032,16.87898089,The University of Melbourne Burnley campus
Hibbertia obtusifolia,Watered,5,,0.3,91.07981221,0.9,1.812187358,0.221988065,0.355595084,2.131376494,7.024209389,26.79,221.5167484,2.612225806,0.120938937,0.117924528,3.582094896,8.48,0.422416851,NA,NA,NA,The University of Melbourne Burnley campus
Isotoma axillaris,Drought,1,hemicryptophyte,0.6,90.77004219,0.95,0.855417066,0.239036176,0.538962381,9.147003403,22.7660924,17.655,289.6551569,4.296171913,0.060951789,0.148320229,1.496771171,6.742168675,0.222001442,NA,NA,NA,The University of Melbourne Burnley campus
Isotoma axillaris,Drought,2,,0.5,100.4950495,0.9,2.138345865,0.357148511,0.318639195,1.388746555,5.607443745,18.18,431.6559155,2.706524229,0.042116879,0.062700965,5.17077043,15.94871795,0.324212294,NA,NA,NA,The University of Melbourne Burnley campus
Isotoma axillaris,Drought,3,,0.65,101.9398642,0.9,2.175341574,0.426598477,0.314926749,2.418912034,8.798726704,16.18,205.7295999,2.522972263,0.078646923,0.122635356,2.107669296,8.154255319,0.258474773,NA,NA,NA,The University of Melbourne Burnley campus
Isotoma axillaris,Drought,4,,0.9,92.10042866,1.3,1.937704094,0.406684606,0.340401881,3.801346514,12.48783988,16.005,220.7546341,2.957823529,0.072501309,0.133986928,1.887598411,7.463414634,0.252913513,NA,NA,NA,The University of Melbourne Burnley campus
Isotoma axillaris,Drought,5,,0.9,92.46376812,1.1,1.05702511,0.28060383,0.486138937,10.67100453,24.87904646,14.88,494.5511351,5.0064,0.03008789,0.10123119,2.304203211,9.878378378,0.233257233,NA,NA,NA,The University of Melbourne Burnley campus
Isotoma axillaris,Watered,1,,0.4,102.3972603,0.9,0.910781061,0.257339002,0.523346196,4.114398802,35.59202815,157.29,681.9734249,7.956741007,0.230639486,0.116672303,1.879750344,8.571014493,0.219314802,5.414012739,6.369426752,5.891719745,The University of Melbourne Burnley campus
Isotoma axillaris,Watered,2,,0.4,104.5174538,0.7,1.158461388,0.293790167,0.463292976,3.456373476,25.43247758,96.715,515.938895,5.357045455,0.187454369,0.103831006,2.339540629,9.631034483,0.242916857,19.74522293,21.33757962,20.54140127,The University of Melbourne Burnley campus
Isotoma axillaris,Watered,3,,0.4,103.8208169,0.9,1.090131455,0.250768192,0.478438807,3.958455401,33.80052917,149.34,911.8254121,8.998722222,0.163781353,0.098689092,2.743900009,10.13283208,0.270793001,22.29299363,19.74522293,21.01910828,The University of Melbourne Burnley campus
Isotoma axillaris,Watered,4,,0.2,99.04761905,1.2,1.491790818,0.351319596,0.401317796,4.024721051,33.52290487,136.54,718.1688539,8.109041009,0.190122419,0.112912736,2.190741425,8.856396867,0.247362608,13.05732484,12.7388535,12.89808917,The University of Melbourne Burnley campus
Isotoma axillaris,Watered,5,,0.3,98.98242368,0.9,0.566132541,0.219852511,0.638515562,7.380023076,42.58897709,124.64,622.5333493,7.23979918,0.200214173,0.116295765,1.217859713,8.598765432,0.141631926,NA,NA,NA,The University of Melbourne Burnley campus
Lomandra longifolia,Drought,1,hemicryptophyte,1,117.4,1.65,0.734920635,0,0.576395242,5.891604076,11.71505459,5.105,233.2898722,3.241,0.021882647,0.138925877,3.049142232,7.198083067,0.423604758,NA,NA,NA,The University of Melbourne Burnley campus
