genus,species,binomial,growth form,longevity,min height (m),max height (m),min leaf length (mm),max leaf length (mm),min leaf width (mm),max leaf width (mm),leaf shape,leaf type
Lepidium,rotundum,Lepidium rotundum,herb,perennial,,0.3,15,25,1.5,3,obovate,simple
Rorippa,dictyosperma,Rorippa dictyosperma,herb,perennial,,0.9,,,,,lobed,simple
Stenopetalum,robustum,Stenopetalum robustum,herb,annual,,0.4,20,80,,,lobed,simple
Labichea,punctata,Labichea punctata,shrub,perennial,,1,18,125,3,30,elliptic,simple
Wahlenbergia,gracilenta,Wahlenbergia gracilenta,herb,annual,,0.35,1,40,0.2,11,ovate,simple
Wahlenbergia,littoricola,Wahlenbergia littoricola,herb,perennial,,0.75,4,80,1,6,obovate,simple
Wahlenbergia,preissii,Wahlenbergia preissii,herb,annual,,0.4,2,30,0.5,6,obovate,simple
Allocasuarina,decussata,Allocasuarina decussata,tree,perennial,,15,0.6,1,,,articles,simple
Allocasuarina,fraseriana,Allocasuarina fraseriana,tree,perennial,,15,0.7,1.2,,,articles,simple
Allocasuarina,humilis,Allocasuarina humilis,shrub,perennial,,2,0.4,0.5,,,articles,simple
Allocasuarina,thuyoides,Allocasuarina thuyoides,shrub,perennial,,2,0.3,0.5,,,articles,simple
Cephalotus,follicularis,Cephalotus follicularis,herb,perennial,,0.6,10,50,6,20,obovate,simple
Atriplex,cinerea,Atriplex cinerea,shrub,perennial,,1.5,12,40,3,12,elliptic,simple
Atriplex,hypoleuca,Atriplex hypoleuca,shrub,perennial,,2,10,40,3,10,elliptic,simple
Atriplex,isatidea,Atriplex isatidea,shrub,perennial,,2.5,25,100,15,50,ovate,simple
Atriplex,paludosa,Atriplex paludosa,shrub,perennial,,1,12,40,5,15,elliptic,simple
Chenopdium,pumilio,Chenopdium pumilio,herb,perennial,,0.3,5,30,2,15,elliptic,simple
Dysphania,glomulifera,Dysphania glomulifera,herb,perennial,,0.2,1,10,1,2,elliptic,simple
Enchylaena,tomentosa,Enchylaena tomentosa,shrub,perennial,,1,7,20,0.5,1,linear,simple
Halosarcia,indica,Halosarcia indica,shrub,perennial,,2,5,10,,,articles,simple
Halosarcia,lepidosperma,Halosarcia lepidosperma,shrub,perennial,,1,5,10,,,articles,simple
Rhagodia,baccata,Rhagodia baccata,shrub,perennial,,4,10,40,3,8,elliptic,simple
Salsola,tragus,Salsola tragus,herb,annual,,0.6,10,30,2,3,elliptic,simple
Sarcocornia,blackiana,Sarcocornia blackiana,herb,perennial,,0.8,10,10,,,articles,simple
Sarcocornia,quinqueflora,Sarcocornia quinqueflora,herb,perennial,,0.5,15,15,,,articles,simple
Suaeda,australis,Suaeda australis,herb,perennial,,1,10,40,1,1.5,linear,simple
Threlkeldia,diffusa,Threlkeldia diffusa,shrub,perennial,,0.3,5,30,1,1.5,linear,simple
Pityrodia,bartlingii,Pityrodia bartlingii,shrub,perennial,,1.5,10,55,2,7,ovate,simple
Calystegia,soldanella,Calystegia soldanella,herb,perennial,,0.13,15,40,20,60,reniform,simple
Convolvulus,erubescens,Convolvulus erubescens,herb,perennial,,1,15,50,2,12,ovate,simple
Dichondra,repens,Dichondra repens,herb,perennial,,0.07,5,28,5,28,orbicular,simple
Wilsonia,backhousei,Wilsonia backhousei,herb,perennial,,0.15,6,18,1,2,linear,simple
Crassula,peduncularis,Crassula peduncularis,herb,annual,,0.03,2,4,0.5,1,ovate,simple
Crassula,closiana,Crassula closiana,herb,annual,,0.05,2,5,1,2,ovate,simple
Crassula,colorata,Crassula colorata,herb,annual,,0.15,2,4,1.5,3,ovate,simple
Crassula,decumbens,Crassula decumbens,herb,annual,,0.1,3,8,1,2,elliptic,simple
Crassula,exserta,Crassula exserta,herb,annual,,0.15,1.5,3,1,2,ovate,simple
Crassula,sieberiana,Crassula sieberiana,herb,annual,,0.1,3,5,1,2,ovate,simple
Hibbertia,aurea,Hibbertia aurea,shrub,perennial,,1,10,25,0.5,1,linear,simple
Hibbertia,spicata,Hibbertia spicata,shrub,perennial,,0.6,8,30,1,2,linear,simple
Hibbertia,acerosa,Hibbertia acerosa,shrub,perennial,,0.6,10,20,0.5,1,linear,simple
Hibbertia,furfuracea,Hibbertia furfuracea,shrub,perennial,,1.8,15,50,2,10,linear,simple
Hibbertia,hypericoides,Hibbertia hypericoides,shrub,perennial,,1.5,6,15,1,4,oblong,simple
Hibbertia,microphylla,Hibbertia microphylla,shrub,perennial,,0.6,2,6,1,2,ovate,simple
Hibbertia,rhadinopoda,Hibbertia rhadinopoda,shrub,perennial,,0.3,4,25,0.5,1.5,ovate,simple
Hibbertia,silvestris,Hibbertia silvestris,shrub,perennial,,0.6,8,15,3,6,elliptic,simple
Hibbertia,inconspicua,Hibbertia inconspicua,shrub,perennial,,0.5,5,25,1.5,12,obovate,simple
Hibbertia,stellaris,Hibbertia stellaris,shrub,perennial,,1,10,35,1.5,3.5,obovate,simple
Hibbertia,amplexicaulis,Hibbertia amplexicaulis,shrub,perennial,,1,25,110,12,40,elliptic,simple
Hibbertia,cunninghamii,Hibbertia cunninghamii,shrub,perennial,,0.5,20,85,3,10,ovate,simple
Hibbertia,grossularifolia,Hibbertia grossularifolia,shrub,perennial,,0.3,15,50,10,35,ovate,simple
Hibbertia,lasiopus,Hibbertia lasiopus,shrub,perennial,,0.5,20,60,10,30,elliptic,simple
Hibbertia,perfoliata,Hibbertia perfoliata,shrub,perennial,,0.3,20,80,10,45,elliptic,simple
Hibbertia,commutata,Hibbertia commutata,shrub,perennial,,1,6,50,2,14,elliptic,simple
Hibbertia,glomerata,Hibbertia glomerata,shrub,perennial,,0.6,5,30,2,10,ovate,simple
Hibbertia,mylnei,Hibbertia mylnei,shrub,perennial,,0.3,15,28,4,11,elliptic,simple
Hibbertia,pilosa,Hibbertia pilosa,shrub,perennial,,1.5,10,60,3,23,elliptic,simple
Hibbertia,quadricolor,Hibbertia quadricolor,shrub,perennial,,0.3,20,60,8,28,ovate,simple
Hibbertia,serrata,Hibbertia serrata,shrub,perennial,,2.5,25,85,4,30,elliptic,simple
Hibbertia,cuneiformis,Hibbertia cuneiformis,shrub,perennial,,2.5,20,50,5,20,oblong,simple
Hibbertia,depressa,Hibbertia depressa,shrub,perennial,,0.3,5,35,1,3,linear,simple
Hibbertia,ferruginea,Hibbertia ferruginea,shrub,perennial,,0.5,15,50,0.5,2,linear,simple
Hibbertia,pulchra,Hibbertia pulchra,shrub,perennial,,0.6,5,25,0.8,2,linear,simple
Hibbertia,racemosa,Hibbertia racemosa,shrub,perennial,,1,10,50,1,14,linear,simple
Hibbertia,sp. Hairy sepals,Hibbertia sp. Hairy sepals,shrub,perennial,,0.6,5,18,1.5,6,elliptic,simple
Hibbertia,sp. Rigid bracts,Hibbertia sp. Rigid bracts,shrub,perennial,,0.6,6,40,1,3,linear,simple
Hibbertia,subvaginata,Hibbertia subvaginata,shrub,perennial,,0.4,20,35,2,7,linear,simple
Hibbertia,vaginata,Hibbertia vaginata,shrub,perennial,,1,20,70,3,7,elliptic,simple
Drosera,binata,Drosera binata,herb,perennial,,0.5,10,50,3,7,linear,simple
Drosera,bulbosa,Drosera bulbosa,herb,perennial,,0.03,10,25,5,10,obovate,simple
Drosera,erythrorhiza,Drosera erythrorhiza,herb,perennial,,0.08,8,30,5,18,obovate,simple
Drosera,hamiltonii,Drosera hamiltonii,herb,perennial,,0.4,12,25,4,7,obovate,simple
Drosera,tubaestylis,Drosera tubaestylis,herb,perennial,,0.025,6,18,4,10,obovate,simple
Drosera,platypoda,Drosera platypoda,herb,perennial,,0.2,4,5,4,8,orbicular,simple
Drosera,stolonifera,Drosera stolonifera,herb,perennial,,0.15,3,6,5,8,orbicular,simple
Drosera,bulbigena,Drosera bulbigena,herb,perennial,,0.05,2,2,2.5,3,reniform,simple
Drosera,gigantea,Drosera gigantea,herb,perennial,,0.7,2,4,4,6,orbicular,simple
Drosera,huegelii,Drosera huegelii,herb,perennial,,0.45,5,8,5,8,orbicular,simple
Drosera,marchantii,Drosera marchantii,herb,perennial,,0.3,2,3,3,4,reniform,simple
Drosera,microphylla,Drosera microphylla,herb,perennial,,0.25,2,3,3,4,reniform,simple
Drosera,myriantha,Drosera myriantha,herb,perennial,,0.35,3,5,3,5,orbicular,simple
Drosera,macrantha,Drosera macrantha,herb,perennial,,1.5,4,9,4,9,orbicular,simple
Drosera,menziesii,Drosera menziesii,herb,perennial,,1.2,3,5,3,5,orbicular,simple
Drosera,pallida,Drosera pallida,herb,perennial,,1.5,3,4,3,4,orbicular,simple
Drosera,erythrogyne,Drosera erythrogyne,herb,perennial,,2,2.5,3.5,3,3.5,orbicular,simple
Drosera,fimbriata,Drosera fimbriata,herb,perennial,,0.1,4,6,3,4,linear,simple
Drosera,modesta,Drosera modesta,herb,perennial,,0.8,2,3,2,3,orbicular,simple
Drosera,neesii,Drosera neesii,herb,perennial,,0.6,2,3,2,3,orbicular,simple
Drosera,glandulifera,Drosera glandulifera,herb,annual,,0.05,5,10,5,10,orbicular,simple
Drosera,nitidula,Drosera nitidula,herb,perennial,,0.025,1,2,1,2,orbicular,simple
Drosera,platystigma,Drosera platystigma,herb,perennial,,0.05,2,3,2,3,orbicular,simple
Drosera,pulchella,Drosera pulchella,herb,perennial,,0.05,3,4,3,4,orbicular,simple
Drosera,enodes,Drosera enodes,herb,perennial,,0.06,2,3,1,1.5,elliptic,simple
Drosera,roseana,Drosera roseana,herb,perennial,,0.025,1.5,1.5,1.5,1.5,orbicular,simple
Drosera,stellifora,Drosera stellifora,herb,perennial,,0.04,2.5,4,1,1.5,elliptic,simple
Elatine,gratioloides,Elatine gratioloides,herb,annual,,0.2,2,10,1,3,ovate,simple
Acrotriche,cordata,Acrotriche cordata,shrub,perennial,,0.3,5,12,2,5,ovate,simple
Andersonia,auriculata,Andersonia auriculata,shrub,perennial,,0.3,12,25,2.5,5,ovate,simple
Andersonia,barbata,Andersonia barbata,shrub,perennial,,0.4,4,28,1,2,ovate,simple
Andersonia,caerulea,Andersonia caerulea,shrub,perennial,,0.8,5,18,1,6,ovate,simple
Andersonia,hammersleyana ms,Andersonia hammersleyana ms,shrub,perennial,,0.8,10,18,1.5,2.5,ovate,simple
Andersonia,sp. Frankland,Andersonia sp. Frankland,shrub,perennial,,0.2,5,15,1,3,ovate,simple
Andersonia,heterophylla,Andersonia heterophylla,shrub,perennial,,0.4,2,5,1.5,3,elliptic,simple
Andersonia,micrantha,Andersonia micrantha,shrub,perennial,,0.2,2,5,1,2,elliptic,simple
Andersonia,ferricola ms,Andersonia ferricola ms,shrub,perennial,,0.5,10,15,3,5,ovate,simple
Andersonia,geniculata ms,Andersonia geniculata ms,shrub,perennial,,0.1,7,12,2,4,ovate,simple
Andersonia,involucrata,Andersonia involucrata,shrub,perennial,,0.3,5,10,1,4,ovate,simple
Andersonia,latiflora,Andersonia latiflora,shrub,perennial,,0.7,12,20,3,5,triangular,simple
Andersonia,redolens ms,Andersonia redolens ms,shrub,perennial,,0.3,9,12,2,3,ovate,simple
Andersonia,sprengelioides,Andersonia sprengelioides,shrub,perennial,,0.3,4,8,1.5,3.5,ovate,simple
Andersonia,amabile ms,Andersonia amabile ms,shrub,perennial,,0.2,2,3,1,2,ovate,simple
Andersonia,aristata,Andersonia aristata,shrub,perennial,,0.3,3,6,0.5,2,ovate,simple
Andersonia,simplex,Andersonia simplex,shrub,perennial,,0.4,5,10,2,4,ovate,simple
Andersonia,virolens ms,Andersonia virolens ms,shrub,perennial,,0.2,5,8,1,2,ovate,simple
Astroloma,baxteri,Astroloma baxteri,shrub,perennial,,0.6,11,16,1,2,oblong,simple
Astroloma,ciliatum,Astroloma ciliatum,shrub,perennial,,0.3,5,11,0.5,1.5,oblong,simple
Astroloma,drummondii,Astroloma drummondii,shrub,perennial,,0.3,6,11,0.5,1,ovate,simple
Astroloma,pallidum,Astroloma pallidum,shrub,perennial,,0.3,7,20,1.5,3.5,ovate,simple
Astroloma,sp. Nannup,Astroloma sp. Nannup,shrub,perennial,,0.8,10,20,1,1,oblong,simple
Brachyloma,preissii,Brachyloma  preissii,shrub,perennial,,0.5,7,15,2,4,elliptic,simple
Conostephium,pendulum,Conostephium pendulum,shrub,perennial,,0.5,20,40,3,6.5,elliptic,simple
Cosmelia,rubra,Cosmelia rubra,shrub,perennial,,2,15,50,5,10,ovate,simple
Cronnia,kingiana,Cronnia kingiana,shrub,perennial,,1,3.5,11.5,1.5,5.5,ovate,simple
Leucopogon,verticillatus,Leucopogon verticillatus,shrub,perennial,,3,50,150,8,25,ovate,simple
Leucopogon,alternifolius,Leucopogon alternifolius,shrub,perennial,,2,3,10,1.5,7,ovate,simple
Leucopogon,distans,Leucopogon distans,shrub,perennial,,1,1,4,1,4,ovate,simple
Leucopogon,glabellus,Leucopogon glabellus,shrub,perennial,,1.5,2,7,2,5,ovate,simple
Leucopogon,reflexus,Leucopogon reflexus,shrub,perennial,,0.6,1.5,5,1.5,5,ovate,simple
Leucopogon,gilbertii,Leucopogon gilbertii,shrub,perennial,,1,7,20,2,2,ovate,simple
Leucopogon,gracilis,Leucopogon gracilis,shrub,perennial,,0.8,6,12,0.8,1.2,ovate,simple
Leucopogon,sp. Windy Harbour,Leucopogon sp. Windy Harbour,shrub,perennial,,0.3,6,8,1,1.5,elliptic,simple
Leucopogon,tenuicaulis ms,Leucopogon tenuicaulis ms,shrub,perennial,,0.3,6,15,3,4,ovate,simple
Leucopogon,assimilis,Leucopogon assimilis,shrub,perennial,,1,4.5,14,1.5,3,elliptic,simple
Leucopogon,cordatus,Leucopogon cordatus,shrub,perennial,,1,3,7,1.5,3.5,ovate,simple
Leucopogon,polystachyus,Leucopogon polystachyus,shrub,perennial,,1.2,6,20,2,3,elliptic,simple
Leucopogon,pulchellus,Leucopogon pulchellus,shrub,perennial,,1,4,8,0.5,1,ovate,simple
Leucopogon,sp. Darradup,Leucopogon sp. Darradup,shrub,perennial,,1,1.5,5,0.7,2.2,ovate,simple
Leucopogon,hirsutus,Leucopogon hirsutus,shrub,perennial,,0.3,3,9,1.5,3,ovate,simple
Leucopogon,sp. Whicher range,Leucopogon sp. Whicher range,shrub,perennial,,0.7,3,8,1,2.5,ovate,simple
Leucopogon,australis,Leucopogon australis,shrub,perennial,,2,20,50,3,7,ovate,simple
Leucopogon,parviflorus,Leucopogon parviflorus,shrub,perennial,,2.5,15,20,4,8,ovate,simple
Leucopogon,capitellatus,Leucopogon capitellatus,shrub,perennial,,1,8,15,1,2,ovate,simple
Leucopogon,revolutus,Leucopogon revolutus,shrub,perennial,,3,5,18,1.5,2.5,ovate,simple
Leucopogon,sp. Denmark,Leucopogon sp. Denmark,shrub,perennial,,1.2,4,14,1.3,2.6,ovate,simple
Leucopogon,conostephioides,Leucopogon conostephioides,shrub,perennial,,1.5,5,11,1.5,2.5,ovate,simple
Leucopogon,oxycedrus,Leucopogon oxycedrus,shrub,perennial,,1,5,14,2.5,2.5,ovate,simple
Leucopogon,pendulus,Leucopogon pendulus,shrub,perennial,,1,3,8,1,2,ovate,simple
Leucopogon,propinquus,Leucopogon propinquus,shrub,perennial,,1.5,12,22,1.5,2.5,ovate,simple
Leucopogon,racemulosus,Leucopogon racemulosus,shrub,perennial,,1.5,15,30,2,4,ovate,simple
Leucopogon,unilateralis,Leucopogon unilateralis,shrub,perennial,,1,3.5,6,1.2,1.8,ovate,simple
Lysinema,ciliatum,Lysinema ciliatum,shrub,perennial,,1,4,8,1,2,ovate,simple
Lysinema,conspicuum,Lysinema conspicuum,shrub,perennial,,0.5,5,7,1,1,ovate,simple
Lysinema,fimbriatum,Lysinema fimbriatum,shrub,perennial,,0.8,2.5,5,1.5,3,ovate,simple
Lysinema,lasianthum,Lysinema lasianthum,shrub,perennial,,1,4,8,1,1,ovate,simple
Monotoca,tamariscina,Monotoca tamariscina,shrub,perennial,,1,1,3,0.2,0.5,ovate,simple
Needhamiella,pumilio,Needhamiella pumilio,shrub,perennial,,0.3,2,2,0.5,1,ovate,simple
