family,species,growth form,mycorrhizal status,ref. no.,notes
Asteraceae,Helichrysum apiculatum,,ECM/VAM,3,
Asteraceae,Helichrysum cordatum,,VAM,5,
Asteraceae,Helichrysum diosmifolium,,V,2,
Asteraceae,Helichrysum leucopsidium,,ECM/VAM,3,
Asteraceae,Helichrysum obtusifolium,,VAM,3,
Asteraceae,Helichrysum tepperi,,VAM,3,
Asteraceae,Helipterum cotula,annual,VAM,6,
Asteraceae,Helipterum pygmaeum,,VAM,3,
Asteraceae,Hypochaeris glabra,,nil,5,
Asteraceae,Hypochaeris radicata,,VAM,2,
Asteraceae,Melanthera biflora,,VAM,4,
Asteraceae,Millotia tenuifolia,,VAM,3,
Asteraceae,Olearia ciliata,,VAM,3,
Asteraceae,Olearia paucidentata,shrub,VAM,6,
Asteraceae,Olearia ramulosa,,VAM,3,
Asteraceae,Podolepis rugata,,ECM/VAM,3,
Asteraceae, Podotheca angustifolius,,ECM/VAM,3,
Asteraceae,Pseudognaphalium luteoalbum,,VAM,3,
Asteraceae,Senecio glossanthus,,VAM,3,
Asteraceae,Senecio lautus,,VAM,3,
Asteraceae,Sonchus oleraceus,,VAM,4,
Asteraceae,Toxanthes muelleri,,ECM/VAM,3,
Asteraceae,Vittadinia triloba,,VAM,3,
Asteraceae,Waitzia suaveolens,annual,VAM,6,
Boraginacea,Argusia argentea,,VAM,4,
Brassicaeae,Brassica tournefortii,,V / nil,3,
Brassicaeae,Cakile edentula,,nil,4,
Brassicaeae,Cardamine sp.,,nil,3,
Brassicaeae,Lepidium virginicum,,VAM,4,
Brassicaeae,Sisymbrium orientale,,V,4,
Brassicaeae,Stenopetalum sp.,,V / nil,3,
Caesalpiniaceae,Labicea punctata,shrub,VAM,6,
Campanulaceae,Wahlenbergia communis,,VAM,3,
Campanulaceae,Wahlenbergia gracilenta,,VAM,3,
Cariaceae,Carica papaya,,VAM,4,
Caryophyllaceae,Petrorhagia velutina,,nil,3,
Caryophyllaceae,Silene nocturna,,V,3,
Casurinaceae,Allocasuarina humilis,shrub,ECM/VAM,6,
Casurinaceae,Allocasuarina muelleriana,,ECM/VAM,3,
Casurinaceae,Allocasuarina fraseriana,tree,ECM/VAM,"5,6",
Casurinaceae,Casuarina equisetifolia,,V,4,
Casurinaceae,Casuarina glauca,tree,ECM,7,
Casurinaceae,Casuarina muelleriana,,ECM,7,
Casurinaceae,Casuarina stricta,,ECM,7,
Colchicaceae,Wurmbea dioica,,coil VAM,3,
Crassulaceae,Crassula colorata,,nil,3,
Cuppressaceae,Calltris columellaris,,VAM,3,
Cyperaceae,Caustis flexuosa,,VAM,1,
Cyperaceae,Lepidosperma augustatum,,nil,5,
Cyperaceae,Ptilanthelium deustem,,V,1,
Dasypogonaceae,Kingia australis,shrub,nil,6,
Dennstaedtiaceae,Pteridum esculentum,,VAM,2,
Dianellaceae,Dianella caerulea,,V,2,
Dianellaceae,Dianella sp.,,VAM,3,
Dilleniaceae,Hibbertia amplexicaulis,shrub,"VAM, nod",6,
Dilleniaceae,Hibbertia communata,shrub,VAM,6,
Dilleniaceae,Hibbertia hypericoides,,VAM,5,
Dilleniaceae,Hibbertia obtusifolia,,VAM,2,
Dilleniaceae,Hibbertia serpyllifolia,,VAM,1,
Dilleniaceae,Hibbertia stricta,,VAM,3,
Droseraceae,Drosera erythorrhiza,rosette,nil,6,
Droseraceae,Drosera macrantha,climbing,nil,"3,6",
Droseraceae,Drosera platystigma,pigmy,nil,6,
Droseraceae,Drosera pygmaea,,nil,1,
Droseraceae,Drosera stolonifera,,nil,5,
Epacridaceae,Astroloma humifusum,,ECM/VAM,3,
Epacridaceae,Astroloma macrocalyx,,ECM,5,
Epacridaceae,Brachyloma daphnoides,,VAM,1,
Epacridaceae,Conostephium pendulum,,ECM,5,
Epacridaceae,Epacris microphylla,,VAM,1,
Epacridaceae,Leucopogon cleandii,,Epacrid,3,
Epacridaceae,Leucopogon juniperinus,,VAM,1,
Epacridaceae,Leucopogon lanceolatus,,Ectendo,2,
Epacridaceae,Leucopogon verticillatus,shrub,ericoid,6,
Epacridaceae,Monotoca scoparia,,Ectendo,2,
Epacridaceae,Styphelia viridis,,Ectendo,2,
Euphorbiaceae,Amperea xiphoclada,,ECM,1,
Euphorbiaceae,Beyeria lechenaultii,,VAM,3,
Euphorbiaceae,Euphorbia atoto,,VAM,4,
Euphorbiaceae,Euphorbia cyanthophora,,VAM,4,
Euphorbiaceae,Euphorbia prostrata,,VAM,4,
Euphorbiaceae,Euphorbia tannensis,,VAM,4,
Euphorbiaceae,Phyllanthus calycinus,shrub,VAM,6,
Euphorbiaceae,Poranthera corymbosa,,ECM,1,
Euphorbiaceae,Poranthera microphylla,,ECM/VAM,"3,7",
Euphorbiaceae,Rhizinocarpus pinifolius,,VAM,2,
Fagaceae,Nothofagus cunninghamii,,ECM,7,
Fagaceae,Nothofagus gunnii,,ECM,7,
Gentianaceae,Centaurium erythraea,,coil VAM,3,
Goodeniaceae,Brunonia australia,,ECM,7,
Goodeniaceae,Dampiera linearis,herb,VAM,6,
Goodeniaceae,Dampiera rosmarinifolia,,ECM/VAM,3,
Goodeniaceae,Dampiera stricta,herb,ECM/VAM,1,
Goodeniaceae,Goodenia glomerata,,ECM,7,
Goodeniaceae,Goodenia ovata,,ECM,7,
Goodeniaceae,Goodenia pimulacea,,ECM,7,
Goodeniaceae,Goodenia robusta,,ECM/VAM,3,
Goodeniaceae,Goodenia sp.,,ECM/VAM,3,
Goodeniaceae,Lechenaultia biloba,herb,VAM,6,
Goodeniaceae,Lechenaultia floribunda,herb,VAM,6,
Goodeniaceae,Scaevola calendulacea,,V,2,
Goodeniaceae,Scaevola calliptera,herb,VAM,6,
Goodeniaceae,Scaevola canescens,,VAM,5,
Goodeniaceae,Scaevola crassifolia,herb,VAM,6,
Goodeniaceae,Scaevola taccada,,VAM,4,
Haemodoraceae,Anigozanthos manglesii,herb,nil,"5,6",
Haemodoraceae,Conostylis aculeata,,nil,5,
Haemodoraceae,Conostylis setosa,herb,nil,6,
Haemodoraceae,Haemodorum laxum,herb,nil,6,
Haemodoraceae,Haemodorum spicatum,herb,nil,6,
Haloragaceae,Glischrocaryou behrii,,VAM,3,
Haloragaceae,Gonocarpus teucrioides,,VAM,2,
Iridaceae,Patersonia occidentalis,herb,VAM,6,
Iridaceae,Patersonia sericea,,,1,
Lamiaceae,Hemigenia sericea,herb,VAM,6,
Lindsaeceae,Lindsaea linearis,,,1,
Lobeliaceae,Lobelia tenuior ?,herb,VAM,6,
Loranthaceae,Nuytsia floribunda,tree,"nil, root haustor.",6,
Malvaceae,Abutilon albescens,,VAM,4,
Malvaceae,Malvastrum coromandelianum,,VAM,4,
Mimosaceae,Acacia alata,shrub,"VAM, nod",6,
Mimosaceae,Acacia aneura,,ECM,7,
Mimosaceae,Acacia dealbata,,ECM,7,
Mimosaceae,Acacia decurrens,,ECM,7,
Mimosaceae,Acacia extensa,shrub,VAM,6,
Mimosaceae,Acacia lateriticola,shrub,VAM,6,
Mimosaceae,Acacia linifolia,,ECM/VAM,1,
Mimosaceae,Acacia longifolia,,V  nod,2,
Mimosaceae,Acacia melanoxylon,,ECM,7,
Mimosaceae,Acacia michellii,,ECM,7,
Mimosaceae,Acacia myrtifolia,,ECM,7,
Mimosaceae,Acacia obtusifolia,,ECM/VAM,1,
Mimosaceae,Acacia pulcella,shrub,VAM,"5,6",
Mimosaceae,Acacia pycnantha,,ECM,7,
Mimosaceae,Acacia retinodes,,ECM,7,
Mimosaceae,Acacia rigens,,ECM/VAM,3,
Mimosaceae,Acacia rubida,,ECM,7,
Mimosaceae,Acacia salicina,,ECM,7,
Mimosaceae,Acacia saligna,shrub,VAM,6,
Mimosaceae,Acacia sophorae,,ECM,7,
Mimosaceae,Acacia spinescens,,VAM,3,
Mimosaceae,Acacia suaveolens,,ECM/VAM nod,1@2,
Mimosaceae,Acacia terminalis,,V  nod ,2,
Mimosaceae,Acacia ulicifolia,,ECM/VAM,1@2,
Mimosaceae,Acacia utophylla,shrub,VAM,6,
Mimosaceae,Acacia verticillata,,ECM,7,
Moraceae,Ficus opposita,,nil,4,
Myrtaceae,Agonis flexuosa,tree,VAM/ECM,6,
Myrtaceae,Agonis lincarifolia,shrub,VAM,6,
Myrtaceae,Angophora costata,,ECM/V,2,
Myrtaceae,Angophora hispida,,ECM,1,
Myrtaceae,Baeckea behrii,,VAM,3,
Myrtaceae,Baeckea crassifolia,,ECM/VAM,3,
Myrtaceae,Baeckea ramosissima,,ECM,1,
Myrtaceae,Calistemon macropunctatus,,ECM,7,
Myrtaceae,Calytrix leschenaultii,shrub,VAM,6,
Myrtaceae,Calytrix tetragona,,ECM/VAM,3,
Myrtaceae,Eucalyptus calophylla,tree,ECM/VAM,6,
Myrtaceae,Eucalyptus drummondii,tree,ECM/VAM,6,
Myrtaceae,Eucalyptus fasciculosa,,ECM,3,
Myrtaceae,Eucalyptus gummifera,,ECM/V,2,
Myrtaceae,Eucalyptus haemostoma,,ECM,1,
Myrtaceae,Eucalyptus incrassata,,ECM/VAM,3,
Myrtaceae,Eucalyptus marginata,tree,ECM/VAM,6,
Myrtaceae,Eucalyptus patens,tree,ECM/VAM,6,
Myrtaceae,Eucalyptus pilularis,,ECM/V,2,
Myrtaceae,Eucalyptus racemosa,,ECM,1,
Myrtaceae,Eucalyptus stricta,,ECM,1,
Myrtaceae,Hypocalymma angustifolium,shrub,(ECM)VAM,6,
Myrtaceae,Hypocalymma robustum,,ECM/VAM,5,
Myrtaceae,Kunzea capitata,,ECM,1,
Myrtaceae,Leptospermum flavescens,,ECM,1,
Myrtaceae,Leptospermum juniperinum,,ECM,"1,7",
Myrtaceae,Leptospermum lanigerum,,ECM,1,
Myrtaceae,Leptospermum myrsinoides,,ECM/VAM,3,
Myrtaceae,Leptospermum nitidum,,ECM,7,
Myrtaceae,Melaleuca decussata,,ECM,7,
Myrtaceae,Melaleuca latericia,shrub,ECM/VAM,6,
Myrtaceae,Melaleuca scabra,shrub,ECM/VAM,6,
Myrtaceae,Melaleuca uncinata,,ECM/VAM,3,
Nyctaginaceae,Borhavia tetrandra,,nil,4,
Nyctaginaceae,Commicarpus insularum,,nil,4,
Nyctaginaceae,Pisonia grandis,,nil,4,
Olacaceae,Olax stricta,,,1,
Orchidaceae,Acianthus caudatus,,ORCH,2,
Orchidaceae,Caladenia sp.,,ORCH,3,
Orchidaceae,Corybas sp.,,ORCH,3,
Orchidaceae,Diuris sp.,,ORCH,3,
Orchidaceae,Pterostylis sp. ,,ORCH,3,
Orchidaceae,Thelymitra sp.,,ORCH,3,
Pandanaceae,Pandanus sp.,,nil,4,
Papilionaceae,Aotus ericoides,,V  nod,2,
Papilionaceae,Bossiaea aquifolium,shrub,"VAM, nod",6,
Papilionaceae,Bossiaea ensata,,V  nod,2,check
Papilionaceae,Bossiaea heterophylla,,V  nod,2,
Papilionaceae,Bossiaea obcordata,,VAM,1,
Papilionaceae,Bossiaea ornata,shrub,"VAM, nod",6,
Papilionaceae,Brachysema lanceolatum,,ECM,7,
Papilionaceae,Burtonia villosa,,ECM,7,
Papilionaceae,Chorizema cordata,,ECM,7,
Papilionaceae,Chorizema diversifolium,,ECM,7,
Papilionaceae,Daviesia cordata,shrub,"nil, CR, nod",6,
Papilionaceae,Daviesia corymbosa,,ECM/VAM,"1,7",
Papilionaceae,Daviesia decurrens,shrub,"nil, CR, nod",6,
Papilionaceae,Daviesia divaricata,,"nil, cluster roots",5,
Papilionaceae,Daviesia nudiflora,,"nil, cluster roots",5,
Papilionaceae,Dillwynia floribunda,,ECM,7,
Papilionaceae,Dillwynia hispida,,VAM,3,
Papilionaceae,Dillwynia parvifolia,,ECM/VAM,1,
Papilionaceae,Dillwynia retorta,,ECM/VAM nod,1@2,
Papilionaceae,Eutaxia microphylla,,ECM,7,
Papilionaceae,Gastrolobium bilobum,shrub,"VAM, nod",6,
Papilionaceae,Gompholobium ecostatum,,ECM,7,
Papilionaceae,Gompholobium grandiflorum,,VAM,1,
Papilionaceae,Gompholobium latifolium,,ECM  nod,"2,7",
Papilionaceae,Gompholobium marginatum,shrub,ECM/VAM,6,
Papilionaceae,Gompholobium tomentosum,shrub,ECM/VAM,6,
Papilionaceae,Gompholobium venustum,shrub,ECM/VAM,6,
Papilionaceae,Gompholobium virgatum,,V  nod,2,
Papilionaceae,Hardenbergia comptoniana,climber,VAM,6,
Papilionaceae,Hardenbergia violacea,,V nod/ECM,2@7,
Papilionaceae,Hovea chorizemifolia,shrub,VAM,6,
Papilionaceae,Hovea trisperma,shrub,ECM/VAM,5@6,
Papilionaceae,Indigofera ausralis,,V  nod,2,
Papilionaceae,Jacksonia  floribunda,shrub,VAM,6,
Papilionaceae,Jacksonia scoparia,,ECM,7,
Papilionaceae,Jacksonia sternbergiana,,VAM,5,
Papilionaceae,Kennedia coccinea,climber,"nil, CR",6,
Papilionaceae,Kennedia prostrata,climber,VAM/ECM,6@7,
Papilionaceae,Kennedia rubicunda,climber,"VAM, nod","2,6",
Papilionaceae,Mirbelia dilatata,shrub,ECM/VAM,7@6,
Papilionaceae,Mirbelia rubiifolia,,ECM/VAM,"1,7",
Papilionaceae,Oxylobium capitatum,shrub,ECM/VAM,"5,6",
Papilionaceae,Oxylobium ellipticum,,ECM,7,
Papilionaceae,Oxylobium lanceolatum,shrub,ECM/VAM,6,
Papilionaceae,Oxylobium liniarifolium,,ECM,7,
Papilionaceae,Platylobium formosa,,VAM  nod,2,
Papilionaceae,Platylobium obtusangulum,,ECM,7,
Papilionaceae,Pultanaea elliptica,,ECM/VAM,1,
Papilionaceae,Pultanaea daphnoides,,ECM,7,
Papilionaceae,Pultanaea obovata,,ECM,7,
Papilionaceae,Pultanaea scabra,,ECM,7,
Papilionaceae,Viminaria juncea,shrub,"ECM/VAM, CR",7@6,
Pittosporaceae,Billardiera bicolor,climber,VAM,6,
Pittosporaceae,Sollya heterophylla,climber,VAM,6,
Plantaginaceae,Plantago drummondii,,VAM,3,
Poaceae,Aira caryophyllea,,VAM,3,
Poaceae,Avillinia mitchellii,,VAM+nil,3,
Poaceae,Bromus unioloides,,nil,4,
Poaceae,Cenchrus echinatus,,VAM,4,
Poaceae,Cynodon dactylon,,VAM,4,
Poaceae,Danthonia caespitosa,,VAM,3,
Poaceae,Digitaria ciliaris,,VAM,2,
Poaceae,Eleusine indica,,VAM,4,
Poaceae,Eragrostis phillipica,,V,2,
Poaceae,Impera cylindrica,,V,2,
Poaceae,Lepturus repens,,VAM,4,
Poaceae,Psapalidium gracile,,V,2,
Poaceae,Psapalidium dilatatum,,VAM,2,
Poaceae,Sporobolus virginicus,,VAM,4,
Poaceae,Stenotaphrum micranthum,,nil,4,
Poaceae,Themeda australis,,V,2,
Poaceae,Thuarea involuta,,nil,4,
Polygalaceae,Comesperma calymega,,ECM/VAM,3,
Polygalaceae,Comesperma virgatum,shrub,VAM,6,
Portulacaceae,Calandrinia corrigioloides,,nil,5,
Portulacaceae,Calandrinia granulifera,,nil,3,
Portulacaceae,Calandrinia volubilis,,V + nil,3,
Portulacaceae,Portulaca oleracea,,nil,4,
Primulaceae,Anagallis arvensis,,VAM,3,
Proteaceae,Adenanthos barbigerus,shrub,"nil, CR",6,
Proteaceae,Banksia attenuata,,"nil, CR",5,
Proteaceae,Banksia ericifolia,,nil,1,
Proteaceae,Banksia grandis,small tree,"nil, CR",6,
Proteaceae,Banksiapaludosa,,nil,1,
Proteaceae,Banksia serrata,,nil,"1,2",
Proteaceae,Banksia sphaerocarpa,,"nil, CR",6,
Proteaceae,Banksia spinulosa,,nil,1,
Proteaceae,Conospermum capitatum,shrub,"nil, CR",6,
Proteaceae,Conospermum longifolium,,VAM,1,
Proteaceae,Conospermum taxifolium,,VAM,1,
Proteaceae,Dryandra nivea,,"nil, CR",6,
Proteaceae,Grevillea bipinnatifida,shrub,"nil, CR",6,
Proteaceae,Grevillea buxifolia,,V,1,
Proteaceae,Grevillea ilicifolia,,V + nil,3,
Proteaceae,Grevillea lavandulaceae,,nil,3,
Proteaceae,Grevillea oleoides,,V,1,
Proteaceae,Grevillea querecifolia,shrub,"nil, CR",6,
Proteaceae,Grevillea sphacelata,,V,1,
Proteaceae,Grevillea wilsonii,shrub,"nil, CR",6,
Proteaceae,Hakea ceratophylla,shrub,"nil, CR",6,
Proteaceae,Hakea dactyloides,,V,1,
Proteaceae,Hakea lissocarpa,shrub,"nil, CR",6,
Proteaceae,Hakea teretifolia,,nil,1,
Proteaceae,Isopogon anemonifolius,,nil,1,
Proteaceae,Isopogon anethifolius,,nil,1,
Proteaceae,Isopogon dubius,shrub,"nil, CR",6,
Proteaceae,Lambertia formosa,,nil,1,
Proteaceae,Persoonia levis,,V/ nil,1@2,
Proteaceae,Persoonia pinifolia,,V,1,
Proteaceae,Persoonia laurina,,nil,1,
Proteaceae,Petrophile linearis,,sparse CR,5,
Proteaceae,Stirlingia latifolia,shrub,"nil, sparse CR",6,
Proteaceae,Synaphea petiolaris,shrub,"nil, CR",6,
Proteaceae,Telopea speciosissima,,VAM,1,
Proteaceae,Xylomelum occidentale,shrub,"nil, CR",6,
Ranunculaceae,Clematis pubescens,climber,VAM,6,
Restionaceae,Hypolaena fastigata,,V,2,
Restionaceae,Loxocarya flexuosa,,nil,6,
Rhamnaceae,Cryptandra arbutiflora,shrub,ECM/VAM,6,
Rhamnaceae,Cryptandra tomentosa,,"VAM,ECM",3@7,
Rhamnaceae,Pomaderris apetala,,ECM,7,
Rhamnaceae,Pomaderris aspera,,ECM,7,
Rhamnaceae,Pomaderris eliptica,,ECM,7,
Rhamnaceae,Pomaderris eriocephala,,ECM,7,
Rhamnaceae,Pomaderris obocordata,,ECM/VAM,3,
Rhamnaceae,Spiridium eriocephalum,,VAM,3,
Rhamnaceae,Spiridium parvifolium,,ECM,7,
Rhamnaceae,Trymalium d'altonii,,ECM,7,
Rhamnaceae,Trymalium floribundum,shrub,ECM/VAM,6,
Rubiaceae,Opercularia echinocephala,shrub,VAM,6,
Rubiaceae,Pomax umbellata,,,,
Rutaceae,Boronia coerulescens,,VAM,3,
Rutaceae,Boronia pinnata,,V,2,
Rutaceae,Boronia spathulata,shrub,VAM,6,
Rutaceae,Boronia thujona,,VAM,1,
Rutaceae,Correa schlechtendalii,,VAM,3,
Rutaceae,Eriostemon australasius,,VAM,1,
Rutaceae,Eriostemon pungens,,VAM,3,
Rutaceae,Eriostemon spicatus,shrub,VAM,6,
Rutaceae,Phebalium bullatum,,VAM,3,
Rutaceae,Ziera smithii,,V,2,
Santalaceae,Leptomeria acida,,ECM,2,
Sapindaceae,Dodonaea triquetra,,V,2,
Scrophulariaceae,Zaluzianyska divaricata,,VAM,3,
Solanaceae,Solanum americanum,,nil,4,
Stackhousiaceae,Tripterococcus brunonis,herb,VAM,6,
Sterculiaceae,Lasiopetalum behrii,,ECM/VAM,"3,7",
Sterculiaceae,Lasiopetalum bractatum,shrub,VAM,6,
Sterculiaceae,Thomasia glutinosa,shrub,VAM,6,
Sterculiaceae,Thomasiarhynchocarpa,,ECM,7,
Stylidiaceae,Stylidium brunonianum,herb,VAM,6,
Stylidiaceae,Stylidium junccum,herb,VAM,6,
Stylidiaceae,Stylidium perpusillum,,ECM,7,
Stylidiaceae,Stylidium piliferum,herb,VAM,6,
Stylidiaceae,Stylidium soboliferum,,ECM,7,
Thymelaeceae,Pimelea glauca,,VAM,3,
Thymelaeceae,Pimelea imbricata,,VAM,6,
Thymelaeceae,Pimelea linifolia,,VAM,"1,2",
Thymelaeceae,Pimelea spathulata,,ECM,7,
Tremandraceae,Tetratheca hirsuta,shrub,VAM,6,
Tremandraceae,Tetratheca,,V,2,check
Ulmaceae,Celtis paniculata,,V,4,
Violaceae,Hybanthus floribundus,,VAM,3,
Xanthorrhoeaceae,Lomandra confertifolia,,V + nil,1@2,
Xanthorrhoeaceae,Lomandra glauca,,nil,1,
Xanthorrhoeaceae,Lomandra juncea,,nil,3,
Xanthorrhoeaceae,Lomandra obliqua,,nil,1,
Xanthorrhoeaceae,Xanthorrhoea arborea,,nil,1,
Xanthorrhoeaceae,Xanthorrhoea gracilis,herb,VAM,6,
Xanthorrhoeaceae,Xanthorrhoea preisii,shrub,VAM,6,
Zamiaceae,Macrozamia communis,,V,2,
Zamiaceae,Macrozamia riedlei,,VAM,6,check
Zygophyllaceae,Tibulus cistoides,,V,4,
