family,species,x,Authority,n,ploidy level,"genome size (holoploid C-value, pg) and error",genome_size,genome size SE,Location notes,Latitude,Longitude,latitude (deg),longitude (deg),Altitude (m),Angiosperm group,Life cycle,Woody or Herbaceous,unknown,subfamily,habitat,Original reference details,site_name
Proteaceae,Banksia serrata,1,L.f.,14,2x,1.86 +/- 0.06,1.86,0.06,"cultivated, University of Tasmania",NA,NA,NA,NA,NA,eudicot,perennial,Woody,yes,Grevilleoideae,dry sclerophyll woodland,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, University of Tasmania (dry sclerophyll woodland)"
Proteaceae,Bellendena montana,1,R. Br.,5,2x,10.02 +/- 0.32,10.02,0.32,"Mt Wellington, Tasmania, just below summit",42deg53'S,147deg17'E,-42.883,147.283,1200,eudicot,perennial,Woody,yes,Bellendenoideae,montane heath,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","Mt Wellington, Tasmania, just below summit (montane heath)"
Proteaceae,Brabejum stellatifolium,1,L.,14,2x,2.34 +/- 0.08,2.34,0.08,"cultivated, Royal Sydney Botanic Gardens",NA,NA,NA,NA,NA,eudicot,perennial,Woody,yes,Grevilleoideae,temperate forest,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, Royal Sydney Botanic Gardens (temperate forest)"
Proteaceae,Buckinghamia celsissima,1,F. Muell.,11,2x,1.66 +/- 0.05,1.66,0.05,"cultivated, CSIRO Arboretum, Queensland",NA,NA,NA,NA,NA,eudicot,perennial,Woody,yes,Grevilleoideae,tropical rainforest,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, CSIRO Arboretum, Queensland (tropical rainforest)"
Proteaceae,Cardwellia sublimis,1,F. Muell.,14,2x,1.67 +/- 0.05,1.67,0.05,"Malanda road, Milla Milla, North Queensland",17deg22'S,145deg41'E,-17.367,145.683,810,eudicot,perennial,Woody,yes,Grevilleoideae,tropical rainforest,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","Malanda road, Milla Milla, North Queensland (tropical rainforest)"
Proteaceae,Carnarvonia araliifolia,1,F. Muell.,14,2x,2.1 +/- 0.07,2.1,0.07,"15km along Mt Lewis road, Mt Lewis, Queensland",16deg36'S,145deg17'E,-16.6,145.283,1000,eudicot,perennial,Woody,yes,Grevilleoideae,tropical rainforest,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","15km along Mt Lewis road, Mt Lewis, Queensland (tropical rainforest)"
Proteaceae,Catalepidia heyana,1,(F.M. Bailey) P.H. Weston,?,2x,2.04 +/- 0.07,2.04,0.07,Mt Bartle Frere Track near Bobbin Bobbin Falls,17deg22'S,145deg46'E,-17.367,145.767,850,eudicot,perennial,Woody,yes,Grevilleoideae,tropical rainforest,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.",Mt Bartle Frere Track near Bobbin Bobbin Falls (tropical rainforest)
Proteaceae,Cenarrhenes nitida,1,Labill.,13,2x,2.52 +/- 0.08,2.52,0.08,"Mt Read, Tasmania, near summit",41deg50'S,145deg32'E,-41.833,145.533,1000,eudicot,perennial,Woody,yes,Proteoideae,temperate forest,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","Mt Read, Tasmania, near summit (temperate forest)"
Proteaceae,Conospermum taxifolium,1,C.F. Gaertn.,11,2x,1.23 +/- 0.04,1.23,0.04,"Glass House Mountains National Park, off Mawsons Road, E of Beerwah.",26deg52'S,152deg59'E,-26.867,152.983,20,eudicot,perennial,Woody,yes,Proteoideae,dry sclerophyll woodland,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","Glass House Mountains National Park, off Mawsons Road, E of Beerwah. (dry sclerophyll woodland)"
Proteaceae,Darlingia darlingiana,1,(F. Muell.) L.A.S. Johnson,14,2x,3.89 +/- 0.12,3.89,0.12,"cultivated, Royal Sydney Botanic Gardens",NA,NA,NA,NA,NA,eudicot,perennial,Woody,yes,Grevilleoideae,tropical rainforest,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, Royal Sydney Botanic Gardens (tropical rainforest)"
Proteaceae,Darlingia ferruginea,1,J.F. Bailey,14,2x,4.12 +/- 0.13,4.12,0.13,"cultivated, CSIRO Arboretum, Queensland",NA,NA,NA,NA,NA,eudicot,perennial,Woody,no,Grevilleoideae,tropical rainforest,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, CSIRO Arboretum, Queensland (tropical rainforest)"
Proteaceae,Eidothea hardeniana,1,A.W. Douglas & B. Hyland,?,2x,1.82 +/- 0.05,1.82,0.05,"cultivated, Royal Sydney Botanic Gardens",NA,NA,NA,NA,NA,eudicot,perennial,Woody,yes,Proteoideae,subtropical rainforest,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, Royal Sydney Botanic Gardens (subtropical rainforest)"
Proteaceae,Floydia praealta,1,(F. Muell.) L.A.S. Johnson & B. G. Briggs,14,2x,3.5 +/- 0.11,3.5,0.11,"cultivated, Royal Sydney Botanic Gardens",NA,NA,NA,NA,NA,eudicot,perennial,Woody,yes,Grevilleoideae,subtropical rainforest,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, Royal Sydney Botanic Gardens (subtropical rainforest)"
Proteaceae,Grevillea australis,1,R. Br.,10,2x,2.47 +/- 0.08,2.47,0.08,"cultivated, University of Tasmania",NA,NA,NA,NA,NA,eudicot,perennial,Woody,yes,Grevilleoideae,montane heath,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, University of Tasmania (montane heath)"
Proteaceae,Hakea lissosperma,1,R. Br.,10,2x,2.4 +/- 0.08,2.4,0.08,"cultivated, University of Tasmania",NA,NA,NA,NA,NA,eudicot,perennial,Woody,no,Grevilleoideae,temperate forest,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, University of Tasmania (temperate forest)"
Proteaceae,Hakea salicifolia,1,(Vent.) B.L. Burtt,10,2x,2.64 +/- 0.08,2.64,0.08,"cultivated, University of Tasmania",NA,NA,NA,NA,NA,eudicot,perennial,Woody,yes,Grevilleoideae,temperate forest,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, University of Tasmania (temperate forest)"
Proteaceae,Helicia australasica,1,F. Muell.,13,2x,2.59 +/- 0.08,2.59,0.08,"cultivated, CSIRO Arboretum, Queensland",NA,NA,NA,NA,NA,eudicot,perennial,Woody,yes,Grevilleoideae,tropical rainforest,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, CSIRO Arboretum, Queensland (tropical rainforest)"
Proteaceae,Helicia nortoniana,1,(F.M. Bailey) F.M. Bailey,14,2x,2.77 +/- 0.09,2.77,0.09,"cultivated, University of Tasmania",NA,NA,NA,NA,NA,eudicot,perennial,Woody,no,Grevilleoideae,tropical rainforest,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, University of Tasmania (tropical rainforest)"
Proteaceae,Hicksbeachia pinnatifolia,1,F. Muell.,13,2x,3.45 +/- 0.11,3.45,0.11,"cultivated, Noosa Botanical Gardens",NA,NA,NA,NA,NA,eudicot,perennial,Woody,yes,Grevilleoideae,tropical rainforest,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, Noosa Botanical Gardens (tropical rainforest)"
Proteaceae,Hollandaea riparia,1,B. Hyland,14,2x,2.74 +/- 0.09,2.74,0.09,"cultivated, Mt Coot-Tha Botanical Gardens",NA,NA,NA,NA,NA,eudicot,perennial,Woody,yes,Grevilleoideae,tropical rainforest,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, Mt Coot-Tha Botanical Gardens (tropical rainforest)"
Proteaceae,Hollandaea sayeriana,1,(F. Muell.) L.S. Smith,14,2x,2.77 +/- 0.09,2.77,0.09,"cultivated, CSIRO Arboretum, Queensland",NA,NA,NA,NA,NA,eudicot,perennial,Woody,no,Grevilleoideae,tropical rainforest,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, CSIRO Arboretum, Queensland (tropical rainforest)"
Proteaceae,Isopogon ceratophyllus,1,R. Br.,13,2x,1.33 +/- 0.04,1.33,0.04,"cultivated, University of Tasmania",NA,NA,NA,NA,NA,eudicot,perennial,Woody,yes,Proteoideae,dry sclerophyll woodland,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, University of Tasmania (dry sclerophyll woodland)"
Proteaceae,Isopogon cuneatus,1,R. Br.,13,2x,1.45 +/- 0.05,1.45,0.05,"cultivated, University of Tasmania",NA,NA,NA,NA,NA,eudicot,perennial,Woody,no,Proteoideae,dry sclerophyll woodland,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, University of Tasmania (dry sclerophyll woodland)"
Proteaceae,Knightia excelsa,1,R. Br.,14,2x,2.34 +/- 0.07,2.34,0.07,"cultivated, Mt Tomah Botanic Garden",NA,NA,NA,NA,NA,eudicot,perennial,Woody,yes,Grevilleoideae,temperate forest,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, Mt Tomah Botanic Garden (temperate forest)"
Proteaceae,Lambertia formosa,1,Sm.,14,2x,2.13 +/- 0.07,2.13,0.07,"Wentworth Falls, Blue Mountains",33deg41'S,150deg20'E,-33.683,150.333,850,eudicot,perennial,Woody,yes,Grevilleoideae,dry sclerophyll woodland,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","Wentworth Falls, Blue Mountains (dry sclerophyll woodland)"
Proteaceae,Lasjia grandis,1, (C.L.Gross & B.Hyland) P.H.Weston & A.R.Mast,14,2x,2.48 +/- 0.05,2.48,0.05,"cultivated, Royal Sydney Botanic Gardens",NA,NA,NA,NA,NA,eudicot,perennial,Woody,yes,Grevilleoideae,dry sclerophyll woodland,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, Royal Sydney Botanic Gardens (dry sclerophyll woodland)"
Proteaceae,Leucadendron salignum,1,P.J. Bergius,13,2x,1.34 +/- 0.04,1.34,0.04,"cultivated, Royal Sydney Botanic Gardens",NA,NA,NA,NA,NA,eudicot,perennial,Woody,yes,Proteoideae,dry sclerophyll woodland,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, Royal Sydney Botanic Gardens (dry sclerophyll woodland)"
Proteaceae,Lomatia fraxinifolia,1,F. Muell. ex Benth,11,2x,2.7 +/- 0.09,2.7,0.09,"cultivated, Noosa Botanical Gardens",NA,NA,NA,NA,NA,eudicot,perennial,Woody,no,Grevilleoideae,tropical rainforest,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, Noosa Botanical Gardens (tropical rainforest)"
Proteaceae,Lomatia polymorpha,1,NA,11,2x,2.65 +/- 0.08,2.65,0.08,"cultivated, University of Tasmania",NA,NA,NA,NA,NA,eudicot,perennial,Woody,no,Grevilleoideae,temperate forest,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, University of Tasmania (temperate forest)"
Proteaceae,Lomatia tasmanica,1,W. M. Curtis,11,3x,4.1 +/- 0.13,4.1,0.13,"cultivated, University of Tasmania",NA,NA,NA,NA,NA,eudicot,perennial,Woody,no,Grevilleoideae,temperate forest,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, University of Tasmania (temperate forest)"
Proteaceae,Lomatia tinctoria,1,(Labill.) R.Br.,11,2x,2.74 +/- 0.09,2.74,0.09,"cultivated, University of Tasmania",NA,NA,NA,NA,NA,eudicot,perennial,Woody,yes,Grevilleoideae,dry sclerophyll woodland,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, University of Tasmania (dry sclerophyll woodland)"
Proteaceae,Macadamia tetraphylla/ternifolia hybrid,1,NA,14,2x,2.27 +/- 0.07,2.27,0.07,"cultivated, Brisbane",NA,NA,NA,NA,NA,eudicot,perennial,Woody,yes,Grevilleoideae,subtropical rainforest,unpublished,"cultivated, Brisbane (subtropical rainforest)"
Proteaceae,Musgravea heterophylla,1,L.S. Smith,14,2x,1.71 +/- 0.05,1.71,0.05,"cultivated, CSIRO Arboretum, Queensland",NA,NA,NA,NA,NA,eudicot,perennial,Woody,yes,Grevilleoideae,tropical rainforest,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, CSIRO Arboretum, Queensland (tropical rainforest)"
Proteaceae,Neorites kevedianus,1,L.S. Smith,14,2x,1.31 +/- 0.04,1.31,0.04,"cultivated, CSIRO Arboretum, Queensland",NA,NA,NA,NA,NA,eudicot,perennial,Woody,yes,Grevilleoideae,tropical rainforest,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, CSIRO Arboretum, Queensland (tropical rainforest)"
Proteaceae,Opisthiolepis heterophylla,1,L.S. Smith,11,2x,1.55 +/- 0.05,1.55,0.05,"cultivated, CSIRO Arboretum, Queensland",NA,NA,NA,NA,NA,eudicot,perennial,Woody,yes,Grevilleoideae,tropical rainforest,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, CSIRO Arboretum, Queensland (tropical rainforest)"
Proteaceae,Orites acicularis,1,(R. Br.) Roem. & Shult.,14,2x,1.72 +/- 0.06,1.72,0.06,"Mt Wellington, Tasmania, just below summit",42deg53'S,147deg17'E,-42.883,147.283,1200,eudicot,perennial,Woody,yes,Grevilleoideae,montane heath,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","Mt Wellington, Tasmania, just below summit (montane heath)"
Proteaceae,Orites diversifolius,1,NA,14,2x,1.89 +/- 0.06,1.89,0.06,"Mt Wellington, Tasmania, just below summit",42deg53'S,147deg17'E,-42.883,147.283,1200,eudicot,perennial,Woody,no,Grevilleoideae,temperate forest,unpublished,"Mt Wellington, Tasmania, just below summit (temperate forest)"
Proteaceae,Orites excelsus,1,NA,14,2x,1.97 +/- 0.06,1.97,0.06,"cultivated, University of Tasmania",NA,NA,NA,NA,NA,eudicot,perennial,Woody,no,Grevilleoideae,tropical rainforest,unpublished,"cultivated, University of Tasmania (tropical rainforest)"
Proteaceae,Orites milliganii,1,NA,14,2x,1.73 +/- 0.06,1.73,0.06,"Mt Read, Tasmania, near summit",41deg50'S,145deg32'E,-41.833,145.533,1000,eudicot,perennial,Woody,no,Grevilleoideae,montane heath,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","Mt Read, Tasmania, near summit (montane heath)"
Proteaceae,Persoonia gunnii,1,Hook. f.,7,2x,37.34 +/- 1.2,37.34,1.2,"Mt Read, Tasmania, near summit",41deg50'S,145deg32'E,-41.833,145.533,1000,eudicot,perennial,Woody,no,Persoonoideae,montane heath,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","Mt Read, Tasmania, near summit (montane heath)"
Proteaceae,Persoonia laurina,1,Pers.,7,2x,35.24 +/- 1.13,35.24,1.13,"cultivated, Mt Annan Botanic Gardens",NA,NA,NA,NA,NA,eudicot,perennial,Woody,no,Persoonoideae,temperate forest,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, Mt Annan Botanic Gardens (temperate forest)"
Proteaceae,Persoonia linearis,1,R. Br.,7,2x,35.87 +/- 0.94,35.87,0.94,"cultivated, Mt Annan Botanic Gardens",NA,NA,NA,NA,NA,eudicot,perennial,Woody,yes,Persoonoideae,dry sclerophyll woodland,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, Mt Annan Botanic Gardens (dry sclerophyll woodland)"
Proteaceae,Petrophile shirleyae,1,F. M. Bailey,13,2x,2.24 +/- 0.07,2.24,0.07,"Glass House Mountains National Park, off Mawsons Road, E of Beerwah.",26deg52'S,152deg59'E,-26.867,152.983,20,eudicot,perennial,Woody,yes,Proteoideae,dry sclerophyll woodland,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","Glass House Mountains National Park, off Mawsons Road, E of Beerwah. (dry sclerophyll woodland)"
Proteaceae,Placospermum coriaceum,1,C.T. White & W.D. Francis,7,2x,60.27 +/- 1.93,60.27,1.93,"cultivated, CSIRO Arboretum, Queensland",NA,NA,NA,NA,NA,eudicot,perennial,Woody,yes,Persoonoideae,tropical rainforest,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, CSIRO Arboretum, Queensland (tropical rainforest)"
Proteaceae,Protea cynaroides,1,(L.) L.,12,2x,4.48 +/- 0.14,4.48,0.14,"cultivated, Mt Annan Botanic Gardens",NA,NA,NA,NA,NA,eudicot,perennial,Woody,yes,Proteoideae,dry sclerophyll woodland,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, Mt Annan Botanic Gardens (dry sclerophyll woodland)"
Proteaceae,Protea gaguedii,1,J.F. Gmel.,12,2x,3.76 +/- 0.12,3.76,0.12,"cultivated, Mt Tomah Botanic Garden",NA,NA,NA,NA,NA,eudicot,perennial,Woody,yes,Proteoideae,dry sclerophyll woodland,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, Mt Tomah Botanic Garden (dry sclerophyll woodland)"
Proteaceae,Protea neriifolia,1,R. Br.,12,2x,4.13 +/- 0.13,4.13,0.13,"cultivated, Proctors Road, Hobart",NA,NA,NA,NA,NA,eudicot,perennial,Woody,no,Proteoideae,dry sclerophyll woodland,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, Proctors Road, Hobart (dry sclerophyll woodland)"
Proteaceae,Roupala pseudocordata,1,Pittier,14,2x,2.21 +/- 0.07,2.21,0.07,"cultivated, Mt Tomah Botanic Garden",NA,NA,NA,NA,NA,eudicot,perennial,Woody,yes,Grevilleoideae,montane heath,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, Mt Tomah Botanic Garden (montane heath)"
