Location,Tree_ID,Species,Longitude,Latitude,MAP_mm,Mass_mg,Volume_mm3,ssd,mean_leaf_mass_mg,mean_leaf_length_cm,mean_leaf_width_cm,mean_LWR,mean_leaf_area_mm2,mean_SLA
Cleland,CLE-5,obliqua,138.714,-34.96431,1115,10512.1,20366,0.516159285,866,14.7624,3.7438000000000002,4.0269634,4084.44,4.8526446502
Hahndorf,HS-1,obliqua,138.8017,-35.038656,863,11928.1,22167,0.538101683,591.8857142857142,15.775857142857143,3.567857142857143,4.473047857142857,3538.1,5.974562875
Hahndorf,HS-2,obliqua,138.8017,-35.038656,863,9918.7,17919,0.553529773,799.1,13.469833333333334,4.327333333333334,3.1324235,3882.9666666666667,4.978258425333333
Hahndorf,HS-3,obliqua,138.8017,-35.038656,863,16102.6,17587,0.915596748,589.7833333333333,12.579166666666666,2.816666666666667,4.617264166666667,2455.75,4.2548757275
Kaiserstuhl,KAI-1,baxteri,139.0092,-34.5735,697,10061.9,11633,0.864944554,754.9166666666666,11.917833333333332,3.2076666666666664,3.7235455,2740.4166666666665,3.617942553333333
Kaiserstuhl,KAI-2,baxteri,139.0092,-34.5735,697,11083.7,15547,0.712915675,626.56,10.030999999999999,2.8136,3.5667526,2145.9,3.4343647702
Kaiserstuhl,KAI-3,baxteri,139.0092,-34.5735,697,10076.6,14096,0.714855278,673.82,11.3812,3.3834,3.3921392,2693.84,4.0082294572
Kaiserstuhl,KAI-4,baxteri,139.0092,-34.5735,697,8779.6,15547,0.56471345,530,10.492600000000001,3.2066,3.259724,2388.68,4.5120145136
Kaiserstuhl,KAI-5,baxteri,139.0092,-34.5735,697,5569.7,7618,0.731123655,793,11.7264,3.6164,3.290991,2962.2,3.7400096962
Pleasant,MPS-1,obliqua,139.0326,-34.74232,724,5569.3,13700,0.406518248,502.26,13.0984,2.5044,5.4763474,2244.04,4.418362101
Pleasant,MPS-2,obliqua,139.0326,-34.74232,724,8575.5,10802,0.793880763,464.9,11.786333333333333,2.4556666666666667,4.803658333333334,1988.3666666666666,4.3022026785000005
Pleasant,MPS-3,obliqua,139.0326,-34.74232,724,5356.5,7658,0.699464612,474.26666666666665,10.7405,3.061166666666667,3.520559,2356.75,5.041108108333333
Pleasant,MPS-4,obliqua,139.0326,-34.74232,724,7438.7,10431,0.713133928,428.3333333333333,9.756166666666667,2.662333333333333,3.663410333333333,1920.6666666666667,4.605790662666666
Pleasant,MPS-5,obliqua,139.0326,-34.74232,724,9152,12667,0.722507302,670.5,13.331999999999999,3.5226,3.8947874000000002,3287.2799999999997,5.0085300246
Stirling,SC-1,obliqua,138.7523,-35.020802,1035,14251.9,23860,0.597313495,398.0444444444444,12.791222222222222,2.805222222222222,4.619565111111111,2217.866666666667,5.568631867222222
Stirling,SC-2,obliqua,138.7523,-35.020802,1035,12657.2,16625,0.761335338,415.7285714285714,10.255285714285714,2.843714285714286,3.6250024285714284,2010.9285714285713,4.873392282428571
Stirling,SC-3,obliqua,138.7523,-35.020802,1035,11803.2,16236,0.726977088,649.52,14.0076,3.504,3.9925164,3131.64,4.8078885358
Whites Scrub,WS-1,obliqua,138.7793,-34.969858,1045,7430.2,10737,0.692018255,914.92,15.7682,5.2518,3.0813106,5666.22,6.5443584154000005
Whites Scrub,WS-2,obliqua,138.7793,-34.969858,1045,7044.4,10824,0.650813008,566.04,14.404,3.6392,4.0209728,3225.34,5.7038535414
Whites Scrub,WS-3,obliqua,138.7793,-34.969858,1045,7173.9,7577,0.946799525,497.12,12.1136,3.712,3.3135454,2940.48,5.9174185302
