Site,Species,psipd (MPa),psimin (MPa),psiTLP (MPa),P50 (MPa),P88 (MPa),Method,wood density (g cm-3),HSM
"Warra, TAS",Acacia melanoxylon,-0.40 ± 0.06,-1.19 ± 0.15,-2.55 ± 0.07,"-5.13 [-3.69,-5.66]","NA [-6.66, NA]",Bench,0.52 ± 0.01,3.94
"Warra, TAS",Atherosperma moschatum,-0.53 ± 0.17,-1.03 ± 0.14,-1.49 ± 0.11,"-2.94 [-2.80,-3.08]","-4.40 [-4.09,-5.09]",Cavitron,0.59 ± 0.01,1.91
"Warra, TAS",Eucalyptus obliqua,-0.58 ± 0.12,-1.37 ± 0.13,-1.72 ± 0.09,"-3.03 [-2.86,-3.17]","-3.84 [-3.63,-4.20]",Bench,0.60 ± 0.02,1.66
"Warra, TAS",Eucryphia lucida,-0.41 ± 0.05,-0.84 ± 0.04,-1.92 ± 0.11,"-2.53 [-2.42,-2.63]","-3.69 [-3.53,-3.91]",Cavitron,0.57 ± 0.01,1.68
"Warra, TAS",Nothofagus cunninghamii,-0.45 ± 0.06,-1.03 ± 0.13,-1.92 ± 0.14,"-2.45 [-2.35,-2.53]","-3.08 [-2.97,-3.24]",Cavitron,0.59 ± 0.01,1.41
"Warra, TAS",Phyllocladus aspleniifolius,-0.50 ± 0.06,-1.24 ± 0.08,-1.98 ± 0.27,"-3.40 [-3.28,-3.52]","-5.54 [-5.29,-5.88]",Cavitron,0.69 ± 0.01,2.17
"Warra, TAS",Pomaderris apetala,-1.29 ± 0.46,-1.73 ± 0.50,-2.40 ± 0.27,"-2.88 [-2.61,-3.14]","-5.94 [-5.02, NA]",Cavitron,0.55 ± 0.03,1.15
"Litchfield, NT",Eucalyptus miniata,-0.50 ± 0.14,-1.27 ± 0.11,-1.56 ± 0.05,"-3.08 [-2.84,-3.29]","-4.13 [-3.94,-4.41]",Bench,0.61 ± 0.02,1.81
"Litchfield, NT",Eucalyptus tetrodonta,-0.41 ± 0.07,-1.47 ± 0.08,-1.56 ± 0.01,"-3.08 [-2.73,-3.32]","-4.89 [-4.61,-5.31]",Bench,0.69 ± 0.01,1.61
"Cumberland Plain, NSW",Eucalyptus fibrosa,-1.96 ± 0.07,-3.11 ± 0.13,-3.44 ± 0.22,"-5.82 [-5.10,-6.34]","-7.56 [-7.11,-9.98]",Bench,0.70 ± 0.01,2.71
"Cumberland Plain, NSW",Eucalyptus moluccana,-1.94 ± 0.12,-3.48 ± 0.11,-3.05 ± 0.10,"-5.74 [-5.41,-6.09]","-7.84 [-7.36,-8.57]",Bench,0.75 ± 0.01,2.26
"Cumberland Plain, NSW",Eucalyptus tereticornis,-1.78 ± 0.12,-1.98 ± 0.06,-2.21 ± 0.05,"-4.07 [-3.82,-4.29]","-5.50 [-5.23,-5.90]",Bench,0.55 ± 0.00,2.1
"Cumberland Plain, NSW",Hakea sericea,-1.34 ± 0.16,-2.76 ± 0.09,-3.56 ± 0.44,"-5.67 [-5.49,-5.85]","-6.60 [-6.37,-6.90]",Cavitron,0.57 ± 0.01,2.9
"Cumberland Plain, NSW",Melaleuca decora,-2.85 ± 0.09,-2.77 ± 0.30,-2.58 ± 0.16,"-5.68 [-4.81,-6.21]","-9.34 [-8.50, NA]",Bench,0.60 ± 0.02,2.91
"Great Western Woodland, WA",Acacia aneura,-7.11 ± 0.37,-7.80 ± 0.45,-3.35 ± 0.05,"-11.30 [-10.58,-11.68]","-12.68 [-12.30, NA]",Bench,0.88 ± 0.02,3.5
"Great Western Woodland, WA",Acacia hemiteles,-3.84 ± 0.45,-3.98 ± 0.46,-2.68 ± 0.07,"-5.26 [-4.03,-5.89]","-8.48 [-7.47, NA]",Bench,0.76 ± 0.02,1.28
"Great Western Woodland, WA",Eucalyptus salmonophloia,-2.76 ± 0.23,-2.89 ± 0.04,-3.91 ± 0.04,"-5.04 [-4.42,-5.56]","-9.30 [-8.42, NA]",Bench,0.78 ± 0.02,2.15
"Great Western Woodland, WA",Eucalyptus salubris,-4.18 ± 0.12,-4.42 ± 0.30,-2.70 ± 0.24,"-6.22 [-5.22,-6.99]","NA [-9.03, NA]",Bench,0.83 ± 0.01,1.8
"Calperum, SA",Callitris verrucosa,-5.84 ± 0.27,-6.04 ± 0.25,-4.84 ± 0.18,"-11.87 [-11.61,-12.16]","NA [-13.77, NA]",Centrifuge,0.66 ± 0.02,5.82
"Calperum, SA",Eucalyptus dumosa,-3.98 ± 0.17,-4.84 ± 0.03,-3.02 ± 0.22,"-8.37 [-7.85,-8.81]","NA [-9.77, NA]",Bench,0.78 ± 0.08,3.52
"Calperum, SA",Eucalyptus socialis,-2.81 ± 0.06,-3.73 ± 0.10,-3.47 ± 0.09,"-6.57 [-5.83,-7.38]","-10.06 [-9.37, NA]",Bench,0.82 ± 0.02,2.85
"Calperum, SA",Hakea leucoptera,-1.36 ± 0.38,-2.68 ± 0.33,-3.52 ± NA,"-5.02 [-4.31,-5.46]","-6.69 [-6.09, NA]",Bench,0.73 ± 0.01,2.35
"Alice Mulga, NT",Acacia aptaneura,-5.55 ± 0.75,-6.45 ± 0.64,-3.77 ± 0.52,"-10.37 [-9.84,-10.74]","-11.59 [-11.20, NA]",Bench,0.78 ± 0.02,3.91
