Species,site,latitude (deg),longitude (deg),Vessel diameter a (u),Vessel diameter a (u)-SE,Vessel diameter b (u),Vessel diameter b (u)-SE,Vessel density (no. vessels/mm2),Vessel area (um2),Vessel area (um2)-SE,Conductive area (um2),stem Fibre wall thickness (um),stem Vessel wall thickness (um),stem Vessel diameter (um),stem Outer pit aperture (um),stem Conductive lumen fraction (mm2 mm-2),stem Sapwood density (g cm-3),root Fibre wall thickness (um),root Vessel wall thickness (um),root Vessel diameter (um),root Outer pit aperture (um),root Conductive lumen fraction (mm2 mm-2),root wood density (g cm-3),root wood density replicates,"wood density total, including bark and pith (g/cm3)",stem Fibre wall thickness (um)-SE,stem  Vessel wall thickness (um)-SE,stem  Vessel diameter (um)-SE,stem  Outer pit aperture (um)-SE,stem  Conductive lumen fraction (mm2 mm-2)-SE,stem sapwood density (g cm-3)-SE,stem total wood density (SE),d13C,Ks,vulnerability index,implosion resistance,root Fibre wall thickness (um)-SE,root  Vessel wall thickness (um)-SE,root  Vessel diameter (um)-SE,root  Outer pit aperture (um)-SE,root  Conductive lumen fraction (mm2 mm-2)-SE,root sapwood density (g cm-3)-SE
Erythrina vespertilio,Ti-Tree Basin,-22.13016,133.41602,33.96,0.73,26.47,0.67,286,715.08,31.78,204514.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erythrina vespertilio,Ti-Tree Basin,-22.13016,133.41602,27.87,0.75,20.99,0.55,488,465.79,21.96,227304.7253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia aneura,Ti-Tree Basin,-22.13016,133.41602,36,1.46,26,1.29,80,783.5,69.33,62680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia aneura,Ti-Tree Basin,-22.13016,133.41602,37.18,2.45,26.33,1.9,120,860.7,115.43,103284.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia aneura,Ti-Tree Basin,-22.13016,133.41602,40.59,1.87,31.02,1.28,66,1035.3,86.97,68329.6328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia aneura,Ti-Tree Basin,-22.13016,133.41602,39.47,0.85,29.43,0.78,104,921.48,40.06,95833.95269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia aneura,Ti-Tree Basin,-22.13016,133.41602,45.17,1.6,33.05,1.47,75,1202.48,86.71,90185.98065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia aneura,Ti-Tree Basin,-22.13016,133.41602,37.52,1.26,29.16,1.32,133,890.71,65.45,118464.5054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia aneura,Ti-Tree Basin,-22.13016,133.41602,52.8,2.68,36.8,1.84,76,1602.29,145.61,121774.0501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia aneura,Ti-Tree Basin,-22.13016,133.41602,46.56,1.91,35.24,1.5,94,1345.61,103.9,126487.6999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia bivenosa,Ti-Tree Basin,-22.13016,133.41602,40.33,1.78,28.4,1.07,117,942.03,72.01,110217.6725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia bivenosa,Ti-Tree Basin,-22.13016,133.41602,35.79,1.74,26.89,1.32,172,807.6,73.84,138906.9199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia bivenosa,Ti-Tree Basin,-22.13016,133.41602,39,1.61,31.57,1.42,86,1019.11,78.36,87643.74503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia bivenosa,Ti-Tree Basin,-22.13016,133.41602,38.34,1.78,29.79,1.41,82,947.42,83.93,77688.17487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia bivenosa,Ti-Tree Basin,-22.13016,133.41602,48.21,2.16,36.03,1.82,62,1436.51,130.51,89063.8556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia bivenosa,Ti-Tree Basin,-22.13016,133.41602,42.3,1.53,31.93,1.36,93,1095.29,83.42,101862.0537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia bivenosa,Ti-Tree Basin,-22.13016,133.41602,39.03,1.61,25.94,1.14,114,818.55,62.82,93315.1712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corymbia opaca,Ti-Tree Basin,-22.13016,133.41602,49.29,2.22,35.55,1.61,245,1442.21,113.93,353341.8992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corymbia opaca,Ti-Tree Basin,-22.13016,133.41602,46.04,2.37,28.99,1.12,194,1082,89.03,209908.9183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corymbia opaca,Ti-Tree Basin,-22.13016,133.41602,51.7,2.23,34.85,1.56,150,1483.16,129.11,222474.6386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corymbia opaca,Ti-Tree Basin,-22.13016,133.41602,49.23,1.8,36.29,1.45,170,1456.41,108.08,247589.3503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hakea sp.,Ti-Tree Basin,-22.13016,133.41602,27.53,1.42,18.34,0.86,166,418.64,37.66,69494.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hakea sp.,Ti-Tree Basin,-22.13016,133.41602,30.42,1.51,17.61,1.2,106,456.15,54.2,48351.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hakea sp.,Ti-Tree Basin,-22.13016,133.41602,34.99,1.65,20.93,1.14,198,612.34,57.93,121243.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hakea sp.,Ti-Tree Basin,-22.13016,133.41602,34.34,1.4,26.01,1.11,200,732.75,57.04,146550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hakea sp.,Ti-Tree Basin,-22.13016,133.41602,34.66,1.22,24.87,0.97,297,694.3,42.04,206207.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hakea sp.,Ti-Tree Basin,-22.13016,133.41602,35.69,1.07,35.54,0.84,204,724.96,39.68,147891.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psydrax latifolia,Ti-Tree Basin,-22.13016,133.41602,24.21,0.67,17.56,0.66,486,341.8,20.99,166114.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psydrax latifolia,Ti-Tree Basin,-22.13016,133.41602,21.89,0.49,15.33,0.43,246,266.26,11.46,65499.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psydrax latifolia,Ti-Tree Basin,-22.13016,133.41602,24.01,0.72,15.81,0.51,539,299.43,13.93,161392.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psydrax latifolia,Ti-Tree Basin,-22.13016,133.41602,21.29,0.74,16.57,0.67,263,286.79,19.37,75425.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psydrax latifolia,Ti-Tree Basin,-22.13016,133.41602,25.2,0.56,20.17,0.62,361,405.61,19.6,146425.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psydrax latifolia,Ti-Tree Basin,-22.13016,133.41602,27.57,0.73,17.35,0.54,336,354.6,18.89,119145.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psydrax latifolia,Ti-Tree Basin,-22.13016,133.41602,24.32,0.59,19.33,0.61,474,376.6,18.9,178508.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psydrax latifolia,Ti-Tree Basin,-22.13016,133.41602,24.31,0.78,16.69,0.64,378,324.43,18.08,122634.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psydrax latifolia,Ti-Tree Basin,-22.13016,133.41602,26.33,0.61,20.37,0.57,384,425.53,18.82,163403.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus camadulensis,Ti-Tree Basin,-22.13016,133.41602,50.38,1.74,38.42,1.4,228,1566.51,92.51,357164.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus camadulensis,Ti-Tree Basin,-22.13016,133.41602,46.22,1.66,36.59,1.44,143,1381,95.51,197483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus camadulensis,Ti-Tree Basin,-22.13016,133.41602,50.23,2.03,33.72,1.33,448,1385.36,106.7,620641.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus camadulensis,Ti-Tree Basin,-22.13016,133.41602,44.49,1.93,27.46,1.04,172,1001.84,74.41,172316.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus camadulensis,Ti-Tree Basin,-22.13016,133.41602,45.31,2.46,27.98,1.49,121,1056.51,98.93,127837.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus camadulensis,Ti-Tree Basin,-22.13016,133.41602,42.39,1.6,26.8,0.91,192,913.59,56.76,175409.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus camadulensis,Ti-Tree Basin,-22.13016,133.41602,44.99,1.81,33,1.04,220,1204.318,83.81,264949.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus camadulensis,Ti-Tree Basin,-22.13016,133.41602,44.18,1.24,34.42,1.37,247,1227.91,72.89,303293.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus camadulensis,Ti-Tree Basin,-22.13016,133.41602,43.51,1.73,26.32,1.46,114,939.56,84.81,107109.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
