name_original,site,AusTraits_site_name,AusTraits_key,context,canopy_position,leaf_age,stand_maturity,wood_sample_type,plot_location,photosynthetic pathway,Nfixer,GF,DecEv,LfType,LfForm,SLA (cm2/g),leaf mass/stem mass,LMA (g/m2),leaf longevity,amass (nmol g-1 s-1),aarea (umolm-2s-1),gs (molm-2s-1),13-C,leaf_chlorophyll_umol_per_m2,height_range,height_max,n_mass_%,n_area,p_mass_%,p_area,k_mass_%,Ca_mass_g_per_kg,Mg_mass_g_per_kg,Na_mass_g_per_kg,S_mass_g_per_kg,Fe_mass_ppm,Mn_mass_ppm,Zn_mass_ppm,Cu_mass_ppm,B_mass_ppm,N_mass_wood_g_per_kg,P_mass_wood_g_per_kg,K_mass_wood_g_per_kg,Ca_mass_wood_g_per_kg,Mg_mass_wood_g_per_kg,Na_mass_wood_g_per_kg,N_mass_bark_g_per_kg,P_mass_bark_g_per_kg,K_mass_bark_g_per_kg,Ca_mass_bark_g_per_kg,Mg_mass_bark_g_per_kg,Na_mass_bark_g_per_kg,N_mass_senesced_leaves_%,P_mass_senesced_leaves_%,K_mass_senesced_leaves_%,Ca_mass_senesced_leaves_%,Mg_mass_senesced_leaves_%,N_mass_dead_wood_g_per_kg,P_mass_dead_wood_g_per_kg,K_mass_dead_wood_g_per_kg,Ca_mass_dead_wood_g_per_kg,Mg_mass_dead_wood_g_per_kg,Na_mass_dead_wood_g_per_kg
Banksia integrifolia,Bennett1996_Yanakie,Bennett_1996_Yanakie_Uc1.23_pH6,Bennett_1999,declining,,,declining,,,,,,,,,,,,,,,,,,,,1.2,,0.04,,0.33,5.6,1.9,0.33,,63,652,4.9,1.9,,,,,,,,,,,,,,,,,,,,,,,,
Banksia integrifolia,Bennett1996_Yanakie,Bennett_1996_Yanakie_Uc1.23_pH6,Bennett_2000,healthy,,,healthy,,,,,,,,,,,,,,,,,,,,1.1,,0.03,,0.3,8.4,1.9,0.44,,55,829,4.6,1.2,,,,,,,,,,,,,,,,,,,,,,,,
Callitris glauca,BevegeandJohnston1978 _Millmerran,Bevege_1978_Millmerran,Bevege_1978,,,,,,,,,,,,,,,,,,,,,,,,1.05,,0.08,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casuarina leuhmanii,BevegeandJohnston1978 _Millmerran,Bevege_1978_Millmerran,Bevege_1978,,,,,,,,,,,,,,,,,,,,,,,,0.9,,0.07,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus bancroftii,BevegeandJohnston1978 _Millmerran,Bevege_1978_Millmerran,Bevege_1978,,,,,,,,,,,,,,,,,,,,,,,,1.31,,0.06,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus grandis,BirkandTurner1992_WeddingBells,Birk_1992_Wedding Bells,Birk_1992,branch_wood,,,,branch wood,,C3,n,tree,E,B,S,,,,,,,,,,,,1.56,,0.0835,,0.684,6,2.65,,,,,,,,5.5,0.43,4.9,6.68,,,2.4,0.165,4.12,19.1,1.807,,,,,,,,,,,,
Eucalyptus grandis,BirkandTurner1992_WeddingBells,Birk_1992_Wedding Bells,Birk_1992,sapwood,,,,sapwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,0.009,1.81,0.65,,,,,,,,,,,,,,,,,,,
Eucalyptus grandis,BirkandTurner1992_WeddingBells,Birk_1992_Wedding Bells,Birk_1992,heartwood,,,,heartwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.015,0.33,0.7,,,,,,,,,,,,,,,,,,,
Eucalyptus globulus,Cromeretal1975_Morwell,Cromer_1975_Morwell,Cromer_1975,,,,,,,C3,n,tree,E,B,S,,,,,,,,,,,,1.4,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus dives,Feller1980_MaroondahEO,Feller_1980_Maroondah_EO,Feller_1980,living_branches,,,,living branches,,C3,n,tree,E,B,S,,,,,,,,,,15-20,20,0.96,,0.06,,0.44,5.8,2.1,1.2,,,,,,,1.6,0.07,0.7,1.6,0.6,0.3,4.6,0.16,1.3,4.8,1.5,0.6,,,,,,1.6,0.05,0.2,1,0.2,0.1
Eucalyptus dives,Feller1980_MaroondahEO,Feller_1980_Maroondah_EO,Feller_1980,stem_wood,,,,stem wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,0.03,0.3,0.3,0.1,0.2,,,,,,,,,,,,,,,,,
Eucalyptus obliqua,Feller1980_MaroondahEO,Feller_1980_Maroondah_EO,Feller_1980,living_branches,,,,living branches,,C3,n,tree,E,B,S,,,,,,,,,,20-25,25,0.69,,0.053,,0.41,5.7,2.5,1.6,,,,,,,1.3,0.13,0.7,1.3,0.8,0.4,1.6,0.07,0.5,1.5,0.2,0.6,,,,,,1.6,0.08,0.3,1,0.9,0.4
Eucalyptus obliqua,Feller1980_MaroondahEO,Feller_1980_Maroondah_EO,Feller_1980,stem_wood,,,,stem wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.02,0.1,0.3,0.1,0.1,,,,,,,,,,,,,,,,,
Acacia dealbata,Feller1980_MaroondahER,Feller_1980_Maroondah_ER,Feller_1980,,,,,,,C3,y,tree,E,B,,,,,,,,,,,15-Oct,15,3.37,,0.17,,0.54,3.7,1.4,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia obliquinervia,Feller1980_MaroondahER,Feller_1980_Maroondah_ER,Feller_1980,,,,,,,C3,y,tree,E,B,,,,,,,,,,,15-Oct,15,2.08,,0.111,,0.53,2.3,1.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia spp,Feller1980_MaroondahER,Feller_1980_Maroondah_ER,Feller_1980,branch_wood,,,,branch wood,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,0.11,0.7,0.7,0.3,0.1,6.2,0.21,2,7.3,1.1,0.2,,,,,,,,,,,
Acacia spp,Feller1980_MaroondahER,Feller_1980_Maroondah_ER,Feller_1980,stem_wood,,,,stem wood,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,0.16,0.4,0.4,0.2,0.2,,,,,,,,,,,,,,,,,
Eucalyptus regnans,Feller1980_MaroondahER,Feller_1980_Maroondah_ER,Feller_1980,branch_wood,,,,branch wood,,C3,n,tree,E,B,S,,,,,,,,,,40-45,45,1.29,,0.105,,0.86,4.9,2.3,0.9,,,,,,,1.2,0.09,3.8,2.6,0.4,0.2,,,,,,,,,,,,,,,,,
Eucalyptus regnans,Feller1980_MaroondahER,Feller_1980_Maroondah_ER,Feller_1980,stem_wood,,,,stem wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.02,1.8,0.3,0.2,0.1,1.3,0.16,3.6,6.3,1,0.6,,,,,,1.2,0.04,0.5,1.9,0.3,0.2
Eucalyptus marginata,Hatch1955_Dwellingup,Hatch_1955_Dwellingup,Hatch_1955,,,,,,,C3,n,tree,E,B,S,,,,,,,,,,,,1.03,,0.09,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus agglomerata,Hopmansetal1993_Maramingo,Hopmans_1993_Maramingo,Hopmans_1993,branch_wood&bark,,,,branch wood & bark,,C3,n,tree,E,B,S,,,,,,,,,,,,0.902,,0.043,,0.303,5.89,2.44,,0.91,47,490,6.1,2.4,24.2,0.71,0.03,0.33,0.34,0.13,,1.76,0.09,1.22,4.27,0.55,,,,,,,,,,,,
Eucalyptus agglomerata,Hopmansetal1993_Maramingo,Hopmans_1993_Maramingo,Hopmans_1993,stem_wood&bark,,,,stem wood & bark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,0.05,0.19,0.18,0.04,,1.21,0.06,0.29,1.5,0.12,,,,,,,,,,,,
Eucalyptus muelleriana,Hopmansetal1993_Maramingo,Hopmans_1993_Maramingo,Hopmans_1993,branch_wood&bark,,,,branch wood & bark,,C3,n,tree,E,B,S,,,,,,,,,,,,1.052,,0.063,,0.345,5.73,2.86,,0.95,32,351,7.1,2.7,17.5,0.78,0.06,0.47,0.42,0.17,,2.56,0.22,2.55,8.81,1.38,,,,,,,,,,,,
Eucalyptus muelleriana,Hopmansetal1993_Maramingo,Hopmans_1993_Maramingo,Hopmans_1993,stem_wood&bark,,,,stem wood & bark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.04,0.14,0.15,0.03,,2.02,0.1,1.14,6.69,0.24,,,,,,,,,,,,
Eucalyptus sieberi,Hopmansetal1993_Maramingo,Hopmans_1993_Maramingo,Hopmans_1993,branch_wood&bark,,,,branch wood & bark,,C3,n,tree,E,B,S,,,,,,,,,,,,0.964,,0.047,,0.342,4.09,2.06,,0.85,34,354,7.8,2.4,11.9,0.57,0.04,0.38,0.38,0.19,,1.73,0.16,1.72,5.84,1.18,,,,,,,,,,,,
Eucalyptus sieberi,Hopmansetal1993_Maramingo,Hopmans_1993_Maramingo,Hopmans_1993,stem_wood&bark,,,,stem wood & bark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.03,0.18,0.13,0.08,,1.22,0.07,0.66,1.77,0.23,,,,,,,,,,,,
Eucalyptus dalrympleana,Lambert1979thesis_BagoSF,Lambert_1979_Bago State Forest,Lambert_1979,,,,,,,,,,,,,,,,,,,,,,,,1.26,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus radiata,Lambert1979thesis_BagoSF,Lambert_1979_Bago State Forest,Lambert_1979,,,,,,,,,,,,,,,,,,,,,,,,1.59,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus  dives,Lambert1979thesis_LidsdaleSF,Lambert_1979_Lidsdale State Forest,Lambert_1979,,,,,,,,,,,,,,,,,,,,,,,,1.25,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus maculosa,Lambert1979thesis_LidsdaleSF,Lambert_1979_Lidsdale State Forest,Lambert_1979,,,,,,,,,,,,,,,,,,,,,,,,0.92,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus rossi,Lambert1979thesis_LidsdaleSF,Lambert_1979_Lidsdale State Forest,Lambert_1979,,,,,,,,,,,,,,,,,,,,,,,,1.04,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus rubida,Lambert1979thesis_LidsdaleSF,Lambert_1979_Lidsdale State Forest,Lambert_1979,,,,,,,,,,,,,,,,,,,,,,,,0.92,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus grandis,Leuningetal1991_Toolara,Leuning_1991_Toolara,Leuning_1991,,,,,,,C3,n,tree,E,B,S,90,,,,,,,,,,,1.52,1.69,0.11,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus tereticornis,Marsh&Adams1995_Moormung,Marsh_1995_Moormung,Marsh_1995,reference_site,,,,,reference_site,,,,,,,,,,,,,,,,,,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus tereticornis,Marsh&Adams1995_Moormung,Marsh_1995_Moormung,Marsh_1995,roadside_adult_foliage,,adult foliage,,,roadside,,,,,,,,,,,,,,,,,,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus tereticornis,Marsh&Adams1995_Moormung,Marsh_1995_Moormung,Marsh_1995,roadside_epicormic_foliage,,epicormic foliage,,,roadside,,,,,,,,,,,,,,,,,,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus tereticornis,Marsh&Adams1995_Moormung,Marsh_1995_Moormung,Marsh_1995,pasture_adult_foliage,,adult foliage,,,pasture,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus tereticornis,Marsh&Adams1995_Moormung,Marsh_1995_Moormung,Marsh_1995,pasture_epicormic_foliage,,epicormic foliage,,,pasture,,,,,,,,,,,,,,,,,,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus tereticornis,Marsh&Adams1995_Moormung,Marsh_1995_Moormung,Marsh_1995,remnant_woodland_adult_foliage,,adult foliage,,,remnant woodland,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus tereticornis,Marsh&Adams1995_Moormung,Marsh_1995_Moormung,Marsh_1995,remnant_woodland_epicormic_foliage,,epicormic foliage,,,remnant woodland,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia dealbata,Meakinsunpub_Brindabella1,Meakins_0000_Brindabella_1,Meakins_0000,,,,,,,,,,,,,,,,,,,,,,,,2.4,,0.09,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus fastigata,Meakinsunpub_Brindabella1,Meakins_0000_Brindabella_1,Meakins_0000,,,,,,,,,,,,,,,,,,,,,,,,1.5,,0.1,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pomaderris apetala,Meakinsunpub_Brindabella1,Meakins_0000_Brindabella_1,Meakins_0000,,,,,,,,,,,,,,,,,,,,,,,,2,,0.13,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
