dataset_id,find,replace,reason,taxonomic_resolution
NTH_2025,Abutilon theophrasti Medik.,Abutilon theophrasti,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia abbreviata Maslin,Acacia abbreviata,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia abrupta Maiden & Blakely,Acacia abrupta,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia acradenia F.Muell.,Acacia acradenia,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia adoxa Pedley var. adoxa,Acacia adoxa var. adoxa,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),variety
NTH_2025,Acacia adsurgens Maiden & Blakely,Acacia adsurgens,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia alleniana Maiden,Acacia alleniana,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia amanda G.J.Leach,Acacia amanda,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia ammobia Maconochie,Acacia ammobia,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia ampliceps Maslin,Acacia ampliceps,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia ancistrocarpa Maiden & Blakely,Acacia ancistrocarpa,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia aneura F.Muell. ex Benth.,Acacia aneura,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia aptaneura Maslin & J.E.Reid,Acacia aptaneura,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia arafurica Tindale & Kodela,Acacia arafurica,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia argyraea Tindale,Acacia argyraea,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia armitii F.Muell. ex Maiden,Acacia armitii,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia asperulacea F.Muell.,Acacia asperulacea,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia auricoma Maslin,Acacia auricoma,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia auriculiformis A.Cunn. ex Benth.,Acacia auriculiformis,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia ayersiana Maconochie,Acacia ayersiana,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia basedowii Maiden,Acacia basedowii,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia bivenosa DC.,Acacia bivenosa,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia brachystachya Benth.,Acacia brachystachya,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia brockii Tindale & Kodela,Acacia brockii,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia calcicola Forde & Ising,Acacia calcicola,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia calligera (Pedley) Pedley,Acacia calligera,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia cambagei R.T.Baker.,Acacia cambagei,Exact match of the first two words of the taxon name to an APC-accepted canonical name (2025-01-29),species
NTH_2025,Acacia cataractae Tindale & Kodela,Acacia cataractae,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia catenulata Tindale & Kodela,Acacia catenulata,Exact match of the first two words of the taxon name to an APC-accepted canonical name (2025-01-29),species
NTH_2025,Acacia chippendalei Pedley,Acacia chippendalei,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia chisholmii F.M.Bailey,Acacia chisholmii,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia citriodora Kodela & Maslin,Acacia citriodora,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,"Acacia claviseta Maslin, M.D.Barrett & R.L.Barrett",Acacia claviseta,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia colei Maslin & L.Thomps.,Acacia colei,Exact match of the first two words of the taxon name to an APC-accepted canonical name (2025-01-29),species
NTH_2025,Acacia conjunctifolia F.Muell.,Acacia conjunctifolia,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia conspersa F.Muell.,Acacia conspersa,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia convallium Pedley,Acacia convallium,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia cowleana Tate,Acacia cowleana,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia cuthbertsonii Luehm.,Acacia cuthbertsonii,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia cuthbertsonii Luehm. subsp. cuthbertsonii,Acacia cuthbertsonii subsp. cuthbertsonii,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),subspecies
NTH_2025,Acacia cyperophylla F.Muell. ex Benth.,Acacia cyperophylla,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia cyperophylla F.Muell. ex Benth. var. cyperophylla,Acacia cyperophylla var. cyperophylla,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),variety
NTH_2025,Acacia delicatula Tindale & Kodela,Acacia delicatula,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia desmondii Maslin,Acacia desmondii,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia dictyophleba F.Muell.,Acacia dictyophleba,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia difficilis Maiden,Acacia difficilis,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia dimidiata Benth.,Acacia dimidiata,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia dolichophylla Maslin,Acacia dolichophylla,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia doreta Maslin,Acacia doreta,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia drepanocarpa F.Muell.,Acacia drepanocarpa,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia drepanocarpa F.Muell. subsp. drepanocarpa,Acacia drepanocarpa subsp. drepanocarpa,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),subspecies
NTH_2025,Acacia drepanocarpa F.Muell. subsp. latifolia Pedley,Acacia drepanocarpa,Exact match of the first two words of the taxon name to an APC-accepted canonical name (2025-01-29),species
NTH_2025,Acacia dunnii (Maiden) Turrill,Acacia dunnii,Exact match of the first two words of the taxon name to an APC-accepted canonical name (2025-01-29),species
NTH_2025,Acacia echinuliflora G.J.Leach,Acacia echinuliflora,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia elachantha M.W.McDonald & Maslin,Acacia elachantha,Exact match of the first two words of the taxon name to an APC-accepted canonical name (2025-01-29),species
NTH_2025,Acacia equisetifolia Maslin & Cowie,Acacia equisetifolia,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia estrophiolata F.Muell.,Acacia estrophiolata,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia filipes Pedley,Acacia filipes,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia froggattii Maiden,Acacia froggattii,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia galioides Benth.,Acacia galioides,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia georginae F.M.Bailey,Acacia georginae,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia gonocarpa F.Muell.,Acacia gonocarpa,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia gonoclada F.Muell. ex Benth.,Acacia gonoclada,Exact match of the first two words of the taxon name to an APC-accepted canonical name (2025-01-29),species
NTH_2025,Acacia gracilenta Tindale & Kodela,Acacia gracilenta,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia hammondii Maiden,Acacia hammondii,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia helicophylla Pedley,Acacia helicophylla,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia helmsiana Maiden,Acacia helmsiana,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia hemignosta F.Muell.,Acacia hemignosta,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia hemsleyi Maiden,Acacia hemsleyi,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia hilliana Maiden,Acacia hilliana,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia holosericea A.Cunn. ex G.Don,Acacia holosericea,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia humifusa A.Cunn. ex Benth.,Acacia humifusa,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia hyaloneura Pedley,Acacia hyaloneura,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia inaequilatera Domin,Acacia inaequilatera,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia incurvaneura Maslin & J.E.Reid,Acacia incurvaneura,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia jasperensis Maconochie,Acacia jasperensis,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia jennerae Maiden,Acacia jennerae,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia jensenii Maiden,Acacia jensenii,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia kelleri F.Muell.,Acacia kelleri,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia kempeana F.Muell.,Acacia kempeana,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia laccata Pedley,Acacia laccata,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia lacertensis Pedley,Acacia lacertensis,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia lamprocarpa O.Schwarz,Acacia lamprocarpa,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia latescens Benth.,Acacia latescens,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia latifolia Benth.,Acacia latifolia,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia latzii Maslin,Acacia latzii,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia leptocarpa A.Cunn. ex Benth,Acacia leptocarpa,Exact match of the first two words of the taxon name to an APC-accepted canonical name (2025-01-29),species
NTH_2025,Acacia leptophleba F.Muell.,Acacia leptophleba,Exact match of the first two words of the taxon name to an APC-accepted canonical name (2025-01-29),species
NTH_2025,Acacia ligulata A.Cunn. ex Benth.,Acacia ligulata,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia limbata F.Muell.,Acacia limbata,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia linarioides Benth.,Acacia linarioides,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia lycopodiifolia A.Cunn. ex Hook.,Acacia lycopodiifolia,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia lysiphloia F.Muell.,Acacia lysiphloia,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia macdonnellensis Maconochie,Acacia macdonnellensis,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia macdonnellensis Maconochie subsp. macdonnellensis,Acacia macdonnellensis subsp. macdonnellensis,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),subspecies
NTH_2025,Acacia maconochieana Pedley,Acacia maconochieana,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia maitlandii F.Muell.,Acacia maitlandii,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia malloclada Maiden & Blakely,Acacia malloclada,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia mangium Willd.,Acacia mangium,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia manipularis Cowan & Maslin,Acacia manipularis,Exact match of the first two words of the taxon name to an APC-accepted canonical name (2025-01-29),species
NTH_2025,Acacia megalantha F.Muell.,Acacia megalantha,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia melleodora Pedley,Acacia melleodora,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia mimula Pedley,Acacia mimula,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia minutifolia F.Muell.,Acacia minutifolia,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia minyura Randell,Acacia minyura,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia monticola J.M.Black,Acacia monticola,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia mountfordiae Specht,Acacia mountfordiae,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia mulganeura Maslin & J.E.Reid,Acacia mulganeura,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia multisiliqua (Benth.) Maconochie,Acacia multisiliqua,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia multistipulosa Tindale & Bedward,Acacia multistipulosa,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia murrayana F.Muell. ex Benth.,Acacia murrayana,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia neurocarpa A.Cunn. ex Hook.,Acacia neurocarpa,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia nicholsonensis Cuff,Acacia nicholsonensis,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia nuperrima Baker f.,Acacia nuperrima,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia nyssophylla F.Muell.,Acacia nyssophylla,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia olgana Maconochie,Acacia olgana,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia oligoneura F.Muell.,Acacia oligoneura,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia oncinocarpa Benth.,Acacia oncinocarpa,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia orthocarpa A.Cunn. ex Benth.,Acacia orthocarpa,Exact match of the first two words of the taxon name to an APC-accepted canonical name (2025-01-29),species
NTH_2025,Acacia orthotricha Pedley,Acacia orthotricha,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia oswaldii F.Muell.,Acacia oswaldii,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia pachyacra Maiden & Blakely,Acacia pachyacra,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia pachycarpa F.Muell.,Acacia pachycarpa,Exact match of taxon name to an APC-known scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia paraneura Randell,Acacia paraneura,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia pellita O.Schwarz,Acacia pellita,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia perryi Pedley,Acacia perryi,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia peuce F.Muell.,Acacia peuce,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia phlebocarpa F.Muell. ex Benth.,Acacia phlebocarpa,Exact match of the first two words of the taxon name to an APC-accepted canonical name (2025-01-29),species
NTH_2025,Acacia pickardii Tindale,Acacia pickardii,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia platycarpa F.Muell.,Acacia platycarpa,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia plectocarpa A.Cunn. ex Benth.,Acacia plectocarpa,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia plectocarpa A.Cunn. ex Benth. subsp. plectocarpa,Acacia plectocarpa subsp. plectocarpa,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),subspecies
NTH_2025,Acacia plectocarpa A.Cunn. ex Benth. subsp. tanumbirinensis (Maiden) Pedley,Acacia plectocarpa,Exact match of the first two words of the taxon name to an APC-accepted canonical name (2025-01-29),species
NTH_2025,Acacia praelongata F.Muell.,Acacia praelongata,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia praetermissa Tindale,Acacia praetermissa,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia prainii Maiden,Acacia prainii,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia producta Tindale,Acacia producta,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia proiantha Pedley,Acacia proiantha,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia pruinocarpa Tindale,Acacia pruinocarpa,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia pteraneura Maslin & J.E.Reid,Acacia pteraneura,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia ptychophylla F.Muell.,Acacia ptychophylla,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia ramulosa W.Fitzg. var. ramulosa,Acacia ramulosa var. ramulosa,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),variety
NTH_2025,Acacia retivenea F.Muell. subsp. retivenea,Acacia retivenea subsp. retivenea,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),subspecies
NTH_2025,Acacia rhodophloia Maslin,Acacia rhodophloia,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia richardsii Maslin,Acacia richardsii,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia rigens A.Cunn. ex G.Don,Acacia rigens,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia sabulosa Maslin,Acacia sabulosa,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia salicina Lindl.,Acacia salicina,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia scopulorum Pedley,Acacia scopulorum,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia sericoflora Pedley,Acacia sericoflora,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia sericophylla F.Muell.,Acacia sericophylla,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia shirleyi Maiden,Acacia shirleyi,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia sibirica S.Moore,Acacia sibirica,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia simsii A.Cunn. ex Benth.,Acacia simsii,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia sp. Baroalba (K.G.Brennan 186),Acacia sp. Baroalba (K.G.Brennan 186),Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-01-29),species
NTH_2025,Acacia sp. Bradshaw (B.Wirf 1484) Cowie & M.D.Barrett,Acacia sp. Bradshaw (B.Wirf 1484),Exact match of the first three words of the taxon name to an APNI-listed canonical name (2025-01-29),species
NTH_2025,Acacia sp. Dinner Creek (K.G.Brennan 354) K.G.Brennan,Acacia sp. Dinner Creek (K.G.Brennan 354),Exact match of the first three words of the taxon name to an APC-accepted canonical name (2025-01-29),species
NTH_2025,Acacia sp. holey trunk (P.K.Latz 12458),Acacia sp. Howes Mountain (R.G.Coveny 4108),Fuzzy match of the first two words of the taxon name to an APC-known canonical name (2025-01-29),species
NTH_2025,Acacia sp. Indiana Station (P.K.Latz 4430),Acacia sp. Indiana Station (P.K.Latz 4430),Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-01-29),species
NTH_2025,Acacia sp. Krichauff Range (A.Soos 241),Acacia sp. Krichauff Range (A.Soos 241),Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-01-29),species
NTH_2025,Acacia sp. Timber Creek (D.L.Lewis 2090) Jobson,Acacia sp. [Acacia sp. Timber Creek (D.L.Lewis 2090) Jobson],Exact match of the first word of the taxon name to an APC-accepted genus (2025-01-29),genus
NTH_2025,Acacia spondylophylla F.Muell.,Acacia spondylophylla,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia stenophylla A.Cunn. ex Benth.,Acacia stenophylla,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia stipuligera F.Muell.,Acacia stipuligera,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia stipulosa F.Muell.,Acacia stipulosa,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia strongylophylla F.Muell.,Acacia strongylophylla,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia sublanata Benth.,Acacia sublanata,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia subternata F.Muell.,Acacia subternata,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia symonii Whibley,Acacia symonii,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia synchronicia Maslin,Acacia synchronicia,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia tenuissima F.Muell.,Acacia tenuissima,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia tephrina Pedley,Acacia tephrina,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia tetragonophylla F.Muell.,Acacia tetragonophylla,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia tolmerensis G.J.Leach,Acacia tolmerensis,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
NTH_2025,Acacia torulosa Benth.,Acacia torulosa,Exact match of taxon name to an APC-accepted scientific name (including authorship) (2025-01-29),species
