"View","Taxon Name","NT Endemic","NT Only","Current Name","Name w/Data (non-current)","Checklist Category","Taxon Status","Eco Source","Eco Status","Deciduous","Diaspore Dispersal Agent","Diaspore Morphology","Ephiphytic","Fire Response Adult","Fire Response Juvenile","Flowering Breeding System","Growth Form","Growth Form NVIS","Growth Form YB","Longevity","Mass Recruitment","Metabolic Type","Mycorrhiza","Nitrogen Fixing","Palatibility","Parasitic","Phenology Flowering","Phenology Fruit Maturity","Pollen Transfer","Pollination Breeding System","Pollination Syndrome","Presence Defence Compounds","Presence Defence Structures","Response To Grazing","Resprout Type","Resurrection","Seed Bank","Taxon ID","Taxon Id","Underground Storage","Vegetative Spread"
"View","ACANTHACEAE Graptophyllum spinigerum F.Muell.","-","-","Y","-","NT","ACTIVE","JRS 2004","-","Facultatively deciduous","-","-","N","Resprouter","-","-","Shrub","Shrub","-","Perennial","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","Basal stem buds (includes lignotuber and basal stem), Epicormic shoots","-","Canopy-stored seed, Dispersal reliant","28","28","Without swollen storage structure","Plants always discrete (includes shortly rhizomatous)"
"-","ACANTHACEAE Harnieria","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","19552","-","-"
"View","ACANTHACEAE Harnieria kempeana (F.Muell.) R.M.Barker","-","-","Y","-","SR","ACTIVE","Latz 2004, Liddle 2004","ACTIVE","-","-","-","-","-","-","-","-","Shrub","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","19553","19553","-","-"
"View","ACANTHACEAE Harnieria kempeana (F.Muell.) R.M.Barker subsp. kempeana","Y","-","Y","-","SR","ACTIVE","Latz 2004, Liddle 2004","-","Evergreen","-","-","N","Seeder","-","-","Shrub","Shrub","-","Perennial","No","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","None","-","Soil-stored seed","20392","20392","Without swollen storage structure","Plants always discrete (includes shortly rhizomatous)"
"-","ACANTHACEAE Hygrophila","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","29","-","-"
"View","ACANTHACEAE Hygrophila angustifolia R.Br.","-","-","Y","-","SR","ACTIVE","Yates 2003","-","-","-","-","N","Seeder","-","-","Forb","Forb","-","Annual or ephemeral, Biennial or short-lived perennial","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","None","-","-","30","30","-","Plants always discrete (includes shortly rhizomatous)"
"View","ACANTHACEAE Hygrophila triflora (Roxb.) Fosberg & Sachet","-","-","Y","-","NT","ACTIVE","I.D. Cowie 2020","ACTIVE","-","-","-","-","-","-","-","-","Aquatic","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","31","31","-","-"
"-","ACANTHACEAE Hypoestes","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","32","-","-"
"-","ACANTHACEAE Hypoestes floribunda R.Br.","-","-","Y","-","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","Forb, Shrub","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","33","-","-"
"-","ACANTHACEAE Hypoestes floribunda R.Br. var. angustifolia Benth.","-","-","Y","-","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","Forb, Shrub","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","24206","-","-"
"-","ACANTHACEAE Hypoestes floribunda R.Br. var. cinerea R.M.Barker","-","-","Y","-","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","Forb, Shrub","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","24207","-","-"
"-","ACANTHACEAE Hypoestes floribunda R.Br. var. distans (Benth.) Ewart & O.B.Davies","-","-","Y","-","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","Forb, Shrub","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","24208","-","-"
"-","ACANTHACEAE Hypoestes floribunda R.Br. var. varia R.M.Barker","-","-","Y","-","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","Forb, Shrub","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","24205","-","-"
"-","ACANTHACEAE Justicia carthagenensis Jacq.","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","12233","-","-"
"-","ACANTHACEAE Nelsonia","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","34","-","-"
"View","ACANTHACEAE Nelsonia campestris R.Br.","-","-","Y","-","NT","ACTIVE","Yates 2003","-","-","-","-","N","Seeder","-","-","Forb","Forb","-","Annual or ephemeral","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","None","-","-","35","35","-","capacity to be stoloniferous"
"-","ACANTHACEAE Pseuderanthemum","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","36","-","-"
"View","ACANTHACEAE Pseuderanthemum variabile (R.Br.) Radlk.","-","-","Y","-","NT","ACTIVE","JRS 2004","-","Obligately deciduous leaves","-","-","N","Resprouter","-","-","Forb","Forb","-","Perennial","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","Basal stem buds (includes lignotuber and basal stem), Epicormic shoots","-","Canopy-stored seed, Dispersal reliant","37","37","With distinct swollen storage structure from which resprouting may occur","Plants always discrete (includes shortly rhizomatous)"
"-","ACANTHACEAE Rostellularia","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","38","-","-"
"View","ACANTHACEAE Rostellularia adscendens (R.Br.) R.M.Barker","-","-","Y","-","NT","ACTIVE","Albrecht 2004, Brennan 2004","-","-","-","-","N","-","-","-","Forb","Forb","-","-","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","-","-","-","39","39","-","-"
"-","ACANTHACEAE Rostellularia adscendens (R.Br.) R.M.Barker subsp. clementii (Domin) R.M.Barker","-","-","Y","-","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1050258","-","-"
"-","ACANTHACEAE Rostellularia adscendens (R.Br.) R.M.Barker var. clementii (Domin) R.M.Barker","-","-","Y","-","SR","ACTIVE","-","-","-","-","-","-","-","-","-","-","Forb","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1049895","-","-"
"-","ACANTHACEAE Rostellularia adscendens (R.Br.) R.M.Barker var. largiflorens R.M.Barker","-","-","Y","-","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1049896","-","-"
"-","ACANTHACEAE Rostellularia adscendens (R.Br.) R.M.Barker var. latifolia (Domin) R.M.Barker","-","-","Y","-","SR","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1049893","-","-"
"-","ACANTHACEAE Rostellularia adscendens (R.Br.) R.M.Barker var. pogonanthera (F.Muell.) R.M.Barker","-","-","Y","-","SR","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1049894","-","-"
"-","ACANTHACEAE Ruellia","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","42","-","-"
"-","ACANTHACEAE Ruellia tuberosa L.","-","-","Y","-","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","Forb","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","43","-","-"
"-","ACANTHACEAE Staurogyne","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","47","-","-"
"-","ACANTHACEAE Staurogyne spatulata (Blume) Koord.","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","Forb","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","48","-","-"
"-","ACANTHACEAE Strobilanthes alternata (Burm.f.) Moylan ex J.R.I.Wood","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","26386","-","-"
"-","ACANTHACEAE Thunbergia","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","50","-","-"
"View","ACANTHACEAE Thunbergia arnhemica F.Muell.","-","-","Y","-","NT","ACTIVE","JRS 2004","-","Death of plant and regeneration from seed (include all annuals here)","-","-","N","Seeder","-","-","Climber or twiner","Vine","-","Annual or ephemeral","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","None","-","Soil-stored seed","51","51","Without swollen storage structure","Plants always discrete (includes shortly rhizomatous)"
"-","AIZOACEAE","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","66","-","-"
"-","AIZOACEAE Aizoon pubescens Eckl. & Zeyh.","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","Forb","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","20396","-","-"
"-","AIZOACEAE Galenia","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","20395","-","-"
"View","AIZOACEAE Galenia pubescens (Eckl. & Zeyh.) Druce var. pubescens","-","-","Y","-","NT","ACTIVE","Albrecht 2004, Brennan 2004","-","-","-","-","N","-","-","-","Forb, Subshrub","Forb, Shrub","-","Perennial","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","-","-","-","20397","20397","-","-"
"-","AIZOACEAE Gunniopsis","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","67","-","-"
"View","AIZOACEAE Gunniopsis papillata Chinnock","-","-","Y","-","SR","ACTIVE","Albrecht 2004, Liddle 2004, Brennan 2004","-","-","-","-","N","-","-","-","Forb","Forb","-","Annual or ephemeral","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","-","-","-","20398","20398","-","-"
"View","AIZOACEAE Gunniopsis quadrifida (F.Muell.) Pax","-","-","Y","-","SR","ACTIVE","Albrecht 2004, Brennan 2004","-","-","-","-","N","-","-","-","Shrub","Shrub","-","Perennial","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","-","-","-","68","68","-","-"
"View","AIZOACEAE Gunniopsis septifraga (F.Muell.) Chinnock","-","-","Y","-","SR","ACTIVE","Albrecht 2004, Brennan 2004","-","-","-","-","N","-","-","-","Forb","Forb","-","Annual or ephemeral","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","-","-","-","69","69","-","-"
"View","AIZOACEAE Gunniopsis sp. West of Marla (R.J.Chinnock 10688)","N","N","Y","N","NT","ACTIVE","-","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1068602","1068602","-","-"
"View","AIZOACEAE Gunniopsis zygophylloides (F.Muell.) Diels","-","-","Y","-","SR","ACTIVE","Albrecht 2004, Brennan 2004","-","-","-","-","N","-","-","-","Shrub","Shrub","-","Perennial","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","-","-","-","70","70","-","-"
"-","AIZOACEAE Mesembryanthemum","N","N","Y","-","SR","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","12290","-","-"
"-","AIZOACEAE Mesembryanthemum granulicaule Haw.","N","N","Y","-","SR","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1050122","-","-"
"-","AIZOACEAE Sesuvium","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","71","-","-"
"View","AIZOACEAE Sesuvium portulacastrum (L.) L.","N","N","Y","N","NT","ACTIVE","Liddle 2004, Brennan 2004","-","-","-","-","-","-","-","-","Forb","Forb","-","-","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","-","-","-","72","72","Without swollen storage structure","-"
"-","AIZOACEAE Tetragonia","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","73","-","-"
"View","AIZOACEAE Tetragonia eremaea Ostenf.","-","-","Y","-","SR","ACTIVE","Albrecht 2004, Brennan 2004","-","-","-","-","N","-","-","-","Forb","Forb","-","Annual or ephemeral","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","-","-","-","74","74","-","-"
"-","AIZOACEAE Trianthema","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","75","-","-"
"-","AIZOACEAE Trianthema compactum C.T.White","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","Forb","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","76","-","-"
"View","AIZOACEAE Trianthema glossostigmum F.Muell.","N","N","Y","N","SR","ACTIVE","Albrecht 2004, Brennan 2004","ACTIVE","-","-","-","N","-","-","-","Forb","Forb","-","Annual or ephemeral","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","-","-","-","77","77","-","-"
"View","AIZOACEAE Trianthema megaspermum A.M.Prescott","Y","N","Y","N","NT","ACTIVE","KNP plots, Liddle 2004","ACTIVE","-","-","-","N","Seeder","-","-","Forb","Forb","-","Annual or ephemeral","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","None","-","-","78","78","-","Plants always discrete (includes shortly rhizomatous)"
"View","AIZOACEAE Trianthema oxycalyptra F.Muell. var. oxycalyptra","-","-","Y","-","SR","ACTIVE","Albrecht 2004, Brennan 2004","-","-","-","-","N","-","-","-","Forb","Forb","-","-","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","-","-","-","20399","20399","-","-"
"-","AIZOACEAE Trianthema oxycalyptrum F.Muell.","N","N","Y","N","SR","ACTIVE","-","-","-","-","-","-","-","-","-","-","Forb","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","79","-","-"
"View","AIZOACEAE Trianthema patellitectum A.M.Prescott","N","N","Y","N","NT","ACTIVE","Liddle 2004, Brennan 2004","-","-","-","-","-","-","-","-","Forb","Forb","-","-","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","-","-","-","80","80","-","-"
"View","AIZOACEAE Trianthema pilosum F.Muell.","N","N","Y","N","SR","ACTIVE","Albrecht 2004, Brennan 2004","-","-","-","-","-","-","-","-","Forb","Forb","-","Annual or ephemeral","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","-","-","-","81","81","-","-"
"View","AIZOACEAE Trianthema portulacastrum L.","-","-","Y","-","NT","ACTIVE","Albrecht 2004, Brennan 2004","-","-","-","-","N","-","-","-","Forb","Forb","-","Annual or ephemeral","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","-","-","-","82","82","-","-"
"View","AIZOACEAE Trianthema rhynchocalyptrum F.Muell.","N","N","Y","N","NT","ACTIVE","Yates 2003","-","-","-","-","-","Resprouter","-","-","Forb","Forb","-","Perennial","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","Basal stem buds (includes lignotuber and basal stem)","-","-","83","83","-","Plants always discrete (includes shortly rhizomatous)"
