Name,DN,d 13 C,N[%],Specific Leaf Area (m2 kg1)
Eucalyptus granitica,1305,-28.94,1.02,3.757354827
Eucalyptus griffithsii,515,-26.51,1.29,2.978423475
Eucalyptus grisea,1271,-30.08,1.26,6.276622437
Eucalyptus grossa,123,-26.15,0.88,2.104768814
Eucalyptus grossifolia,1136,-27.83,0.85,2.348244994
Eucalyptus guilfoylei,1139,-26.75,0.90,5.837984887
Eucalyptus gypsophila,525,-28.19,1.12,2.836031537
Eucalyptus gypsophila,1405,-27.82,0.92,2.443039591
Eucalyptus haemastoma,631,-26.65,1.01,3.268476235
Eucalyptus hallii,716,-29.66,0.89,3.88838545
Eucalyptus halophila,155,-27.58,0.96,2.627878018
Eucalyptus hebetifolia,232,-26.43,0.91,2.685177733
Eucalyptus henryi,2092,-28.22,1.09,6.165213946
Eucalyptus histophylla,124,-26.06,1.05,2.508438819
Eucalyptus horistes,1169,-27.72,1.18,3.431709647
Eucalyptus hypolaena,513,-27.21,0.98,1.785682473
Eucalyptus imitans,615,-28.23,1.17,2.965148895
Eucalyptus imlayensis,1748,-28.20,0.87,4.620976794
Eucalyptus impensa,264,-28.14,0.57,1.802341645
Eucalyptus incerata,327,-24.69,1.01,2.128999112
Eucalyptus incrassata,1117,-27.74,0.74,2.090604027
Eucalyptus indurata,165,-24.57,0.83,2.095062413
Eucalyptus infera,1254,-28.22,1.45,4.241286338
Eucalyptus insularis,1637,-28.33,1.34,5.144358578
Eucalyptus interstans,667,-28.76,1.45,5.367862715
Eucalyptus intertexta,423,-27.81,0.83,3.475861287
Eucalyptus juanda,275,-29.71,1.46,3.27215919
Eucalyptus jutsonii,548,-26.41,1.23,2.195762712
Eucalyptus kabiana,720,-28.19,1.67,4.990039466
Eucalyptus kessellii,1101,-26.66,0.75,1.989341305
Eucalyptus kingsmillii,535,-24.88,1.50,3.394789082
Eucalyptus kitsoniana,1720,-27.30,1.96,4.641288639
Eucalyptus kochii,536,-26.83,1.36,2.784016824
Eucalyptus kondinensis,242,-29.02,1.06,3.342230788
Eucalyptus kruseana,337,-26.77,1.05,3.466407151
Eucalyptus kumarlensis,141,-28.45,0.93,2.810605428
Eucalyptus lacrimans,590,-27.34,1.83,2.541586538
Eucalyptus laevis,120,-27.10,1.30,3.173209647
Eucalyptus langleyi,613,-25.73,1.29,2.498642333
Eucalyptus lansdowneana,57,-27.70,1.18,2.900810587
Eucalyptus largiflorens,980,-28.84,0.93,3.857308649
Eucalyptus lehmannii,222,-27.02,0.98,3.943696028
Eucalyptus leptocalyx,153,-26.07,1.13,2.189251139
Eucalyptus leptoloma,1302,-25.59,1.34,5.335460578
Eucalyptus leptophylla,447,-27.31,1.32,3.454251497
Eucalyptus leptopoda,291,-27.31,1.04,2.46665272
Eucalyptus lesovefii,549,-29.52,0.93,2.823870851
Eucalyptus leucophylla,1331,-28.91,0.95,3.296176363
Eucalyptus leucoxylon,473,-26.70,1.23,4.05645862
Eucalyptus levcoxylon Vic,460,-28.09,1.89,4.866343964
Eucalyptus ligulata,175,-26.49,1.02,5.826869159
Eucalyptus litoralis,463,-29.59,1.27,3.957216495
Eucalyptus litorea,1094,-28.21,0.90,3.165755653
Eucalyptus livida,318,-27.59,0.97,2.788017366
Eucalyptus lockyeri,1323,-29.24,1.20,5.649788647
Eucalyptus longissima,1569,-28.62,1.19,3.45145098
Eucalyptus loxophleba,139,-27.12,1.20,2.802569701
Eucalyptus lucasii,545,-24.87,2.04,3.901574044
Eucalyptus lucens,1353,-26.65,1.54,3.461719884
Eucalyptus macrandra,1132,-26.83,1.09,3.766790474
Eucalyptus macrocarpa,261,-29.36,0.72,2.287077816
Eucalyptus macrorhyncha,779,-26.87,0.81,3.306946909
Eucalyptus macta,1301,-27.93,1.34,4.561229992
Eucalyptus magnificata,1252,-28.68,1.40,4.433200514
Eucalyptus mannifera,609,-28.56,1.34,4.816420504
Eucalyptus megacarpa,1137,-28.71,1.07,4.747989324
Eucalyptus megacornuta,1121,-27.65,1.00,4.128490099
Eucalyptus melanophitra,211,-27.77,0.86,3.84784199
Eucalyptus melanophloia,690,-27.68,1.31,5.430404313
Eucalyptus melanoxylon,143,-27.89,1.04,2.965168869
Eucalyptus melliodora,777,-28.25,1.26,4.977717774
Eucalyptus merrickiae,156,-26.94,1.22,2.468872661
Eucalyptus michaeliana,650,-27.82,1.82,5.209312977
Eucalyptus micranthera,1090,-26.91,0.87,2.453780185
Eucalyptus microcarpa,1364,-29.59,1.37,3.907842194
Eucalyptus mimica,1114,-27.16,0.99,2.983601134
Eucalyptus minigwalica,522,-29.18,1.32,3.085087055
Eucalyptus minniritchi,1354,-29.87,1.14,2.914665354
Eucalyptus misella,147,-28.75,1.38,3.433666027
Eucalyptus moderata,1661,-27.93,1.33,2.385199936
Eucalyptus molluccana,712,-28.01,1.03,3.836440258
Eucalyptus moorei,1233,-27.75,0.95,3.697530864
Eucalyptus morrisii,730,-27.43,1.12,3.285905815
Eucalyptus myriadena,316,-27.84,1.05,3.134038268
Eucalyptus neutra,1855,-27.44,1.28,2.614609729
Eucalyptus nicholii,651,-27.94,1.50,6.8654445
Eucalyptus nigrifunda,533,-28.44,1.17,2.977082613
Eucalyptus noctonii,583,-29.85,1.29,5.005741742
Eucalyptus normantonensis,1207,-27.98,0.94,3.553212172
Eucalyptus normantonensis,1202,-27.40,1.28,3.174322969
Eucalyptus notabilis,630,-26.75,1.18,4.120307905
Eucalyptus nubila,685,-29.79,0.81,3.667915452
Eucalyptus obesa,1109,-27.15,1.04,3.189486384
Eucalyptus oblonga,622,-26.92,0.84,3.11958457
Eucalyptus obstans,620,-25.82,0.83,2.709242473
Eucalyptus obtusiflora,266,-29.10,1.09,2.440599306
Eucalyptus occidentalis,1095,-26.65,0.61,2.420068509
Eucalyptus odorata,822,-28.20,1.01,2.788810861
Eucalyptus oldfieldii,274,-29.54,1.32,3.194692737
Eucalyptus oleosa,931,-27.76,1.16,3.083103796
Eucalyptus oleosa,555,-27.77,0.77,2.483655994
Eucalyptus olivina,319,-25.39,1.13,8.340450026
Eucalyptus optima,115,-25.92,0.93,2.156583072
Eucalyptus oraria,269,-28.84,0.86,3.083215078
Eucalyptus orbifolia,335,-28.58,1.28,3.550320876
Eucalyptus orgadophila,698,-26.57,1.40,5.585381835
Eucalyptus ornata,243,-27.11,1.05,2.96278363
Eucalyptus ovata,805,-28.55,1.50,5.599626866
Eucalyptus ovularis ,1107,-27.11,1.23,
Eucalyptus oxymitra,1704,-26.17,1.22,2.779396242
Eucalyptus pachyphylla,1203,-26.20,0.83,2.378945009
Eucalyptus paliformis,592,-26.24,1.46,4.233962264
Eucalyptus paludicola,69,-28.10,1.30,3.788840263
Eucalyptus paniculata,639,-28.37,1.26,4.602582605
Eucalyptus parramattensis,641,-28.79,1.08,4.869854083
Eucalyptus pauciflora,476,-27.59,1.53,4.502529589
Eucalyptus peninsularis,948,-28.66,0.89,2.334781333
Eucalyptus perangusta,148,-26.66,0.95,2.72176007
Eucalyptus percostata,1603,-28.64,0.99,2.492545943
Eucalyptus persistens,1291,-28.77,0.89,3.679143135
Eucalyptus petiolaris,945,-26.24,1.65,4.453155498
Eucalyptus petrea,339,-26.95,1.33,3.281527224
Eucalyptus petrensis,248,-27.53,0.95,3.373851852
Eucalyptus phaenophylla,235,-26.73,0.84,2.313742621
Eucalyptus phenax,929,-28.26,0.91,2.350946266
Eucalyptus pilbarensis,1189,-27.41,1.00,3.243555873
Eucalyptus pileata,191,-28.00,1.26,2.961074271
Eucalyptus pimpiniana,110,-29.01,1.03,2.090014542
Eucalyptus piperita,610,-29.17,1.23,4.343944287
Eucalyptus planchoniana,663,-23.84,0.91,3.952532283
Eucalyptus planipes,131,-28.90,1.11,2.567087415
Eucalyptus platydisca,133,-26.28,0.89,2.501805907
Eucalyptus platypus,208,-26.68,1.03,2.328537408
Eucalyptus pleurocarpa,154,-27.06,0.93,2.794750245
Eucalyptus pleurocorys,553,-26.91,1.03,2.927446883
Eucalyptus pluricaulis,210,-27.53,0.74,2.675167785
Eucalyptus polyanthemos,457,-29.27,1.27,5.426082231
Eucalyptus polyanthemos,742,-29.00,1.41,4.575913174
Eucalyptus polybractea,736,-28.62,1.23,3.482870864
Eucalyptus populnea,679,-27.28,1.20,4.991278807
Eucalyptus porosa,482,-28.31,1.77,3.88192006
Eucalyptus praetermissa,213,-27.01,0.76,3.373017446
Eucalyptus prava,671,-27.87,1.71,5.326212687
Eucalyptus preissiana,179,-27.88,0.78,2.589307115
Eucalyptus prominens,1181,-26.42,1.16,3.105848861
Eucalyptus propinqua,1239,-28.11,1.52,7.139702848
Eucalyptus protensa,126,-27.39,1.11,7.416537232
Eucalyptus pruiniramis,284,-24.96,0.91,2.495434696
Eucalyptus pruinosa,1329,-28.25,1.46,3.810335147
Eucalyptus psammatica,664,-29.33,1.12,5.524255233
Eucalyptus pterocarpa,137,-25.78,0.79,2.494388489
Eucalyptus pulverulenta,1226,-28.60,1.26,4.280254966
Eucalyptus pumila,636,-26.30,1.00,3.368809409
Eucalyptus punctata,612,-28.37,1.23,5.488625226
Eucalyptus pyriformis,1660,-28.24,0.84,2.510130899
Eucalyptus quadrangulata,618,-27.91,1.44,5.561184825
Eucalyptus quadrans,1099,-28.37,1.25,3.260754248
Eucalyptus quaerenda,237,-26.64,1.05,2.404664179
Eucalyptus racemosa,718,-27.19,1.00,5.630368938
Eucalyptus ravida,134,-27.54,1.17,2.661644913
Eucalyptus recta,294,-25.89,0.81,2.808443709
Eucalyptus redimulicifera,551,-28.17,0.89,2.621969428
Eucalyptus reducta,1300,-28.33,0.97,4.798805065
Eucalyptus redunca,221,-27.96,1.34,3.566199935
Eucalyptus remota,812,-28.52,0.98,3.583875257
Eucalyptus repullulans,1188,-27.72,1.26,2.445732115
Eucalyptus resinifera,642,-29.01,1.45,4.512539936
Eucalyptus rhodantha,282,-27.68,0.63,2.664298217
Eucalyptus rigens,157,-27.45,0.82,2.329794661
Eucalyptus rigidula,244,-27.18,1.28,2.830041152
Eucalyptus robusta,638,-28.59,1.29,4.743616879
Eucalyptus rosacea,518,-26.60,1.54,3.818918919
Eucalyptus rossii,781,-27.62,1.12,4.496307852
Eucalyptus roycei,1175,-27.59,0.97,2.615819113
Eucalyptus rudis,1146,-27.78,1.71,6.158307308
Eucalyptus salicola,527,-28.86,1.43,3.563893016
Eucalyptus saligna,705,-27.27,1.48,6.566365366
Eucalyptus scias,600,-27.23,1.34,4.289052658
Eucalyptus scyphocalyx,1105,-27.96,0.93,2.662677208
Eucalyptus selachiana,1176,-26.07,1.50,3.398110777
Eucalyptus semiglobosa,177,-27.52,1.03,2.709315432
Eucalyptus sepulcralis,1635,-25.96,1.24,3.27983871
Eucalyptus sessilis,1352,-28.67,0.95,2.692027537
Eucalyptus sheathiana,302,-28.87,1.19,3.311822985
Eucalyptus shirleyi,1292,-28.25,0.75,3.806718624
Eucalyptus siderophloia,717,-30.89,1.17,5.563082437
Eucalyptus sieberi,1749,-28.57,0.88,3.418510858
Eucalyptus smithii,598,-28.88,1.58,5.359339623
Eucalyptus socialis,928,-26.38,1.14,3.303056588
Eucalyptus sparsa,427,-26.02,1.59,3.191277843
Eucalyptus sparsifolia,629,-26.04,0.66,2.733724287
Eucalyptus spathulata,234,-26.15,1.05,2.874725823
Eucalyptus splendens,1800,-27.42,2.02,5.817192601
Eucalyptus sporadica,1122,-27.60,0.70,2.662443546
Eucalyptus spreta,122,-26.66,1.12,2.581187393
Eucalyptus staeri,1133,-27.24,0.70,3.272983222
Eucalyptus steedmanii ,317,-27.34,0.91,2.987112031
Eucalyptus stellulata,582,-27.11,1.63,4.84749634
Eucalyptus stoatei,181,-28.16,0.70,1.880386451
Eucalyptus stowardii,281,-26.24,1.02,3.219938462
Eucalyptus stricklandii,344,-25.80,0.93,2.373383003
Eucalyptus subangusta,278,-27.45,1.27,3.970555362
Eucalyptus subtilis,140,-26.22,1.17,2.755890228
Eucalyptus suggrandis,311,-26.29,1.16,2.430970315
Eucalyptus surgens,558,-28.32,1.19,2.854414241
Eucalyptus synandra,297,-27.89,1.67,3.524300144
Eucalyptus talyuberlup,228,-27.76,1.31,4.144054829
Eucalyptus tenella,763,-27.37,0.96,3.57451286
Eucalyptus tenuis,326,-27.42,0.88,2.485945382
Eucalyptus tephroclada,314,-27.98,1.44,3.045484848
Eucalyptus tephroides,1194,,,3.578333057
Eucalyptus terebra,117,-27.36,0.90,2.622001911
Eucalyptus tereticornis,713,-28.21,1.20,5.275463045
Eucalyptus tetrapleura,1242,-29.16,0.90,3.315336788
Eucalyptus tetraptera,180,-24.88,0.73,1.702834696
Eucalyptus todtiana,247,-26.46,2.03,4.474765126
Eucalyptus torquata,135,-27.72,0.88,2.712756662
Eucalyptus tortilis,130,-26.63,1.01,2.856716418
Eucalyptus trachybasis,330,-29.79,1.04,2.986427337
Eucalyptus transcontinentalis,550,-27.15,1.23,2.690780731
Eucalyptus triflora,606,-25.82,0.87,3.077829727
Eucalyptus trivalvis,529,-26.22,1.18,3.127224786
Eucalyptus tumida,159,-27.33,0.76,2.339764622
Eucalyptus ultimata,1182,-28.00,1.42,3.230176107
Eucalyptus uncinata,195,-26.81,1.00,2.545392491
Eucalyptus urna,1817,-28.89,0.80,2.76390472
Eucalyptus utilis,215,-26.49,0.82,2.858450351
Eucalyptus valens,158,-26.96,0.98,2.283223714
Eucalyptus varia,163,-26.68,1.52,3.968307692
Eucalyptus vegrandis,207,-25.81,1.08,2.672039349
Eucalyptus verrucata,455,-26.02,0.79,2.589982208
Eucalyptus vicina,728,-27.78,1.71,4.10015932
Eucalyptus victoriana,358,-28.17,0.67,2.943999609
Eucalyptus victrix,1178,-29.38,1.02,3.68628877
Eucalyptus viminalis,941,-29.05,1.54,5.408271109
Eucalyptus viridis,729,-27.45,1.25,3.150172811
Eucalyptus wandoo,230,-28.15,0.98,4.186942149
Eucalyptus websteriana,138,-28.08,1.02,2.783570532
Eucalyptus williamsiana,660,-27.77,0.88,2.95250533
Eucalyptus wimmerensis,1590,-29.26,1.10,3.088274989
Eucalyptus woodwardii,340,-27.82,1.27,2.70841022
Eucalyptus wyolensis,112,-28.56,0.79,2.741137063
Eucalyptus xanthonema,202,-28.94,1.04,3.884168865
Eucalyptus xerothermica,541,-29.27,1.10,3.074889965
Eucalyptus yalatensis,950,-28.98,0.90,2.710315696
Eucalyptus yilgarnensis,1566,-28.56,1.41,3.460300136
Eucalyptus youngiana,523,-26.44,0.76,2.165172675
Eucalyptus yumbarrana,1078,-28.02,0.90,2.072034926
Eucalyptus zopherophloia,267,-26.89,1.29,4.132043531
