Owner,Reference,AW_NEWSiteName,Site,site_name,Elevation,Latitude,Longitude,Species,ID,Asat_area (micromol/m2/s),gsw (mol/m2/s),Ci,Ca,CiCa ratio,Tleaf,LMA_gm2,SLA (cm2/g),Asat_mass (nmol/g/s),Rd_area (micromol/m2/s),Rd_mass (nmol/g/s),Nmass (%),Narea (g/m2),Pmass (%),LeafP_mass,Parea (g/m2)
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Atherton,atherton,Atherton,,-17.609964,145.766577,Acronychia acidula,AcrAci1,9.930,150.200,269.500,396.324,0.680,24.800,107.538,92.990,110.900,0.480,5.390,2.590,2.171,0.573,5.726,0.480
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Atherton,walktrack,Atherton-walktrack,,-17.277014,145.461965,Aleurites rockinghamensis,AleRoc6,7.710,66.600,193.750,395.408,0.490,25.000,168.549,59.330,58.300,1.290,9.800,1.938,2.179,0.135,1.350,0.152
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Atherton,atherton,Atherton,,-17.609964,145.766577,Aleurites rockinghamensis,AleRoc2,12.090,197.700,273.170,401.721,0.680,24.700,102.501,97.560,147.300,2.300,28.040,1.938,2.179,0.135,1.350,0.152
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Atherton,atherton,Atherton,,-17.609964,145.766577,Aleurites rockinghamensis,AleRoc1,14.850,172.000,225.650,395.877,0.570,25.200,170.561,58.630,102.200,1.730,11.870,1.938,2.179,0.135,1.350,0.152
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Robson Creek,robcreek,Robson Creek,,-17.1210833,145.6308833,Aleurites rockinghamensis,AleRoc4,7.000,50.000,157.500,403.846,0.390,25.100,99.990,100.010,78.700,1.420,15.980,1.938,2.179,0.135,1.350,0.152
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Robson Creek,robcreek,Robson Creek,,-17.1210833,145.6308833,Aleurites rockinghamensis,AleRoc5,8.360,85.800,221.370,402.491,0.550,25.100,111.272,89.870,86.200,0.860,8.850,1.938,2.179,0.135,1.350,0.152
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Robson Creek,robcreek,Robson Creek,,-17.1210833,145.6308833,Aleurites rockinghamensis,AleRoc3,10.620,87.500,180.360,400.800,0.450,25.700,135.630,73.730,96.500,0.900,8.180,1.938,2.179,0.135,1.350,0.152
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Atherton,walktrack,Atherton-walktrack,,-17.277014,145.461965,Alphitonia petriei,AlpPet5,9.840,89.100,200.130,400.260,0.500,24.700,98.058,101.980,118.000,0.840,10.100,2.002,2.975,0.127,1.266,0.188
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Atherton,walktrack,Atherton-walktrack,,-17.277014,145.461965,Alphitonia petriei,AlpPet4,17.930,242.300,242.320,397.246,0.610,25.400,120.048,83.300,174.900,1.260,12.310,2.002,2.975,0.127,1.266,0.188
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Robson Creek,robcreek,Robson Creek,,-17.1210833,145.6308833,Alphitonia petriei,AlpPet1,12.780,114.900,192.340,400.708,0.480,25.400,125.360,79.770,112.100,1.670,14.670,2.002,2.975,0.127,1.266,0.188
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Robson Creek,robcreek,Robson Creek,,-17.1210833,145.6308833,Alphitonia petriei,AlpPet3,17.960,279.000,258.760,398.092,0.650,24.700,109.842,91.040,174.400,0.940,9.100,2.002,2.975,0.127,1.266,0.188
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Robson Creek,robcreek,Robson Creek,,-17.1210833,145.6308833,Alphitonia petriei,AlpPet2,18.360,207.000,219.850,399.727,0.550,25.100,132.135,75.680,146.600,1.430,11.440,2.002,2.975,0.127,1.266,0.188
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Alstonia scholaris,AlsSch3,12.550,166.100,250.960,398.349,0.630,25.700,123.701,80.840,117.500,0.560,5.230,2.546,2.728,0.116,1.158,0.124
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Alstonia scholaris,AlsSch4,12.940,277.000,296.400,400.541,0.740,25.800,131.735,75.910,91.300,0.840,5.900,2.546,2.728,0.116,1.158,0.124
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Alstonia scholaris,AlsSch5,13.630,280.400,292.600,400.822,0.730,25.000,97.694,102.360,169.400,0.750,9.300,2.546,2.728,0.116,1.158,0.124
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Alstonia scholaris,AlsSch1,15.440,226.700,257.730,402.703,0.640,26.200,113.546,88.070,145.400,0.680,6.440,2.546,2.728,0.116,1.158,0.124
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Alstonia scholaris,AlsSch2,,,,,,27.300,121.168,82.530,,1.240,12.110,2.546,2.728,0.116,1.158,0.124
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Argyrodendron peralatum,ArgPer5,8.200,73.900,200.740,401.480,0.500,27.000,207.900,48.100,45.600,0.450,2.530,1.322,3.287,0.074,0.740,0.184
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Argyrodendron peralatum,ArgPer3,8.830,150.900,284.050,400.070,0.710,25.300,174.764,57.220,64.000,0.830,6.010,1.322,3.287,0.074,0.740,0.184
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Argyrodendron peralatum,ArgPer2,8.850,92.900,224.200,400.357,0.560,27.000,158.957,62.910,62.200,0.410,2.860,1.322,3.287,0.074,0.740,0.184
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Argyrodendron peralatum,ArgPer1,13.170,205.400,265.580,396.388,0.670,25.500,222.469,44.950,64.100,1.020,4.980,1.322,3.287,0.074,0.740,0.184
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Argyrodendron peralatum,ArgPer4,13.810,305.800,297.190,401.608,0.740,26.400,187.196,53.420,78.800,0.820,4.650,1.322,3.287,0.074,0.740,0.184
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Brombya platynema,BroPla3,7.950,128.200,280.580,400.829,0.700,25.000,91.971,108.730,94.700,0.700,8.350,2.148,2.285,0.089,0.892,0.095
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Brombya platynema,BroPla1,8.790,83.900,208.240,400.462,0.520,28.500,109.649,91.200,90.900,0.810,8.350,2.148,2.285,0.089,0.892,0.095
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Brombya platynema,BroPla5,10.090,187.500,290.520,397.973,0.730,25.000,110.840,90.220,103.100,0.690,7.020,2.148,2.285,0.089,0.892,0.095
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Brombya platynema,BroPla4,12.030,316.500,312.510,400.654,0.780,24.900,100.180,99.820,137.800,0.800,9.150,2.148,2.285,0.089,0.892,0.095
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Brombya platynema,BroPla2,13.770,488.800,324.290,400.358,0.810,25.000,107.828,92.740,139.100,0.800,8.110,2.148,2.285,0.089,0.892,0.095
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Cardwellia sublimis,CarSub4,10.370,136.600,253.150,401.825,0.630,26.500,156.006,64.100,83.900,0.720,5.830,1.490,2.134,0.068,0.682,0.098
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Cardwellia sublimis,CarSub1,12.010,705.400,345.230,401.430,0.860,24.900,129.820,77.030,111.900,0.860,8.020,1.490,2.134,0.068,0.682,0.098
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Cardwellia sublimis,CarSub5,12.040,276.200,301.850,397.171,0.760,25.100,119.646,83.580,115.400,0.860,8.200,1.490,2.134,0.068,0.682,0.098
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Cardwellia sublimis,CarSub3,14.430,345.500,302.640,403.520,0.750,25.800,129.216,77.390,130.700,0.970,8.820,1.490,2.134,0.068,0.682,0.098
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Cardwellia sublimis,CarSub2,,,,,,27.200,148.434,67.370,,0.540,4.570,1.490,2.134,0.068,0.682,0.098
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Castanospermum australe,CasAus5,5.880,56.800,217.690,403.130,0.540,24.900,122.609,81.560,56.800,0.620,5.940,2.592,3.557,0.146,1.464,0.201
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Castanospermum australe,CasAus1,7.640,60.300,174.340,396.227,0.440,29.400,109.325,91.470,73.400,0.880,8.420,2.592,3.557,0.146,1.464,0.201
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Castanospermum australe,CasAus3,11.070,137.800,245.070,401.754,0.610,25.900,95.021,105.240,140.700,0.610,7.690,2.592,3.557,0.146,1.464,0.201
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Castanospermum australe,CasAus2,17.200,288.300,267.360,399.045,0.670,27.100,94.940,105.330,217.200,1.170,14.710,2.592,3.557,0.146,1.464,0.201
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Castanospermum australe,CasAus4,17.230,295.000,269.250,401.866,0.670,25.900,136.575,73.220,144.400,0.970,8.100,2.592,3.557,0.146,1.464,0.201
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Cleistanthus myrianthus,CleMyr4,5.800,88.300,276.580,400.841,0.690,25.000,87.512,114.270,73.600,0.340,4.380,2.322,1.802,0.125,1.252,0.097
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Cleistanthus myrianthus,CleMyr5,6.330,78.000,251.910,399.857,0.630,25.900,96.015,104.150,74.500,0.330,3.940,2.322,1.802,0.125,1.252,0.097
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Cleistanthus myrianthus,CleMyr1,6.950,102.200,271.250,398.897,0.680,27.300,94.823,105.460,86.100,0.410,5.110,2.322,1.802,0.125,1.252,0.097
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Cleistanthus myrianthus,CleMyr3,9.830,153.800,272.460,400.676,0.680,27.300,78.722,127.030,148.800,0.470,7.090,2.322,1.802,0.125,1.252,0.097
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Cleistanthus myrianthus,CleMyr2,10.130,171.500,279.100,398.714,0.700,27.500,88.433,113.080,126.300,0.580,7.220,2.322,1.802,0.125,1.252,0.097
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Cryptocarya mackinnoniana,CryMac1,8.580,112.400,255.350,398.984,0.640,26.800,188.679,53.000,53.900,1.190,7.450,1.148,1.972,0.092,0.916,0.157
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Cryptocarya mackinnoniana,CryMac5,14.160,351.800,305.500,401.974,0.760,25.200,141.623,70.610,114.800,0.980,7.930,1.148,1.972,0.092,0.916,0.157
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Cryptocarya mackinnoniana,CryMac3,14.230,220.100,264.870,401.318,0.660,26.500,211.640,47.250,78.600,1.080,5.960,1.148,1.972,0.092,0.916,0.157
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Cryptocarya mackinnoniana,CryMac4,14.380,391.000,308.040,400.052,0.770,26.900,239.693,41.720,69.200,0.990,4.770,1.148,1.972,0.092,0.916,0.157
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Cryptocarya mackinnoniana,CryMac2,14.580,232.600,266.300,403.485,0.660,28.400,194.062,51.530,86.300,1.510,8.930,1.148,1.972,0.092,0.916,0.157
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Cryptocarya murrayi,CryMur3,10.480,125.000,238.530,397.550,0.600,27.900,218.531,45.760,52.900,1.230,6.220,1.258,1.942,0.090,0.900,0.139
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Cryptocarya murrayi,CryMur2,11.580,151.800,250.670,397.889,0.630,26.600,151.745,65.900,87.800,0.830,6.320,1.258,1.942,0.090,0.900,0.139
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Cryptocarya murrayi,CryMur5,11.920,220.000,287.040,398.667,0.720,24.900,130.073,76.880,106.000,0.500,4.470,1.258,1.942,0.090,0.900,0.139
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Cryptocarya murrayi,CryMur4,13.230,212.900,271.000,398.529,0.680,25.500,159.388,62.740,95.800,0.650,4.700,1.258,1.942,0.090,0.900,0.139
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Cryptocarya murrayi,CryMur1,16.860,212.900,237.070,401.814,0.590,26.800,175.623,56.940,112.100,0.510,3.410,1.258,1.942,0.090,0.900,0.139
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Endiandra leptodendron,EndLep4,4.550,50.600,240.800,401.333,0.600,25.000,93.906,106.490,51.300,0.390,4.350,2.106,2.228,0.113,1.132,0.120
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Endiandra leptodendron,EndLep3,7.400,81.700,234.200,396.949,0.590,26.900,100.381,99.620,81.600,0.440,4.850,2.106,2.228,0.113,1.132,0.120
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Endiandra leptodendron,EndLep2,8.280,137.200,281.430,402.043,0.700,26.600,81.940,122.040,117.300,0.380,5.450,2.106,2.228,0.113,1.132,0.120
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Endiandra leptodendron,EndLep5,10.110,214.700,300.220,400.293,0.750,24.800,109.769,91.100,100.400,0.730,7.220,2.106,2.228,0.113,1.132,0.120
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Endiandra leptodendron,EndLep1,12.620,235.200,284.470,400.662,0.710,27.800,125.865,79.450,117.300,0.740,6.860,2.106,2.228,0.113,1.132,0.120
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Atherton,walktrack,Atherton-walktrack,,-17.277014,145.461965,Gillbeea adenopetala,GilAde5,6.340,119.400,294.640,398.162,0.740,25.000,131.285,76.170,58.600,0.470,4.380,1.214,1.598,0.061,0.614,0.081
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Robson Creek,robcreek,Robson Creek,,-17.1210833,145.6308833,Gillbeea adenopetala,GilAde2,5.330,52.700,221.980,403.600,0.550,25.000,88.238,113.330,68.800,0.330,4.260,1.214,1.598,0.061,0.614,0.081
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Robson Creek,robcreek,Robson Creek,,-17.1210833,145.6308833,Gillbeea adenopetala,GilAde3,6.810,69.600,224.770,401.375,0.560,25.100,104.308,95.870,75.500,0.470,5.260,1.214,1.598,0.061,0.614,0.081
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Robson Creek,robcreek,Robson Creek,,-17.1210833,145.6308833,Gillbeea adenopetala,GilAde1,6.940,106.000,274.800,398.261,0.690,25.000,146.349,68.330,52.600,0.590,4.470,1.214,1.598,0.061,0.614,0.081
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Robson Creek,robcreek,Robson Creek,,-17.1210833,145.6308833,Gillbeea adenopetala,GilAde4,8.410,181.500,304.570,400.750,0.760,24.900,114.207,87.560,80.300,0.390,3.700,1.214,1.598,0.061,0.614,0.081
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Atherton,atherton,Atherton,,-17.609964,145.766577,Litsea leefeana,LitLee6,10.680,155.100,262.140,397.182,0.660,26.900,162.417,61.570,69.500,0.780,5.060,1.782,2.298,0.087,0.866,0.112
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Atherton,atherton,Atherton,,-17.609964,145.766577,Litsea leefeana,LitLee1a,10.860,159.500,263.370,399.045,0.660,25.600,112.625,88.790,112.400,0.520,5.390,1.782,2.298,0.087,0.866,0.112
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Litsea leefeana,LitLee3,9.970,113.600,234.240,403.862,0.580,27.300,150.670,66.370,79.900,0.530,4.260,1.782,2.298,0.087,0.866,0.112
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Litsea leefeana,LitLee4,10.220,146.000,261.600,402.462,0.650,27.300,103.370,96.740,99.400,0.460,4.500,1.782,2.298,0.087,0.866,0.112
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Litsea leefeana,LitLee1,12.900,264.700,291.120,398.795,0.730,26.800,143.513,69.680,103.200,0.620,4.960,1.782,2.298,0.087,0.866,0.112
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Litsea leefeana,LitLee2,14.220,256.800,280.580,400.829,0.700,25.400,141.343,70.750,117.900,0.380,3.190,1.782,2.298,0.087,0.866,0.112
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Atherton,atherton,Atherton,,-17.609964,145.766577,Neolitsea dealbata,NeoDea1a,6.540,59.200,202.950,397.941,0.510,25.800,110.963,90.120,63.800,0.540,5.270,1.594,1.479,0.098,0.984,0.091
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Atherton,atherton,Atherton,,-17.609964,145.766577,Neolitsea dealbata,NeoDea3,6.680,121.200,291.170,398.863,0.730,24.600,80.606,124.060,91.100,0.900,12.220,1.594,1.479,0.098,0.984,0.091
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Atherton,atherton,Atherton,,-17.609964,145.766577,Neolitsea dealbata,NeoDea2,9.720,97.700,216.210,400.389,0.540,25.100,147.319,67.880,67.900,0.810,5.660,1.594,1.479,0.098,0.984,0.091
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Robson Creek,robcreek,Robson Creek,,-17.1210833,145.6308833,Neolitsea dealbata,NeoDea4,3.670,20.100,94.710,394.625,0.240,25.700,110.047,90.870,35.200,0.280,2.710,1.594,1.479,0.098,0.984,0.091
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Robson Creek,robcreek,Robson Creek,,-17.1210833,145.6308833,Neolitsea dealbata,NeoDea6,5.240,51.100,218.320,396.945,0.550,25.000,103.530,96.590,58.200,0.240,2.640,1.594,1.479,0.098,0.984,0.091
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Robson Creek,robcreek,Robson Creek,,-17.1210833,145.6308833,Neolitsea dealbata,NeoDea5,6.140,101.300,283.690,399.563,0.710,25.400,99.661,100.340,69.200,0.820,9.210,1.594,1.479,0.098,0.984,0.091
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Robson Creek,robcreek,Robson Creek,,-17.1210833,145.6308833,Neolitsea dealbata,NeoDea5-older,7.460,86.300,241.060,401.767,0.600,24.600,117.178,85.340,71.700,0.390,3.710,1.594,1.479,0.098,0.984,0.091
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Rockinghamia angustifolia,RocAng4,2.050,21.400,236.360,400.610,0.590,25.300,102.891,97.190,24.300,0.510,6.030,1.678,1.804,0.081,0.810,0.087
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Rockinghamia angustifolia,RocAng2,3.020,37.900,257.630,402.547,0.640,27.000,,,,0.420,,1.678,1.804,0.081,0.810,0.087
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Rockinghamia angustifolia,RocAng2,5.860,64.900,236.390,400.661,0.590,27.500,109.290,91.500,63.400,0.480,5.200,1.678,1.804,0.081,0.810,0.087
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Rockinghamia angustifolia,RocAng1,8.160,134.600,279.970,399.957,0.700,26.800,109.182,91.590,88.300,0.580,6.290,1.678,1.804,0.081,0.810,0.087
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Rockinghamia angustifolia,RocAng4,9.830,175.300,285.110,401.563,0.710,27.100,114.482,87.350,98.700,0.820,8.260,1.678,1.804,0.081,0.810,0.087
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Syzygium sayeri,SyzSay4,4.500,53.800,248.480,400.774,0.620,26.700,125.219,79.860,37.600,0.920,7.670,1.612,2.093,0.081,0.808,0.105
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Cape Tribulation,capetrib,Cape Tribulation,,-16.10341667,145.4478833,Syzygium sayeri,SyzSay5,7.590,86.600,239.970,399.950,0.600,25.700,117.578,85.050,74.200,0.930,9.130,1.612,2.093,0.081,0.808,0.105
