Species,geology & topography,habitat,ecodistrict,plant_growth_form,Fire response,Post-fire recovery and flowering,Conservation Code,Primary Juvenile Period (months),Primary Juvenile Period -value 1,juvenile period value type 1,Primary Juvenile Period -value 2,juvenile period value type 2
Eucalyptus cornuta,Granite and fringing communities and gullies (Cape le Grand / Mt Arid Coastal hills),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,tree,RS ep,,,,,,,
Eucalyptus conferruminata,Granite and fringing communities and gullies (Cape le Grand / Mt Arid Coastal hills),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,tree,OSC,slow,,,,,,
Eucalyptus doratoxylon,Granite and fringing communities and gullies (Cape le Grand / Mt Arid Coastal hills),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,tree,RS ep,,,,,,,
Eycalyptus sweedmaniana,Granite and fringing communities and gullies (Cape le Grand / Mt Arid Coastal hills),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,tree,RS,,,,,,,
Eucalyptus utilis,Granite and fringing communities and gullies (Cape le Grand / Mt Arid Coastal hills),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,tree,OSC,slow,,,,,,
Acacia myrtifolia,Granite and fringing communities and gullies (Cape le Grand / Mt Arid Coastal hills),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,OSS,,,,,,,
Agonis baxteri,Granite and fringing communities and gullies (Cape le Grand / Mt Arid Coastal hills),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,RS,,,,,,,
Allocasuarina campestris,Granite and fringing communities and gullies (Cape le Grand / Mt Arid Coastal hills),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,?OSC,,,,,,,
Anthocercis viscosa subsp. caudata,Granite and fringing communities and gullies (Cape le Grand / Mt Arid Coastal hills),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,?OSS,,,,,,,
Banksia armata var. ignicida,Granite and fringing communities and gullies (Cape le Grand / Mt Arid Coastal hills),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,OSC,,,,,,,
Bossiaea dentata,Granite and fringing communities and gullies (Cape le Grand / Mt Arid Coastal hills),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,OSS,,,,,,,
Calothamnus quadrifidus,Granite and fringing communities and gullies (Cape le Grand / Mt Arid Coastal hills),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,RS,,,,,,,
Calothamnus villosus,Granite and fringing communities and gullies (Cape le Grand / Mt Arid Coastal hills),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,OSC,,,,,,,
Dillwynia pungens,Granite and fringing communities and gullies (Cape le Grand / Mt Arid Coastal hills),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,OSS,,,,,,,
Dodanaea ceratocarpa,Granite and fringing communities and gullies (Cape le Grand / Mt Arid Coastal hills),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,RS,,,,,,,
Dodanaea viscosa,Granite and fringing communities and gullies (Cape le Grand / Mt Arid Coastal hills),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,OSS,,,,,,,
Eutaxia myrtifolia,Granite and fringing communities and gullies (Cape le Grand / Mt Arid Coastal hills),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,OSS,rapid,,,,,,
Gastrolobium bilobum,Granite and fringing communities and gullies (Cape le Grand / Mt Arid Coastal hills),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,OSS,rapid,,,,,,
Goodenia scapigera,Granite and fringing communities and gullies (Cape le Grand / Mt Arid Coastal hills),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,OSS,,,,,,,
Grevillea concinna subsp. concinna,Granite and fringing communities and gullies (Cape le Grand / Mt Arid Coastal hills),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,OSS,,,,,,,
Grevillea oligantha,Granite and fringing communities and gullies (Cape le Grand / Mt Arid Coastal hills),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,OSS,,,,,,,
Hakea clavata,Granite and fringing communities and gullies (Cape le Grand / Mt Arid Coastal hills),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,OSC,,,,,,,
Hakea drupaceae,Granite and fringing communities and gullies (Cape le Grand / Mt Arid Coastal hills),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,OSC,,,,,,,
Kunzea baxteri,Granite and fringing communities and gullies (Cape le Grand / Mt Arid Coastal hills),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,OSS,,,,,,,
Lambertia echinata subsp. echinata,Granite and fringing communities and gullies (Cape le Grand / Mt Arid Coastal hills),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,OSC,,,,,,,
Leptospermum sericeum,Granite and fringing communities and gullies (Cape le Grand / Mt Arid Coastal hills),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,?OSC,,,,,,,
Leucopogon interruptus,Granite and fringing communities and gullies (Cape le Grand / Mt Arid Coastal hills),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,OSS,,,,,,,
Melaleuca elliptica,Granite and fringing communities and gullies (Cape le Grand / Mt Arid Coastal hills),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,RS/OSC,medium,,,,,,
Melaleuca fulgens,Granite and fringing communities and gullies (Cape le Grand / Mt Arid Coastal hills),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,RS,,,,,,,
Melaleuca globiferra,Granite and fringing communities and gullies (Cape le Grand / Mt Arid Coastal hills),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,R/OSC,,,,,,,
Mirbelia dilatata,Granite and fringing communities and gullies (Cape le Grand / Mt Arid Coastal hills),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,OSS,rapid,,,,,,
Taxandria callistachys,Granite and fringing communities and gullies (Cape le Grand / Mt Arid Coastal hills),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,,,,,,,,
Taxandria marginata,Granite and fringing communities and gullies (Cape le Grand / Mt Arid Coastal hills),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,RS/OSC,,,,,,,
Thryptomene australis,Granite and fringing communities and gullies (Cape le Grand / Mt Arid Coastal hills),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,OSC,,,,,,,
Anigozanthos gabrielae,Granite and fringing communities and gullies (Cape le Grand / Mt Arid Coastal hills),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,herb,Annual,rapid,,,,,,
Eucalyptus cornuta,"Mt Lindesay-Little Lindesay Granite Complex TEC (and Mt Frankland, Mt Roe, Soho Hills, un-named hills)",Shrublands,Albany Fraser Inland West,tree,RS ep,,,,,,,
Eucalyptus virgineae,"Mt Lindesay-Little Lindesay Granite Complex TEC (and Mt Frankland, Mt Roe, Soho Hills, un-named hills)",Shrublands,Albany Fraser Inland West,tree,RS,,,,,,,
Eucalyptus megacarpa,"Mt Lindesay-Little Lindesay Granite Complex TEC (and Mt Frankland, Mt Roe, Soho Hills, un-named hills)",Shrublands,Albany Fraser Inland West,tree,RS ep/OSC,,,,,,,
Acacia sulcata subsp. sulcata,"Mt Lindesay-Little Lindesay Granite Complex TEC (and Mt Frankland, Mt Roe, Soho Hills, un-named hills)",Shrublands,Albany Fraser Inland West,shrub,OSS,,,,,,,
Andersonia hammerslyeana,"Mt Lindesay-Little Lindesay Granite Complex TEC (and Mt Frankland, Mt Roe, Soho Hills, un-named hills)",Shrublands,Albany Fraser Inland West,shrub,OSS,medium,,,,,,
Andersonia sprengelioides,"Mt Lindesay-Little Lindesay Granite Complex TEC (and Mt Frankland, Mt Roe, Soho Hills, un-named hills)",Shrublands,Albany Fraser Inland West,shrub,OSS,rapid,,,,,,
Andersonia setifolia,"Mt Lindesay-Little Lindesay Granite Complex TEC (and Mt Frankland, Mt Roe, Soho Hills, un-named hills)",Shrublands,Albany Fraser Inland West,shrub,OSS,,,,,,,
Andersonia virolens,"Mt Lindesay-Little Lindesay Granite Complex TEC (and Mt Frankland, Mt Roe, Soho Hills, un-named hills)",Shrublands,Albany Fraser Inland West,shrub,OSS,rapid,,,,,,
Banksia formosa,"Mt Lindesay-Little Lindesay Granite Complex TEC (and Mt Frankland, Mt Roe, Soho Hills, un-named hills)",Shrublands,Albany Fraser Inland West,shrub,OSC,medium,,,,,,
Borya longioscapa,"Mt Lindesay-Little Lindesay Granite Complex TEC (and Mt Frankland, Mt Roe, Soho Hills, un-named hills)",Shrublands,Albany Fraser Inland West,shrub,RS/OSS,,,,,,,
Cryptandra congesta,"Mt Lindesay-Little Lindesay Granite Complex TEC (and Mt Frankland, Mt Roe, Soho Hills, un-named hills)",Shrublands,Albany Fraser Inland West,shrub,,,,,,,,
Grevillea fuscolutea,"Mt Lindesay-Little Lindesay Granite Complex TEC (and Mt Frankland, Mt Roe, Soho Hills, un-named hills)",Shrublands,Albany Fraser Inland West,shrub,OSS,,,,,,,
Calothamnus quadrifidus,"Mt Lindesay-Little Lindesay Granite Complex TEC (and Mt Frankland, Mt Roe, Soho Hills, un-named hills)",Shrublands,Albany Fraser Inland West,shrub,RS,,,,,,,
Calothamnus sp. Mt Lindesay,"Mt Lindesay-Little Lindesay Granite Complex TEC (and Mt Frankland, Mt Roe, Soho Hills, un-named hills)",Shrublands,Albany Fraser Inland West,shrub,RS/OSC,medium - slow,,,,,,
Calytrix sp. Esperance,"Mt Lindesay-Little Lindesay Granite Complex TEC (and Mt Frankland, Mt Roe, Soho Hills, un-named hills)",Shrublands,Albany Fraser Inland West,shrub,OSS,,,,,,,
Chamelaucium forrestii subsp. forrestii,"Mt Lindesay-Little Lindesay Granite Complex TEC (and Mt Frankland, Mt Roe, Soho Hills, un-named hills)",Shrublands,Albany Fraser Inland West,shrub,OSS,,,,,,,
Darwinia citriodora,"Mt Lindesay-Little Lindesay Granite Complex TEC (and Mt Frankland, Mt Roe, Soho Hills, un-named hills)",Shrublands,Albany Fraser Inland West,shrub,OSS,rapid,,,,,,
Dodanaea ceratocarpa,"Mt Lindesay-Little Lindesay Granite Complex TEC (and Mt Frankland, Mt Roe, Soho Hills, un-named hills)",Shrublands,Albany Fraser Inland West,shrub,RS,,,,,,,
Eutaxia myrtifolia,"Mt Lindesay-Little Lindesay Granite Complex TEC (and Mt Frankland, Mt Roe, Soho Hills, un-named hills)",Shrublands,Albany Fraser Inland West,shrub,OSS,rapid,,,,,,
Gastrolobium bilobum,"Mt Lindesay-Little Lindesay Granite Complex TEC (and Mt Frankland, Mt Roe, Soho Hills, un-named hills)",Shrublands,Albany Fraser Inland West,shrub,OSS,rapid,,,,,,
Gastrolobium brownii,"Mt Lindesay-Little Lindesay Granite Complex TEC (and Mt Frankland, Mt Roe, Soho Hills, un-named hills)",Shrublands,Albany Fraser Inland West,shrub,OSS,rapid,,,,,,
Gastrolobium coriaceum,"Mt Lindesay-Little Lindesay Granite Complex TEC (and Mt Frankland, Mt Roe, Soho Hills, un-named hills)",Shrublands,Albany Fraser Inland West,shrub,OSS,,,,,,,
Hemigena humilis,"Mt Lindesay-Little Lindesay Granite Complex TEC (and Mt Frankland, Mt Roe, Soho Hills, un-named hills)",Shrublands,Albany Fraser Inland West,shrub,,,,,,,,
Hemigena podlyarina,"Mt Lindesay-Little Lindesay Granite Complex TEC (and Mt Frankland, Mt Roe, Soho Hills, un-named hills)",Shrublands,Albany Fraser Inland West,shrub,,,,,,,,
Isopogon formosus,"Mt Lindesay-Little Lindesay Granite Complex TEC (and Mt Frankland, Mt Roe, Soho Hills, un-named hills)",Shrublands,Albany Fraser Inland West,shrub,OSC,rapid to medium,,,,,,
Lasiopetalum sp. Denmark,"Mt Lindesay-Little Lindesay Granite Complex TEC (and Mt Frankland, Mt Roe, Soho Hills, un-named hills)",Shrublands,Albany Fraser Inland West,shrub,OSS,rapid to medium,,,,,,
Leucopogon sp. Southern granite,"Mt Lindesay-Little Lindesay Granite Complex TEC (and Mt Frankland, Mt Roe, Soho Hills, un-named hills)",Shrublands,Albany Fraser Inland West,shrub,,,,,,,,
Olearia paucidentata,"Mt Lindesay-Little Lindesay Granite Complex TEC (and Mt Frankland, Mt Roe, Soho Hills, un-named hills)",Shrublands,Albany Fraser Inland West,shrub,OSS,,,,,,,
Ricinocarpus glaucus,"Mt Lindesay-Little Lindesay Granite Complex TEC (and Mt Frankland, Mt Roe, Soho Hills, un-named hills)",Shrublands,Albany Fraser Inland West,shrub,OSS,rapid,,,,,,
Sphenotoma drummondii,"Mt Lindesay-Little Lindesay Granite Complex TEC (and Mt Frankland, Mt Roe, Soho Hills, un-named hills)",Shrublands,Albany Fraser Inland West,shrub,OSS,slow,,,,,,
Taxandria conspicua,"Mt Lindesay-Little Lindesay Granite Complex TEC (and Mt Frankland, Mt Roe, Soho Hills, un-named hills)",Shrublands,Albany Fraser Inland West,shrub,,,,,,,,
Taxandria marginata,"Mt Lindesay-Little Lindesay Granite Complex TEC (and Mt Frankland, Mt Roe, Soho Hills, un-named hills)",Shrublands,Albany Fraser Inland West,shrub,,,,,,,,
Thryptomene saxicola,"Mt Lindesay-Little Lindesay Granite Complex TEC (and Mt Frankland, Mt Roe, Soho Hills, un-named hills)",Shrublands,Albany Fraser Inland West,shrub,RS/OSC,,,,,,,
Verticordia endlicheriana var. angustifolia,"Mt Lindesay-Little Lindesay Granite Complex TEC (and Mt Frankland, Mt Roe, Soho Hills, un-named hills)",Shrublands,Albany Fraser Inland West,shrub,,,,,,,,
Verticordia plumosa,"Mt Lindesay-Little Lindesay Granite Complex TEC (and Mt Frankland, Mt Roe, Soho Hills, un-named hills)",Shrublands,Albany Fraser Inland West,shrub,OSS,,,,,,,
Laxamnnia grandiflora subsp. brendae,"Mt Lindesay-Little Lindesay Granite Complex TEC (and Mt Frankland, Mt Roe, Soho Hills, un-named hills)",Shrublands,Albany Fraser Inland West,herb,,,,,,,,
Asplenium aethiopicum,"Mt Lindesay-Little Lindesay Granite Complex TEC (and Mt Frankland, Mt Roe, Soho Hills, un-named hills)",Shrublands,Albany Fraser Inland West,fern,Fern,,,,,,,
Eucalyptus megacarpa,Porongurup Granite,Shrublands,Albany Fraser Inland West,tree,RS ep/OSC,,,,,,,
Eucalyptus cornuta,Porongurup Granite,Shrublands,Albany Fraser Inland West,tree,RS ep,,,,,,,
Acacia heteroclita subsp. valida,Porongurup Granite,Shrublands,Albany Fraser Inland West,shrub,OSS,,,,,,,
Asterolasia sp. Kalgan,Porongurup Granite,Shrublands,Albany Fraser Inland West,shrub,OSS,,,,,,,
Gastrolobium subcordatum,Porongurup Granite,Shrublands,Albany Fraser Inland West,shrub,OSS,,,,,,,
Hibbertia porongurupensis,Porongurup Granite,Shrublands,Albany Fraser Inland West,shrub,OSS,,,,,,,
Sphenotoma drummondii,Porongurup Granite,Shrublands,Albany Fraser Inland West,shrub,OSS,slow,,,,,,
Taxandria marginata,Porongurup Granite,Shrublands,Albany Fraser Inland West,shrub,RS /OSC,,,,,,,
Thryptomene saxicola,Porongurup Granite,Shrublands,Albany Fraser Inland West,shrub,RS/OSC,,,,,,,
Villarsia calthifolia,Porongurup Granite,Shrublands,Albany Fraser Inland West,shrub,OSS,rapid,,,,,,
Allocasuarina huegeliana,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,tree,OSC,slow,,,,,,
Eucalyptus lehmannii,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,mallee,RS,,,,,,,
Eucalyptus tetraptera,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,mallee,RS,,,,,,,
Acacia acuminata,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,OSS,medium to slow,,,,,,
Acacia bidentata,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,,,,,,,,
Acacia erinacea,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,,,,,,,,
Acacia fragilis,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,,,,,,,,
Acacia glaucissima,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,,,,,,,,
Acacia pinguiculosa subsp. teretifolia,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,OSS,,,,,,,
Acacia tryptycha,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,,,,,,,,
Allocasuarina campestris,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,OSC,,,,,,,
Allocasuarina scleroclada,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,RS,,,,,,,
Beaufortia schaueri,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,OSC,,,,,,,
Baeckea crassifolia subsp. icosandra,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,,,,,,,,
Banksia armata subsp. ignicida,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,OSS,,,,,,,
Boronia baeckeacea subsp. patula,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,,,,,,,,
Boronia sp..,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,,,,,,,,
Calothamnus quadrifidus,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,RS,,,,,,,
Calothamnus tuberosus,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,,,,,,,,
Chamelaucium ciliatum,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,,,,,,,,
Dodonaea ceratocarpa,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,RS,,,,,,,
Dodonaea caespitosa,"Granites outcrops, sheet granite and fringing communities - Mt Burdett, Mt Ridley, Mt Buraminya",Shrubland / Fringing Open Woodland,Albany Fraser Inland East,shrub,,,,,,,,
