species,SLA(mm2/mg),Height (cm),Leaf Size (mm2),Seed mass (mg),"GrowthForm 1=tree; 2=shrub; 3=subshrub; 4=forb; 5=grass; 8=fern; 10=climber; 11=orchid, epiphyte.","Seed Dispersal syndrome 1=unassisted; 2=ant (elaiosome); 3=vertebrate ingestion (fleshy); 4=adhesion (hooks etc); 5=wind (wing, pappus); 6=ballistic+ant; 7=ba llistic; 8=vertebrate.",plant_height_duplicate,seed_mass_duplicate,Height (cm)_filtered,Seed mass (mg)_filtered
Gahnia aspera,1.13,40,4267,27.6,4,1,NA,NA,40,27.6
Lagenifera stipitata,12.01,40,3000,0.4,4,1,Duplicate of Hughes_1992_177,NA,NA,0.4
Lomandra longifolia,5.56,40,6133,11.3,4,2,NA,NA,40,11.3
Patersonia sericea,3.36,40,900,1.5,4,2,Duplicate of Hughes_1992_068,NA,NA,1.5
Pterostylis cf nutans,40.33,40,NA,0,4,1,NA,NA,40,0
Ptilanthelium deusteum,2.7,40,200,NA,4,0,Duplicate of Hughes_1992_224,NA,NA,NA
Tetratheca ericifolia,7.96,40,67,2,3,2,Duplicate of Hughes_1992_427,NA,NA,2
Thysanotus juncifolius,3.1,40,NA,1,4,2,Duplicate of Hughes_1992_072,NA,NA,1
Thysanotus tuberosus,9.03,40,1500,2.1,4,2,Duplicate of Hughes_1992_073,NA,NA,2.1
Sowerbaea juncea,5.29,45,233,NA,4,1,NA,NA,45,NA
Bossiaea ensata,3.9,50,NA,17.2,2,2,Duplicate of Hughes_1992_410,NA,NA,17.2
Caleana major,24.66,50,427,0,4,1,NA,NA,50,0
Conospermum ellipticum,5.65,50,80,2.1,3,1,NA,NA,50,2.1
Conospermum ericifolium,4.52,50,6.7,2.3,3,1,NA,NA,50,2.3
Conospermum longifolium,5.52,50,400,4.7,3,1,NA,NA,50,4.7
Cyathochaeta diandra,2.78,50,500,5,4,1,NA,NA,50,5
Darwinia grandiflora,8.03,50,6.5,4.4,2,1,NA,NA,50,4.4
Dianella cerulea,4.23,50,1867,6.8,4,3,Duplicate of Barlow_1981_1151,NA,NA,6.8
Gonocarpus teucrioides,10.33,50,21,1.1,4,1,NA,NA,50,1.1
Hemigenia purpurea,6.14,50,8.8,1,3,2,NA,NA,50,1
Hibbertia empetrifolia,8.37,50,75,3.8,3,2,NA,NA,50,3.8
Hibbertia serpyllifolia,6.94,50,2.7,1.5,3,2,NA,NA,50,1.5
Hybanthus monopetalus,10.07,50,47,1.2,4,2,NA,NA,50,1.2
Hybanthus vernonii,10.78,50,33,3.5,4,2,NA,NA,50,3.5
Lepidosperma sp.,8.63,50,NA,9.3,4,2,NA,NA,50,9.3
Leucopogon amplexicaulis,7.09,50,114,4.9,3,0,NA,NA,50,4.9
Leucopogon appressus,6.56,50,13,0.6,3,2,NA,NA,50,0.6
Leucopogon juniperinus,7.57,50,3.8,7.2,3,0,NA,NA,50,7.2
Lomandra confertifolia,1.74,50,229,17.5,4,2,NA,NA,50,17.5
Lomandra gracilis,2.95,50,600,14.6,4,2,NA,NA,50,14.6
Lomandra obliqua,7.36,50,60,3.9,4,2,NA,NA,50,3.9
Orchidaceae sp.,NA,50,NA,0,4,1,NA,NA,50,0
Oxalis chnoodes,NA,50,NA,0.3,4,7,NA,NA,50,0.3
Oxalis exilis,2.19,50,23,0.3,4,7,NA,NA,50,0.3
Phyllanthus thymoides,6.79,50,12,1.5,2,7,NA,NA,50,1.5
Pimelea latifolia,NA,50,51,4.5,2,2,NA,NA,50,4.5
Platysace stephensonii,10.72,50,180,0.4,3,2,NA,NA,50,0.4
Prasophyllum sp.,NA,50,NA,0,4,1,NA,NA,50,0
Pterostylis sp.,NA,50,NA,0,4,1,NA,NA,50,0
Restio dimorphus,15.89,50,NA,0.6,4,2,Duplicate of Hughes_1992_075,NA,NA,0.6
Restio fastigiatus,NA,50,NA,0.4,4,2,NA,NA,50,0.4
Rubus hillii,17.11,50,4270,0.8,3,3,NA,NA,50,0.8
Rubus parvifolius,24.33,50,NA,0.3,3,3,NA,NA,50,0.3
Scaevola ramosissima,7.28,50,82,21.1,4,2,NA,NA,50,21.1
Senecio bipinnatisectus,NA,50,NA,0.2,4,5,NA,NA,50,0.2
Senecio minimus,15.56,50,1000,0.2,4,5,NA,NA,50,0.2
Sigesbeckia orientalis,34,50,403,1.1,4,1,NA,NA,50,1.1
Stipa rudis,NA,50,NA,7.8,5,1,NA,NA,50,7.8
Tetrarrhena juncea,15.19,50,NA,3.8,5,1,Duplicate of GrassBase_2014_0949,NA,NA,3.8
Thelymitra ixioides,29.65,50,NA,0,4,1,NA,NA,50,0
Thelymitra sp.,NA,50,NA,0,4,1,NA,NA,50,0
Vernonia cinerea,12.03,50,333,0.3,4,5,Duplicate of Hughes_1992_176,NA,NA,0.3
Wahlenbergia sp.,NA,50,NA,0,4,1,Duplicate of Hughes_1992_145,NA,NA,0
Blandfordia nobilis,3.77,60,2000,2.8,4,1,Duplicate of Hughes_1992_040,NA,NA,2.8
Calochilus campestris,30.97,60,2940,0,4,1,NA,NA,60,0
Crowea saligna,4.62,60,4.8,11,3,6,NA,NA,60,11
Cryptandra amara,8.98,60,2,0.5,3,2,NA,NA,60,0.5
Cryptandra ericoides,NA,60,2.4,0.4,3,2,NA,NA,60,0.4
Cyperus tetraphyllus,12,60,1067,0.2,4,1,NA,NA,60,0.2
Dampiera stricta,5.96,60,133,5.7,3,2,Duplicate of Barlow_1981_1093,NA,NA,5.7
Echinopogon caespitosus,NA,60,360,0.7,5,1,Duplicate of Hughes_1992_086,NA,NA,0.7
Gymnostachys anceps,4.3,60,20000,228.6,4,3,NA,Duplicate of Leishman_1993_279,60,NA
Hibbertia riparia,6.8,60,10,1.4,2,2,Duplicate of Hughes_1992_460,NA,NA,1.4
Leucopogon esquamatus,8.63,60,30,6.4,2,2,Duplicate of Hughes_1992_451,NA,NA,6.4
Poa compressa,NA,60,200,0.3,5,1,NA,NA,60,0.3
Stackhousia viminea,5.94,60,20,2.6,4,1,Duplicate of Hughes_1992_272,NA,NA,2.6
Xanthosia pilosa,7.79,60,NA,1.5,2,2,Duplicate of Hughes_1992_188,NA,NA,1.5
Xyris gracilis,6.85,60,300,0.1,4,0,Duplicate of Hughes_1992_052,NA,NA,0.1
Zieria laevigata,5.57,60,60,3.1,2,6,Duplicate of Hughes_1992_364,NA,NA,3.1
Geranium homeanum,18.84,70,417,1.7,4,1,NA,NA,70,1.7
Tetratheca shiresii,5.45,70,NA,6.2,3,2,NA,NA,70,6.2
Caustis flexuosa,8.45,80,NA,10,4,1,Duplicate of Hughes_1992_255,NA,NA,10
Cryptostylis subulata,14,80,375,0,4,1,NA,NA,80,0
Entolasia stricta,3.16,80,200,1.6,5,1,Duplicate of GrassBase_2014_0429,NA,NA,1.6
Imperata cylindrica,10.65,80,3250,NA,5,5,Duplicate of Hughes_1992_112,NA,NA,NA
Leucopogon microphyllus,8.17,80,1,0.6,2,2,Duplicate of Hughes_1992_461,NA,NA,0.6
Dipodium cf punctatum,23.13,90,NA,0,4,1,NA,NA,90,0
Anisopogon avenaceus,3.09,100,100,54.4,5,1,NA,NA,100,54.4
Baeckea brevifolia,2.99,100,0.3,0.1,2,1,NA,NA,100,0.1
Baeckea diosmifolia,5.77,100,2,0,2,1,Duplicate of Hughes_1992_308,NA,NA,0
Baeckea imbricata,10.48,100,8.1,0,2,1,NA,NA,100,0
Baeckea ramosissima,5.87,100,3.7,0.2,2,2,NA,NA,100,0.2
Brachyloma daphnoides,5.09,100,16,2.9,1,3,Duplicate of Hughes_1992_459,NA,NA,2.9
Carex appressa,14.14,100,3600,1,4,1,NA,NA,100,1
Citriobatus pauciflorus,17.23,100,50,7.5,2,3,Duplicate of Hughes_1992_380,NA,NA,7.5
Comesperma volubile,13.2,100,82,1.6,10,5,NA,NA,100,1.6
Dillwynia rudis,4.11,100,13,3.1,2,2,NA,NA,100,3.1
Epacris microphylla,7.69,100,4.1,0,2,1,NA,NA,100,0
Eriostemon buxifolius,4.1,100,32,11.5,2,6,Duplicate of Hughes_1992_356,NA,NA,11.5
Gahnia melanocarpa,26.66,100,15000,4.2,4,1,NA,NA,100,4.2
Gompholobium grandiflorum,5.63,100,15,3.7,2,2,Duplicate of Hughes_1992_403,NA,NA,3.7
Goodenia ovata,16.76,100,408,0.7,4,2,Duplicate of Hughes_1992_317,NA,NA,0.7
Grevillea speciosa,6.52,100,133,27.4,2,2,NA,NA,100,27.4
Guioa semiglauca,10.72,100,960,27.2,1,3,NA,NA,100,27.2
Helichrysum elatum,25.45,100,2000,0.5,4,5,Duplicate of Hughes_1992_347,NA,NA,0.5
Hibbertia bracteata,9.21,100,93,3.7,3,2,Duplicate of Hughes_1992_455,NA,NA,3.7
Hibbertia cistiflora,7.04,100,8.3,NA,3,2,NA,NA,100,NA
Hibbertia nitida,9.39,100,74,3.4,2,2,NA,NA,100,3.4
Hovea linearis,7.51,100,120,18.9,2,2,Duplicate of Hughes_1992_423,NA,NA,18.9
Lepidosperma flexulosum,6.7,100,40,5,4,2,Duplicate of Hughes_1992_252,NA,NA,5
Lepidosperma laterale,2.51,100,1600,2.8,4,2,Duplicate of Hughes_1992_232,NA,NA,2.8
Leptocarpus tenax,26.29,100,NA,1.5,4,1,Duplicate of WAH_1998_3738,NA,NA,1.5
Lepyrodia scariosa,2.59,100,NA,0.2,4,1,Duplicate of Hughes_1992_042,NA,NA,0.2
Leucopogon lanceolatus,8.49,100,11,3.2,2,3,NA,NA,100,3.2
Microlaena stipoides,14.55,100,NA,6.4,5,1,NA,NA,100,6.4
Monotoca scoparia,4.59,100,7.2,1.5,2,3,Duplicate of Hughes_1992_400,NA,NA,1.5
Opercularia aspera,8.73,100,83,0.5,4,2,NA,NA,100,0.5
Paspalidium sp.,NA,100,550,0.7,5,1,NA,NA,100,0.7
Phyllota phylicoides,6.05,100,8.3,3,2,2,Duplicate of Hughes_1992_415,NA,NA,3
Pimelea linifolia,12.69,100,70,2.8,2,2,Duplicate of Hughes_1992_456,NA,NA,2.8
Platylobium formosum,10.67,100,327,5.3,2,2,Duplicate of Hughes_1992_405,NA,NA,5.3
Pultenaea elliptica,9.75,100,13,2.2,2,2,Duplicate of Hughes_1992_444,NA,NA,2.2
Pultenaea linophylla,7.82,100,20,7.3,2,2,NA,NA,100,7.3
Schoenus melanostachys,NA,100,NA,0.5,4,1,NA,NA,100,0.5
Styphelia tubiflora,5.36,100,7.7,20.2,2,0,Duplicate of Hughes_1992_446,Duplicate of Leishman_1993_237,NA,NA
Boronia ledifolia,5.36,150,40,9.1,2,6,NA,NA,150,9.1
Boronia pinnata,5.18,150,20,1.7,2,6,NA,NA,150,1.7
Boronia serrulata,7.23,150,40,0.9,2,6,NA,NA,150,0.9
Bossiaea heterophylla,7.03,150,30,15.5,2,2,NA,NA,150,15.5
Correa reflexa,7.11,150,167,10.3,2,6,NA,NA,150,10.3
Epacris obtusifolia,10.14,150,5,0,2,1,NA,NA,150,0
Glycine clandestina,40.81,150,117,4.2,10,1,NA,Duplicate of Kew_2019_1_06090,150,NA
Hibbertia dentata,12.6,150,620,6.9,10,2,NA,NA,150,6.9
Kunzea capitata,7.07,150,10,0.1,2,1,NA,NA,150,0.1
Lepidosperma urophorum,NA,150,NA,6,4,2,NA,NA,150,6
Lomatia silaifolia,5.3,150,NA,14,2,5,NA,NA,150,14
Macrozamia communis,3.53,150,NA,7473.9,2,3,NA,NA,150,7473.9
Morinda jasminoides,26.12,150,333,5.4,10,3,NA,NA,150,5.4
Persoonia laurina,7.22,150,1200,165.5,2,3,NA,NA,150,165.5
Philotheca salsifolia,4.86,150,4.3,7.5,2,6,NA,NA,150,7.5
Platysace linearifolia,7.68,150,20,0.6,2,2,Duplicate of Hughes_1992_453,NA,NA,0.6
Acacia suaveolens,4.02,200,560,28.5,2,2,NA,NA,200,28.5
Acacia ulicifolia,4.33,200,7.3,13.3,2,1,Duplicate of Hughes_1992_270,NA,NA,13.3
Aotus ericoides,5.4,200,5.4,3.6,2,2,NA,NA,200,3.6
Banksia oblongifolia,3.48,200,875,16.8,2,5,NA,NA,200,16.8
Banksia spinulosa,3.79,200,55,11.3,2,5,Duplicate of Hughes_1992_260,NA,NA,11.3
Bauera rubioides,10.88,200,8.5,0.4,2,2,Duplicate of Hughes_1992_424,NA,NA,0.4
Breynia oblongifolia,15.76,200,120,7.8,2,2,Duplicate of Hughes_1992_320,NA,NA,7.8
Calytrix tetragona,7.22,200,2,1.2,2,5,Duplicate of Hughes_1992_349,NA,NA,1.2
Caustis pentandra,4.34,200,NA,15.1,4,1,Duplicate of Hughes_1992_253,NA,NA,15.1
Cayratia clematidea,18.52,200,270,12.3,10,3,NA,NA,200,12.3
Cordyline stricta,NA,200,21330,6.6,2,3,NA,NA,200,6.6
Darwinia fascicularis,5.51,200,17,1.9,2,1,Duplicate of Hughes_1992_292,NA,NA,1.9
Empodisma minus,NA,200,NA,2.7,4,1,NA,NA,200,2.7
Epacris longiflora,7.36,200,24,0.1,2,1,NA,NA,200,0.1
Epacris pulchella,9.17,200,8.3,0.1,2,1,NA,NA,200,0.1
Eriostemon australasius,6.47,200,70,20.2,2,6,Duplicate of Hughes_1992_360,NA,NA,20.2
