source,site,date,plotid,plotid2,habitat,vegfamily,veggenus,vegspecies,fp,gf,po,fppo,gfpo,vrep,bugcode,buggroup,order,suborder,superfamily,family,subfamily,tribe,genus,species,size,bugnat,pol,her,hexu.a,hfol.a,hgram.a,hnec.a,hpal.a,hgran.a,hxyl.a,hfun.a,hexu.is,hfol.is,hgram.is,hnec.is,hpal.is,hgran.is,hxyl.is,hfun.is,pre,pre.a,pre.is,par,det,det.a,det.is,ela,collby,idby
sn,Fitzroy-Treasury Gardens,8/3/15,fit.m4,Midstorey09,Midstorey,Berberidaceae,Nandina ,Nandina domestica,Midstorey,Shrub,Nonnative,MidNon,ShuNon,12,hym056,Ants,Hymenoptera,Apocrita,Vespoidea,Formicidae,Dolichoderinae,,Linepithema,Linepithema humile,2.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,Luis Mata,Alan Andersen
sn,Royal Park,16/1/15,roy.m4,Midstorey18,Midstorey,Asteraceae,Ozothamnus,Ozothamnus ferrugineus,Midstorey,Shrub,Indigenous,MidInd,ShuInd,1,hym056,Ants,Hymenoptera,Apocrita,Vespoidea,Formicidae,Dolichoderinae,,Linepithema,Linepithema humile,2.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,Luis Mata,Alan Andersen
sn,Argyle Square,5/3/15,arg.m1,Midstorey01,Midstorey,Lamiaceae,Plectranthus ,Plectranthus argentatus,Midstorey,Forb,Native,MidNat,ForNat,3,hym056,Ants,Hymenoptera,Apocrita,Vespoidea,Formicidae,Dolichoderinae,,Linepithema,Linepithema humile,2.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,Luis Mata,Alan Andersen
sn,Carlton Gardens South,24/2/15,car.m1,Midstorey03,Midstorey,Lamiaceae,Plectranthus ,Plectranthus argentatus,Midstorey,Forb,Native,MidNat,ForNat,6,hym056,Ants,Hymenoptera,Apocrita,Vespoidea,Formicidae,Dolichoderinae,,Linepithema,Linepithema humile,2.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,Luis Mata,Alan Andersen
sn,Carlton Gardens South,24/2/15,car.m1,Midstorey03,Midstorey,Lamiaceae,Plectranthus ,Plectranthus argentatus,Midstorey,Forb,Native,MidNat,ForNat,6,hym056,Ants,Hymenoptera,Apocrita,Vespoidea,Formicidae,Dolichoderinae,,Linepithema,Linepithema humile,2.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,Luis Mata,Alan Andersen
sn,Princes Park,27/2/15,pri.g4,Grass04,Grass,Poaceae,Poa,Poa labillardierei,Midstorey,Graminoid,Indigenous,MidInd,GraInd,9,hym056,Ants,Hymenoptera,Apocrita,Vespoidea,Formicidae,Dolichoderinae,,Linepithema,Linepithema humile,2.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,Luis Mata,Alan Andersen
sn,Westgate Park,7/3/15,wes.g1,Grass14,Grass,Poaceae,Poa,Poa labillardierei,Midstorey,Graminoid,Indigenous,MidInd,GraInd,18,hym056,Ants,Hymenoptera,Apocrita,Vespoidea,Formicidae,Dolichoderinae,,Linepithema,Linepithema humile,2.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,Luis Mata,Alan Andersen
sn,Westgate Park,24/1/15,wes.g3,Grass16,Grass,Poaceae,Poa,Poa labillardierei,Midstorey,Graminoid,Indigenous,MidInd,GraInd,19,hym056,Ants,Hymenoptera,Apocrita,Vespoidea,Formicidae,Dolichoderinae,,Linepithema,Linepithema humile,2.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,Luis Mata,Alan Andersen
sn,Westgate Park,17/2/15,wes.g3,Grass16,Grass,Poaceae,Poa,Poa labillardierei,Midstorey,Graminoid,Indigenous,MidInd,GraInd,20,hym056,Ants,Hymenoptera,Apocrita,Vespoidea,Formicidae,Dolichoderinae,,Linepithema,Linepithema humile,2.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,Luis Mata,Alan Andersen
sn,Westgate Park,7/3/15,wes.g3,Grass16,Grass,Poaceae,Poa,Poa labillardierei,Midstorey,Graminoid,Indigenous,MidInd,GraInd,21,hym056,Ants,Hymenoptera,Apocrita,Vespoidea,Formicidae,Dolichoderinae,,Linepithema,Linepithema humile,2.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,Luis Mata,Alan Andersen
