year,remnant,site,quadrat,yrs,yrsq,family,genus,species,species.for.tree,count,mean.log.seed.mass,rem.scale.max.sqrt.height,rem.scale.mean.log.sla
2011,ben,1,5,2011.ben.1,2011.ben.1.5,Asteraceae,Brachyscome,Brachyscome.iberidifolia,Brachyscome_iberidifolia,2,-2.599345287,8.949556668,3.368078351
2011,ben,1,5,2011.ben.1,2011.ben.1.5,Portulacaceae,Calandrinia,Calandrinia.eremaea,Calandrinia_eremaea,5,-2.576246345,7.033742187,3.912882176
2011,ben,1,5,2011.ben.1,2011.ben.1.5,Asteraceae,Ceratogyne,Ceratogyne.obionoides,Ceratogyne_obionoides,3,-1.21116641,12.50966291,3.411716301
2011,ben,1,5,2011.ben.1,2011.ben.1.5,Goodeniaceae,Goodenia,Goodenia.berardiana,Goodenia_berardiana,7,0.869636285,14.2773937,3.341974053
2011,ben,1,5,2011.ben.1,2011.ben.1.5,Araliaceae,Hydrocotyle,Hydrocotyle.pilifera,Hydrocotyle_pilifera,2,-1.673765272,8.616205972,3.942557089
2011,ben,1,5,2011.ben.1,2011.ben.1.5,Campanulaceae,Lobelia,Lobelia.gibbosa,Lobelia_gibbosa,5,-4.605170186,17.21207815,3.695101846
2011,ben,1,5,2011.ben.1,2011.ben.1.5,Poaceae,Pentameris,Pentameris.airoides,Pentameris_airoides,16,-2.979790344,10.85365369,3.301269126
2011,ben,1,5,2011.ben.1,2011.ben.1.5,Asteraceae,Podolepis,Podolepis.canescens,Podolepis_canescens,4,-2.095968474,16.65781958,3.075599177
2011,ben,1,5,2011.ben.1,2011.ben.1.5,Asteraceae,Podotheca,Podotheca.gnaphalioides,Podotheca_gnaphalioides,4,-1.39503227,13.64176116,3.296509953
2011,ben,1,5,2011.ben.1,2011.ben.1.5,Asteraceae,Quinetia,Quinetia.urvillei,Quinetia_urvillei,1,-0.678258568,8.915388328,3.391479668
2011,ben,1,5,2011.ben.1,2011.ben.1.5,Araliaceae,Trachymene,Trachymene.cyanopetala,Trachymene_cyanopetala,6,0.886367463,11.19141061,3.444546993
2011,ben,1,5,2011.ben.1,2011.ben.1.5,Campanulaceae,Wahlenbergia,Wahlenbergia.gracilenta,Wahlenbergia_gracilenta,6,-4.856945492,15.1491758,3.60655901
2011,ben,1,5,2011.ben.1,2011.ben.1.5,Asteraceae,Waitzia,Waitzia.acuminata,Waitzia_acuminata,19,-2.509359171,17.62090321,3.123704477
2011,ben,1,6,2011.ben.1,2011.ben.1.6,Poaceae,Austrostipa,Austrostipa.elegantissima,Austrostipa_elegantissima,1,0.442105577,14.2294459,2.886838198
2011,ben,1,6,2011.ben.1,2011.ben.1.6,Asteraceae,Brachyscome,Brachyscome.iberidifolia,Brachyscome_iberidifolia,26,-2.599345287,8.949556668,3.368078351
2011,ben,1,6,2011.ben.1,2011.ben.1.6,Portulacaceae,Calandrinia,Calandrinia.eremaea,Calandrinia_eremaea,2,-2.576246345,7.033742187,3.912882176
2011,ben,1,6,2011.ben.1,2011.ben.1.6,Haloragaceae,Gonocarpus,Gonocarpus.nodulosus,Gonocarpus_nodulosus,2,-0.993117782,13.31319964,3.22396686
