taxon_name,entity_type,entity_context,location_name,trait,trait_value_raw,trait_value,trait_value_clean,value_type,unit,error_type,error_value,n,context,source_section,notes
Verticordia staminosa subsp. staminosa,population,,Wongan Hills population,flower_nectar_volume,2.3,,2.3,mean,µL/flower,SE,0.5,,"overnight nectar production, second night after anthesis","Results, Nectar production and flower visitors, p.194","Candidate trait, not in config/traits.yml. n=5 flowers x 3 plants"
Verticordia staminosa subsp. staminosa,population,,Wongan Hills population,flower_nectar_sugar_concentration,16.5,,16.5,mean,%,SE,1.2,,,"Results, Nectar production and flower visitors, p.194","Candidate trait, not in config/traits.yml. Percentage sucrose concentration measured with a Bellingham and Stanley hand-held refractometer"
Verticordia staminosa subsp. staminosa,population,,Wongan Hills population,flower_visitor_abundance,6.00,,6.00,mean,visitors/15 min,SE,2.00,,midday (13.00 h) census,"Results, Nectar production and flower visitors, p.194","Candidate trait, not in config/traits.yml. Animal abundance observed during 15-min censuses"
Verticordia staminosa subsp. staminosa,population,,Wongan Hills population,flower_visitor_abundance,0.33,,0.33,mean,visitors/15 min,SE,0.33,,early morning (09.00 h) census,"Results, Nectar production and flower visitors, p.194","Candidate trait, not in config/traits.yml"
Verticordia staminosa subsp. staminosa,population,,Wongan Hills population,flower_visitor_abundance,2.00,,2.00,mean,visitors/15 min,SE,2.00,,late afternoon (17.00 h) census,"Results, Nectar production and flower visitors, p.194","Candidate trait, not in config/traits.yml"
Verticordia staminosa subsp. staminosa,population,,Wongan Hills population,flower_count_maximum,810,,810,median,{count},,,20,"tagged plants, peak flowering June 1999, five subpopulations","Results, Rates of flowering, pollination and seed production, p.194",
Verticordia staminosa subsp. staminosa,population,,Wongan Hills population,flower_count_maximum,119,,119,minimum,{count},,,20,"tagged plants, peak flowering June 1999, five subpopulations","Results, Rates of flowering, pollination and seed production, p.194",
Verticordia staminosa subsp. staminosa,population,,Wongan Hills population,flower_count_maximum,4968,,4968,maximum,{count},,,20,"tagged plants, peak flowering June 1999, five subpopulations","Results, Rates of flowering, pollination and seed production, p.194",
Verticordia staminosa subsp. staminosa,population,,Wongan Hills population,seed_count,360,,360,median,{count},,,20,"tagged plants, 1999 flowering season, five subpopulations","Results, Rates of flowering, pollination and seed production, p.195",
Verticordia staminosa subsp. staminosa,population,,Wongan Hills population,seed_count,56,,56,minimum,{count},,,20,"tagged plants, 1999 flowering season, five subpopulations","Results, Rates of flowering, pollination and seed production, p.195",
Verticordia staminosa subsp. staminosa,population,,Wongan Hills population,seed_count,2186,,2186,maximum,{count},,,20,"tagged plants, 1999 flowering season, five subpopulations","Results, Rates of flowering, pollination and seed production, p.195",
Verticordia staminosa subsp. staminosa,population,,Wongan Hills population,proportion_fruit_with_viable_seed,34.9,,34.9,mean,%,SE,2.6,,"field-estimated across nine subpopulations, pooled across years","Results, Rates of flowering, pollination and seed production, p.195","Candidate trait, not in config/traits.yml. Also restated in Discussion (p.198) rounded to 35%, compared there with other subgenera/species (not extracted as those values are not attributed to a named taxon)"
Verticordia staminosa subsp. staminosa,population,,Wongan Hills population,subpopulation_size_class_proportion,50,,50,raw,% of subpopulations,,,,subpopulations with fewer than 10 individuals,"Results, Population structure, p.195-196","Candidate trait, not in config/traits.yml. Population comprises 49 subpopulations"
Verticordia staminosa subsp. staminosa,population,,Wongan Hills population,subpopulation_size_class_proportion,6,,6,raw,% of subpopulations,,,,subpopulations with more than 100 individuals,"Results, Population structure, p.195-196","Candidate trait, not in config/traits.yml"
Verticordia staminosa subsp. staminosa,population,,Wongan Hills population,plant_population_density,0.08-0.55,,0.08,minimum,plants/m2,,,,medium to large subpopulations (T-square method),"Results, Population structure, p.196","Candidate trait, not in config/traits.yml. Source states this as a single range ('0.08-0.55 plants m-2') rather than reporting separate minimum/maximum sampling results; split into minimum/maximum rows for consistency with how ranges are handled elsewhere in this file."
Verticordia staminosa subsp. staminosa,population,,Wongan Hills population,plant_population_density,0.08-0.55,,0.55,maximum,plants/m2,,,,medium to large subpopulations (T-square method),"Results, Population structure, p.196","Candidate trait, not in config/traits.yml. Source states this as a single range ('0.08-0.55 plants m-2') rather than reporting separate minimum/maximum sampling results; split into minimum/maximum rows for consistency with how ranges are handled elsewhere in this file."
Verticordia staminosa subsp. staminosa,population,,Wongan Hills population,plant_mortality_rate,only four deaths in the 404 tagged plants recorded over the 3 years,,4,raw,deaths/404 plants/3 years,,,404,"mature, tagged plants, 1999-2001","Discussion, p.196","Candidate trait, not in config/traits.yml"
Verticordia staminosa subsp. staminosa,population,,Wongan Hills population,seedling_emergence_timing,Seedling emergence occurred from mid winter (July) to spring (October) as long as there had been sufficient rain to provide consistent moist conditions for some weeks,,July-October,mode,,,,,,"Results, Seedling recruitment, p.195","Candidate trait, not in config/traits.yml"
Verticordia staminosa subsp. staminosa,population,,Wongan Hills population,seedling_survival_proportion,39,,39,raw,%,,,,"1999 germination cohort, growing in rock cracks, survival to 2000 (high rainfall year of emergence)","Results, Seedling recruitment, p.195","Candidate trait, not in config/traits.yml"
Verticordia staminosa subsp. staminosa,population,,Wongan Hills population,seedling_survival_proportion,3,,3,raw,%,,,,"1999 germination cohort, growing in shallow soil-filled depressions, survival to 2000","Results, Seedling recruitment, p.195","Candidate trait, not in config/traits.yml"
Verticordia staminosa subsp. staminosa,population,,Wongan Hills population,seedling_survival_proportion,4,,4,raw,%,,,,"2000 germination cohort, growing in rock cracks, survival to 2001","Results, Seedling recruitment, p.195","Candidate trait, not in config/traits.yml"
Verticordia staminosa subsp. staminosa,population,,Wongan Hills population,seedling_survival_proportion,0,,0,raw,%,,,,"2000 germination cohort, growing in shallow soil-filled depressions, survival to 2001","Results, Seedling recruitment, p.195","Candidate trait, not in config/traits.yml"
Verticordia staminosa subsp. staminosa,population,,Wongan Hills population,seedling_count_surviving,204,,204,raw,{count},,,,"1999 germination cohort, shallow soil; number surviving in 1999","Table 1, p.195","Candidate trait, not in config/traits.yml. Verbatim transcription of Table 1 (Seedling emergence and survival in two habitat types for 3 years)"
Verticordia staminosa subsp. staminosa,population,,Wongan Hills population,seedling_count_surviving,7,,7,raw,{count},,,,"1999 germination cohort, shallow soil; number surviving in 2000","Table 1, p.195","Candidate trait, not in config/traits.yml. Verbatim transcription of Table 1 (Seedling emergence and survival in two habitat types for 3 years)"
Verticordia staminosa subsp. staminosa,population,,Wongan Hills population,seedling_count_surviving,1,,1,raw,{count},,,,"1999 germination cohort, shallow soil; number surviving in 2001","Table 1, p.195","Candidate trait, not in config/traits.yml. Verbatim transcription of Table 1 (Seedling emergence and survival in two habitat types for 3 years)"
Verticordia staminosa subsp. staminosa,population,,Wongan Hills population,seedling_count_surviving,293,,293,raw,{count},,,,"1999 germination cohort, rock crack; number surviving in 1999","Table 1, p.195","Candidate trait, not in config/traits.yml. Verbatim transcription of Table 1 (Seedling emergence and survival in two habitat types for 3 years)"
Verticordia staminosa subsp. staminosa,population,,Wongan Hills population,seedling_count_surviving,115,,115,raw,{count},,,,"1999 germination cohort, rock crack; number surviving in 2000","Table 1, p.195","Candidate trait, not in config/traits.yml. Verbatim transcription of Table 1 (Seedling emergence and survival in two habitat types for 3 years)"
Verticordia staminosa subsp. staminosa,population,,Wongan Hills population,seedling_count_surviving,46,,46,raw,{count},,,,"1999 germination cohort, rock crack; number surviving in 2001","Table 1, p.195","Candidate trait, not in config/traits.yml. Verbatim transcription of Table 1 (Seedling emergence and survival in two habitat types for 3 years)"
Verticordia staminosa subsp. staminosa,population,,Wongan Hills population,seedling_count_surviving,98,,98,raw,{count},,,,"2000 germination cohort, shallow soil; number surviving in 2000","Table 1, p.195","Candidate trait, not in config/traits.yml. Verbatim transcription of Table 1 (Seedling emergence and survival in two habitat types for 3 years)"
Verticordia staminosa subsp. staminosa,population,,Wongan Hills population,seedling_count_surviving,0,,0,raw,{count},,,,"2000 germination cohort, shallow soil; number surviving in 2001","Table 1, p.195","Candidate trait, not in config/traits.yml. Verbatim transcription of Table 1 (Seedling emergence and survival in two habitat types for 3 years)"
Verticordia staminosa subsp. staminosa,population,,Wongan Hills population,seedling_count_surviving,52,,52,raw,{count},,,,"2000 germination cohort, rock crack; number surviving in 2000","Table 1, p.195","Candidate trait, not in config/traits.yml. Verbatim transcription of Table 1 (Seedling emergence and survival in two habitat types for 3 years)"
Verticordia staminosa subsp. staminosa,population,,Wongan Hills population,seedling_count_surviving,2,,2,raw,{count},,,,"2000 germination cohort, rock crack; number surviving in 2001","Table 1, p.195","Candidate trait, not in config/traits.yml. Verbatim transcription of Table 1 (Seedling emergence and survival in two habitat types for 3 years)"
Verticordia staminosa subsp. staminosa,population,,Wongan Hills population,seedling_count_surviving,39,,39,raw,{count},,,,"2001 germination cohort, shallow soil; number surviving in 2001","Table 1, p.195","Candidate trait, not in config/traits.yml. Verbatim transcription of Table 1 (Seedling emergence and survival in two habitat types for 3 years)"
Verticordia staminosa subsp. staminosa,population,,Wongan Hills population,seedling_count_surviving,21,,21,raw,{count},,,,"2001 germination cohort, rock crack; number surviving in 2001","Table 1, p.195","Candidate trait, not in config/traits.yml. Verbatim transcription of Table 1 (Seedling emergence and survival in two habitat types for 3 years)"
