Source,Lat,Lon,Location,Condition,Date,Year,Species,^1-O (Mpa),_w (Mpa),^1-tlp (Mpa),WD (mg mm-3),LA (cm2),LDM (g),SLA (cm2 mg-1),HV (m-4),_13C (a),NL (%)
Esperon-Rodriguez et al. In revision,-33.855733,150.995064,Parramatta,Street tree,May-19,2019,Lophostemon confertus,-2.33,-0.35,-2.56956,0.355495068,63.1547124,0.661,9.548588191,0.002358474,-26.77,1.4
Esperon-Rodriguez et al. In revision,-33.855733,150.995064,Parramatta,Street tree,May-19,2019,Lophostemon confertus,-2.73,-0.4,-2.90236,0.597866667,46.4644232,0.7933,5.405962425,0.0055508,-25.72,1.4
Esperon-Rodriguez et al. In revision,-33.855733,150.995064,Parramatta,Street tree,May-19,2019,Tristaniopsis laurina,-2.63,-0.2,-2.81916,0.619432581,28.8644584,0.4981,5.794912347,0.007816639,-26.3,0.9
Esperon-Rodriguez et al. In revision,-33.855733,150.995064,Parramatta,Street tree,May-19,2019,Tristaniopsis laurina,-2.27,-0.2,-2.51964,0.518151191,21.4128604,0.3412,6.27575041,0.008100336,-27.44,0.9
Esperon-Rodriguez et al. In revision,-33.855733,150.995064,Parramatta,Street tree,May-19,2019,Tristaniopsis laurina,-2.16,-0.3,-2.42812,0.624033886,33.516062,0.5366,6.246004845,0.003469086,-26.68,1.1
Esperon-Rodriguez et al. In revision,-33.855733,150.995064,Parramatta,Street tree,May-19,2019,Tristaniopsis laurina,-2.44,-0.27,-2.66108,0.614310894,29.2063932,0.6173,4.731312684,0.003828396,-28.79,1.1
Esperon-Rodriguez et al. In revision,-33.855733,150.995064,Parramatta,Street tree,May-19,2019,Tristaniopsis laurina,-2.43,-0.2,-2.65276,0.55129877,33.677352,0.6139,5.485804203,0.005275977,-29.09,1
Esperon-Rodriguez et al. In revision,-33.790006,150.676025,Penrith,Street tree,May-19,2019,Cupaniopsis anacardioides,-1.87,-0.3,-2.18684,0.68634241,59.19343,0.881,6.718891033,0.002712751,-27.77,1.7
Esperon-Rodriguez et al. In revision,-33.790006,150.676025,Penrith,Street tree,May-19,2019,Cupaniopsis anacardioides,-1.61,-0.2,-1.97052,0.727119385,58.4063348,0.875,6.675009691,0.002382901,-31.63,1.2
Esperon-Rodriguez et al. In revision,-33.790006,150.676025,Penrith,Street tree,May-19,2019,Cupaniopsis anacardioides,-1.65,-0.3,-2.0038,0.631605102,53.9482792,0.764,7.061293089,0.005730595,-30.91,1.2
Esperon-Rodriguez et al. In revision,-33.790006,150.676025,Penrith,Street tree,May-19,2019,Cupaniopsis anacardioides,-1.7,-0.27,-2.0454,0.702760173,45.6515216,0.718,6.358150641,0.004385158,-31.16,1.1
Esperon-Rodriguez et al. In revision,-33.790006,150.676025,Penrith,Street tree,May-19,2019,Cupaniopsis anacardioides,-1.82,-0.28,-2.14524,0.629821999,78.7224232,1.098,7.169619599,0.003061497,-31.34,1.2
Esperon-Rodriguez et al. In revision,-33.790006,150.676025,Penrith,Street tree,May-19,2019,Eucalyptus microcorys,-2.16,-0.2,-2.42812,0.623143351,57.1095632,0.857,6.663893022,0.002309911,-28.27,1.2
Esperon-Rodriguez et al. In revision,-33.790006,150.676025,Penrith,Street tree,May-19,2019,Eucalyptus microcorys,-1.98,-0.1,-2.27836,0.583771046,41.6321748,0.615,6.769459317,0.001092908,-27.93,1.3
Esperon-Rodriguez et al. In revision,-33.790006,150.676025,Penrith,Street tree,May-19,2019,Eucalyptus microcorys,-1.94,-0.15,-2.24508,0.613931417,46.9611964,0.65,7.224799446,0.00110629,-28.37,1.2
Esperon-Rodriguez et al. In revision,-33.790006,150.676025,Penrith,Street tree,May-19,2019,Eucalyptus microcorys,-1.81,-0.1,-2.13692,0.608488655,32.2192904,0.447,7.207894944,0.006025633,-28.61,1.3
Esperon-Rodriguez et al. In revision,-33.790006,150.676025,Penrith,Street tree,May-19,2019,Eucalyptus microcorys,-2.09,-0.3,-2.36988,0.567384106,39.3354052,0.502,7.835738088,0.004490751,-28.1,1.2
Esperon-Rodriguez et al. In revision,-33.790006,150.676025,Penrith,Street tree,May-19,2019,Lophostemon confertus,-2.61,-0.2,-2.80252,0.697148599,73.6321108,1.001,7.355855225,0.001091083,-27.78,0.9
Esperon-Rodriguez et al. In revision,-33.790006,150.676025,Penrith,Street tree,May-19,2019,Lophostemon confertus,-2.87,-0.25,-3.01884,0.657436384,98.2514164,1.296,7.581127809,0.002497967,-26.86,1
Esperon-Rodriguez et al. In revision,-33.790006,150.676025,Penrith,Street tree,May-19,2019,Lophostemon confertus,-2.55,-0.2,-2.7526,0.63487847,77.3611356,1.148,6.738774878,0.002059801,-27.07,1.2
Esperon-Rodriguez et al. In revision,-33.790006,150.676025,Penrith,Street tree,May-19,2019,Lophostemon confertus,-2.62,-0.5,-2.81084,0.633419231,76.354686,1.167,6.542817995,0.004513206,-25.73,1.2
Esperon-Rodriguez et al. In revision,-33.790006,150.676025,Penrith,Street tree,May-19,2019,Lophostemon confertus,-2.74,-0.4,-2.91068,0.713293288,50.8257048,0.755,6.73188143,0.001364331,-24.82,1.1
Esperon-Rodriguez et al. In revision,-33.790006,150.676025,Penrith,Street tree,May-19,2019,Tristaniopsis laurina,-2.32,-0.3,-2.56124,0.614294331,28.0128472,0.455,6.156669714,0.001575755,-28.02,1.2
Esperon-Rodriguez et al. In revision,-33.790006,150.676025,Penrith,Street tree,May-19,2019,Tristaniopsis laurina,-2.49,-0.22,-2.70268,0.589056269,37.4708928,0.528,7.09676,0.002721883,-28.32,1.2
Esperon-Rodriguez et al. In revision,-33.790006,150.676025,Penrith,Street tree,May-19,2019,Tristaniopsis laurina,-2.37,-0.2,-2.60284,0.628738364,26.7999464,0.46,5.826075304,0.002187494,-28.77,1
Esperon-Rodriguez et al. In revision,-33.790006,150.676025,Penrith,Street tree,May-19,2019,Tristaniopsis laurina,-2.3,-0.25,-2.5446,0.582216687,25.9870448,0.418,6.216996364,0.002985706,-29.33,0.9
,-33.790006,150.676025,Penrith,Street tree,May-19,2020,Tristaniopsis laurina,-2.47,-0.2,-2.68604,0.606541089,31.870904,0.475,6.709664,0.002870582,-28.32,1.2
