text,category,taxon
"B.R. Maslin, P.G. Kodela",Editor,Acacia adoxa
"B.R. Maslin (ed. June 2012); P.G. Kodela (ed. December 2017); A.E. Orchard (editorial assistance, January 2018)",Contributor,Acacia adoxa
M.D. Tindale & P.G. Kodela,Author,Acacia adsurgens
"B.R. Maslin, P.G. Kodela",Editor,Acacia adsurgens
"B.R. Maslin (ed. June 2012); A.E. Orchard (editorial assistance, January 2018); P.G. Kodela (ed. January 2018)",Contributor,Acacia adsurgens
"Michael Bedward, Stuart J. Davies, Clare Herscovitch, David A. Keith and David A. Morrison assisted with the preparation of Acacia treatments for the 'Flora of Australia' Volumes 11A & 11B (2001).",Acknowledgements,Acacia adsurgens
B.R. Maslin,Author,Acacia adunca
P.G. Kodela,Editor,Acacia adunca
"P.G. Kodela (ed. January 2018); A.E. Orchard (editorial assistance, January 2018)",Contributor,Acacia adunca
B.R. Maslin,Author,Acacia aemula subsp. aemula
P.G. Kodela & A.E. Orchard,Editor,Acacia aemula subsp. aemula
A.E. Orchard (ed. January 2018); P.G. Kodela (ed. January 2018),Contributor,Acacia aemula subsp. aemula
B.R. Maslin,Author,Acacia aemula subsp. muricata
P.G. Kodela & A.E. Orchard,Editor,Acacia aemula subsp. muricata
A.E. Orchard (ed. January 2018); P.G. Kodela (ed. January 2018),Contributor,Acacia aemula subsp. muricata
B.R. Maslin,Author,Acacia aemula
P.G. Kodela,Editor,Acacia aemula
"A.E. Orchard (editorial assistance, January 2018); P.G. Kodela (ed. January 2018)",Contributor,Acacia aemula
B.R. Maslin,Author,Acacia aestivalis
P.G. Kodela,Editor,Acacia aestivalis
"J. Rogers (minor edits, June 2012); P.G. Kodela (ed. January 2018, July 2018); A.E. Orchard (editorial assistance, January 2018)",Contributor,Acacia aestivalis
B.R. Maslin,Author,Acacia alata var. alata
P.G. Kodela,Editor,Acacia alata var. alata
"A.E. Orchard (editorial assistance, January 2018); P.G. Kodela (ed. January 2018)",Contributor,Acacia alata var. alata
B.R. Maslin,Author,Acacia alata var. biglandulosa
P.G. Kodela,Editor,Acacia alata var. biglandulosa
"A.E. Orchard (editorial assistance, January 2018); P.G. Kodela (ed. January 2018)",Contributor,Acacia alata var. biglandulosa
B.R. Maslin,Author,Acacia alata var. platyptera
P.G. Kodela,Editor,Acacia alata var. platyptera
"A.E. Orchard (editorial assistance, January 2018); P.G. Kodela (ed. January 2018)",Contributor,Acacia alata var. platyptera
B.R. Maslin,Author,Acacia alata var. tetrantha
P.G. Kodela,Editor,Acacia alata var. tetrantha
"A.E. Orchard (editorial assistance, January 2018); P.G. Kodela (ed. January 2018)",Contributor,Acacia alata var. tetrantha
B.R. Maslin,Author,Acacia alata
P.G. Kodela,Editor,Acacia alata
"P.G. Kodela (ed. January 2018); A.E. Orchard (editorial assistance, January 2018)",Contributor,Acacia alata
P.G. Kodela,Author,Acacia alaticaulis
P.G. Kodela,Editor,Acacia alaticaulis
B.R. Maslin,Author,Acacia alcockii
P.G. Kodela,Editor,Acacia alcockii
"Jemima Rogers (minor edits, June 2012); P.G. Kodela (ed. January 2018); A.E. Orchard (editorial assistance, January 2018)",Contributor,Acacia alcockii
B.R. Maslin,Author,Acacia alexandri
P.G. Kodela,Editor,Acacia alexandri
"P.G. Kodela (ed. January 2018, July 2018); A.E. Orchard (editorial assistance, January 2018)",Contributor,Acacia alexandri
B.R. Maslin,Author,Acacia alleniana
P.G. Kodela,Editor,Acacia alleniana
"P.G. Kodela (ed. January 2018, July 2018); A.E. Orchard (editorial assistance, January 2018)",Contributor,Acacia alleniana
"A.B. Court, B.R. Maslin & P.G. Kodela",Author,Acacia alpina
"B.R. Maslin, P.G. Kodela",Editor,Acacia alpina
"B.R. Maslin (ed. June 2012); P.G. Kodela (ed. January 2018, July 2018); A.E. Orchard (editorial assistance, January 2018)",Contributor,Acacia alpina
G.J. Leach,Author,Acacia amanda
"B.R. Maslin, P.G. Kodela",Editor,Acacia amanda
"B.R. Maslin (ed. June 2012); P.G. (ed. January 2018); A.E. Orchard (editorial assistance, January 2018)",Contributor,Acacia amanda
B.R. Maslin,Author,Acacia amblygona
P.G. Kodela,Editor,Acacia amblygona
"P.G. Kodela (ed. January 2018); A.E. Orchard (editorial assistance, January 2018)",Contributor,Acacia amblygona
B.R. Maslin,Author,Acacia amblyophylla
P.G. Kodela,Editor,Acacia amblyophylla
"P.G. Kodela (ed. January 2018); A.E. Orchard (editorial assistance, January 2018)",Contributor,Acacia amblyophylla
"P.G. Kodela, B.R. Maslin & R.S. Cowan",Author,Acacia amentifera
P.G. Kodela,Editor,Acacia amentifera
"P.G. Kodela (ed. January 2018, 2020); A.E. Orchard (ed. January 2018)",Contributor,Acacia amentifera
The description and other information about this species has been updated based largely on details and photographs provided by Ben Wirf & Nicholas Cuff arising from the plant's rediscovery in 2018.,Acknowledgements,Acacia amentifera
M.D. Tindale & P.G. Kodela,Author,Acacia ammobia
"B.R. Maslin, P.G. Kodela",Editor,Acacia ammobia
"B.R. Maslin, J.E. Reid & J. Rogers (editorial assistance, June 2012); P.G. Kodela (ed. January 2018), A.E. Orchard (editorial assistance, January 2018)",Contributor,Acacia ammobia
"Michael Bedward, Stuart J. Davies, Clare Herscovitch, David A. Keith and David A. Morrison assisted with the preparation of Acacia treatments for the 'Flora of Australia' Volumes 11A & 11B (2001).",Acknowledgements,Acacia ammobia
R.S. Cowan & B.R. Maslin,Author,Acacia ammophila
P.G. Kodela,Editor,Acacia ammophila
"A.E. Orchard (editorial assistance, January 2018); P.G. Kodela (ed. January 2018)",Contributor,Acacia ammophila
B.R. Maslin,Author,Acacia amoena
P.G. Kodela,Editor,Acacia amoena
"P.G. Kodela (ed. January 2018); A.E. Orchard (editorial assistance, January 2018)",Contributor,Acacia amoena
R.S. Cowan & B.R. Maslin,Author,Acacia ampliata
P.G. Kodela,Editor,Acacia ampliata
"P.G. Kodela (ed. January 2018, July 2018); A.E. Orchard (editorial assistance, January 2018)",Contributor,Acacia ampliata
A.R. Chapman & B.R. Maslin,Author,Acacia ampliceps
P.G. Kodela,Editor,Acacia ampliceps
"P.G. Kodela (ed. January 2018); A.E. Orchard (editorial assistance, January 2018)",Contributor,Acacia ampliceps
B.R. Maslin,Author,Acacia amputata
P.G. Kodela,Editor,Acacia amputata
"P.G. Kodela (ed. January 2018);  A.E. Orchard (editorial assistance, January 2018)",Contributor,Acacia amputata
R.S. Cowan & B.R. Maslin,Author,Acacia amyctica
P.G. Kodela,Editor,Acacia amyctica
"P.G. Kodela (ed. January 2018); A.E. Orchard (editorial assistance, January 2018).",Contributor,Acacia amyctica
B.R. Maslin,Author,Acacia anarthros
P.G. Kodela,Editor,Acacia anarthros
"P.G. Kodela (ed. January 2018); A.E. Orchard (editorial assistance, January 2018)",Contributor,Acacia anarthros
A.S. George,Author,Acacia anasilla
P.G. Kodela,Editor,Acacia anasilla
P.G. Kodela (ed. January 2018),Contributor,Acacia anasilla
M.D. Tindale & P.G. Kodela,Author,Acacia anastema
P.G. Kodela,Editor,Acacia anastema
"P.G. Kodela (ed. January 2018, July 2018); A.E. Orchard (editorial assistance, January 2018)",Contributor,Acacia anastema
"Michael Bedward, Stuart J. Davies, Clare Herscovitch, David A. Keith and David A. Morrison assisted with the preparation of a number of Acacia treatments for the 'Flora of Australia' Volumes 11A & 11B (2001).",Acknowledgements,Acacia anastema
R.S. Cowan & B.R. Maslin,Author,Acacia anaticeps
P.G. Kodela,Editor,Acacia anaticeps
"P.G. Kodela (ed. January 2018); A.E. Orchard (editorial assistance, January 2018)",Contributor,Acacia anaticeps
B.R. Maslin,Author,Acacia anceps
P.G. Kodela,Editor,Acacia anceps
"P.G. Kodela (ed. January 2018, July 2018); A.E. Orchard (editorial assistance, January 2018)",Contributor,Acacia anceps
M.D. Tindale & P.G. Kodela,Author,Acacia ancistrocarpa
B.R. Maslin & P.G. Kodela,Editor,Acacia ancistrocarpa
"B.R. Maslin (ed. June 2012); P.G. Kodela (ed. January 2018); A.E. Orchard (editorial assistance, January 2018)",Contributor,Acacia ancistrocarpa
"Michael Bedward, Stuart J. Davies, Clare Herscovitch, David A. Keith and David A. Morrison assisted with the preparation of a number of Acacia treatments for the 'Flora of Australia' Volumes 11A & 11B (2001).",Acknowledgements,Acacia ancistrocarpa
R.S. Cowan & B.R. Maslin,Author,Acacia ancistrophylla var. ancistrophylla
P.G. Kodela,Editor,Acacia ancistrophylla var. ancistrophylla
"B.R. Maslin & Jemima Rogers (ed. June 2012); P.G. Kodela (ed. January 2018); A.E. Orchard (editorial assistance, January 2018)",Contributor,Acacia ancistrophylla var. ancistrophylla
R.S. Cowan & B.R. Maslin,Author,Acacia ancistrophylla var. lissophylla
P.G. Kodela,Editor,Acacia ancistrophylla var. lissophylla
"B.R. Maslin & Jemima Rogers (ed. June 2012); P.G. Kodela (ed. January 2018); A.E. Orchard (editorial assistance, January 2018)",Contributor,Acacia ancistrophylla var. lissophylla
R.S. Cowan & B.R. Maslin,Author,Acacia ancistrophylla var. perarcuata
P.G. Kodela,Editor,Acacia ancistrophylla var. perarcuata
"P.G. Kodela (ed. January 2018); A.E. Orchard (editorial assistance, January 2018)",Contributor,Acacia ancistrophylla var. perarcuata
R.S. Cowan & B.R. Maslin,Author,Acacia ancistrophylla
P.G. Kodela,Editor,Acacia ancistrophylla
"P.G. Kodela (ed. January 2018); A.E. Orchard (editorial assistance, January 2018)",Contributor,Acacia ancistrophylla
B.R. Maslin,Author,Acacia andrewsii
P.G. Kodela,Editor,Acacia andrewsii
"A.E. Orchard (editorial assistance, January 2018); P.G. Kodela (ed. January 2018)",Contributor,Acacia andrewsii
L. Pedley,Author,Acacia aneura var. aneura
L. Pedley,Author,Acacia aneura var. major
B.R. Maslin,Author,Acacia aneura
P.G. Kodela,Editor,Acacia aneura
R.S. Cowan & B.R. Maslin,Author,Acacia anfractuosa
P.G. Kodela,Editor,Acacia anfractuosa
"J.E. Reid (minor edits, June 2012); P.G. Kodela (ed. January 2018); A.E. Orchard (editorial assistance, January 2018)",Contributor,Acacia anfractuosa
B.R. Maslin,Author,Acacia angusta
P.G. Kodela,Editor,Acacia angusta
"P.G. Kodela (ed. January 2018); A.E. Orchard (editorial assistance, January 2018)",Contributor,Acacia angusta
B.R. Maslin,Author,Acacia anomala
P.G. Kodela,Editor,Acacia anomala
"Jemima Rogers (minor edits, June 2012); P.G. Kodela (ed. January 2018); A.E. Orchard (eeditorial assistance, January 2018)",Contributor,Acacia anomala
B.R. Maslin,Author,Acacia anthochaera
P.G. Kodela,Editor,Acacia anthochaera
"Jemima Rogers (minor edits, June 2012); A.E. Orchard (editorial assistance, January 2018); P.G. Kodela (ed. February 2018)",Contributor,Acacia anthochaera
B.R. Maslin,Author,Acacia aphanoclada
P.G. Kodela,Editor,Acacia aphanoclada
"A.E. Orchard (editorial assistance, January 2018), P.G. Kodela (ed. January 2018, 22 August 2022)",Contributor,Acacia aphanoclada
B.R. Maslin,Author,Acacia aphylla
P.G. Kodela,Editor,Acacia aphylla
"P.G. Kodela (ed. January 2018); A.E. Orchard (editorial assistance, January 2018).",Contributor,Acacia aphylla
B.R. Maslin,Author,Acacia applanata
P.G. Kodela,Editor,Acacia applanata
"P.G. Kodela (ed. January 2018); A.E. Orchard (editorial assistance, January 2018)",Contributor,Acacia applanata
M.D. Tindale & P.G. Kodela,Author,Acacia aprepta
P.G. Kodela,Editor,Acacia aprepta
"Michael Bedward, Stuart J. Davies, Clare Herscovitch, David A. Keith and David A. Morrison assisted with the preparation of a number of Acacia treatments for the 'Flora of Australia' Volumes 11A & 11B (2001).",Acknowledgements,Acacia aprepta
"Jemima Rogers (minor edits, June 2012); P.G. Kodela (ed. January 2018); A.E. Orchard (ed. January 2018)",Contributor,Acacia aprepta
A.R. Chapman & B.R. Maslin,Author,Acacia aprica
P.G. Kodela,Editor,Acacia aprica
"Edited by J.E. Reid (June 2012), P.G. Kodela (January 2018), A.E. Orchard (January 2018)",Contributor,Acacia aprica
B.R. Maslin,Author,Acacia aptaneura
P.G. Kodela,Editor,Acacia aptaneura
P.G. Kodela (ed. January 2018),Contributor,Acacia aptaneura
P.G. Kodela & M.D. Tindale,Author,Acacia arafurica
P.G. Kodela,Editor,Acacia arafurica
A.E. Orchard (January 2018),Contributor,Acacia arafurica
B.R. Maslin,Author,Acacia araneosa
P.G. Kodela,Editor,Acacia araneosa
"P.G. Kodela (ed. January 2018, March 2020); A.E. Orchard (ed. January 2018)",Contributor,Acacia araneosa
L. Pedley,Author,Acacia arbiana
B.R. Maslin & P.G. Kodela,Editor,Acacia arbiana
"B.R. Maslin (ed. June 2012); P.G. Kodela (January 2018, October 2018); A.E. Orchard (January 2018)",Contributor,Acacia arbiana
R.S. Cowan & B.R. Maslin,Author,Acacia arcuatilis
P.G. Kodela,Editor,Acacia arcuatilis
J.E. Reid (ed. June 2012); P.G. Kodela (ed. January 2018); A.E. Orchard (ed. January 2018),Contributor,Acacia arcuatilis
B.R. Maslin & M.W. McDonald,Author,Acacia areolata
P.G. Kodela,Editor,Acacia areolata
P.G. Kodela (ed. January 2018),Contributor,Acacia areolata
B.R. Maslin,Author,Acacia argentina
P.G. Kodela,Editor,Acacia argentina
P.G. Kodela (ed. January 2018); A.E. Orchard (ed. January 2018),Contributor,Acacia argentina
B.R. Maslin,Author,Acacia argutifolia
P.G. Kodela,Editor,Acacia argutifolia
P.G. Kodela (ed. January 2018); A.E. Orchard (ed. January 2018),Contributor,Acacia argutifolia
M.D. Tindale & P.G. Kodela,Author,Acacia argyraea
"P.G. Kodela (January 2018), A.E. Orchard (January 2018)",Editor,Acacia argyraea
"Michael Bedward, Stuart J. Davies, Clare Herscovitch, David A. Keith and David A. Morrison assisted with the preparation of a number of Acacia treatments for the 'Flora of Australia' Volumes 11A & 11B (2001).",Acknowledgements,Acacia argyraea
R.S. Cowan,Author,Acacia argyrodendron
"B.R. Maslin, P.G. Kodela & A.E. Orchard",Editor,Acacia argyrodendron
"B.R. Maslin (ed. June 2012); P.G. Kodela (ed. January 2018, July 2020); A.E. Orchard (ed. January 2018)",Contributor,Acacia argyrodendron
B.R. Maslin,Author,Acacia argyrophylla
P.G. Kodela,Editor,Acacia argyrophylla
"P.G. Kodela (ed. January 2018, August 2019); A.E. Orchard (ed. January 2018)",Contributor,Acacia argyrophylla
NA,Acknowledgements,Acacia argyrophylla
L. Pedley,Author,Acacia argyrotricha
B.R. Maslin & P.G. Kodela,Editor,Acacia argyrotricha
"B.R. Maslin (ed. June 2012); P.G. Kodela (ed. January 2018, October 2018)",Contributor,Acacia argyrotricha
M.D. Tindale &  P.G. Kodela,Author,Acacia arida
"B.R. Maslin, A.E. Orchard & P.G. Kodela",Editor,Acacia arida
"Michael Bedward, Stuart J. Davies, Clare Herscovitch, David A. Keith and David A. Morrison assisted with the preparation of a number of Acacia treatments for the 'Flora of Australia' Volumes 11A & 11B (2001).",Acknowledgements,Acacia arida
"Edited by B.R. Maslin (June 2012), A.E. Orchard (January 2018), P.G. Kodela (January 2018)",Contributor,Acacia arida
B.R. Maslin,Author,Acacia aristulata
P.G. Kodela & A.E. Orchard,Editor,Acacia aristulata
"Jemima Rogers (minor edits, June 2012); P.G. Kodela (ed. January 2018); A.E. Orchard (ed. January 2018)",Contributor,Acacia aristulata
R.S. Cowan & B.R. Maslin,Author,Acacia armillata
P.G. Kodela & A.E. Orchard,Editor,Acacia armillata
B.R. Maslin (ed. June 2012); P.G. Kodela (ed. January 2018); A.E. Orchard (ed. January 2018),Contributor,Acacia armillata
P.G. Kodela,Author,Acacia armitii
P.G. Kodela,Editor,Acacia armitii
"Comments and editorial assistance provided by B.R. Maslin, J. Rogers and A.E. Orchard",Contributor,Acacia armitii
M.D. Tindale & P.G. Kodela,Author,Acacia arrecta
"B.R. Maslin, P.G. Kodela & A.E. Orchard",Editor,Acacia arrecta
"Michael Bedward, Stuart J. Davies, Clare Herscovitch, David A. Keith and David A. Morrison assisted with the preparation of a number of Acacia treatments for the 'Flora of Australia' Volumes 11A & 11B (2001).",Acknowledgements,Acacia arrecta
B.R. Maslin (ed. June 2012); P.G. Kodela (ed. January 2018); A.E. Orchard (ed. January 2018),Contributor,Acacia arrecta
B.R. Maslin,Author,Acacia ascendens
P.G. Kodela & A.E. Orchard,Editor,Acacia ascendens
"Edited by P.G. Kodela (June 2018), A.E. Orchard (January 2018)",Contributor,Acacia ascendens
B.R. Maslin,Author,Acacia asepala
P.G. Kodela & A.E. Orchard,Editor,Acacia asepala
"Jemima Rogers (minor edits, June 2012); P.G. Kodela (ed. January 2018); A.E. Orchard (ed. January 2018)",Contributor,Acacia asepala
B.R. Maslin,Author,Acacia ashbyae
"J. Rogers, P.G. Kodela & A.E. Orchard",Editor,Acacia ashbyae
"Edited by Jemima Rogers (June 2012), P.G. Kodela (January 2018), A.E. Orchard (January 2018)",Contributor,Acacia ashbyae
B.R. Maslin,Author,Acacia asparagoides
P.G. Kodela & A.E. Orchard,Editor,Acacia asparagoides
P.G. Kodela (ed. June 2018); A.E. Orchard (ed. January 2018),Contributor,Acacia asparagoides
B.R. Maslin,Author,Acacia aspera subsp. aspera
P.G. Kodela & A.E.Orchard,Editor,Acacia aspera subsp. aspera
P.G. Kodela (ed. March 2018); A.E.Orchard (ed. April 2018),Contributor,Acacia aspera subsp. aspera
B.R. Maslin,Author,Acacia aspera subsp. parviceps
P.G. Kodela & A.E.Orchard,Editor,Acacia aspera subsp. parviceps
P.G. Kodela (ed. March 2018); A.E.Orchard (ed. April 2018),Contributor,Acacia aspera subsp. parviceps
B.R. Maslin,Author,Acacia aspera
P.G. Kodela & A.E. Orchard,Editor,Acacia aspera
P.G. Kodela (ed. March 2018); A.E. Orchard (ed. April 2018),Contributor,Acacia aspera
A.S. George,Author,Acacia asperulacea
"Jordan Reid, P.G. Kodela & A.E. Orchard",Editor,Acacia asperulacea
"Edited by Jordan Reid (June 2012), P.G. Kodela (January 2018), A.E. Orchard (January 2018)",Contributor,Acacia asperulacea
R.S. Cowan & B.R. Maslin,Author,Acacia assimilis subsp. assimilis
P.G. Kodela & A.E. Orchard,Editor,Acacia assimilis subsp. assimilis
"Edited by P.G. Kodela (January 2018), A.E. Orchard (January 2018)",Contributor,Acacia assimilis subsp. assimilis
R.S. Cowan & B.R. Maslin,Author,Acacia assimilis subsp. atroviridis
P.G. Kodela & A.E. Orchard,Editor,Acacia assimilis subsp. atroviridis
"Edited by P.G. Kodela (January 2018), A.E. Orchard (January 2018)",Contributor,Acacia assimilis subsp. atroviridis
R.S. Cowan & B.R. Maslin,Author,Acacia assimilis
P.G. Kodela & A.E. Orchard,Editor,Acacia assimilis
"Edited by P.G. Kodela (January 2018), A.E. Orchard (January 2018)",Contributor,Acacia assimilis
B.R. Maslin,Author,Acacia ataxiphylla subsp. ataxiphylla
P.G. Kodela & A.E. Orchard,Editor,Acacia ataxiphylla subsp. ataxiphylla
"Edited by P.G. Kodela (January 2018), A.E. Orchard (January 2018)",Contributor,Acacia ataxiphylla subsp. ataxiphylla
B.R. Maslin,Author,Acacia ataxiphylla subsp. magna
"J. Rogers, P.G. Kodela & A.E. Orchard",Editor,Acacia ataxiphylla subsp. magna
"Edited by Jemima Rogers (June 2012), P.G. Kodela (January 2018), A.E. Orchard (January 2018)",Contributor,Acacia ataxiphylla subsp. magna
B.R. Maslin,Author,Acacia ataxiphylla
P.G. Kodela & A.E. Orchard,Editor,Acacia ataxiphylla
"Edited by P.G. Kodela (January 2018), A.E. Orchard (January 2018)",Contributor,Acacia ataxiphylla
M.D. Tindale & P.G. Kodela,Author,Acacia atkinsiana
"B.R. Maslin, P.G. Kodela & A.E. Orchard",Editor,Acacia atkinsiana
"Michael Bedward, Stuart J. Davies, Clare Herscovitch, David A. Keith and David A. Morrison assisted with the preparation of a number of Acacia treatments for the 'Flora of Australia' Volumes 11A & 11B (2001).",Acknowledgements,Acacia atkinsiana
"Edited by B.R. Maslin (June 2012), P.G. Kodela (January 2018), A.E. Orchard (January 2018)",Contributor,Acacia atkinsiana
L. Pedley,Author,Acacia atopa
"J.E. Reid, J. Rogers, A.E. Orchard & P.G. Kodela",Editor,Acacia atopa
"Edited by Jordan Reid & Jemima Rogers (June 2012), A.E. Orchard (January 2018), P.G. Kodela (January 2018)",Contributor,Acacia atopa
P.G. Kodela & B.R. Maslin,Author,Acacia atrox subsp. atrox
P.G. Kodela,Editor,Acacia atrox subsp. atrox
P.G. Kodela & B.R. Maslin,Author,Acacia atrox subsp. planitiicola
P.G. Kodela,Editor,Acacia atrox subsp. planitiicola
P.G. Kodela & B.R. Maslin,Author,Acacia atrox
P.G. Kodela,Editor,Acacia atrox
B.R. Maslin,Author,Acacia attenuata
P.G. Kodela & A.E. Orchard,Editor,Acacia attenuata
"Jemima Rogers (minor edits, June 2012); A.E. Orchard (ed. January 2018); P.G. Kodela (ed. January 2018)",Contributor,Acacia attenuata
B.R. Maslin & P.G. Kodela,Author,Acacia aulacocarpa
P.G. Kodela & A.E. Orchard,Editor,Acacia aulacocarpa
