Latitude,Longitude,Sex,Height (cm),Diameter (cm),Site ,Date
-33.50167,138.07703,J,22,8,Clements Gap Conservation Park,8/14/2020
-33.50171,138.07715,M,147,107,Clements Gap Conservation Park,8/14/2020
-33.50171,138.07715,M,156,101,Clements Gap Conservation Park,8/14/2020
-33.50171,138.07715,F,220,214,Clements Gap Conservation Park,8/14/2020
-33.50162,138.07707,F,148,118,Clements Gap Conservation Park,8/14/2020
-33.50158,138.07703,J,107,60,Clements Gap Conservation Park,8/14/2020
-33.5015,138.07697,F,160,210,Clements Gap Conservation Park,8/14/2020
-33.5015,138.07697,M,163,201,Clements Gap Conservation Park,8/14/2020
-33.50158,138.07718,M,190,147,Clements Gap Conservation Park,8/14/2020
-33.50161,138.07718,F,140,139,Clements Gap Conservation Park,8/14/2020
-33.5016,138.07718,M,181,185,Clements Gap Conservation Park,8/14/2020
-33.50143,138.07707,M,56,32,Clements Gap Conservation Park,8/14/2020
-33.50141,138.07726,J,47,18,Clements Gap Conservation Park,8/14/2020
-33.50141,138.0773,M,132,104,Clements Gap Conservation Park,8/14/2020
-33.50151,138.07726,J,13,5,Clements Gap Conservation Park,8/14/2020
-33.50133,138.07724,M,77,49,Clements Gap Conservation Park,8/14/2020
-33.5013,138.07722,M,166,161,Clements Gap Conservation Park,8/14/2020
-33.50125,138.07726,J,64,34,Clements Gap Conservation Park,8/14/2020
-33.50125,138.07726,J,104,72,Clements Gap Conservation Park,8/14/2020
-33.50125,138.07726,J,62,59,Clements Gap Conservation Park,8/14/2020
-33.5013,138.07733,M,70,83,Clements Gap Conservation Park,8/14/2020
-33.5013,138.07733,J,26,22,Clements Gap Conservation Park,8/14/2020
-33.5013,138.07735,M,95,45,Clements Gap Conservation Park,8/14/2020
-33.5013,138.07735,J,67,20,Clements Gap Conservation Park,8/14/2020
-33.5013,138.07735,F,92,160,Clements Gap Conservation Park,8/14/2020
-33.5013,138.07735,J,75,48,Clements Gap Conservation Park,8/14/2020
-33.5012,138.07751,J,71,23,Clements Gap Conservation Park,8/14/2020
-33.50126,138.07751,J,46,8,Clements Gap Conservation Park,8/14/2020
-33.50128,138.07756,J,55,25,Clements Gap Conservation Park,8/14/2020
-33.50127,138.07754,M,180,163,Clements Gap Conservation Park,8/14/2020
-33.50119,138.07759,F,167,155,Clements Gap Conservation Park,8/14/2020
-33.50117,138.07759,J,39,9,Clements Gap Conservation Park,8/14/2020
-33.50114,138.07755,J,20,7,Clements Gap Conservation Park,8/14/2020
-33.50114,138.07755,J,39,22,Clements Gap Conservation Park,8/14/2020
-33.50112,138.07753,J,67,41,Clements Gap Conservation Park,8/14/2020
-33.50106,138.07758,J,79,42,Clements Gap Conservation Park,8/14/2020
-33.50106,138.07758,J,82,31,Clements Gap Conservation Park,8/14/2020
