taxon_name,genus,family,taxon_distribution,taxon_rank,plant_trait,notes,reference,units,name,value,value_type
Androcalva bivillosa,Androcalva,Malvaceae,WA,species,leaf_width,NA,Wikipedia_2025,mm,value_1,3,minimum
Androcalva bivillosa,Androcalva,Malvaceae,WA,species,leaf_width,NA,Wikipedia_2025,mm,value_2,16,maximum
Androcalva perkinsiana,Androcalva,Malvaceae,Qld,species,plant_height,NA,SPRAT_2025_2,cm,value_1,10,mean
Androcalva perkinsiana,Androcalva,Malvaceae,Qld,species,resprouting_capacity,NA,SPRAT_2025_2,NA,value_1,resprouts,mode
Androcalva perkinsiana,Androcalva,Malvaceae,Qld,species,bud_bank_location,NA,SPRAT_2025_2,NA,value_1,rhizome,mode
Androcalva perkinsiana,Androcalva,Malvaceae,Qld,species,storage_organ,NA,SPRAT_2025_2,NA,value_1,rhizome,mode
Androcalva perkinsiana,Androcalva,Malvaceae,Qld,species,leaf_length,NA,SPRAT_2025_2,cm,value_1,2,minimum
Androcalva perkinsiana,Androcalva,Malvaceae,Qld,species,leaf_length,NA,SPRAT_2025_2,cm,value_2,4,maximum
Androcalva perkinsiana,Androcalva,Malvaceae,Qld,species,leaf_width,NA,SPRAT_2025_2,cm,value_1,0.6,minimum
Androcalva perkinsiana,Androcalva,Malvaceae,Qld,species,leaf_width,NA,SPRAT_2025_2,cm,value_2,1.1,maximum
Androcalva perkinsiana,Androcalva,Malvaceae,Qld,species,vegetative_reproduction_ability,no/limited_sexual_reproduction,SPRAT_2025_2,NA,value_1,vegetative_obligate,mode
Androcalva perlaria,Androcalva,Malvaceae,WA,species,leaf_length,NA,FloraBase_2025,mm,value_1,7,minimum
Androcalva perlaria,Androcalva,Malvaceae,WA,species,leaf_length,NA,FloraBase_2025,mm,value_2,25,maximum
Androcalva perlaria,Androcalva,Malvaceae,WA,species,leaf_width,NA,FloraBase_2025,mm,value_1,3,minimum
Androcalva perlaria,Androcalva,Malvaceae,WA,species,leaf_width,NA,FloraBase_2025,mm,value_2,15,maximum
Androcalva procumbens,Androcalva,Malvaceae,NSW,species,stem_length,NA,SPRAT_2025_2,cm,value_1,30,mean
Androcalva procumbens,Androcalva,Malvaceae,NSW,species,stem_growth_habit,NA,SPRAT_2025_2,NA,value_1,trailing,mode
Androcalva procumbens,Androcalva,Malvaceae,NSW,species,fruit_length,NA,BioNet_2025,mm,value_1,6,minimum
Androcalva procumbens,Androcalva,Malvaceae,NSW,species,fruit_length,NA,BioNet_2025,mm,value_2,8,maximum
Androcalva procumbens,Androcalva,Malvaceae,NSW,species,fruit_width,NA,BioNet_2025,mm,value_1,6,minimum
Androcalva procumbens,Androcalva,Malvaceae,NSW,species,fruit_width,NA,BioNet_2025,mm,value_2,8,maximum
Androcalva procumbens,Androcalva,Malvaceae,NSW,species,fruit_height,NA,BioNet_2025 ,mm,value_1,6,minimum
Androcalva procumbens,Androcalva,Malvaceae,NSW,species,fruit_height,NA,BioNet_2025 ,mm,value_2,8,maximum
Androcalva procumbens,Androcalva,Malvaceae,NSW,species,vegetative_reproduction_ability,NA,BioNet_2025,NA,value_1,vegetative,mode
Androcalva procumbens,Androcalva,Malvaceae,NSW,species,post_fire_recruitment,NA,SPRAT_2025_2,NA,value_1,post_fire_recruitment,mode
Androcalva procumbens,Androcalva,Malvaceae,NSW,species,seedbank_location,NA,BioNet_2025,NA,value_1,soil_seedbank,mode
Angianthus phyllocalymmeus,Angianthus,Asteraceae,SA,species,resprouting_capacity,NA,SPRAT_2025_2,NA,value_1,fire_killed_annual,mode
Angianthus phyllocalymmeus,Angianthus,Asteraceae,SA,species,storage_organ,NA,SPRAT_2025_2,NA,value_1,no_storage_organ_annual,mode
Anthosachne kingiana subsp. kingiana,Anthosachne,Poaceae,"LHI, NI",subspecies,plant_height,NA,SPRAT_2025_2,cm,value_1,30,minimum
Anthosachne kingiana subsp. kingiana,Anthosachne,Poaceae,"LHI, NI",subspecies,plant_height,NA,SPRAT_2025_2,cm,value_2,100,maximum
Anthosachne kingiana subsp. kingiana,Anthosachne,Poaceae,"LHI, NI",subspecies,leaf_width,NA,SPRAT_2025_2,mm,value_1,3,minimum
Anthosachne kingiana subsp. kingiana,Anthosachne,Poaceae,"LHI, NI",subspecies,leaf_width,NA,SPRAT_2025_2,mm,value_2,5,maximum
Aponogeton bullosus,Aponogeton,Aponogetonaceae,Qld,species,inflorescence_stalk,NA,SPRAT_2025_2,cm,value_1,30,mean
Aponogeton bullosus,Aponogeton,Aponogetonaceae,Qld,species,plant_growth_substrate,NA,SPRAT_2025_2,NA,value_1,aquatic,mode
Aponogeton bullosus,Aponogeton,Aponogetonaceae,Qld,species,resprouting_capacity,NA,SPRAT_2025_2,NA,value_1,N/A-aquatic,mode
Aponogeton bullosus,Aponogeton,Aponogetonaceae,Qld,species,bud_bank_location,NA,SPRAT_2025_2,NA,value_1,tuber,mode
Aponogeton bullosus,Aponogeton,Aponogetonaceae,Qld,species,plant_growth_substrate,NA,SPRAT_2025_2,NA,value_1,aquatic,mode
Aponogeton bullosus,Aponogeton,Aponogetonaceae,Qld,species,storage_organ_length,submerged rooted tubers ,SPRAT_2025_2,cm,value_1,2,mean
Aponogeton prolifer,Aponogeton,Aponogetonaceae,Qld,species,inflorescence_stalk,NA,SPRAT_2025_2,cm,value_1,32,mean
Aponogeton prolifer,Aponogeton,Aponogetonaceae,Qld,species,plant_growth_substrate,NA,SPRAT_2025_2,NA,value_1,aquatic,mode
Aponogeton prolifer,Aponogeton,Aponogetonaceae,Qld,species,resprouting_capacity,NA,SPRAT_2025_2,NA,value_1,N/A-aquatic,mode
Aponogeton prolifer,Aponogeton,Aponogetonaceae,Qld,species,bud_bank_location,NA,SPRAT_2025_2,NA,value_1,tuber,mode
Aponogeton prolifer,Aponogeton,Aponogetonaceae,Qld,species,plant_growth_substrate,NA,SPRAT_2025_2,NA,value_1,aquatic,mode
Aponogeton prolifer,Aponogeton,Aponogetonaceae,Qld,species,storage_organ_length,submerged rooted tubers ,SPRAT_2025_2,cm,value_1,1,mean
Aristida annua,Aristida,Poaceae,Qld,species,resprouting_capacity,NA,SPRAT_2025_2,NA,value_1,fire_killed_annual,mode
Aristida annua,Aristida,Poaceae,Qld,species,storage_organ,NA,SPRAT_2025_2,NA,value_1,no_storage_organ_annual,mode
Asperula asthenes,Asperula,Rubiaceae,NSW,species,stem_length,NA,SPRAT_2025_2,cm,value_1,30,mean
Asperula asthenes,Asperula,Rubiaceae,NSW,species,stem_growth_habit,NA,SPRAT_2025_2,NA,value_1,decumbent,mode
Asplenium hookerianum,Asplenium,Aspleniaceae,"NSW, Vic, Tas",species,plant_height,short tufted ,Tas_NRE_2025,NA,value_1,not_given,mode
Asplenium hookerianum,Asplenium,Aspleniaceae,"NSW, Vic, Tas",species,stem_growth_habit,NA,Tas_NRE_2025,NA,value_1,tufted,mode
Asplenium hookerianum,Asplenium,Aspleniaceae,"NSW, Vic, Tas",species,bud_bank_location,NA,SPRAT_2025_2,NA,value_1,rhizome,mode
Asplenium listeri,Asplenium,Aspleniaceae,ChI,species,plant_height,short-creeping,SPRAT_2025_2,NA,value_1,not_given,mode
Asplenium listeri,Asplenium,Aspleniaceae,ChI,species,stem_growth_habit,NA,SPRAT_2025_2,NA,value_1,short-creeping,mode
Asplenium listeri,Asplenium,Aspleniaceae,ChI,species,bud_bank_location,NA,SPRAT_2025_2,NA,value_1,rhizome,mode
Asplenium listeri,Asplenium,Aspleniaceae,ChI,species,storage_organ_diameter,NA,SPRAT_2025_2,mm,value_1,2,mean
Asplenium pellucidum,Asplenium,Aspleniaceae,Qld,species,plant_height,short-creeping,SPRAT_2025_2,NA,value_1,not_given,mode
Asplenium pellucidum,Asplenium,Aspleniaceae,Qld,species,stem_growth_habit,NA,SPRAT_2025_2,NA,value_1,short-creeping,mode
Asplenium pellucidum,Asplenium,Aspleniaceae,Qld,species,bud_bank_location,NA,SPRAT_2025_2,NA,value_1,rhizome,mode
Asplenium pellucidum,Asplenium,Aspleniaceae,Qld,species,plant_growth_substrate,NA,SPRAT_2025_2,NA,value_1,lithophyte epiphyte,mode
Astelia australiana,Astelia,Asteliaceae,Vic,species,plant_height,NA,SPRAT_2025_2,m,value_1,1.8,mean
Astelia australiana,Astelia,Asteliaceae,Vic,species,bud_bank_location,NA,SPRAT_2025_2,NA,value_1,rhizome,mode
Asterolasia asteriscophora subsp. albiflora,Asterolasia,Rutaceae,Vic,subspecies,plant_height,NA,SPRAT_2025_2,m,value_1,1.5,mean
Asterolasia asteriscophora subsp. albiflora,Asterolasia,Rutaceae,Vic,subspecies,bud_bank_location,NA,SPRAT_2025_2,NA,value_1,none,mode
Asterolasia asteriscophora subsp. albiflora,Asterolasia,Rutaceae,Vic,subspecies,storage_organ,NA,SPRAT_2025_2,NA,value_1,none,mode
Asterolasia asteriscophora subsp. albiflora,Asterolasia,Rutaceae,Vic,subspecies,reproductive_maturity,NA,SPRAT_2025_2,a,value_1,4,minimum
Asterolasia asteriscophora subsp. albiflora,Asterolasia,Rutaceae,Vic,subspecies,reproductive_maturity,NA,SPRAT_2025_2,a,value_2,5,maximum
Atalaya brevialata,Atalaya,Sapindaceae,NT,species,flowering_time,NA,Cowie_2012,NA,value_1,Oct Nov,mode
Atalaya brevialata,Atalaya,Sapindaceae,NT,species,fruiting_time,NA,Cowie_2012,NA,value_1,Nov,mode
Atalaya brevialata,Atalaya,Sapindaceae,NT,species,reproductive_maturity,NA,SPRAT_2025_2,a,value_1,2,minimum
Atalaya brevialata,Atalaya,Sapindaceae,NT,species,reproductive_maturity,NA,SPRAT_2025_2,a,value_2,3,maximum
Atalaya brevialata,Atalaya,Sapindaceae,NT,species,dispersal_syndrome,NA,SPRAT_2025_2,NA,value_1,barochory,mode
Atalaya brevialata,Atalaya,Sapindaceae,NT,species,flower_diameter,NA,Cowie_2012,mm,value_1,8,mean
Atalaya brevialata,Atalaya,Sapindaceae,NT,species,flower_colour,NA,Cowie_2012,NA,value_1,creamy white,mode
Atalaya brevialata,Atalaya,Sapindaceae,NT,species,inflorescence_type,NA,Cowie_2012,NA,value_1,panicle corymb,mode
Atriplex yeelirrie,Atriplex,Chenopodiaceae,WA,species,plant_height,NA,SPRAT_2025_2,m,value_1,0.4,minimum
Atriplex yeelirrie,Atriplex,Chenopodiaceae,WA,species,plant_height,NA,SPRAT_2025_2,m,value_2,1,maximum
Atriplex yeelirrie,Atriplex,Chenopodiaceae,WA,species,leaf_length,NA,SPRAT_2025_2,mm,value_1,0.8,minimum
Atriplex yeelirrie,Atriplex,Chenopodiaceae,WA,species,leaf_length,NA,SPRAT_2025_2,mm,value_2,6.5,maximum
Atriplex yeelirrie,Atriplex,Chenopodiaceae,WA,species,leaf_width,NA,SPRAT_2025_2,mm,value_1,0.9,minimum
Atriplex yeelirrie,Atriplex,Chenopodiaceae,WA,species,leaf_width,NA,SPRAT_2025_2,mm,value_2,3.2,maximum
Atriplex yeelirrie,Atriplex,Chenopodiaceae,WA,species,fruit_length,NA,SPRAT_2025_2,mm,value_1,4.5,minimum
Atriplex yeelirrie,Atriplex,Chenopodiaceae,WA,species,fruit_length,NA,SPRAT_2025_2,mm,value_2,7,maximum
Atriplex yeelirrie,Atriplex,Chenopodiaceae,WA,species,fruit_width,NA,SPRAT_2025_2,mm,value_1,4,minimum
Atriplex yeelirrie,Atriplex,Chenopodiaceae,WA,species,fruit_width,NA,SPRAT_2025_2,mm,value_2,7.4,maximum
Atriplex yeelirrie,Atriplex,Chenopodiaceae,WA,species,seed_length,NA,SPRAT_2025_2,mm,value_1,0.9,minimum
Atriplex yeelirrie,Atriplex,Chenopodiaceae,WA,species,seed_length,NA,SPRAT_2025_2,mm,value_2,1.4,maximum
Atriplex yeelirrie,Atriplex,Chenopodiaceae,WA,species, seed_width,NA,SPRAT_2025_2,mm,value_1,1.0,minimum
Atriplex yeelirrie,Atriplex,Chenopodiaceae,WA,species, seed_width,NA,SPRAT_2025_2,mm,value_2,1.4,maximum
Atriplex yeelirrie,Atriplex,Chenopodiaceae,WA,species,sex_type,NA,SPRAT_2025_2,NA,value_1,subdioecious,mode
Austrostipa bronweniae,Austrostipa,Poaceae,WA,species,plant_height,NA,SPRAT_2025_2,m,value_1,1.5,mean
Austrostipa bronweniae,Austrostipa,Poaceae,WA,species,bud_bank_location,NA,SPRAT_2025_2,NA,value_1,rhizome,mode
Austrostipa bronweniae,Austrostipa,Poaceae,WA,species,storage_organ,NA,SPRAT_2025_2,NA,value_1,rhizome,mode
Austrostipa bronweniae,Austrostipa,Poaceae,WA,species,leaf_length,NA,SPRAT_2025_2,cm,value_1,45,mean
Azorella macquariensis,Azorella,Apiaceae,MI,species,plant_height,cushion ,Orchard_1989,cm,value_1,3,minimum
Azorella macquariensis,Azorella,Apiaceae,MI,species,plant_height,cushion ,Orchard_1989,cm,value_2,5,maximum
Azorella macquariensis,Azorella,Apiaceae,MI,species,stem_growth_habit,NA,SPRAT_2025_2,NA,value_1,cushion,mode
Azorella macquariensis,Azorella,Apiaceae,MI,species,resprouting_capacity,NA,Orchard_1989,NA,value_1,fire_killed_presumed,mode
Azorella macquariensis,Azorella,Apiaceae,MI,species,bud_bank_location,NA,Orchard_1989,NA,value_1,root_buds,mode
Azorella macquariensis,Azorella,Apiaceae,MI,species,leaf_length,NA,Orchard_1989,mm,value_1,1.7,minimum
Azorella macquariensis,Azorella,Apiaceae,MI,species,leaf_length,NA,Orchard_1989,mm,value_2,2.0,maximum
Azorella macquariensis,Azorella,Apiaceae,MI,species,fruit_length,NA,Tas_NRE_2025,mm,value_1,1.3,minimum
Azorella macquariensis,Azorella,Apiaceae,MI,species,fruit_length,NA,Tas_NRE_2025,mm,value_2,1.7,maximum
Azorella macquariensis,Azorella,Apiaceae,MI,species,fruit_width,NA,Tas_NRE_2025,mm,value_1,1.3,minimum
Azorella macquariensis,Azorella,Apiaceae,MI,species,fruit_width,NA,Tas_NRE_2025,mm,value_2,1.7,maximum
Ballantinia antipoda,Ballantinia,Brassicaceae,"Vic, Tas (presumed extinct)",species,storage_organ,NA,SPRAT_2025_2,NA,value_1,no_storage_organ_annual,mode
Baloskion longipes,Baloskion,Restionaceae,NSW,species,plant_height,NA,PlantNET_2025,cm,value_1,90,minimum
Baloskion longipes,Baloskion,Restionaceae,NSW,species,plant_height,NA,PlantNET_2025,cm,value_2,150,maximum
Baloskion longipes,Baloskion,Restionaceae,NSW,species,resprouting_capacity,NA,SPRAT_2025_2,NA,value_1,resprouts,mode
Baloskion longipes,Baloskion,Restionaceae,NSW,species,bud_bank_location,NA,PlantNET_2025,NA,value_1,rhizome,mode
Baloskion longipes,Baloskion,Restionaceae,NSW,species,leaf_length,sheath ,PlantNET_2025,mm,value_1,20,minimum
Baloskion longipes,Baloskion,Restionaceae,NSW,species,leaf_length,sheath ,PlantNET_2025,mm,value_2,30,maximum
Baloskion longipes,Baloskion,Restionaceae,NSW,species,sex_type,NA,SPRAT_2025_2,NA,value_1,dioecious,mode
Banksia aurantia,Banksia,Proteaceae,WA,species,plant_height,NA,SPRAT_2025_2,mm,value_1,10,minimum
Banksia aurantia,Banksia,Proteaceae,WA,species,plant_height,NA,SPRAT_2025_2,mm,value_2,35,maximum
Banksia aurantia,Banksia,Proteaceae,WA,species,stem_growth_habit,NA,Wikipedia_2025,NA,value_1,prostrate underground stems,mode
Banksia aurantia,Banksia,Proteaceae,WA,species,bud_bank_location,NA,SPRAT_2025_2,NA,value_1,stem_underground,mode
Banksia aurantia,Banksia,Proteaceae,WA,species,vegetative_reproduction_ability,NA,SPRAT_2025_2,NA,value_1,vegetative,mode
Banksia aurantia,Banksia,Proteaceae,WA,species,post_fire_recruitment,NA,SPRAT_2025_2,NA,value_1,post_fire_recruitment,mode
Banksia serratuloides subsp. perissa,Banksia,Proteaceae,WA,subspecies,leaf_length,NA,SPRAT_2025_2,cm,value_1,19,mean
Banksia serratuloides subsp. serratuloides,Banksia,Proteaceae,WA,subspecies,leaf_length,NA,SPRAT_2025_2,cm,value_1,8,mean
Banksia sphaerocarpa var. dolichostyla,Banksia,Proteaceae,WA,variety,plant_width,NA,Wikipedia_2025,m,value_1,4,mean
Banksia sphaerocarpa var. dolichostyla,Banksia,Proteaceae,WA,variety,leaf_length,NA,FloraBase_2025,mm,value_1,60,minimum
Banksia sphaerocarpa var. dolichostyla,Banksia,Proteaceae,WA,variety,leaf_length,NA,FloraBase_2025,mm,value_2,105,maximum
Banksia sphaerocarpa var. dolichostyla,Banksia,Proteaceae,WA,variety,leaf_width,NA,FloraBase_2025,mm,value_1,1.2,minimum
Banksia sphaerocarpa var. dolichostyla,Banksia,Proteaceae,WA,variety,leaf_width,NA,FloraBase_2025,mm,value_2,1.5,maximum
Banksia sphaerocarpa var. dolichostyla,Banksia,Proteaceae,WA,variety,fruit_length,NA,FloraBase_2025,mm,value_1,15,minimum
Banksia sphaerocarpa var. dolichostyla,Banksia,Proteaceae,WA,variety,fruit_length,NA,FloraBase_2025,mm,value_2,30,maximum
Banksia sphaerocarpa var. dolichostyla,Banksia,Proteaceae,WA,variety,fruit_width,NA,FloraBase_2025,mm,value_1,15,minimum
Banksia sphaerocarpa var. dolichostyla,Banksia,Proteaceae,WA,variety,fruit_width,NA,FloraBase_2025,mm,value_2,30,maximum
Banksia sphaerocarpa var. dolichostyla,Banksia,Proteaceae,WA,variety,flowering_time,NA,FloraBase_2025,NA,value_1,Mar Apr May,mode
Banksia squarrosa subsp. argillacea,Banksia,Proteaceae,WA,subspecies,leaf_length,NA,Wikipedia_2025,mm,value_1,30,minimum
