family,taxa,spauth,infraspecauth,oilcontentval,oilmaterialdesc,moisturestatus,oilnotes,refshort,refdesc
COMPOSITAE,Brachyscome iberidifolia,Benth.,,27.2,Entire seed/nut,Moisture content not stated,,"(Priestley, 1986)","Priestley, D.A. 1986. Seed Aging. Cornell University Press."
COMPOSITAE,Elephantopus scaber,L.,,9,Entire seed/nut,Moisture content not stated,,"(RBG Kew, Wakehurst Place.)","RBG Kew, Wakehurst Place; material provided by Kunming Institute of Botany (KIB), Chinese Academy of Sciences, China."
COMPOSITAE,Elephantopus scaber,L.,,21.5,Entire seed/nut,Moisture content not stated,,"(RBG Kew, Wakehurst Place.)","RBG Kew, Wakehurst Place; material provided by Kunming Institute of Botany (KIB), Chinese Academy of Sciences, China."
COMPOSITAE,Sphaeranthus indicus,L.,,5,Entire seed/nut,Moisture content not stated,,"(RBG Kew, Wakehurst Place.)","RBG Kew, Wakehurst Place; material provided by Brisbane Botanic Garden, Queensland, Australia."
COMPOSITAE,Ammobium alatum,R.Br.,,27,Entire seed/nut,Moisture content not stated,,"(Priestley, 1986)","Priestley, D.A. 1986. Seed Aging. Cornell University Press."
CONVOLVULACEAE,Ipomoea nil,(L.) Roth,,11.3,Entire seed/nut,Moisture content not stated,,,
CONVOLVULACEAE,Ipomoea eriocarpa,R.Br.,,9.5,Entire seed/nut,Moisture content not stated,,"(Ewart, 1908)","Ewart, A.J. 1908. On the longevity of seeds. Proceedings of the Royal Society Victoria, 21:1-210."
CORYNOCARPACEAE,Corynocarpus cribbianus,(Bailey) L.S.Sm.,,8.1,Embryo+endosperm,Dry weight basis,,,
CUCURBITACEAE,Cucumis melo,L.,,30,Entire seed/nut,Moisture content not stated,,"(Oluoch & Welbaum, 1996)","Oluoch, M.O. and Welbaum, G.E. 1996. Effect of postharvest washing and post-storage priming on viability and vigour in six-year-old muskmelon (Cucumis melo L.) seeds from eight stages of development. Seed Science and Technology, 24:195-209."
CUCURBITACEAE,Cucumis melo,L.,,30,Entire seed/nut,Moisture content not stated,,"(Priestley, 1986)","Priestley, D.A. 1986. Seed Aging. Cornell University Press."
CUCURBITACEAE,Cucumis melo,L.,,30,Entire seed/nut,Moisture content not stated,,"(Roos & Davidson, 1992)","Roos, E.E. and Davidson, D.A. 1992. Record longevities of vegetable seeds in storage. HortScience, 27:393-396."
CUCURBITACEAE,Cucumis melo,L.,,30,Entire seed/nut,Moisture content not stated,,"(Stanwood & Bass, 1981)","Stanwood, P.C. and Bass, L.N. 1981. Seed germplasm preservation using liquid nitrogen. Seed Science and Technology, 9:423-437."
CUCURBITACEAE,Cucumis melo,L.,,30,Entire seed/nut,Moisture content not stated,,"(Stanwood & Roos, 1979)","Stanwood, P.C. and Roos, E.E. 1979. Seed storage of several horticultural species in liquid nitrogen (-196 C). HortScience, 14:628-630."
CUCURBITACEAE,Cucumis melo,L.,,34,Entire seed/nut,Moisture content not stated,,"(Oluoch & Welbaum, 1996)","Oluoch, M.O. and Welbaum, G.E. 1996. Effect of postharvest washing and post-storage priming on viability and vigour in six-year-old muskmelon (Cucumis melo L.) seeds from eight stages of development. Seed Science and Technology, 24:195-209."
CUCURBITACEAE,Cucumis melo,L.,,34,Entire seed/nut,Moisture content not stated,,"(Priestley, 1986)","Priestley, D.A. 1986. Seed Aging. Cornell University Press."
CUCURBITACEAE,Cucumis melo,L.,,34,Entire seed/nut,Moisture content not stated,,"(Roos & Davidson, 1992)","Roos, E.E. and Davidson, D.A. 1992. Record longevities of vegetable seeds in storage. HortScience, 27:393-396."
CUCURBITACEAE,Cucumis melo,L.,,34,Entire seed/nut,Moisture content not stated,,"(Stanwood & Bass, 1981)","Stanwood, P.C. and Bass, L.N. 1981. Seed germplasm preservation using liquid nitrogen. Seed Science and Technology, 9:423-437."
CUCURBITACEAE,Cucumis melo,L.,,34,Entire seed/nut,Moisture content not stated,,"(Stanwood & Roos, 1979)","Stanwood, P.C. and Roos, E.E. 1979. Seed storage of several horticultural species in liquid nitrogen (-196 C). HortScience, 14:628-630."
CUCURBITACEAE,Cucumis melo,L.,,36,Entire seed/nut,Moisture content not stated,,"(Oluoch & Welbaum, 1996)","Oluoch, M.O. and Welbaum, G.E. 1996. Effect of postharvest washing and post-storage priming on viability and vigour in six-year-old muskmelon (Cucumis melo L.) seeds from eight stages of development. Seed Science and Technology, 24:195-209."
CUCURBITACEAE,Cucumis melo,L.,,36,Entire seed/nut,Moisture content not stated,,"(Priestley, 1986)","Priestley, D.A. 1986. Seed Aging. Cornell University Press."
CUCURBITACEAE,Cucumis melo,L.,,36,Entire seed/nut,Moisture content not stated,,"(Roos & Davidson, 1992)","Roos, E.E. and Davidson, D.A. 1992. Record longevities of vegetable seeds in storage. HortScience, 27:393-396."
CUCURBITACEAE,Cucumis melo,L.,,36,Entire seed/nut,Moisture content not stated,,"(Stanwood & Bass, 1981)","Stanwood, P.C. and Bass, L.N. 1981. Seed germplasm preservation using liquid nitrogen. Seed Science and Technology, 9:423-437."
CUCURBITACEAE,Cucumis melo,L.,,36,Entire seed/nut,Moisture content not stated,,"(Stanwood & Roos, 1979)","Stanwood, P.C. and Roos, E.E. 1979. Seed storage of several horticultural species in liquid nitrogen (-196 C). HortScience, 14:628-630."
CUCURBITACEAE,Cucumis melo,L.,,45,Entire seed/nut,Moisture content not stated,,"(Oluoch & Welbaum, 1996)","Oluoch, M.O. and Welbaum, G.E. 1996. Effect of postharvest washing and post-storage priming on viability and vigour in six-year-old muskmelon (Cucumis melo L.) seeds from eight stages of development. Seed Science and Technology, 24:195-209."
CUCURBITACEAE,Cucumis melo,L.,,45,Entire seed/nut,Moisture content not stated,,"(Priestley, 1986)","Priestley, D.A. 1986. Seed Aging. Cornell University Press."
CUCURBITACEAE,Cucumis melo,L.,,45,Entire seed/nut,Moisture content not stated,,"(Roos & Davidson, 1992)","Roos, E.E. and Davidson, D.A. 1992. Record longevities of vegetable seeds in storage. HortScience, 27:393-396."
CUCURBITACEAE,Cucumis melo,L.,,45,Entire seed/nut,Moisture content not stated,,"(Stanwood & Bass, 1981)","Stanwood, P.C. and Bass, L.N. 1981. Seed germplasm preservation using liquid nitrogen. Seed Science and Technology, 9:423-437."
CUCURBITACEAE,Cucumis melo,L.,,45,Entire seed/nut,Moisture content not stated,,"(Stanwood & Roos, 1979)","Stanwood, P.C. and Roos, E.E. 1979. Seed storage of several horticultural species in liquid nitrogen (-196 C). HortScience, 14:628-630."
CUCURBITACEAE,Momordica balsamina,L.,,20.4,Entire seed/nut,Moisture content not stated,,,
CUCURBITACEAE,Momordica balsamina,L.,,22.8,Entire seed/nut,Moisture content not stated,,,
CUCURBITACEAE,Momordica balsamina,L.,,37.6,Entire seed/nut,Moisture content not stated,,,
CUCURBITACEAE,Momordica balsamina,L.,,38.8,Entire seed/nut,Moisture content not stated,,,
CUCURBITACEAE,Momordica balsamina,L.,,39.7,Entire seed/nut,Moisture content not stated,,,
CUCURBITACEAE,Momordica balsamina,L.,,42.7,Entire seed/nut,Moisture content not stated,,,
CUCURBITACEAE,Momordica charantia,L.,,31.6,Entire seed/nut,Moisture content not stated,,,
CUCURBITACEAE,Momordica charantia,L.,,46.2,Entire seed/nut,Moisture content not stated,,,
CUCURBITACEAE,Momordica charantia,L.,,48.6,Entire seed/nut,Moisture content not stated,,,
CUCURBITACEAE,Momordica charantia,L.,,49.6,Entire seed/nut,Moisture content not stated,,,
CUCURBITACEAE,Trichosanthes cucumerina,L.,,56.3,Entire seed/nut,Moisture content not stated,,,
CUCURBITACEAE,Luffa graveolens,Roxb.,,11.6,Entire seed/nut,Moisture content not stated,,,
CUNONIACEAE,Ceratopetalum gummiferum,Sm.,,8.6,Entire seed/nut,Moisture content not stated,,"(RBG Kew, Wakehurst Place.)","RBG Kew, Wakehurst Place; material provided by Mount Annan Botanic Garden, New South Wales, Australia."
ELAEOCARPACEAE,Elaeocarpus elliffii,B.Hyland & Coode,,12,Embryo+endosperm,Dry weight basis,,,
ELAEOCARPACEAE,Elaeocarpus foveolatus,F.Muell.,,34,Embryo+endosperm,Dry weight basis,,,
ELAEOCARPACEAE,Elaeocarpus grandis,F.Muell.,,44,Embryo+endosperm,Dry weight basis,,,
ELAEOCARPACEAE,Elaeocarpus ruminatus,F.Muell.,,27,Embryo+endosperm,Dry weight basis,,,
ELAEOCARPACEAE,Elaeocarpus bancroftii,F.Muell. & Bailey,,39,Embryo+endosperm,Dry weight basis,,,
EUPHORBIACEAE,Mallotus philippensis,(Lam.) Müll.Arg.,,23,Entire seed/nut,Moisture content not stated,Mid-point of the range 22-24,"(Dent, 1948)","Dent, T.V. 1948. Indian Forest Records. Silviculture. Vol. 7, No 1. Seed Storage, with Particular Reference to the Storage of Seed of Indian Forest Plants. Delhi."
EUPHORBIACEAE,Mallotus philippensis,(Lam.) Müll.Arg.,,23,Entire seed/nut,Moisture content not stated,Mid-point of the range 22-24,"(Lemmens & Wulijarni-Soetjipto, 1991)","Lemmens, R.H.M.J. and Wulijarni-Soetjipto, N. 1991. Plant Resources of South-East Asia. No 3. Dye and Tannin-producing Plants. Pudoc, Wageningen."
EUPHORBIACEAE,Mallotus philippensis,(Lam.) Müll.Arg.,,23.7,Entire seed/nut,Moisture content not stated,,"(Dent, 1948)","Dent, T.V. 1948. Indian Forest Records. Silviculture. Vol. 7, No 1. Seed Storage, with Particular Reference to the Storage of Seed of Indian Forest Plants. Delhi."
EUPHORBIACEAE,Mallotus philippensis,(Lam.) Müll.Arg.,,23.7,Entire seed/nut,Moisture content not stated,,"(Lemmens & Wulijarni-Soetjipto, 1991)","Lemmens, R.H.M.J. and Wulijarni-Soetjipto, N. 1991. Plant Resources of South-East Asia. No 3. Dye and Tannin-producing Plants. Pudoc, Wageningen."
EUPHORBIACEAE,Mallotus philippensis,(Lam.) Müll.Arg.,,25.8,Entire seed/nut,Moisture content not stated,,"(Dent, 1948)","Dent, T.V. 1948. Indian Forest Records. Silviculture. Vol. 7, No 1. Seed Storage, with Particular Reference to the Storage of Seed of Indian Forest Plants. Delhi."
EUPHORBIACEAE,Mallotus philippensis,(Lam.) Müll.Arg.,,25.8,Entire seed/nut,Moisture content not stated,,"(Lemmens & Wulijarni-Soetjipto, 1991)","Lemmens, R.H.M.J. and Wulijarni-Soetjipto, N. 1991. Plant Resources of South-East Asia. No 3. Dye and Tannin-producing Plants. Pudoc, Wageningen."
EUPHORBIACEAE,Fontainea picrosperma,C.T.White,,39,Embryo+endosperm,Dry weight basis,,,
LAMIACEAE,Salvia plebeia,R.Br.,,21,Entire seed/nut,Moisture content not stated,,,
LAURACEAE,Endiandra insignis,(Bailey) Bailey,,3.7,Embryo+endosperm,Dry weight basis,,,
LAURACEAE,Endiandra palmerstonii,(Bailey) C.T.White & W.D.Francis,,1.9,Embryo+endosperm,Dry weight basis,,,
LAURACEAE,Beilschmiedia tooram,(Bailey) Hyland,,2.4,Embryo+endosperm,Dry weight basis,,,
LAURACEAE,Beilschmiedia bancroftii,(F.M.Bailey) C.T.White,,6.7,Embryo+endosperm,Dry weight basis,,,
LAURACEAE,Endiandra sankeyana,Bailey,,1.7,Embryo+endosperm,Dry weight basis,,,
LAURACEAE,Cryptocarya angulata,C.T.White,,7.3,Embryo+endosperm,Dry weight basis,,,
LAURACEAE,Cryptocarya pleurosperma,C.T.White & W.D.Francis,,7.3,Embryo+endosperm,Dry weight basis,,,
LAURACEAE,Beilschmiedia recurva,Hyland,,1.7,Embryo+endosperm,Dry weight basis,,,
LAURACEAE,Beilschmiedia volckii,Hyland,,0.89,Embryo+endosperm,Dry weight basis,,,
LAURACEAE,Cryptocarya onoprienkoana,Hyland,,9.2,Embryo+endosperm,Dry weight basis,,,
LAURACEAE,Endiandra bessaphila,Hyland,,9.4,Embryo+endosperm,Dry weight basis,,,
LAURACEAE,Endiandra monothyra,Hyland,,7.9,Embryo+endosperm,Dry weight basis,,,
LAURACEAE,Endiandra sideroxylon,Hyland,,4.9,Embryo+endosperm,Dry weight basis,,,
LEGUMINOSAE-CAESALPINIOIDEAE,Peltophorum pterocarpum,(DC.) Backer ex K.Heyne,,4.7,Entire seed/nut,Moisture content not stated,,"(Mukhopadhyay et al., 1990)","Mukhopadhyay, T.P., Bhattacharjee, S.K. and Biswas, B. 1990. Effect of GA3 and other chemicals on germination and viability of Peltophorum ferrugenium seeds. Myforest, 26:148-152."
LEGUMINOSAE-CAESALPINIOIDEAE,Peltophorum pterocarpum,(DC.) Backer ex K.Heyne,,4.7,Entire seed/nut,Moisture content not stated,,"(Ng et al., 1993)","Ng, N.Q., Lapido, D.O., Kang, B.T. and Atta-Krah, A.N. 1993. Multipurpose tree and shrub germplasm evaluation and conservation at IITA. In Proceedings of the International Consultation on the Development of the ICRAF MTP-Germplasm Resource Centre, Nairobi"
LEGUMINOSAE-CAESALPINIOIDEAE,Bauhinia acuminata,Bruce,,12,Entire seed/nut,Moisture content not stated,,,
LEGUMINOSAE-CAESALPINIOIDEAE,Tamarindus indica,L.,,4.3,Entire seed/nut,Moisture content not stated,,"(Albrecht, 1993)","Albrecht, J. 1993. Tree Seed Handbook of Kenya. Nairobi, Kenya: GTZ Forestry Seed Centre Muguga."
LEGUMINOSAE-CAESALPINIOIDEAE,Tamarindus indica,L.,,4.3,Entire seed/nut,Moisture content not stated,,"(Garcia & Duran, 1989)","Garcia, F.P. and Duran, J.M. 1989. Germinacion de especies endemicas de las regiones mediterranea occidental y Macaronesica. Investigacion Agraria Produccion Vegetales 4:25-33."
LEGUMINOSAE-CAESALPINIOIDEAE,Tamarindus indica,L.,,4.3,Entire seed/nut,Moisture content not stated,,"(Ng et al., 1993)","Ng, N.Q., Lapido, D.O., Kang, B.T. and Atta-Krah, A.N. 1993. Multipurpose tree and shrub germplasm evaluation and conservation at IITA. In Proceedings of the International Consultation on the Development of the ICRAF MTP-Germplasm Resource Centre, Nairobi"
LEGUMINOSAE-CAESALPINIOIDEAE,Tamarindus indica,L.,,4.3,Entire seed/nut,Moisture content not stated,,"(Riley, 1981)","Riley, J.M. 1981. Growing rare fruit from seeds. California Rare Fruit Growers Yearbook, 13:1-47."
LEGUMINOSAE-CAESALPINIOIDEAE,Tamarindus indica,L.,,4.3,Entire seed/nut,Moisture content not stated,,"(Some et al., 1990)","Some, L.M., Sary, H. and Bellefontaine, R. 1990. Conservation en chambre froide des graines pretraitees de six especes sahelo-soudaniennes. Bois et Forets des Tropiques, 225:42-46."
LEGUMINOSAE-CAESALPINIOIDEAE,Tamarindus indica,L.,,7,Entire seed/nut,Moisture content not stated,Mid-point of the range 6-8,"(Albrecht, 1993)","Albrecht, J. 1993. Tree Seed Handbook of Kenya. Nairobi, Kenya: GTZ Forestry Seed Centre Muguga."
LEGUMINOSAE-CAESALPINIOIDEAE,Tamarindus indica,L.,,7,Entire seed/nut,Moisture content not stated,Mid-point of the range 6-8,"(Garcia & Duran, 1989)","Garcia, F.P. and Duran, J.M. 1989. Germinacion de especies endemicas de las regiones mediterranea occidental y Macaronesica. Investigacion Agraria Produccion Vegetales 4:25-33."
LEGUMINOSAE-CAESALPINIOIDEAE,Tamarindus indica,L.,,7,Entire seed/nut,Moisture content not stated,Mid-point of the range 6-8,"(Ng et al., 1993)","Ng, N.Q., Lapido, D.O., Kang, B.T. and Atta-Krah, A.N. 1993. Multipurpose tree and shrub germplasm evaluation and conservation at IITA. In Proceedings of the International Consultation on the Development of the ICRAF MTP-Germplasm Resource Centre, Nairobi"
