POT,Soil_nutrient_type,Growth_Treatment,Habitat_preference,Elevation_of_origin,T-growth_Experimental_chamber,VPD,Species_ID,Leaf_Dry_Mass,Stem_Dry_Mass,Root_Dry_Mass,AGB_g,Total_Plant_Biomass,LMF,SMF,RMF,R/S,Mean_Leaf_Dry_Mass,Mean_Lamina_Area,SLA,LAR,LMA,Initial_biomass (g),Initial_Plant_height_cm,Initial_R:S,initial_Stem_Volume (cm3),No_of_days,RGR_mg-g-day,Stem_diamter_base,No_of_fully expanded leaves/leaflets,Plant_height,Height:diamter,pi,radius,Stem_Volume,13C,15N,%C,%N,Leaf_C_area,Leaf_N_Area,Soil_N(%),Soil_C(%),Soil_13C,Soil_15N,Stem13C,Stem15N,Stem_C,Stem_N,Root13C,Root15N,Root_C,Root_N,P(ppm),pH,C:N_Leaf,N:P_Leaf,C:P_leaf,Plant_d13C,Plant_d15N,Plant %N,Plant %C,RDM/LDM,AG_C,AG_N
FBO_NR_02,Nutrient Rich,Ambient,Lowland,620,23,0.62,Flindersia bourjotiana,1.8582,0.87,2.11,2.7282,4.8382,0.384068455,0.179818941,0.436112604,0.773403709,0.2578,29.04,112.6454616,6.002232235,88.77410468,2.516,11,0.488372093,55.41446177,211,3.098921383,0.377,14,16.2,42.97082228,3.142857,0.1885,1.809099046,-28.3,5.7,35.9,1,12.36225895,0.344352617,0.2,3.9,-27.5,5.4,-26.9,2.9,38.7,1.6,-30,2.9,41.6,1.6,1006,5.8,35.9,9.940357853,356.8588469,-28.78964491,3.975391675,1.369558927,38.88933488,1.13550748,36.79289642,1.605893996
FBO_NR_03,Nutrient Rich,Ambient,Lowland,620,23,0.62,Flindersia bourjotiana,4.8718,1.32,1.9621,6.1918,8.1539,0.59748096,0.161885723,0.240633317,0.31688685,0.4571,45.49,99.51870488,5.578925422,100.4836228,2.516,11,0.488372093,55.41446177,211,5.572635079,0.691,12,45.1,65.26772793,3.142857,0.3455,16.91987952,-26.7,7,42.3,0.7,9.298746977,0.153879974,0.2,3.9,-27.5,5.4,-24.3,4.9,41.7,2.6,-27.6,3.5,37.8,1.8,1055,5.8,60.42857143,6.63507109,400.9478673,-26.52804425,5.817823373,1.272279523,41.12001864,0.402746418,42.17208889,1.595377758
FBO_NR_04,Nutrient Rich,Elevated,Lowland,620,28,1.4,Flindersia bourjotiana,19.6875,1.98,19.09,21.6675,40.7575,0.483039931,0.048580016,0.468380053,0.881043037,0.5865,77.29,131.7817562,1.896338097,75.88303791,2.516,11,0.488372093,55.41446177,211,13.19890774,0.955,49,76.2,79.79057592,3.142857,0.4775,54.60423716,-28,5.4,38.1,1.3,4.92948635,0.168197697,0.2,3.9,-27.5,5.4,-25.9,3.6,41.2,0.6,-26.4,6,39,2.3,739,5.8,29.30769231,17.59133965,515.5615697,-27.14857388,5.593584003,1.734374042,38.6721401,0.969650794,38.38328141,1.510176532
FBO_NR_06,Nutrient Rich,Elevated,Lowland,620,28,1.4,Flindersia bourjotiana,61.1644,44.7,20.11,105.8644,125.9744,0.485530393,0.354833998,0.159635609,0.189959987,0.9334,89.04,95.3931862,0.706810273,104.8292902,2.516,11,0.488372093,55.41446177,211,18.54695911,1.284,73,108.2,84.26791277,3.142857,0.642,140.1593059,-28.2,4.9,39,1.3,4.380053908,0.146001797,0.2,3.9,-27.5,5.4,-26.1,4.5,43,0.9,-26.3,5.3,40.3,2.8,819,5.8,30,15.87301587,476.1904762,-27.15154095,4.821920644,1.397519814,40.62686228,0.328786026,40.68895304,2.65116243
FBO_NR_07,Nutrient Rich,Cold,Lowland,620,16,0.5,Flindersia bourjotiana,1.6252,1.12,3.99,2.7452,6.7352,0.241299442,0.166290533,0.592410025,1.453446015,0.384,37.22,96.92708333,5.526190759,103.1703385,2.516,11,0.488372093,55.41446177,211,4.666716428,0.472,11,14.2,30.08474576,3.142857,0.236,2.485632801,-31.5,5.4,40.4,1,10.85437937,0.268672757,0.2,3.9,-27.5,5.4,-27.7,5.1,39.9,2.2,-28,4.8,40.5,2.6,813,5.8,40.4,12.300123,496.9249692,-28.79466089,4.994666825,2.14740468,40.37609574,2.455082451,40.19600758,2.67273787
FBO_NR_08,Nutrient Rich,Cold,Lowland,620,16,0.5,Flindersia bourjotiana,2.4025,1.21,2.46,3.6125,6.0725,0.395636064,0.199258954,0.405104981,0.680968858,0.4386,42.86,97.72001824,7.05804858,102.3331778,2.516,11,0.488372093,55.41446177,211,4.175829588,0.551,8,7.2,13.06715064,3.142857,0.2755,1.717514151,-29.1,4.9,37.7,1.3,8.796080261,0.303313112,0.2,3.9,-27.5,5.4,-28.5,5.8,39.6,2.4,-28.5,4.2,35.9,1.4,822,5.8,29,15.81508516,458.6374696,-28.73738164,4.795759572,1.559695348,37.34940305,1.023933403,38.33640138,2.807266436
FBO_NR_09,Nutrient Rich,Cold,Lowland,620,16,0.5,Flindersia bourjotiana,2.0172,2.32,3.008,4.3372,7.3452,0.274628329,0.31585253,0.409519142,0.693535,0.4498,44.43,98.77723433,6.048848227,101.2379023,2.516,11,0.488372093,55.41446177,211,5.077614691,0.377,11,13.2,35.0132626,3.142857,0.1885,1.474080704,-30.6,6.6,39,1.2,8.777852802,0.270087779,0.2,3.9,-27.5,5.4,-25.8,3.5,41.1,1.3,-26.9,4.2,32.6,1.5,742,5.8,32.5,16.17250674,525.606469,-27.56868703,4.638011218,1.354440995,37.0423678,1.491175887,40.12330536,2.430286821
FBR_NP_01,Nutrient Poor,Ambient,Upland,990,23,0.62,Flindersia brayleyana,3.3418,1.29,3.458,4.6318,8.0898,0.413088086,0.159460061,0.427451853,0.746578004,0.5283,56.13,106.2464509,6.938366832,94.12079102,1.85,17.8,0.726027397,107.2697323,211,6.992504122,0.765,12,18,23.52941176,3.142857,0.3825,8.276753195,-32.2,4.2,43,0.7,7.660787458,0.124710493,0.02,0.3,-20.2,4.4,-29.9,2.9,39.6,0.9,-29.6,1.3,42.7,0.9,1867,5.2,61.42857143,3.749330477,230.316015,-30.72186704,2.753091547,0.817382383,42.32960024,1.03477168,42.05306792,1.312720757
FBR_NP_02,Nutrient Poor,Ambient,Upland,990,23,0.62,Flindersia brayleyana,0.968,0.87,8.9,1.838,10.738,0.090147141,0.081020674,0.828832185,4.842219804,0.393,37.94,96.5394402,3.533246415,103.5846073,1.85,17.8,0.726027397,107.2697323,211,8.334612383,0.411,8,11,26.76399027,3.142857,0.2055,1.459960005,-30.9,4.1,41.1,0.9,10.83289404,0.237216658,0.02,0.3,-20.2,4.4,-30,2.4,40.5,0.9,-29.5,3.5,37.1,1.3,2036,5.2,45.66666667,4.42043222,201.8664047,-29.66671633,3.464965543,1.231532874,37.73605886,9.194214876,40.81599565,1.610010881
FBR_NP_03,Nutrient Poor,Ambient,Upland,990,23,0.62,Flindersia brayleyana,1.2702,1.22,3.88,2.4902,6.3702,0.199397193,0.19151675,0.609086057,1.558107783,0.5174,57.71,111.5384615,9.059370192,89.65517241,1.85,17.8,0.726027397,107.2697323,211,5.859929987,0.504,8,13.6,26.98412698,3.142857,0.252,2.714342277,-31.6,4.8,37.3,1,6.463351239,0.173280194,0.02,0.3,-20.2,4.4,-29.7,3.3,40.8,1.2,-29.4,4.8,38.1,1.2,1884,5.2,37.3,5.307855626,197.9830149,-29.89612885,4.512724875,1.160120561,38.45757747,3.054637065,39.01472171,2.126817123
FBR_NP_04,Nutrient Poor,Elevated,Upland,990,28,1.4,Flindersia brayleyana,1.8569,0.87,1.22,2.7269,3.9469,0.470470496,0.220426157,0.309103347,0.447394477,0.173,17.89,103.4104046,4.53267121,96.70206819,1.85,17.8,0.726027397,107.2697323,211,3.591207685,0.436,9,7.9,18.11926606,3.142857,0.218,1.179952975,-29.2,6,40.5,1,22.63834544,0.558971492,0.02,0.3,-20.2,4.4,-27.5,2.9,40.9,0.8,-28.6,3,41.4,0.7,2267,5.2,40.5,4.411116012,178.6501985,-28.63981352,4.389368872,0.863183764,40.86636348,0.657008993,40.62761744,1.606182845
FBR_NP_05,Nutrient Poor,Elevated,Upland,990,28,1.4,Flindersia brayleyana,1.0673,0.87,1.89,1.9373,3.8273,0.278864996,0.227314295,0.493820709,0.975584576,0.4463,61.333,137.4254985,16.02513521,72.76669982,1.85,17.8,0.726027397,107.2697323,211,3.445374193,0.469,13,12.5,26.65245203,3.142857,0.2345,2.160331152,-27.2,4.7,42.6,1.4,6.945689922,0.22826211,0.02,0.3,-20.2,4.4,-27.6,4.5,40.2,1,-28.3,4.1,40.9,0.6,1187,5.2,30.42857143,11.79443976,358.8879528,-27.8341285,4.358244716,0.914017715,41.21495049,1.770823574,41.52221133,2.792143705
FBR_NP_06,Nutrient Poor,Elevated,Upland,990,28,1.4,Flindersia brayleyana,0.4665,0.98,1.9,1.4465,3.3465,0.139399372,0.292843269,0.567757358,1.313515382,0.1455,14.84,101.9931271,4.434483789,98.0458221,1.85,17.8,0.726027397,107.2697323,211,2.809144002,0.455,6,15,32.96703297,3.142857,0.2275,2.439937389,-31.2,4.7,37.7,1.3,25.40431267,0.876010782,0.02,0.3,-20.2,4.4,-28.2,5.4,41.3,1.3,-28.4,2.7,43,0.5,1524,5.2,29,8.530183727,247.3753281,-28.73174959,3.769475571,0.845794113,41.76334977,4.072883173,40.13899067,4.077739371
FBR_NP_07,Nutrient Poor,Cold,Upland,990,16,0.5,Flindersia brayleyana,2.4859,0.95,1.96,3.4359,5.3959,0.460701644,0.176059601,0.363238755,0.570447335,0.5319,47.235,88.80428652,8.753868678,112.6071769,1.85,17.8,0.726027397,107.2697323,211,5.073240601,0.496,9,11.2,22.58064516,3.142857,0.248,2.164940702,-32.8,3.6,41.2,0.6,8.722345718,0.127024452,0.02,0.3,-20.2,4.4,-30.3,1.7,41.3,0.8,-29.9,4,33.3,0.9,935,5.2,68.66666667,6.417112299,440.6417112,-31.30645861,3.410782261,0.744183547,38.34801979,0.78844684,41.22764923,0.904141564
FBR_NP_08,Nutrient Poor,Cold,Upland,990,16,0.5,Flindersia brayleyana,1.8565,1.1,2.314,2.9565,5.2705,0.35224362,0.208708851,0.439047529,0.782682226,0.2845,32.009,112.5096661,6.073237833,88.88125215,1.85,17.8,0.726027397,107.2697323,211,4.961799031,0.413,6,8.2,19.85472155,3.142857,0.2065,1.09895165,-32.5,3.9,39.8,0.8,12.43400294,0.249929707,0.02,0.3,-20.2,4.4,-30,2.4,41.1,0.9,-28.7,2.7,39.3,1,2500,5.2,49.75,3.2,159.2,-30.30984726,3.060079689,0.908680391,39.85179774,1.246431457,40.28368003,1.395298495
FBR_NP_09,Nutrient Poor,Cold,Upland,990,16,0.5,Flindersia brayleyana,1.315,1.1,1.0933,2.415,3.5083,0.374825414,0.313542171,0.311632415,0.452712215,0.281,27.19,96.76156584,7.750192401,103.3468187,1.85,17.8,0.726027397,107.2697323,211,3.032919197,0.479,8,11.1,23.17327766,3.142857,0.2395,2.001053202,-31.1,5.1,41.8,1.2,15.37329901,0.441338727,0.02,0.3,-20.2,4.4,-30.1,2.2,40.4,0.7,-30.8,4.6,42.1,1.5,2151,5.2,34.83333333,5.578800558,194.3282194,-30.6929681,4.034911496,1.136718639,41.45453068,0.831406844,41.16231884,1.655486542
FBR_NR_01,Nutrient Rich,Ambient,Upland,990,23,0.62,Flindersia brayleyana,1.1767,1.01,6.4,2.1867,8.5867,0.137037512,0.117623767,0.745338722,2.926784653,0.5378,67.959,126.3648196,7.91444909,79.13594962,1.85,17.8,0.726027397,107.2697323,211,7.275018272,0.501,10,13.4,26.74650699,3.142857,0.2505,2.642681837,-26.3,7.7,40.8,2,6.00361983,0.29429509,0.2,3.9,-27.5,5.4,-27.9,5.5,35.5,2.1,-27.5,6,39.6,1.7,3355,5.8,20.4,5.961251863,121.609538,-27.38260449,6.174151886,1.78816076,39.28218757,5.438939407,38.35201902,3.61659121
FBR_NR_02,Nutrient Rich,Ambient,Upland,990,23,0.62,Flindersia brayleyana,1.5755,0.78,0.45,2.3555,2.8055,0.561575477,0.278025307,0.160399216,0.191042242,0.2093,17.877,85.41328237,6.372126181,117.0778095,1.85,17.8,0.726027397,107.2697323,211,1.973441408,0.459,8,14.9,32.46187364,3.142857,0.2295,2.466472452,-31.1,6.3,39.5,2.1,22.09542988,1.174693741,0.2,3.9,-27.5,5.4,-30.4,9.3,38.8,2.8,-30.1,5.7,40.2,0.9,7917,5.8,18.80952381,2.652519894,49.8926361,-30.74498307,7.037836393,2.102138656,39.41766174,0.285623612,39.26820208,4.484207175
FBR_NR_03,Nutrient Rich,Ambient,Upland,990,23,0.62,Flindersia brayleyana,2.8079,1.21,1.3,4.0179,5.3179,0.528009177,0.227533425,0.244457399,0.323552104,0.9319,72.19,77.46539328,13.57490739,129.0899016,1.85,17.8,0.726027397,107.2697323,211,5.004231514,0.762,11,22.4,29.39632546,3.142857,0.381,10.21933394,-30.3,8.5,40.8,2.2,5.65175232,0.304751351,0.2,3.9,-27.5,5.4,-26.3,3.1,39.4,0.4,-27.6,6.8,39.1,2.3,5561,5.8,18.54545455,3.956122999,73.36809926,-28.72983132,6.855741928,1.814885575,40.06587563,0.462979451,40.37838672,2.471037109
FBR_NR_04,Nutrient Rich,Elevated,Upland,990,28,1.4,Flindersia brayleyana,0.3301,0.76,1.99,1.0901,3.0801,0.107171845,0.246745236,0.646082919,1.825520594,0.1578,19.965,126.5209125,6.481932405,79.03831705,1.85,17.8,0.726027397,107.2697323,211,2.416002014,0.468,8,10.2,21.79487179,3.142857,0.234,1.755320834,-31.3,9,43.1,1,21.58777861,0.500876534,0.2,3.9,-27.5,5.4,-29.3,7.6,40.4,1.7,-29,3.1,41.1,0.9,2525,5.8,43.1,3.96039604,170.6930693,-29.32051881,4.842667446,1.108113373,41.14162203,6.028476219,41.21760389,5.601412714
FBR_NR_05,Nutrient Rich,Elevated,Upland,990,28,1.4,Flindersia brayleyana,0.6426,1.12,1.88,1.7626,3.6426,0.176412453,0.307472684,0.516114863,1.06660615,0.4306,39.97,92.82396656,10.97293142,107.7307981,1.85,17.8,0.726027397,107.2697323,211,3.210957693,0.655,5,21.5,32.82442748,3.142857,0.3275,7.247457706,-31.2,10.2,41.9,1.8,10.48286215,0.450337753,0.2,3.9,-27.5,5.4,-28.9,12.2,39.3,1.7,-28.4,5.5,41.5,0.7,2585,5.8,23.27777778,6.963249516,162.0889749,-29.04769121,8.389205513,1.201526382,40.89412508,2.92561469,40.24789515,8.40841938
FBR_NR_06,Nutrient Rich,Elevated,Upland,990,28,1.4,Flindersia brayleyana,2.5093,1.11,4.71,3.6193,8.3293,0.301261811,0.1332645,0.565473689,1.301356616,1.089,49.18,45.16069789,5.904457758,221.4314762,1.85,17.8,0.726027397,107.2697323,211,7.130776208,0.968,10,39.6,40.90909091,3.142857,0.484,29.15483113,-30.5,7.2,39.6,1.8,8.217472505,0.373521477,0.2,3.9,-27.5,5.4,-27.3,8.3,40.9,1.3,-27.5,6.1,39,1.8,2032,5.8,22,8.858267717,194.8818898,-28.37713253,6.724569892,1.73336775,39.43395964,1.877017495,39.99869588,3.793479402
FBR_NR_07,Nutrient Rich,Cold,Upland,990,16,0.5,Flindersia brayleyana,3.5117,1.21,8.76,4.7217,13.4817,0.26047902,0.089751292,0.649769688,1.855263994,0.909,80.449,88.50275028,5.967274157,112.9908389,1.85,17.8,0.726027397,107.2697323,211,9.413021664,0.577,9,12.5,21.66377816,3.142857,0.2885,3.269838244,-31.4,4.4,40.4,1.3,5.021815063,0.161593059,0.2,3.9,-27.5,5.4,-28.9,3.7,39.2,1.1,-29.5,4.8,34.8,1.3,2412,5.8,31.07692308,5.389718076,167.4958541,-29.94105936,4.59708197,1.282049742,36.6535882,2.494518324,40.09248364,1.915032721
FBR_NR_08,Nutrient Rich,Cold,Upland,990,16,0.5,Flindersia brayleyana,3.817,1.08,4.1066,4.897,9.0036,0.423941534,0.119952019,0.456106446,0.838595058,0.785,71,90.44585987,7.885734595,110.5633803,1.85,17.8,0.726027397,107.2697323,211,7.499710229,0.596,11,17.2,28.8590604,3.142857,0.298,4.800490296,-31,3.6,40.8,1.6,5.746478873,0.225352113,0.2,3.9,-27.5,5.4,-26.7,3.8,40.6,1.5,-27.6,4.5,39,1.7,2316,5.8,25.5,6.908462867,176.1658031,-28.9334444,4.034486206,1.633615443,39.95501799,1.075871103,40.75589136,2.085195017
FBR_NR_09,Nutrient Rich,Cold,Upland,990,16,0.5,Flindersia brayleyana,2.122,1.23,9.31,3.352,12.662,0.167588059,0.097141052,0.735270889,2.777446301,0.3634,39.698,109.2405063,3.135207708,91.54113557,1.85,17.8,0.726027397,107.2697323,211,9.115733379,0.396,9,11.2,28.28282828,3.142857,0.198,1.379980737,-31.2,5.9,42.9,1.8,10.80658975,0.453423346,0.2,3.9,-27.5,5.4,-28.5,5.1,41.2,1.4,-28.2,4.9,41.8,1.5,3128,5.8,23.83333333,5.754475703,137.1483376,-28.73190649,5.087016269,1.540562312,41.92606223,4.387370405,42.27619332,3.010918854
FIF_NP_03,Nutrient Poor,Ambient,Lowland,300,23,0.62,Flindersia ifflana,5.5918,1.34,12.2,6.9318,19.1318,0.292277778,0.070040456,0.637681765,1.760004616,0.298,15.843,53.16442953,0.828097722,188.0956889,3.2,7.585,0.608695652,26.05870535,211,8.474886551,0.815,87,30.5,37.42331288,3.142857,0.4075,15.91767696,-30.3,4.1,41.2,0.6,25.12195122,0.365853659,0.02,0.3,-20.2,4.4,-27,1.9,40.1,0.6,-26.7,4.7,38.5,0.9,5388,5.2,68.66666667,1.113585746,76.46622123,-27.77321214,4.328520056,0.79130453,39.40121473,2.181766158,40.98735682,0.851305577
FIF_NP_05,Nutrient Poor,Ambient,Lowland,300,23,0.62,Flindersia ifflana,6.782,1.445,10.52,8.227,18.747,0.361764549,0.077078999,0.561156452,1.278716422,0.137,8.947,65.30656934,0.477249693,153.1239522,3.2,7.585,0.608695652,26.05870535,211,8.378592084,0.851,94,22,25.8519389,3.142857,0.4255,12.518331,-28.1,4.1,44.1,1.4,49.29026489,1.564770314,0.02,0.3,-20.2,4.4,-26.9,1.6,41.1,0.5,-28.2,4,35.3,0.9,2741,5.2,31.5,5.107624954,160.8901861,-28.06362085,3.851186857,1.050050675,38.93058623,1.551164848,43.57307646,1.435128236
FIF_NP_04,Nutrient Poor,Ambient,Lowland,300,23,0.62,Flindersia ifflana,6.068,1.21,9.11,7.278,16.388,0.37027093,0.073834513,0.555894557,1.251717505,0.321,15.83,49.31464174,0.965950696,202.7795325,3.2,7.585,0.608695652,26.05870535,211,7.741225355,0.745,45,26,34.89932886,3.142857,0.3725,11.33836734,-29.9,3.5,39.3,1.1,24.82627922,0.694883133,0.02,0.3,-20.2,4.4,-26,2.5,40.5,1.3,-27.4,1.9,44.9,0.7,5331,5.2,35.72727273,2.063402739,73.71975239,-28.22230901,2.536734196,0.89240908,42.50161093,1.501318392,39.49950536,1.332756252
FIF_NP_07,Nutrient Poor,Elevated,Lowland,300,28,1.4,Flindersia ifflana,8.6581,0.98,16.1,9.6381,25.7381,0.336392352,0.038075849,0.625531799,1.67045372,0.235,26.6,113.1914894,1.03348732,88.34586466,3.2,7.585,0.608695652,26.05870535,211,9.880670969,0.972,59,35.6,36.6255144,3.142857,0.486,26.42695697,-29.7,4,40.5,0.8,15.22556391,0.30075188,0.02,0.3,-20.2,4.4,-30.5,2.9,39.5,0.5,-28.3,3.4,44.3,0.8,5683,5.2,50.625,1.407707197,71.26517684,-28.85471616,3.582797487,0.788577245,42.83894499,1.859530382,40.39832021,1.013527562
FIF_NP_10,Nutrient Poor,Elevated,Lowland,300,28,1.4,Flindersia ifflana,6.998,1.69,10.25,8.688,18.938,0.369521597,0.089238568,0.541239835,1.179788214,0.368,22.2,60.32608696,1.172246277,165.7657658,3.2,7.585,0.608695652,26.05870535,211,8.426633534,0.878,76,32.6,37.12984055,3.142857,0.439,19.74564213,-29.4,3.7,42.1,1.2,20.05717008,0.57170081,0.02,0.3,-20.2,4.4,-27.3,2.7,40,0.6,-28.3,3.1,41.2,0.8,3873,5.2,35.08333333,3.098373354,108.7012652,-28.61723519,3.286017531,0.929960925,41.42548316,1.464704201,41.69150552,1.491781768
