species,context,location,tree,state,country,lat,lon,elevation,T_min,T_max,P,P_min,P_max,E,E_min,E_max,AI,vessel_density_per_tree,void.wood_ratio_per_tree,vessel_diameter,Dh_per_tree,D_800,tree_height,distance_from_apex,sapwood_density,sapwood_density_stdev,replicates
Eucalyptus baxteri,sampled 800 cm below the tree apex,Kealys State Forest,2,VIC,Australia,-36.94,141.25,153,18.82,21.75,567.12,281.2,841,1413.08,947.7,1042.3,0.52,1387.229268,16.72786937,117.7461220237037,152.5962164,15.1,1410,800,NA,NA,243
Eucalyptus baxteri,sampled 800 cm below the tree apex,Kealys State Forest,3,VIC,Australia,-36.94,141.25,153,18.82,21.75,567.12,281.2,841,1413.08,947.7,1042.3,0.52,1204.548871,13.28795189,114.02327797739336,141.4029596,23.6,1435,830,NA,NA,211
Eucalyptus cypellocarpa,sampled 130 cm abut the tree base,Otway Ranges,1,VIC,Australia,-38.52,143.72,180,15.71,18.91,1001.42,561.8,1617.3,861.34,686.1,1011.7,1.16,1078.96,14.64,121.24539682539682,174.5371676,30.5,NA,NA,0.61,0.032,189
Eucalyptus cypellocarpa,sampled 130 cm abut the tree base,Otway Ranges,2,VIC,Australia,-38.52,143.72,180,15.71,18.91,1001.42,561.8,1617.3,861.34,686.1,1011.7,1.16,359.652033,8.247166054,162.65047619047618,201.8171533,41.7,NA,NA,0.61,0.032,63
Eucalyptus cypellocarpa,sampled 130 cm abut the tree base,Otway Ranges,3,VIC,Australia,-38.52,143.72,180,15.71,18.91,1001.42,561.8,1617.3,861.34,686.1,1011.7,1.16,502.371093,10.9427179,154.22045454545454,200.8862965,65.3,NA,NA,0.61,0.032,88
Eucalyptus delegatensis,sampled 130 cm abut the tree base,Rubicon State Forest,1,VIC,Australia,-37.38,145.89,1000,11.98,15.65,1447.73,681.9,2431.8,851.26,739.5,976.4,1.7,456.7031545,10.54875522,162.663875,204.9020131,54.3,5034,NA,0.588,0.049,80
Eucalyptus delegatensis,sampled 130 cm abut the tree base,Rubicon State Forest,2,VIC,Australia,-37.38,145.89,1000,11.98,15.65,1447.73,681.9,2431.8,851.26,739.5,976.4,1.7,588.005312,12.8029728,156.6516504854369,206.3870496,65.3,5859,NA,0.588,0.049,103
Eucalyptus delegatensis,sampled 130 cm abut the tree base,Rubicon State Forest,3,VIC,Australia,-37.38,145.89,1000,11.98,15.65,1447.73,681.9,2431.8,851.26,739.5,976.4,1.7,530.91742,10.07647348,150.76967741935485,179.7679686,89.8,5739,NA,0.588,0.049,93
Eucalyptus delegatensis,sampled 800 cm below the tree apex,Rubicon State Forest,1,VIC,Australia,-37.38,145.89,1000,11.98,15.65,1447.73,681.9,2431.8,861.43,739.5,976.4,1.7,1227.386075,15.5019639,122.50255211025807,155.136912,15.9,5034,800,NA,NA,155
Eucalyptus delegatensis,sampled 800 cm below the tree apex,Rubicon State Forest,2,VIC,Australia,-37.38,145.89,1000,11.98,15.65,1447.73,681.9,2431.8,861.43,739.5,976.4,1.7,890.5711397,14.86255236,141.5219046453846,160.5383399,16.5,5856,820,NA,NA,39
Eucalyptus delegatensis,sampled 800 cm below the tree apex,Rubicon State Forest,3,VIC,Australia,-37.38,145.89,1000,11.98,15.65,1447.73,681.9,2431.8,861.43,739.5,976.4,1.7,1215.968551,17.28746207,136.2292026771242,160.4455666,19.8,5739,850,NA,NA,153
Eucalyptus delegatensis_Falls Creek,sampled 130 cm abut the tree base,Falls Creek,1,VIC,Australia,-36.84,147.25,1274,12.89,16.13,1640.29,430,3410.1,903.05,780.4,1070.1,1.82,462.408662,7.88102959,140.95074074074074,171.0296029,49.4,NA,NA,0.53,0.024,81
Eucalyptus delegatensis_Falls Creek,sampled 130 cm abut the tree base,Falls Creek,2,VIC,Australia,-36.84,147.25,1274,12.89,16.13,1640.29,430,3410.1,903.05,780.4,1070.1,1.82,416.739657,6.53119256,136.4341095890411,163.642034,41.9,NA,NA,0.53,0.024,73
Eucalyptus delegatensis_Falls Creek,sampled 130 cm abut the tree base,Falls Creek,3,VIC,Australia,-36.84,147.25,1274,12.89,16.13,1640.29,430,3410.1,903.05,780.4,1070.1,1.82,433.865944,8.021814683,146.0561842105263,180.3953353,78.7,NA,NA,0.53,0.024,76
Eucalyptus dives,sampled 130 cm abut the tree base,Creswick Forest,1,VIC,Australia,-37.45,143.93,575,15.61,18.69,753.39,380.1,1121,952.65,811.8,1109.4,0.79,924.8195123,14.44498698,135.9243209876543,163.8997387,29.2,NA,NA,0.6,0.162,162
Eucalyptus dives,sampled 130 cm abut the tree base,Creswick Forest,2,VIC,Australia,-37.45,143.93,575,15.61,18.69,753.39,380.1,1121,952.65,811.8,1109.4,0.79,702.1777778,9.655306948,125.07731707317073,165.962311,36.7,NA,NA,0.6,0.162,123
Eucalyptus dives,sampled 130 cm abut the tree base,Creswick Forest,3,VIC,Australia,-37.45,143.93,575,15.61,18.69,753.39,380.1,1121,952.65,811.8,1109.4,0.79,747.8478772,15.63337738,158.3306106870229,184.1371928,23.9,NA,NA,0.6,0.162,131
Eucalyptus globulus (bicostata),sampled 130 cm abut the tree base,Tiger Hill_up,1,VIC,Australia,-36.79,146.06,795,NA,NA,1203.79,NA,NA,1025.94,NA,NA,1.17,474.6641333,7.872,150.3948270580435,171.097725,33.7,3631,NA,0.650553482,0.021169975,46
Eucalyptus globulus (bicostata),sampled 130 cm abut the tree base,Tiger Hill_up,2,VIC,Australia,-36.79,146.06,795,NA,NA,1203.79,NA,NA,1025.94,NA,NA,1.17,593.3302,12.037,156.32479926153846,180.0044372,40.2,3470,NA,0.650553482,0.021169975,65
Eucalyptus globulus (bicostata),sampled 130 cm abut the tree base,Tiger Hill_up,3,VIC,Australia,-36.79,146.06,795,NA,NA,1203.79,NA,NA,1025.94,NA,NA,1.17,629.8428,9.261,133.79891360405796,152.3646587,32.4,3216,NA,0.650553482,0.021169975,69
Eucalyptus gracilis,sampled 130 cm abut the tree base,Mildura State Forest,1,VIC,Australia,-34.33,142.09,52,21.87,24.94,333.58,112.2,582.4,1344.11,1208,1476.4,0.25,4863.865583,11.56221276,52.718826291079814,67.02232287,26.2,1110,NA,0.786,0.061,213
Eucalyptus gracilis,sampled 130 cm abut the tree base,Mildura State Forest,2,VIC,Australia,-34.33,142.09,52,21.87,24.94,333.58,112.2,582.4,1344.11,1208,1476.4,0.25,2831.546161,11.85441561,68.25572580645161,93.11726273,13.3,830,NA,0.786,0.061,124
Eucalyptus gracilis,sampled 130 cm abut the tree base,Mildura State Forest,3,VIC,Australia,-34.33,142.09,52,21.87,24.94,333.58,112.2,582.4,1344.11,1208,1476.4,0.25,4955.205781,13.29482127,56.18115207373272,68.4319685,9,645,NA,0.786,0.061,217
Eucalyptus gracilis,sampled 800 cm below the tree apex,Mildura State Forest,1,VIC,Australia,-34.33,142.09,52,21.87,24.94,333.58,112.2,582.4,1344.11,1208,1476.4,0.25,5023.710922,14.11276422,57.73783437704545,67.6395639,18.5,1110,800,NA,NA,220
Eucalyptus gracilis,sampled 800 cm below the tree apex,Mildura State Forest,2,VIC,Australia,-34.33,142.09,52,21.87,24.94,333.58,112.2,582.4,1344.11,1208,1476.4,0.25,2466.185362,8.934182545,63.5166469187963,92.16080818,16.5,830,830,NA,NA,108
Eucalyptus gracilis,sampled 800 cm below the tree apex,Mildura State Forest,3,VIC,Australia,-34.33,142.09,52,21.87,24.94,333.58,112.2,582.4,1344.11,1208,1476.4,0.25,4384.329532,12.43795954,57.926813034010415,70.70967122,15.2,645,645,NA,NA,192
Eucalyptus lesouefii,sampled 130 cm abut the tree base,Kalgoorlie,1,WA,Australia,-30.12,120.39,478,24.15,27.42,246,66.6,552.3,1627.55,1465.9,1790.3,0.15,5577.303567,12.66598478,51.377909934222586,65.5066389,16.7,920,NA,0.909,0.044,611
Eucalyptus lesouefii,sampled 130 cm abut the tree base,Kalgoorlie,2,WA,Australia,-30.12,120.39,478,24.15,27.42,246,66.6,552.3,1627.55,1465.9,1790.3,0.15,6535.75999,15.44312538,51.91378456114525,69.39838751,22,1000,NA,0.909,0.044,716
Eucalyptus lesouefii,sampled 130 cm abut the tree base,Kalgoorlie,3,WA,Australia,-30.12,120.39,478,24.15,27.42,246,66.6,552.3,1627.55,1465.9,1790.3,0.15,3446.922087,5.790474753,44.594506291305365,55.77904998,64,1180,NA,0.909,0.044,429
Eucalyptus leucoxylon,sampled 130 cm abut the tree base,Pyrenees State Forest,1,VIC,Australia,-36.67,143.29,248,19.31,22.31,489.65,202.5,863.2,1149.36,1021,1299.9,0.43,1027.577236,9.759904451,103.29605555555555,141.1596231,22.3,1400,NA,0.664,0.019,180
Eucalyptus leucoxylon,sampled 130 cm abut the tree base,Pyrenees State Forest,2,VIC,Australia,-36.67,143.29,248,19.31,22.31,489.65,202.5,863.2,1149.36,1021,1299.9,0.43,1330.141644,9.325501686,89.90064377682404,116.4367038,22.1,1560,NA,0.664,0.019,233
Eucalyptus leucoxylon,sampled 130 cm abut the tree base,Pyrenees State Forest,3,VIC,Australia,-36.67,143.29,248,19.31,22.31,489.65,202.5,863.2,1149.36,1021,1299.9,0.43,1358.685456,14.39089308,110.6020588235294,139.3371314,19.3,1650,NA,0.664,0.019,238
Eucalyptus loxophleba,sampled 130 cm abut the tree base,Quairading,1,WA,Australia,-32,117.3,269,22.13,25.04,398.95,182.7,616,1367.83,1174.8,1496.4,0.29,6279.638653,14.16422524,50.44698181818182,69.90592057,25.4,1300,NA,0.8,0.022,275
Eucalyptus loxophleba,sampled 130 cm abut the tree base,Quairading,2,WA,Australia,-32,117.3,269,22.13,25.04,398.95,182.7,616,1367.83,1174.8,1496.4,0.29,5617.422213,17.76855466,59.45056910569106,82.08620567,30.1,1750,NA,0.8,0.022,246
Eucalyptus loxophleba,sampled 130 cm abut the tree base,Quairading,3,WA,Australia,-32,117.3,269,22.13,25.04,398.95,182.7,616,1367.83,1174.8,1496.4,0.29,6576.494298,13.32083906,48.054027777777776,64.77722914,23.6,1650,NA,0.8,0.022,288
Eucalyptus macroryncha,sampled 130 cm abut the tree base,Tiger Hill_low,1,VIC,Australia,-36.74,146.15,446,NA,NA,1047.25,NA,NA,1087.46,NA,NA,0.96,1131.891,12.7555,115.63353980145162,141.8937,44.1,2594,NA,0.528,0.09,124
Eucalyptus macroryncha,sampled 130 cm abut the tree base,Tiger Hill_low,2,VIC,Australia,-36.74,146.15,446,NA,NA,1047.25,NA,NA,1087.46,NA,NA,0.96,1989.938,23.0411,115.38839515243119,145.154621459633,46.4,2556,NA,0.528,0.09,218
Eucalyptus macroryncha,sampled 130 cm abut the tree base,Tiger Hill_low,3,VIC,Australia,-36.74,146.15,446,NA,NA,1047.25,NA,NA,1087.46,NA,NA,0.96,1031.482,9.671153,106.10435741247788,124.8361311,31.1,2345,NA,0.528,0.09,113
Eucalyptus marginata,sampled 130 cm abut the tree base,Whittaker,1,WA,Australia,-32.55,116.05,260,20.26,23.57,1247.71,798.1,1912.3,1234.75,1061.1,1367,1.01,848.9185468,9.252165115,109.95784946236559,153.2901587,17.7,1200,NA,0.59,0.017,93
Eucalyptus marginata,sampled 130 cm abut the tree base,Whittaker,2,WA,Australia,-32.55,116.05,260,20.26,23.57,1247.71,798.1,1912.3,1234.75,1061.1,1367,1.01,719.3040651,8.59035118,114.27309523809524,160.553692,36,1600,NA,0.59,0.017,126
Eucalyptus marginata,sampled 130 cm abut the tree base,Whittaker,3,WA,Australia,-32.55,116.05,260,20.26,23.57,1247.71,798.1,1912.3,1234.75,1061.1,1367,1.01,970.4896116,15.53117341,137.92476470588235,162.4094719,25.5,1300,NA,0.59,0.017,170
Eucalyptus megacarpa,sampled 130 cm abut the tree base,31 Mile Brook,1,WA,Australia,-32.25,116.15,360,20.34,23.7,1211.96,696.6,2037.9,1263.57,1088.9,1396.6,0.96,1078.956098,13.55916341,121.24015873015873,148.1652956,26.9,1500,NA,0.58,0.019,189
Eucalyptus megacarpa,sampled 130 cm abut the tree base,31 Mile Brook,2,WA,Australia,-32.25,116.15,360,20.34,23.7,1211.96,696.6,2037.9,1263.57,1088.9,1396.6,0.96,1712.628723,16.59548289,107.40973333333334,126.6373358,15.3,1450,NA,0.58,0.019,75
Eucalyptus megacarpa,sampled 130 cm abut the tree base,31 Mile Brook,3,WA,Australia,-32.25,116.15,360,20.34,23.7,1211.96,696.6,2037.9,1263.57,1088.9,1396.6,0.96,1233.092681,18.39106534,131.60833333333335,161.7912325,40.7,2000,NA,0.58,0.019,54
Eucalyptus melliodora,sampled 130 cm abut the tree base,Grampians State Forest,1,VIC,Australia,-37.11,142.17,218,18.56,21.73,580.56,296.9,841.1,1080.12,935,1222.1,0.54,1096.082385,16.43540324,127.83500000000001,171.5710814,24.5,1736,NA,0.619,0.01,192
Eucalyptus melliodora,sampled 130 cm abut the tree base,Grampians State Forest,2,VIC,Australia,-37.11,142.17,218,18.56,21.73,580.56,296.9,841.1,1080.12,935,1222.1,0.54,987.6158988,12.52158969,122.48739884393063,145.3303189,42.2,1872,NA,0.619,0.01,173
Eucalyptus melliodora,sampled 130 cm abut the tree base,Grampians State Forest,3,VIC,Australia,-37.11,142.17,218,18.56,21.73,580.56,296.9,841.1,1080.12,935,1222.1,0.54,753.5566396,10.37573724,128.9843181818182,146.7488974,26.5,1795,NA,0.619,0.01,132
Eucalyptus melliodora,sampled 800 cm below the tree apex,Grampians State Forest,1,VIC,Australia,-37.11,142.17,218,18.56,21.73,580.56,296.9,841.1,1080.12,935,1222.1,0.54,1233.092683,16.78373449,126.00811855847222,156.6119121,16,1736,800,NA,NA,216
Eucalyptus melliodora,sampled 800 cm below the tree apex,Grampians State Forest,2,VIC,Australia,-37.11,142.17,218,18.56,21.73,580.56,296.9,841.1,1080.12,935,1222.1,0.54,1649.832339,13.67333505,97.30418673865384,130.0131128,15,1872,790,NA,NA,208
Eucalyptus melliodora,sampled 800 cm below the tree apex,Grampians State Forest,3,VIC,Australia,-37.11,142.17,218,18.56,21.73,580.56,296.9,841.1,1080.12,935,1222.1,0.54,1004.742186,13.82369696,128.5901959594318,149.2592614,16.7,1795,800,NA,NA,176
Eucalyptus melliodora_Tiger Hill,sampled 130 cm abut the tree base,Rushworth SF,1,VIC,Australia,-36.74,146.15,430,NA,NA,1047.25,NA,NA,1087.46,NA,NA,0.96,1259.686,12.74631,106.55738073028985,140.7984319,34.9,2614,NA,0.678413448,0.009519918,138
Eucalyptus melliodora_Tiger Hill,sampled 130 cm abut the tree base,Rushworth SF,2,VIC,Australia,-36.74,146.15,430,NA,NA,1047.25,NA,NA,1087.46,NA,NA,0.96,1652.196,16.55741,104.14933216121547,163.7171508,42.7,2802,NA,0.678413448,0.009519918,181
Eucalyptus melliodora_Tiger Hill,sampled 130 cm abut the tree base,Rushworth SF,3,VIC,Australia,-36.74,146.15,430,NA,NA,1047.25,NA,NA,1087.46,NA,NA,0.96,985.8409,14.02134,129.25331293861112,157.9422443,48.5,2884,NA,0.678413448,0.009519918,108
Eucalyptus microcarpa,sampled 130 cm abut the tree base,Pyrenees State Forest,1,VIC,Australia,-36.66,143.3,261,19.23,22.27,502.14,201.9,902.2,1152.87,1021.2,1300.9,0.44,2032.329038,12.01834882,82.7670786516854,106.2988693,37.4,1930,NA,0.757,0.031,89
Eucalyptus microcarpa,sampled 130 cm abut the tree base,Pyrenees State Forest,2,VIC,Australia,-36.66,143.3,261,19.23,22.27,502.14,201.9,902.2,1152.87,1021.2,1300.9,0.44,1621.296199,15.61587269,103.63521126760564,138.7048424,38.5,1920,NA,0.757,0.031,71
Eucalyptus microcarpa,sampled 130 cm abut the tree base,Pyrenees State Forest,3,VIC,Australia,-36.66,143.3,261,19.23,22.27,502.14,201.9,902.2,1152.87,1021.2,1300.9,0.44,1529.955568,14.83827674,105.14716417910448,138.3338332,37.6,1910,NA,0.757,0.031,67
Eucalyptus microcarpa,sampled 800 cm below the tree apex,Pyrenees State Forest,1,VIC,Australia,-36.66,143.3,261,19.23,22.27,502.14,201.9,902.2,1163.93,1021.2,1300.9,0.44,2397.680196,15.84759867,87.53788755285714,110.60792174380953,17.143809523809523,1929.904761904762,800,NA,NA,105
Eucalyptus microcarpa,sampled 800 cm below the tree apex,Pyrenees State Forest,2,VIC,Australia,-36.66,143.3,261,19.23,22.27,502.14,201.9,902.2,1163.93,1021.2,1300.9,0.44,2260.6699,13.92405779,82.06879530151515,109.6016327,11.3,1920,800,NA,NA,99
Eucalyptus microcarpa,sampled 800 cm below the tree apex,Pyrenees State Forest,3,VIC,Australia,-36.66,143.3,261,19.23,22.27,502.14,201.9,902.2,1163.93,1021.2,1300.9,0.44,1803.96891,13.0375401,90.77252123721519,115.9090114,14.8,1910,800,NA,NA,79
Eucalyptus obliqua,sampled 130 cm abut the tree base,Black Range State Forest,1,VIC,Australia,-37.34,145.6,753,14.47,17.72,1245.97,696.4,1809.6,923.78,810.1,1054.9,1.35,673.6371529,15.53738066,158.85737288135593,224.1081579,71.5,4065,NA,0.535,0.049,118
Eucalyptus obliqua,sampled 130 cm abut the tree base,Black Range State Forest,2,VIC,Australia,-37.34,145.6,753,14.47,17.72,1245.97,696.4,1809.6,923.78,810.1,1054.9,1.35,844.9008359,11.11580776,122.00918918918919,155.0989709,54.5,3650,NA,0.535,0.049,37
Eucalyptus obliqua,sampled 130 cm abut the tree base,Black Range State Forest,3,VIC,Australia,-37.34,145.6,753,14.47,17.72,1245.97,696.4,1809.6,923.78,810.1,1054.9,1.35,799.2248482,13.84313518,136.516,204.8343217,52,3720,NA,0.535,0.049,35
Eucalyptus obliqua,sampled 800 cm below the tree apex,Black Range State Forest,1,VIC,Australia,-37.34,145.6,753,14.47,17.72,1245.97,696.4,1809.6,934.07,810.1,1054.9,1.35,890.5711519,19.03142394,157.3691436551282,196.3219273,12.6,4065,800,NA,NA,156
Eucalyptus obliqua,sampled 800 cm below the tree apex,Black Range State Forest,2,VIC,Australia,-37.34,145.6,753,14.47,17.72,1245.97,696.4,1809.6,934.07,810.1,1054.9,1.35,1096.087557,11.13691062,108.10126690583333,138.1198741,9.9,3650,800,NA,NA,48
Eucalyptus obliqua,sampled 800 cm below the tree apex,Black Range State Forest,3,VIC,Australia,-37.34,145.6,753,14.47,17.72,1245.97,696.4,1809.6,934.07,810.1,1054.9,1.35,844.8948632,12.06991924,124.5876774954054,171.3495218,16,3720,800,NA,NA,37
Eucalyptus obliqua_Creswick,sampled 130 cm abut the tree base,Creswick Forest,1,VIC,Australia,-37.45,143.93,565,15.61,18.69,753.39,380.1,1121,952.65,811.8,1109.4,0.79,873.4385847,13.7844882,129.25960784313725,188.5238591,34.8,NA,NA,0.64,0.061,153
Eucalyptus obliqua_Creswick,sampled 130 cm abut the tree base,Creswick Forest,2,VIC,Australia,-37.45,143.93,565,15.61,18.69,753.39,380.1,1121,952.65,811.8,1109.4,0.79,685.0514906,9.37969133,122.71016666666667,179.1533774,37.2,NA,NA,0.64,0.061,120
Eucalyptus obliqua_Creswick,sampled 130 cm abut the tree base,Creswick Forest,3,VIC,Australia,-37.45,143.93,565,15.61,18.69,753.39,380.1,1121,952.65,811.8,1109.4,0.79,616.5463415,12.97384823,153.84657407407408,201.8956494,57.4,NA,NA,0.64,0.061,108
Eucalyptus patens,sampled 130 cm abut the tree base,31 Mile Brook,1,WA,Australia,-32.25,116.15,360,20.34,23.7,1211.96,696.6,2037.9,1263.57,1088.9,1396.6,0.96,896.2757002,17.87171607,153.8371974522293,180.2338629,44.6,2100,NA,0.63,0.016,157
Eucalyptus patens,sampled 130 cm abut the tree base,31 Mile Brook,2,WA,Australia,-32.25,116.15,360,20.34,23.7,1211.96,696.6,2037.9,1263.57,1088.9,1396.6,0.96,896.2757002,17.29985256,148.94694267515925,188.1159692,29.9,1550,NA,0.63,0.016,157
Eucalyptus patens,sampled 130 cm abut the tree base,31 Mile Brook,3,WA,Australia,-32.25,116.15,360,20.34,23.7,1211.96,696.6,2037.9,1263.57,1088.9,1396.6,0.96,873.4406505,13.6158902,134.5946405228758,165.6904757,22,1600,NA,0.63,0.016,153
Eucalyptus pauciflora,sampled 130 cm abut the tree base,Snowy Mountains,1,NSW,Australia,-36.11,148.54,1562,9.36,12.62,1484.44,641.6,2363.9,814.22,693.2,971.6,1.82,919.1107498,7.075985172,95.38993788819876,115.1439639,27.7,1172,NA,0.474,0.05,161
Eucalyptus pauciflora,sampled 130 cm abut the tree base,Snowy Mountains,2,NSW,Australia,-36.11,148.54,1562,9.36,12.62,1484.44,641.6,2363.9,814.22,693.2,971.6,1.82,616.5463415,7.46266087,119.58601851851851,145.4503695,45.4,1090,NA,0.474,0.05,108
Eucalyptus pauciflora,sampled 130 cm abut the tree base,Snowy Mountains,3,NSW,Australia,-36.11,148.54,1562,9.36,12.62,1484.44,641.6,2363.9,814.22,693.2,971.6,1.82,707.8865402,7.758836956,115.50588709677419,131.2965233,34.5,1265,NA,0.474,0.05,124
Eucalyptus pauciflora_Falls Creek,sampled 130 cm abut the tree base,Falls Creek,1,VIC,Australia,-36.94,147.34,1543,7.48,11.53,2273.99,925.2,4452.1,776.53,646.1,917.2,2.93,588.0025294,5.858297909,108.92553398058253,132.0856233,26.4,NA,NA,0.52,0.03,103
Eucalyptus pauciflora_Falls Creek,sampled 130 cm abut the tree base,Falls Creek,2,VIC,Australia,-36.94,147.34,1543,7.48,11.53,2273.99,925.2,4452.1,776.53,646.1,917.2,2.93,873.4406505,8.339771938,107.16653594771242,125.0039689,33.4,NA,NA,0.52,0.03,153
Eucalyptus pauciflora_Falls Creek,sampled 130 cm abut the tree base,Falls Creek,3,VIC,Australia,-36.94,147.34,1543,7.48,11.53,2273.99,925.2,4452.1,776.53,646.1,917.2,2.93,565.1674797,6.993791169,120.75777777777778,141.3155714,51.7,NA,NA,0.52,0.03,99
Eucalyptus polyanthemos,sampled 130 cm abut the tree base,Pyrenees State Forest,1,VIC,Australia,-36.67,143.29,248,19.31,22.31,489.65,202.5,863.2,1149.36,1021,1299.9,0.43,1575.618426,11.53497434,88.57942028985508,131.4498482,28,1420,NA,0.672,0.052,69
Eucalyptus polyanthemos,sampled 130 cm abut the tree base,Pyrenees State Forest,2,VIC,Australia,-36.67,143.29,248,19.31,22.31,489.65,202.5,863.2,1149.36,1021,1299.9,0.43,2140.785908,20.34926471,104.68415730337078,143.6215935,18,1200,NA,0.672,0.052,356
Eucalyptus polyanthemos,sampled 130 cm abut the tree base,Pyrenees State Forest,3,VIC,Australia,-36.67,143.29,248,19.31,22.31,489.65,202.5,863.2,1149.36,1021,1299.9,0.43,1809.677687,17.22189512,102.97258675078864,139.9371312,26.7,1370,NA,0.672,0.052,317
Eucalyptus polyanthemos,sampled 800 cm below the tree apex,Pyrenees State Forest,1,VIC,Australia,-36.67,143.29,248,19.31,22.31,489.65,202.5,863.2,1163.82,1021,1299.9,0.43,1883.891599,16.04803347,97.86128734730303,141.37333065424244,21.384242424242423,1419.3333333333333,800,NA,NA,330
Eucalyptus polyanthemos,sampled 800 cm below the tree apex,Pyrenees State Forest,2,VIC,Australia,-36.67,143.29,248,19.31,22.31,489.65,202.5,863.2,1163.82,1021,1299.9,0.43,2117.950858,20.890108,103.66884131221025,149.0466484,16.2,1200,800,NA,NA,371
Eucalyptus polyanthemos,sampled 800 cm below the tree apex,Pyrenees State Forest,3,VIC,Australia,-36.67,143.29,248,19.31,22.31,489.65,202.5,863.2,1163.82,1021,1299.9,0.43,1684.084912,19.67658546,110.2875307864935,153.0766055,18.8,1370,800,NA,NA,154
Eucalyptus polyanthemos_Tiger Hill,sampled 130 cm abut the tree base,Rushworth SF,1,VIC,Australia,-36.74,146.15,440,NA,NA,1047.25,NA,NA,1087.46,NA,NA,0.96,1807.375,10.53622,81.9617714010101,110.634763,26.8,1847,NA,0.710588192,0.032390378,198
Eucalyptus polyanthemos_Tiger Hill,sampled 130 cm abut the tree base,Rushworth SF,2,VIC,Australia,-36.74,146.15,440,NA,NA,1047.25,NA,NA,1087.46,NA,NA,0.96,1396.608,13.33017,104.48940023235293,134.4367977,25.7,1791,NA,0.710588192,0.032390378,153
Eucalyptus polyanthemos_Tiger Hill,sampled 130 cm abut the tree base,Rushworth SF,3,VIC,Australia,-36.74,146.15,440,NA,NA,1047.25,NA,NA,1087.46,NA,NA,0.96,2437.218,13.69267,78.88907929674157,113.2643208,24.1,1685,NA,0.710588192,0.032390378,267
Eucalyptus radiata,sampled 130 cm abut the tree base,Creswick Forest,1,VIC,Australia,-37.45,143.93,565,15.61,18.69,753.39,380.1,1121,952.65,811.8,1109.4,0.79,759.2636063,14.84163306,153.88879699248122,176.9277526,52.3,NA,NA,0.58,0.008,133
