species,population,individual,leaf_width_mm,leaf_length_mm,leaf_hairs_adult,leaf_shape,region,latitude (deg),longitude (deg),site
Pultenaea juniperina,9,7,2.97,10.26,1,broadly_lanceolate,South Dazzler,-41.2435589,146.7305208,site_at_ 41.2435589 _deg_S_and_ 146.7305208 _deg_E
Pultenaea juniperina,9,8,2.92,9.18,1,broadly_lanceolate,South Dazzler,-41.2435589,146.7305208,site_at_ 41.2435589 _deg_S_and_ 146.7305208 _deg_E
Pultenaea juniperina,9,9,2.46,13,1,lanceolate,South Dazzler,-41.2435589,146.7305208,site_at_ 41.2435589 _deg_S_and_ 146.7305208 _deg_E
Pultenaea juniperina,9,10,3.32,10.48,1,broadly_lanceolate,South Dazzler,-41.2435589,146.7305208,site_at_ 41.2435589 _deg_S_and_ 146.7305208 _deg_E
Pultenaea juniperina,10,1,0.98,7.04,1,lanceolate,Mt Nelson,-42.9153761,147.3161353,site_at_ 42.9153761 _deg_S_and_ 147.3161353 _deg_E
Pultenaea juniperina,10,2,1.04,8.14,1,lanceolate,Mt Nelson,-42.9153761,147.3161353,site_at_ 42.9153761 _deg_S_and_ 147.3161353 _deg_E
Pultenaea juniperina,10,3,1.04,8.66,1,lanceolate,Mt Nelson,-42.9153761,147.3161353,site_at_ 42.9153761 _deg_S_and_ 147.3161353 _deg_E
Pultenaea juniperina,10,4,0.96,7.58,1,lanceolate,Mt Nelson,-42.9153761,147.3161353,site_at_ 42.9153761 _deg_S_and_ 147.3161353 _deg_E
Pultenaea juniperina,10,5,1.012,8.28,1,lanceolate,Mt Nelson,-42.9153761,147.3161353,site_at_ 42.9153761 _deg_S_and_ 147.3161353 _deg_E
Pultenaea juniperina,10,6,0.72,5.56,1,lanceolate,Mt Nelson,-42.9153761,147.3161353,site_at_ 42.9153761 _deg_S_and_ 147.3161353 _deg_E
Pultenaea juniperina,10,7,0.98,6.92,1,lanceolate,Mt Nelson,-42.9153761,147.3161353,site_at_ 42.9153761 _deg_S_and_ 147.3161353 _deg_E
Pultenaea juniperina,10,8,0.92,11.1,1,lanceolate,Mt Nelson,-42.9153761,147.3161353,site_at_ 42.9153761 _deg_S_and_ 147.3161353 _deg_E
Pultenaea juniperina,10,9,0.84,6.66,1,lanceolate,Mt Nelson,-42.9153761,147.3161353,site_at_ 42.9153761 _deg_S_and_ 147.3161353 _deg_E
Pultenaea juniperina,10,10,0.68,8.58,1,lanceolate,Mt Nelson,-42.9153761,147.3161353,site_at_ 42.9153761 _deg_S_and_ 147.3161353 _deg_E
Pultenaea juniperina,11,1,0.86,6.62,1,linear,kunanyi/Mt Wellington Chalet,-42.8898689,147.2358006,site_at_ 42.8898689 _deg_S_and_ 147.2358006 _deg_E
Pultenaea juniperina,11,2,0.82,7.78,1,linear,kunanyi/Mt Wellington Chalet,-42.8898689,147.2358006,site_at_ 42.8898689 _deg_S_and_ 147.2358006 _deg_E
Pultenaea juniperina,11,3,0.84,7.9,1,linear,kunanyi/Mt Wellington Chalet,-42.8898689,147.2358006,site_at_ 42.8898689 _deg_S_and_ 147.2358006 _deg_E
Pultenaea juniperina,11,4,1.08,8.76,1,linear,kunanyi/Mt Wellington Chalet,-42.8898689,147.2358006,site_at_ 42.8898689 _deg_S_and_ 147.2358006 _deg_E
Pultenaea juniperina,11,5,0.98,7.968,1,linear,kunanyi/Mt Wellington Chalet,-42.8898689,147.2358006,site_at_ 42.8898689 _deg_S_and_ 147.2358006 _deg_E
Pultenaea juniperina,11,6,0.94,6.48,1,linear,kunanyi/Mt Wellington Chalet,-42.8898689,147.2358006,site_at_ 42.8898689 _deg_S_and_ 147.2358006 _deg_E
Pultenaea juniperina,11,7,1.06,8.54,1,linear,kunanyi/Mt Wellington Chalet,-42.8898689,147.2358006,site_at_ 42.8898689 _deg_S_and_ 147.2358006 _deg_E
Pultenaea juniperina,11,8,0.72,5.9,1,linear,kunanyi/Mt Wellington Chalet,-42.8898689,147.2358006,site_at_ 42.8898689 _deg_S_and_ 147.2358006 _deg_E
Pultenaea juniperina,11,9,0.94,8.4,1,linear,kunanyi/Mt Wellington Chalet,-42.8898689,147.2358006,site_at_ 42.8898689 _deg_S_and_ 147.2358006 _deg_E
Pultenaea juniperina,11,10,0.9,7.76,1,linear,kunanyi/Mt Wellington Chalet,-42.8898689,147.2358006,site_at_ 42.8898689 _deg_S_and_ 147.2358006 _deg_E
Pultenaea juniperina,12,1,0.84,7.14,1,lanceolate,Bruny Island,-43.4658894,147.1495739,site_at_ 43.4658894 _deg_S_and_ 147.1495739 _deg_E
Pultenaea juniperina,12,2,1.02,8.62,1,lanceolate,Bruny Island,-43.4658894,147.1495739,site_at_ 43.4658894 _deg_S_and_ 147.1495739 _deg_E
Pultenaea juniperina,12,3,0.86,7.36,1,lanceolate,Bruny Island,-43.4658894,147.1495739,site_at_ 43.4658894 _deg_S_and_ 147.1495739 _deg_E
Pultenaea juniperina,12,4,0.76,6.46,1,lanceolate,Bruny Island,-43.4658894,147.1495739,site_at_ 43.4658894 _deg_S_and_ 147.1495739 _deg_E
Pultenaea juniperina,12,5,0.76,7.08,1,lanceolate,Bruny Island,-43.4658894,147.1495739,site_at_ 43.4658894 _deg_S_and_ 147.1495739 _deg_E
Pultenaea juniperina,12,6,0.78,6.5,1,lanceolate,Bruny Island,-43.4658894,147.1495739,site_at_ 43.4658894 _deg_S_and_ 147.1495739 _deg_E
Pultenaea juniperina,12,7,0.76,7.5,1,lanceolate,Bruny Island,-43.4658894,147.1495739,site_at_ 43.4658894 _deg_S_and_ 147.1495739 _deg_E
Pultenaea juniperina,12,8,0.86,5.54,1,lanceolate,Bruny Island,-43.4658894,147.1495739,site_at_ 43.4658894 _deg_S_and_ 147.1495739 _deg_E
Pultenaea juniperina,12,9,0.78,7.48,1,lanceolate,Bruny Island,-43.4658894,147.1495739,site_at_ 43.4658894 _deg_S_and_ 147.1495739 _deg_E
Pultenaea juniperina,12,10,0.8,4.96,1,lanceolate,Bruny Island,-43.4658894,147.1495739,site_at_ 43.4658894 _deg_S_and_ 147.1495739 _deg_E
Pultenaea juniperina,13,1,1.42,6.66,1,broadly_lanceolate,Pyengana,-41.2711881,147.9701228,site_at_ 41.2711881 _deg_S_and_ 147.9701228 _deg_E
Pultenaea juniperina,13,2,1.64,6.58,1,broadly_lanceolate,Pyengana,-41.2711881,147.9701228,site_at_ 41.2711881 _deg_S_and_ 147.9701228 _deg_E
Pultenaea juniperina,13,3,1.62,6.78,1,broadly_lanceolate,Pyengana,-41.2711881,147.9701228,site_at_ 41.2711881 _deg_S_and_ 147.9701228 _deg_E
Pultenaea juniperina,13,4,1.4,7.48,1,broadly_lanceolate,Pyengana,-41.2711881,147.9701228,site_at_ 41.2711881 _deg_S_and_ 147.9701228 _deg_E
Pultenaea juniperina,13,5,1.24,5.62,1,broadly_lanceolate,Pyengana,-41.2711881,147.9701228,site_at_ 41.2711881 _deg_S_and_ 147.9701228 _deg_E
Pultenaea juniperina,13,6,1.46,6.68,1,broadly_lanceolate,Pyengana,-41.2711881,147.9701228,site_at_ 41.2711881 _deg_S_and_ 147.9701228 _deg_E
Pultenaea juniperina,13,7,1.32,6.732,1,broadly_lanceolate,Pyengana,-41.2711881,147.9701228,site_at_ 41.2711881 _deg_S_and_ 147.9701228 _deg_E
Pultenaea juniperina,13,8,1.22,7.16,1,broadly_lanceolate,Pyengana,-41.2711881,147.9701228,site_at_ 41.2711881 _deg_S_and_ 147.9701228 _deg_E
Pultenaea juniperina,13,9,1.24,8.08,1,broadly_lanceolate,Pyengana,-41.2711881,147.9701228,site_at_ 41.2711881 _deg_S_and_ 147.9701228 _deg_E
Pultenaea juniperina,13,10,1.52,7.44,1,broadly_lanceolate,Pyengana,-41.2711881,147.9701228,site_at_ 41.2711881 _deg_S_and_ 147.9701228 _deg_E
Pultenaea juniperina,14,1,2.34,8.94,1,broadly_lanceolate,Goulds Country,-41.2576111,148.0504711,site_at_ 41.2576111 _deg_S_and_ 148.0504711 _deg_E
Pultenaea juniperina,14,2,1.22,5.64,1,broadly_lanceolate,Goulds Country,-41.2576111,148.0504711,site_at_ 41.2576111 _deg_S_and_ 148.0504711 _deg_E
Pultenaea juniperina,14,3,1.2,5.82,1,broadly_lanceolate,Goulds Country,-41.2576111,148.0504711,site_at_ 41.2576111 _deg_S_and_ 148.0504711 _deg_E
Pultenaea juniperina,14,4,1.38,5.6,1,broadly_lanceolate,Goulds Country,-41.2576111,148.0504711,site_at_ 41.2576111 _deg_S_and_ 148.0504711 _deg_E
Pultenaea juniperina,14,5,1.14,6.02,1,broadly_lanceolate,Goulds Country,-41.2576111,148.0504711,site_at_ 41.2576111 _deg_S_and_ 148.0504711 _deg_E
Pultenaea juniperina,14,6,1.02,6.38,1,broadly_lanceolate,Goulds Country,-41.2576111,148.0504711,site_at_ 41.2576111 _deg_S_and_ 148.0504711 _deg_E
Pultenaea juniperina,14,7,1.74,8.9,1,broadly_lanceolate,Goulds Country,-41.2576111,148.0504711,site_at_ 41.2576111 _deg_S_and_ 148.0504711 _deg_E
Pultenaea juniperina,14,8,1.28,6.64,1,broadly_lanceolate,Goulds Country,-41.2576111,148.0504711,site_at_ 41.2576111 _deg_S_and_ 148.0504711 _deg_E
Pultenaea juniperina,14,9,1.74,7.46,1,broadly_lanceolate,Goulds Country,-41.2576111,148.0504711,site_at_ 41.2576111 _deg_S_and_ 148.0504711 _deg_E
Pultenaea juniperina,14,10,1.18,6.7,1,broadly_lanceolate,Goulds Country,-41.2576111,148.0504711,site_at_ 41.2576111 _deg_S_and_ 148.0504711 _deg_E
Pultenaea juniperina,15,1,1.02,6.3,1,linear,Projection Bluff,-41.7101675,146.7280281,site_at_ 41.7101675 _deg_S_and_ 146.7280281 _deg_E
Pultenaea juniperina,15,2,0.86,5.78,1,linear,Projection Bluff,-41.7101675,146.7280281,site_at_ 41.7101675 _deg_S_and_ 146.7280281 _deg_E
Pultenaea juniperina,15,3,1.14,6.44,1,linear,Projection Bluff,-41.7101675,146.7280281,site_at_ 41.7101675 _deg_S_and_ 146.7280281 _deg_E
Pultenaea juniperina,15,4,1.16,6.98,1,lanceolate,Projection Bluff,-41.7101675,146.7280281,site_at_ 41.7101675 _deg_S_and_ 146.7280281 _deg_E
Pultenaea juniperina,15,5,1.24,5.58,1,lanceolate,Projection Bluff,-41.7101675,146.7280281,site_at_ 41.7101675 _deg_S_and_ 146.7280281 _deg_E
Pultenaea juniperina,15,6,1.24,6.64,1,lanceolate,Projection Bluff,-41.7101675,146.7280281,site_at_ 41.7101675 _deg_S_and_ 146.7280281 _deg_E
Pultenaea juniperina,15,7,0.88,6.92,1,linear,Projection Bluff,-41.7101675,146.7280281,site_at_ 41.7101675 _deg_S_and_ 146.7280281 _deg_E
Pultenaea juniperina,15,8,0.78,5.1,1,linear,Projection Bluff,-41.7101675,146.7280281,site_at_ 41.7101675 _deg_S_and_ 146.7280281 _deg_E
Pultenaea juniperina,15,9,0.9,5.24,1,lanceolate,Projection Bluff,-41.7101675,146.7280281,site_at_ 41.7101675 _deg_S_and_ 146.7280281 _deg_E
Pultenaea juniperina,15,10,0.86,6.7,1,linear,Projection Bluff,-41.7101675,146.7280281,site_at_ 41.7101675 _deg_S_and_ 146.7280281 _deg_E
Pultenaea juniperina,16,1,0.6,4.7,0,linear,Miena,-41.9791114,146.6816817,site_at_ 41.9791114 _deg_S_and_ 146.6816817 _deg_E
Pultenaea juniperina,16,2,0.68,5.28,0,linear,Miena,-41.9791114,146.6816817,site_at_ 41.9791114 _deg_S_and_ 146.6816817 _deg_E
Pultenaea juniperina,16,3,0.812,5.12,1,linear,Miena,-41.9791114,146.6816817,site_at_ 41.9791114 _deg_S_and_ 146.6816817 _deg_E
Pultenaea juniperina,16,4,0.84,4.952,0,linear,Miena,-41.9791114,146.6816817,site_at_ 41.9791114 _deg_S_and_ 146.6816817 _deg_E
Pultenaea juniperina,16,5,0.8,5.38,1,linear,Miena,-41.9791114,146.6816817,site_at_ 41.9791114 _deg_S_and_ 146.6816817 _deg_E
Pultenaea juniperina,16,6,0.74,5.1,1,linear,Miena,-41.9791114,146.6816817,site_at_ 41.9791114 _deg_S_and_ 146.6816817 _deg_E
Pultenaea juniperina,16,7,0.78,5.28,1,linear,Miena,-41.9791114,146.6816817,site_at_ 41.9791114 _deg_S_and_ 146.6816817 _deg_E
Pultenaea juniperina,16,8,0.66,4.64,1,linear,Miena,-41.9791114,146.6816817,site_at_ 41.9791114 _deg_S_and_ 146.6816817 _deg_E
