Location,Tree_ID,Leaf_ID,Species,Leaf.mass_mg,Leaf_length_cm,Leaf.width_cm,LWR,Leaf.area_mm2,sla,Longitude,Latitude,site_spp,MAP_mm
Bonython,BONO-2,BONO-2A,obliqua,343.5,10.711,3.09,3.466343,1975.2,5.750218341,138.3338,-35.60086,Bonython-obliqua,811
Bonython,BONO-2,BONO-2B,obliqua,419.6,11.62,3.143,3.697105,2415,5.755481411,138.3338,-35.60086,Bonython-obliqua,811
Bonython,BONO-2,BONO-2C,obliqua,440.1,12.442,3.098,4.016139,2149.4,4.883890025,138.3338,-35.60086,Bonython-obliqua,811
Bonython,BONO-2,BONO-2D,obliqua,330.4,10.8181,3.778,2.863446,1920.6,5.812953995,138.3338,-35.60086,Bonython-obliqua,811
Bonython,BONO-2,BONO-2E,obliqua,594.9,15.858,2.847,5.570074,3474.1,5.839805009,138.3338,-35.60086,Bonython-obliqua,811
Bonython,BONO-3,BONO-3A,obliqua,299.2,9.886,3.211,3.078792,2300.8,7.689839572,138.3338,-35.60086,Bonython-obliqua,811
Bonython,BONO-3,BONO-3B,obliqua,336.3,10.835,3.127,3.464982,2290.7,6.811477847,138.3338,-35.60086,Bonython-obliqua,811
Bonython,BONO-3,BONO-3C,obliqua,329.5,11.03,3.131,3.522836,2380.8,7.225493171,138.3338,-35.60086,Bonython-obliqua,811
Bonython,BONO-3,BONO-3D,obliqua,369.3,9.98,3.592,2.778396,2384,6.455456269,138.3338,-35.60086,Bonython-obliqua,811
Bonython,BONO-3,BONO-3E,obliqua,370.5,11.009,3.031,3.632135,2253.2,6.081511471,138.3338,-35.60086,Bonython-obliqua,811
Bonython,BONO-4,BONO-4A,obliqua,513.1,11.369,2.851,3.987724,2027.4,3.951276554,138.3338,-35.60086,Bonython-obliqua,811
Bonython,BONO-4,BONO-4B,obliqua,536.4,12.022,3.062,3.926192,2501.6,4.663683818,138.3338,-35.60086,Bonython-obliqua,811
Bonython,BONO-4,BONO-4C,obliqua,381.4,10.615,2.373,4.473241,1631.8,4.278447824,138.3338,-35.60086,Bonython-obliqua,811
Bonython,BONO-4,BONO-4D,obliqua,439.5,11.262,2.382,4.72796,1762.6,4.010466439,138.3338,-35.60086,Bonython-obliqua,811
Bonython,BONO-4,BONO-4E,obliqua,215.7,7.1335,2.027,3.51924,971.5,4.503940658,138.3338,-35.60086,Bonython-obliqua,811
Bonython,BONO-5,BONO-5A,obliqua,370.1,11.205,2.748,4.077511,2244.2,6.06376655,138.3338,-35.60086,Bonython-obliqua,811
Bonython,BONO-5,BONO-5B,obliqua,451.4,12.865,2.721,4.728041,2538.9,5.624501551,138.3338,-35.60086,Bonython-obliqua,811
Bonython,BONO-5,BONO-5C,obliqua,330.2,11.85,2.839,4.174005,2139.7,6.480012114,138.3338,-35.60086,Bonython-obliqua,811
Bonython,BONO-5,BONO-5D,obliqua,333.6,11.646,2.626,4.434882,2029.7,6.084232614,138.3338,-35.60086,Bonython-obliqua,811
Bonython,BONO-5,BONO-5E,obliqua,578.8,13.352,3.47,3.847839,2882.6,4.980304077,138.3338,-35.60086,Bonython-obliqua,811
Bradwood,BRADW-1 BAX,BRADW-1A-B,baxteri,446.6,10.783,2.145,5.02704,1734.4,3.883564711,138.7284,-35.05476,Bradwood-baxteri,1024
Bradwood,BRADW-1 BAX,BRADW-1B-B,baxteri,359.9,9.443,2.29,4.123581,1491.3,4.143651014,138.7284,-35.05476,Bradwood-baxteri,1024
Bradwood,BRADW-1 BAX,BRADW-1C-B,baxteri,348.6,9.698,2.136,4.540262,1461,4.191049914,138.7284,-35.05476,Bradwood-baxteri,1024
Bradwood,BRADW-1 BAX,BRADW-1D-B,baxteri,481.6,10.117,2.748,3.681587,1872.8,3.888704319,138.7284,-35.05476,Bradwood-baxteri,1024
Bradwood,BRADW-1 BAX,BRADW-1E-B,baxteri,525.8,9.495,2.51,3.782869,1891.1,3.596614682,138.7284,-35.05476,Bradwood-baxteri,1024
Bradwood,BRADW-1 BAX,BRADW-1F-B,baxteri,385.6,9.782,2.441,4.007374,1522.8,3.949170124,138.7284,-35.05476,Bradwood-baxteri,1024
Bradwood,BRADW-1 OBLIQ,BRADW-1A O,obliqua,1258.3,18.975,4.978,3.811772,5665.8,4.502741794,138.7284,-35.05476,Bradwood-obliqua,1024
Bradwood,BRADW-1 OBLIQ,BRADW-1B O,obliqua,949.4,15.004,3.727,4.025758,3673.9,3.869707183,138.7284,-35.05476,Bradwood-obliqua,1024
Bradwood,BRADW-1 OBLIQ,BRADW-1C O,obliqua,999.4,15.422,3.857,3.998444,3902.3,3.904642786,138.7284,-35.05476,Bradwood-obliqua,1024
Bradwood,BRADW-1 OBLIQ,BRADW-1D O,obliqua,1066.1,14.064,4.257,3.303735,4095.1,3.841196886,138.7284,-35.05476,Bradwood-obliqua,1024
Bradwood,BRADW-1 OBLIQ,BRADW-1E O,obliqua,1326.4,16.914,4.658,3.631172,5088.7,3.836474668,138.7284,-35.05476,Bradwood-obliqua,1024
Bradwood,BRADW-2,BRADW-2A,obliqua,404.2,12.204,1.865,6.5437,1591.2,3.936665017,138.7284,-35.05476,Bradwood-obliqua,1024
Bradwood,BRADW-2,BRADW-2B,obliqua,286.4,9.781,1.931,5.065251,1214.4,4.240223464,138.7284,-35.05476,Bradwood-obliqua,1024
Bradwood,BRADW-2,BRADW-2C,obliqua,411.9,11.475,2.863,4.008034,1716.4,4.167030833,138.7284,-35.05476,Bradwood-obliqua,1024
Bradwood,BRADW-2,BRADW-2D,obliqua,278.5,10.217,1.579,6.470551,1158.1,4.158348294,138.7284,-35.05476,Bradwood-obliqua,1024
Bradwood,BRADW-2,BRADW-2E,obliqua,274.5,9.943,1.68,5.918452,1121.7,4.086338798,138.7284,-35.05476,Bradwood-obliqua,1024
Bradwood,BRADW-2,BRADW-2F,obliqua,339.7,11.615,11.63,0.99871,1386.2,4.080659405,138.7284,-35.05476,Bradwood-obliqua,1024
Bradwood,BRADW-2,BRADW-2G,obliqua,544.5,14.31,2.594,5.516577,2193.4,4.028282828,138.7284,-35.05476,Bradwood-obliqua,1024
Bradwood,BRADW-3,BRADW-3A,obliqua,334.8,9.845,1.936,5.085227,1429,4.268219833,138.7284,-35.05476,Bradwood-obliqua,1024
Bradwood,BRADW-3,BRADW-3B,obliqua,602.4,12.554,2.693,4.661716,2344.5,3.891932271,138.7284,-35.05476,Bradwood-obliqua,1024
Bradwood,BRADW-3,BRADW-3C,obliqua,755.4,14.017,3.275,4.28,3021,3.999205719,138.7284,-35.05476,Bradwood-obliqua,1024
Bradwood,BRADW-3,BRADW-3D,obliqua,419.6,12.292,2.138,5.749298,1897,4.520972355,138.7284,-35.05476,Bradwood-obliqua,1024
Bradwood,BRADW-3,BRADW-3E,obliqua,730.9,15.231,2.943,5.175331,3079.6,4.21343549,138.7284,-35.05476,Bradwood-obliqua,1024
Cleland,CLE-1,CLE-1A,obliqua,509.3,13.148,5.259,2.500095,3907.7,7.672688003,138.714,-34.96431,Cleland-obliqua,1115
Cleland,CLE-1,CLE-1B,obliqua,534.7,12.749,3.973,3.20891,3646.4,6.819524967,138.714,-34.96431,Cleland-obliqua,1115
Cleland,CLE-1,CLE-1C,obliqua,573.6,11.729,4.898,2.394651,3935.8,6.861576011,138.714,-34.96431,Cleland-obliqua,1115
Cleland,CLE-1,CLE-1D,obliqua,362.9,11.14,4.219,2.640436,2829.8,7.797740424,138.714,-34.96431,Cleland-obliqua,1115
Cleland,CLE-1,CLE-1E,obliqua,853.9,15.536,5.671,2.739552,5064.4,5.930905258,138.714,-34.96431,Cleland-obliqua,1115
Cleland,CLE-2,CLE-2A,obliqua,318.3,10.712,2.254,4.75244,1724.6,5.41815897,138.714,-34.96431,Cleland-obliqua,1115
Cleland,CLE-2,CLE-2B,obliqua,430.4,10.499,3.083,3.405449,2256.4,5.242565056,138.714,-34.96431,Cleland-obliqua,1115
Cleland,CLE-2,CLE-2C,obliqua,753.8,14.252,3.537,4.029403,3257.9,4.321968692,138.714,-34.96431,Cleland-obliqua,1115
Cleland,CLE-2,CLE-2D,obliqua,431.9,11.657,3.141,3.711238,2253.5,5.217642973,138.714,-34.96431,Cleland-obliqua,1115
Cleland,CLE-2,CLE-2E,obliqua,796.3,12.232,3.343,3.658989,2922.8,3.670475951,138.714,-34.96431,Cleland-obliqua,1115
Cleland,CLE-3,CLE-3A,obliqua,599.4,12.561,4.315,2.911008,3625.4,6.048381715,138.714,-34.96431,Cleland-obliqua,1115
Cleland,CLE-3,CLE-3B,obliqua,1248.8,17.283,5.163,3.347472,6680.5,5.349535554,138.714,-34.96431,Cleland-obliqua,1115
Cleland,CLE-3,CLE-3C,obliqua,1517.3,20.064,7.723,2.597954,7489.3,4.935938839,138.714,-34.96431,Cleland-obliqua,1115
Cleland,CLE-3,CLE-3D,obliqua,485.7,12.188,3.818,3.192247,2877.8,5.925056619,138.714,-34.96431,Cleland-obliqua,1115
Cleland,CLE-3,CLE-3E,obliqua,1141.3,14.986,5.41,2.770055,5570.8,4.881100499,138.714,-34.96431,Cleland-obliqua,1115
Cleland,CLE-4,CLE-4A,obliqua,579.6,12.823,4.693,2.732367,3477.8,6.000345066,138.714,-34.96431,Cleland-obliqua,1115
Cleland,CLE-4,CLE-4B,obliqua,436.3,11.613,3.192,3.638158,2326.9,5.333256933,138.714,-34.96431,Cleland-obliqua,1115
Cleland,CLE-4,CLE-4C,obliqua,771.2,15.134,4.363,3.468714,4404.7,5.711488589,138.714,-34.96431,Cleland-obliqua,1115
Cleland,CLE-4,CLE-4D,obliqua,503.5,12.483,3.85,3.242338,2648.9,5.260973188,138.714,-34.96431,Cleland-obliqua,1115
Cleland,CLE-4,CLE-4E,obliqua,774.9,14.096,4.819,2.925088,4124.2,5.322235127,138.714,-34.96431,Cleland-obliqua,1115
Cleland,CLE-5,CLE-5A,obliqua,1507.3,18.229,4.876,3.738515,6530.5,4.332581437,138.714,-34.96431,Cleland-obliqua,1115
Cleland,CLE-5,CLE-5B,obliqua,808.5,13.828,3.99,3.465664,3961.5,4.899814471,138.714,-34.96431,Cleland-obliqua,1115
Cleland,CLE-5,CLE-5C,obliqua,822.1,15.247,3.109,4.904149,3882.1,4.722174918,138.714,-34.96431,Cleland-obliqua,1115
Cleland,CLE-5,CLE-5D,obliqua,415.1,12.179,2.736,4.451389,2250.1,5.420621537,138.714,-34.96431,Cleland-obliqua,1115
Cleland,CLE-5,CLE-5E,obliqua,777,14.329,4.008,3.5751,3798,4.888030888,138.714,-34.96431,Cleland-obliqua,1115
Hahndorf,HS-1,HS-1A,obliqua,526,15.525,3.269,4.749159,2928.8,5.568060837,138.8017,-35.038656,Hahndorf-obliqua,863
Hahndorf,HS-1,HS-1B,obliqua,562,15.928,4,3.982,3712,6.604982206,138.8017,-35.038656,Hahndorf-obliqua,863
Hahndorf,HS-1,HS-1C,obliqua,603.6,15.073,3.206,4.701497,3397.2,5.628230616,138.8017,-35.038656,Hahndorf-obliqua,863
Hahndorf,HS-1,HS-1D,obliqua,866.6,18.371,4.688,3.918729,5136.1,5.926725133,138.8017,-35.038656,Hahndorf-obliqua,863
Hahndorf,HS-1,HS-1E,obliqua,439.6,11.974,2.842,4.21323,2526.7,5.747725205,138.8017,-35.038656,Hahndorf-obliqua,863
Hahndorf,HS-1,HS-1F,obliqua,555.6,18.197,3.222,5.647734,3507.4,6.312814975,138.8017,-35.038656,Hahndorf-obliqua,863
Hahndorf,HS-1,HS-1G,obliqua,589.8,15.363,3.748,4.098986,3558.5,6.033401153,138.8017,-35.038656,Hahndorf-obliqua,863
Hahndorf,HS-2,HS-2A,obliqua,677.7,12.222,3.835,3.186962,3163.8,4.668437362,138.8017,-35.038656,Hahndorf-obliqua,863
Hahndorf,HS-2,HS-2B,obliqua,687.6,12.892,4.106,3.139795,3449.3,5.016433973,138.8017,-35.038656,Hahndorf-obliqua,863
Hahndorf,HS-2,HS-2C,obliqua,458.9,11.266,3.503,3.2161,2755.4,6.004358248,138.8017,-35.038656,Hahndorf-obliqua,863
Hahndorf,HS-2,HS-2D,obliqua,933.2,13.965,4.852,2.878195,4513.9,4.83701243,138.8017,-35.038656,Hahndorf-obliqua,863
Hahndorf,HS-2,HS-2E,obliqua,791.9,14.709,4.24,3.469104,3877.1,4.895946458,138.8017,-35.038656,Hahndorf-obliqua,863
Hahndorf,HS-2,HS-2F,obliqua,1245.3,15.765,5.428,2.904385,5538.3,4.447362081,138.8017,-35.038656,Hahndorf-obliqua,863
Hahndorf,HS-3,HS-3A,obliqua,650.5,13.369,3.047,4.387594,2778.6,4.271483474,138.8017,-35.038656,Hahndorf-obliqua,863
Hahndorf,HS-3,HS-3B,obliqua,967.7,13.687,3.549,3.856579,3348.6,3.460369949,138.8017,-35.038656,Hahndorf-obliqua,863
Hahndorf,HS-3,HS-3C,obliqua,499.7,11.696,3.192,3.66416,2407.3,4.817490494,138.8017,-35.038656,Hahndorf-obliqua,863
Hahndorf,HS-3,HS-3D,obliqua,378.8,10.745,1.78,6.036517,1611.3,4.253695882,138.8017,-35.038656,Hahndorf-obliqua,863
Hahndorf,HS-3,HS-3E,obliqua,474,12.074,2.433,4.962598,1854.6,3.912658228,138.8017,-35.038656,Hahndorf-obliqua,863
Hahndorf,HS-3,HS-3F,obliqua,568,13.904,2.899,4.796137,2734.1,4.813556338,138.8017,-35.038656,Hahndorf-obliqua,863
Kaiserstuhl,KAI-1,KAI-1A,baxteri,530.8,9.824,2.9,3.387586,1727,3.253579503,139.0092,-34.5735,Kaiserstuhl-baxteri,697
Kaiserstuhl,KAI-1,KAI-1B,baxteri,563.9,11.045,2.673,4.132061,2247.8,3.98616776,139.0092,-34.5735,Kaiserstuhl-baxteri,697
Kaiserstuhl,KAI-1,KAI-1C,baxteri,968.9,12.885,3.955,3.257901,3644,3.760966044,139.0092,-34.5735,Kaiserstuhl-baxteri,697
Kaiserstuhl,KAI-1,KAI-1D,baxteri,1026,14.959,3.637,4.113005,3645.4,3.553021442,139.0092,-34.5735,Kaiserstuhl-baxteri,697
Kaiserstuhl,KAI-1,KAI-1E,baxteri,879.2,13.908,3.14,4.429299,3221.7,3.664353958,139.0092,-34.5735,Kaiserstuhl-baxteri,697
Kaiserstuhl,KAI-1,KAI-1F,baxteri,560.7,8.886,2.941,3.021421,1956.6,3.489566613,139.0092,-34.5735,Kaiserstuhl-baxteri,697
Kaiserstuhl,KAI-2,KAI-2A,baxteri,722,10.684,3.192,3.347118,2593.6,3.592243767,139.0092,-34.5735,Kaiserstuhl-baxteri,697
Kaiserstuhl,KAI-2,KAI-2B,baxteri,908.6,12.152,3.208,3.78803,3053.3,3.36044464,139.0092,-34.5735,Kaiserstuhl-baxteri,697
Kaiserstuhl,KAI-2,KAI-2C,baxteri,468.9,7.847,2.575,3.047379,1541.2,3.286841544,139.0092,-34.5735,Kaiserstuhl-baxteri,697
Kaiserstuhl,KAI-2,KAI-2D,baxteri,604.4,10.042,2.661,3.773769,1956.6,3.237260093,139.0092,-34.5735,Kaiserstuhl-baxteri,697
Kaiserstuhl,KAI-2,KAI-2E,baxteri,428.9,9.43,2.432,3.877467,1584.8,3.695033807,139.0092,-34.5735,Kaiserstuhl-baxteri,697
Kaiserstuhl,KAI-3,KAI-3A,baxteri,618.8,11.02,3.008,3.663564,2497.1,4.03539108,139.0092,-34.5735,Kaiserstuhl-baxteri,697
Kaiserstuhl,KAI-3,KAI-3B,baxteri,591.5,10.16,3.71,2.738544,2421.3,4.093491124,139.0092,-34.5735,Kaiserstuhl-baxteri,697
Kaiserstuhl,KAI-3,KAI-3C,baxteri,786.1,12.672,3.165,4.003791,2973,3.781961582,139.0092,-34.5735,Kaiserstuhl-baxteri,697
Kaiserstuhl,KAI-3,KAI-3D,baxteri,643.5,11.287,3.45,3.271594,2634.2,4.093550894,139.0092,-34.5735,Kaiserstuhl-baxteri,697
Kaiserstuhl,KAI-3,KAI-3E,baxteri,729.2,11.767,3.584,3.283203,2943.6,4.036752606,139.0092,-34.5735,Kaiserstuhl-baxteri,697
Kaiserstuhl,KAI-4,KAI-4A,baxteri,468.7,9.739,3.107,3.134535,2351.1,5.016215063,139.0092,-34.5735,Kaiserstuhl-baxteri,697
Kaiserstuhl,KAI-4,KAI-4B,baxteri,527.1,7.605,3.008,2.528258,1831.7,3.475052172,139.0092,-34.5735,Kaiserstuhl-baxteri,697
Kaiserstuhl,KAI-4,KAI-4C,baxteri,573.3,12.848,3.369,3.813595,2706.7,4.721262864,139.0092,-34.5735,Kaiserstuhl-baxteri,697
Kaiserstuhl,KAI-4,KAI-4D,baxteri,537.9,11.182,3.1,3.607097,2300.9,4.277560885,139.0092,-34.5735,Kaiserstuhl-baxteri,697
Kaiserstuhl,KAI-4,KAI-4E,baxteri,543,11.089,3.449,3.215135,2753,5.069981584,139.0092,-34.5735,Kaiserstuhl-baxteri,697
Kaiserstuhl,KAI-5,KAI-5E,baxteri,893.5,12.698,3.476,3.653049,3256.6,3.644767767,139.0092,-34.5735,Kaiserstuhl-baxteri,697
Kaiserstuhl,KAI-5,KAI-5B,baxteri,893.6,11.73,4.206,2.788873,3365.2,3.765890779,139.0092,-34.5735,Kaiserstuhl-baxteri,697
Kaiserstuhl,KAI-5,KAI-5C,baxteri,708.6,11.367,3.473,3.272963,2782.2,3.926333616,139.0092,-34.5735,Kaiserstuhl-baxteri,697
Kaiserstuhl,KAI-5,KAI-5D,baxteri,728.5,12.6,3.099,4.065828,2816.4,3.866026081,139.0092,-34.5735,Kaiserstuhl-baxteri,697
Kaiserstuhl,KAI-5,KAI-5E,baxteri,740.8,10.237,3.828,2.674242,2590.6,3.497030238,139.0092,-34.5735,Kaiserstuhl-baxteri,697
Pleasant,MPS-1,Pleasant-1A,obliqua,395.8,12.8,1.833,6.983088,1706,4.310257706,139.0326,-34.74232,Pleasant-obliqua,724
Pleasant,MPS-1,Pleasant-1B,obliqua,605.4,12.471,3.102,4.020309,2555.4,4.221010902,139.0326,-34.74232,Pleasant-obliqua,724
Pleasant,MPS-1,Pleasant-1C,obliqua,680.9,15.342,3.459,4.435386,3214.5,4.720957556,139.0326,-34.74232,Pleasant-obliqua,724
Pleasant,MPS-1,Pleasant-1D,obliqua,320.3,10.035,1.831,5.480612,1280.8,3.998751171,139.0326,-34.74232,Pleasant-obliqua,724
Pleasant,MPS-1,Pleasant-1E,obliqua,508.9,14.844,2.297,6.462342,2463.5,4.84083317,139.0326,-34.74232,Pleasant-obliqua,724
Pleasant,MPS-2,Pleasant-2A,obliqua,591.2,12.744,2.516,5.065183,2383,4.030784844,139.0326,-34.74232,Pleasant-obliqua,724
Pleasant,MPS-2,Pleasant-2B,obliqua,352.7,9.643,2.323,4.151098,1533.1,4.346753615,139.0326,-34.74232,Pleasant-obliqua,724
Pleasant,MPS-2,Pleasant-2C,obliqua,387.2,12.518,2.224,5.628597,1972,5.092975207,139.0326,-34.74232,Pleasant-obliqua,724
Pleasant,MPS-2,Pleasant-2D,obliqua,456.2,10.55,2.393,4.408692,1615,3.540113985,139.0326,-34.74232,Pleasant-obliqua,724
Pleasant,MPS-2,Pleasant-2E,obliqua,570,14.129,2.65,5.331698,2577.2,4.521403509,139.0326,-34.74232,Pleasant-obliqua,724
Pleasant,MPS-2,Pleasant-2F,obliqua,432.1,11.134,2.628,4.236682,1849.9,4.281184911,139.0326,-34.74232,Pleasant-obliqua,724
Pleasant,MPS-3,Pleasant-3A,obliqua,469.1,9.317,2.948,3.160448,2110.1,4.49818802,139.0326,-34.74232,Pleasant-obliqua,724
Pleasant,MPS-3,Pleasant-3B,obliqua,684.2,13.57,3.333,4.071407,3205.7,4.685325928,139.0326,-34.74232,Pleasant-obliqua,724
Pleasant,MPS-3,Pleasant-3C,obliqua,413,10.087,3.112,3.241324,2196.5,5.318401937,139.0326,-34.74232,Pleasant-obliqua,724
Pleasant,MPS-3,Pleasant-3D,obliqua,258.1,7.964,2.597,3.066615,1434.8,5.559085626,139.0326,-34.74232,Pleasant-obliqua,724
Pleasant,MPS-3,Pleasant-3E,obliqua,443.9,12.239,2.716,4.506259,2285.3,5.148231584,139.0326,-34.74232,Pleasant-obliqua,724
Pleasant,MPS-3,Pleasant-3F,obliqua,577.3,11.266,3.661,3.077301,2908.1,5.037415555,139.0326,-34.74232,Pleasant-obliqua,724
Pleasant,MPS-4,Pleasant-4A,obliqua,570.5,12.758,2.838,4.495419,2697.8,4.728834356,139.0326,-34.74232,Pleasant-obliqua,724
Pleasant,MPS-4,Pleasant-4B,obliqua,408.6,9.582,2.609,3.672672,1815,4.441997063,139.0326,-34.74232,Pleasant-obliqua,724
Pleasant,MPS-4,Pleasant-4C,obliqua,357.2,9.875,2.645,3.733459,1831.4,5.127099664,139.0326,-34.74232,Pleasant-obliqua,724
Pleasant,MPS-4,Pleasant-4D,obliqua,226.4,7.569,2.089,3.623265,1118.1,4.93860424,139.0326,-34.74232,Pleasant-obliqua,724
Pleasant,MPS-4,Pleasant-4E,obliqua,746.9,11.603,3.549,3.269372,2878.3,3.853661802,139.0326,-34.74232,Pleasant-obliqua,724
Pleasant,MPS-4,Pleasant-4F,obliqua,260.4,7.15,2.244,3.186275,1183.4,4.544546851,139.0326,-34.74232,Pleasant-obliqua,724
Pleasant,MPS-5,Pleasant-5A,obliqua,862.3,13.777,4.341,3.173693,4138.7,4.799605706,139.0326,-34.74232,Pleasant-obliqua,724
Pleasant,MPS-5,Pleasant-5B,obliqua,621.6,13.473,3.264,4.127757,2823.4,4.542149292,139.0326,-34.74232,Pleasant-obliqua,724
Pleasant,MPS-5,Pleasant-5C,obliqua,266,9.729,2.174,4.475161,1438.7,5.408646617,139.0326,-34.74232,Pleasant-obliqua,724
Pleasant,MPS-5,Pleasant-5D,obliqua,1029.4,15.812,4.548,3.476693,4820,4.682339227,139.0326,-34.74232,Pleasant-obliqua,724
Pleasant,MPS-5,Pleasant-5E,obliqua,573.2,13.869,3.286,4.220633,3215.6,5.609909281,139.0326,-34.74232,Pleasant-obliqua,724
Stirling,SC-1,SC-1A,obliqua,429.4,13.541,2.634,5.14085,2099.9,4.890312063,138.7523,-35.020802,Stirling-obliqua,1035
Stirling,SC-1,SC-1B,obliqua,343.1,11.415,2.767,4.125407,1861.1,5.424366074,138.7523,-35.020802,Stirling-obliqua,1035
Stirling,SC-1,SC-1C,obliqua,233.2,10.563,1.949,5.419702,1278,5.480274443,138.7523,-35.020802,Stirling-obliqua,1035
Stirling,SC-1,SC-1D,obliqua,426.4,13.904,3.165,4.393049,2479.9,5.815900563,138.7523,-35.020802,Stirling-obliqua,1035
Stirling,SC-1,SC-1E,obliqua,265,11.294,2.282,4.949167,1513,5.709433962,138.7523,-35.020802,Stirling-obliqua,1035
Stirling,SC-1,SC-1F,obliqua,586.4,15.262,3.372,4.526097,3314.5,5.65228513,138.7523,-35.020802,Stirling-obliqua,1035
Stirling,SC-1,SC-1G,obliqua,504.9,15.163,3.095,4.899192,2813.2,5.571796395,138.7523,-35.020802,Stirling-obliqua,1035
Stirling,SC-1,SC-1H,obliqua,374.9,12.607,2.716,4.641753,2113.5,5.637503334,138.7523,-35.020802,Stirling-obliqua,1035
Stirling,SC-1,SC-1I,obliqua,419.1,11.372,3.267,3.480869,2487.7,5.935814841,138.7523,-35.020802,Stirling-obliqua,1035
