CODE,plant,coll,yr,treat,observation,bud_depth_mm,SPECIES,Family,MAXHT_cm,GFORM,STEMCATS,specific_leaf_area_mm2/mg
chedes,clip1,2000,0,c,1,1,Chenopodium desertorum,Chenopodiaceae,NA,NA,NA,NA
cheila,clip3,2000,0,c,1,12,Cheilanthes tenuifolia,Pteridiaceae,NA,NA,NA,NA
cheila,clip2,2000,0,c,1,11,Cheilanthes tenuifolia,Pteridiaceae,NA,NA,NA,NA
cheila,clip1,2000,0,c,1,14,Cheilanthes tenuifolia,Pteridiaceae,NA,NA,NA,NA
cheila,burn2,2000,0,b,1,8,Cheilanthes tenuifolia,Pteridiaceae,NA,NA,NA,NA
cheila,burn1,2000,0,b,1,8,Cheilanthes tenuifolia,Pteridiaceae,NA,NA,NA,NA
chepro,clip4,2000,0,c,1,5,Chenopodium desertorum subsp. microphyllum,Chenopodiaceae,NA,NA,NA,NA
chepro,clip3,2000,0,c,1,2,Chenopodium desertorum subsp. microphyllum,Chenopodiaceae,NA,NA,NA,NA
chepro,clip2,2000,0,c,1,5,Chenopodium desertorum subsp. microphyllum,Chenopodiaceae,NA,NA,NA,NA
chepro,clip1,2000,0,c,1,0,Chenopodium desertorum subsp. microphyllum,Chenopodiaceae,NA,NA,NA,NA
chepro,burn3,2000,0,b,1,3,Chenopodium desertorum subsp. microphyllum,Chenopodiaceae,NA,NA,NA,NA
chepro,burn2,2000,0,b,1,2,Chenopodium desertorum subsp. microphyllum,Chenopodiaceae,NA,NA,NA,NA
chepro,burn1,2000,0,b,1,3,Chenopodium desertorum subsp. microphyllum,Chenopodiaceae,NA,NA,NA,NA
dancae,clip3,2000,0,c,1,12,Danthonia caespitosa,Poaceae,NA,NA,NA,NA
dancae,clip2,2000,0,c,1,14,Danthonia caespitosa,Poaceae,NA,NA,NA,NA
dancae,clip1,2000,0,c,1,12,Danthonia caespitosa,Poaceae,NA,NA,NA,NA
dancae,burn3,2000,0,b,1,14,Danthonia caespitosa,Poaceae,NA,NA,NA,NA
dancae,burn2,2000,0,b,1,11,Danthonia caespitosa,Poaceae,NA,NA,NA,NA
dancae,burn1,2000,0,b,1,14,Danthonia caespitosa,Poaceae,NA,NA,NA,NA
digcoe,clip3,2000,0,c,1,15,Digitaria coenicola,Poaceae,NA,NA,NA,NA
digcoe,clip2,2000,0,c,1,16,Digitaria coenicola,Poaceae,NA,NA,NA,NA
digcoe,clip1,2000,0,c,1,18,Digitaria coenicola,Poaceae,NA,NA,NA,NA
digcoe,burn3,2000,0,b,1,14,Digitaria coenicola,Poaceae,NA,NA,NA,NA
digcoe,burn2,2000,0,b,1,15,Digitaria coenicola,Poaceae,NA,NA,NA,NA
digcoe,burn1,2000,0,b,1,14,Digitaria coenicola,Poaceae,NA,NA,NA,NA
digdiv,clip3,2000,0,c,1,16,Digitaria divaricatissima,Poaceae,NA,NA,NA,NA
digdiv,clip2,2000,0,c,1,15,Digitaria divaricatissima,Poaceae,NA,NA,NA,NA
digdiv,clip1,2000,0,c,1,14,Digitaria divaricatissima,Poaceae,NA,NA,NA,NA
digdiv,burn3,2000,0,b,1,15,Digitaria divaricatissima,Poaceae,NA,NA,NA,NA
digdiv,burn2,2000,0,b,1,15,Digitaria divaricatissima,Poaceae,NA,NA,NA,NA
digdiv,burn1,2000,0,b,1,16,Digitaria divaricatissima,Poaceae,NA,NA,NA,NA
dovian,clip3,2000,0,c,1,-3,Dodonaea viscosa subsp. angustissima,Sapindaceae,NA,NA,NA,NA
dovian,clip2,2000,0,c,1,6,Dodonaea viscosa subsp. angustissima,Sapindaceae,NA,NA,NA,NA
dovian,clip1,2000,0,c,1,1,Dodonaea viscosa subsp. angustissima,Sapindaceae,NA,NA,NA,NA
dovisp,clip1,2000,0,c,1,1,Dodonaea viscosa subsp. spatulata,Sapindaceae,NA,NA,NA,NA
einnut,clip3,2000,0,c,1,-1,Einadia nutans,Chenopodiaceae,NA,NA,NA,NA
einnut,clip2,2000,0,c,1,0,Einadia nutans,Chenopodiaceae,NA,NA,NA,NA
einnut,clip1,2000,0,c,1,0,Einadia nutans,Chenopodiaceae,NA,NA,NA,NA
enctom,clip1,2000,0,c,1,1,Enchylaena tomentosa,Chenopodiaceae,NA,NA,NA,NA
entaci,clip4,2000,0,c,1,13,Enteropogon acicularis,Poaceae,NA,NA,NA,NA
entaci,clip3,2000,0,c,1,6,Enteropogon acicularis,Poaceae,NA,NA,NA,NA
entaci,clip2,2000,0,c,1,13,Enteropogon acicularis,Poaceae,NA,NA,NA,NA
entaci,clip1,2000,0,c,1,13,Enteropogon acicularis,Poaceae,NA,NA,NA,NA
entaci,burn3,2000,0,b,1,12,Enteropogon acicularis,Poaceae,NA,NA,NA,NA
entaci,burn2,2000,0,b,1,23,Enteropogon acicularis,Poaceae,NA,NA,NA,NA
entaci,burn1,2000,0,b,1,16,Enteropogon acicularis,Poaceae,NA,NA,NA,NA
eregla,clip3,2000,0,c,1,33,Eremophila glabra,Myoporaceae,NA,NA,NA,NA
eregla,clip2,2000,0,c,1,8,Eremophila glabra,Myoporaceae,NA,NA,NA,NA
eregla,clip1,2000,0,c,1,15,Eremophila glabra,Myoporaceae,NA,NA,NA,NA
eregla,burn3,2000,0,b,1,14,Eremophila glabra,Myoporaceae,NA,NA,NA,NA
eregla,burn2,2000,0,b,1,18,Eremophila glabra,Myoporaceae,NA,NA,NA,NA
eregla,burn1,2000,0,b,1,32,Eremophila glabra,Myoporaceae,NA,NA,NA,NA
erelon,clip3,2000,0,c,1,0,Eremophila longifolia,Myoporaceae,NA,NA,NA,NA
erelon,clip2,2000,0,c,1,8,Eremophila longifolia,Myoporaceae,NA,NA,NA,NA
erelon,clip1,2000,0,c,1,14,Eremophila longifolia,Myoporaceae,NA,NA,NA,NA
erelon,burn3,2000,0,b,1,13,Eremophila longifolia,Myoporaceae,NA,NA,NA,NA
erelon,burn2,2000,0,b,1,18,Eremophila longifolia,Myoporaceae,NA,NA,NA,NA
erelon,burn1,2000,0,b,1,17,Eremophila longifolia,Myoporaceae,NA,NA,NA,NA
eutmic,clip6,2000,0,c,1,3,Eutaxia microphylla,Proteaceae,NA,NA,NA,NA
eutmic,clip5,2000,0,c,1,4,Eutaxia microphylla,Proteaceae,NA,NA,NA,NA
eutmic,clip4,2000,0,c,1,20,Eutaxia microphylla,Proteaceae,NA,NA,NA,NA
eutmic,clip3,2000,0,c,1,10,Eutaxia microphylla,Proteaceae,NA,NA,NA,NA
eutmic,clip2,2000,0,c,1,12,Eutaxia microphylla,Proteaceae,NA,NA,NA,NA
eutmic,clip1,2000,0,c,1,6,Eutaxia microphylla,Proteaceae,NA,NA,NA,NA
eutmic,burn4,2000,0,b,1,18,Eutaxia microphylla,Proteaceae,NA,NA,NA,NA
eutmic,burn3,2000,0,b,1,15,Eutaxia microphylla,Proteaceae,NA,NA,NA,NA
eutmic,burn2,2000,0,b,1,12,Eutaxia microphylla,Proteaceae,NA,NA,NA,NA
eutmic,burn1,2000,0,b,1,11,Eutaxia microphylla,Proteaceae,NA,NA,NA,NA
greane,clip1,2000,0,c,1,2,Grevillea anethifolia,Proteaceae,NA,NA,NA,NA
greane,burn1,2000,0,b,1,8,Grevillea anethifolia,Proteaceae,NA,NA,NA,NA
lomsp,clip3,2000,0,c,1,75,Lomandra leucocephala subsp. robusta,Lomadraceae,NA,NA,NA,NA
lomsp,clip2,2000,0,c,1,50,Lomandra leucocephala subsp. robusta,Lomadraceae,NA,NA,NA,NA
lomsp,clip1,2000,0,c,1,78,Lomandra leucocephala subsp. robusta,Lomadraceae,NA,NA,NA,NA
lomsp,burn3,2000,0,b,1,31,Lomandra leucocephala subsp. robusta,Lomadraceae,NA,NA,NA,NA
lomsp,burn2,2000,0,b,1,42,Lomandra leucocephala subsp. robusta,Lomadraceae,NA,NA,NA,NA
lomsp,burn1,2000,0,b,1,26,Lomandra leucocephala subsp. robusta,Lomadraceae,NA,NA,NA,NA
minlep,clip3,2000,0,c,1,6,Minuria leptophylla,Asteraceae,NA,NA,NA,NA
minlep,clip2,2000,0,c,1,6,Minuria leptophylla,Asteraceae,NA,NA,NA,NA
minlep,clip1,2000,0,c,1,6,Minuria leptophylla,Asteraceae,NA,NA,NA,NA
minlep,burn3,2000,0,b,1,9,Minuria leptophylla,Asteraceae,NA,NA,NA,NA
minlep,burn2,2000,0,b,1,12,Minuria leptophylla,Asteraceae,NA,NA,NA,NA
minlep,burn1,2000,0,b,1,13,Minuria leptophylla,Asteraceae,NA,NA,NA,NA
olepim,clip3,2000,0,c,1,5,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,clip2,2000,0,c,1,0,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,clip1,2000,0,c,1,3,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,burn3,2000,0,b,1,9,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,burn2,2000,0,b,1,13,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,burn1,2000,0,b,1,6,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
oleram,clip3,2000,0,c,1,14,Chrysocephalum semipapposum,Asteraceae,NA,NA,NA,NA
oleram,clip2,2000,0,c,1,11,Chrysocephalum semipapposum,Asteraceae,NA,NA,NA,NA
oleram,clip1,2000,0,c,1,7,Chrysocephalum semipapposum,Asteraceae,NA,NA,NA,NA
oleram,burn3,2000,0,b,1,30,Chrysocephalum semipapposum,Asteraceae,NA,NA,NA,NA
oleram,burn2,2000,0,b,1,9,Chrysocephalum semipapposum,Asteraceae,NA,NA,NA,NA
oleram,burn1,2000,0,b,1,26,Chrysocephalum semipapposum,Asteraceae,NA,NA,NA,NA
paneff,clip3,2000,0,c,1,17,Panicum queenslandicum var. queenslandicum,Poaceae,NA,NA,NA,NA
paneff,clip2,2000,0,c,1,15,Panicum queenslandicum var. queenslandicum,Poaceae,NA,NA,NA,NA
paneff,clip1,2000,0,c,1,8,Panicum queenslandicum var. queenslandicum,Poaceae,NA,NA,NA,NA
paneff,burn3,2000,0,b,1,13,Panicum queenslandicum var. queenslandicum,Poaceae,NA,NA,NA,NA
paneff,burn2,2000,0,b,1,11,Panicum queenslandicum var. queenslandicum,Poaceae,NA,NA,NA,NA
paneff,burn1,2000,0,b,1,9,Panicum queenslandicum var. queenslandicum,Poaceae,NA,NA,NA,NA
pascon,clip3,2000,0,c,1,4,Paspalidium constrictum,Poaceae,NA,NA,NA,NA
pascon,clip2,2000,0,c,1,6,Paspalidium constrictum,Poaceae,NA,NA,NA,NA
pascon,clip1,2000,0,c,1,7,Paspalidium constrictum,Poaceae,NA,NA,NA,NA
pascon,burn3,2000,0,b,1,11,Paspalidium constrictum,Poaceae,NA,NA,NA,NA
pascon,burn2,2000,0,b,1,8,Paspalidium constrictum,Poaceae,NA,NA,NA,NA
pascon,burn1,2000,0,b,1,9,Paspalidium constrictum,Poaceae,NA,NA,NA,NA
rhaspi,clip2,2000,0,c,1,1,Rhagodia spinescens,Chenopodiaceae,NA,NA,NA,NA
rhaspi,clip1,2000,0,c,1,-2,Rhagodia spinescens,Chenopodiaceae,NA,NA,NA,NA
scldia,clip3,2000,0,c,1,0,Sclerolaena diacantha,Chenopodiaceae,NA,NA,NA,NA
scldia,clip2,2000,0,c,1,0,Sclerolaena diacantha,Chenopodiaceae,NA,NA,NA,NA
scldia,clip1,2000,0,c,1,0,Sclerolaena diacantha,Chenopodiaceae,NA,NA,NA,NA
senart,clip3,2000,0,c,1,-1,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,clip2,2000,0,c,1,-12,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,clip1,2000,0,c,1,-10,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,burn1,2000,0,b,1,-4,Senna artemisioides,Fabaceae,NA,NA,NA,NA
sidcun,clip3,2000,0,c,1,19,Sida cunninghamii,Malvaceae,NA,NA,NA,NA
sidcun,clip3,2000,0,c,1,19,Sida cunninghamii,Malvaceae,NA,NA,NA,NA
sidcun,clip2,2000,0,c,1,17,Sida cunninghamii,Malvaceae,NA,NA,NA,NA
sidcun,clip2,2000,0,c,1,16,Sida cunninghamii,Malvaceae,NA,NA,NA,NA
sidcun,clip1,2000,0,c,1,15,Sida cunninghamii,Malvaceae,NA,NA,NA,NA
sidcun,clip1,2000,0,c,1,15,Sida cunninghamii,Malvaceae,NA,NA,NA,NA
sidcun,burn3,2000,0,b,1,14,Sida cunninghamii,Malvaceae,NA,NA,NA,NA
sidcun,burn2,2000,0,b,1,11,Sida cunninghamii,Malvaceae,NA,NA,NA,NA
sidcun,burn1,2000,0,b,1,12,Sida cunninghamii,Malvaceae,NA,NA,NA,NA
solfer,clip3,2000,0,c,1,2,Solanum ferocissimum,Solanaceae,NA,NA,NA,NA
solfer,clip2,2000,0,c,1,2,Solanum ferocissimum,Solanaceae,NA,NA,NA,NA
solfer,clip1,2000,0,c,1,-1,Solanum ferocissimum,Solanaceae,NA,NA,NA,NA
solsp,clip3,2000,0,c,1,10,Solanum ellipticum,Solanaceae,NA,NA,NA,NA
solsp,clip2,2000,0,c,1,3,Solanum ellipticum,Solanaceae,NA,NA,NA,NA
solsp,clip1,2000,0,c,1,0,Solanum ellipticum,Solanaceae,NA,NA,NA,NA
solsp,burn3,2000,0,b,1,42,Solanum ellipticum,Solanaceae,NA,NA,NA,NA
solsp,burn2,2000,0,b,1,14,Solanum ellipticum,Solanaceae,NA,NA,NA,NA
solsp,burn1,2000,0,b,1,25,Solanum ellipticum,Solanaceae,NA,NA,NA,NA
spapub,clip4,2000,0,c,1,4,Spartothamnella puberula,Lamiaceae,NA,NA,NA,NA
spapub,clip3,2000,0,c,1,5,Spartothamnella puberula,Lamiaceae,NA,NA,NA,NA
spapub,clip2,2000,0,c,1,7,Spartothamnella puberula,Lamiaceae,NA,NA,NA,NA
spapub,clip1,2000,0,c,1,3,Spartothamnella puberula,Lamiaceae,NA,NA,NA,NA
thetri,clip3,2000,0,c,1,16,Themeda triandra,Poaceae,NA,NA,NA,NA
thetri,clip2,2000,0,c,1,16,Themeda triandra,Poaceae,NA,NA,NA,NA
thetri,clip1,2000,0,c,1,11,Themeda triandra,Poaceae,NA,NA,NA,NA
thetri,burn3,2000,0,b,1,19,Themeda triandra,Poaceae,NA,NA,NA,NA
thetri,burn2,2000,0,b,1,22,Themeda triandra,Poaceae,NA,NA,NA,NA
thetri,burn1,2000,0,b,1,15,Themeda triandra,Poaceae,NA,NA,NA,NA
thymit,clip4,2000,0,c,1,16,Thyridolepis mitchelliana,Poaceae,NA,NA,NA,NA
thymit,clip3,2000,0,c,1,7,Thyridolepis mitchelliana,Poaceae,NA,NA,NA,NA
thymit,clip2,2000,0,c,1,7,Thyridolepis mitchelliana,Poaceae,NA,NA,NA,NA
thymit,clip1,2000,0,c,1,11,Thyridolepis mitchelliana,Poaceae,NA,NA,NA,NA
thymit,burn3,2000,0,b,1,12,Thyridolepis mitchelliana,Poaceae,NA,NA,NA,NA
thymit,burn2,2000,0,b,1,12,Thyridolepis mitchelliana,Poaceae,NA,NA,NA,NA
thymit,burn1,2000,0,b,1,16,Thyridolepis mitchelliana,Poaceae,NA,NA,NA,NA
vergre,clip3,2000,0,c,1,-3,Gonocarpus elatus,Haloragaceae,NA,NA,NA,NA
vergre,clip2,2000,0,c,1,-4,Gonocarpus elatus,Haloragaceae,NA,NA,NA,NA
vergre,clip1,2000,0,c,1,6,Gonocarpus elatus,Haloragaceae,NA,NA,NA,NA
vergre,burn3,2000,0,b,1,11,Gonocarpus elatus,Haloragaceae,NA,NA,NA,NA
vergre,burn2,2000,0,b,1,19,Gonocarpus elatus,Haloragaceae,NA,NA,NA,NA
vergre,burn1,2000,0,b,1,24,Gonocarpus elatus,Haloragaceae,NA,NA,NA,NA
vitcun,clip4,2000,0,c,1,6,Vittadinia cuneata,Asteraceae,NA,NA,NA,NA
vitcun,clip3,2000,0,c,1,3,Vittadinia cuneata,Asteraceae,NA,NA,NA,NA
vitcun,clip2,2000,0,c,1,3,Vittadinia cuneata,Asteraceae,NA,NA,NA,NA
vitcun,clip1,2000,0,c,1,4,Vittadinia cuneata,Asteraceae,NA,NA,NA,NA
vittri,clip2,2000,0,c,1,-4,Vittadinia triloba,Asteraceae,NA,NA,NA,NA
vittri,clip1,2000,0,c,1,1,Vittadinia triloba,Asteraceae,NA,NA,NA,NA
calcun,clip2,43678,1,c,1,-1,Calotis cuneifolia,Asteraceae,NA,NA,NA,NA
calcun,clip1,43678,1,c,1,1,Calotis cuneifolia,Asteraceae,NA,NA,NA,NA
callap,clip5,43678,1,c,1,11,Calotis lappulacea,Asteraceae,NA,NA,NA,NA
callap,clip4,43678,1,c,1,12,Calotis lappulacea,Asteraceae,NA,NA,NA,NA
callap,clip3,43678,1,c,1,38,Calotis lappulacea,Asteraceae,NA,NA,NA,NA
callap,clip2,43678,1,c,1,5,Calotis lappulacea,Asteraceae,NA,NA,NA,NA
callap,clip1,43678,1,c,1,2,Calotis lappulacea,Asteraceae,NA,NA,NA,NA
callap,burn4,43678,1,b,1,7,Calotis lappulacea,Asteraceae,NA,NA,NA,NA
callap,burn3,43678,1,b,1,10,Calotis lappulacea,Asteraceae,NA,NA,NA,NA
callap,burn2,43678,1,b,1,37,Calotis lappulacea,Asteraceae,NA,NA,NA,NA
callap,burn1,43678,1,b,1,24,Calotis lappulacea,Asteraceae,NA,NA,NA,NA
chepro,clip6,43678,1,c,1,6,Chenopodium desertorum subsp. microphyllum,Chenopodiaceae,NA,NA,NA,NA
chepro,clip5,43678,1,c,1,6,Chenopodium desertorum subsp. microphyllum,Chenopodiaceae,NA,NA,NA,NA
chepro,clip4,43678,1,c,1,3,Chenopodium desertorum subsp. microphyllum,Chenopodiaceae,NA,NA,NA,NA
chepro,clip3,43678,1,c,1,6,Chenopodium desertorum subsp. microphyllum,Chenopodiaceae,NA,NA,NA,NA
chepro,clip2,43678,1,c,1,5,Chenopodium desertorum subsp. microphyllum,Chenopodiaceae,NA,NA,NA,NA
chepro,clip1,43678,1,c,1,3,Chenopodium desertorum subsp. microphyllum,Chenopodiaceae,NA,NA,NA,NA
einnut,clip1,43678,1,c,1,0,Einadia nutans,Chenopodiaceae,NA,NA,NA,NA
einnut,c2 1,43678,1,c2,1,1,Einadia nutans,Chenopodiaceae,NA,NA,NA,NA
eregla,clip8,43678,1,c,1,6,Eremophila glabra,Myoporaceae,NA,NA,NA,NA
eregla,clip2,43678,1,c,1,20,Eremophila glabra,Myoporaceae,NA,NA,NA,NA
eregla,burn9,43678,1,b,1,37,Eremophila glabra,Myoporaceae,NA,NA,NA,NA
eregla,burn15,43678,1,b,1,22,Eremophila glabra,Myoporaceae,NA,NA,NA,NA
minlep,clip7,43678,1,c,1,1,Minuria leptophylla,Asteraceae,NA,NA,NA,NA
minlep,clip6,43678,1,c,1,1,Minuria leptophylla,Asteraceae,NA,NA,NA,NA
minlep,clip5,43678,1,c,1,35,Minuria leptophylla,Asteraceae,NA,NA,NA,NA
minlep,clip4,43678,1,c,1,0,Minuria leptophylla,Asteraceae,NA,NA,NA,NA
minlep,clip3,43678,1,c,1,1,Minuria leptophylla,Asteraceae,NA,NA,NA,NA
minlep,clip2,43678,1,c,1,2,Minuria leptophylla,Asteraceae,NA,NA,NA,NA
minlep,clip1,43678,1,c,1,31,Minuria leptophylla,Asteraceae,NA,NA,NA,NA
minlep,burn7,43678,1,b,1,26,Minuria leptophylla,Asteraceae,NA,NA,NA,NA
minlep,burn6,43678,1,b,1,17,Minuria leptophylla,Asteraceae,NA,NA,NA,NA
minlep,burn5,43678,1,b,1,9,Minuria leptophylla,Asteraceae,NA,NA,NA,NA
minlep,burn4,43678,1,b,1,9,Minuria leptophylla,Asteraceae,NA,NA,NA,NA
minlep,burn3,43678,1,b,1,8,Minuria leptophylla,Asteraceae,NA,NA,NA,NA
minlep,burn2,43678,1,b,1,14,Minuria leptophylla,Asteraceae,NA,NA,NA,NA
minlep,burn1,43678,1,b,1,24,Minuria leptophylla,Asteraceae,NA,NA,NA,NA
olepim,clip5,43678,1,c,1,23,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,clip4,43678,1,c,1,9,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,clip3,43678,1,c,1,9,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,clip2,43678,1,c,1,10,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,clip1,43678,1,c,1,2,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,c2 5,43678,1,c2,1,26,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,c2 4,43678,1,c2,1,20,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,c2 3,43678,1,c2,1,16,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,c2 2,43678,1,c2,1,12,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,c2 1,43678,1,c2,1,-4,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,burn5,43678,1,b,1,20,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,burn4,43678,1,b,1,27,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,burn3,43678,1,b,1,40,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,burn2,43678,1,b,1,36,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,burn1,43678,1,b,1,15,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
scldia,clip4,43678,1,c,1,5,Sclerolaena diacantha,Chenopodiaceae,NA,NA,NA,NA
scldia,clip3,43678,1,c,1,2,Sclerolaena diacantha,Chenopodiaceae,NA,NA,NA,NA
scldia,clip2,43678,1,c,1,2,Sclerolaena diacantha,Chenopodiaceae,NA,NA,NA,NA
scldia,clip1,43678,1,c,1,4,Sclerolaena diacantha,Chenopodiaceae,NA,NA,NA,NA
senart,clip5,43678,1,c,1,2,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,clip4,43678,1,c,1,2,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,clip3,43678,1,c,1,3,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,clip2,43678,1,c,1,-1,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,clip1,43678,1,c,1,-3,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,c2 5,43678,1,c2,1,1,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,c2 4,43678,1,c2,1,16,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,c2 3,43678,1,c2,1,-19,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,c2 2,43678,1,c2,1,-7,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,c2 1,43678,1,c2,1,-2,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,burn6,43678,1,b,1,19,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,burn5,43678,1,b,1,13,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,burn4,43678,1,b,1,16,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,burn3,43678,1,b,1,19,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,burn2,43678,1,b,1,21,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,burn1,43678,1,b,1,16,Senna artemisioides,Fabaceae,NA,NA,NA,NA
eregla,clip b,43770,1,c,1,11,Eremophila glabra,Myoporaceae,NA,NA,NA,NA
eregla,clip a,43770,1,c,1,23,Eremophila glabra,Myoporaceae,NA,NA,NA,NA
eregla,clip 14,43770,1,c,1,5,Eremophila glabra,Myoporaceae,NA,NA,NA,NA
eregla,clip 11,43770,1,c,1,25,Eremophila glabra,Myoporaceae,NA,NA,NA,NA
eregla,burn 37,43770,1,b,1,12,Eremophila glabra,Myoporaceae,NA,NA,NA,NA
eregla,burn 35,43770,1,b,1,17,Eremophila glabra,Myoporaceae,NA,NA,NA,NA
eregla,burn 32,43770,1,b,1,14,Eremophila glabra,Myoporaceae,NA,NA,NA,NA
eregla,burn 24,43770,1,b,1,11,Eremophila glabra,Myoporaceae,NA,NA,NA,NA
eregla,burn 18,43770,1,b,1,18,Eremophila glabra,Myoporaceae,NA,NA,NA,NA
erelon,clip e,43770,1,c,1,19,Eremophila longifolia,Myoporaceae,NA,NA,NA,NA
erelon,clip d,43770,1,c,1,2,Eremophila longifolia,Myoporaceae,NA,NA,NA,NA
