Family,Species,Diaspore class,Life form,Habitat class,Seed diameter (mm),BFG 1 (%),BFG2 (%),BFG3 (%),BFG4 (%),BFG5 (%),BFG6 (%)
Anocynaceae,Parsonsia  lilacina,wa,sclim,4,1,0,0,10,12,12,5
Anocynaceae,Parsonsia  longipetiolata,wa,tclim,5,1.5,18,4,24,18,29,8
Anocynaceae,Parsonsia  paulforsteri,wa,sclim,5,1,0,0,0,17,54,33
Anocynaceae,Parsonsia  plaesiophylla,wa,tclim,6,1.5,0,0,0,2,1,8
Anocynaceae,Parsonsia rotata,wa,sclim,6,1.5,0,9,14,27,32,38
Anocynaceae,Parsonsia  straminea,wa,tclim,wide,1.5,36,17,71,28,27,13
Anocynaceae,Parsonsia  tenuis,wa,sclim,2,2,0,4,0,0,0,0
Anocynaceae,Parsonsia  velutina,wa,tclim,wide,1.5,0,22,29,37,49,48
Anocynaceae,Parsonsia  ventricosa,wa,sclim,2,1,0,22,19,7,1,0
Anocynaceae,Tabernaemontana pandacaqui,ae,stree,wide,4,0,48,48,47,13,13
Araceae,Pothos longipes,ae,sclim,3,3,0,35,57,13,0,0
Araliaceae,Cephalaralia cephalobotrys,ae,sclim,2,3,27,70,24,7,0,0
Araliaceae,Polyscias elegans,ae,trees,wide,4,18,30,95,72,74,83
Araliaceae,Polyscias murrayi,ae,trees,3,2,0,4,10,3,0,0
Araliaceae,Schefflera actinophylla,ae,stree,4,3,0,0,0,3,0,3
Araucariaceae,Agathis robusta,wa,trees,1,8,91,0,5,8,1,3
Araucariaceae,Araucaria  bidwillii,un,trees,4,20,0,13,19,20,16,0
Araucariaceae,Araucaria  cunninghamii,wa,trees,wide,5,18,17,43,72,71,65
Arecaceae,Archontophoenix cunninghamiana,ae,trees,3,9,36,74,86,23,3,3
Arecaceae,Calamus  muelleri,ae,sclim,2,9,0,70,57,28,0,0
Arecaceae,Linospadix monostachya,ae,stree,2,5,0,74,29,0,0,0
Arecaceae,Livistona  australis,ae,trees,3,11,9,0,24,3,0,0
Aristolochiaceae,Pararistolochia laheyana,ae,sclim,2,2,0,9,0,0,0,0
Aristolochiaceae,Pararistolochia praevenosa,ae,tclim,3,3,0,4,14,2,0,0
Asclepiadaceae,Cynanchum bowmanii,wa,sclim,6,4.5,0,0,5,10,38,53
Asclepiadaceae,Gymnanthera oblonga,wa,sclim,6,4,0,0,0,0,0,5
Asclepiadaceae,Heterostemma acuminatum,wa,sclim,4,6.5,0,0,0,2,0,0
Asclepiadaceae,Hoya australis subsp. australis,un,sclim,wide,3,27,0,48,33,40,65
Asclepiadaceae,Marsdenia flavescens,wa,sclim,3,3,0,4,10,7,1,0
Asclepiadaceae,Marsdenia glandulifera,wa,tclim,1,NA,18,0,0,0,0,0
Asclepiadaceae,Marsdenia hemiptera,wa,sclim,3,6,0,0,10,3,1,3
Asclepiadaceae,Marsdenia  micradenia,wa,sclim,5,3,0,0,10,12,51,50
Asclepiadaceae,Marsdenia  pleiadenia,wa,sclim,5,3,0,4,5,17,46,23
Asclepiadaceae,Marsdenia  rostrata,wa,tclim,1,4.5,45,4,38,17,8,3
Asclepiadaceae,Sarcostemma viminale subsp. brunonianum,wa,sclim,6,3,0,0,14,3,21,38
Asclepiadaceae,Secamone  elliptica,wa,tclim,6,5,0,0,24,23,75,90
Asclepiadaceae,Tylophora benthamii,wa,sclim,4,5,0,4,0,8,2,3
Asclepiadaceae,Tylophora grandiflora,wa,sclim,5,3,0,0,10,10,32,18
Asclepiadaceae,Tylophora  paniculata,wa,sclim,3,4,0,4,19,0,1,0
Bignoniaceae,Pandorea  jasminoides,wa,tclim,wide,5,45,30,76,70,28,25
Bignoniaceae,Pandorea  pandorana,wa,tclim,wide,5,45,13,71,60,76,73
Bignoniaceae,Pandorea sp. (Ipswich),wa,tclim,5,NA,0,0,0,0,1,0
Boraginaceae,Cordia dichotoma,ae,trees,6,7,0,0,0,0,0,8
Boraginaceae,Ehretia acuminata,ae,trees,4,3,0,22,24,25,5,0
Boraginaceae,Ehretia membranifolia,ae,stree,5,2,0,0,0,0,22,20
Burseraceae,Conarium australasicum,ae,trees,1,6,45,4,33,0,0,0
Caesalpiniaceae,Barklya syringifolia,un,trees,6,5,0,0,0,10,0,20
Caesalpiniaceae,Caesalpinia scortechinii,un,sclim,6,12,0,0,24,7,6,28
Caesalpiniaceae,Caesalpinia subtropica,un,sclim,4,12,0,9,14,15,13,0
Caesalpiniaceae,Cassia brewsteri  var. brewsteri,un,trees,6,12,0,0,0,0,0,5
Caesalpiniaceae,Cassia tomentella  var. tomentella,un,stree,5,9,0,0,0,0,8,0
Caesalpiniaceae,Senna coronilloides,un,stree,5,4,0,0,0,0,1,0
Capparaceae,Capparis arborea,ae,stree,wide,5,0,26,71,65,93,90
Capparaceae,Capparis loranthifolia,ae,stree,6,4.5,0,0,0,0,0,5
Capparaceae,Capparis ornans,ae,tclim,6,6.5,0,0,0,0,0,5
Capparaceae,Capparis sarmentosa,ae,sclim,5,2,0,0,5,53,87,68
Capparaceae,Capparis velutina,ae,stree,4,5,0,13,14,27,3,5
Caprifoliaceae,Sambucus  australasica,ae,stree,3,2,0,13,33,7,3,3
Celastraceae,Celastrus  australis,ae,sclim,3,2.5,0,0,5,0,2,0
Celastraceae,Celastrus subspicata,ae,tclim,wide,3,0,17,38,25,56,23
Celastraceae,Denhamia  celastroides,ae,stree,wide,3,64,17,81,18,11,3
Celastraceae,Denhamia  parvifolia,ae,stree,5,2,0,0,0,0,1,0
Celastraceae,Denhamia  pittosporoides,ae,stree,6,3,0,0,10,10,58,63
Celastraceae,Elaeodendron australe,ae,stree,5,8,9,9,38,32,60,28
Celastraceae,Elaeodendron melanocarpum,ae,stree,6,7,0,0,5,8,0,28
Celastraceae,Hedraianthera porphyropetala,ae,stree,4,4,0,13,14,18,0,5
Celastraceae,Maytenus  bilocularis,ae,stree,5,3,0,0,10,12,49,15
Celastraceae,Maytenus  disperma,ae,trees,5,4.5,0,0,5,17,54,38
Celastraceae,Pleurostylia  opposita,ae,stree,6,3,0,0,0,8,8,55
Celastraceae,Siphonodon australis,ae,trees,6,4.5,0,0,19,43,60,63
Combretaceae,Macropteranthes leiocaulis,wa,stree,6,NA,0,0,0,0,0,3
Combretaceae,Terminalia  porphyrocarpa,ae,trees,6,5,0,0,0,0,0,18
Cowocamaceae,Corynocarpus rupestris subsp. arborescens,ae,stree,6,25,0,0,5,0,2,8
Cucurbitaceae,Sicyos australis,un,sclim,3,4,0,4,5,3,4,0
Cucurbitaceae,Trichosanthes subvelutina ,ae,tclim,2,6,0,4,0,3,1,0
Cunoniaceae,Caldcluvia paniculosa ,wa,trees,2,1,0,48,14,2,0,0
Cunoniaceae,Callicoma  serratifolia,wa,trees,3,1.5,0,0,5,0,0,0
Cunoniaceae,Ceratopetalum apetalum,wa,trees,2,2.5,0,9,0,0,0,0
Cunoniaceae,Geissois  benthamii,wa,trees,2,2,0,22,5,0,0,0
Cunoniaceae,Pseudoweinmannia lachnocarpa,wa,trees,2,1,0,48,29,40,2,0
Cunoniaceae,Schizomeria ovata,ae,trees,l,6,64,9,48,3,0,0
Dilleniace,Hibbertia scandens,ae,tclim,1,NA,36,9,0,2,0,0
Dioscoraceae,Dioscorea transversa,wa,sclim,wide,3,64,22,86,78,69,70
Ebenaceae,Diospyros australis,ae,stree,6,7,0,9,43,60,40,65
Ebenaceae,Diospyros ellipticifolia var. ebenus,ae,stree,3,4,9,0,19,3,0,0
Ebenaceae,Diospyros fasciculosa,ae,trees,wide,6,18,0,43,52,28,55
Ebenaceae,Diospyros geminata,ae,stree,6,3,0,0,0,50,74,85
Ebenaceae,Diospyros humilis,ae,stree,6,3,0,0,0,0,0,30
Ebenaceae,Diospyros pentamera,ae,trees,wide,6,82,78,90,75,20,10
Elaeagnaceae,Elaeagnus trijlora,ae,sclim,3,8,0,4,19,8,0,0
Elaeocarpaceae,Elaeocarpus eumundi,ae,trees,I,8,45,4,29,0,0,0
Elaeocarpaceae,Elaeocarpus grandis,ae,trees,3,6,27,22,67,5,0,3
Elaeocarpaceae,Elaeocarpus kirtonii,ae,trees,3,5,0,17,19,7,1,0
Elaeocarpaceae,Elaeocarpus obovatus,ae,trees,wide,4.5,36,0,62,35,34,45
Elaeocarpaceae,Sloanea australis,ae,trees,2,6,0,48,33,0,0,0
Elaeocarpaceae,Sloanea macbrydei,ae,trees,2,7,0,4,0,0,0,0
Elaeocarpaceae,Sloanea woodsii,ae,trees,2,4,0,74,48,3,0,0
Erythroxylaceae,Erythroxylum sp. (Splityard Creek),ae,stree,6,3,0,0,0,2,36,68
Euphorbiaceae,Acalypha capillipes,un,stree,5,I,0,0,10,8,47,18
Euphorbiaceae,Acalypha eremorum,un,stree,6,1.5,0,0,0,8,27,53
Euphorbiaceae,Actephila lindleyi,un,stree,wide,4,0,30,29,50,12,33
Euphorbiaceae,Alchornea ilicifolia,un,stree,6,4,0,0,52,72,81,90
Euphorbiaceae,Alchorneathozetiana,un,stree,6,4,0,0,0,0,0,5
Euphorbiaceae,Baloghia inophylla,un,trees,wide,6,0,39,76,62,59,50
Euphorbiaceae,Breynia oblongifolia,ae,stree,wide,2.5,45,4,81,57,74,80
Euphorbiaceae,Bridelia exaltata,ae,trees,5,5,0,0,10,30,35,23
Euphorbiaceae,Bridelia leichhardtii,ae,trees,6,2.5,0,0,0,8,56,65
Euphorbiaceae,Claoxylon australe,eu,stree,wide,2.5,18,13,57,50,48,30
Euphorbiaceae,Claoxylon  tenerifolium,NA,stree,6,2,0,0,0,0,2,38
Euphorbiaceae,Cleistanthus cunninghamii,un,stree,wide,3,0,26,43,83,74,63
Euphorbiaceae,Croton acronychioides,un,stree,6,4,0,4,29,47,49,63
Euphorbiaceae,Croton insularis,un,stree,5,3,0,0,14,20,81,78
Euphorbiaceae,Croton phebalioides,un,stree,6,3,0,0,0,2,23,40
Euphorbiaceae,Croton stigmatosus,un,stree,6,3,0,0,0,3,2,5
Euphorbiaceae,Dissiliaria baloghioides,un,trees,4,4,0,0,14,17,1,0
Euphorbiaceae,Dissiliaria muelleri,un,stree,6,3,0,0,0,2,0,3
Euphorbiaceae,Drypetes deplanchei,ae,trees,wide,8,0,17,71,87,94,98
Euphorbiaceae,Excoecaria dallachyana,un,trees,5,4.5,0,0,5,35,63,43
Euphorbiaceae,Flueggea leucopyrus,ae,stree,6,2.5,0,0,0,0,0,23
Euphorbiaceae,Fontainea rostrata,ae,stree,3,15,0,0,5,0,0,0
Euphorbiaceae,Fontainea venosa,ae,stree,4,15,0,0,0,3,0,3
Euphorbiaceae,Glochidion ferdinandi,ae,trees,3,4.5,18,0,62,38,9,10
Euphorbiaceae,Homalanthus nutans,ae,stree,3,4,9,22,71,20,9,0
Euphorbiaceae,Macaranga tanarius,un,stree,3,4,0,0,33,12,0,8
Euphorbiaceae,Mallotus claoxyloides,un,stree,5,4,0,0,24,55,65,53
Euphorbiaceae,Mallotus discolor,eu,trees,6,3,0,0,10,20,9,30
Euphorbiaceae,Mallotus megadontus,NA,stree,3,3,0,0,14,0,0,0
Euphorbiaceae,Mallotus philippensis,eu,trees,wide,3,0,22,62,80,80,88
Euphorbiaceae,Mallotus repandus,eu,stree,3,NA,0,0,5,0,0,0
Euphorbiaceae,Phyllanthus  gasstroemii,un,stree,4,1,0,0,0,7,6,3
Euphorbiaceae,Phyllanthus  pusillifolius,un,stree,6,1,0,0,10,5,14,15
Euphorbiaceae,Phyllanthus sauropodoides,un,stree,4,NA,0,0,5,10,0,0
Euphorbiaceae,Phyllanthus  sp. (Bu1burin),un,stree,4,1.5,0,0,0,7,0,0
Euphorbiaceae,Phyllanthus subcrenulatus,un,stree,5,2,0,0,0,8,19,13
Euphorbiaceae,Ricinocarpos ledifolius,un,stree,6,1,0,0,0,0,6,8
Euphorbiaceae,Tragia novae-hollandiae,un,sclim,6,2,0,0,48,52,59,68
Eupomatiaceae,Eupomatia bennettii,ae,stree,3,2,0,39,52,20,2,0
Eupomatiaceae,Eupomatia laurina,ae,stree,3,2,73,39,86,22,1,0
Fabaceae,Austrosteenisia blackii,un,tclim,5,5,0,4,62,82,82,75
Fabaceae,Austrosteenisia glabristyla,un,tclim,2,5,0,57,10,2,0,0
Fabaceae,Callerya australis,ae,tclim,3,20,0,0,10,0,0,0
Fabaceae,Callerya megasperma,ae,tc1im,1,25,82,30,52,10,0,0
Fabaceae,Castanospennum australe,un,trees,3,40,0,13,48,22,13,0
Fabaceae,Derris involuta,un,tclim,3,5,0,26,52,43,39,8
Fabaceae,Erythrina  sp. (Croftby P.l.Forster+PIF6209),eu,trees,5,5,0,0,0,2,22,0
Fabaceae,Mucuna gigantea,ae,tclim,5,22,0,0,0,0,1,0
Fabaceae,Rhynchosia acuminatissima,un,sclim,4,4,0,0,0,3,2,0
Fagaceae,Nothofagus moorei,wa,trees,2,3,0,4,0,0,0,0
Flacourtiaceae,Berberidopsis beckleri,ae,sclim,3,2,0,4,5,0,0,0
Flacourtiaceae,Casearia multinenosa,ae,stree,5,1.5,0,0,24,38,78,48
Flacourtiaceae,Homalium alnifolium,un,stree,6,1,0,0,5,5,16,20
Flacourtiaceae,Scolopia braunii,ae,trees,wide,3,36,43,52,30,16,10
Flacourtiaceae,Xylosma terrae-reginae,ae,stree,6,3,0,0,14,5,13,23
Flagellariaceae,Flagellaria indica,ae,tclim,1,3,82,48,52,25,2,8
Grossulariaceae,Abrophyllum ornans,ae,stree,3,1,0,0,33,2,0,3
Grossulariaceae,Anopterus macleayanus,wa,stree,2,5,0,9,0,0,0,0
Grossulariaceae,Argophyllum nullumense,un,stree,3,0.5,0,4,5,2,0,0
Grossulariaceae,Polyosma cunninghamii,ae,trees,2,9,0,39,29,0,0,0
Grossulariaceae,Quintinia sieberi,un,trees,2,1,0,4,0,0,0,0
Grossulariaceae,Quintinia verdonii,un,trees,3,0.5,0,9,14,0,0,0
Hernandiaceae,Gyrocarpus americanus,wa,stree,6,6,0,0,0,0,0,10
Hernandiaceae,Hernandia bivalvis,ae,trees,6,18,0,0,0,0,6,18
Hernandiaceae,Galbulimima baccata,ae,trees,3,5,0,0,5,0,0,0
Hippocrateaceae,Hippocratea barbata,wa,sclim,wide,4,64,4,29,43,43,30
Icacinaceae,Citronella moorei,ae,trees,2,10,0,48,48,7,0,3
Icacinaceae,Pennantia cunninghamii,ae,trees,3,7,0,26,33,3,0,0
Lauraceae,Beilschmiedia elliptica,ae,trees,1,9,73,22,38,12,0,0
Lauraceae,Beilschmiedia obtusifolia,ae,trees,1,6,73,52,43,18,1,0
Lauraceae,Cinnamomum baileyanum,ae,trees,1,7,73,0,0,0,0,0
Lauraceae,Cinnamomum oliveri,ae,trees,2,6,9,43,33,7,0,0
Lauraceae,Cinnamomum virens,ae,trees,3,5,0,9,14,0,0,0
Lauraceae,Cryptocarya bidwillii,ae,trees,4,8,0,4,38,62,49,35
Lauraceae,Cryptocaryaerythroxylon,ae,trees,2,10,0,48,43,0,0,3
Lauraceae,Cryptocaryafloydii,ae,trees,3,11,0,0,5,0,2,0
Lauraceae,Cryptocarya foetida,ae,trees,3,8,0,0,5,2,0,0
Lauraceae,Cryptocaryafoveolata,ae,trees,3,8,0,9,14,0,0,0
Lauraceae,Cryptocarya glaucescens,ae,trees,1,12,73,9,48,5,0,0
Lauraceae,Cryptocarya hypospodia,ae,trees,4,12,0,0,5,7,1,5
Lauraceae,Cryptocarya laevigata,ae,stree,3,12,0,9,33,27,5,0
Lauraceae,Cryptocarya macdonaldii,ae,trees,1,8,100,39,62,15,1,8
Lauraceae,Cryptocarya meisneriana,ae,stree,4,8,0,0,0,2,0,0
Lauraceae,Cryptocarya microneura,ae,stree,3,8,0,9,43,3,4,0
Lauraceae,Cryptocarya obovata,ae,trees,3,8,0,57,57,25,4,3
Lauraceae,Cryptocarya onoprienkoana,ae,trees,3,9,0,0,14,2,0,0
Lauraceae,Cryptocarya sclerophylla,ae,stree,4,8,0,13,19,25,24,0
Lauraceae,Cryptocatya triplinervis,ae,trees,wide,5,9,30,48,72,39,83
Lauraceae,Endiandra compressa,ae,trees,2,35,0,4,0,2,0,0
Lauraceae,Endiandra crassiflora,ae,trees,2,6,0,9,0,0,0,0
Lauraceae,Endiandra discolor,ae,trees,1,12,91,13,48,0,0,3
Lauraceae,Endiandra hayesii,ae,trees,2,12,0,4,0,2,0,0
Lauraceae,Endiandra muelleri,ae,trees,2,15,0,26,24,3,0,0
Lauraceae,Endiandra pubens,ae,trees,4,35,0,13,19,20,0,0
Lauraceae,Endiandra sieberi,ae,stree,1,14,27,0,19,0,0,0
Lauraceae,Endiandra virens,ae,stree,3,40,0,0,10,0,0,0
Lauraceae,Litsea leefeana,ae,trees,1,8,91,39,48,2,0,3
Lauraceae,Litsea reticulata,ae,trees,wide,8,73,48,43,10,0,8
Lauraceae,Neolitsea australiensis,ae,stree,3,8,9,30,43,15,1,10
Lauraceae,Neolitsea brassii,ae,stree,3,7,0,0,5,0,0,0
Lauraceae,Neolitsea dealbata,ae,stree,3,5,55,87,100,17,1,8
Loganiaceae,Strychnos psilosperma Malvaceae (Malvales),ae,stree,6,6,0,0,10,27,57,63
Loganiaceae,Abutilon auritum,un,stree,6,1.5,0,0,0,0,12,23
Loganiaceae,Abutilon micropetalum,un,stee,6,3,0,0,0,0,0,5
Meliaceae ,Aglaia brownii,ae,stree,6,10,0,0,0,2,0,3
Meliaceae ,Anthocarapa nitidula,eu,trees,4,10,0,30,38,40,4,3
Meliaceae ,Dysoxylumfraserianum,ae,trees,2,5.5,0,48,24,12,5,0
Meliaceae ,Dysoxylum mollissimum subsp. molle,ae,trees,3,6,0,26,29,17,0,5
Meliaceae ,Dysoxylum rufim,ae,trees,3,5,9,39,57,13,2,3
Meliaceae ,Melia azedarach,ae,trees,6,4,0,4,48,42,46,63
Meliaceae ,Owenia cepiodora,ae,trees,4,10,0,0,0,2,0,0
Meliaceae ,Owenia venosa,ae,trees,5,8,0,0,0,13,51,43
Meliaceae ,Synoum glandulosum var. glandulosum,ae,stree,3,6,45,52,67,7,1,0
Meliaceae ,Toona ciliata,wa,trees,wide,3.5,0,13,48,30,15,13
Meliaceae ,Turraea pubescens,eu,stree,6,4,0,0,0,10,72,88
Menispermaceae,Carronia multisepalea,ae,tclim,2,4,0,39,19,2,0,0
Menispermaceae,Echinostephia aculeata,ae,sclim,3,4,0,0,5,3,0,0
Menispermaceae,Hypserpa decumbens,ae,sclim,1,3.5,82,0,24,2,0,0
Menispermaceae,Legnephora  moorei,ae,tclim,wide,5,0,22,52,58,53,33
Menispermaceae,Pleogyne australis,ae,sclim,6,3.5,0,4,33,43,35,83
Menispermaceae,Sarcopetalum harveyanum,ae,tclim,3,4,9,26,33,7,2,3
Menispermaceae,Stephonia japonica,ae,sclim,wide,3,27,4,71,37,34,45
Menispermaceae,Tinospora smilacina,ae,sclim,5,3,0,0,0,18,58,40
Menispermaceae,Tinospora  tinosporoides,ae,tclim,4,6,0,0,0,2,0,0
Mimosaceae,Acacia bakeri,un,trees,3,6,0,0,19,12,5,0
Mimosaceae,Acacia fasciculifera,un,trees,5,5.5,0,0,0,0,29,28
Mimosaceae,Acacia maidenii,ae,trees,5,3,0,0,38,30,48,25
Mimosaceae,Acacia melanoxylon,ae,trees,3,2.5,0,9,62,32,16,5
Mimosaceae,Archidendron grandijlorum,eu,trees,3,6,0,9,24,2,0,0
Mimosaceae,Archidendron hendersonii,eu,trees,4,7,0,0,0,2,0,0
Mimosaceae,Archidendron lovelliae,eu,trees,1,6,45,0,0,0,0,0
Mimosaceae,Archidendron muellerianum,eu,trees,2,6,0,4,0,0,0,0
Mimosaceae,Archidendropsis thozetiana,wa,trees,6,5,0,0,0,0,2,50
Mimosaceae,Pararchidendron pruinosum var. pruinosum,ae,stree,wide,5,0,22,43,30,17,25
Monimiaceae,Daphnandra sp. (McPherson Range W.D.Francis AQ217480),wa,stree,3,2.5,0,22,38,15,2,0
Monimiaceae,Daphnandra tenuipes,wa,stree,2,3,0,9,0,0,0,0
Monimiaceae,Doryphora  sassafras,wa,trees,2,3,0,30,5,0,0,0
Monimiaceae,Hedycarya  angustifolia,ae,stree,3,1.5,0,4,14,0,0,0
Monimiaceae,Palmeria scandens,ae,tclim,2,4,0,39,24,0,0,0
Monimiaceae,Wilkiea austroqueenslandica,ae,stree,2,7,0,17,0,2,0,0
Monimiaceae,Wilkiea huegeliana,ae,stree,3,7,9,35,43,10,1,0
Monimiaceae,Wilkiea macrophylla,ae,stree,wide,7,27,39,67,62,13,28
Moraceae,Ficus coronata,ae,stree,3,1,0,4,81,37,17,23
Moraceae,Ficus fraseri,ae,trees,3,1,9,13,57,32,12,5
Moraceae,Ficus macrophylla subsp. macrophylla,ae,trees,4,1,0,4,33,40,21,8
Moraceae,Ficus obliqua,ae,trees,wide,1,27,9,48,28,43,53
Moraceae,Ficus opposita,ae,stree,6,1,0,0,5,7,9,53
Moraceae,Ficus platypoda,ae,trees,6,1,9,0,14,20,29,33
Moraceae,Ficus racemosa  var. racemosa,ae,trees,6,1,0,0,0,0,0,5
Moraceae,Ficus superba  var. henneana,ae,trees,4,1,0,4,14,17,9,0
Moraceae,Ficus virens var. sublanceolata,ae,trees,6,NA,0,0,29,25,12,40
Moraceae,Ficus watkinsiana,ae,trees,wide,1,18,61,67,30,14,3
Moraceae,Maclura cochinchinensis,ae,tclim,3,NA,0,4,62,47,46,38
Moraceae,Streblus  brunonianus,ae,trees,wide,4,0,17,67,82,77,73
Moraceae,Trophis scandens subsp. scandens,ae,tclim,wide,4,55,83,67,75,93,90
Myrsinaceae,Ardisia bakeri,ae,stree,2,5,0,9,0,0,0,0
Myrsinaceae,Embelia australiana,ae,tclim,wide,4,64,48,81,72,38,28
Myrsinaceae,Rapanea howittiana,ae,stree,3,5,0,0,10,3,0,0
Myrsinaceae,Rapanea subsessilis,ae,stree,1,4,73,57,38,8,0,0
Myrsinaceae,Rapanea variabilis,ae,stree,wide,4,36,9,90,45,69,83
Myrsinaceae,Tapeinosperma pseudojambosa,ae,stree,4,5.5,0,0,10,10,0,0
Myrtaceae,Acmena hemilampra,ae,trees,I,8,100,9,14,2,0,0
Myrtaceae,Acmena ingens,ae,trees,2,18,0,43,43,2,0,0
Myrtaceae,Acmena smithii,ae,trees,3,7,0,26,52,13,3,8
Myrtaceae,Archirhodomyrtus beckleri,ae,stree,3,I,0,9,14,2,0,0
Myrtaceae,Austromyrtus acmenoides,ae,stree,4,2,0,4,24,40,9,5
Myrtaceae,Austromyrtus bidwillii,ae,stree,wide,2,0,17,29,65,88,85
Myrtaceae,Austromyrtus fragrantissima,ae,stree,4,2,0,0,0,2,0,0
Myrtaceae,Austromyrtus hillii,ae,stree,4,3,0,4,19,33,8,3
Myrtaceae,Austromyrtus inophloia,ae,stree,3,2,0,4,14,0,0,0
Myrtaceae,Austromyrtus sp. (Brookfield L.W.Jessup 155),ae,stree,4,2,0,0,0,17,1,0
Myrtaceae,Austromyrtus sp. (Upper Mudgeriba Creek),ae,stree,2,2.5,0,4,0,0,0,0
Myrtaceae,Backhousia angustifolia,wa,stree,6,1,0,0,0,0,2,28
Myrtaceae,Baclchousia citriodora,wa,stree,3,1.5,0,0,14,5,0,3
Myrtaceae,Baclchousia myrtifolia,wa,stree,3,1,27,0,48,12,2,3
Myrtaceae,Backhousia sciadophora,wa,trees,4,1,0,0,0,2,0,0
Myrtaceae,Choricarpia leptopetala,un,stree,4,1,0,0,0,2,0,0
Myrtaceae,Choricarpia subargentea,un,trees,6,1,0,0,5,10,9,13
Myrtaceae,Decaspermum humile,ae,stree,1,1.5,64,13,29,12,3,3
Myrtaceae,Eugenia reinwardtiana,ae,stree,6,8,0,0,0,0,0,10
Myrtaceae,Pilidiostigma glabrum,ae,stree,1,4,64,13,0,0,0,0
Myrtaceae,Pilidiostigma rhytispermum,ae,stree,3,2,0,9,43,8,0,0
Myrtaceae,Rhodamnia  acuminata,ae,stree,1,3,82,0,19,2,0,0
Myrtaceae,Rhodamnia  argentea,ae,trees,3,3,0,13,19,10,0,0
Myrtaceae,Rhodamnia  dumicola,ae,stree,4,3,0,0,14,27,20,25
Myrtaceae,Rhodamnia  glabrescens,ae,stree,4,2.5,0,0,0,7,0,0
Myrtaceae,Rhodamnia maideniana,ae,stree,2,3,0,4,0,2,0,0
Myrtaceae,Rhodamnia  pauciovulata,ae,stree,6,2.5,0,0,0,3,5,8
Myrtaceae,Rhodamnia  rubescens,ae,stree,3,2,0,9,67,8,4,0
Myrtaceae,Rhodamnia  spongiosa,ae,stree,6,3,0,0,0,0,0,5
Myrtaceae,Rhodamnia  whiteana,ae,stree,3,3,0,0,10,0,0,0
Myrtaceae,Rhodomyrtus psidioides,ae,stree,3,1.5,0,9,43,5,1,0
Myrtaceae,Syzygium australe,ae,trees,3,8,9,4,52,38,18,33
Myrtaceae,Syzygium corynanthum,ae,trees,2,7,0,22,5,0,0,0
Myrtaceae,Syzygium crebrinerve,ae,trees,2,8,0,43,19,2,0,0
