Species,Modern/Historic,Date Collected,latitude (deg),longitude (deg),site,Replicate,Seed Length (mm),Seed Width (mm),Seed Depth (mm),Length transformed,Width transformed,Depth transformed,Sum,Variance,Mass (g),Number of seeds weighed per replicate,Plant label number,Count_of_leaves_scanned,Leaf_or_leaflet,Leaf area (cm2),Leaf area (m2),Leaf mass (g),LMA (g/m2),Volume of Stem (mL),Mass of dried stem (g),Stem Density (g/mL),Germination %,Viability %,n,Dormant,Notes,Plant ID,HHMMSS,Photo (Asat; umol CO2 m-2 s-1),Conductance (gs; mmol H2O m-2 s-1),Ci,Area,Root (g),Totalshoot (g),Totalplant,Roottoshoot
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,11,5.92,2.86,1.45,1,0.483108108,0.244932432,10.23,0.099336879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,12,5.12,2.89,1.42,1,0.564453125,0.27734375,9.43,0.08826277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,13,5.44,2.77,1.44,1,0.509191176,0.264705882,9.65,0.093480422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,14,4.39,2.74,1.84,1,0.624145786,0.419134396,8.97,0.057855657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,15,4.43,2.48,1.28,1,0.559819413,0.288939052,8.19,0.08586031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,16,4.27,2.81,1.43,1,0.658079625,0.334894614,8.51,0.07374703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,17,5.42,2.9,1.32,1,0.535055351,0.243542435,9.64,0.097042373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,18,5.1,2.62,1.44,1,0.51372549,0.282352941,9.16,0.08944594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,19,5.45,3.11,1.55,1,0.570642202,0.28440367,10.11,0.086484303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,20,5.36,2.8,1.17,1,0.52238806,0.218283582,9.33,0.103519251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,21,4.62,2.63,1.39,1,0.569264069,0.300865801,8.64,0.082928856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,22,3.96,2.69,1.38,1,0.679292929,0.348484848,8.03,0.070751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,23,4.38,2.79,1.57,1,0.636986301,0.358447489,8.74,0.068994716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,24,5.57,2.76,1.62,1,0.49551167,0.290843806,9.95,0.088811102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,25,4.81,2.62,1.94,1,0.544698545,0.403326403,9.37,0.064811653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,26,4.99,2.92,1.6,1,0.585170341,0.320641283,9.51,0.078176393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,27,6.22,3.07,1.55,1,0.493569132,0.249196141,10.84,0.097766313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,28,5.08,2.96,1.42,1,0.582677165,0.279527559,9.46,0.087237619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,29,4.24,2.98,1.6,1,0.702830189,0.377358491,8.82,0.064658241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,30,5.03,3.18,1.57,1,0.632206759,0.312127237,9.78,0.078987967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,31,5.65,3.23,1.05,1,0.571681416,0.185840708,9.93,0.110576135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,32,5.58,2.91,1.44,1,0.521505376,0.258064516,9.93,0.09431405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,33,5.02,2.93,1.49,1,0.583665339,0.296812749,9.44,0.083343474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,34,5.47,3.02,1.26,1,0.552102377,0.230347349,9.75,0.099611531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,35,4.28,2.6,1.78,1,0.607476636,0.41588785,8.66,0.05910754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,36,5.34,2.94,1.59,1,0.550561798,0.297752809,9.87,0.0843398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,37,5.21,2.97,1.6,1,0.570057582,0.307101727,9.78,0.081567142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,38,5.89,2.9,1.48,1,0.492359932,0.251273345,10.27,0.097379198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,39,5.15,3.02,1.3,1,0.586407767,0.252427184,9.47,0.093496298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,40,5.66,3.41,1.58,1,0.602473498,0.279151943,10.65,0.086909563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,41,5.25,3.04,1.53,1,0.579047619,0.291428571,9.82,0.084666566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,42,5.89,2.69,1.61,1,0.456706282,0.273344652,10.19,0.09520195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,43,4.99,2.7,1.21,1,0.541082164,0.24248497,8.9,0.097066098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,44,5.66,2.58,1.14,1,0.455830389,0.201413428,9.38,0.110954341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,45,4.57,2.47,1.82,1,0.5404814,0.398249453,8.86,0.065943443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,46,3.34,3.35,1.19,1,1.002994012,0.356287425,7.88,0.092511584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,47,3.66,2.36,1.58,1,0.644808743,0.431693989,7.6,0.05495005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,48,5.41,3.4,1.4,1,0.628465804,0.258780037,10.21,0.091568029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,49,5.59,2.83,1.38,1,0.506261181,0.24686941,9.8,0.097585311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,50,5.85,3.21,1.46,1,0.548717949,0.24957265,10.52,0.095142734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Modern,12/1/2016,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,1,4.28,2.87,1.44,1,0.670560748,0.336448598,8.59,0.073384624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Modern,12/1/2016,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,2,4.16,3.28,1.54,1,0.788461538,0.370192308,8.98,0.068483933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Modern,12/1/2016,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,3,4.77,3.32,1.64,1,0.696016771,0.343815514,9.73,0.071892179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Modern,12/1/2016,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,4,4.64,2.97,1.73,1,0.640086207,0.372844828,9.34,0.066031056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Modern,12/1/2016,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,5,5.98,2.77,1.44,1,0.463210702,0.240802676,10.19,0.101554295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Modern,12/1/2016,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,6,5.3,2.95,1.59,1,0.556603774,0.3,9.84,0.083605079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Modern,12/1/2016,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,7,5.3,3.32,1.65,1,0.626415094,0.311320755,10.27,0.079236581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Modern,12/1/2016,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,8,5.47,2.6,1.94,1,0.475319927,0.354661792,10.01,0.078478774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Modern,12/1/2016,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,9,5.4,3.15,1.8,1,0.583333333,0.333333333,10.35,0.075617284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Modern,12/1/2016,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,10,5.05,2.62,1.84,1,0.518811881,0.364356436,9.51,0.073271248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Modern,12/1/2016,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,11,5.62,3.13,1.52,1,0.556939502,0.270462633,10.27,0.090066263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Modern,12/1/2016,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,12,5.41,3.15,1.48,1,0.582255083,0.273567468,10.04,0.088611454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Modern,12/1/2016,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,13,4.86,2.79,1.66,1,0.574074074,0.341563786,9.31,0.074334686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Modern,12/1/2016,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,14,5.15,3.29,1.31,1,0.638834951,0.254368932,9.75,0.092691111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Modern,12/1/2016,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,15,5.11,2.62,1.77,1,0.512720157,0.346379648,9.5,0.076925597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Modern,12/1/2016,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,16,5.77,2.64,1.59,1,0.457538995,0.275563258,10,0.094687523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Modern,12/1/2016,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,17,5.2,3.1,1.6,1,0.596153846,0.307692308,9.9,0.080621302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Modern,12/1/2016,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,18,5.13,2.66,1.63,1,0.518518519,0.317738791,9.42,0.081957475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Modern,12/1/2016,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,19,5.46,3.14,1.5,1,0.575091575,0.274725275,10.1,0.088532279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Modern,12/1/2016,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,20,4.84,2.78,1.52,1,0.574380165,0.314049587,9.14,0.079939136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Modern,12/1/2016,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,21,4.28,3.18,1.73,1,0.742990654,0.404205607,9.19,0.059533341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Modern,12/1/2016,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,22,5.35,3.3,1.57,1,0.61682243,0.293457944,10.22,0.083399035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Modern,12/1/2016,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,23,4.45,2.84,1.6,1,0.638202247,0.359550562,8.89,0.068746651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Modern,12/1/2016,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,24,4.55,2.96,1.89,1,0.650549451,0.415384615,9.4,0.057688148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Modern,12/1/2016,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,25,5.66,3.01,1.55,1,0.53180212,0.27385159,10.22,0.090337694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Modern,12/1/2016,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,26,5.55,3.15,1.56,1,0.567567568,0.281081081,10.26,0.087324081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Modern,12/1/2016,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,27,5.08,2.93,1.28,1,0.576771654,0.251968504,9.29,0.093796715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Modern,12/1/2016,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,28,5.22,2.83,1.76,1,0.542145594,0.337164751,9.81,0.076777597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Modern,12/1/2016,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,29,5.84,2.82,1.3,1,0.482876712,0.22260274,9.96,0.104389504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
