family,SID taxa,spauth,infraspecauth,protcontentval,oilmaterialdesc,moisturestatus,protnotes,refshort,refdesc
LYTHRACEAE,Cuphea carthagenensis,(Jacq.) J.F.Macbr.,,16.2,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
SAPINDACEAE,Dodonaea viscosa,Jacq.,,20.4,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
SAPINDACEAE,Dodonaea viscosa,Jacq.,,21.4,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
COMPOSITAE,Elephantopus scaber,L.,,26.9,Entire seed/nut,Moisture content not stated,,"(Jones & Earle, 1966)","Jones, Q. and Earle, F.R. 1966. Chemical analyses of seeds II: oil and protein content of 759 species. Economic Botany, 20:127-155."
POACEAE,Eragrostis eriopoda,Benth.,,17.4,Entire seed/nut,Moisture content not stated,,"(Brand & Cherikoff, 1985)","Brand, J.C. and Cherikoff, V. 1985. The nutritional composition of Australian Aboriginal food plants of the desert regions. In: Plants for Arid Lands (Ed. by G.E.Wickens, J.R.Goodin and D.V.Field), pp 53-68. George Allen and Unwin, London."
POACEAE,Eragrostis eriopoda,Benth.,,12.9,Entire seed/nut,Moisture content not stated,,"(Brand & Cherikoff, 1985)","Brand, J.C. and Cherikoff, V. 1985. The nutritional composition of Australian Aboriginal food plants of the desert regions. In: Plants for Arid Lands (Ed. by G.E.Wickens, J.R.Goodin and D.V.Field), pp 53-68. George Allen and Unwin, London."
POACEAE,Eragrostis eriopoda,Benth.,,17.3,Entire seed/nut,Moisture content not stated,,"(Brand & Cherikoff, 1985)","Brand, J.C. and Cherikoff, V. 1985. The nutritional composition of Australian Aboriginal food plants of the desert regions. In: Plants for Arid Lands (Ed. by G.E.Wickens, J.R.Goodin and D.V.Field), pp 53-68. George Allen and Unwin, London."
COMPOSITAE,Flaveria trinervia,(Spreng.) C.Mohr,,26.9,Entire seed/nut,Moisture content not stated,,"(Jones & Earle, 1966)","Jones, Q. and Earle, F.R. 1966. Chemical analyses of seeds II: oil and protein content of 759 species. Economic Botany, 20:127-155."
COMPOSITAE,Flaveria trinervia,(Spreng.) C.Mohr,,26.9,Entire seed/nut,Moisture content not stated,,"(Jones & Earle, 1966)","Jones, Q. and Earle, F.R. 1966. Chemical analyses of seeds II: oil and protein content of 759 species. Economic Botany, 20:127-155."
ROSACEAE,Geum urbanum,L.,,13.9,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
COMPOSITAE,Xerochrysum bracteatum,(Vent.) Tzvelev,,21.9,Entire seed/nut,Moisture content not stated,,"(Jones & Earle, 1966)","Jones, Q. and Earle, F.R. 1966. Chemical analyses of seeds II: oil and protein content of 759 species. Economic Botany, 20:127-155."
COMPOSITAE,Xerochrysum bracteatum,(Vent.) Tzvelev,,21.9,Entire seed/nut,Moisture content not stated,,"(Earle & Jones, 1962)","Earle, F.R. and Jones, Q. 1962. Analyses of seed samples from 113 plant families. Economic Botany, 16:221-250."
MALVACEAE,Helicteres isora,L.,,19.5,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
BORAGINACEAE,Heliotropium europaeum,L.,,20.9,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
MALVACEAE,Hibiscus tiliaceus,L.,,18.2,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
LEGUMINOSAE-PAPILIONOIDEAE,Indigofera hirsuta,L.,,30.2,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
LEGUMINOSAE-PAPILIONOIDEAE,Indigofera hirsuta,L.,,30.1,Entire seed/nut,Moisture content not stated,,"(Earle & Jones, 1962)","Earle, F.R. and Jones, Q. 1962. Analyses of seed samples from 113 plant families. Economic Botany, 16:221-250."
LEGUMINOSAE-PAPILIONOIDEAE,Indigofera hirsuta,L.,,27.1,Entire seed/nut,Moisture content not stated,,"(Earle & Jones, 1962)","Earle, F.R. and Jones, Q. 1962. Analyses of seed samples from 113 plant families. Economic Botany, 16:221-250."
LEGUMINOSAE-PAPILIONOIDEAE,Indigofera linifolia,(L.f.) Retz.,,37.9,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
CONVOLVULACEAE,Ipomoea eriocarpa,R.Br.,,24.8,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
CONVOLVULACEAE,Ipomoea nil,(L.) Roth,,25.4,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
MALVACEAE,Kleinhovia hospita,L.,,21.3,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
LYTHRACEAE,Lythrum salicaria,L.,,16.3,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
PROTEACEAE,Macadamia ternifolia,F.Muell.,,9,Kernel,Moisture content not stated,,"(Vaughan, 1970)","Vaughan, J.G. 1970. The Structure and Utilisation of Oil Seeds. Chapman and Hall Ltd., London."
EUPHORBIACEAE,Mallotus philippensis,(Lam.) Müll.Arg.,,20,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
EUPHORBIACEAE,Mallotus philippensis,(Lam.) Müll.Arg.,,18.5,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
MALVACEAE,Malvastrum coromandelianum,(L.) Garcke,,26,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
MELIACEAE,Melia azedarach,L.,,30.4,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
CUCURBITACEAE,Momordica balsamina,L.,,19.2,Entire seed/nut,Moisture content not stated,,"(Earle & Jones, 1962)","Earle, F.R. and Jones, Q. 1962. Analyses of seed samples from 113 plant families. Economic Botany, 16:221-250."
CUCURBITACEAE,Momordica balsamina,L.,,32.5,Entire seed/nut,Moisture content not stated,,"(Jones & Earle, 1966)","Jones, Q. and Earle, F.R. 1966. Chemical analyses of seeds II: oil and protein content of 759 species. Economic Botany, 20:127-155."
CUCURBITACEAE,Momordica balsamina,L.,,20.6,Entire seed/nut,Moisture content not stated,,"(Earle & Jones, 1962)","Earle, F.R. and Jones, Q. 1962. Analyses of seed samples from 113 plant families. Economic Botany, 16:221-250."
CUCURBITACEAE,Momordica balsamina,L.,,28.1,Entire seed/nut,Moisture content not stated,,"(Earle & Jones, 1962)","Earle, F.R. and Jones, Q. 1962. Analyses of seed samples from 113 plant families. Economic Botany, 16:221-250."
CUCURBITACEAE,Momordica balsamina,L.,,30.6,Entire seed/nut,Moisture content not stated,,"(Earle & Jones, 1962)","Earle, F.R. and Jones, Q. 1962. Analyses of seed samples from 113 plant families. Economic Botany, 16:221-250."
CUCURBITACEAE,Momordica balsamina,L.,,28.1,Entire seed/nut,Moisture content not stated,,"(Earle & Jones, 1962)","Earle, F.R. and Jones, Q. 1962. Analyses of seed samples from 113 plant families. Economic Botany, 16:221-250."
CUCURBITACEAE,Momordica charantia,L.,,21.3,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
CUCURBITACEAE,Momordica charantia,L.,,35.6,Entire seed/nut,Moisture content not stated,,"(Earle & Jones, 1962)","Earle, F.R. and Jones, Q. 1962. Analyses of seed samples from 113 plant families. Economic Botany, 16:221-250."
