name_original,"growth form 1=tree, 2=shrub, 3=subshrub, 4=forb, 5=graminoid, 10=vine","dispersal mode: 1=unassisted, 2=ant, 3=vertebrate, 4=adhesion, 5=wind",seed mass (mg),lineage,site_text
Hibiscus meraukensis,4,1,12.6,DICOT,Alligator River Kakadu
Sebastiania chamaelea,4,2,13.1,DICOT,Alligator River Kakadu
Marsdenia viridiflora,10,5,13.5,DICOT,Alligator River Kakadu
Polymeria ambigua,4,1,13.65,DICOT,Alligator River Kakadu
Tephrosia lamproloboides,4,1,13.8,DICOT,Alligator River Kakadu
Sauropus ditassoides,4,1,13.9,DICOT,Alligator River Kakadu
Sauropus affin.glaucus,4,2,14.3,DICOT,Alligator River Kakadu
Pachynema sphenandrum,4,2,14.7,DICOT,Alligator River Kakadu
Tephrosia polyzyga,4,1,14.83,DICOT,Alligator River Kakadu
Vigna radiata,10,1,15.235,DICOT,Alligator River Kakadu
Arnhemia cryptantha,1,2,15.3,DICOT,Alligator River Kakadu
Acacia difficilis,1,2,16.7,DICOT,Alligator River Kakadu
Sauropus paucifolius,4,1,16.736,DICOT,Alligator River Kakadu
Bridelia tomentosa,1,3,17,DICOT,Alligator River Kakadu
Sauropus brunonis,4,1,17.28,DICOT,Alligator River Kakadu
Brunoniella australis,4,1,17.5,DICOT,Alligator River Kakadu
Acacia oncinocarpa,1,2,17.5,DICOT,Alligator River Kakadu
Eucalyptus bleeseri,1,5,18,DICOT,Alligator River Kakadu
Eucalyptus porrecta,1,5,18,DICOT,Alligator River Kakadu
Alphitonia excelsa,1,3,18.2,DICOT,Alligator River Kakadu
Wrightia saligna,1,5,20.4,DICOT,Alligator River Kakadu
Galactia megalophylla,4,1,20.5,DICOT,Alligator River Kakadu
Sauropus Pineleaf,4,1,20.52,DICOT,Alligator River Kakadu
Erythroxylem ellipticum,1,3,21.54,DICOT,Alligator River Kakadu
Grevillea pteridifolia,1,5,21.7,DICOT,Alligator River Kakadu
Premna acuminata,1,3,22,DICOT,Alligator River Kakadu
Petalostigma pubescens,1,2,22.1,DICOT,Alligator River Kakadu
Dunbaria singuliflora,4,2,22.4,DICOT,Alligator River Kakadu
Austrodolichos errabundus,10,1,22.5,DICOT,Alligator River Kakadu
Chamaecrista absus,4,1,24.5,DICOT,Alligator River Kakadu
Ipomoea graminea,4,1,24.8,DICOT,Alligator River Kakadu
Acacia aulacocarpa,1,2,25.7,DICOT,Alligator River Kakadu
Vigna lanceolata,10,1,26.24,DICOT,Alligator River Kakadu
Dolichandrone filiformis,10,5,26.8,DICOT,Alligator River Kakadu
Galactia tenuiflora,4,1,27.2,DICOT,Alligator River Kakadu
Ipomoea gracilis,4,1,27.4,DICOT,Alligator River Kakadu
Cayratia trifolia,4,3,29.6,DICOT,Alligator River Kakadu
Petalostigma quadriloculare,1,2,33.2,DICOT,Alligator River Kakadu
Ampelocissus acetosa,4,3,33.7,DICOT,Alligator River Kakadu
Eucalyptus miniata,1,1,35.6,DICOT,Alligator River Kakadu
Antidesma ghaesembilla,1,3,36,DICOT,Alligator River Kakadu
Pogonolobus reticulatus,1,3,36.2,DICOT,Alligator River Kakadu
Cassytha filiformis,10,3,38.4,DICOT,Alligator River Kakadu
Clerodendrum tatei,4,3,39.2,DICOT,Alligator River Kakadu
Acacia dimidiata,1,2,40.7,DICOT,Alligator River Kakadu
Cochlospermum fraseri,10,5,41.2,DICOT,Alligator River Kakadu
Cajanus scarabaeoides,4,2,41.63,DICOT,Alligator River Kakadu
Banksia dentata,1,5,43.5,DICOT,Alligator River Kakadu
Clerodendrum floribundum,1,3,43.7,DICOT,Alligator River Kakadu
Premna herbacea,4,3,43.78,DICOT,Alligator River Kakadu
Grewia retusifolia,1,3,46.7,DICOT,Alligator River Kakadu
Merremia quinata,4,2,46.98,DICOT,Alligator River Kakadu
Amyema sanguineum,1,3,52.96,DICOT,Alligator River Kakadu
Ampelocissus frutescens,4,3,53.6,DICOT,Alligator River Kakadu
Grevillea goodii,1,1,54.1,DICOT,Alligator River Kakadu
Grevillea goodiissppluri,1,1,54.46,DICOT,Alligator River Kakadu
Acacia hemignosta,1,1,56.3,DICOT,Alligator River Kakadu
Clitoria australis,10,1,58.7,DICOT,Alligator River Kakadu
Tinospora smilacina,10,3,59.3,DICOT,Alligator River Kakadu
Ipomoea abrupta,10,1,76.8,DICOT,Alligator River Kakadu
Denhamia obscura,1,3,77,DICOT,Alligator River Kakadu
Ipomoea velutina,10,1,77.14,DICOT,Alligator River Kakadu
Grevillea decurrens,1,5,79.3,DICOT,Alligator River Kakadu
Vitex acuminata,1,3,90.8,DICOT,Alligator River Kakadu
Acacia latescens,1,2,94,DICOT,Alligator River Kakadu
Jasminum molle,1,3,100.1,DICOT,Alligator River Kakadu
Planchonia careya,1,3,104.8,DICOT,Alligator River Kakadu
Brachychiton megaphyllus,1,1,119.8,DICOT,Alligator River Kakadu
Acacia platycarpa,1,2,152.6,DICOT,Alligator River Kakadu
Planchonella arnhemica,1,3,155.4,DICOT,Alligator River Kakadu
Capparis umbonata,1,3,160.8,DICOT,Alligator River Kakadu
Acacia mimula,1,2,167,DICOT,Alligator River Kakadu
Planchonella pohlmaniana,1,3,235,DICOT,Alligator River Kakadu
Buchanania obovata,1,3,281.7,DICOT,Alligator River Kakadu
Persoonia falcata,1,3,306.8,DICOT,Alligator River Kakadu
Terminalia ferdinandiana,1,3,366.8,DICOT,Alligator River Kakadu
Terminalia carpentariae,1,3,370.8,DICOT,Alligator River Kakadu
Erythrophleum chlorostachys,1,1,575.1,DICOT,Alligator River Kakadu
Canarium australianum,10,3,577.1,DICOT,Alligator River Kakadu
Parinari nonda,1,3,637.3,DICOT,Alligator River Kakadu
Terminalia latipes,1,3,669.1,DICOT,Alligator River Kakadu
Terminalia grandiflora,1,3,2439,DICOT,Alligator River Kakadu
Owenia vernicosa,1,3,4874.9,DICOT,Alligator River Kakadu
Syzygium eucalyptoides,1,3,6014.1,DICOT,Alligator River Kakadu
Syzygium suborbiculare,1,3,11983.4,DICOT,Alligator River Kakadu
Aristolochia holtzei,4,1,,DICOT,Alligator River Kakadu
Hibbertia spJE243,1,2,,DICOT,Alligator River Kakadu
Hibbertia spJE893,1,2,,DICOT,Alligator River Kakadu
Hibbertia tasmanica,4,2,,DICOT,Alligator River Kakadu
Pachynema dilatatum,4,2,,DICOT,Alligator River Kakadu
Pachynema junceum,4,2,,DICOT,Alligator River Kakadu
Cajanus marmoratus,4,1,,DICOT,Alligator River Kakadu
Dendrolobium prostratum,4,1,,DICOT,Alligator River Kakadu
Acacia oligoneura,1,2,,DICOT,Alligator River Kakadu
Acacia tolmerensis,1,2,,DICOT,Alligator River Kakadu
Neptunia sp.Darwin,4,1,,DICOT,Alligator River Kakadu
Calytrix exstipulata,1,1,,DICOT,Alligator River Kakadu
Stenocarpus acacioides,1,5,,DICOT,Alligator River Kakadu
Gardenia megasperma,1,3,,DICOT,Alligator River Kakadu
Brachychiton diversifolius,1,1,,DICOT,Alligator River Kakadu
Helicteres dentata,4,1,,DICOT,Alligator River Kakadu
Waltheria indica,4,1,,DICOT,Alligator River Kakadu
Grewia breviflora,1,3,,DICOT,Alligator River Kakadu
Cyperus castaneus,5,1,0.0155,MONO,Alligator River Kakadu
Cyperus pulchellus,5,1,0.0159,MONO,Alligator River Kakadu
Xyris complanata,4,1,0.03,MONO,Alligator River Kakadu
Bulbostylis barbata,5,1,0.05,MONO,Alligator River Kakadu
Fimbristylis schultzii,5,1,0.06,MONO,Alligator River Kakadu
Eragrostis cumingii,5,1,0.06,MONO,Alligator River Kakadu
Eragrostis pubescens,5,1,0.09,MONO,Alligator River Kakadu
Fimbristylis densa,5,1,0.11,MONO,Alligator River Kakadu
Cartonema tenue,4,1,0.2,MONO,Alligator River Kakadu
Perotis rara,5,4,0.2,MONO,Alligator River Kakadu
Eriachne ciliata,5,1,0.4,MONO,Alligator River Kakadu
Pseudopogonatherum contortum,5,4,0.7,MONO,Alligator River Kakadu
Digitaria gibbosa,5,5,0.9,MONO,Alligator River Kakadu
Fimbristylis xyridis,5,1,1,MONO,Alligator River Kakadu
Brachiaria holosericea,5,5,1,MONO,Alligator River Kakadu
Eriachne obtusa,5,5,1,MONO,Alligator River Kakadu
Heteropogon contortus,5,4,1.2,MONO,Alligator River Kakadu
Cartonema spicatum,4,1,1.4,MONO,Alligator River Kakadu
Brachiaria pubigera,5,1,1.62,MONO,Alligator River Kakadu
Fimbristylis oxystachya,5,1,1.69,MONO,Alligator River Kakadu
Arthrostylis aphylla,5,1,1.8,MONO,Alligator River Kakadu
Alloteropsis semialata,5,5,1.8,MONO,Alligator River Kakadu
Eriachne squarrosa,5,4,1.8,MONO,Alligator River Kakadu
Chrysopogon fallax,5,4,1.9,MONO,Alligator River Kakadu
Sowerbaer alliacea,4,1,2,MONO,Alligator River Kakadu
Eriachne triseta,5,1,2,MONO,Alligator River Kakadu
Brachiaria polyphylla,5,1,2.08,MONO,Alligator River Kakadu
Thaumastochloa major,5,2,2.9,MONO,Alligator River Kakadu
Brachiaria piligera,5,1,2.9,MONO,Alligator River Kakadu
Murdannia graminea,4,1,3.294,MONO,Alligator River Kakadu
Fimbristylis macrantha,5,1,3.3,MONO,Alligator River Kakadu
Setaria apiculata,5,1,3.6,MONO,Alligator River Kakadu
Iphigenia indica,4,1,4.08,MONO,Alligator River Kakadu
Chlorophytum laxum,4,1,4.26,MONO,Alligator River Kakadu
Scleria novae-hollandiae,5,1,4.3,MONO,Alligator River Kakadu
Murdannia gigantea,4,1,4.475,MONO,Alligator River Kakadu
Sehima nervosum,5,4,5.08,MONO,Alligator River Kakadu
Themeda triandra,5,4,5.25,MONO,Alligator River Kakadu
Yakirra majuscula,5,1,5.7,MONO,Alligator River Kakadu
Thysanotus banksii,4,2,6.2,MONO,Alligator River Kakadu
Corynotheca lateriflora,4,2,6.54,MONO,Alligator River Kakadu
Mnesithia formosa,5,2,6.75,MONO,Alligator River Kakadu
Scleria brownii,5,1,7.2,MONO,Alligator River Kakadu
Commelina lanceolata,4,1,8.8,MONO,Alligator River Kakadu
Heteropogon triticeus,5,4,11.4,MONO,Alligator River Kakadu
Sorghum intrans,5,4,11.7,MONO,Alligator River Kakadu
Commelina ensifolia,4,1,14.5,MONO,Alligator River Kakadu
Tacca leontopetaloides,4,3,14.9,MONO,Alligator River Kakadu
Commelina cyanea,4,1,17.5,MONO,Alligator River Kakadu
Patersonia macrantha,4,2,24.88,MONO,Alligator River Kakadu
Stemona prostrata,4,2,29.38,MONO,Alligator River Kakadu
Livistona humilis,1,3,370,MONO,Alligator River Kakadu
Livistona inermis,1,3,373.5,MONO,Alligator River Kakadu
Typhonium roundleaf,4,3,,MONO,Alligator River Kakadu
Typhonium longleaf,4,3,,MONO,Alligator River Kakadu
Curculigo ensifolia,4,1,,MONO,Alligator River Kakadu
Tricoryne elatior,4,1,,MONO,Alligator River Kakadu
Pandanus spiralis,1,1,,MONO,Alligator River Kakadu
Aristida holathera,5,4,,MONO,Alligator River Kakadu
Chrysopogon latifolius,5,4,,MONO,Alligator River Kakadu
Cymbopogon procerus,5,5,,MONO,Alligator River Kakadu
Eriachne avenacea,5,5,,MONO,Alligator River Kakadu
Mnesithia rottboellioides,5,2,,MONO,Alligator River Kakadu
Sorghum plumosum,5,4,,MONO,Alligator River Kakadu
Sorghum stipoideum,5,4,,MONO,Alligator River Kakadu
Whiteochloa capillipes,5,1,,MONO,Alligator River Kakadu
Whiteochloa semitonsa,5,1,,MONO,Alligator River Kakadu
Lomandra tropica,4,1,,MONO,Alligator River Kakadu
Cycas armstrongii,1,3,10315.9,,Alligator River Kakadu
