Species,germination_treatment,seed_germination
Hardenbergia violacea,Smoke,37.3
Hardenbergia violacea,S + H,97.3
Hardenbergia violacea,Control_1,2.42
Hardenbergia violacea,Heat_2,7.75
Hardenbergia violacea,Smoke_3,2.42
Hardenbergia violacea,S + H_4,7.23
Kennedia prostrata,Control,1.39
Kennedia prostrata,Heat,28
Kennedia prostrata,Smoke,4
Kennedia prostrata,S + H,25
Kennedia prostrata,Control_1,2.4
Kennedia prostrata,Heat_2,7.87
Kennedia prostrata,Smoke_3,2.4
Kennedia prostrata,S + H_4,7.49
Leptorhynchos squamatus,Control,87.9
Leptorhynchos squamatus,Heat,92
Leptorhynchos squamatus,Smoke,88.6
Leptorhynchos squamatus,S + H,88.7
Leptorhynchos squamatus,Control_1,2.37
Leptorhynchos squamatus,Heat_2,2.47
Leptorhynchos squamatus,Smoke_3,2.37
Leptorhynchos squamatus,S + H_4,7.6
Leucochrysum albicans,Control,88.7
Leucochrysum albicans,Heat,88.9
Leucochrysum albicans,Smoke,91
Leucochrysum albicans,S + H,89.3
Leucochrysum albicans,Control_1,2.53
Leucochrysum albicans,Heat_2,2.38
Leucochrysum albicans,Smoke_3,2.6
Leucochrysum albicans,S + H_4,7.45
Linum marginale,Control,36.7
Linum marginale,Heat,41.5
Linum marginale,Smoke,100
Linum marginale,S + H,40.8
Linum marginale,Control_1,2.47
Linum marginale,Heat_2,1.47
Linum marginale,Smoke_3,2.57
Linum marginale,S + H_4,7.68
Lomandra longifolia,Control,81
Lomandra longifolia,Heat,48
Lomandra longifolia,Smoke,62
Lomandra longifolia,S + H,52
Lomandra longifolia,Control_1,2.73
Lomandra longifolia,Heat_2,1.1
Lomandra longifolia,Smoke_3,1.4
Lomandra longifolia,S + H_4,1.53
Lotus australis,Control,8
Lotus australis,Heat,40
Lotus australis,Smoke,13.3
Lotus australis,S + H,NA
Lotus australis,Control_1,2.42
Lotus australis,Heat_2,8.4
Lotus australis,Smoke_3,2.42
Lotus australis,S + H_4,NA
Microseris walteri,Control,30.7
Microseris walteri,Heat,38.7
Microseris walteri,Smoke,41
Microseris walteri,S + H,93.3
Microseris walteri,Control_1,2.2
Microseris walteri,Heat_2,2.2
Microseris walteri,Smoke_3,1.97
Microseris walteri,S + H_4,7.73
Myosotis laxa,Control,92
Myosotis laxa,Heat,NA
Myosotis laxa,Smoke,93.3
Myosotis laxa,S + H,NA
Myosotis laxa,Control_1,2.5
Myosotis laxa,Heat_2,NA
Myosotis laxa,Smoke_3,1.75
Myosotis laxa,S + H_4,NA
Paspalidium constrictum,Control,1.33
Paspalidium constrictum,Heat,1.33
Paspalidium constrictum,Smoke,72
Paspalidium constrictum,S + H,72.5
Paspalidium constrictum,Control_1,2.4
Paspalidium constrictum,Heat_2,1.43
Paspalidium constrictum,Smoke_3,5.6
Paspalidium constrictum,S + H_4,7.87
Rhodanthe anthemoides,Control,36
Rhodanthe anthemoides,Heat,NA
Rhodanthe anthemoides,Smoke,93.3
Rhodanthe anthemoides,S + H,94.7
Rhodanthe anthemoides,Control_1,2.43
Rhodanthe anthemoides,Heat_2,NA
Rhodanthe anthemoides,Smoke_3,2.1
Rhodanthe anthemoides,S + H_4,7.3
Rumex brownii,Control,40.5
Rumex brownii,Heat,NA
Rumex brownii,Smoke,81.3
Rumex brownii,S + H,NA
Rumex brownii,Control_1,2.53
Rumex brownii,Heat_2,NA
Rumex brownii,Smoke_3,2.72
Rumex brownii,S + H_4,NA
Rytidosperma caespitosum,Control,60
Rytidosperma caespitosum,Heat,26
Rytidosperma caespitosum,Smoke,100
Rytidosperma caespitosum,S + H,98
Rytidosperma caespitosum,Control_1,2.5
Rytidosperma caespitosum,Heat_2,2.46
Rytidosperma caespitosum,Smoke_3,5.24
Rytidosperma caespitosum,S + H_4,7.99
Rytidosperma pallidum,Control,94.7
Rytidosperma pallidum,Heat,99.3
Rytidosperma pallidum,Smoke,94.7
Rytidosperma pallidum,S + H,92
Rytidosperma pallidum,Control_1,2.4
Rytidosperma pallidum,Heat_2,2.42
Rytidosperma pallidum,Smoke_3,5.64
Rytidosperma pallidum,S + H_4,7.72
Senecio quadridentatus,Control,39.7
Senecio quadridentatus,Heat,NA
Senecio quadridentatus,Smoke,53.3
Senecio quadridentatus,S + H,NA
Senecio quadridentatus,Control_1,2.52
Senecio quadridentatus,Heat_2,NA
Senecio quadridentatus,Smoke_3,1.81
Senecio quadridentatus,S + H_4,NA
Stackhousia monogyna,Control,0
Stackhousia monogyna,Heat,0
Stackhousia monogyna,Smoke,0
Stackhousia monogyna,S + H,0
Stackhousia monogyna,Control_1,0
Stackhousia monogyna,Heat_2,0
Stackhousia monogyna,Smoke_3,0
Stackhousia monogyna,S + H_4,0
Stypandra glauca,Control,0
Stypandra glauca,Heat,1.28
Stypandra glauca,Smoke,12
Stypandra glauca,S + H,28.3
Stypandra glauca,Control_1,2.27
Stypandra glauca,Heat_2,2.21
Stypandra glauca,Smoke_3,2.08
Stypandra glauca,S + H_4,7.77
Themeda triandra,Control,34.3
Themeda triandra,Heat,38.7
Themeda triandra,Smoke,100
Themeda triandra,S + H,42.8
Themeda triandra,Control_1,2.45
Themeda triandra,Heat_2,2.14
Themeda triandra,Smoke_3,6.37
Themeda triandra,S + H_4,8.64
Tricoryne elatior,Control,0
Tricoryne elatior,Heat,0
Tricoryne elatior,Smoke,0
Tricoryne elatior,S + H,0
Tricoryne elatior,Control_1,0
Tricoryne elatior,Heat_2,0
Tricoryne elatior,Smoke_3,0
Tricoryne elatior,S + H_4,0
Triptilodiscus pygmaeus,Control,64
Triptilodiscus pygmaeus,Heat,NA
Triptilodiscus pygmaeus,Smoke,96
Triptilodiscus pygmaeus,S + H,NA
Triptilodiscus pygmaeus,Control_1,2.37
Triptilodiscus pygmaeus,Heat_2,NA
Triptilodiscus pygmaeus,Smoke_3,2.03
Triptilodiscus pygmaeus,S + H_4,NA
Velleia paradoxa,Control,97.2
Velleia paradoxa,Heat,93.2
Velleia paradoxa,Smoke,87.4
Velleia paradoxa,S + H,97.3
Velleia paradoxa,Control_1,2.33
Velleia paradoxa,Heat_2,1.2
Velleia paradoxa,Smoke_3,2.43
Velleia paradoxa,S + H_4,2.26
Viola bentonicifolia,Control,0
Viola bentonicifolia,Heat,NA
Viola bentonicifolia,Smoke,16.3
Viola bentonicifolia,S + H,0
Viola bentonicifolia,Control_1,2.72
Viola bentonicifolia,Heat_2,NA
Viola bentonicifolia,Smoke_3,2.54
Viola bentonicifolia,S + H_4,7.5
Vittadinia cuneata,Control,34
Vittadinia cuneata,Heat,24.2
Vittadinia cuneata,Smoke,49.3
Vittadinia cuneata,S + H,38.3
Vittadinia cuneata,Control_1,2.33
Vittadinia cuneata,Heat_2,2.23
Vittadinia cuneata,Smoke_3,1.77
Vittadinia cuneata,S + H_4,2.26
Vittadinia gracilis,Control,72.5
Vittadinia gracilis,Heat,59
Vittadinia gracilis,Smoke,97.3
Vittadinia gracilis,S + H,93.3
Vittadinia gracilis,Control_1,2.4
Vittadinia gracilis,Heat_2,2.13
Vittadinia gracilis,Smoke_3,1.6
Vittadinia gracilis,S + H_4,5.97
Vittadinia muelleri,Control,90.6
Vittadinia muelleri,Heat,91.5
Vittadinia muelleri,Smoke,94.7
Vittadinia muelleri,S + H,92
Vittadinia muelleri,Control_1,2.2
Vittadinia muelleri,Heat_2,2.03
Vittadinia muelleri,Smoke_3,2.03
Vittadinia muelleri,S + H_4,6
Wahlenbergia stricta,Control,0
Wahlenbergia stricta,Heat,0
Wahlenbergia stricta,Smoke,4
Wahlenbergia stricta,S + H,0
Wahlenbergia stricta,Control_1,0
Wahlenbergia stricta,Heat_2,0
Wahlenbergia stricta,Smoke_3,1.1
Wahlenbergia stricta,S + H_4,0
Wurmbea dioica,Control,0
Wurmbea dioica,Heat,0
Wurmbea dioica,Smoke,0
Wurmbea dioica,S + H,0
Wurmbea dioica,Control_1,0
Wurmbea dioica,Heat_2,0
Wurmbea dioica,Smoke_3,0
Wurmbea dioica,S + H_4,0
