Site,Plot,site_code,original_code,taxon_code,individual_number,sample_type,Field_name,species_name,Species,Height_(mm),Diameter_(mm),Diameter_at_base_(mm),Flowering,Seeds_or_Buds,Seed_v_sprout,Sample taken,Measured,Leaf_dry_mass,Leaf_dry_mass_2,Leaf_dry_mass_3,Stem-volume,Stem dry weight (g),Stem_specific_density,Biomass_weight,Biomass_weight_2,Biomass_weight_3,Biomass_weight_4,Biomass state (mouldy/fresh),time_since_fire,leaf_scan_n_images,leaf_scan_n_leaves,leaf_scan_compound,leaf_scan_area_tot_cm2,nitrogen_sample_label,nitrogen_sample_pure_mixed,nitrogen_sample_fresh_mouldy,leaf_N_per_dry_mass
Bargo,1,BAR-1,BAR-1-SWL-2,SWL,2,individual,SWL,SWL-unidentified,,173,,2.2,n,,seed,y,2,0.174,,,117.9268077,0.073,6.190280346238864e-4,0.7,,,,,14_months,1,5,FALSE,15.436,,,,
Bargo,1,BAR-1,BAR-1-SWL-3,SWL,3,individual,SWL,SWL-unidentified,,301,1.5,2.1,n,,seed,y,3,0.192,,,195.5287212,0.123,6.290635935484244e-4,1.6,,,,,14_months,1,5,FALSE,20.264,,,,
Bargo,1,BAR-1,,SWL,,individual,SWL,SWL-unidentified,,299,1.9,2.1,n,,seed,n,4,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,,SWL,,individual,SWL,SWL-unidentified,,191,,1.8,n,,seed,n,5,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,BAR-1-SWL,SWL,,pooled_nitrogen_sample,,SWL-unidentified,,,,,,,,,,,,,,,,,,,,,14_months,,,,,14,Pure,Fresh,0.89
Bargo,1,BAR-1,BAR-1-SWNL-1,SWNL,1,individual,SWNL,Acacia ulicifolia,,855,1.1,4.1,n,,seed,y,1,,,,513.1039494,0.284,5.534940830841322e-4,9.59,,,,Fresh,14_months,1,5,FALSE,0.364,,,,
Bargo,1,BAR-1,BAR-1-SWNL-2,SWNL,2,individual,SWNL,Acacia ulicifolia,,366,1.1,2,n,,seed,y,2,0.006,,,202.5276399,0.135,6.665756835297028e-4,0.92,,,,,14_months,1,5,FALSE,0.367,,,,
Bargo,1,BAR-1,BAR-1-SWNL-3,SWNL,3,individual,SWNL,Acacia ulicifolia,,557,1.2,3,n,,seed,y,3,0.006,,,540.8536722,0.294,5.435851046441319e-4,4.17,,,,,14_months,1,5,FALSE,0.271,,,,
Bargo,1,BAR-1,BAR-1-SWNL,SWNL,,pooled_nitrogen_sample,,Acacia ulicifolia,,,,,,,,,,,,,,,,,,,,,14_months,,,,,15,Mixed,Fresh,1.68
Bargo,1,BAR-1,,Secret Spike,,individual,Secret Spike,Monocota scoparia,,672,1.9,5.4,y,,sprout,n,1,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,,Secret Spike,,individual,Secret Spike,Monocota scoparia,,718,1.4,2,y,,sprout,n,2,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,,Seed Pod Plant,,individual,Seed Pod Plant,Lomatia silaifolia,,1118,3.9,10,n,seed pods,sprout,n,1,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,,Seed Pod Plant,,individual,Seed Pod Plant,Lomatia silaifolia,,985,3.4,7,n,seed pods,sprout,n,2,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,,Seed Pod Plant,,individual,Seed Pod Plant,Lomatia silaifolia,,455,3.3,6,n,,sprout,n,3,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,,Seed Pod Plant,,individual,Seed Pod Plant,Lomatia silaifolia,,609,2.8,4.4,n,,sprout,n,4,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,,Seed Pod Plant,,individual,Seed Pod Plant,Lomatia silaifolia,,335,3.1,4,n,,sprout,n,5,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,,Thick Leaved Seed Pod Plant,,individual,Thick Leaved Seed Pod Plant,Lomatia silaifolia,,796,3.5,5,n,seed pods,sprout,n,1,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,,Thick Leaved Seed Pod Plant,,individual,Thick Leaved Seed Pod Plant,Lomatia silaifolia,,693,3,5.5,n,seed pods,sprout,n,2,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,,Thick Leaved Seed Pod Plant,,individual,Thick Leaved Seed Pod Plant,Lomatia silaifolia,,945,2.6,6.5,n,seed pods,sprout,n,3,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,,Thick Leaved Seed Pod Plant,,individual,Thick Leaved Seed Pod Plant,Lomatia silaifolia,,969,2.9,7.6,n,seed pods,sprout,n,4,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,,Thick Leaved Seed Pod Plant,,individual,Thick Leaved Seed Pod Plant,Lomatia silaifolia,,402,3,5.8,n,,sprout,n,5,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,,Thick Leaved Seed Pod Plant,,individual,Thick Leaved Seed Pod Plant,Lomatia silaifolia,,982,4,7,n,,sprout,n,6,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,,Thick Round Edge Leaves,,individual,Thick Round Edge Leaves,Thick Round Edge Leaves,,251,2.4,3.1,n,,sprout,n,1,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,,Thick Round Edge Leaves,,individual,Thick Round Edge Leaves,Thick Round Edge Leaves,,253,2.9,2.9,n,,sprout,n,2,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,,Thick Round Edge Leaves,,individual,Thick Round Edge Leaves,Thick Round Edge Leaves,,245,2,3.1,n,,sprout,n,3,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,,Thick Round Edge Leaves,,individual,Thick Round Edge Leaves,Thick Round Edge Leaves,,376,1.4,3.5,n,buds,sprout,n,4,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,,Thick Round Edge Leaves,,individual,Thick Round Edge Leaves,Thick Round Edge Leaves,,340,2.1,2.2,n,buds,sprout,n,5,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,,Tough Leaved Euc,,individual,Tough Leaved Euc,Tough Leaved Eucalyptus,,991,4,14.1,n,,sprout,n,1,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,,Tough Leaved Euc,,individual,Tough Leaved Euc,Tough Leaved Eucalyptus,,994,3.7,8.2,n,,sprout,n,2,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,,Tough Leaved Euc,,individual,Tough Leaved Euc,Tough Leaved Eucalyptus,,764,2.1,14,n,,sprout,n,3,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,,Tough Leaved Euc,,individual,Tough Leaved Euc,Tough Leaved Eucalyptus,,1538,3.5,20,n,,sprout,n,4,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,,Tough Leaved Euc,,individual,Tough Leaved Euc,Tough Leaved Eucalyptus,,1336,3.1,18.5,n,,sprout,n,5,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,,Waratah,,individual,Waratah,Waratah,,1191,8,8,y,buds,sprout,n,1,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,,Waratah,,individual,Waratah,Waratah,,1046,9.8,19,n,buds,sprout,n,2,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,,Waratah,,individual,Waratah,Waratah,,1005,7.5,17.2,n,buds,sprout,n,3,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,,Waratah,,individual,Waratah,Waratah,,651,4,8.5,n,,sprout,n,4,,,,,,,,,,,,14_months,,,,,,,,
Bargo,2,BAR-2,BAR-2-AFT-1,AFT,1,individual,AFT,Persoonia pinifolia,,246,,2.7,n,,seed,y,1,0.011,,,188.1276787,,0,0.73,,,,,14_months,1,5,FALSE,0.728,,,,
Bargo,2,BAR-2,BAR-2-AFT-2,AFT,2,individual,AFT,Persoonia pinifolia,,298,2,3,n,,seed,y,2,0.012,,,355.9588996,,0,1.07,,,,,14_months,1,5,FALSE,0.783,,,,
Bargo,2,BAR-2,BAR-2-AFT-3,AFT,3,individual,AFT,Persoonia pinifolia,,213,1.4,2.4,n,,seed,y,3,0.011,,,128.5330274,,0,0.56,,,,,14_months,1,5,FALSE,0.571,,,,
Bargo,2,BAR-2,,AFT,,individual,AFT,Persoonia pinifolia,,233,,1,n,,seed,n,4,,,,,,,,,,,,14_months,,,,,,,,
Bargo,2,BAR-2,,AFT,,individual,AFT,Persoonia pinifolia,,219,,2,n,,seed,n,5,,,,,,,,,,,,14_months,,,,,,,,
Bargo,2,BAR-2,,AFT,,individual,AFT,Persoonia pinifolia,,410,1,1.5,n,,seed,n,6,,,,,,,,,,,,14_months,,,,,,,,
Bargo,2,BAR-2,BAR-2-AFT,AFT,,pooled_nitrogen_sample,,Persoonia pinifolia,,,,,,,,,,,,,,,,,,,,,14_months,,,,,18,Mixed,Fresh,2.32
Bargo,2,BAR-2,BAR-2-ALLS-1,ALLS,1,individual,ALLS,Acacia myrtifolia,,461,2.9,4,n,,seed,y,1,0.502,,,566.1205594,0.31,5.47586542923917e-4,6.17,,,,,14_months,1,5,FALSE,44.464,,,,
Bargo,2,BAR-2,BAR-2-ALLS-2,ALLS,2,individual,ALLS,Acacia myrtifolia,,365,2.5,3.7,n,,seed,y,2,0.503,,,654.9124965,0.346,5.283148540440165e-4,11.45,,,,,14_months,1,5,FALSE,33.725,,,,
Bargo,2,BAR-2,BAR-2-ALLS-3,ALLS,3,individual,ALLS,Acacia myrtifolia,,895,2.5,8,n,,seed,y,4,0.796,,,1070.199677,,0,42.95,,,,fresh,14_months,1,5,FALSE,47.145,,,,
Bargo,2,BAR-2,,ALLS,,individual,ALLS,Acacia myrtifolia,,495,3,4,n,,seed,n,3,,,,,,,,,,,,14_months,,,,,,,,
Bargo,2,BAR-2,BAR-2-ALLS,ALLS,,pooled_nitrogen_sample,,Acacia myrtifolia,,,,,,,,,,,,,,,,,,,,,14_months,,,,,45,Pure,Fresh,1.35
Bargo,2,BAR-2,BAR-2-BS-1,BS,1,individual,BS,Banksia serrata,,153,,3.5,n,,seed,y,1,1.365,,,137.4185641,0.06,4.3662223072231913e-4,0.75,,,,,14_months,1,5,FALSE,68.463,,,,
Bargo,2,BAR-2,BAR-2-BS-2,BS,2,individual,BS,Banksia serrata,,169,,5,n,,seed,y,2,1.77,,,351.02673,0.171,4.8714238941290885e-4,1.65,,,,,14_months,1,5,FALSE,80.209,,,,
Bargo,2,BAR-2,BAR-2-BS-3,BS,3,individual,BS,Banksia serrata,,157,,5,n,,seed,y,3,1.07,,,328.4346624,0.224,6.820230190173741e-4,1.57,,,,,14_months,1,5,FALSE,60.641000000000005,,,,
Bargo,2,BAR-2,,BS,,individual,BS,Banksia serrata,,203,,4,n,,seed,n,4,,,,,,,,,,,,14_months,,,,,,,,
Bargo,2,BAR-2,,BS,,individual,BS,Banksia serrata,,239,,5,n,,seed,n,5,,,,,,,,,,,,14_months,,,,,,,,
Bargo,2,BAR-2,BAR-2-BS,BS,,pooled_nitrogen_sample,,Banksia serrata,,,,,,,,,,,,,,,,,,,,,14_months,,,,,17,Pure,Fresh,0.54
Bargo,2,BAR-2,BAR-2-BSNL-1,BSNL,1,individual,BSNL,BSNL-unidentified,,1075,2.1,8,n,,seed,y,1,0.054,,,1710.422667,0.933,5.454792069824692e-4,22.86,,,,Fresh,14_months,1,5,FALSE,3.292,,,,
Bargo,2,BAR-2,BAR-2-BSNL-2,BSNL,2,individual,BSNL,BSNL-unidentified,,628,2.4,4.5,n,,seed,y,2,0.018,,,758.8837497,0.329,4.3353148638386246e-4,4.58,,,,,14_months,1,5,FALSE,1.499,,,,
Bargo,2,BAR-2,BAR-2-BSNL-3,BSNL,3,individual,BSNL,BSNL-unidentified,,411,2,3.6,n,,seed,y,3,0.024,,,416.6807783,0.208,4.99183093706917e-4,3.62,,,,,14_months,1,5,FALSE,1.7,,,,
Bargo,2,BAR-2,,BSNL,,individual,BSNL,BSNL-unidentified,,423,1.9,2.6,n,,seed,n,4,,,,,,,,,,,,14_months,,,,,,,,
Bargo,2,BAR-2,BAR-2-BSNL,BSNL,,pooled_nitrogen_sample,,BSNL-unidentified,,,,,,,,,,,,,,,,,,,,,14_months,,,,,57,Mixed,Fresh,1.53
Bargo,2,BAR-2,BAR-2-CL-1,CL,1,individual,CL,Xanthosia stellata,,281,1.1,1.9,n,,seed,y,7,0.075,,,104.721483,0.048,4.5835867316737673e-4,0.51,,,,,14_months,1,5,FALSE,12.922,,,,
Bargo,2,BAR-2,BAR-2-CL-2,CL,2,individual,CL,Xanthosia stellata,,261,,1.1,n,,seed,y,6,0.059,,,78.00863629,0.038,4.87125551826513e-4,0.11,,,,,14_months,1,5,FALSE,7.628,,,,
Bargo,2,BAR-2,BAR-2-CL-3,CL,3,individual,CL,Xanthosia stellata,,111,,1.4,n,,seed,y,3,0.05,,,61.78688082,0.038,6.150172900085879e-4,0.03,,,,,14_months,1,5,FALSE,4.367,,,,
Bargo,2,BAR-2,,CL,,individual,CL,Xanthosia stellata,,83,,1.1,n,,seed,n,1,,,,,,,,,,,,14_months,,,,,,,,
Bargo,2,BAR-2,,CL,,individual,CL,Xanthosia stellata,,80,,1.5,n,,seed,n,2,,,,,,,,,,,,14_months,,,,,,,,
Bargo,2,BAR-2,,CL,,individual,CL,Xanthosia stellata,,119,,1,n,,seed,n,4,,,,,,,,,,,,14_months,,,,,,,,
Bargo,2,BAR-2,,CL,,individual,CL,Xanthosia stellata,,112,,1.5,n,,seed,n,5,,,,,,,,,,,,14_months,,,,,,,,
Bargo,2,BAR-2,BAR-2-CL,CL,,pooled_nitrogen_sample,,Xanthosia stellata,,,,,,,,,,,,,,,,,,,,,14_months,,,,,62,Mixed,Fresh,1.46
Bargo,2,BAR-2,BAR-2-DP-1,DP,1,individual,DP,Lomandra obliqua,,103,,1.9,n,,seed,y,1,0.02,,,52.49303964,0.037,7.048553532763187e-4,0.36,,,,,14_months,1,5,FALSE,1.16,,,,
Bargo,2,BAR-2,BAR-2-DP-2,DP,2,individual,DP,Lomandra obliqua,,82,,2,n,,seed,y,2,0.018,,,42.38439586,0.029,6.842140700976362e-4,0.22,,,,,14_months,1,5,FALSE,0.728,,,,
Bargo,2,BAR-2,BAR-2-DP-3,DP,3,individual,DP,Lomandra obliqua,,140,,1.1,n,,seed,y,3,0.012,,,75.15094544,0.055,7.31860386825228e-4,1.31,,,,,14_months,1,5,FALSE,0.625,,,,
Bargo,2,BAR-2,BAR-2-DP,DP,,pooled_nitrogen_sample,,Lomandra obliqua,,,,,,,,,,,,,,,,,,,,,14_months,,,,,61,Mixed,Fresh,1.31
Bargo,2,BAR-2,,Fake Mountain Devil (Banksia),,individual,Fake Mountain Devil (Banksia),Banksia spinulosa,,1045,2,9.1,n,,sprout,n,1,,,,,,,,,,,,14_months,,,,,,,,
Bargo,2,BAR-2,,Fake Mountain Devil (Banksia),,individual,Fake Mountain Devil (Banksia),Banksia spinulosa,,1318,3.5,14,y,,sprout,n,2,,,,,,,,,,,,14_months,,,,,,,,
