spectrum.label,cell.type,P,Ca,species,sample,biological.rep,site.id,GPS coords,latitude (deg),longitude (deg)
sc 4,SC,3.228931224,19.96007984,Banksia attenuata,BA1_01_HM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 1,SM.Ca,6.457862448,199.6007984,Banksia attenuata,BA1_01_HM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 2,SM.Ca,3.228931224,124.750499,Banksia attenuata,BA1_01_HM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 3,SM.Ca,9.686793671,561.3772455,Banksia attenuata,BA1_01_HM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 4,SM.Ca,0,269.4610778,Banksia attenuata,BA1_01_HM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 5,SM.Ca,0,411.6766467,Banksia attenuata,BA1_01_HM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 6,SM.Ca,0,561.3772455,Banksia attenuata,BA1_01_HM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
eu 1,EP,3.228931224,12.4750499,Banksia attenuata,BA1_01_LM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
eu 2,EP,6.457862448,22.45508982,Banksia attenuata,BA1_01_LM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
eu 3,EP,0,14.97005988,Banksia attenuata,BA1_01_LM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
eu 4,EP,0,12.4750499,Banksia attenuata,BA1_01_LM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
eu 5,EP,9.686793671,17.46506986,Banksia attenuata,BA1_01_LM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
eu 6,EP,3.228931224,19.96007984,Banksia attenuata,BA1_01_LM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
eu 7,EP,0,12.4750499,Banksia attenuata,BA1_01_LM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
hyp 1,HY,3.228931224,9.98003992,Banksia attenuata,BA1_01_LM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
hyp 2,HY,0,9.98003992,Banksia attenuata,BA1_01_LM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
hyp 3,HY,3.228931224,0,Banksia attenuata,BA1_01_LM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sc 1,SC,0,19.96007984,Banksia attenuata,BA1_01_LM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sc 2,SC,0,24.9500998,Banksia attenuata,BA1_01_LM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sc 3,SC,3.228931224,22.45508982,Banksia attenuata,BA1_01_LM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sc 4,SC,3.228931224,22.45508982,Banksia attenuata,BA1_01_LM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sc 5,SC,3.228931224,17.46506986,Banksia attenuata,BA1_01_LM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
pm 1,PM,9.686793671,14.97005988,Banksia attenuata,BA1_01_LM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
pm 2,PM,16.14465612,4.99001996,Banksia attenuata,BA1_01_LM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
pm 3,PM,16.14465612,17.46506986,Banksia attenuata,BA1_01_LM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
pm 4,PM,6.457862448,19.96007984,Banksia attenuata,BA1_01_LM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
pm 5,PM,12.9157249,19.96007984,Banksia attenuata,BA1_01_LM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
pm 6,PM,9.686793671,19.96007984,Banksia attenuata,BA1_01_LM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
pm 7,PM,12.9157249,9.98003992,Banksia attenuata,BA1_01_LM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 1,SM.Ca,6.457862448,157.1856287,Banksia attenuata,BA1_01_LM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 2,SM.Ca,0,391.7165669,Banksia attenuata,BA1_01_LM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 3,SM.Ca,6.457862448,204.5908184,Banksia attenuata,BA1_01_LM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 4,SM.Ca,12.9157249,82.33532934,Banksia attenuata,BA1_01_LM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 5,SM.Ca,0,469.0618762,Banksia attenuata,BA1_01_LM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 6,SM.Ca,0,154.6906188,Banksia attenuata,BA1_01_LM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 7,SM.Ca,0,431.6367265,Banksia attenuata,BA1_01_LM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 9,SM.Ca,0,588.8223553,Banksia attenuata,BA1_01_LM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 8,SM.Ca,0,149.7005988,Banksia attenuata,BA1_01_LM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 10,SM.Ca,6.457862448,676.1477046,Banksia attenuata,BA1_01_LM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 11,SM.Ca,3.228931224,242.0159681,Banksia attenuata,BA1_01_LM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 12,SM.Ca,0,232.0359281,Banksia attenuata,BA1_01_LM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 13,SM.Ca,6.457862448,271.9560878,Banksia attenuata,BA1_01_LM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 14,SM.Ca,22.60251857,114.7704591,Banksia attenuata,BA1_01_LM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm 1,SM,12.9157249,22.45508982,Banksia attenuata,BA1_01_LM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm 2,SM,9.686793671,42.41516966,Banksia attenuata,BA1_01_LM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm 3,SM,6.457862448,32.43512974,Banksia attenuata,BA1_01_LM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm 4,SM,12.9157249,39.92015968,Banksia attenuata,BA1_01_LM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm 5,SM,3.228931224,24.9500998,Banksia attenuata,BA1_01_LM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm 6,SM,3.228931224,27.44510978,Banksia attenuata,BA1_01_LM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
eu 1,EP,3.228931224,12.4750499,Banksia attenuata,BA2_01_HM1,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
eu 2,EP,0,17.46506986,Banksia attenuata,BA2_01_HM1,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
eu 3,EP,9.686793671,19.96007984,Banksia attenuata,BA2_01_HM1,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
eu 4,EP,3.228931224,12.4750499,Banksia attenuata,BA2_01_HM1,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
eu 5,EP,0,7.48502994,Banksia attenuata,BA2_01_HM1,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
eu 6,EP,0,4.99001996,Banksia attenuata,BA2_01_HM1,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
eu 7,EP,3.228931224,14.97005988,Banksia attenuata,BA2_01_HM1,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
hyp 1,HY,3.228931224,2.49500998,Banksia attenuata,BA2_01_HM1,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
hyp 2,HY,0,7.48502994,Banksia attenuata,BA2_01_HM1,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
hyp 3,HY,6.457862448,2.49500998,Banksia attenuata,BA2_01_HM1,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
hyp 4,HY,0,4.99001996,Banksia attenuata,BA2_01_HM1,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
hyp 5,HY,0,7.48502994,Banksia attenuata,BA2_01_HM1,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
hyp 6,HY,0,0,Banksia attenuata,BA2_01_HM1,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
hyp 7,HY,6.457862448,0,Banksia attenuata,BA2_01_HM1,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sc 1,SC,3.228931224,17.46506986,Banksia attenuata,BA2_01_HM1,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sc 2,SC,0,19.96007984,Banksia attenuata,BA2_01_HM1,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sc 3,SC,3.228931224,22.45508982,Banksia attenuata,BA2_01_HM1,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sc 4,SC,0,22.45508982,Banksia attenuata,BA2_01_HM1,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 1,SM.Ca,6.457862448,99.8003992,Banksia attenuata,BA2_01_HM1,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 2,SM.Ca,9.686793671,144.7105788,Banksia attenuata,BA2_01_HM1,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 3,SM.Ca,12.9157249,127.245509,Banksia attenuata,BA2_01_HM1,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 4,SM.Ca,9.686793671,219.5608782,Banksia attenuata,BA2_01_HM1,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 5,SM.Ca,9.686793671,124.750499,Banksia attenuata,BA2_01_HM1,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 6,SM.Ca,12.9157249,134.7305389,Banksia attenuata,BA2_01_HM1,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 7,SM.Ca,16.14465612,172.1556886,Banksia attenuata,BA2_01_HM1,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 8,SM.Ca,6.457862448,117.2654691,Banksia attenuata,BA2_01_HM1,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 9,SM.Ca,9.686793671,142.2155689,Banksia attenuata,BA2_01_HM1,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 10,SM.Ca,6.457862448,87.3253493,Banksia attenuata,BA2_01_HM1,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 11,SM.Ca,6.457862448,129.740519,Banksia attenuata,BA2_01_HM1,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 12,SM.Ca,3.228931224,99.8003992,Banksia attenuata,BA2_01_HM1,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 13,SM.Ca,6.457862448,99.8003992,Banksia attenuata,BA2_01_HM1,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 14,SM.Ca,19.37358734,62.3752495,Banksia attenuata,BA2_01_HM1,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 15,SM.Ca,0,144.7105788,Banksia attenuata,BA2_01_HM1,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 16,SM.Ca,9.686793671,197.1057884,Banksia attenuata,BA2_01_HM1,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm,SM,9.686793671,19.96007984,Banksia attenuata,BA2_01_HM1,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
eu 1,EP,6.457862448,4.99001996,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
eu 2,EP,6.457862448,9.98003992,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
eu 3,EP,0,9.98003992,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
eu 4,EP,0,12.4750499,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
eu 5,EP,0,4.99001996,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
eu 6,EP,3.228931224,7.48502994,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
eu 7,EP,0,17.46506986,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
eu 8,EP,0,12.4750499,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
hyp 1,HY,0,7.48502994,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
hyp 2,HY,6.457862448,19.96007984,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
hyp 3,HY,0,7.48502994,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
hyp 4,HY,9.686793671,0,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
hyp 5,HY,6.457862448,0,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
hyp 6,HY,0,7.48502994,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
hyp 7,HY,0,2.49500998,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
pm 1,PM,12.9157249,12.4750499,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
pm 2,PM,16.14465612,12.4750499,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
pm 3,PM,19.37358734,9.98003992,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
pm 4,PM,25.83144979,14.97005988,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
pm 5,PM,16.14465612,17.46506986,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
pm 6,PM,25.83144979,7.48502994,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
pm 7,PM,12.9157249,12.4750499,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
pm 8,PM,29.06038101,9.98003992,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
pm 9,PM,9.686793671,4.99001996,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
pm 10,PM,9.686793671,12.4750499,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
pm 11,PM,12.9157249,9.98003992,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
pm 12,PM,19.37358734,19.96007984,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
pm 13,PM,25.83144979,17.46506986,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
pm 14,PM,9.686793671,12.4750499,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
pm 15,PM,19.37358734,19.96007984,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
pm 16,PM,16.14465612,14.97005988,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
pm 17,PM,19.37358734,12.4750499,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
pm 18,PM,16.14465612,14.97005988,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
pm 19,PM,3.228931224,17.46506986,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sc 1,SC,0,17.46506986,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sc 2,SC,0,19.96007984,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sc 3,SC,0,19.96007984,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sc 4,SC,0,14.97005988,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sc 5,SC,0,19.96007984,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 1,SM.Ca,22.60251857,174.6506986,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 2,SM.Ca,25.83144979,122.255489,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 3,SM.Ca,9.686793671,127.245509,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 4,SM.Ca,12.9157249,144.7105788,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 5,SM.Ca,12.9157249,159.6806387,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 6,SM.Ca,6.457862448,154.6906188,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 7,SM.Ca,22.60251857,117.2654691,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 8,SM.Ca,12.9157249,109.7804391,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 9,SM.Ca,12.9157249,109.7804391,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 10,SM.Ca,6.457862448,94.81037924,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sm_ca 11,SM.Ca,12.9157249,149.7005988,Banksia attenuata,BA2_01_HM2,2,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
eu 1,EP,0,9.98003992,Banksia attenuata,BA3_01_HM,3,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
eu 2,EP,6.457862448,7.48502994,Banksia attenuata,BA3_01_HM,3,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
eu 3,EP,6.457862448,14.97005988,Banksia attenuata,BA3_01_HM,3,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
eu 4,EP,0,7.48502994,Banksia attenuata,BA3_01_HM,3,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
eu 5,EP,3.228931224,9.98003992,Banksia attenuata,BA3_01_HM,3,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
hyp 1,HY,3.228931224,0,Banksia attenuata,BA3_01_HM,3,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
hyp 2,HY,3.228931224,9.98003992,Banksia attenuata,BA3_01_HM,3,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
hyp 3,HY,0,2.49500998,Banksia attenuata,BA3_01_HM,3,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
hyp 4,HY,0,12.4750499,Banksia attenuata,BA3_01_HM,3,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
hyp 5,HY,12.9157249,4.99001996,Banksia attenuata,BA3_01_HM,3,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
hyp 6,HY,6.457862448,0,Banksia attenuata,BA3_01_HM,3,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
hyp 7,HY,3.228931224,12.4750499,Banksia attenuata,BA3_01_HM,3,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
pm 1,PM,22.60251857,7.48502994,Banksia attenuata,BA3_01_HM,3,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
pm 2,PM,25.83144979,17.46506986,Banksia attenuata,BA3_01_HM,3,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
pm 3,PM,12.9157249,14.97005988,Banksia attenuata,BA3_01_HM,3,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
pm 4,PM,25.83144979,9.98003992,Banksia attenuata,BA3_01_HM,3,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
pm 5,PM,22.60251857,12.4750499,Banksia attenuata,BA3_01_HM,3,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
pm 6,PM,16.14465612,22.45508982,Banksia attenuata,BA3_01_HM,3,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
pm 7,PM,32.28931224,19.96007984,Banksia attenuata,BA3_01_HM,3,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
pm 8,PM,25.83144979,7.48502994,Banksia attenuata,BA3_01_HM,3,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
pm 9,PM,25.83144979,14.97005988,Banksia attenuata,BA3_01_HM,3,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
