Species,plant_height_m,leaf_area_mm2,SLA_mm2_mg,seed_mass_mg,variance_seed_dimensions,seed_source,dispersal_mode,life-form,nutrient_uptake_strategy,nitrogen_fixing,clonal_spread,vegetative_regeneration,fire_response,dispersal syndrome source,nutrient update source,fire_response source,native_status,plant_growth_form,site
Brunonia australis,0.17,227.4,31.18,0.74,0.132,collected for study,Anem,HE,ECM,0,C (stolon),vegetative,R,,literature,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Bulbine bulbosa,0.36,388.7,9.77,1.61,0.016,collected for study,Bar,G,AM,0,C (tuber),vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Burchardia umbellata,0.44,1091.4,12.55,0.88,0.159,collected for study,Bar,G,AM,0,C (tuberous root),vegetative,R,,literature,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Bursaria spinosa ssp. spinosa,6.88,50.7,9.91,1.32,0.219,collected for study,Bar,P,AM,0,N,not_vegetative,R,,determined by Meers,Ecology of Sydney Flora database (Benson and McDougall,native,,Delatite Peninsula
Carex inversa,0.38,196.2,20.69,1.33,0.1,collected for study,Bar,HE,None,0,C (rhizome),vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Cassinia aculeata,2.08,24,17.07,0.022,0.111,collected for study,Anem,P,AM,0,N,not_vegetative,S,,determined by Meers,Ecology of Sydney Flora database (Benson and McDougall,native,,Delatite Peninsula
Cassinia arcuata,2.9,4.2,13.17,0.026,0.247,collected for study,Anem,P,AM,0,N,not_vegetative,S,,determined by Meers,Ecology of Sydney Flora database (Benson and McDougall,native,,Delatite Peninsula
Cassinia longifolia,3.17,78.8,7.96,0.033,0.117,collected for study,Anem,P,AM,0,N,not_vegetative,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Centrolepis aristata,0.08,23.5,29.27,0.006,0.023,collected for study,Mob,T,None,0,N,not_vegetative,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Chrysocephalum semipapposum,0.69,199.7,40.23,0.04,0.195,Ballarat Region Seed Bank,Anem,HP,AM,0,C (rhizome),vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Coprosma quadrifida,4,36.9,16.13,3.84,0.097,collected for study,End,P,AM,0,N,not_vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Correa reflexa,1.61,879.7,10.82,,,collected for study,Myrm,P,unknown,0,N,not_vegetative,R,myrmecochory was confirmed from literature (Berg 1975; Rice and Westoby 1981; Benson and McDougall 1996; French and Westoby,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Craspedia variabilis,0.37,807.6,39.4,0.32,0.134,collected for study,Anem,HP,None,0,N,not_vegetative,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Crassula decumbens,0.11,6.1,85.92,0.006,0.071,collected for study,Mob,T,AM,0,N,not_vegetative,S,,determined by Meers,Ecology of Sydney Flora database (Benson and McDougall,native,,Delatite Peninsula
Cryptandra amara,0.73,4.7,9.81,0.55,0.101,collected for study,Myrm,P,ECM,0,N,not_vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Cymbonotus pressianus,0.11,2058.7,35.68,2.28,0.142,collected for study,Bar,HF,AM,0,N,not_vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Cynoglossum suaveolens,0.6,366.5,13.88,4.44,,collected for study,Myrm,HPr,unknown,0,C (rhizome),vegetative,U,myrmecochory was confirmed from literature (Berg 1975; Rice and Westoby 1981; Benson and McDougall 1996; French and Westoby,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Daucus glocidiatus,0.68,240.4,18.45,0.78,0.133,collected for study,Epi,T,AM,0,N,not_vegetative,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Daviesia leptophylla,1.83,143,5.39,3.94,0.101,collected for study,Myrm,P,NF + ECM,1,N,not_vegetative,R,,determined by Meers,Ecology of Sydney Flora database (Benson and McDougall,native,,Delatite Peninsula
Derwentia perfoliata,1.08,313.2,5.9,0.36,0.153,collected for study,Bar,C,None,0,C (rhizome),vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Dianella revoluta,0.95,1086,5.61,4.41,0.046,Goulburn-Broken Region Seed Bank,End,HE,AM,0,C (rhizome),vegetative,R,,literature,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Dichelachne crinata,0.43,376.4,20.27,0.65,0.256,collected for study,Epi,HE,None,0,C (rhizome),vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Dichondra repens,0.02,143.5,35.48,3.19,0.012,collected for study,Bar,HF,AM,0,C (stolon),vegetative,R,,determined by Meers,Ecology of Sydney Flora database (Benson and McDougall,native,,Delatite Peninsula
Dillwynia junipera,1.75,7.4,4.92,5,0.104,collected for study,Myrm,P,NF + ECM,1,N,not_vegetative,S,myrmecochory was confirmed from literature (Berg 1975; Rice and Westoby 1981; Benson and McDougall 1996; French and Westoby,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Dillwynia phyliciodes,1.38,2.3,9.09,2.76,0.084,collected for study,Myrm,P,NF + ECM,1,N,not_vegetative,S,,determined by Meers,Ecology of Sydney Flora database (Benson and McDougall,native,,Delatite Peninsula
Dillwynia sericea,1.07,5.2,6.17,2.3,0.078,collected for study,Myrm,P,NF + ECM,1,N,not_vegetative,S,myrmecochory was confirmed from literature (Berg 1975; Rice and Westoby 1981; Benson and McDougall 1996; French and Westoby,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Drosera peltata ssp. peltata,0.41,37.2,32.29,0.002,0.102,collected for study,Mob,G,Carnivory,0,C (root tuber),vegetative,R,,determined by Meers,Ecology of Sydney Flora database (Benson and McDougall,native,,Delatite Peninsula
Drosera whittakeri ssp. aberrans,0.03,102.3,26.07,0.34,0.028,collected for study,Bar,G,Carnivory,0,C (root tuber),vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Echinopogon ovatus,0.3,169.6,28.5,0.75,0.2,collected for study,Epi,HE,None,0,C (rhizome),vegetative,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Elymus scaber,0.73,427.1,26.42,5.56,0.241,Melbourne Indigenous Seed Bank,Epi,HF,AM,0,C (rhizome),vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Epacris impressa,1.53,13.4,8.19,0.039,0.056,collected for study,Mob,P,Ericoid,0,N,not_vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Epilobium billardierianum,1,493.7,33.62,0.05,0.093,collected for study,Anem,HP,AM,0,C (stolon),vegetative,R,,determined by Meers,Ecology of Sydney Flora database (Benson and McDougall,native,,Delatite Peninsula
Eucalyptus camaldulensis,45,1683.7,6.1,0.21,0.049,Goulburn-Broken Region Seed Bank,Bar,P,ECM,0,N,not_vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Eucalyptus dives,22.5,3982.3,6.23,0.79,0.048,Delatite Arm Regeneratoun Project seed lots ,Bar,P,ECM,0,N,not_vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Eucalyptus globulus ssp. bicostata,43.33,12957.9,5.1,1.24,0.059,Delatite Arm Regeneratoun Project seed lots ,Bar,P,ECM,0,N,not_vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Eucalyptus goniocalyx,16.4,3574.3,4.73,0.33,0.057,Delatite Arm Regeneratoun Project seed lots ,Bar,P,ECM,0,N,not_vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Eucalyptus macrorhyncha,34,3951.7,4.5,1.11,0.035,Goulburn-Broken Region Seed Bank,Bar,P,ECM,0,N,not_vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Eucalyptus melliodora,30,1395.3,4.96,0.023,0.034,Delatite Arm Regeneratoun Project seed lots ,Mob,P,ECM,0,N,not_vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Eucalyptus polyanthemos,23,4675.2,5.31,0.036,0.033,Delatite Arm Regeneratoun Project seed lots ,Mob,P,ECM,0,N,not_vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Eucalyptus radiata,33,1144.5,8.08,0.45,0.049,Delatite Arm Regeneratoun Project seed lots ,Bar,P,ECM,0,N,not_vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Eucalyptus rubida,28.33,4408.4,5.11,0.05,0.053,Goulburn-Broken Region Seed Bank,Mob,P,ECM,0,N,not_vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Euchiton collinus,0.35,118,55.4,0.007,0.143,collected for study,Anem,HP,AM,0,C (stolon),vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Exocarpos cupressiformis,8.67,15.5,5.4,,,collected for study,End,P,Hemi-parasite,0,C (root suckers),vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Galium ciliare,0.3,42.6,52.53,1.07,0.028,collected for study,Bar,HPr,AM,0,C (rhizome),vegetative,U,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Geranium potentilloides,0.38,419.2,19.85,1.75,0.066,collected for study,Bar,HE,AM,0,C (stolon),vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Glycine clandestina,1.5,105.8,11.05,3.01,0.038,collected for study,Bar,P,NF + AM,1,N,not_vegetative,R,,determined by Meers,Ecology of Sydney Flora database (Benson and McDougall,native,,Delatite Peninsula
Gomopholobium huegleii,0.66,21.9,6.83,3.17,0.058,collected for study,Myrm,P,ECM,0,N,not_vegetative,R,,determined by Meers,Ecology of Sydney Flora database (Benson and McDougall,native,,Delatite Peninsula
Gonocarpus tetragynus,0.25,30.4,8.65,0.47,0.04,collected for study,Bar,C,AM,0,C (adventitious root buds),vegetative,R,,determined by Meers,Ecology of Sydney Flora database (Benson and McDougall,native,,Delatite Peninsula
Hardenbergia violacea,2.5,1994.8,8.09,35.03,0.075,collected for study,Myrm,P,ECM,0,N,not_vegetative,R,myrmecochory was confirmed from literature (Berg 1975; Rice and Westoby 1981; Benson and McDougall 1996; French and Westoby,literature,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Helichrysum scorpioides,0.34,224.4,26.11,0.12,0.219,collected for study,Anem,HP,AM,0,C (rhizome),vegetative,R,,determined by Meers,Ecology of Sydney Flora database (Benson and McDougall,native,,Delatite Peninsula
Hibbertia obtusifolia,0.62,158.3,8.75,6.12,0.03,collected for study,Myrm,P,AM,0,N,not_vegetative,R,myrmecochory was confirmed from literature (Berg 1975; Rice and Westoby 1981; Benson and McDougall 1996; French and Westoby,determined by Meers,Ecology of Sydney Flora database (Benson and McDougall,native,,Delatite Peninsula
Hovea linearis,0.6,134,9.09,16.53,0.1,collected for study,Myrm,P,AM,0,N,not_vegetative,R,myrmecochory was confirmed from literature (Berg 1975; Rice and Westoby 1981; Benson and McDougall 1996; French and Westoby,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Hydrocotyle callicarpa,0.09,102.7,31.14,0.41,0.132,collected for study,Bar,T,AM,0,N,not_vegetative,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Hydrocotyle foveolata,0.13,35.8,31.35,0.22,0.071,collected for study,Bar,T,AM,0,N,not_vegetative,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Hydrocotyle laxiflora,0.02,547.4,23.34,0.24,0.104,collected for study,Bar,HF,AM,0,C (rhizome),vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Hymenanthera dentata,3.75,276.4,12.17,10.9,0.031,Goulburn-Broken Region Seed Bank,End,P,None,0,N,not_vegetative,R,,determined by Meers,Ecology of Sydney Flora database (Benson and McDougall,native,,Delatite Peninsula
Hypericum gramineum,0.33,28.1,23.24,0.015,0.129,collected for study,Mob,HPr,AM,0,C (rhizome),vegetative,R,,determined by Meers,Ecology of Sydney Flora database (Benson and McDougall,native,,Delatite Peninsula
Indigofera australis,2.19,1367.6,7.33,7.13,0.053,collected for study,Bar,P,ECM,0,N,not_vegetative,R,,determined by Meers,Ecology of Sydney Flora database (Benson and McDougall,native,,Delatite Peninsula
Juncus bufonius,0.24,51.1,33.31,0.012,0.049,collected for study,Mob,T,None,0,N,not_vegetative,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Kunzea ericiodes spp. agg.,4.29,39.1,6.52,0.034,0.15,collected for study,Mob,P,ECM,0,N,not_vegetative,R,,determined by Meers,Ecology of Sydney Flora database (Benson and McDougall,native,,Delatite Peninsula
Lachnagrostis filiformis,0.23,246.8,28.9,0.1,0.197,collected for study,Mob,HE,AM,0,C (rhizome),vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Lagenophora huegleii,0.24,732.2,29.26,0.66,0.178,collected for study,Bar,HF,AM,0,C (stolon),vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Lagenophora stipitata,0.14,262.1,30.68,0.23,0.174,collected for study,Bar,HF,AM,0,C (rhizome),vegetative,R,,determined by Meers,Ecology of Sydney Flora database (Benson and McDougall,native,,Delatite Peninsula
Lepidosperma laterale,0.98,1098.2,4.37,4.12,0.088,collected for study,Myrm,HE,None,0,C (rhizome),vegetative,R,myrmecochory was confirmed from literature (Berg 1975; Rice and Westoby 1981; Benson and McDougall 1996; French and Westoby,determined by Meers,Ecology of Sydney Flora database (Benson and McDougall,native,,Delatite Peninsula
Leucopogon virgatus,0.72,9.3,9.99,1.34,0.024,collected for study,Myrm,P,Ericoid,0,N,not_vegetative,R,myrmecochory was confirmed from literature (Berg 1975; Rice and Westoby 1981; Benson and McDougall 1996; French and Westoby,determined by Meers,Ecology of Sydney Flora database (Benson and McDougall,native,,Delatite Peninsula
Lomandra filiformis,0.43,994.9,4.71,12.97,0.075,Melbourne Indigenous Seed Bank,Myrm,HE,None,0,C (rhizome),vegetative,R,myrmecochory was confirmed from literature (Berg 1975; Rice and Westoby 1981; Benson and McDougall 1996; French and Westoby,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Lomandra longifolia,0.88,5437.7,5.05,13.05,0.077,collected for study,Myrm,HE,None,0,C (rhizome),vegetative,R,myrmecochory was confirmed from literature (Berg 1975; Rice and Westoby 1981; Benson and McDougall 1996; French and Westoby,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Luzula meridionalis,0.23,249.8,22.48,0.29,0.056,collected for study,Myrm,HE,None,0,C (rhizome),vegetative,R,myrmecochory was confirmed from literature (Berg 1975; Rice and Westoby 1981; Benson and McDougall 1996; French and Westoby,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Melicrus urcheolatus,0.8,31.8,7.17,15.43,0.017,collected for study,Myrm,P,Ericoid,0,N,not_vegetative,R,myrmecochory was confirmed from literature (Berg 1975; Rice and Westoby 1981; Benson and McDougall 1996; French and Westoby,determined by Meers,Ecology of Sydney Flora database (Benson and McDougall,native,,Delatite Peninsula
Microleana stipoides,0.4,256,33.02,3.86,0.221,collected for study,Epi,HF,AM,0,C (rhizome),vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Microseris scapigera spp. Agg,0.36,656,35.23,1.43,0.248,collected for study,Anem,HE,AM,0,C (root tuber),vegetative,R,,determined by Meers,Ecology of Sydney Flora database (Benson and McDougall,native,,Delatite Peninsula
Millotia tenuifolia,0.14,8.6,32.58,0.13,0.276,collected for study,Anem,T,AMc,0,N,not_vegetative,S,,?,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Monotoca scoparia,1.84,18.8,3.55,1.21,0.045,collected for study,Myrm,P,Ericoid,0,N,not_vegetative,R,myrmecochory was confirmed from literature (Berg 1975; Rice and Westoby 1981; Benson and McDougall 1996; French and Westoby,determined by Meers,Ecology of Sydney Flora database (Benson and McDougall,native,,Delatite Peninsula
Olearia myrsinoides,1.27,102.9,7.97,,,collected for study,Anem,P,AM,0,N,not_vegetative,R,,determined by Meers,Ecology of Sydney Flora database (Benson and McDougall,native,,Delatite Peninsula
Opercularia varia,0.28,28.7,20.21,0.8,0.106,collected for study,Myrm,HPr,ECM + AM,0,C (rhizome),vegetative,R,myrmecochory was confirmed from literature (Berg 1975; Rice and Westoby 1981; Benson and McDougall 1996; French and Westoby,literature,Ecology of Sydney Flora database (Benson and McDougall,native,,Delatite Peninsula
Oxalis perrenans,0.3,116.9,34.44,0.32,0.094,collected for study,Bar,HE,AM,0,C (stolon),vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Pimelea linifolia ssp linifolia,0.9,36.9,9.33,2.79,,Kew Gardens,Myrm,P,AM,0,N,not_vegetative,R,myrmecochory was confirmed from literature (Berg 1975; Rice and Westoby 1981; Benson and McDougall 1996; French and Westoby,literature,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Plantago debilis,0.3,412.5,21.96,0.27,0.082,collected for study,Bar,HF,AM,0,N,not_vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Platylobium formosum,1.64,594.4,9.68,9.23,0.091,collected for study,Myrm,P,NF + ECM,1,N,not_vegetative,R,myrmecochory was confirmed from literature (Berg 1975; Rice and Westoby 1981; Benson and McDougall 1996; French and Westoby,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Poa sieberiana,0.3,270.1,12.62,0.07,0.146,Ballarat Region Seed Bank,Mob,HE,None,0,C (rhizome),vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Poranthera microphylla,0.13,16.8,28,0.07,0.03,collected for study,Mob,T,ECM + AM,0,N,not_vegetative,S,,literature,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Psuedognaphalium luteoalbum,0.47,227.2,66.37,0.003,0.099,collected for study,Anem,T,AM,0,N,not_vegetative,S,,literature,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Ranunculus lappaceus,0.52,286,17.8,2.29,0.104,collected for study,Bar,HP,AM,0,C (tuberous root),vegetative,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Rhytidosporum procumbens,0.4,21.1,15.96,1.17,0.089,collected for study,Bar,C,AM,0,N,not_vegetative,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Rubus parviflorus,1,630.4,18.94,1.24,0.078,Goulburn-Broken Region Seed Bank,End,P,AM,0,C (rooting on stems),vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Rumex brownii,0.93,2911.6,24.22,1.58,0.031,collected for study,Epi,HP,None,0,N,not_vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Senecio hispidulus,0.9,1677.6,19.68,0.05,0.166,collected for study,Anem,C,AM,0,N,not_vegetative,S,,determined by Meers,Ecology of Sydney Flora database (Benson and McDougall,native,,Delatite Peninsula
Senecio minimus,1.07,2842.8,25.8,0.17,0.208,collected for study,Anem,C,AM,0,N,not_vegetative,S,,determined by Meers,Ecology of Sydney Flora database (Benson and McDougall,native,,Delatite Peninsula
Senecio quadridentatus,1,1384.8,31.89,0.18,0.246,collected for study,Anem,C,AM,0,N,not_vegetative,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Senecio tenuiflorus,0.68,939.6,41.45,0.28,0.229,collected for study,Anem,T,AM,0,N,not_vegetative,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Sologyne dominii,0.07,277.6,29.44,0.25,0.192,collected for study,Bar,HF,AM,0,C (rhizome),vegetative,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
