sort,noOfSpp,Intro,Nat,End,Status,aSpecies,SFCode,SFamily,FCode,Family,Taxon,habit,lifespan,sex type,fruit,habit_conserved,lifespan_conserved,sex_type_conserved,fruit_conserved,category
61,1,0,1,9999,1,1,4,Aizoaceae,5,Aizoaceae,Sesuvium,1,2,1,3,,,,,all_traits_conserved
62,4,3,1,9999,1,1,4,Aizoaceae,5,Aizoaceae,Tetragonia spp,1,2,1,3,yes,,yes,,genus_not_conserved
63,1,0,1,9999,1,1,4,Aizoaceae,5,Aizoaceae,Tetragonia spp,1,2,1,2,,,yes,,genus_not_conserved
64,2,0,2,9999,1,1,4,Aizoaceae,5,Aizoaceae,Tetragonia spp,1,1,1,3,,,yes,,genus_not_conserved
65,1,0,1,9999,1,1,4,Aizoaceae,5,Aizoaceae,Tetragonia spp,1,1,1,3,,,yes,,genus_not_conserved
66,11,1,10,9999,1,1,4,Aizoaceae,5,Aizoaceae,Trianthema,1,1,1,3,,,,,all_traits_conserved
67,1,0,1,1,3,1,4,Aizoaceae,5,Aizoaceae,Trianthema cypseleoides (Fenzl) Benth.,2,2,1,3,,,,,complete_species_name
68,1,0,1,9999,1,1,4,Aizoaceae,5,Aizoaceae,Zaleya,1,1,1,3,,,,,all_traits_conserved
69,1,0,1,1,1,1,5,Akaniaceae,6,Akaniaceae,Akania,3,2,1,3,,,,,all_traits_conserved
70,2,2,0,0,1,1,6,Alismataceae,8,Alismataceae,Alisma,1,2,1,1,,,,,introduced
71,2,0,2,9999,1,1,6,Alismataceae,8,Alismataceae,Caldesia,1,2,1,1,,,,,all_traits_conserved
72,1,0,1,9999,1,1,6,Alismataceae,8,Alismataceae,Damasonium,1,1,1,12,,,,,all_traits_conserved
73,1,0,1,9999,1,1,6,Alismataceae,8,Alismataceae,Limnophyton australiense,1,2,2,10,,,,,complete_species_name
74,4,4,0,0,1,1,6,Alismataceae,8,Alismataceae,Sagittaria,1,2,7,1,,,,,introduced
75,1,0,1,9999,1,1,7,Alseuosmiaceae,10,Alseuosmiaceae,Crispiloba,2,2,1,2,,,,,all_traits_conserved
76,1,0,1,9999,1,1,7,Alseuosmiaceae,10,Alseuosmiaceae,Wittsteinia,2,2,1,2,,,,,all_traits_conserved
77,1,0,1,9999,1,1,8,Amaranthaceae,11,Amaranthaceae,Achyranthes,1,2,1,26,,,,,all_traits_conserved
78,1,1,0,0,1,1,8,Amaranthaceae,11,Amaranthaceae,Aerva,1,2,8,26,,,,,introduced
79,2,0,2,9999,1,1,8,Amaranthaceae,11,Amaranthaceae,Alternanthera,1,1,1,26,yes,,yes,,genus_not_conserved
80,1,1,0,0,1,1,8,Amaranthaceae,11,Amaranthaceae,Alternanthera,1,2,1,2,,,,,introduced
81,6,2,4,9999,1,1,8,Amaranthaceae,11,Amaranthaceae,Alternanthera,1,2,1,26,yes,,yes,,genus_not_conserved
82,1,0,1,9999,1,1,8,Amaranthaceae,11,Amaranthaceae,Alternanthera,1,1,1,26,yes,,yes,,genus_not_conserved
83,20,14,6,9999,1,1,8,Amaranthaceae,11,Amaranthaceae,Amaranthus,1,1,7,26,yes,,yes,yes,genus_not_conserved
84,2,2,0,0,1,1,8,Amaranthaceae,11,Amaranthaceae,Amaranthus,1,2,7,26,,,,,introduced
85,11,2,9,9999,1,1,8,Amaranthaceae,59,Chenopodiaceae,Atriplex,1,1,7,17,,,,yes,genus_not_conserved
86,11,0,11,9999,1,1,8,Amaranthaceae,59,Chenopodiaceae,Atriplex,1,2,7,17,,,,yes,genus_not_conserved
87,20,0,20,9999,1,1,8,Amaranthaceae,59,Chenopodiaceae,Atriplex,1,1,7,17,,,,yes,genus_not_conserved
88,7,0,7,9999,1,1,8,Amaranthaceae,59,Chenopodiaceae,Atriplex,2,2,7,17,,,,yes,genus_not_conserved
89,3,0,3,9999,1,1,8,Amaranthaceae,59,Chenopodiaceae,Atriplex,2,2,13,17,,,,yes,genus_not_conserved
90,9,0,9,9999,1,1,8,Amaranthaceae,59,Chenopodiaceae,Atriplex,2,2,8,17,,,,yes,genus_not_conserved
91,1,1,0,0,1,1,8,Amaranthaceae,59,Chenopodiaceae,Bassia,1,1,1,17,,,,,introduced
92,1,1,0,0,1,1,8,Amaranthaceae,59,Chenopodiaceae,Beta,1,1,1,17,,,,,introduced
93,1,1,0,0,1,1,8,Amaranthaceae,11,Amaranthaceae,Celosia,1,1,1,26,,,,,introduced
94,10,2,8,9999,1,1,8,Amaranthaceae,59,Chenopodiaceae,Chenopodium,1,1,1,17,,,,yes,genus_not_conserved
95,7,5,2,9999,1,1,8,Amaranthaceae,59,Chenopodiaceae,Chenopodium,1,1,3,17,,,,yes,genus_not_conserved
96,1,0,1,9999,1,1,8,Amaranthaceae,59,Chenopodiaceae,Chenopodium,1,1,14,17,,,,yes,genus_not_conserved
97,2,0,2,9999,1,1,8,Amaranthaceae,59,Chenopodiaceae,Chenopodium,2,2,7,17,,,,yes,genus_not_conserved
98,1,0,1,9999,1,1,8,Amaranthaceae,59,Chenopodiaceae,Chenopodium,1,1,1,17,,,,yes,genus_not_conserved
99,1,0,1,9999,1,1,8,Amaranthaceae,59,Chenopodiaceae,Chenopodium,2,2,1,17,,,,yes,genus_not_conserved
100,1,0,1,9999,1,1,8,Amaranthaceae,59,Chenopodiaceae,Chenopodium,2,2,14,17,,,,yes,genus_not_conserved
101,1,0,1,9999,1,1,8,Amaranthaceae,11,Amaranthaceae,Cyathula,1,2,3,26,,,,,all_traits_conserved
102,1,1,0,0,1,1,8,Amaranthaceae,59,Chenopodiaceae,Cycloloma,1,1,3,17,,,,,introduced
103,1,0,1,9999,1,1,8,Amaranthaceae,11,Amaranthaceae,Deeringia,4,2,13,2,yes,yes,,yes,genus_not_conserved
104,1,0,1,9999,1,1,8,Amaranthaceae,11,Amaranthaceae,Deeringia,4,2,1,2,yes,yes,,yes,genus_not_conserved
105,1,0,1,9999,1,1,8,Amaranthaceae,59,Chenopodiaceae,Didymanthus,2,2,1,16,,,,,all_traits_conserved
106,4,0,4,9999,1,1,8,Amaranthaceae,59,Chenopodiaceae,Dissocarpus,2,2,1,16,,,,,all_traits_conserved
107,7,0,7,9999,1,1,8,Amaranthaceae,59,Chenopodiaceae,Dysphania,1,1,3,17,yes,,,yes,genus_not_conserved
108,1,0,1,9999,1,1,8,Amaranthaceae,59,Chenopodiaceae,Dysphania,1,1,8,17,yes,,,yes,genus_not_conserved
109,1,0,1,9999,1,1,8,Amaranthaceae,59,Chenopodiaceae,Dysphania,1,1,3,17,yes,,,yes,genus_not_conserved
110,1,0,1,9999,1,1,8,Amaranthaceae,59,Chenopodiaceae,Dysphania,1,2,7,17,yes,,,yes,genus_not_conserved
111,2,0,2,9999,1,1,8,Amaranthaceae,59,Chenopodiaceae,Einadia,1,2,1,17,,,yes,yes,genus_not_conserved
112,1,0,1,9999,1,1,8,Amaranthaceae,59,Chenopodiaceae,Einadia,2,2,1,17,,,yes,yes,genus_not_conserved
113,1,0,1,9999,1,1,8,Amaranthaceae,59,Chenopodiaceae,Einadia,1,1,1,17,,,yes,yes,genus_not_conserved
114,2,0,2,9999,1,1,8,Amaranthaceae,59,Chenopodiaceae,Enchylaena,2,2,1,2,,,,,all_traits_conserved
115,2,0,2,9999,1,1,8,Amaranthaceae,59,Chenopodiaceae,Eremophea,2,2,1,16,,,,,all_traits_conserved
116,1,0,1,9999,1,1,8,Amaranthaceae,59,Chenopodiaceae,Eriochiton,2,2,1,17,,,,,all_traits_conserved
117,1,0,1,9999,1,1,8,Amaranthaceae,11,Amaranthaceae,Froelichia floridana (Nutt.) Moq. ,8,5,13,29,,,,,complete_species_name
118,3,0,3,3,1,1,8,Amaranthaceae,11,Amaranthaceae,Gomphrena,1,2,1,26,yes,,yes,yes,genus_not_conserved
119,29,2,27,26,1,1,8,Amaranthaceae,11,Amaranthaceae,Gomphrena,1,1,1,26,yes,,yes,yes,genus_not_conserved
120,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Gomphrena,1,1,1,26,yes,,yes,yes,genus_not_conserved
121,1,1,0,0,1,1,8,Amaranthaceae,11,Amaranthaceae,Guilleminea (Brayulinia),1,2,1,10,,,,,introduced
122,22,0,22,9999,1,1,8,Amaranthaceae,59,Chenopodiaceae,Halosarcia,2,2,1,16,yes,yes,yes,yes,genus_not_conserved
123,1,0,1,9999,1,1,8,Amaranthaceae,59,Chenopodiaceae,Halosarcia,2,2,1,16,yes,yes,yes,yes,genus_not_conserved
124,3,0,3,9999,1,1,8,Amaranthaceae,11,Amaranthaceae,Hemichroa,2,2,1,16,,,,,all_traits_conserved
125,2,0,2,9999,1,1,8,Amaranthaceae,59,Chenopodiaceae,Maireana,1,2,1,17,,yes,,yes,genus_not_conserved
126,6,0,6,9999,1,1,8,Amaranthaceae,59,Chenopodiaceae,Maireana,2,2,8,17,,yes,,yes,genus_not_conserved
127,45,0,45,9999,1,1,8,Amaranthaceae,59,Chenopodiaceae,Maireana,2,2,1,17,,yes,,yes,genus_not_conserved
128,2,0,2,9999,1,1,8,Amaranthaceae,59,Chenopodiaceae,Maireana,2,2,12,17,,yes,,yes,genus_not_conserved
129,1,0,1,9999,1,1,8,Amaranthaceae,59,Chenopodiaceae,Maireana,2,2,7,17,,yes,,yes,genus_not_conserved
130,1,0,1,9999,1,1,8,Amaranthaceae,59,Chenopodiaceae,Maireana,2,2,14,17,,yes,,yes,genus_not_conserved
131,3,0,3,9999,1,1,8,Amaranthaceae,59,Chenopodiaceae,Malacocera,2,2,1,16,,,yes,yes,genus_not_conserved
132,1,0,1,9999,1,1,8,Amaranthaceae,59,Chenopodiaceae,Malacocera,1,1,1,16,,,yes,yes,genus_not_conserved
133,1,1,0,0,1,1,8,Amaranthaceae,59,Chenopodiaceae,Monolepis,1,1,3,17,,,,,introduced
134,2,0,2,9999,1,1,8,Amaranthaceae,59,Chenopodiaceae,Neobassia,2,2,1,16,,,,,all_traits_conserved
135,2,0,2,9999,1,1,8,Amaranthaceae,11,Amaranthaceae,Nyssanthes,1,1,1,26,,,,,all_traits_conserved
136,1,0,1,9999,1,1,8,Amaranthaceae,11,Amaranthaceae,Omegandra kanisii Leach & Townsend ,8,5,13,29,,,,,complete_species_name
137,5,0,5,9999,1,1,8,Amaranthaceae,59,Chenopodiaceae,Osteocarpum,1,2,1,16,,,,,all_traits_conserved
138,1,0,1,9999,1,1,8,Amaranthaceae,59,Chenopodiaceae,Pachycornia,2,2,2,16,,,,,all_traits_conserved
139,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus aervoides (F. Muell.) F. Muell.,1,2,1,26,,,,,complete_species_name
140,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus albidus (C. Gardner) Benl,2,2,1,26,,,,,complete_species_name
141,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus alexandri Benl,1,2,1,26,,,,,complete_species_name
142,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus aphyllus Benl,1,2,1,26,,,,,complete_species_name
143,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus appendiculatus Benl,1,2,1,26,,,,,complete_species_name
144,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus aristatus Benl,1,1,1,26,,,,,complete_species_name
145,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus arthrolasius,2,2,1,26,,,,,complete_species_name
146,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus astrolasius F. Muell.,2,2,1,26,,,,,complete_species_name
147,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus atriplicifolius (Moq.) Benl,2,2,1,26,,,,,complete_species_name
148,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus auriculifolius (Moq.) F. Muell.,2,2,1,26,,,,,complete_species_name
149,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus axillaris (Benth.) F. Muell.,1,2,1,26,,,,,complete_species_name
150,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus beardii Benl,2,2,1,26,,,,,complete_species_name
151,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus beckerianus (F. Muell.) J. Black,1,2,1,26,,,,,complete_species_name
152,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus blackii Benl,1,2,1,26,,,,,complete_species_name
153,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus blakeanus Benl,1,2,1,26,,,,,complete_species_name
154,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus caespitulosus F. Muell.,2,2,1,26,,,,,complete_species_name
155,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus calostachyus F. Muell.,1,2,1,26,,,,,complete_species_name
156,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus capitatus (F. Muell.) C. Gardner,2,2,1,26,,,,,complete_species_name
157,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus carinatus Benl,1,1,1,26,,,,,complete_species_name
158,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus carlsonii F. Muell. (as ` Carlsoni'),1,1,1,26,,,,,complete_species_name
159,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus chamaecladus Diels,1,2,1,26,,,,,complete_species_name
160,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus chippendalei Benl,1,2,1,26,,,,,complete_species_name
161,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus chortophytus (Diels) Schinz,1,5,1,26,,,,,complete_species_name
162,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus clementii (Farmar) Benl (as `clementi'),1,2,1,26,,,,,complete_species_name
163,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus comatus Benl,1,1,1,26,,,,,complete_species_name
164,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus conicus R. Br.,1,2,1,26,,,,,complete_species_name
165,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus corymbosus R. Br.,1,1,1,26,,,,,complete_species_name
166,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus crispus Benl,1,2,1,26,,,,,complete_species_name
167,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus crosslandii (F. Muell.) Benl,1,1,1,26,,,,,complete_species_name
168,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus decalvatus Benl,1,1,1,26,,,,,complete_species_name
169,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus decipiens (Benth.) A. W. Hill,1,1,1,26,,,,,complete_species_name
170,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus declinatus Nees,1,2,1,26,,,,,complete_species_name
171,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus dissitiflorus (F. Muell.) F. Muell.,1,2,1,26,,,,,complete_species_name
172,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus distans (R. Br.) F. Muell.,1,2,1,26,,,,,complete_species_name
173,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus divaricatus (Gaudich.) F. Muell.,2,2,1,26,,,,,complete_species_name
174,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus drummondii (Moq.) F. Muell. (as ` Drummondi'),1,2,1,26,,,,,complete_species_name
175,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus eichlerianus Benl (as `eichleranus'),1,2,1,26,,,,,complete_species_name
176,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus eriotrichus P. S. Short (as `eriostrichus'),1,2,1,26,,,,,complete_species_name
177,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus erubescens Schldl. (`crubescens'),1,2,1,26,,,,,complete_species_name
178,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus exaltatus Nees,1,2,1,26,,,,,complete_species_name
179,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus extenuatus Benl,1,2,1,26,,,,,complete_species_name
180,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus fasciculatus W. Fitzg.,1,2,1,26,,,,,complete_species_name
181,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus fraseri (Moq.) F. Muell.,1,2,1,26,,,,,complete_species_name
182,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus fusiformis (R. Br.) F. Muell.,1,2,1,26,,,,,complete_species_name
183,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus gardneri Benl,1,2,1,26,,,,,complete_species_name
184,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus gaudichaudii (Steudel) J. Black,1,1,1,26,,,,,complete_species_name
185,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus gomphrenoides Benth.,1,1,1,26,,,,,complete_species_name
186,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus grandiflorus F. Muell.,1,1,1,26,,,,,complete_species_name
187,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus helichrysoides (F. Muell.) F. Muell.,1,2,1,26,,,,,complete_species_name
188,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus helipteroides (F. Muell.) F. Muell.,1,1,1,26,,,,,complete_species_name
189,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus holosericeus (Moq.) F. Muell.,1,2,1,26,,,,,complete_species_name
190,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus humifusus Benl,8,5,1,26,,,,,complete_species_name
191,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus humilis (Nees) F. Muell.,1,1,1,26,,,,,complete_species_name
192,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus incanus (R. Br.) F. Muell.,2,2,1,26,,,,,complete_species_name
193,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus indivisus Benl,1,2,1,26,,,,,complete_species_name
194,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus johnstonianus,1,2,1,26,,,,,complete_species_name
195,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus kenneallyanus Benl,1,2,1,26,,,,,complete_species_name
196,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus lanatus Moq.,1,2,1,26,,,,,complete_species_name
197,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus latifolius R. Br.,1,1,1,26,,,,,complete_species_name
198,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus lazaridis Benl,2,2,1,26,,,,,complete_species_name
199,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus leucocomus (Moq.) F. Muell. (as `leucocoma'),1,2,1,26,,,,,complete_species_name
200,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus lophotrichus Benl,1,1,1,26,,,,,complete_species_name
201,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus maconochiei Benl,2,2,1,26,,,,,complete_species_name
202,1,0,1,1,1,1,8,Amaranthaceae,11,Amaranthaceae,Ptilotus macrocephalus (R. Br.) F. Muell.,1,2,1,26,,,,,complete_species_name
