genus_old,genus_new,taxon_name,closest_names,reason,keep,dataset_id
Protasparagus,Asparagus,Protasparagus sp,Asparagus sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Nesaea,Ammannia,Nesaea sp,Ammannia sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Rhyssopteris,Stigmaphyllon,Rhyssopteris sp,Stigmaphyllon sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Keraudrenia,Seringia,Keraudrenia sp,Seringia sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Lavatera,Malva,Lavatera sp,Malva sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Rulingia,Commersonia,Rulingia sp,Commersonia sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Kibara,Steganthera,Kibara sp,Steganthera sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Malaisia,Trophis,Malaisia sp,Trophis sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Astartia,Astartea,Astartia sp,Astartea sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Angasomyrtus,Kunzea,Angasomyrtus sp,Kunzea sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Choricarpia,Backhousia,Choricarpia sp,Backhousia sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Myrtella,Lithomyrtus,Myrtella sp,Lithomyrtus sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Sinoga,Asteromyrtus,Sinoga sp,Asteromyrtus sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Waterhousea,Syzygium,Waterhousea sp,Syzygium sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Oeceoclades,Eulophia,Oeceoclades sp,Eulophia sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Phreatia,Plexaure,Phreatia sp,Plexaure sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Podochilus,Appendicula,Podochilus sp,Appendicula sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Rhynchophreatia,Plexaure,Rhynchophreatia sp,Plexaure sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Leptopus,Notoleptopus,Leptopus sp,Notoleptopus sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Austrofestuca,Poa,Austrofestuca sp,Poa sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Brachiaria,Urochloa,Brachiaria sp,Urochloa sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Crypsis,Sporobolus,Crypsis sp,Sporobolus sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Cynochloris,xCynochloris,Cynochloris sp,xCynochloris sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Elyonurus,Elionurus,Elyonurus sp,Elionurus sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Monodia,Triodia,Monodia sp,Triodia sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Pennisetum,Cenchrus,Pennisetum sp,Cenchrus sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Symplectrodia,Triodia,Symplectrodia sp,Triodia sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Thellungia,Sporobolus,Thellungia sp,Sporobolus sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Thonandia,Rytidosperma,Thonandia sp,Rytidosperma sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Tripogon,Tripogonella,Tripogon sp,Tripogonella sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Torrenticola,Cladopus,Torrenticola sp,Cladopus sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Tristicha,Malaccotristicha,Tristicha sp,Malaccotristicha sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Lepilaena,Althenia,Lepilaena sp,Althenia sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Dryandra,Banksia,Dryandra sp,Banksia sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Caltha,Psychrophila,Caltha sp,Psychrophila sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Borreria,Spermacoce,Borreria sp,Spermacoce sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Caelospermum,Coelospermum,Caelospermum sp,Coelospermum sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Canthium,Psydrax,Canthium sp,Psydrax sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Canthium.,Psydrax,Canthium. sp,Psydrax sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Diplospora,Triflorensia,Diplospora sp,Triflorensia sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Kailarsenia,Larsenaikia,Kailarsenia sp,Larsenaikia sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Eremocitrus,Citrus,Eremocitrus sp,Citrus sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Evodiella,Melicope,Evodiella sp,Melicope sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Microcitrus,Citrus,Microcitrus sp,Citrus sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Paramignya,Luvunga,Paramignya sp,Luvunga sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Distichostemon,Dodonaea,Distichostemon sp,Dodonaea sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Chionohebe,Veronica,Chionohebe sp,Veronica sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Derwentia,Veronica,Derwentia sp,Veronica sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Ilysanthes,Lindernia,Ilysanthes sp,Lindernia sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Orthocarpus,Castilleja,Orthocarpus sp,Castilleja sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Parahebe,Veronica,Parahebe sp,Veronica sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Thecanthes,Pimelea,Thecanthes sp,Pimelea sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Mallophora,Dicrastylis,Mallophora sp,Dicrastylis sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Spartothamnella,Teucrium,Spartothamnella sp,Teucrium sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Hymenanthera,Melicytus,Hymenanthera sp,Melicytus sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Caldcluvia,Betchea,Caldcluvia sp,Betchea sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Mukia,Cucumis,Mukia sp,Cucumis sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Ancana,Meiogyne,Ancana sp,Meiogyne sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Bacularia,Linospadix,Bacularia sp,Linospadix sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Brachyglottis,Centropappus,Brachyglottis sp,Centropappus sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Bracteantha,Xerochrysum,Bracteantha sp,Xerochrysum sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Calophanoides,Harnieria,Calophanoides sp,Harnieria sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Chrysogonum,Pentalepis,Chrysogonum sp,Pentalepis sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Cryptolepis,Phyllanthera,Cryptolepis sp,Phyllanthera sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Desmos.,Desmos,Desmos. sp,Desmos sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Ebermaiera,Staurogyne,Ebermaiera sp,Staurogyne sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Eurybiopsis,Minuria,Eurybiopsis sp,Minuria sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Gronophyllum,Hydriastele,Gronophyllum sp,Hydriastele sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Gulubia,Hydriastele,Gulubia sp,Hydriastele sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Halosarcia,Tecticornia,Halosarcia sp,Tecticornia sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Haplostichanthus.,Haplostichanthus,Haplostichanthus. sp,Haplostichanthus sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Hypsela,Isotoma,Hypsela sp,Isotoma sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Longetia,Austrobuxus,Longetia sp,Austrobuxus sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Moonia,Chrysogonum,Moonia sp,Chrysogonum sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Nymphaeales,Nymphaeales,Nymphaeales sp,Nymphaeales sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Pachycornia,Tecticornia,Pachycornia sp,Tecticornia sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Pararistolochia,Aristolochia,Pararistolochia sp,Aristolochia sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Pleuropappus,Angianthus,Pleuropappus sp,Angianthus sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Pratia,Lobelia,Pratia sp,Lobelia sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Rauwenhoffia,Uvaria,Rauwenhoffia sp,Uvaria sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Sarcostemma,Cynanchum,Sarcostemma sp,Cynanchum sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Sarojusticia,Harnieria,Sarojusticia sp,Harnieria sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Schizeilema,Azorella,Schizeilema sp,Azorella sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Sclerochlamys,Sclerolaena,Sclerochlamys sp,Sclerolaena sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Sclerostegia,Tecticornia,Sclerostegia sp,Tecticornia sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Scyphocoronis,Millotia,Scyphocoronis sp,Millotia sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Stelligera,Sclerolaena,Stelligera sp,Sclerolaena sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Stemmacantha,Rhaponticum,Stemmacantha sp,Rhaponticum sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Tecomaria,Tecoma,Tecomaria sp,Tecoma sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Tegicornia,Tecticornia,Tegicornia sp,Tecticornia sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Tournefortia,Heliotropium,Tournefortia sp,Heliotropium sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Toxanthes,Millotia,Toxanthes sp,Millotia sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Uldinia,Trachymene,Uldinia sp,Trachymene sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
xCynochloris,x Cynochloris,xCynochloris sp,x Cynochloris sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
