genus_APC,genus_Sjostrom,habit_to_use,lifespan_to_use,sex_type_to_use,fruit_to_use
Styphelia,Styphelia,2,2,1,6
Trochocarpa,Trochocarpa,2,2,1,6
Woollsia,Woollsia,2,2,1,3
Eriocaulon,Eriocaulon,1,2,7,3
Erythroxylum,Erythroxylum,3,2,1,6
Acalypha,Acalypha,NA,2,8,3
Adriana,Adriana,2,2,8,3
Alchornea,Alchornea,3,2,8,3
Amperea,Amperea,NA,2,NA,3
Austrobuxus,Austrobuxus.,3,2,7,3
Baloghia,Baloghia,3,2,7,3
Bertya,Bertya,2,2,7,3
Beyeria,Beyeria,NA,2,NA,3
Calycopeplus,Calycopeplus,2,2,7,7
Claoxylon,Claoxylon,3,2,8,7
Dissiliaria,Dissiliaria,3,2,7,3
Excoecaria,Excoecaria,3,2,8,3
Fontainea,Fontainea,3,2,8,6
Jatropha,Jatropha,NA,2,7,7
Macaranga,Macaranga,3,2,8,3
Micrantheum,Micrantheum,2,2,7,3
Monotaxis,Monotaxis,NA,NA,7,3
Neoroepera,Neoroepera,2,2,7,3
Homalanthus,Omalanthus,3,2,7,3
Omphalea,Omphalea,4,2,7,3
Petalostigma,Petalostigma,3,2,8,3
Pseudanthus,Pseudanthus,2,2,7,3
Ricinocarpos,Ricinocarpos,2,2,7,3
Microstachys,Sebastiania,1,2,7,3
Stachystemon,Stachystemon,2,2,7,3
Tragia,Tragia,1,2,7,3
Trigonostemon,Trigonostemon,3,2,13,3
Abrus,Abrus,4,2,1,14
Acacia,Acacia,NA,2,2,14
Aenictophyton,Aenictophyton,2,2,1,14
Aeschynomene,Aeschynomene,1,2,1,14
Albizia,Albizia,8,2,13,14
Almaleea,Almaleea,2,2,1,14
Alysicarpus,Alysicarpus,NA,NA,1,14
Aotus,Aotus,2,2,1,14
Archidendron,Archidendron,3,2,1,14
Archidendropsis,Archidendropsis,3,2,1,14
Austrodolichos,Austrodolichos,1,2,1,14
Austrosteenisia,Austrosteenisia,4,2,1,14
Barklya,Barklya,3,2,1,14
Bauhinia,Bauhinia,3,2,1,14
Bossiaea,Bossiaea,2,2,1,14
Caesalpinia,Caesalpinia,4,2,NA,14
Cajanus,Cajanus,2,2,1,14
Callistachys,Callistachys,3,2,1,14
Canavalia,Canavalia,1,2,1,14
Carmichaelia,Carmichaelia,2,2,1,14
Cassia,Cassia,3,2,1,14
Chamaecrista,Chamaecrista,1,NA,1,14
Chorizema,Chorizema,2,2,1,14
Christia,Christia,1,2,1,14
Clitoria,Clitoria,NA,NA,1,14
Crotalaria,Crotalaria,NA,NA,1,14
Cyclocarpa,Cyclocarpa,1,1,1,14
Dalbergia,Dalbergia,3,2,1,14
Daviesia,Daviesia,NA,2,1,14
Derris,Derris,4,2,1,14
Desmodium,Desmodium,NA,NA,1,14
Aphyllodium,Dicerma,2,2,1,14
Dichrostachys,Dichrostachys,NA,2,2,14
Dillwynia,Dillwynia,2,2,1,14
Dunbaria,Dunbaria,5,1,1,14
Entada,Entada,4,2,1,14
Erichsenia,Erichsenia,2,2,1,14
Euchilopsis,Euchilopsis,2,2,1,14
Eutaxia,Eutaxia,2,2,1,14
Flemingia,Flemingia,NA,NA,1,14
Galactia,Galactia,1,2,1,14
Gastrolobium,Gastrolobium,2,2,1,14
Glycine,Glycine,1,2,1,14
Glycyrrhiza,Glycyrrhiza,2,2,1,14
Gompholobium,Gompholobium,2,2,1,14
Goodia,Goodia,2,2,1,14
Hardenbergia,Hardenbergia,4,2,1,14
Hovea,Hovea,2,2,1,14
Isotropis,Isotropis,2,2,1,14
Jacksonia,Jacksonia,2,2,1,14
Kennedia,Kennedia,1,2,1,14
Labichea,Labichea,2,2,1,14
Lamprolobium,Lamprolobium,2,2,1,14
Latrobea,Latrobea,2,2,1,14
Leptosema,Leptosema,2,2,1,14
Lespedeza,Lespedeza,2,2,1,14
Lotus,Lotus,1,2,1,14
Bauhinia,Lysiphyllum,3,2,1,14
Macrotyloma,Macrotyloma,1,2,1,14
Millettia,Millettia,4,2,1,14
Mirbelia,Mirbelia,2,2,1,14
Mucuna,Mucuna,4,2,1,14
Muelleranthus,Muelleranthus,1,2,1,14
Neptunia,Neptunia,1,2,1,14
Nomismia,Nomismia,1,2,1,14
Ormocarpum,Ormocarpum,2,2,1,14
Oxylobium,Oxylobium,2,2,1,14
Pachyrhizus,Pachyrhizus,1,2,1,14
Tephrosia,Paratephrosia,2,2,1,14
Petalostylis,Petalostylis,2,2,1,14
Phylacium,Phylacium,5,2,1,14
Phyllodium,Phyllodium,2,2,1,14
Phyllota,Phyllota,2,2,1,14
Plagiocarpus,Plagiocarpus,2,2,1,14
Platylobium,Platylobium,2,2,1,14
Ptychosema,Ptychosema,1,2,1,14
Pultenaea,Pultenaea,2,2,1,14
Pycnospora,Pycnospora,2,2,1,14
Acacia,Racosperma,3,2,2,14
Rhynchosia,Rhynchosia,1,2,1,14
Rothia,Rothia,1,1,1,14
Scorpiurus,Scorpiurus,1,1,1,14
Senna,Senna,NA,2,1,14
