speciesName,genus,speciesEpithet,family,speciesNameComments,photosyntheticPathway_confirmed,photosyntheticPathway_inferred,photosyntheticPathway_combined,source,justification,notes,d13C_perMil,d13CReplicate_perMil,ternVegetationBarcode,ternPrimaryGeneticBarcode,plantMaterialType ,ternPlot,latitude,longitude,dateSurveyed,d13CAdditionalSample_perMil,ternPlotAdditionalSample  ,ternPrimaryGeneticBarcodeAdditionalSample  ,plantMaterialTypeAdditionalSample  ,latitudeAdditionalSample  ,longitudeOfAdditionalSample  ,dateSurveyedAdditionalSample  ,facilityYear
Acacia_alleniana,Acacia,alleniana,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_ampliceps,Acacia,ampliceps,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_anceps,Acacia,anceps,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_ancistrocarpa,Acacia,ancistrocarpa,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_aneura,Acacia,aneura,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_anfractuosa,Acacia,anfractuosa,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_anthochaera,Acacia,anthochaera,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_aptaneura,Acacia,aptaneura,Fabaceae,,C3,,C3,"TERN SIA;Sage, 2016; Watson & Dallwitz, 1992 onwards",,,-26.3,-26.19,,NTA010192,leaves ,NTABRT0001-53616,-22.2836,133.2473278,19/03/2012,,,,,,,,CSIRO-2019
Acacia_araneosa,Acacia,araneosa,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_aspera,Acacia,aspera,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_asperulacea,Acacia,asperulacea,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_assimilis,Acacia,assimilis,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_atkinsiana,Acacia,atkinsiana,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_aulacocarpa,Acacia,aulacocarpa,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_aulacophylla,Acacia,aulacophylla,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_auratiflora,Acacia,auratiflora,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_auriculiformis,Acacia,auriculiformis,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_ayersiana,Acacia,ayersiana,Fabaceae,,C3,,C3,"TERN SIA;Sage, 2016; Watson & Dallwitz, 1992 onwards",,,-27.15,-27.15,,SAA  003915,leaves ,SAAGVD0002-56926,-29.34649167,130.4504778,3/9/2014,,,,,,,,CSIRO-2019
Acacia_bancroftiorum,Acacia,bancroftiorum,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_beauverdiana,Acacia,beauverdiana,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_bivenosa,Acacia,bivenosa,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_brachystachya,Acacia,brachystachya,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_browniana,Acacia,browniana,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_brownii,Acacia,brownii,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_burkittii,Acacia,burkittii,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_buxifolia,Acacia,buxifolia,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_caesaneura,Acacia,caesaneura,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_calamifolia,Acacia,calamifolia,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_calligera,Acacia,calligera,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_calyculata,Acacia,calyculata,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_cambagei,Acacia,cambagei,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_carneorum,Acacia,carneorum,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_catenulata,Acacia,catenulata,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_chippendalei,Acacia,chippendalei,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_chrysocephala,Acacia,chrysocephala,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_citrinoviridis,Acacia,citrinoviridis,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_cochlearis,Acacia,cochlearis,Fabaceae,,C3,,C3,"Kattge et al., 2020",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_colei,Acacia,colei,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_colletioides,Acacia,colletioides,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_consanguinea,Acacia,consanguinea,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_continua,Acacia,continua,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_coolgardiensis,Acacia,coolgardiensis,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_coriacea,Acacia,coriacea,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_cowleana,Acacia,cowleana,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_crassicarpa,Acacia,crassicarpa,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_crombiei,Acacia,crombiei,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_cupularis,Acacia,cupularis,Fabaceae,,C3,,C3,"TERN SIA;Sage, 2016; Watson & Dallwitz, 1992 onwards",,,-26.83,,,SAT004909,leaves,SATKAN0002-53689,-35.27211111,138.690175,22/08/2012,,,,,,,,CSIRO-2019
Acacia_cuthbertsonii,Acacia,cuthbertsonii,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_cyclops,Acacia,cyclops,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_cylindrica,Acacia,cylindrica,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_dawsonii,Acacia,dawsonii,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_dealbata,Acacia,dealbata,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_deanei,Acacia,deanei,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_decora,Acacia,decora,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_dentifera,Acacia,dentifera,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_desertorum,Acacia,desertorum,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_dictyophleba,Acacia,dictyophleba,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_didyma,Acacia,didyma,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_difficilis,Acacia,difficilis,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_dimidiata,Acacia,dimidiata,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_distans,Acacia,distans,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_dunnii,Acacia,dunnii,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_duriuscula,Acacia,duriuscula,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_effusifolia,Acacia,effusifolia,Fabaceae,,C3,,C3,"TERN SIA;Sage, 2016; Watson & Dallwitz, 1992 onwards",,,-29.21,-29.23,,WAA013316,leaves,WAAMUR0002-58510,-28.143125,120.9661222,1/10/2016,,,,,,,,CSIRO-2019
Acacia_enervia,Acacia,enervia,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_erinacea,Acacia,erinacea,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_eriopoda,Acacia,eriopoda,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_estrophiolata,Acacia,estrophiolata,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_euthycarpa,Acacia,euthycarpa,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_excelsa,Acacia,excelsa,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_exocarpoides,Acacia,exocarpoides,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_farnesiana,Acacia,farnesiana,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_fimbriata,Acacia,fimbriata,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_fragilis,Acacia,fragilis,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_galeata,Acacia,galeata,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_galioides,Acacia,galioides,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_georginae,Acacia,georginae,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_gibbosa,Acacia,gibbosa,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_gonocarpa,Acacia,gonocarpa,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_gonoclada,Acacia,gonoclada,Fabaceae,,C3,,C3,"TERN SIA;Sage, 2016; Watson & Dallwitz, 1992 onwards",,,-26.45,,,NTA012832,leaves,NTAMGD0005-58495,-17.45584722,133.4835667,29/04/2016,,,,,,,,CSIRO-2019
Acacia_hakeoides,Acacia,hakeoides,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_hamersleyensis,Acacia,hamersleyensis,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_hammondii,Acacia,hammondii,Fabaceae,,C3,,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,-27.74,,,NTA  007079,leaves ,NTAGFU0023-53670,-16.82389444,135.8300389,9/6/2012,,,,,,,,CSIRO-2019
Acacia_harpophylla,Acacia,harpophylla,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_havilandiorum,Acacia,havilandiorum,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_hemignosta,Acacia,hemignosta,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_hemiteles,Acacia,hemiteles,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_hemsleyi,Acacia,hemsleyi,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_heteroneura,Acacia,heteroneura,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_hilliana,Acacia,hilliana,Fabaceae,,C3,,C3,"TERN SIA;Sage, 2016; Watson & Dallwitz, 1992 onwards",,,-29.92,,,NTA001843,leaves ,NTAGFU0006-53653,-18.77869167,136.8470722,18/04/2012,,,,,,,,CSIRO-2019
Acacia_holosericea,Acacia,holosericea,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_hopperiana,Acacia,hopperiana,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_humifusa,Acacia,humifusa,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_implexa,Acacia,implexa,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_inaequilatera,Acacia,inaequilatera,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_inaequiloba,Acacia,inaequiloba,Fabaceae,,C3,,C3,"Caddy-Retalic, 2017",,,,,,,,,,,,,,,,,,,
Acacia_inceana,Acacia,inceana,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_incurvaneura,Acacia,incurvaneura,Fabaceae,,C3,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,-26.87,,,SAA  003907,leaves,SAAGVD0002-56926,-29.34649167,130.4504778,3/9/2014,,,,,,,,CSIRO-2019
Acacia_iteaphylla,Acacia,iteaphylla,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_ixiophylla,Acacia,ixiophylla,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_jamesiana,Acacia,jamesiana,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_jennerae,Acacia,jennerae,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_jucunda,Acacia,jucunda,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_julifera,Acacia,julifera,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_kempeana,Acacia,kempeana,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_lamprocarpa,Acacia,lamprocarpa,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_lasiocalyx,Acacia,lasiocalyx,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_lasiocarpa,Acacia,lasiocarpa,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_latescens,Acacia,latescens,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_latifolia,Acacia,latifolia,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_latipes,Acacia,latipes,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_legnota,Acacia,legnota,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_leiocalyx,Acacia,leiocalyx,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_leiophylla,Acacia,leiophylla,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_leptocarpa,Acacia,leptocarpa,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_leptoloba,Acacia,leptoloba,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_leptostachya,Acacia,leptostachya,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_leucolobia,Acacia,leucolobia,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_ligulata,Acacia,ligulata,Fabaceae,,C3,,C3,"Caddy-Retalic, 2017",,,,,,,,,,,,,,,,,,,
Acacia_limbata,Acacia,limbata,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
