bag.id,sample.id,dune,plot.id,subplot,date,type,totalN_perc,totalP_mgkg,NP,pHwater,pHcacl2,pHbacl2,exchAl_mgkg,exchCa_mgkg,exchFe_mgkg,exchK_mgkg,exchMg_mgkg,exchMn_mgkg,exchNa_mgkg,exchAl_cmolkg,exchCa_cmolkg,exchFe_cmolkg,exchK_cmolkg,exchMg_cmolkg,exchMn_cmolkg,exchNa_cmolkg,TEB_cmolkg,ECEC_cmolkg
243,Q.O.20.5,Quindalup - old,Q.O.20,5,11/6/12,subplot,0.1296,509.703,2.5425,8.58,7.82,8.15,0,2647.3662,0,17.971,89.3819,0,10.5711,0,13.2104,0,0.046,0.7354,0,0.046,14.0377,14.0377
244,Q.O.20.6,Quindalup - old,Q.O.20,6,11/6/12,subplot,0.2218,518.9555,4.2734,8.47,7.82,8.28,0,3931.9566,0,46.9375,255.4352,0,83.8578,0,19.6205,0,0.12,2.1015,0,0.3648,22.2068,22.2068
245,Q.O.20.7,Quindalup - old,Q.O.20,7,11/6/12,subplot,0.1725,481.9528,3.5785,8.37,7.73,8.17,0,3590.3768,0,39.5281,157.2079,0,19.7264,0,17.9161,0,0.1011,1.2934,0,0.0858,19.3963,19.3963
246,Q.O.22.1,Quindalup - old,Q.O.22,1,12/6/12,subplot,0.0993,380.7024,2.6074,8.48,7.77,8.38,6.2051,2839.9032,2.8725,32.9782,90.0551,0,31.281,0.069,14.1712,0.0154,0.0843,0.7409,0,0.1361,15.1325,15.2169
247,Q.O.22.2,Quindalup - old,Q.O.22,2,12/6/12,subplot,0.1271,349.1457,3.6397,8.54,7.81,8.34,0,2206.0127,0,25.2036,91.4472,0,18.7692,0,11.008,0,0.0645,0.7523,0,0.0816,11.9065,11.9065
248,Q.O.22.3,Quindalup - old,Q.O.22,3,12/6/12,subplot,0.146,434.0108,3.3633,8.45,7.76,8.28,0,2930.83,0,23.682,129.6228,0,28.3808,0,14.6249,0,0.0606,1.0664,0,0.1234,15.8753,15.8753
249,Q.O.22.4,Quindalup - old,Q.O.22,4,12/6/12,subplot,0.1232,380.3528,3.2404,8.52,7.82,8.34,0,1841.8786,0,13.7558,80.9936,0,17.633,0,9.191,0,0.0352,0.6663,0,0.0767,9.9692,9.9692
250,Q.O.22.5,Quindalup - old,Q.O.22,5,12/6/12,subplot,0.1142,356.6811,3.2028,8.48,7.77,8.41,0,1819.3541,0,20.5945,68.674,0,22.1514,0,9.0786,0,0.0527,0.565,0,0.0964,9.7926,9.7926
251,Q.O.22.6,Quindalup - old,Q.O.22,6,12/6/12,subplot,0.1505,382.8474,3.9309,8.4,7.77,7.68,0,2676.4968,0,29.7329,100.1294,0,59.3383,0,13.3558,0,0.076,0.8238,0,0.2581,14.5137,14.5137
252,Q.O.22.7,Quindalup - old,Q.O.22,7,12/6/12,subplot,0.1066,333.8708,3.1936,8.53,7.57,8.4,0,1850.086,0,14.1662,54.601,0,8.4783,0,9.232,0,0.0362,0.4492,0,0.0369,9.7543,9.7543
