objectID,Site ID,Site no.,Plant_sample_name,Genus,species,Plant [K],Plant [Ca],Plant [Mg],Plant [S],Fe(mg/kg),Plant [Zn],Plant [Cu],Plant [Mn],Plant [P],P %,N(%),C(%),locality description ,sampleDate,decimalLon,decimalLat,Mean_Annual_Temperature,Mean_Anual_Precipitation,elev9s,Soil P (mg/kg),Soil S (mg/kg),Soil Zn (mg/kg),Soil Cu (mg/kg),Soil Mn (mg/kg),Soil Fe (mg/kg),Soil Al (mg/kg),Collwell [P],ortho,lipid,phytate,RNA,leaf P%,N:P ratios,ASC_Order,storage to biochem
13,RSS,9,RSS12-02,Eucalyptus,blakelyi ,5780,6761,2623,903,256,29,3,1038,734,0.734,1.22,47.7,"Warrumbungles national park, near camp blackman (phone point) (still on site) road side ",12/5/2018,148.977137,-31.279982,17.056,674.485,433.88,283,70,96,7,802,31333,14896,4.870051979,268,194,123,103,0.734,1.662125341,Rudosols and Tenosols,1.316498316
19,TERN,9,WNP-04-01,Eucalyptus,blakelyi ,8412,8711,1496,1067,297,16,2,564,978,0.978,1.45,49.7,Black Cypress Pine - Narrow-leaved Ironbark -  shrubby open forest on hill,11/5/2018,148.976567,-31.281162,16.801,706.478,485.442,321,65,68,13,1065,56519,18994,9.706117553,423,244,128,99,0.978,1.482617587,Rudosols and Tenosols,1.606413994
24,RSS,9,RSS12-01,Acacia,decora,4697,1251,1650,650,473,11,3,33,578,0.578,1.96,46.2,"Warrumbungles national park, near camp blackman (phone point) (still on site) road side ",12/5/2018,148.976627,-31.280282,16.801,706.478,485.442,283,70,96,7,802,31333,14896,4.870051979,237,157,0,116,0.578,3.39100346,Rudosols and Tenosols,0.868131868
53,TERN,9,WNP-04-02 A-B,Einadia,nutans,48522,10420,4191,1901,639,54,0,166,2187,2.187,2.07,45.1,Black Cypress Pine - Narrow-leaved Ironbark -  shrubby open forest on hill,11/5/2018,148.976567,-31.281162,16.801,706.478,485.442,321,65,68,13,1065,56519,18994,9.706117553,2208,228,0,147,2.187,0.946502058,Rudosols and Tenosols,5.888
18,TERN,10,WNP-03-01,Eucalyptus,blakelyi ,6970,6130,1588,1018,285,21,3,1274,852,0.852,1.56,49.3,Narrow-leaved Ironbark - White Cypress Pine - Buloke tall open forest,12/5/2018,148.992445,-31.279436,16.984,687.707,448.874,441,192,123,14,1202,46036,33350,41.52126173,303,250,43,104,0.852,1.830985915,Rudosols and Tenosols,0.97740113
49,TERN,10,WNP-01-02,Acacia,decora,5523,1566,1453,851,351,10,0,32,655,0.655,2.21,47.6,Narrow-leaved Ironbark - White Cypress Pine - Buloke tall open forest,12/5/2018,148.992445,-31.279436,16.984,687.707,448.874,496,198,75,47,1265,43406,13877,49.22571656,229,159,0,98,0.655,3.374045802,Rudosols and Tenosols,0.891050584
50,TERN,10,WNP-02-01,Acacia,decora,6016,2511,2204,879,403,12,0,57,655,0.655,2.31,47.1,Narrow-leaved Ironbark - White Cypress Pine - Buloke tall open forest,12/5/2018,148.992445,-31.279436,16.984,687.707,448.874,662,241,89,24,2096,45550,28453,71.74451098,251,174,0,117,0.655,3.526717557,Rudosols and Tenosols,0.862542955
51,TERN,10,WNP-02-02,Einadia,nutans,44023,9524,4735,1457,591,69,0,326,1152,1.152,2.14,50,Narrow-leaved Ironbark - White Cypress Pine - Buloke tall open forest,12/5/2018,148.992445,-31.279436,16.984,687.707,448.874,662,241,89,24,2096,45550,28453,71.74451098,758,155,0,83,1.152,1.857638889,Rudosols and Tenosols,3.18487395
52,TERN,10,WNP-03-02,Acacia,decora,3354,1931,1536,680,275,12,1,122,446,0.446,1.29,47.6,Narrow-leaved Ironbark - White Cypress Pine - Buloke tall open forest,12/5/2018,148.992445,-31.279436,16.984,687.707,448.874,441,192,123,14,1202,46036,33350,41.52126173,158,118,0,67,0.446,2.892376682,Rudosols and Tenosols,0.854054054
12,RSS,11,RSSx-02,Eucalyptus,camaldulensis,9913,3258,1808,881,131,12,6,583,1227,1.227,1.51,51.5,on edge of pilliga near Baradine ,5/13/2018,149.064179,-30.915473,17.886,615.005,278.202,226,101,19,8,463,17757,10572,17.3043131,345,223,426,110,1.227,1.230643847,Sodosols,2.315315315
11,RSS,12,RSSx-01,Eucalyptus,camaldulensis,4715,8519,1248,1009,196,35,4,3041,634,0.634,1.26,49.1,Road side sample in ETOO Creek 30 - 50 min into Pilliga,5/13/2018,149.112171,-30.749201,18.142,605.009,254.657,43,40,3,3,76,3311,1976,1.211273236,225,143,45,126,0.634,1.987381703,Sodosols,1.003717472
2,TERN,13,PNPT4-01,Eucalyptus,microcarpa,4008,9297,2918,1248,159,13,12,982,586,0.586,1.58,48.7,Narrow-leaved Ironbark - White Cypress Pine - Buloke tall open forest,5/15/2018,149.267298,-30.510293,18.696,609.549,210.531,165,166,4,3,299,6036,5303,4.375624376,158,211,0,119,0.586,2.696245734,Sodosols,0.478787879
26,TERN,13,PNPT4-01,Callitris,glaucophylla,3505,4469,2647,930,116,16,1,650,657,0.657,1.14,49.7,Narrow-leaved Ironbark - White Cypress Pine - Buloke tall open forest,5/15/2018,149.267298,-30.510293,18.696,609.549,210.531,150,92,7,4,365,11945,11712,3.667330677,201,145,0,113,0.657,1.735159817,Sodosols,0.779069767
27,TERN,13,PNPT4-01-02,Einadia,nutans,18354,7165,2462,1034,216,14,1,43,334,0.334,1.21,46,Narrow-leaved Ironbark - White Cypress Pine - Buloke tall open forest,5/15/2018,149.267298,-30.510293,18.696,609.549,210.531,176,324,14,7,449,14441,17238,19.4343394,93,79,0,53,0.334,3.622754491,Sodosols,0.704545455
40,TERN,13,PNPT3-01,Callitris,glaucophylla,3194,6087,2159,820,137,12,1,292,621,0.621,1.2,48.3,Narrow-leaved Ironbark - White Cypress Pine - Buloke tall open forest,5/15/2018,149.280009,-30.498762,18.721,611.193,209.738,92,72,4,3,142,7578,6801,1.810396335,163,153,0,124,0.621,1.93236715,Sodosols,0.588447653
41,TERN,13,PNPT3-02,Callitris,glaucophylla,3490,5779,1666,897,159,13,1,426,673,0.673,1.32,49.7,Narrow-leaved Ironbark - White Cypress Pine - Buloke tall open forest,5/15/2018,149.280009,-30.498762,18.721,611.193,209.738,92,72,4,3,142,7578,6801,1.810396335,202,202,41,87,0.673,1.961367013,Sodosols,0.84083045
42,TERN,13,PNPT3-01-01,Callitris,glaucophylla,2580,8924,2170,951,511,13,2,128,655,0.655,1.39,47.5,Narrow-leaved Ironbark - White Cypress Pine - Buloke tall open forest,5/15/2018,149.280009,-30.498762,18.721,611.193,209.738,101,70,5,3,141,7378,7664,2.281543691,226,152,0,115,0.655,2.122137405,Sodosols,0.846441948
43,TERN,13,PNPT2-01,Callitris,glaucophylla,5134,4943,2370,1118,184,14,1,382,1018,1.018,1.17,49,Narrow-leaved Ironbark - White Cypress Pine - Buloke tall open forest,5/14/2018,149.246932,-30.46094,18.806,604.07,197.393,145,88,6,3,207,8273,7920,9.046288907,507,182,0,96,1.018,1.149312377,Sodosols,1.823741007
1,TERN,14,MKT-01,Eucalyptus,pauciflora,4635,4842,2197,736,245,8,17,1454,957,0.957,1.48,52,Mountain Gum - Snow Gum grassy open forest- Unburnt,5/16/2018,150.152671,-30.283666,12.001,1207.19,1433.73,1562,271,137,18,5345,120483,55969,94.91724826,327,192,94,86,0.957,1.546499478,Rudosols and Tenosols,1.514388489
7,TERN,14,MKT-03-A-B,Eucalyptus,pauciflora,5217,7825,2411,701,160,9,2,1800,1211,1.211,1.22,50.6,Mountain Gum - Snow Gum grassy open forest- Unburnt,5/16/2018,150.152671,-30.283666,12.001,1207.19,1433.73,1562,271,137,18,5345,120483,55969,94.91724826,690,206,262,92,1.211,1.007431874,Rudosols and Tenosols,3.194630872
34,TERN,14,MKT-02,Eucalyptus,pauciflora,6226,8444,2570,798,199,13,0,2586,1007,1.007,1.27,51.2,Mountain Gum - Snow Gum grassy open forest- Unburnt,5/16/2018,150.152671,-30.283666,12.001,1207.19,1433.73,1562,271,137,18,5345,120483,55969,94.91724826,476,165,142,129,1.007,1.261171797,Rudosols and Tenosols,2.102040816
38,RSS,15,RSS17-08,Acacia,decora,3498,12602,3838,759,590,4,1,92,741,0.741,1.62,41.4,on the way down Mt Kaputar ,5/17/2018,150.09586,-30.272981,14.708,999.563,949.239,1860,215,76,21,931,79298,52179,221.1900958,345,109,144,77,0.741,2.186234818,Rudosols and Tenosols,2.629032258
39,RSS,15,RSS17-09,Callitris,glaucophylla,3705,14852,1599,680,252,21,0,35,3053,3.053,1.09,49.4,on the way down Mt Kaputar ,5/17/2018,150.095917,-30.273107,14.708,999.563,949.239,1860,215,76,21,931,79298,52179,221.1900958,3031,262,0,126,3.053,0.357025876,Rudosols and Tenosols,7.81185567
20,RSS,16,RSS17-06,Eucalyptus,blakelyi ,4410,14704,2709,1050,302,26,1,537,703,0.703,1.51,51.2,"Base of Mt Kaputar near creek, near house, near road works, house number 2370",5/17/2018,150.020358,-30.279577,18.167,698.309,358.548,221,119,20,7,322,11975,8087,11.0871303,242,193,34,99,0.703,2.147937411,Chromosols,0.945205479
37,RSS,16,RSS17-07,Callitris,glaucophylla,4410,7851,2171,1150,342,16,3,119,1218,1.218,1.46,48.9,"base of Mt Kaputar near creek, near house, near road works, house number 2370",5/17/2018,150.020139,-30.280201,18.036,709.268,380.784,221,119,20,7,322,11975,8087,11.0871303,729,236,0,97,1.218,1.198686371,Chromosols,2.189189189
10,RSS,17,RSS17-04,Eucalyptus,camaldulensis,4667,12879,2852,1118,239,16,0,539,944,0.944,1.25,50.4,"Near Kaputar, near narrabri street number 1324",5/17/2018,149.929378,-30.323808,18.687,654.579,276.939,677,186,52,11,454,26769,11063,59.62741582,436,219,116,70,0.944,1.324152542,Sodosols,1.910034602
36,RSS,17,RSS17-05,Callitris,glaucophylla,4352,10402,2015,760,223,12,0,64,1408,1.408,1.09,51.5,"Near Kaputar, near narrabri street number 1324",5/17/2018,149.929367,-30.324117,18.687,654.579,276.939,677,186,52,11,454,26769,11063,59.62741582,969,201,0,100,1.408,0.774147727,Sodosols,3.219269103
9,RSS,18,RSS17-02,Eucalyptus,blakelyi ,8297,8409,1031,876,295,15,2,779,683,0.683,1.13,48.4,"Road side sample near Mt Kaputar, near Killarney callitris state forrest ",5/17/2018,149.872697,-30.251787,18.856,649.293,259.02,153,80,6,5,341,4126,3721,23.81876375,247,109,78,138,0.683,1.654465593,Sodosols,1.315789474
35,RSS,18,RSS17-03,Callitris,glaucophylla,6489,9914,2205,898,231,13,1,232,1712,1.712,1.03,48.8,"Road side sample near Mt Kaputar, near Killarney callitris state forrest ",5/17/2018,149.872793,-30.251568,18.856,649.293,259.02,153,80,6,5,341,4126,3721,23.81876375,1266,192,41,63,1.712,0.601635514,Sodosols,5.125490196
8,RSS,19,RSS17-01,Eucalyptus,camaldulensis,12407,9227,2221,876,259,10,5,78,940,0.94,1,44.9,Road side sample from Mt Kaputar to Torrington near craigdon BnB,5/17/2018,150.028833,-30.14466,17.895,753.141,414.117,1159,124,90,32,766,55960,23307,106.2278077,274,184,254,23,0.94,1.063829787,Vertosols,2.550724638
6,RSS,20,RSS17-11,Eucalyptus,blakelyi ,9110,3643,1844,878,266,14,11,266,1073,1.073,1.5,50.7,"near ancient geological site, table lands ",5/17/2018,150.309776,-30.041527,17.907,767.635,379.998,271,169,29,18,437,24020,13282,12.99220468,466,235,104,91,1.073,1.397949674,Rudosols and Tenosols,1.748466258
22,RSS,20,RSS17-10,Callitris,glaucophylla,5247,7228,1543,786,250,13,2,171,1015,1.015,1.14,49.8,"near ancient geological site, table lands ",5/17/2018,150.310504,-30.041493,17.886,768.919,383.321,271,169,29,18,437,24020,13282,12.99220468,578,211,0,117,1.015,1.123152709,Rudosols and Tenosols,1.762195122
23,RSS,20,RSS17-12,Einadia,nutans,39749,7692,2800,1041,580,22,1,70,753,0.753,1.91,43.5,"near ancient geological site, table lands ",5/17/2018,150.309512,-30.041713,17.907,767.635,379.998,271,169,29,18,437,24020,13282,12.99220468,295,195,0,178,0.753,2.536520584,Rudosols and Tenosols,0.790884718
28,RSS,21,RSS17-13,Callitris,glaucophylla,4858,10148,1478,971,161,10,2,65,1945,1.945,1.17,51.2,AUS012364,5/17/2018,150.580421,-29.802859,18.092,716.809,328.284,414,167,35,22,1031,31896,20576,23.79029049,1395,236,0,90,1.945,0.601542416,Kurosols,4.279141104
29,RSS,21,RSS17-14,Acacia,decora,5620,5792,2846,1195,418,7,2,50,756,0.756,2.07,48,AUS012364,5/17/2018,150.581375,-29.802794,18.092,716.809,328.284,414,167,35,22,1031,31896,20576,23.79029049,349,123,51,112,0.756,2.738095238,Kurosols,1.70212766
30,RSS,21,RSS17-15,Einadia,nutans,27378,6182,3799,2067,187,11,2,127,645,0.645,1.7,48,AUS012364,5/17/2018,150.582209,-29.802402,18.289,708.325,293.917,414,167,35,22,1031,31896,20576,23.79029049,320,200,44,91,0.645,2.635658915,Kurosols,1.250859107
