Species Name,Location,Months Until First Fruiting,GosperJVS2012_PFT,Resprouter,Persistent canopy seedbank,Persistent soil seedbank,Compeditive stratum,Longevity
Eucalyptus tenera X suggrandis,"Newdegate area, Western Australia",,RStree,Yes,Yes,No,Upper,Long
Eucalyptus uncinata,"Newdegate area, Western Australia",,RStree,Yes,Yes,No,Upper,Long
Exocarpos aphyllus,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Exocarpos sparteus,"Newdegate area, Western Australia",,NNtree,No,No,Yes,Upper,Long
Gahnia ancistrophylla,"Newdegate area, Western Australia",,RNlow,Yes,No,,Ground,Long
Gastrolobium crassifolium,"Newdegate area, Western Australia",,RNshrub,Yes,No,Yes,Mid,Long
Gastrolobium latifolium,"Newdegate area, Western Australia",,NNlow,No,No,Yes,Ground,Long
Gastrolobium melanocarpum,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Gastrolobium punctatum,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Gastrolobium spinosum,"Newdegate area, Western Australia",,NNtree,No,No,Yes,Upper,Long
Glischrocaryon roei,"Newdegate area, Western Australia",,Ephem,,No,Yes,,Short
Gompholobium confertum,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Gompholobium gompholobioides,"Newdegate area, Western Australia",,NNlow,No,No,Yes,Ground,Long
Gompholobium hendersonii,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Gompholobium knightianum,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Gompholobium marginatum,"Newdegate area, Western Australia",,NNlow,No,No,Yes,Ground,Long
Gompholobium viscidulum,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Goodenia coerulea,"Newdegate area, Western Australia",,Ephem,,No,Yes,,Short
Goodenia concinna,"Newdegate area, Western Australia",,Ephem,,No,Yes,,Short
Goodenia incana,"Newdegate area, Western Australia",,Ephem,,No,Yes,,Short
Goodenia scapigera subsp. scapigera,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Goodenia watsonii subsp. watsonii,"Newdegate area, Western Australia",,Ephem,,No,Yes,,Short
Grevillea beardiana,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Grevillea cagiana,"Newdegate area, Western Australia",,NNtree,No,No,Yes,Upper,Long
Grevillea disjuncta,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Grevillea dolichopoda,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Grevillea huegelii,"Newdegate area, Western Australia",,RNshrub,Yes,No,Yes,Mid,Long
Grevillea newbeyi,"Newdegate area, Western Australia",,RNshrub,Yes,No,Yes,Mid,Long
Grevillea oligantha,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Grevillea patentiloba subsp. patentiloba,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Grevillea pectinata,"Newdegate area, Western Australia",,RNshrub,Yes,No,Yes,Mid,Long
Grevillea shuttleworthiana subsp. obovata,"Newdegate area, Western Australia",,RNtree,Yes,No,Yes,Upper,Long
Gyrostemon prostratus,"Newdegate area, Western Australia",,Ephem,,No,Yes,,Short
Gyrostemon subnudus,"Newdegate area, Western Australia",,Ephem,,No,Yes,,Short
Haemodorum discolor,"Newdegate area, Western Australia",,RNlow,Yes,No,Yes,Ground,Long
Hakea commutata,"Newdegate area, Western Australia",,NSshrub,No,Yes,No,Mid,Long
Hakea corymbosa,"Newdegate area, Western Australia",,NSshrub,No,Yes,No,Mid,Long
Hakea cygna subsp. cygna,"Newdegate area, Western Australia",,NSshrub,No,Yes,No,Mid,Long
Hakea erecta,"Newdegate area, Western Australia",,NSshrub,No,Yes,No,Mid,Long
Hakea ferruginea,"Newdegate area, Western Australia",,NStree,No,Yes,No,Upper,Long
Hakea horrida,"Newdegate area, Western Australia",,NSshrub,No,Yes,No,Mid,Long
Hakea incrassata,"Newdegate area, Western Australia",,RSshrub,Yes,Yes,No,Mid,Long
Hakea laurina,"Newdegate area, Western Australia",,NStree,No,Yes,No,Upper,Long
Hakea lehmanniana,"Newdegate area, Western Australia",,RSshrub,Yes,Yes,No,Mid,Long
Hakea lissocarpha,"Newdegate area, Western Australia",,RSshrub,Yes,Yes,No,Mid,Long
Hakea multilineata,"Newdegate area, Western Australia",,NStree,No,Yes,No,Upper,Long
Hakea newbeyana,"Newdegate area, Western Australia",240,NSshrub,No,Yes,No,Mid,Long
Hakea nitida,"Newdegate area, Western Australia",,RSshrub,Yes,Yes,No,Mid,Long
Hakea pandanicarpa subsp. crassifolia,"Newdegate area, Western Australia",240,NStree,No,Yes,No,Upper,Long
Hakea prostrata,"Newdegate area, Western Australia",,NStree,No,Yes,No,Upper,Long
Hakea strumosa,"Newdegate area, Western Australia",,RSshrub,Yes,Yes,No,Mid,Long
Hakea subsulcata,"Newdegate area, Western Australia",,NSshrub,No,Yes,No,Mid,Long
Hakea trifurcata,"Newdegate area, Western Australia",,NStree,No,Yes,No,Upper,Long
Hibbertia acerosa,"Newdegate area, Western Australia",,RNshrub,Yes,No,,Mid,Long
Hibbertia exasperata,"Newdegate area, Western Australia",,RNshrub,Yes,No,,Mid,Long
Hibbertia gracilipes,"Newdegate area, Western Australia",,RNlow,Yes,No,,Ground,Long
Hibbertia psilocarpa,"Newdegate area, Western Australia",,RNshrub,Yes,No,,Mid,Long
Hibbertia rostellata,"Newdegate area, Western Australia",,RNshrub,Yes,No,,Mid,Long
Hibbertia verrucosa,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Hybanthus floribundus subsp. floribundus,"Newdegate area, Western Australia",,RNshrub,Yes,No,Yes,Mid,Long
Hypocalymma asperum,"Newdegate area, Western Australia",,RNshrub,Yes,No,,Mid,Long
Isopogon nutans,"Newdegate area, Western Australia",,NSshrub,No,Yes,No,Mid,Long
Isopogon sp. Fitzgerald River (D.B. Foreman 813),"Newdegate area, Western Australia",96,NSshrub,No,Yes,No,Mid,Long
Isopogon teretifolius subsp. teretifolius,"Newdegate area, Western Australia",,NSshrub,No,Yes,No,Mid,Long
Isopogon trilobus,"Newdegate area, Western Australia",,NSshrub,No,Yes,No,Mid,Long
Isopogon villosus,"Newdegate area, Western Australia",,NSshrub,No,Yes,No,Mid,Long
Isotropis drummondii,"Newdegate area, Western Australia",,Ephem,,No,Yes,,Short
Kulinia eludens,"Newdegate area, Western Australia",,NNlow,No,No,Yes,Ground,Long
Laxmannia paleacea,"Newdegate area, Western Australia",,NNlow,No,No,Yes,Ground,Long
Lepidobolus chaetocephalus,"Newdegate area, Western Australia",,RNlow,Yes,No,,Ground,Long
Lepidobolus preissianus subsp. preissianus,"Newdegate area, Western Australia",,RNlow,Yes,No,,Ground,Long
Lepidosperma brunonianum,"Newdegate area, Western Australia",,RNlow,Yes,No,,Ground,Long
Lepidosperma carphoides,"Newdegate area, Western Australia",,RNlow,Yes,No,,Ground,Long
Lepidosperma pubisquameum,"Newdegate area, Western Australia",,RNlow,Yes,No,,Ground,Long
Lepidosperma sanguinolentum,"Newdegate area, Western Australia",,RNlow,Yes,No,,Ground,Long
Lepidosperma sp. P1 small head (M.D. Tindale 166A),"Newdegate area, Western Australia",,RNlow,Yes,No,,Ground,Long
Lepidosperma tenue,"Newdegate area, Western Australia",,RNlow,Yes,No,,Ground,Long
Leptospermum erubescens,"Newdegate area, Western Australia",,RSshrub,Yes,Yes,No,Mid,Long
Leptospermum inelegans,"Newdegate area, Western Australia",,RNtree,Yes,No,No,Upper,Long
Leptospermum spinescens,"Newdegate area, Western Australia",,RSshrub,Yes,Yes,No,Mid,Long
Leucopogon conostephioides,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Leucopogon cuneifolius,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Leucopogon dielsianus,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Leucopogon fimbriatus,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Leucopogon sp. Coujinup (M.A. Burgman 1085),"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Leucopogon sp. Lake King (A.J.G. Wilson 65),"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Leucopogon sp. Wheatbelt (S. Murray 257),"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Leucopogon tamminensis var. australis,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Levenhookia pauciflora,"Newdegate area, Western Australia",,Ephem,,No,Yes,,Short
Lobelia rarifolia,"Newdegate area, Western Australia",,Ephem,,No,Yes,,Short
Logania buxifolia,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Logania campanulata,"Newdegate area, Western Australia",,NNlow,No,No,Yes,Ground,Long
Lomandra effusa,"Newdegate area, Western Australia",,RNlow,Yes,No,,Ground,Long
Lomandra micrantha subsp. teretifolia,"Newdegate area, Western Australia",,RNlow,Yes,No,,Ground,Long
Lomandra mucronata,"Newdegate area, Western Australia",,RNlow,Yes,No,,Ground,Long
Lysinema ciliatum,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Melaleuca acuminata,"Newdegate area, Western Australia",,NSshrub,No,Yes,No,Mid,Long
Melaleuca carrii,"Newdegate area, Western Australia",,NSshrub,No,Yes,No,Mid,Long
Melaleuca coronicarpa,"Newdegate area, Western Australia",,NSshrub,No,Yes,No,Mid,Long
Melaleuca eleuterostachya,"Newdegate area, Western Australia",,RSshrub,Yes,Yes,No,Mid,Long
Melaleuca glaberrima,"Newdegate area, Western Australia",,NSshrub,No,Yes,No,Mid,Long
Melaleuca hamata,"Newdegate area, Western Australia",,RSshrub,Yes,Yes,No,Mid,Long
Melaleuca lateriflora subsp. lateriflora,"Newdegate area, Western Australia",,RSshrub,Yes,Yes,No,Mid,Long
Melaleuca laxiflora,"Newdegate area, Western Australia",,RSshrub,Yes,Yes,No,Mid,Long
Melaleuca pungens,"Newdegate area, Western Australia",,NStree,No,Yes,No,Upper,Long
Melaleuca rigidifolia,"Newdegate area, Western Australia",96,NSshrub,No,Yes,No,Mid,Long
Melaleuca sapientes,"Newdegate area, Western Australia",,NSshrub,No,Yes,No,Mid,Long
Melaleuca sculponeata,"Newdegate area, Western Australia",,NSshrub,No,Yes,No,Mid,Long
Melaleuca societatis,"Newdegate area, Western Australia",,NSshrub,No,Yes,No,Mid,Long
Melaleuca subfalcata,"Newdegate area, Western Australia",,NSshrub,No,Yes,No,Mid,Long
Melaleuca subtrigona,"Newdegate area, Western Australia",,RSshrub,Yes,Yes,No,Mid,Long
Melaleuca tuberculata var. macrophylla,"Newdegate area, Western Australia",,NSshrub,No,Yes,No,Mid,Long
Melaleuca villosisepala,"Newdegate area, Western Australia",,RSshrub,Yes,Yes,No,Mid,Long
Mesomelaena preissii,"Newdegate area, Western Australia",,RNlow,Yes,No,,Ground,Long
Mesomelaena stygia subsp. stygia,"Newdegate area, Western Australia",,RNlow,Yes,No,,Ground,Long
Microcorys ericifolia,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Microcorys exserta,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Microcorys glabra,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Microcorys sp. stellate (A. Strid 21885),"Newdegate area, Western Australia",,NNlow,No,No,Yes,Ground,Long
Neurachne alopecuroidea,"Newdegate area, Western Australia",,RNlow,Yes,No,,Ground,Long
Olax benthamiana,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Olearia minor,"Newdegate area, Western Australia",,NNlow,No,No,Yes,Ground,Long
Olearia muricata,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Olearia ramosissima,"Newdegate area, Western Australia",,NNlow,No,No,Yes,Ground,Long
Opercularia liberiflora,"Newdegate area, Western Australia",,Ephem,,No,Yes,,Short
Opercularia spermacocea,"Newdegate area, Western Australia",,Ephem,,No,Yes,,Short
Patersonia juncea,"Newdegate area, Western Australia",,RNlow,Yes,No,,Ground,Long
Persoonia coriacea,"Newdegate area, Western Australia",,RNshrub,Yes,No,Yes,Mid,Long
Persoonia helix,"Newdegate area, Western Australia",,RNtree,Yes,No,Yes,Upper,Long
Persoonia quinquenervis,"Newdegate area, Western Australia",,RNtree,Yes,No,Yes,Upper,Long
Persoonia striata,"Newdegate area, Western Australia",,RNshrub,Yes,No,Yes,Mid,Long
Persoonia trinervis,"Newdegate area, Western Australia",,RNshrub,Yes,No,Yes,Mid,Long
Petrophile brevifolia,"Newdegate area, Western Australia",,NSshrub,No,Yes,No,Mid,Long
Petrophile circinata,"Newdegate area, Western Australia",,NSshrub,No,Yes,No,Mid,Long
Petrophile glauca,"Newdegate area, Western Australia",96,NSshrub,No,Yes,No,Mid,Long
Petrophile merrallii,"Newdegate area, Western Australia",,NSshrub,No,Yes,No,Mid,Long
Petrophile phylicoides,"Newdegate area, Western Australia",,NSshrub,No,Yes,No,Mid,Long
Petrophile seminuda,"Newdegate area, Western Australia",,RSshrub,Yes,Yes,No,Mid,Long
Petrophile squamata subsp. northern (J. Monks 40),"Newdegate area, Western Australia",,NSshrub,No,Yes,No,Mid,Long
Phebalium filifolium,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
