Species Name,Location,Months Until First Fruiting,GosperJVS2012_PFT,Resprouter,Persistent canopy seedbank,Persistent soil seedbank,Compeditive stratum,Longevity
Santalum murrayanum,"Newdegate area, Western Australia",,NNtree,No,No,Yes,Upper,Long
Schoenus brevisetis,"Newdegate area, Western Australia",,RNlow,Yes,No,,Ground,Long
Schoenus curvifolius,"Newdegate area, Western Australia",,RNlow,Yes,No,,Ground,Long
Schoenus obtusifolius,"Newdegate area, Western Australia",,RNlow,Yes,No,,Ground,Long
Schoenus pleiostemoneus,"Newdegate area, Western Australia",,RNlow,Yes,No,,Ground,Long
Schoenus racemosus,"Newdegate area, Western Australia",,RNlow,Yes,No,,Ground,Long
Schoenus sp. A1 Boorabbin (K.L. Wilson 2581),"Newdegate area, Western Australia",,RNlow,Yes,No,,Ground,Long
Schoenus subfascicularis,"Newdegate area, Western Australia",,RNlow,Yes,No,,Ground,Long
Schoenus subflavus subsp. hispid culms (K.R. Newbey 8278),"Newdegate area, Western Australia",,RNlow,Yes,No,,Ground,Long
Sphaerolobium linophyllum,"Newdegate area, Western Australia",,Ephem,,No,Yes,,Short
Spyridium cordatum,"Newdegate area, Western Australia",,NNlow,No,No,Yes,Ground,Long
Spyridium microcephalum,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Spyridium mucronatum subsp. mucronatum,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Spyridium polycephalum,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Stackhousia monogyna,"Newdegate area, Western Australia",,Ephem,,No,Yes,,Short
Stenanthemum notiale subsp. notiale,"Newdegate area, Western Australia",,Ephem,,No,Yes,,Short
Stylidium involucratum,"Newdegate area, Western Australia",,NNlow,No,No,Yes,Ground,Long
Stylidium piliferum,"Newdegate area, Western Australia",,NNlow,No,No,Yes,Ground,Long
Stylidium repens,"Newdegate area, Western Australia",,NNlow,No,No,Yes,Ground,Long
Stylidium schoenoides,"Newdegate area, Western Australia",,NNlow,No,No,Yes,Ground,Long
Stylidium zeicolor,"Newdegate area, Western Australia",,NNlow,No,No,Yes,Ground,Long
Styphelia tenuiflora,"Newdegate area, Western Australia",,RNshrub,Yes,No,,Mid,Long
Synaphea canaliculata,"Newdegate area, Western Australia",,RNshrub,Yes,No,,Mid,Long
Synaphea drummondii,"Newdegate area, Western Australia",,RNlow,Yes,No,,Ground,Long
Synaphea spinulosa,"Newdegate area, Western Australia",,RNshrub,Yes,No,,Mid,Long
Taxandria spathulata,"Newdegate area, Western Australia",,RSshrub,Yes,Yes,No,Mid,Long
Templetonia sulcata,"Newdegate area, Western Australia",,RNshrub,Yes,No,Yes,Mid,Long
Tetratheca confertifolia,"Newdegate area, Western Australia",,RNlow,Yes,No,,Ground,Long
Thelymitra campanulata,"Newdegate area, Western Australia",,RNlow,Yes,No,,Ground,Long
Thysanotus patersonii,"Newdegate area, Western Australia",,RNlow,Yes,No,,Ground,Long
Thysanotus sparteus,"Newdegate area, Western Australia",,RNshrub,Yes,No,,Mid,Long
Thysanotus triandrus,"Newdegate area, Western Australia",,RNlow,Yes,No,,Ground,Long
Tricoryne elatior,"Newdegate area, Western Australia",,RNlow,Yes,No,,Ground,Long
Tripterococcus brunonis,"Newdegate area, Western Australia",,Ephem,,No,Yes,,Short
Trymalium elachophyllum,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Verticordia acerosa var. preissii,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Verticordia chrysantha,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Verticordia densiflora var. cespitosa,"Newdegate area, Western Australia",,RNshrub,Yes,No,Yes,Mid,Long
Verticordia grandiflora,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Verticordia habrantha,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Verticordia humilis,"Newdegate area, Western Australia",,NNlow,No,No,Yes,Ground,Long
Verticordia inclusa,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Verticordia integra,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Verticordia picta,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Verticordia plumosa var. incrassata,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Verticordia roei subsp. roei,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Verticordia tumida subsp. therogana,"Newdegate area, Western Australia",,RNshrub,Yes,No,Yes,Mid,Long
Xanthorrhoea nana,"Newdegate area, Western Australia",,RNshrub,Yes,No,,Mid,Long
