Spp No,VBA TAXON_ID,Species,Common Name,"PERSEED D, S, G, C, Z (F=inadequate data)","PERVEG V, U, W, N, X (F=inadequate data)","T, I, R, M, K (F=inadequate data)","JUVEN 1, 2, 5, 10, 20, 40 (F=inadequate data)","SPP LIFE 3, 10, 20, 50, 100 (F=inadequate data)","INDIV LIFE A, ASP, B, SP, MP, LP (F = inadequate data)","GEOPHYTE Y, N",MINTFI: Y,VIC ADV,"KFRS: 1, 2, 3, N",REFERENCES  ,
33,500033,Acacia falciformis,Large-leaf Hickory-wattle,S,N,T,,,,N,,,2,38,
34,500034,Acacia farinosa,Mealy Wattle,,,,,,,,,Poorly known,,,
5870,505870,Acacia fimbriata,Fringed Wattle,PERSEED,X,,,,,,,,,68,
5958,505958,Acacia fimbriata x pravissima,Fringed Wattle x Ovens Wattle hybrid,,,,,,,,,,,,
35,500035,Acacia flexifolia,Bent-leaf Wattle,,,,,,,,,Rare,,,
36,500036,Acacia floribunda,White Sallow-wattle,S,W,,,,,,,,,42,
37,500037,Acacia frigescens,Frosted Wattle,,,,,,,,,,,,
38,500038,Acacia genistifolia,Spreading Wattle,S,,I,5,50,MP,N,,,2,[5],TIRMK = T [5]
39,500039,Acacia glandulicarpa,Hairy-pod Wattle,S,X,I,5,20,MP,N,,Vulnerable,3,"5, 60",
41,500041,Acacia gunnii,Ploughshare Wattle,S,N,I,5,50,MP,,,,2,"[38], 43, 68",PERSEED = Z [38]
42,500042,Acacia hakeoides,Hakea Wattle,,,,,,,,,,,,
3636,503636,Acacia halliana,Hall's Wattle,S,X,I,10,50,MP,N,,,2,19,
43,500043,Acacia havilandiorum,Needle Wattle,S,X,I,10,50,MP,N,,Presumed extinct,3,49,
44,500044,Acacia howittii,Sticky Wattle,,,,,,,,,Rare,,,
45,500045,Acacia implexa,Lightwood,S,W,T,10,100,LP,N,,,3,"42, 68",
5145,,Acacia infecunda ms.,,,,,,,,,,,,,
3631,,Acacia irrorata,,,,,,,,,,,,,
5015,505015,Acacia iteaphylla,Flinders Range Wattle,,,,,,,,,,,,
46,500046,Acacia kettlewelliae,Buffalo Wattle,,,,,,,,,,,,
47,500047,Acacia kybeanensis,Kybean Wattle,,,,,,,,,Rare,,,
48,500048,Acacia lanigera,Woolly Wattle,,,,,,,,,,,,
5092,505092,Acacia lanigera var. gracilipes,Woolly Wattle,,,,,,,,,Rare,,,
5093,505093,Acacia lanigera var. lanigera,Woolly Wattle,,,,,,,,,Rare,,,
5094,505094,Acacia lanigera var. whanii,Woolly Wattle,,,,,,,,,,,,
5460,505460,Acacia leiophylla,Western Wirilda,,,,,,,,,,,,
49,500049,Acacia leprosa,,,,,,,,,,,,,
5142,505142,Acacia leprosa (Seymour variant),,,,,,,,,,,,,
5139,505139,Acacia leprosa var. graveolens,Common Cinnamon-wattle,,,,,,,,,Poorly known,,,
5143,,Acacia leprosa var. leprosa,,,,,,,,,,,,,
5141,505141,Acacia leprosa var. uninervia,Large-leaf Cinnamon-wattle,G,X,I,2,10,MP,N,,Rare,1,58,
15,500015,Acacia ligulata,Small Cooba,S,X,I,5,50,MP,N,,,2,"1, 19",
50,500050,Acacia lineata,Streaked Wattle,,,I,,,,,,Rare,3,,
52,500052,Acacia loderi,Nealie,,,,,,,,,Vulnerable,,,
5128,505128,Acacia longifolia s.l.,Sallow Wattle,S,X,I,5,50,MP,N,,,1,"[5], 68, 70","TIRMK = T, JUVEN = 2 [5]"
53,500053,Acacia longifolia subsp. longifolia,Sallow Wattle,S,,I,2,50,LP,N,,,,55,
88,500088,Acacia longifolia subsp. sophorae,Coast Wattle,S,F,T,5,50,LP,N,,,2,58,
54,500054,Acacia lucasii,Woolly-bear Wattle,,,,,,,,,Vulnerable,,,
55,500055,Acacia maidenii,Maiden's Wattle,,,,,,,,,Endangered,,,
56,500056,Acacia mearnsii,Black Wattle,S,X,I,5,100,SP,N,,,1,"[5], 42, 3",TIRMK = T [5]
57,500057,Acacia melanoxylon,Blackwood,S,N,T,10,100,LP,N,,,2,"[5], [9], 38, 42, 54",PERVEG = U/W [5]; TIRMK = I [9]
58,500058,Acacia melvillei,Yarran,,,,,,,,,Vulnerable,,,
3645,,Acacia microcarpa,,,,,,,,,,,,,
60,500060,Acacia mitchellii,Mitchell's Wattle,S,W,I,5,50,SP,N,,,2,[5],TIRMK = T [5]
5981,505981,Acacia mollifolia,Velvet Wattle,,,,,,,,,,,,
61,500061,Acacia montana,Mallee Wattle,,X,I,,100,MP,,,,3,,
62,,Acacia mucronata,,,,,,,,,,,,,
63,500063,Acacia myrtifolia,Myrtle Wattle,S,X,I,5,50,MP,N,,,2,"[5], 70",TIRMK = T [5]
64,500064,Acacia nano-dealbata,Dwarf Silver Wattle,,,,,,,,,Rare,,,
5147,505147,Acacia nanopravissima,Little Kooka Wattle,Z,V,T,F,,,N,,Vulnerable,,8,
65,500065,Acacia notabilis,Mallee Golden Wattle,,,,,,,,,Vulnerable,,,
66,500066,Acacia nyssophylla,Spine Bush,,,,,,,,,,,,
67,500067,Acacia obliquinervia,Mountain Hickory Wattle,S,X,I,10,50,MP,N,,,3,"4, 22, [38], 51","PERVEG = N [38], JUVEN = 3 [43]"
68,500068,Acacia obtusifolia,Blunt-leaf Wattle,PERSEED,X,,,,,,,,,68,
69,500069,Acacia omalophylla,Yarran Wattle,,,,,,,,,Endangered,,,
70,500070,Acacia oswaldii,Umbrella Wattle,,,,,,,,,,,,
71,500071,Acacia oxycedrus,Spike Wattle,S,N,I,5,50,MP,N,,,2,"5, [51], 55",PERVEG = X [51]
72,500072,Acacia paradoxa,Hedge Wattle,S,,T,5,50,MP,,,,3,,
73,500073,Acacia pendula,Weeping Myall,,,,,,,,,Endangered,,,
74,,Acacia penninervis,,,PERVEG,,,,,,,,,68,
75,500075,Acacia phasmoides,Phantom Wattle,S,X,I,5,50,MP,N,,Vulnerable,2,49,
76,500076,Acacia phlebophylla,Buffalo Sallow-wattle,S,X,I,10,50,MP,N,,Rare,1,"8, 26, 28",
5210,505210,Acacia podalyriifolia,Queensland Silver Wattle,S,,T,5,20,MP,,,,N,,
77,500077,Acacia pravissima,Ovens Wattle,S,N,I,5,50,MP,N,,,3,"[38], [42]",PERSEED = Z [38]
3649,503649,Acacia prominens,Gosford Wattle,,,,,,,,,,,,
78,500078,Acacia pycnantha,Golden Wattle,S,X,I,5,100,MP,N,,,N ,[5],TIRMK = T [5]
79,500079,Acacia retinodes,,S,X,I,5,100,MP,N,,,N,[5],TIRMK = T [5]
4209,,Acacia retinodes var. retinodes,,,,,,,,,,,,,
4210,,Acacia retinodes var. uncifolia,,,,,,,,,,,,,
80,500080,Acacia rigens,Nealie,S,X,I,10,50,MP,N,,,3,1 [5],"TIRMK = T, PERSEED = ?S [5]"
5136,505136,Acacia rostriformis,Bacchus Marsh Wattle,,,,,,,,,Vulnerable,,,
4240,504240,Acacia rotundifolia,Round-leaf Wattle,,,,,,,,,,,,
81,500081,Acacia rubida,Red-stem Wattle,S,N,I,5,50,MP,N,,,3,"38, [42], 43",JUVEN = 2 [43]
82,500082,Acacia rupicola,Rock Wattle,,,,,,,,,Rare,,,
83,500083,Acacia salicina,Willow Wattle,,,,,,,,,,,,
84,500084,Acacia saligna,Golden Wreath Wattle,PERSEED,X,,5,,LP,N,,,,74,
5133,505133,Acacia schinoides,Frosty Wattle,,,,,,,,,,,,
85,500085,Acacia sclerophylla,,S,X,I,5,50,MP,N,,,3,19,
86,500086,Acacia siculiformis,Dagger Wattle,,,,,,,,,,,,
87,500087,Acacia silvestris,Red Wattle,S,X,I,,,MP,N,,,3,21,
5960,505960,Acacia simmonsiana,Desert Manna Wattle,,,,,,,,,Rare,,,
5959,505959,Acacia sp. aff. rigens (Gerang Gerung),Smooth Nealie,,,,,,,,,Vulnerable,,,
89,500089,Acacia spinescens,Spiny Wattle,S,N,I,5,50,MP,N,,,1,1 [5],PERVEG = W [5]
5881,505881,Acacia sporadica,Pale Hickory-wattle,Z,V,T,10,100,LP,N,,Vulnerable,3,14,
90,500090,Acacia stenophylla,Eumong,,,,,,,,,,,,
5140,505140,Acacia stictophylla,Dandenong Wattle,,,,,,,,,Rare,,,
91,500091,Acacia stricta,Hop Wattle,S,X,I,5,50,MP,N,,,2,5,some populations in Otways rhizomatous & PERVEG=Y
92,500092,Acacia suaveolens,Sweet Wattle,G,X,I,5,50,MP,N,,,2,"[5], 55",TIRMK = T [5]
93,500093,Acacia subporosa,Bower Wattle,S,,,,,,,,Rare,N ,,
94,500094,Acacia subtilinervis,Net-veined Wattle,,,,,,,,,Vulnerable,,,
5146,,Acacia tabula ms.,,,,,,,,,,,,,
95,500095,Acacia terminalis,Sunshine Wattle,S,X,I,5,50,MP,N,,,2,70,
96,500096,Acacia trineura,Three-nerve Wattle,,,,,,,,,Vulnerable,,,
97,500097,Acacia triptera,Spur-wing Wattle,S,X,I,10,100,LP,N,,Rare,3,"58, 68",
98,500098,Acacia ulicifolia,Juniper Wattle,S,X,I,,,,,,,3,68,
99,500099,Acacia verniciflua,,S,X,K,5,100,MP,N,,,3,[5],TIRMK = T [5]
100,500100,Acacia verticillata,Prickly Moses,S,X,I,2,50,MP,N,,,2,"[3] [5], 51, 58","TIRMK = T [3, 5]"
5880,505880,Acacia verticillata subsp. cephalantha,Needle-leaf Prickly Moses,,,,,,,,,,,,
4212,504212,Acacia verticillata subsp. ovoidea,Ovoid Prickly Moses,,,,,,,,,,,,
4211,504211,Acacia verticillata subsp. ruscifolia,Broad-leaf Prickly Moses,,,,,,,,,Rare,,,
4213,504213,Acacia verticillata subsp. verticillata,Prickly Moses,,X,,,,,,,,,,
101,500101,Acacia victoriae,,,,,,,,,,,,,
102,500102,Acacia wilhelmiana,Dwarf Nealie,S,X,I,5,100,MP,N,,,3,19,
103,500103,Acacia williamsonii,Whirrakee Wattle,PERSEED,X,,,,,N,,Rare,,68,
40,500040,Acacia X grayana,Wimmera Wattle,,,,,,,,,Rare,,,
104,500104,Acaena agnipila,Hairy Sheep's Burr,,N,T,2,100,LP,,,,N,,
5150,505150,Acaena agnipila var. aequispina,Hairy Sheep's Burr,,,,,,,,,,,,
5149,505149,Acaena agnipila var. agnipila,Hairy Sheep's Burr,,,,,,,,,,,,
5151,505151,Acaena agnipila var. protenta,Hairy Sheep's Burr,,,,,,,,,,,,
5152,505152,Acaena agnipila var. tenuispica,Hairy Sheep's Burr,,,,,,,,,,,,
5371,505371,Acaena agnipila/ovina complex,Hairy/Australian Sheep's Burr,,,,,,,,,,,,
106,500106,Acaena echinata,Sheep's Burr,,N,M,2,100,LP,,,,N,12,
5153,505153,Acaena echinata var. echinata,Sheep's Burr,,,,,,,,,,,,
5154,505154,Acaena echinata var. retrorsumpilosa,Sheep's Burr,,,,,,,,,,,,
5155,505155,Acaena echinata var. robusta,Sheep's Burr,,,,,,,,,,,,
5156,505156,Acaena echinata var. subglabricalyx,Sheep's Burr,,,,,,,,,,,,
5157,505157,Acaena echinata var. tylacantha,Sheep's Burr,,,,,,,,,,,,
105,500105,Acaena novae-zelandiae,Bidgee-widgee,S,V,T,2,100,LP,N,,,N,"[4] 5, 43",JUVEN = 1 [4]
107,500107,Acaena ovina,Australian Sheep's Burr,S,W,T,1,100,LP,Y,,,N,"4, 9, 43",
5158,505158,Acaena ovina var. ovina,Australian Sheep's Burr,,,,,,,,,,,,
5159,505159,Acaena ovina var. velutina,Australian Sheep's Burr,,,,,,,,,,,,
5148,505148,Acaena X anserovina,Hybrid Burr,,,,,,,,,,,,
5372,505372,Acanthus mollis,Bear's Breach,,,,,,,,,,,,
4389,504389,Acer negundo,Box-elder Maple,,,,,,,,,,,,
5163,505163,Acer palmatum,Japanese Maple,,,,,,,,,,,,
108,500108,Acer pseudoplatanus,Sycamore Maple,,,,,,,,,,,,
2975,502975,Acetosa sagittata,Rambling Dock,,,,,,,,,,,,
5160,505160,Acetosa vesicaria,Bladder Dock,,,,,,,,,,,,
2966,502966,Acetosella vulgaris,Sheep Sorrel,S,X,T,1,100,ASP,N,,,N,"[4], 40, 43",PERVEG=4 [4]
5656,505656,Achillea distans,Tansyleaf Milfoil,,,,,,,,,,,,
109,500109,Achillea millefolium,Milfoil,,,,,,,,,,,,
3200,,Achnatherum caudatum,,,,,,,,,,,,,
110,500110,Acianthus caudatus,Mayfly Orchid,,U,T,5,100,LP,Y,,,N,,
5621,505621,Acianthus collinus,Hooded Mosquito-orchid,,U,T,5,100,LP,Y,,Vulnerable,N,,
3637,514885,Acianthus exsertus,,,U,T,5,100,LP,Y,,,N,,
4439,504439,Acianthus pusillus,Small Mosquito-orchid,,U,T,5,100,LP,Y,,,N ,[5],"PERVEG = V, JUVEN = 2 [5]"
113,500113,Aciphylla glacialis,Snow Aciphyll,S,V,R,2,100,MP,,,Rare,N,"[4], [8], 26, 28",TIRMK = T [4]; JUVEN = 1 [4]; TIRMK = T [8]
114,500114,Aciphylla simplicifolia,Mountain Aciphyll,S,V,R,2,100,MP,,,Rare,N,"10, 26, 28, 43",JUVEN = 1 (ref 43)
115,514886,Acmena smithii,,,,,,,,,,,,,
116,500116,Acronychia oblongifolia,Yellow-wood,,,,,,,,,Rare,,,
117,,Acroptilon repens,,,,,,,,,,,,,
118,500118,Acrotriche affinis,Ridged Ground-berry,F,V,I,5,100,LP,N,,,2,1,
119,500119,Acrotriche cordata,Coast Ground-berry,,PERVEG,,5,,MP,N,,Rare,,74,
120,500120,Acrotriche depressa,Wiry Ground-berry,,,,,,,,,Presumed extinct,,,
121,500121,Acrotriche leucocarpa,Tall Acrotriche,,,,,,,,,Rare,,,
122,500122,Acrotriche prostrata,Trailing Ground-berry,S,F,I,5,50,MP,,,,3,58,
123,500123,Acrotriche serrulata,Honey-pots,,N,T,5,50,LP,N,,,2,"[5], 54","PERVEG = V/W, JUVEN = 2 [5, lowland forest]"
124,500124,Actinobole uliginosum,Flannel Cudweed,S,X,T,1,100,A,N,,,N,19 48,
125,500125,Actinotus bellidioides,Tiny Flannel-flower,,,,,,,,,Presumed extinct,,,
126,500126,Actinotus forsythii,Ridge Flannel-flower,,,,,,,,,Vulnerable,,,
3650,503650,Actinotus helianthi,Flannel Flower,,,,,,,,,,,,
127,500127,Actites megalocarpa,,,,,,,,,,,,,
128,500128,Adenanthos terminalis,Gland Flower,C,W,K,10,100,MP,N,,,2,"1, 5, 6",
129,500129,Adiantum aethiopicum,Common Maidenhair,,,T,2,100,LP,,,,N,,
130,500130,Adiantum capillus-veneris,Venus-hair Fern,,,,,,,,,Endangered,,,
131,500131,Adiantum diaphanum,Filmy Maidenhair,,,,,,,,,Endangered,,,
132,500132,Adiantum formosum,Black Stem,,,,,,,,,Vulnerable,,,
133,500133,Adiantum hispidulum,Rough Maidenhair,,,,,,,,,Rare,,,
5449,505449,Adiantum hispidulum var. hispidulum,Rough Maidenhair,,,,,,,,,Rare,,,
5450,505450,Adiantum hispidulum var. hypoglaucum,Rough Maidenhair,,,,,,,,,Poorly known,,,
134,500134,Adonis microcarpa,Pheasant's Eye,,,,,,,,,,,,
4755,504755,Adriana quadripartita,Coast Bitter-bush,S,F,T,2,50,SP,N,,Vulnerable,N,48,
4756,,Adriana tomentosa,,,,,,,,,,,,,
135,514894,Adriana tomentosa var. tomentosa,,,,,,,,,,,,,
136,500136,Adriana urticoides var. hookeri,Mallee Bitter-bush,S,X,T,5,100,SP,N,,,N,19,
5701,505701,Aegopodium podagraria,Goutweed,,,,,,,,,,,,
5162,505162,Aeonium arboreum,Golden Aeonium,,,,,,,,,,,,
5161,505161,Aeonium haworthii,Pinwheel Aeonium,,,,,,,,,,,,
3638,,Agapanthus praecox,,,,,,,,,,,,,
7309,507309,Agathosma apiculata,Garlic Buchu,,,,,,,,,,,,
139,500139,Agave americana,Century Plant,,V,T,10,50,LP,,,,N,,
4898,504898,Agave americana var. americana,Century Plant,,,,,,,,,,,,
4899,504899,Agave americana var. picta,Variegated Century Plant,,,,,,,,,,,,
5961,505961,Ageratina adenophora,Crofton Weed,,,,,,,,,,,,
5667,505667,Ageratina ligustrina,Ageratina,,,,,,,,,,,,
5373,505373,Agonis flexuosa,Willow Myrtle,,PERVEG,,5,,LP,N,,,,74,
5388,,Agonis juniperina,,,,,,,,,,,,,
5918,,Agonis parviceps,,,PERVEG,,5,,LP,N,,,,74,
150,500150,Agrostis australiensis,Tiny Bent,,,,,,,,,Rare,,,
5878,505878,Agrostis bettyae,Forest Bent,,,,,,,,,Poorly known,,,
4225,500153,Agrostis capillaris,Brown-top Bent,D,W,T,1,100,ASP,Y,,,N,4,
4224,,Agrostis castellana,,,,,,,,,,,,,
154,500154,Agrostis gigantea,Red-top Bent,,,,,,,,,,,,
157,500157,Agrostis muelleriana,Mueller's Bent,,,,,,,,,Rare,,,
5876,514909,Agrostis parviflora,,F,,T,1,50,ASP,,,,N,[4],PERSEED = C [4]; TIRMK = I [4]
5879,505879,Agrostis propinqua,Mountain Bent,,,,,,,,,Poorly known,,,
155,500155,Agrostis spp. agg. aff. hiemalis,Forest Bent,D,W,T,1,,ASP,N,,,3,"9, 10",PERSEED = C [10]
160,500160,Agrostis stolonifera,Creeping Bent,,,,,,,,,,,,
5877,505877,Agrostis thompsoniae,Alpine Bent,,,,,,,,,Poorly known,,,
161,500161,Agrostis venusta,Misty Bent,Z,N,M,1,50,SP,N,,,N,"[4], 12, 43","PERSEED = C [4]; TIRMK = I [4], JUVEN = 2 [43]"
163,500163,Ailanthus altissima,Tree of Heaven,S,,T,10,100,LP,N,,,N ,,
164,500164,Aira caryophyllea,,D,X,T,1,100,A,N,,,N ,55,
165,500165,Aira cupaniana,Quicksilver Grass,D,X,T,1,100,A,N,,,N ,,
166,500166,Aira elegantissima,Delicate Hair-grass,D,X,T,1,100,A,N,,,N ,,
167,500167,Aira praecox,Early Hair-grass,D,X,T,1,100,A,N,,,N ,[4],PERSEED = C [4]; TIRMK = I [4]
7310,507310,Aizoon rigidum,Aizoon,,,,,,,,,,,,
168,500168,Ajuga australis,Austral Bugle,S,U,T,2,50,SP,N,,,N ,"[4], 9, 43",JUVEN = 1 [4]
5164,505164,Ajuga grandiflora,Mallee Bugle,,,,,,,,,,,,
5799,505799,Akebia quinata,Five-leaf Akebia,,,,,,,,,,,,
170,500170,Alchemilla sp. 1,Lady's Mantle,Z,V,T,2,100,MP,,,Rare,3,"[4], 26, 28",PERVEG = W [4]
1659,,Alectryon oleifolius,,,,,,,,,,,,,
171,500171,Alectryon subcinereus,Native Quince,,,,,,,,,Endangered,,,
172,500172,Alhagi maurorum,Camel Thorn,,,,,,,,,,,,
173,500173,Alisma lanceolata,,,,,,,,,,,,,
174,500174,Alisma plantago-aquatica,Water Plantain,,U,T,1,100,SP,,,,N,,
5669,505669,Alliaria petiolata,Garlic Mustard,,,,,,,,,,,,
175,500175,Allium ampeloprasum,Great-head Garlic,,,,,,,,,,,,
176,500176,Allium neapolitanum,Naples Onion,,,,,,,,,,,,
177,500177,Allium oleraceum,Field Garlic,,,,,,,,,,,,
3639,503639,Allium paniculatum subsp. paniculatum,Panicled Onion,,,,,,,,,,,,
178,500178,Allium scorodoprasum,Sand Leek,,,,,,,,,,,,
179,500179,Allium triquetrum,Angled Onion,,,,,,,,,,,,
180,500180,Allium vineale,Crow Garlic,,,,,,,,,,,,
5962,505962,Allocasuarina diminuta subsp. diminuta,Waxy Sheoak,,,,,,,,,,,,
679,500679,Allocasuarina grampiana,Grampians Sheoak,PERSEED,,,,,,,,Rare,,65,
677,500677,Allocasuarina littoralis,Black Sheoak,G,X,T,10,100,LP,N,Y,,2,"18, 55",PERVEG = X on rocky outcrops (18)
678,500678,Allocasuarina luehmannii,Buloke,G,U,T,20,100,LP,N,,Endangered,1,"[5], 48",JUVEN = 10 [5]
3640,503640,Allocasuarina mackliniana,Western Sheoak,,,I,,,,,,,2,,
4203,504203,Allocasuarina mackliniana subsp. hirtilinea,Western Sheoak,,,,,,,,,Rare,,,
4202,504202,Allocasuarina mackliniana subsp. mackliniana,Western Sheoak,,,,,,,,,Poorly known,,,
4204,504204,Allocasuarina mackliniana subsp. xerophila,Western Sheoak,C,V,I,5,50,MP,N,,,3,1 [5],"PERVEG = W, TIRMK = T [5]"
3648,503648,Allocasuarina media,Prom Sheoak,,,,,,,,,Poorly known,,,
3646,503646,Allocasuarina misera,Slender Sheoak,G,N,I,10,50,MP,N,Y,,2,"5, 55",
680,500680,Allocasuarina muelleriana,,C,X,I,5,50,LP,N,,,1,1,small proportion (~5%) burnt adults usually resprout
681,500681,Allocasuarina nana,Stunted Sheoak,,,,,,,,,Rare,,,
683,500683,Allocasuarina paludosa,Scrub Sheoak,G,N,I,5,50,LP,N,,,2,"[5], 55",PERVEG = W [5]
3647,503647,Allocasuarina paradoxa,Green Sheoak,F,F,I,5,20,MP,N,,,,55,
4779,514931,Allocasuarina pusilla (both s.l and s.s),,G,N,I,10,50,MP,N,Y,,1,1 [5],PERVEG = W (5)
5383,505383,Allocasuarina torulosa,Forest Oak,,,,,,,,,,,,
685,500685,Allocasuarina verticillata,Drooping Sheoak,G,N,T,20,100,LP,N,Y,,1,"[5], 23",JUVEN = 10 [5]
1049,501049,Almaleea capitata,Slender Parrot-pea,,,,,,,,,Vulnerable,,,
2862,502862,Almaleea paludosa,Marsh Bush-pea,,,,,,,,,Rare,,,
2875,502875,Almaleea subumbellata,Wiry Bush-pea,,,,,,,,,,,,
5380,505380,Alocasia brisbanensis,Cunjevoi,,,,,,,,,,,,
5379,505379,Aloe arborescens,Tree Aloe,,,,,,,,,,,,
3651,503651,Aloe maculata,Common Soap Aloe,,,,,,,,,,,,
181,500181,Alopecurus aequalis,Orange Fox-tail,,,,,,,,,,,,
182,500182,Alopecurus geniculatus,Marsh Fox-tail,,,,,,,,,,,,
183,500183,Alopecurus pratensis,Meadow Fox-tail,,,,,,,,,,,,
3641,503641,Alstroemeria aurea,Yellow Alstroemeria,,,,,,,,,,,,
3642,,Alstroemeria pulchella,,,,,,,,,,,,,
5097,514937,Alternanthera denticulata,,S,,T,1,100,SP,N,,,N,,
185,500185,Alternanthera nodiflora,Common Joyweed,,,,,,,,,Poorly known,,,
5165,505165,Alternanthera philoxeroides,Alligator Weed,,,,,,,,,,,,
186,500186,Alternanthera pungens,Khaki Weed,,,,,,,,,,,,
5096,505096,Alternanthera sp. 1 (Plains),Plains Joyweed,,,,,,,,,Poorly known,,,
