"ITEM_ID","TRAIT","VALUE","species"
1138102,"dispersal appendage","none","Solanum oligacanthum"
1138102,"seed shape","reniform","Solanum oligacanthum"
1138102,"seed mass","8.702","Solanum oligacanthum"
1138108,"seed mass","16.5316","Senna artemisioides subsp. filifolia"
1138261,"seed mass","126.276","Eremophila goodwinii subsp. goodwinii"
1138491,"seed mass","1.358","Eucalyptus kessellii subsp. eugnosta"
1138649,"seed mass","0.883","Marianthus microphyllus"
1138919,"seed mass","0.3694","Goodenia concinna"
1139013,"seed mass","2.236","Verreauxia reinwardtii"
1139087,"seed mass","1.832","Bellida graminea"
1139098,"seed mass","0.825","Aotus prosacris"
1139277,"seed mass","5.7615","Cyanostegia microphylla"
1139862,"dispersal appendage","hairs","Actinotus helianthi"
1139862,"seed shape","flattened ovuloid","Actinotus helianthi"
1139862,"seed mass","1.6709","Actinotus helianthi"
1139862,"dispersal appendage","persistent flower parts","Actinotus helianthi"
1140377,"seed mass","24.6077","Angophora hispida"
1140421,"seed mass","0.089","Leptospermum squarrosum"
1140445,"seed mass","1.7824","Bursaria spinosa subsp. lasiophylla"
1140597,"seed mass","0.5875","Goodenia heterophylla subsp. eglandulosa"
1140638,"seed shape","spherical","Scaevola calendulacea"
1140638,"dispersal appendage","none","Scaevola calendulacea"
1140638,"seed mass","43.1955","Scaevola calendulacea"
1140691,"seed mass","0.9667","Wurmbea dioica"
1140759,"seed mass","6.5526","Pimelea latifolia subsp. altior"
1140766,"seed mass","1.275","Sowerbaea juncea"
1140766,"dispersal appendage","none","Sowerbaea juncea"
1140766,"seed shape","trigonal","Sowerbaea juncea"
1141086,"seed shape","falcate","Leptospermum arachnoides"
1141086,"dispersal appendage","none","Leptospermum arachnoides"
1141086,"seed mass","0.08","Leptospermum arachnoides"
1141086,"seed shape","terete","Leptospermum arachnoides"
1141141,"seed mass","1.66","Eryngium ovinum"
1141307,"seed mass","4036.1111","Macrozamia plurinervia"
1141735,"seed mass","3.7106","Keraudrenia "
1141828,"seed mass","11.7118","Banksia paludosa"
1141841,"seed mass","14.93","Banksia paludosa"
1142149,"seed mass","11.957","Banksia paludosa"
1142154,"seed mass","0.197","Stylidium graminifolium"
1142169,"seed mass","0.179","Stylidium graminifolium"
1142195,"seed shape","terete","Coronidium boormanii"
1142195,"dispersal appendage","pappus","Coronidium boormanii"
1142205,"seed mass","0.035","Lobelia andrewsii"
1142206,"seed mass","0.617","Allocasuarina rupicola"
1142208,"seed shape","pyramidal","Callitris monticola"
1142208,"seed mass","7.012","Callitris monticola"
1142208,"dispersal appendage","wing","Callitris monticola"
1142423,"seed shape","sectoroid","Kunzea ericoides"
1142423,"seed mass","0.059","Kunzea ericoides"
1142423,"dispersal appendage","none","Kunzea ericoides"
1143172,"seed shape","fusiform","Hakea mitchellii"
1143172,"dispersal appendage","wing","Hakea mitchellii"
1143332,"seed mass","0.478","Olearia elliptica subsp. elliptica"
1143336,"dispersal appendage","none","Lobelia dentata"
1143336,"seed shape","ovoid","Lobelia dentata"
1143336,"seed mass","0.008","Lobelia dentata"
1143343,"seed mass","2.5466","Sida "
1143366,"seed shape","flattened disc","Hymenosporum flavum"
1143366,"seed mass","6.689","Hymenosporum flavum"
1143372,"seed mass","6.311","Xanthorrhoea resinosa"
1143488,"seed mass","0.244","Eucalyptus loxophleba"
1143540,"seed mass","0.313","Vittadinia tenuissima"
1143540,"seed shape","terete","Vittadinia tenuissima"
1143540,"dispersal appendage","pappus","Vittadinia tenuissima"
1143540,"dispersal appendage","hairs","Vittadinia tenuissima"
1143544,"seed mass","13.268","Senna barronfieldii"
1143606,"seed shape","ovuloid ","Podolobium ilicifolium"
1143606,"dispersal appendage","none","Podolobium ilicifolium"
1143606,"seed mass","2.3","Podolobium ilicifolium"
1143613,"seed mass","0.079","Chionogentias barringtonensis"
1143615,"dispersal appendage","hairs","Leptospermum argenteum"
1143615,"seed mass","0.083","Leptospermum argenteum"
1143615,"seed shape","sinusoid or terete","Leptospermum argenteum"
1143663,"seed shape","pyramidal","Olearia ramulosa"
1143663,"seed mass","0.166","Olearia ramulosa"
1143663,"dispersal appendage","pappus","Olearia ramulosa"
1143933,"seed mass","10.794","Banksia biterax"
1144039,"seed mass","9.2407","Acacia leprosa"
1144077,"seed mass","6.489","Banksia formosa"
1144103,"seed mass","0.201","Stylidium laricifolium"
1144103,"seed shape","fusiform","Stylidium laricifolium"
1144103,"dispersal appendage","none","Stylidium laricifolium"
1144106,"seed mass","0.833","Eucalyptus griffithsii"
1144118,"seed mass","0.778","Eucalyptus lesouefii"
1144164,"seed shape","sectoroid","Eucalyptus kybeanensis"
1144287,"seed mass","13.48","Gastrolobium spectabile"
1144430,"seed mass","6.9733","Gastrolobium acrocaroli"
1144459,"seed mass","2.7655","Gastrolobium musaceum"
1144547,"seed mass","0.458","Blennospora drummondii"
1144550,"seed mass","0.1355","Brachyscome "
1144553,"seed shape","pyramidal","Pogonolepis stricta"
1144553,"seed mass","0.071","Pogonolepis stricta"
1144553,"dispersal appendage","pappus","Pogonolepis stricta"
1144560,"seed mass","0.04","Siloxerus pygmaeus"
1144566,"seed shape","ovoid","Blennospora drummondii"
1144587,"seed mass","1.0417","Podotheca "
1144613,"seed mass","24.3914","Daviesia incrassata subsp. reversifolia"
1144644,"seed mass","2.9933","Gastrolobium rotundifolium"
1144760,"seed mass","3.5182","Gastrolobium triangulare"
1144827,"seed mass","5.08","Gastrolobium propinquum"
1144884,"seed mass","69.6719","Daviesia epiphyllum"
1144921,"seed mass","7.072","Gastrolobium parviflorum"
1145024,"seed mass","2.9667","Gastrolobium bilobum"
1145026,"seed shape","reniform","Daviesia grossa"
1145026,"seed mass","38.6489","Daviesia grossa"
1145026,"dispersal appendage","aril","Daviesia grossa"
1145052,"seed mass","5.8977","Gastrolobium pycnostachyum"
1145063,"seed shape","roughly spherical","Alyogyne hakeifolia"
1145063,"seed mass","4.032","Alyogyne hakeifolia"
1145063,"dispersal appendage","hairs","Alyogyne hakeifolia"
1145070,"seed mass","3.924","Alyogyne hakeifolia"
1145100,"seed mass","0.023","Cheiranthera simplicifolia"
1145101,"seed mass","4.6778","Cheiranthera simplicifolia"
1145111,"seed mass","10.317","Swainsona "
1145114,"seed mass","9.106","Swainsona "
1145134,"seed mass","15.45","Hakea obliqua subsp. parviflora"
1145227,"seed mass","0.26","Goodenia decursiva"
1145229,"seed mass","0.276","Goodenia decursiva"
1145231,"seed mass","0.2848","Goodenia decursiva"
1145240,"seed mass","0.1705","Goodenia decursiva"
1145299,"seed mass","2.898","Haloragodendron glandulosum"
1145549,"seed mass","1.0696","Agrostocrinum scabrum subsp. scabrum"
1145709,"seed mass","0.0822","Beaufortia interstans"
1145723,"seed mass","0.125","Melaleuca macronychia subsp. macronychia"
1145730,"seed mass","0.2381","Melaleuca eximia"
1145778,"seed mass","0.065","Calothamnus tuberosus"
1145785,"seed mass","1.4286","Melaleuca fulgens subsp. fulgens"
1145895,"seed mass","0.371","Beaufortia "
1145901,"seed mass","40.005","Hakea obliqua subsp. obliqua"
1145914,"seed mass","21.8667","Hakea erecta"
1145918,"seed mass","6.811","Petrophile ericifolia subsp. ericifolia"
1145921,"seed mass","14.1633","Petrophile stricta"
1145956,"seed mass","2.958","Conospermum bracteosum"
1145960,"seed mass","2.3143","Conospermum distichum"
1145991,"seed mass","0.526","Anthocercis littorea"
1145993,"seed mass","0.458","Anthocercis littorea"
1145994,"seed mass","0.5593","Anthocercis littorea"
1145995,"dispersal appendage","aril","Keraudrenia integrifolia"
1145995,"seed mass","1.352","Keraudrenia integrifolia"
1145995,"seed shape","reniform","Keraudrenia integrifolia"
1146009,"seed mass","0.095","Stylidium turleyae"
1146011,"seed mass","17.0787","Pimelea drummondii"
1146102,"seed mass","0.51","Olearia rudis"
1146196,"seed mass","26.5086","Daviesia striata"
1146228,"seed mass","2.1333","Lechenaultia superba"
1146249,"seed mass","6.036","Scaevola lanceolata"
1146296,"seed mass","1.355","Siegfriedia darwinioides"
1146342,"seed mass","0.155","Cotula cotuloides"
1146367,"seed mass","0.407","Olearia muricata"
1146393,"seed mass","0.4652","Olearia muricata"
1146421,"seed mass","2.3","Lachnostachys verbascifolia var. verbascifolia"
1146438,"seed mass","0.356","Dicrastylis corymbosa"
1146461,"seed mass","10.9911","Dasymalla terminalis"
1146462,"seed mass","5.118","Cyanostegia angustifolia"
1146579,"seed mass","1.672","Goodenia tripartita"
1146581,"seed mass","0.951","Dampiera wellsiana"
1146588,"seed mass","1.3276","Lechenaultia formosa"
1146677,"seed mass","0.056","Borya sphaerocephala"
1146723,"seed mass","0.5","Xerochrysum bracteatum subsp. macranthum"
1146724,"seed mass","0.753","Xerochrysum bracteatum subsp. macranthum"
1146822,"seed mass","2.561","Stemodia "
1147206,"seed mass","1.16","Velleia trinervis"
1147290,"seed mass","4.8478","Agrostocrinum hirsutum"
1147294,"seed mass","19.167","Acacia willdenowiana"
1147378,"seed mass","4.803","Cheiranthera brevifolia"
1147402,"seed mass","11.763","Banksia fraseri var. fraseri"
1147412,"seed mass","67.777","Banksia blechnifolia"
1147465,"seed mass","1.238","Philotheca pachyphylla"
1147529,"seed mass","1.2889","Thomasia "
1147568,"seed mass","0.998","Dampiera wellsiana"
1147571,"seed mass","2.738","Velleia rosea"
1147822,"seed shape","rectangular","Glischrocaryon flavescens"
1147822,"seed mass","3.864","Glischrocaryon flavescens"
1147898,"seed mass","0.102","Melaleuca fabri"
1147992,"seed mass","1.3174","Eremaea violacea"
1148014,"seed mass","1.2","Thomasia tenuivestita"
1148028,"seed mass","2.5","Leptosema daviesioides"
1148107,"seed mass","1.2","Gastrolobium praemorsum"
1148273,"seed mass","3.8457","Gastrolobium bilobum"
1148315,"seed mass","7.46","Gastrolobium velutinum"
1148363,"seed mass","0.304","Johnsonia pubescens"
1148452,"seed mass","5.109","Dasymalla terminalis"
1148527,"seed mass","6.5286","Gastrolobium bilobum"
1148891,"seed mass","8.085","Gastrolobium racemosum"
1149171,"seed mass","12.23","Stilbocarpa polaris"
1149174,"seed mass","0.93","Uncinia hookeri"
1149175,"seed mass","0.0714","Isolepis aucklandica"
1149177,"seed mass","0.1188","Isolepis aucklandica"
1149180,"seed mass","0.6892","Festuca contracta"
1149182,"seed mass","0.35","Poa foliosa"
1149190,"seed mass","1.404","Bellida graminea"
1149212,"seed mass","36.8053","Banksia elderiana"
1149213,"seed mass","67.0568","Banksia sphaerocarpa var. sphaerocarpa"
1149215,"dispersal appendage","wing","Banksia pulchella"
1149215,"seed shape","flattened sectoroid","Banksia pulchella"
1149215,"seed mass","12.2765","Banksia pulchella"
1149219,"seed mass","56.7261","Banksia menziesii"
1149221,"dispersal appendage","wing","Allocasuarina campestris"
1149221,"seed mass","1.059","Allocasuarina campestris"
1149221,"seed shape","rounded samara","Allocasuarina campestris"
1149232,"seed mass","15.664","Banksia benthamiana"
1149246,"seed mass","9.836","Banksia littoralis"
1149255,"seed mass","1.55","Diplopeltis huegelii var. subintegra"
1149262,"seed mass","2.502","Diplopeltis huegelii var. subintegra"
1149278,"seed mass","5.62","Drummondita hassellii"
1149281,"seed mass","19.3562","Banksia sclerophylla"
1149286,"seed mass","52.0962","Banksia shuttleworthiana"
1149333,"seed mass","3.96","Acacia palustris"
1149342,"seed mass","8.6269","Banksia tenuis var. reptans"
1149421,"seed mass","13.2808","Banksia armata"
1149422,"seed mass","7.174","Banksia formosa"
1149425,"seed mass","13.2607","Banksia undata var. undata"
1149496,"seed mass","4.984","Eucalyptus macrocarpa subsp. elachantha"
1149500,"seed mass","6.592","Diplolaena grandiflora"
1149576,"seed mass","0.151","Conostylis teretifolia subsp. teretifolia"
1149589,"seed mass","1.295","Cephalipterum drummondii"
1149591,"seed mass","0.328","Calothamnus torulosus"
1149608,"seed shape","roughly triangular","Banksia speciosa"
1149608,"seed mass","71.35","Banksia speciosa"
1149666,"seed mass","3.1611","Isopogon heterophyllus"
1149765,"seed mass","1.621","Isopogon teretifolius subsp. petrophiloides"
1149836,"seed mass","27.985","Hakea conchifolia"
1149845,"seed mass","33.273","Hakea prostrata"
1149866,"seed shape","rhomboidal","Hakea minyma"
1149866,"seed mass","7.819","Hakea minyma"
1149866,"dispersal appendage","wing","Hakea minyma"
1149953,"seed mass","0.0424","Ptilotus divaricatus"
1150216,"seed mass","0.689","Hyalosperma glutinosum subsp. venustum"
1150272,"seed shape","reniform","Solanum petrophilum"
1150272,"dispersal appendage","none","Solanum petrophilum"
1150272,"seed mass","0.9574","Solanum petrophilum"
1150444,"seed mass","16.9333","Senna aciphylla"
1150468,"seed mass","1.202","Allocasuarina rigida subsp. rigida"
1150469,"seed mass","1.088","Allocasuarina rigida subsp. rigida"
1150548,"dispersal appendage","none","Callistemon pungens"
1150548,"seed shape","pyramidal","Callistemon pungens"
1150548,"seed mass","0.038","Callistemon pungens"
1150616,"seed mass","0.048","Leptospermum novae-angliae"
1150694,"seed mass","49.041","Banksia media"
1150709,"seed mass","1.6815","Lawrencia spicata"
1150712,"seed mass","4.66","Asterotrichion discolor"
1150716,"seed mass","0.1","Leptospermum riparium"
1150775,"seed mass","9.1833","Hakea grammatophylla"
1150787,"seed mass","59.1593","Hakea macrorrhyncha"
1150794,"seed mass","6.7053","Coprosma nitida"
1150838,"seed mass","0.063","Xyris gracilis subsp. tasmanica"
1150843,"seed mass","1.3299","Diplarrhena latifolia"
1150882,"seed mass","1.6432","Indigofera baileyi"
1150889,"seed mass","31.3628","Hakea cygna subsp. cygna"
1150899,"seed mass","27.5742","Hakea incrassata"
1150910,"seed mass","30.9561","Banksia oreophila"
1151029,"seed mass","0.199","Olearia phlogopappa var. salicifolia"
1151030,"seed mass","0.85","Olearia persoonioides"
1151050,"seed mass","2.05","Gymnoschoenus sphaerocephalus"
1151068,"seed mass","0.1107","Richea dracophylla"
1151071,"seed mass","0.031","Richea pandanifolia"
1151097,"seed mass","10.5909","Banksia comosa"
1151106,"seed mass","1.83","Isopogon scabriusculus subsp. scabriusculus"
1151109,"seed mass","1.8776","Isopogon scabriusculus subsp. stenophyllus"
1151136,"seed mass","66.8075","Hakea strumosa"
1151147,"seed mass","33.089","Acacia rossei"
1151151,"seed mass","0.721","Eucalyptus torquata"
1151155,"seed mass","0.877","Eucalyptus loxophleba subsp. loxophleba"
1151161,"seed mass","0.36","Eucalyptus salubris"
1151167,"seed mass","0.248","Eucalyptus tephroclada"
1151173,"seed shape","sectoroid","Eucalyptus burracoppinensis"
1151173,"seed shape","rectangular","Eucalyptus burracoppinensis"
1151173,"seed mass","0.817","Eucalyptus burracoppinensis"
1151180,"seed mass","0.4528","Eucalyptus leptopoda subsp. leptopoda"
1151187,"seed mass","0.345","Eucalyptus cylindrocarpa"
1151200,"seed mass","0.34","Eucalyptus cyclostoma"
1151209,"seed mass","0.401","Eucalyptus websteriana"
1151226,"seed mass","0.884","Eucalyptus griffithsii"
1151227,"seed mass","1.541","Eucalyptus pyriformis"
1151240,"seed mass","0.143","Eucalyptus salmonophloia"
1151249,"seed mass","0.271","Eucalyptus erythronema subsp. inornata"
1151268,"seed mass","0.385","Eucalyptus armillata"
1151277,"seed mass","0.482","Eucalyptus platypus"
1151295,"seed mass","68.792","Banksia lemanniana"
1151307,"seed mass","18.239","Hakea multilineata"
1151317,"seed mass","5.624","Petrophile shuttleworthiana"
1151340,"seed mass","7.0455","Banksia sessilis var. cygnorum"
1151356,"seed mass","11.448","Banksia splendida subsp. splendida"
1151359,"seed mass","29.515","Grevillea hookeriana subsp. apiciloba"
1151360,"seed mass","2.5068","Isopogon divergens"
1151364,"seed mass","11.145","Banksia "
1151377,"seed mass","30.9968","Banksia sphaerocarpa var. caesia"
1151391,"seed mass","10.1168","Banksia rufa subsp. flavescens"
1151405,"seed mass","22.986","Hakea cygna subsp. cygna"
1151411,"seed mass","421.3312","Hakea platysperma"
1151414,"seed mass","3.222","Gastrolobium musaceum"
1151490,"seed mass","3.606","Eucalyptus extrica"
1151504,"seed mass","0.357","Eucalyptus occidentalis"
1151505,"seed mass","0.07","Calothamnus "
1151514,"seed shape","sectoroid","Phymatocarpus maxwellii"
1151514,"seed mass","0.113","Phymatocarpus maxwellii"
1151529,"seed mass","0.397","Eucalyptus cyclostoma"
1151530,"seed mass","0.402","Eucalyptus ravida"
1151535,"seed mass","0.314","Eucalyptus brachyphylla"
1151548,"seed mass","0.321","Eucalyptus kruseana"
1151565,"seed mass","0.3","Eucalyptus salubris"
1151570,"seed shape","ovuloid ","Eucalyptus depauperata"
1151570,"seed mass","0.328","Eucalyptus depauperata"
1151583,"seed mass","2.685","Eucalyptus preissiana subsp. preissiana"
1151588,"seed mass","1.4323","Bentleya spinescens"
1151590,"seed mass","125.57","Hakea pandanicarpa subsp. pandanicarpa"
1151598,"seed mass","63.045","Banksia "
1151608,"seed mass","7.929","Banksia rufa subsp. flavescens"
1151624,"seed mass","9.329","Hakea horrida"
1151630,"seed mass","7.992","Banksia tenuis var. tenuis"
1151631,"seed mass","6.05","Banksia armata"
1151634,"seed mass","10.084","Banksia obovata"
1151641,"seed mass","4.8833","Isopogon attenuatus"
1151749,"seed mass","4.9507","Isopogon sp. Watheroo (D.Foreman 477)"
1151863,"seed mass","2.842","Acacia lasiocarpa var. lasiocarpa"
1151971,"seed mass","0.281","Calothamnus sanguineus"
1151983,"seed mass","18.311","Grevillea eriostachya"
1151995,"seed mass","2.189","Goodenia "
1152040,"seed mass","11.1559","Banksia densa var. densa"
1152058,"seed mass","18.55","Banksia plumosa subsp. plumosa"
1152078,"seed mass","0.236","Melaleuca pungens"
1152085,"seed mass","9.041","Petrophile circinata"
1152110,"seed shape","globose","Pittosporum crassifolium"
1152110,"seed mass","35.05","Pittosporum crassifolium"
1152122,"seed mass","0.479","Billardiera drummondii"
1152136,"seed mass","3.493","Pittosporum bicolor"
1152137,"seed mass","3.0664","Marianthus bicolor"
1152203,"seed mass","16.354","Banksia littoralis"
1152215,"seed mass","14.8444","Banksia plumosa subsp. plumosa"
1152240,"seed mass","9.45","Banksia tenuis var. tenuis"
1152362,"seed mass","5.4014","Petrophile serruriae"
1152431,"seed mass","0.38","Eucalyptus pluricaulis subsp. pluricaulis"
1152470,"seed mass","4.8662","Banksia erythrocephala var. erythrocephala"
1152474,"seed mass","5.4679","Petrophile glauca"
1152592,"seed mass","138.49","Banksia speciosa"
1152595,"seed shape","triangular","Banksia pilostylis"
1152595,"seed mass","51.8182","Banksia pilostylis"
1152595,"dispersal appendage","wing","Banksia pilostylis"
1152613,"seed shape","triangular","Banksia baueri"
1152613,"seed mass","100.968","Banksia baueri"
1152628,"seed mass","9.2921","Banksia nivea subsp. nivea"
1152719,"seed mass","0.155","Baeckea "
1152786,"seed mass","0.2","Calothamnus pinifolius"
1152872,"seed mass","5.226","Isopogon polycephalus"
1152935,"seed shape","pyramidal","Olearia decurrens"
1152935,"seed mass","0.3188","Olearia decurrens"
1152935,"dispersal appendage","pappus","Olearia decurrens"
1152938,"seed mass","0.202","Brachyscome tatei"
1153009,"seed mass","13.8571","Gastrolobium graniticum"
1153013,"seed mass","3.725","Scaevola bursariifolia"
1153023,"seed mass","4.253","Radyera farragei"
1153124,"seed mass","0.141","Eucalyptus melanoxylon"
1153130,"seed mass","1.15","Eucalyptus salubris"
1153131,"seed mass","0.399","Eucalyptus dundasii"
1153131,"seed shape","ovuloid ","Eucalyptus dundasii"
1153144,"seed mass","0.66","Eucalyptus stricklandii"
1153146,"seed shape","ovoid","Eucalyptus transcontinentalis"
1153146,"seed mass","0.542","Eucalyptus transcontinentalis"
1153146,"dispersal appendage","none","Eucalyptus transcontinentalis"
1153217,"seed mass","3.385","Pelargonium littorale"
1153217,"seed shape","pinched ovoid","Pelargonium littorale"
1153281,"seed mass","1","Coopernookia polygalacea"
1153403,"seed mass","13.0684","Banksia mucronulata subsp. mucronulata"
1153410,"seed mass","7.2864","Banksia formosa"
1153415,"seed mass","5.422","Isopogon cuneatus"
1153602,"seed mass","17.9333","Daviesia horrida"
1153661,"seed mass","19.7518","Hovea elliptica"
1153744,"seed mass","6.4054","Gastrolobium nudifolium"
1153775,"seed shape","terete","Hypocalymma asperum"
1153859,"seed mass","0.5","Hypocalymma strictum subsp. strictum"
1153860,"seed mass","0.5786","Hypocalymma strictum subsp. strictum"
1153917,"seed mass","0.713","Beaufortia squarrosa"
1154067,"seed mass","16.8438","Banksia coccinea"
1154079,"seed mass","14.4","Isopogon longifolius"
1154213,"seed mass","27.2729","Banksia fililoba"
1154223,"seed mass","7.9962","Banksia tenuis var. reptans"
1154250,"seed mass","11.3","Banksia obovata"
1154252,"seed mass","2.356","Isopogon teretifolius subsp. teretifolius"
1154305,"seed shape","reniform","Ptilotus manglesii"
1154305,"seed mass","3.2672","Ptilotus manglesii"
1154305,"dispersal appendage","none","Ptilotus manglesii"
1154453,"seed mass","10.118","Allocasuarina pinaster"
1154501,"seed mass","2.72","Jacksonia grevilleoides"
1154686,"seed mass","6.3438","Gastrolobium linearifolium"
1154726,"seed mass","6.55","Gastrolobium parviflorum"
1154763,"seed mass","4.628","Gastrolobium parviflorum"
1154787,"seed mass","6.195","Gastrolobium nudifolium"
1154789,"seed mass","24.5917","Hakea drupacea"
1154813,"seed mass","0.3068","Olearia muricata"
1154816,"seed mass","20.773","Labichea lanceolata subsp. brevifolia"
1154903,"seed mass","4.35","Gastrolobium parviflorum"
1154957,"seed mass","2.569","Daviesia abnormis"
1154959,"seed mass","2.73","Gastrolobium musaceum"
1154962,"seed mass","2.6783","Gastrolobium musaceum"
1154970,"seed mass","3.99","Gastrolobium musaceum"
1154976,"seed mass","5.113","Jacksonia furcellata"
1154980,"seed mass","0.332","Beaufortia orbifolia"
1155005,"seed mass","1.016","Eucalyptus conglobata subsp. conglobata"
1155012,"seed mass","0.4494","Eucalyptus tumida"
1155019,"seed mass","3.0125","Petrophile squamata subsp. Northern (J.Monks 40)"
1155020,"seed mass","66.7394","Banksia petiolaris"
1155035,"seed mass","36.9082","Hakea adnata"
1155067,"seed mass","20.25","Hakea laurina"
1155131,"seed mass","2.556","Stirlingia anethifolia"
1155137,"seed mass","11","Hakea pycnoneura"
1155145,"seed mass","14.383","Banksia obovata"
1155212,"seed mass","1.8132","Ptilotus symonii"
1155212,"seed shape","reniform","Ptilotus symonii"
1155212,"dispersal appendage","none","Ptilotus symonii"
1155254,"seed mass","3.216","Chorizema nervosum"
1155317,"seed mass","4.4091","Scaevola brookeana"
1155359,"seed mass","25.975","Acacia subcaerulea"
1155361,"seed mass","0.759","Eucalyptus phenax subsp. phenax"
1155367,"seed mass","1.124","Eucalyptus doratoxylon"
