species_name,species_name_current,photosynthetic pathway,Authority,k=Kranz n=non-Kranz,d13C value,d13C_replicates,Other evidence,Reference,genus_name,Species sampled,Notes,excluded_names
Agrostis venusta,Agrostis venusta,C3,Agrostis L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards),Agrostis,"Agrostis aemula R. Br., Agrostis australiensis Mez, Agrostis avenacea Gmelin, Agrostis billardieri R.Br., Agrostis stolonifera L. (=Agrostis stolonifera var. palustris (Huds.) Farw.), Agrostis tenuis Sibth. (= A. capillaris L.), Agrostis semiverticillata (Forssk.) C.Chr. (Polypogon)",NA,
Alexfloydia repens,Alexfloydia repens,C4,Alexfloydia Simon,NA,NA,,NA,Watson & Dallwitz (1992 onwards),Alexfloydia,Alexfloydia repens B.K. Simon,NA,
Alloteropsis cimicina,Alloteropsis cimicina,C4,Alloteropsis Presl,NA,NA,,NA,Metcalfe (1960); Ellis (1974); Hattersley et al. (1977); Watson & Dallwitz (1992 onwards); C3 C3-C4 C4 in Africa,Alloteropsis,"Alloteropsis cimicina (L.) Stapf, Alloteropsis semialata (R.Br.) Hitchc.",NA,
Alloteropsis semialata,Alloteropsis semialata,C4,Alloteropsis Presl,NA,NA,,NA,"Metcalfe (1960); Ellis (1974); Hattersley et al. (1977); Watson & Dallwitz (1992 onwards); C3 C3-C4 C4 in Africa, but Australian populations all C4 (C. Osborne, per com)",Alloteropsis,"Alloteropsis cimicina (L.) Stapf, Alloteropsis semialata (R.Br.) Hitchc.",NA,
Amphibromus archeri,Amphibromus archeri,C3,NA,NA,NA,,NA,NA,Amphibromus,NA,NA,
Amphibromus fluitans,Amphibromus fluitans,C3,NA,NA,NA,,NA,NA,Amphibromus,NA,NA,
Amphibromus macrorhinus,Amphibromus macrorhinus,C3,NA,NA,NA,,NA,NA,Amphibromus,NA,NA,
Amphibromus neesii,Amphibromus neesii,C3,NA,NA,NA,,NA,NA,Amphibromus,NA,NA,
Amphibromus nervosus,Amphibromus nervosus,C3,NA,NA,NA,,NA,NA,Amphibromus,NA,NA,
Amphibromus pithogastrus,Amphibromus pithogastrus,C3,NA,NA,NA,,NA,NA,Amphibromus,NA,NA,
Amphibromus recurvatus,Amphibromus recurvatus,C3,NA,NA,NA,,NA,NA,Amphibromus,NA,NA,
Amphibromus sinuatus,Amphibromus sinuatus,C3,NA,NA,NA,,NA,NA,Amphibromus,NA,NA,
Amphibromus vickeryae,Amphibromus vickeryae,C3,NA,NA,NA,,NA,NA,Amphibromus,NA,NA,
Amphibromus whitei,Amphibromus whitei,C3,NA,NA,NA,,NA,NA,Amphibromus,NA,NA,
Amphipogon amphipogonoides,Amphipogon amphipogonoides,C3,Amphipogon R. Br.,NA,NA,,NA,Watson & Dallwitz (1992 onwards),Amphipogon,"Amphipogon amphipogonoides (Steud) Vickery, Amphipogon avenaceus R. Br., Amphipogon caricinus F. Muell., Amphipogon debilis R. Br., Amphipogon laguroides R. Br., Amphipogon strictus R. Br., Amphipogon turbinatus R. Br.",NA,
Amphipogon avenaceus,Amphipogon avenaceus,C3,Amphipogon R. Br.,NA,NA,,NA,Watson & Dallwitz (1992 onwards),Amphipogon,"Amphipogon amphipogonoides (Steud) Vickery, Amphipogon avenaceus R. Br., Amphipogon caricinus F. Muell., Amphipogon debilis R. Br., Amphipogon laguroides R. Br., Amphipogon strictus R. Br., Amphipogon turbinatus R. Br.",NA,
Amphipogon caricinus,Amphipogon caricinus,C3,Amphipogon R. Br.,NA,NA,,NA,Watson & Dallwitz (1992 onwards),Amphipogon,"Amphipogon amphipogonoides (Steud) Vickery, Amphipogon avenaceus R. Br., Amphipogon caricinus F. Muell., Amphipogon debilis R. Br., Amphipogon laguroides R. Br., Amphipogon strictus R. Br., Amphipogon turbinatus R. Br.",NA,
Amphipogon caricinus var. caricinus,Amphipogon caricinus var. caricinus,C3,Amphipogon R. Br.,NA,NA,,NA,Watson & Dallwitz (1992 onwards),Amphipogon,"Amphipogon amphipogonoides (Steud) Vickery, Amphipogon avenaceus R. Br., Amphipogon caricinus F. Muell., Amphipogon debilis R. Br., Amphipogon laguroides R. Br., Amphipogon strictus R. Br., Amphipogon turbinatus R. Br.",NA,
Amphipogon caricinus var. scaber,Amphipogon caricinus var. scaber,C3,Amphipogon R. Br.,NA,NA,,NA,Watson & Dallwitz (1992 onwards),Amphipogon,"Amphipogon amphipogonoides (Steud) Vickery, Amphipogon avenaceus R. Br., Amphipogon caricinus F. Muell., Amphipogon debilis R. Br., Amphipogon laguroides R. Br., Amphipogon strictus R. Br., Amphipogon turbinatus R. Br.",NA,
Amphipogon debilis,Amphipogon debilis,C3,Amphipogon R. Br.,NA,NA,,NA,Watson & Dallwitz (1992 onwards),Amphipogon,"Amphipogon amphipogonoides (Steud) Vickery, Amphipogon avenaceus R. Br., Amphipogon caricinus F. Muell., Amphipogon debilis R. Br., Amphipogon laguroides R. Br., Amphipogon strictus R. Br., Amphipogon turbinatus R. Br.",NA,
Amphipogon laguroides,Amphipogon laguroides,C3,Amphipogon R. Br.,NA,NA,,NA,Watson & Dallwitz (1992 onwards),Amphipogon,"Amphipogon amphipogonoides (Steud) Vickery, Amphipogon avenaceus R. Br., Amphipogon caricinus F. Muell., Amphipogon debilis R. Br., Amphipogon laguroides R. Br., Amphipogon strictus R. Br., Amphipogon turbinatus R. Br.",NA,
Amphipogon laguroides subsp. havelii,Amphipogon laguroides subsp. havelii,C3,Amphipogon R. Br.,NA,NA,,NA,Watson & Dallwitz (1992 onwards),Amphipogon,"Amphipogon amphipogonoides (Steud) Vickery, Amphipogon avenaceus R. Br., Amphipogon caricinus F. Muell., Amphipogon debilis R. Br., Amphipogon laguroides R. Br., Amphipogon strictus R. Br., Amphipogon turbinatus R. Br.",NA,
Amphipogon laguroides subsp. laguroides,Amphipogon laguroides subsp. laguroides,C3,Amphipogon R. Br.,NA,NA,,NA,Watson & Dallwitz (1992 onwards),Amphipogon,"Amphipogon amphipogonoides (Steud) Vickery, Amphipogon avenaceus R. Br., Amphipogon caricinus F. Muell., Amphipogon debilis R. Br., Amphipogon laguroides R. Br., Amphipogon strictus R. Br., Amphipogon turbinatus R. Br.",NA,
Amphipogon sericeus,Amphipogon sericeus,C3,Amphipogon R. Br.,NA,NA,,NA,Watson & Dallwitz (1992 onwards),Amphipogon,"Amphipogon amphipogonoides (Steud) Vickery, Amphipogon avenaceus R. Br., Amphipogon caricinus F. Muell., Amphipogon debilis R. Br., Amphipogon laguroides R. Br., Amphipogon strictus R. Br., Amphipogon turbinatus R. Br.",NA,
Amphipogon setaceus,Amphipogon setaceus,C3,Amphipogon R. Br.,NA,NA,,NA,Watson & Dallwitz (1992 onwards),Amphipogon,"Amphipogon amphipogonoides (Steud) Vickery, Amphipogon avenaceus R. Br., Amphipogon caricinus F. Muell., Amphipogon debilis R. Br., Amphipogon laguroides R. Br., Amphipogon strictus R. Br., Amphipogon turbinatus R. Br.",NA,
Amphipogon strictus,Amphipogon strictus,C3,Amphipogon R. Br.,NA,NA,,NA,Watson & Dallwitz (1992 onwards),Amphipogon,"Amphipogon amphipogonoides (Steud) Vickery, Amphipogon avenaceus R. Br., Amphipogon caricinus F. Muell., Amphipogon debilis R. Br., Amphipogon laguroides R. Br., Amphipogon strictus R. Br., Amphipogon turbinatus R. Br.",NA,
Amphipogon turbinatus,Amphipogon turbinatus,C3,Amphipogon R. Br.,NA,NA,,NA,Watson & Dallwitz (1992 onwards),Amphipogon,"Amphipogon amphipogonoides (Steud) Vickery, Amphipogon avenaceus R. Br., Amphipogon caricinus F. Muell., Amphipogon debilis R. Br., Amphipogon laguroides R. Br., Amphipogon strictus R. Br., Amphipogon turbinatus R. Br.",NA,
Ancistrachne maidenii,Ancistrachne maidenii,C3,Ancistrachne S.T.Blake,NA,NA,,NA,Watson & Dallwitz (1992 onwards),Ancistrachne,Ancistrachne uncinulata (R. Br.) Blake,NA,
Ancistrachne uncinulata,Ancistrachne uncinulata,C3,Ancistrachne S.T.Blake,NA,NA,,NA,Watson & Dallwitz (1992 onwards),Ancistrachne,Ancistrachne uncinulata (R. Br.) Blake,NA,
Anisopogon avenaceus,Anisopogon avenaceus,c3,Anisopogon R. Br.,NA,NA,,NA,Watson & Dallwitz (1992 onwards),Anisopogon,Anisopogon avenaceus R. Br.,NA,
Apluda mutica,Apluda mutica,c4,Apluda L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards),Apluda,Apluda mutica L.,NA,
Aristida acuta,Aristida acuta,c4,Aristida L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards); Cerros-Tlatilpa & Columbus (2009),Aristida,"Aristida adscensionis L., Aristida aemulans Melderis, Aristida brainii Melderis, Aristida congesta Roem. & Schult., Aristida caput-medusae Domin, Aristida hordeacea Kunth, Aristida kenyensis Henr., Aristida longifolia Trin., Aristida meridionalis Henr., Aristida ramosa R. Br., Aristida rhiniochloa Hochst., Aristida scabrivalvis Hack., Aristida setacea Retz., Aristida sieberiana Trin. (=Aristida longiflora Schumach. & Thonn.), Aristida stipitata Hack., Aristida vestita Thunb., Aristida pungens Desf. (Stipagrostis)",A. longifolia: has non-Kranz leaf anatomy; Metcalfe (1960) lists broad surveys of the genus in the older literature.,
Aristida annua,Aristida annua,c4,Aristida L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards); Cerros-Tlatilpa & Columbus (2009),Aristida,"Aristida adscensionis L., Aristida aemulans Melderis, Aristida brainii Melderis, Aristida congesta Roem. & Schult., Aristida caput-medusae Domin, Aristida hordeacea Kunth, Aristida kenyensis Henr., Aristida longifolia Trin., Aristida meridionalis Henr., Aristida ramosa R. Br., Aristida rhiniochloa Hochst., Aristida scabrivalvis Hack., Aristida setacea Retz., Aristida sieberiana Trin. (=Aristida longiflora Schumach. & Thonn.), Aristida stipitata Hack., Aristida vestita Thunb., Aristida pungens Desf. (Stipagrostis)",A. longifolia: has non-Kranz leaf anatomy; Metcalfe (1960) lists broad surveys of the genus in the older literature.,
Aristida anthoxanthoides,Aristida anthoxanthoides,c4,Aristida L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards); Cerros-Tlatilpa & Columbus (2009),Aristida,"Aristida adscensionis L., Aristida aemulans Melderis, Aristida brainii Melderis, Aristida congesta Roem. & Schult., Aristida caput-medusae Domin, Aristida hordeacea Kunth, Aristida kenyensis Henr., Aristida longifolia Trin., Aristida meridionalis Henr., Aristida ramosa R. Br., Aristida rhiniochloa Hochst., Aristida scabrivalvis Hack., Aristida setacea Retz., Aristida sieberiana Trin. (=Aristida longiflora Schumach. & Thonn.), Aristida stipitata Hack., Aristida vestita Thunb., Aristida pungens Desf. (Stipagrostis)",A. longifolia: has non-Kranz leaf anatomy; Metcalfe (1960) lists broad surveys of the genus in the older literature.,
Aristida arida,Aristida arida,c4,Aristida L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards); Cerros-Tlatilpa & Columbus (2009),Aristida,"Aristida adscensionis L., Aristida aemulans Melderis, Aristida brainii Melderis, Aristida congesta Roem. & Schult., Aristida caput-medusae Domin, Aristida hordeacea Kunth, Aristida kenyensis Henr., Aristida longifolia Trin., Aristida meridionalis Henr., Aristida ramosa R. Br., Aristida rhiniochloa Hochst., Aristida scabrivalvis Hack., Aristida setacea Retz., Aristida sieberiana Trin. (=Aristida longiflora Schumach. & Thonn.), Aristida stipitata Hack., Aristida vestita Thunb., Aristida pungens Desf. (Stipagrostis)",A. longifolia: has non-Kranz leaf anatomy; Metcalfe (1960) lists broad surveys of the genus in the older literature.,
Aristida australis,Aristida australis,c4,Aristida L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards); Cerros-Tlatilpa & Columbus (2009),Aristida,"Aristida adscensionis L., Aristida aemulans Melderis, Aristida brainii Melderis, Aristida congesta Roem. & Schult., Aristida caput-medusae Domin, Aristida hordeacea Kunth, Aristida kenyensis Henr., Aristida longifolia Trin., Aristida meridionalis Henr., Aristida ramosa R. Br., Aristida rhiniochloa Hochst., Aristida scabrivalvis Hack., Aristida setacea Retz., Aristida sieberiana Trin. (=Aristida longiflora Schumach. & Thonn.), Aristida stipitata Hack., Aristida vestita Thunb., Aristida pungens Desf. (Stipagrostis)",A. longifolia: has non-Kranz leaf anatomy; Metcalfe (1960) lists broad surveys of the genus in the older literature.,
Aristida behriana,Aristida behriana,c4,Aristida L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards); Cerros-Tlatilpa & Columbus (2009),Aristida,"Aristida adscensionis L., Aristida aemulans Melderis, Aristida brainii Melderis, Aristida congesta Roem. & Schult., Aristida caput-medusae Domin, Aristida hordeacea Kunth, Aristida kenyensis Henr., Aristida longifolia Trin., Aristida meridionalis Henr., Aristida ramosa R. Br., Aristida rhiniochloa Hochst., Aristida scabrivalvis Hack., Aristida setacea Retz., Aristida sieberiana Trin. (=Aristida longiflora Schumach. & Thonn.), Aristida stipitata Hack., Aristida vestita Thunb., Aristida pungens Desf. (Stipagrostis)",A. longifolia: has non-Kranz leaf anatomy; Metcalfe (1960) lists broad surveys of the genus in the older literature.,
Aristida benthamii,Aristida benthamii,c4,Aristida L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards); Cerros-Tlatilpa & Columbus (2009),Aristida,"Aristida adscensionis L., Aristida aemulans Melderis, Aristida brainii Melderis, Aristida congesta Roem. & Schult., Aristida caput-medusae Domin, Aristida hordeacea Kunth, Aristida kenyensis Henr., Aristida longifolia Trin., Aristida meridionalis Henr., Aristida ramosa R. Br., Aristida rhiniochloa Hochst., Aristida scabrivalvis Hack., Aristida setacea Retz., Aristida sieberiana Trin. (=Aristida longiflora Schumach. & Thonn.), Aristida stipitata Hack., Aristida vestita Thunb., Aristida pungens Desf. (Stipagrostis)",A. longifolia: has non-Kranz leaf anatomy; Metcalfe (1960) lists broad surveys of the genus in the older literature.,
Aristida benthamii var. benthamii,Aristida benthamii var. benthamii,c4,Aristida L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards); Cerros-Tlatilpa & Columbus (2009),Aristida,"Aristida adscensionis L., Aristida aemulans Melderis, Aristida brainii Melderis, Aristida congesta Roem. & Schult., Aristida caput-medusae Domin, Aristida hordeacea Kunth, Aristida kenyensis Henr., Aristida longifolia Trin., Aristida meridionalis Henr., Aristida ramosa R. Br., Aristida rhiniochloa Hochst., Aristida scabrivalvis Hack., Aristida setacea Retz., Aristida sieberiana Trin. (=Aristida longiflora Schumach. & Thonn.), Aristida stipitata Hack., Aristida vestita Thunb., Aristida pungens Desf. (Stipagrostis)",A. longifolia: has non-Kranz leaf anatomy; Metcalfe (1960) lists broad surveys of the genus in the older literature.,
Aristida benthamii var. spinulifera,Aristida benthamii var. spinulifera,c4,Aristida L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards); Cerros-Tlatilpa & Columbus (2009),Aristida,"Aristida adscensionis L., Aristida aemulans Melderis, Aristida brainii Melderis, Aristida congesta Roem. & Schult., Aristida caput-medusae Domin, Aristida hordeacea Kunth, Aristida kenyensis Henr., Aristida longifolia Trin., Aristida meridionalis Henr., Aristida ramosa R. Br., Aristida rhiniochloa Hochst., Aristida scabrivalvis Hack., Aristida setacea Retz., Aristida sieberiana Trin. (=Aristida longiflora Schumach. & Thonn.), Aristida stipitata Hack., Aristida vestita Thunb., Aristida pungens Desf. (Stipagrostis)",A. longifolia: has non-Kranz leaf anatomy; Metcalfe (1960) lists broad surveys of the genus in the older literature.,
Aristida biglandulosa,Aristida biglandulosa,c4,Aristida L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards); Cerros-Tlatilpa & Columbus (2009),Aristida,"Aristida adscensionis L., Aristida aemulans Melderis, Aristida brainii Melderis, Aristida congesta Roem. & Schult., Aristida caput-medusae Domin, Aristida hordeacea Kunth, Aristida kenyensis Henr., Aristida longifolia Trin., Aristida meridionalis Henr., Aristida ramosa R. Br., Aristida rhiniochloa Hochst., Aristida scabrivalvis Hack., Aristida setacea Retz., Aristida sieberiana Trin. (=Aristida longiflora Schumach. & Thonn.), Aristida stipitata Hack., Aristida vestita Thunb., Aristida pungens Desf. (Stipagrostis)",A. longifolia: has non-Kranz leaf anatomy; Metcalfe (1960) lists broad surveys of the genus in the older literature.,
Aristida blakei,Aristida blakei,c4,Aristida L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards); Cerros-Tlatilpa & Columbus (2009),Aristida,"Aristida adscensionis L., Aristida aemulans Melderis, Aristida brainii Melderis, Aristida congesta Roem. & Schult., Aristida caput-medusae Domin, Aristida hordeacea Kunth, Aristida kenyensis Henr., Aristida longifolia Trin., Aristida meridionalis Henr., Aristida ramosa R. Br., Aristida rhiniochloa Hochst., Aristida scabrivalvis Hack., Aristida setacea Retz., Aristida sieberiana Trin. (=Aristida longiflora Schumach. & Thonn.), Aristida stipitata Hack., Aristida vestita Thunb., Aristida pungens Desf. (Stipagrostis)",A. longifolia: has non-Kranz leaf anatomy; Metcalfe (1960) lists broad surveys of the genus in the older literature.,
Aristida burbidgeae,Aristida burbidgeae,c4,Aristida L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards); Cerros-Tlatilpa & Columbus (2009),Aristida,"Aristida adscensionis L., Aristida aemulans Melderis, Aristida brainii Melderis, Aristida congesta Roem. & Schult., Aristida caput-medusae Domin, Aristida hordeacea Kunth, Aristida kenyensis Henr., Aristida longifolia Trin., Aristida meridionalis Henr., Aristida ramosa R. Br., Aristida rhiniochloa Hochst., Aristida scabrivalvis Hack., Aristida setacea Retz., Aristida sieberiana Trin. (=Aristida longiflora Schumach. & Thonn.), Aristida stipitata Hack., Aristida vestita Thunb., Aristida pungens Desf. (Stipagrostis)",A. longifolia: has non-Kranz leaf anatomy; Metcalfe (1960) lists broad surveys of the genus in the older literature.,
Aristida burraensis,Aristida burraensis,c4,Aristida L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards); Cerros-Tlatilpa & Columbus (2009),Aristida,"Aristida adscensionis L., Aristida aemulans Melderis, Aristida brainii Melderis, Aristida congesta Roem. & Schult., Aristida caput-medusae Domin, Aristida hordeacea Kunth, Aristida kenyensis Henr., Aristida longifolia Trin., Aristida meridionalis Henr., Aristida ramosa R. Br., Aristida rhiniochloa Hochst., Aristida scabrivalvis Hack., Aristida setacea Retz., Aristida sieberiana Trin. (=Aristida longiflora Schumach. & Thonn.), Aristida stipitata Hack., Aristida vestita Thunb., Aristida pungens Desf. (Stipagrostis)",A. longifolia: has non-Kranz leaf anatomy; Metcalfe (1960) lists broad surveys of the genus in the older literature.,
Aristida calycina,Aristida calycina,c4,Aristida L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards); Cerros-Tlatilpa & Columbus (2009),Aristida,"Aristida adscensionis L., Aristida aemulans Melderis, Aristida brainii Melderis, Aristida congesta Roem. & Schult., Aristida caput-medusae Domin, Aristida hordeacea Kunth, Aristida kenyensis Henr., Aristida longifolia Trin., Aristida meridionalis Henr., Aristida ramosa R. Br., Aristida rhiniochloa Hochst., Aristida scabrivalvis Hack., Aristida setacea Retz., Aristida sieberiana Trin. (=Aristida longiflora Schumach. & Thonn.), Aristida stipitata Hack., Aristida vestita Thunb., Aristida pungens Desf. (Stipagrostis)",A. longifolia: has non-Kranz leaf anatomy; Metcalfe (1960) lists broad surveys of the genus in the older literature.,
Aristida calycina var. calycina,Aristida calycina var. calycina,c4,Aristida L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards); Cerros-Tlatilpa & Columbus (2009),Aristida,"Aristida adscensionis L., Aristida aemulans Melderis, Aristida brainii Melderis, Aristida congesta Roem. & Schult., Aristida caput-medusae Domin, Aristida hordeacea Kunth, Aristida kenyensis Henr., Aristida longifolia Trin., Aristida meridionalis Henr., Aristida ramosa R. Br., Aristida rhiniochloa Hochst., Aristida scabrivalvis Hack., Aristida setacea Retz., Aristida sieberiana Trin. (=Aristida longiflora Schumach. & Thonn.), Aristida stipitata Hack., Aristida vestita Thunb., Aristida pungens Desf. (Stipagrostis)",A. longifolia: has non-Kranz leaf anatomy; Metcalfe (1960) lists broad surveys of the genus in the older literature.,
Aristida calycina var. filifolia,Aristida calycina var. filifolia,c4,Aristida L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards); Cerros-Tlatilpa & Columbus (2009),Aristida,"Aristida adscensionis L., Aristida aemulans Melderis, Aristida brainii Melderis, Aristida congesta Roem. & Schult., Aristida caput-medusae Domin, Aristida hordeacea Kunth, Aristida kenyensis Henr., Aristida longifolia Trin., Aristida meridionalis Henr., Aristida ramosa R. Br., Aristida rhiniochloa Hochst., Aristida scabrivalvis Hack., Aristida setacea Retz., Aristida sieberiana Trin. (=Aristida longiflora Schumach. & Thonn.), Aristida stipitata Hack., Aristida vestita Thunb., Aristida pungens Desf. (Stipagrostis)",A. longifolia: has non-Kranz leaf anatomy; Metcalfe (1960) lists broad surveys of the genus in the older literature.,
Aristida calycina var. praealta,Aristida calycina var. praealta,c4,Aristida L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards); Cerros-Tlatilpa & Columbus (2009),Aristida,"Aristida adscensionis L., Aristida aemulans Melderis, Aristida brainii Melderis, Aristida congesta Roem. & Schult., Aristida caput-medusae Domin, Aristida hordeacea Kunth, Aristida kenyensis Henr., Aristida longifolia Trin., Aristida meridionalis Henr., Aristida ramosa R. Br., Aristida rhiniochloa Hochst., Aristida scabrivalvis Hack., Aristida setacea Retz., Aristida sieberiana Trin. (=Aristida longiflora Schumach. & Thonn.), Aristida stipitata Hack., Aristida vestita Thunb., Aristida pungens Desf. (Stipagrostis)",A. longifolia: has non-Kranz leaf anatomy; Metcalfe (1960) lists broad surveys of the genus in the older literature.,
Aristida capillifolia,Aristida capillifolia,c4,Aristida L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards); Cerros-Tlatilpa & Columbus (2009),Aristida,"Aristida adscensionis L., Aristida aemulans Melderis, Aristida brainii Melderis, Aristida congesta Roem. & Schult., Aristida caput-medusae Domin, Aristida hordeacea Kunth, Aristida kenyensis Henr., Aristida longifolia Trin., Aristida meridionalis Henr., Aristida ramosa R. Br., Aristida rhiniochloa Hochst., Aristida scabrivalvis Hack., Aristida setacea Retz., Aristida sieberiana Trin. (=Aristida longiflora Schumach. & Thonn.), Aristida stipitata Hack., Aristida vestita Thunb., Aristida pungens Desf. (Stipagrostis)",A. longifolia: has non-Kranz leaf anatomy; Metcalfe (1960) lists broad surveys of the genus in the older literature.,
