Species,Modern/Historic,Date Collected,Latitude (deg min sec S/N),Longitude (deg min sec E/W),latitude (deg),longitude (deg),site,Germination %,Viability %,n,Dormant,Notes
Eucalyptus langleyi,Modern,05/11/17,34 55 50 S,150 28 23 E,-34.9306,150.4731,site_at_34.9306_S_and_150.4731_E,13,13,100,0,
Eucalyptus nichollii,Historic,04/22/86,30 32 00 S,151 49 00 E,-30.5333,151.8167,site_at_30.5333_S_and_151.8167_E,87,87,100,0,
Eucalyptus nichollii,Modern,01/12/17,30 28 52 S,152 17 34 E,-30.4811,152.2928,site_at_30.4811_S_and_152.2928_E,86,86,100,0,
Eucalyptus obliqua,Historic,03/01/86,42 17 00 S,147 52 00 E,-42.2833,147.8667,site_at_42.2833_S_and_147.8667_E,10,100,100,90,
Eucalyptus obliqua,Modern,01/24/18,42 18 51 S,147 54 06 E,-42.3142,147.9017,site_at_42.3142_S_and_147.9017_E,4,99,100,95,
Eucalyptus pauciflora,Historic,01/20/83,35 40 00 S,149 00 00 E,-35.6667,149,site_at_35.6667_S_and_149.0000_E,19,20,100,1,
Eucalyptus pauciflora,Modern,12/13/17,35 34 58 S,148 58 28 E,-35.5828,148.9744,site_at_35.5828_S_and_148.9744_E,40,40,100,0,
Gompholobium latifolium,Historic,12/18/83,33 29 00 S,150 38 00 E,-33.4833,150.6333,site_at_33.4833_S_and_150.6333_E,67,87,100,20,
Gompholobium latifolium,Modern,12/08/17,33 29 44 S,150 38 13 E,-33.4956,150.6369,site_at_33.4956_S_and_150.6369_E,95.65,97.83,92,2.18,
Grevillea mucronulata,Historic,11/20/86,33 27 50 S,150 43 30 E,-33.4639,150.725,site_at_33.4639_S_and_150.7250_E,20,20,5,0,
Grevillea mucronulata,Modern,10/24/17,33 27 23 S,150 43 05 E,-33.4564,150.7181,site_at_33.4564_S_and_150.7181_E,0,0,50,0,
Hovea lanceolata,Historic,11/22/84,29 06 00 S,151 42 00 E,-29.1,151.7,site_at_29.1000_S_and_151.7000_E,50,62,100,12,
Hovea lanceolata,Modern,11/01/08,29 05 36 S,151 46 51 E,-29.0933,151.7808,site_at_29.0933_S_and_151.7808_E,87,94,100,7,
Lasiopetalum behrii,Historic,11/27/85,32 59 00 S,134 29 00 E,-32.9833,134.4833,site_at_32.9833_S_and_134.4833_E,22.22,24.22,45,2,
Lasiopetalum behrii,Modern,11/01/14,33 27 50 S,150 43 30 E,-33.4639,150.725,site_at_33.4639_S_and_150.7250_E,41.25,47.5,80,6.25,
Melaleuca gibbosa,Historic,12/29/79,43 10 00 S,147 20 00 E,-43.1667,147.3333,site_at_43.1667_S_and_147.3333_E,6,,100,,Unsure of whether mushy or viable as the seeds were too small
Melaleuca gibbosa,Modern,01/18/18,43 18 17 S,147 17 47 E,-43.3047,147.2964,site_at_43.3047_S_and_147.2964_E,9,,100,,Unsure of whether mushy or viable as the seeds were too small
Melaleuca quinquenervia,Historic,10/21/78,31 30 00 S,152 50 00 E,-31.5,152.8333,site_at_31.5000_S_and_152.8333_E,7,,100,,Unsure of whether mushy or viable as the seeds were too small
Melaleuca quinquenervia,Modern,10/17/17,31 33 00 S,152 50 60 E,-31.55,152.85,site_at_31.5500_S_and_152.8500_E,19,,100,,Unsure of whether mushy or viable as the seeds were too small
Polycalymma stuartii,Historic,12/12/85,32 29 00 S,142 05 00 E,-32.4833,142.0833,site_at_32.4833_S_and_142.0833_E,0,0,100,0,
Polycalymma stuartii,Modern,08/29/17,33 37 12 S,143 09 45 E,-33.62,143.1625,site_at_33.6200_S_and_143.1625_E,51,51,100,0,
Senecio garlandii,Historic,11/26/84,35 16 30 S,147 04 30 E,-35.275,147.075,site_at_35.2750_S_and_147.0750_E,51,63,100,12,
Senecio garlandii,Modern,11/22/17,35 16 28 S,147 04 34 E,-35.2744,147.0761,site_at_35.2744_S_and_147.0761_E,64,86,100,22,
Vittadinia cuneata,Historic,12/18/86,35 20 00 S,149 10 00 E,-35.3333,149.1667,site_at_35.3333_S_and_149.1667_E,56.8,56.8,95,0,
Vittadinia cuneata,Modern,12/12/17,35 22 24 S,149 12 47 E,-35.3733,149.2131,site_at_35.3733_S_and_149.2131_E,74,74,100,0,
Xerochrysum viscosum,Historic,11/25/84,34 33 00 S,147 30 30 E,-34.55,147.5083,site_at_34.5500_S_and_147.5083_E,0,0,100,0,
Xerochrysum viscosum,Modern,11/25/17,34 27 18 S,147 41 42 E,-34.455,147.695,site_at_34.4550_S_and_147.6950_E,69,69,100,0,
