Species,Modern/Historic,Date Collected,Latitude (deg min sec S/N),Longitude (deg min sec E/W),latitude (deg),longitude (deg),site,Replicate,Seed Length (mm),Seed Width (mm),Seed Depth (mm) ,Length transformed,Width transformed,Depth transformed,Sum,Variance
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,3,4.77,3.32,1.64,1,0.696016771,0.343815514,9.73,0.071892179
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,4,4.64,2.97,1.73,1,0.640086207,0.372844828,9.34,0.066031056
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,5,5.98,2.77,1.44,1,0.463210702,0.240802676,10.19,0.101554295
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,6,5.3,2.95,1.59,1,0.556603774,0.3,9.84,0.083605079
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,7,5.3,3.32,1.65,1,0.626415094,0.311320755,10.27,0.079236581
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,8,5.47,2.6,1.94,1,0.475319927,0.354661792,10.01,0.078478774
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,9,5.4,3.15,1.8,1,0.583333333,0.333333333,10.35,0.075617284
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,10,5.05,2.62,1.84,1,0.518811881,0.364356436,9.51,0.073271248
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,11,5.62,3.13,1.52,1,0.556939502,0.270462633,10.27,0.090066263
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,12,5.41,3.15,1.48,1,0.582255083,0.273567468,10.04,0.088611454
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,13,4.86,2.79,1.66,1,0.574074074,0.341563786,9.31,0.074334686
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,14,5.15,3.29,1.31,1,0.638834951,0.254368932,9.75,0.092691111
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,15,5.11,2.62,1.77,1,0.512720157,0.346379648,9.5,0.076925597
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,16,5.77,2.64,1.59,1,0.457538995,0.275563258,10,0.094687523
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,17,5.2,3.1,1.6,1,0.596153846,0.307692308,9.9,0.080621302
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,18,5.13,2.66,1.63,1,0.518518519,0.317738791,9.42,0.081957475
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,19,5.46,3.14,1.5,1,0.575091575,0.274725275,10.1,0.088532279
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,20,4.84,2.78,1.52,1,0.574380165,0.314049587,9.14,0.079939136
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,21,4.28,3.18,1.73,1,0.742990654,0.404205607,9.19,0.059533341
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,22,5.35,3.3,1.57,1,0.61682243,0.293457944,10.22,0.083399035
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,23,4.45,2.84,1.6,1,0.638202247,0.359550562,8.89,0.068746651
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,24,4.55,2.96,1.89,1,0.650549451,0.415384615,9.4,0.057688148
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,25,5.66,3.01,1.55,1,0.53180212,0.27385159,10.22,0.090337694
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,26,5.55,3.15,1.56,1,0.567567568,0.281081081,10.26,0.087324081
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,27,5.08,2.93,1.28,1,0.576771654,0.251968504,9.29,0.093796715
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,28,5.22,2.83,1.76,1,0.542145594,0.337164751,9.81,0.076777597
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,29,5.84,2.82,1.3,1,0.482876712,0.22260274,9.96,0.104389504
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,30,4.23,2.8,1.29,1,0.661938534,0.304964539,8.32,0.080532253
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,31,5.14,2.87,1.9,1,0.558365759,0.369649805,9.91,0.06977732
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,32,6.16,3.1,1.98,1,0.503246753,0.321428571,11.24,0.082253425
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,33,5.06,2.75,1.36,1,0.543478261,0.268774704,9.17,0.09095162
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,34,4.04,3.05,1.61,1,0.754950495,0.398514851,8.7,0.060986668
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,35,5.36,2.084,1.62,1,0.38880597,0.302238806,9.064,0.096435856
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,36,4.59,2.4,1.31,1,0.522875817,0.28540305,8.3,0.088298845
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,37,5.02,3.06,1.59,1,0.609561753,0.316733068,9.67,0.078338263
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,38,4.45,3.07,1.43,1,0.68988764,0.321348315,8.95,0.076951002
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,39,4.53,3.09,1.53,1,0.682119205,0.337748344,9.15,0.073135194
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,40,5.11,3.13,1.55,1,0.612524462,0.30332681,9.79,0.081232668
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,41,5.33,3.13,2.07,1,0.587242026,0.38836773,10.53,0.064890463
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,42,4.75,3.12,1.45,1,0.656842105,0.305263158,9.32,0.080447153
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,43,4.18,3.19,1.63,1,0.763157895,0.389952153,9,0.063059454
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,44,5.02,2.88,1.6,1,0.573705179,0.3187251,9.5,0.078986401
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,45,4.71,2.92,1.62,1,0.619957537,0.343949045,9.25,0.072335091
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,46,5.41,3.18,1.45,1,0.58780037,0.268022181,10.04,0.089773128
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,47,4.4,2.52,1.13,1,0.572727273,0.256818182,8.05,0.092742195
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,48,3.77,2.91,1.33,1,0.771883289,0.352785146,8.01,0.071840839
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,49,3.75,3.1,1.8,1,0.826666667,0.48,8.65,0.046735802
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,50,5.53,2.58,1.51,1,0.466546112,0.273056058,9.62,0.094495439
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,1,3.89,2.7,1.06,1,0.694087404,0.272493573,7.65,0.088954386
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,2,4.12,2.75,1.02,1,0.667475728,0.247572816,7.89,0.094781946
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,3,4.83,2.86,1.24,1,0.592132505,0.256728778,8.93,0.092367074
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,4,4.87,3.21,1.32,1,0.659137577,0.271047228,9.4,0.088685939
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,5,4.84,2.88,1.05,1,0.595041322,0.216942149,8.77,0.102236679
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,6,5.22,3.32,1.35,1,0.636015326,0.25862069,9.89,0.091617204
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,7,4.96,3.41,1.05,1,0.6875,0.211693548,9.42,0.105052788
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,8,4.6,2.91,1.34,1,0.632608696,0.291304348,8.85,0.083746062
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,9,4.49,2.83,1.34,1,0.630289532,0.29844098,8.66,0.082110483
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,10,4.3,2.59,1.28,1,0.602325581,0.297674419,8.17,0.082690944
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,11,4.58,3.05,1.26,1,0.665938865,0.27510917,8.89,0.087756823
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,12,4.19,2.77,1.36,1,0.661097852,0.324582339,8.32,0.076031819
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,13,4.58,2.95,1.25,1,0.644104803,0.272925764,8.78,0.088119135
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,14,4.79,2.81,1.41,1,0.586638831,0.294363257,9.01,0.083801742
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,15,3.79,2.54,1.15,1,0.670184697,0.303430079,7.48,0.080944082
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,16,3.57,2.38,0.97,1,0.666666667,0.271708683,6.92,0.088612351
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,17,4.27,2.85,1.24,1,0.667447307,0.290398126,8.36,0.084032466
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,18,4.82,3.24,1.11,1,0.67219917,0.230290456,9.17,0.099465497
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,19,4.93,3.33,1.44,1,0.675456389,0.292089249,9.7,0.083715172
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,20,4.71,3.13,1.09,1,0.664543524,0.231422505,8.93,0.098981803
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,21,4.54,3.57,1.36,1,0.786343612,0.299559471,9.47,0.085913865
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,22,4.6,2.79,1.29,1,0.606521739,0.280434783,8.68,0.086547994
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,23,4.9,2.65,1.37,1,0.540816327,0.279591837,8.92,0.088675089
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,24,4.49,2.98,1.3,1,0.663697105,0.289532294,8.77,0.084207034
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,25,4.53,2.97,1.34,1,0.655629139,0.29580574,8.84,0.082661525
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,26,3.55,2.73,1.1,1,0.769014085,0.309859155,7.38,0.082274681
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,27,5.32,3.47,1.22,1,0.652255639,0.229323308,10.01,0.099304496
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,28,4.82,3.15,1.22,1,0.653526971,0.253112033,9.19,0.093135257
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,29,4.88,2.89,1.36,1,0.592213115,0.278688525,9.13,0.087208673
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,30,4.91,3.12,1.31,1,0.635437882,0.266802444,9.34,0.089597364
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,31,4.38,3.16,1.43,1,0.721461187,0.326484018,8.97,0.076357179
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,32,4.67,3.8,1.39,1,0.813704497,0.29764454,9.86,0.088258565
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,33,4.43,3.01,1.3,1,0.679458239,0.293453725,8.74,0.083439349
