Species,Modern/Historic,Date Collected,Latitude (deg min sec S/N),Longitude (deg min sec E/W),latitude (deg),longitude (deg),site,Plant label number,Leaf area (cm2),Leaf area (m2),Leaf mass (g),LMA (g/m2)
Acacia baileyana,Modern,11/24/2017,34 33 22 S,147 43 49 E,-34.5561,147.7303,site_at_34.5561_S_and_147.7303_E,40,0.358,3.58E-05,0.0015,41.89944134
Acacia baileyana,Modern,11/24/2017,34 33 22 S,147 43 49 E,-34.5561,147.7303,site_at_34.5561_S_and_147.7303_E,5,0.322,3.22E-05,8.00E-04,24.8447205
Acacia baileyana,Modern,11/24/2017,34 33 22 S,147 43 49 E,-34.5561,147.7303,site_at_34.5561_S_and_147.7303_E,6,0.39,3.90E-05,8.00E-04,20.51282051
Acacia baileyana,Modern,11/24/2017,34 33 22 S,147 43 49 E,-34.5561,147.7303,site_at_34.5561_S_and_147.7303_E,7,0.311,3.11E-05,7.00E-04,22.50803859
Acacia baileyana,Modern,11/24/2017,34 33 22 S,147 43 49 E,-34.5561,147.7303,site_at_34.5561_S_and_147.7303_E,9,0.26,2.60E-05,6.00E-04,23.07692308
Acacia brachybotrya,Historic,11/27/1985,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,10,12.93,0.001293,0.0548,42.38205723
Acacia brachybotrya,Historic,11/27/1985,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,13,11.06,0.001106,0.0455,41.13924051
Acacia brachybotrya,Historic,11/27/1985,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,14,12.036,0.0012036,0.0528,43.86839482
Acacia brachybotrya,Historic,11/27/1985,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,18,11.861,0.0011861,0.0417,35.15723801
Acacia brachybotrya,Historic,11/27/1985,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,2,15.536,0.0015536,0.0637,41.0015448
Acacia brachybotrya,Historic,11/27/1985,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,22,8.769,0.0008769,0.0388,44.24677842
Acacia brachybotrya,Historic,11/27/1985,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,23,7.721,0.0007721,0.0459,59.448258
Acacia brachybotrya,Historic,11/27/1985,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,24,10.057,0.0010057,0.0407,40.46932485
Acacia brachybotrya,Historic,11/27/1985,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,25,10.734,0.0010734,0.0407,37.91689957
Acacia brachybotrya,Historic,11/27/1985,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,27,13.49,0.001349,0.0717,53.15048184
Acacia brachybotrya,Historic,11/27/1985,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,29,13.227,0.0013227,0.0671,50.72956831
Acacia brachybotrya,Historic,11/27/1985,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,3,10.672,0.0010672,0.0534,50.03748126
Acacia brachybotrya,Historic,11/27/1985,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,31,15.581,0.0015581,0.0691,44.34888646
Acacia brachybotrya,Historic,11/27/1985,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,33,11.335,0.0011335,0.055,48.52227614
Acacia brachybotrya,Historic,11/27/1985,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,34,13.457,0.0013457,0.0423,31.43345471
Acacia brachybotrya,Historic,11/27/1985,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,36,7.767,0.0007767,0.049,63.08742114
Acacia brachybotrya,Historic,11/27/1985,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,4,12.579,0.0012579,0.066,52.46839971
Acacia brachybotrya,Historic,11/27/1985,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,40,15.88,0.001588,0.0895,56.36020151
Acacia brachybotrya,Historic,11/27/1985,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,7,14.905,0.0014905,0.066,44.2804428
Acacia brachybotrya,Historic,11/27/1985,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,9,10.691,0.0010691,0.0743,69.49770835
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,14,12.24,0.001224,0.0691,56.45424837
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,15,15.908,0.0015908,0.0664,41.74000503
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,16,12.658,0.0012658,0.0423,33.41760152
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,17,13.579,0.0013579,0.0542,39.91457397
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,19,11.077,0.0011077,0.0499,45.04829828
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,20,6.855,0.0006855,0.0345,50.32822757
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,22,7.298,0.0007298,0.03,41.10715264
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,28,9.092,0.0009092,0.0413,45.42454905
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,29,11.401,0.0011401,0.0655,57.45110078
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,3,18.857,0.0018857,0.0901,47.78066501
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,32,13.095,0.0013095,0.0564,43.069874
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,33,11.453,0.0011453,0.0544,47.49847202
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,34,10.767,0.0010767,0.0396,36.77904709
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,35,12.034,0.0012034,0.0579,48.11367791
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,36,9.653,0.0009653,0.0466,48.27514762
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,37,10.919,0.0010919,0.0556,50.92041396
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,4,11.485,0.0011485,0.0431,37.5272094
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,6,9.037,0.0009037,0.034,37.62310501
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,7,18.185,0.0018185,0.0645,35.46879296
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,8,9.395,0.0009395,0.0376,40.02128792
Acacia chinchillensis,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,12,0.174,1.74E-05,0.00054,31.03448276
Acacia chinchillensis,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,15,0.194,1.94E-05,0.00022,11.34020619
Acacia chinchillensis,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,16,0.194,1.94E-05,0.00014,7.216494845
Acacia chinchillensis,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,17,0.267,2.67E-05,0.00084,31.46067416
Acacia chinchillensis,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,18,0.178,1.78E-05,0.00034,19.1011236
Acacia chinchillensis,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,19,0.331,3.31E-05,0.00023,6.948640483
Acacia chinchillensis,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,20,0.121,1.21E-05,0.00013,10.74380165
Acacia chinchillensis,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,23,0.163,1.63E-05,0.00017,10.42944785
Acacia chinchillensis,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,25,0.163,1.63E-05,0.00046,28.2208589
Acacia chinchillensis,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,26,0.38,3.80E-05,0.00082,21.57894737
Acacia chinchillensis,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,29,0.166,1.66E-05,0.00052,31.3253012
Acacia chinchillensis,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,3,0.305,3.05E-05,0.00031,10.16393443
Acacia chinchillensis,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,31,0.137,1.37E-05,0.00016,11.67883212
Acacia chinchillensis,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,33,0.181,1.81E-05,0.00024,13.25966851
Acacia chinchillensis,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,34,0.233,2.33E-05,0.00057,24.46351931
Acacia chinchillensis,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,5,0.2,2.00E-05,0.00038,19
Acacia chinchillensis,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,7,0.174,1.74E-05,0.00017,9.770114943
Acacia chinchillensis,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,10,0.165,1.65E-05,0.00029,17.57575758
Acacia chinchillensis,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,16,0.329,3.29E-05,0.00093,28.2674772
Acacia chinchillensis,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,18,0.158,1.58E-05,0.00017,10.75949367
Acacia chinchillensis,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,19,0.18,1.80E-05,0.00055,30.55555556
Acacia chinchillensis,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,20,0.087,8.70E-06,NA,NA
Acacia chinchillensis,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,21,0.149,1.49E-05,8.00E-05,5.369127517
Acacia chinchillensis,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,22,0.331,3.31E-05,0.00088,26.58610272
Acacia chinchillensis,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,24,0.374,3.74E-05,0.00138,36.89839572
Acacia chinchillensis,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,31,0.173,1.73E-05,3.00E-04,17.34104046
Acacia chinchillensis,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,33,0.11,1.10E-05,9.00E-05,8.181818182
Acacia chinchillensis,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,34,0.229,2.29E-05,7.00E-04,30.56768559
Acacia chinchillensis,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,36,0.234,2.34E-05,0.00045,19.23076923
Acacia chinchillensis,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,39,0.28,2.80E-05,0.00069,24.64285714
Acacia chinchillensis,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,40,0.225,2.25E-05,5.00E-04,22.22222222
Acacia chinchillensis,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,5,0.336,3.36E-05,0.00081,24.10714286
