Species,Modern/Historic,Date Collected,Latitude (deg min sec S/N),Longitude (deg min sec E/W),latitude (deg),longitude (deg),site,Replicate,Mass (g),Number of seeds weighed per replicate
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,34,0.0184,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,35,0.0146,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,36,0.0162,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,37,0.0121,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,38,0.0195,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,39,0.0145,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,40,0.02,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,41,0.0232,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,42,0.0203,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,43,0.0204,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,44,0.0228,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,45,0.0216,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,46,0.0198,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,47,0.0161,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,48,0.0234,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,49,0.0206,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,50,0.0175,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,1,0.022,1
