Species,Modern/Historic,Date Collected,Latitude (deg min sec S/N),Longitude (deg min sec E/W),latitude (deg),longitude (deg),site,Plant label number,Volume of Stem (mL),Mass of dried stem (g),Stem Density (g/mL)
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,4,0.2381,0.0754,0.316673667
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,9,0.2191,0.0749,0.341853035
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,10,0.1174,0.0338,0.2879046
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,12,0.1591,0.0466,0.292897549
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,1,0.0959,0.0267,0.278415016
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,22,0.2015,0.0634,0.314640199
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,16,0.1721,0.053,0.307960488
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,17,0.0546,0.0182,0.333333333
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,7,0.0347,0.0099,0.285302594
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,20,0.1623,0.0477,0.293900185
Acacia aspera,Historic,11/24/1984,34 33 00 S,147 43 00 E,-34.55,147.7167,site_at_34.5500_S_and_147.7167_E,5,0.0861,0.0292,0.339140534
Acacia aspera,Historic,11/24/1984,34 33 00 S,147 43 00 E,-34.55,147.7167,site_at_34.5500_S_and_147.7167_E,2,0.0373,0.0106,0.284182306
Acacia aspera,Historic,11/24/1984,34 33 00 S,147 43 00 E,-34.55,147.7167,site_at_34.5500_S_and_147.7167_E,6,0.0422,0.0163,0.386255924
Acacia aspera,Historic,11/24/1984,34 33 00 S,147 43 00 E,-34.55,147.7167,site_at_34.5500_S_and_147.7167_E,7,0.1173,0.0479,0.408354646
Acacia aspera,Historic,11/24/1984,34 33 00 S,147 43 00 E,-34.55,147.7167,site_at_34.5500_S_and_147.7167_E,1,0.0339,0.0051,0.150442478
Acacia aspera,Modern,11/24/1984,34 33 00 S,147 43 00 E,-34.55,147.7167,site_at_34.5500_S_and_147.7167_E,8,0.0137,0.0062,0.452554745
Acacia aspera,Modern,11/24/2017,34 32 38 S,147 43 49 E,-34.5439,147.7303,site_at_34.5439_S_and_147.7303_E,7,0.027,0.0101,0.374074074
Acacia aspera,Modern,11/24/2017,34 32 38 S,147 43 49 E,-34.5439,147.7303,site_at_34.5439_S_and_147.7303_E,9,0.017,0.0107,0.629411765
Acacia aspera,Modern,11/24/2017,34 32 38 S,147 43 49 E,-34.5439,147.7303,site_at_34.5439_S_and_147.7303_E,3,0.0214,0.0054,0.252336449
Acacia baileyana,Historic,11/24/1984,34 33 30 S,147 44 00 E,-34.5583,147.7333,site_at_34.5583_S_and_147.7333_E,8,0.4483,0.2057,0.458844524
Acacia baileyana,Historic,11/24/1984,34 33 30 S,147 44 00 E,-34.5583,147.7333,site_at_34.5583_S_and_147.7333_E,29,0.6131,0.2796,0.45604306
Acacia baileyana,Historic,11/24/1984,34 33 30 S,147 44 00 E,-34.5583,147.7333,site_at_34.5583_S_and_147.7333_E,11,0.5021,0.2125,0.423222466
Acacia baileyana,Historic,11/24/1984,34 33 30 S,147 44 00 E,-34.5583,147.7333,site_at_34.5583_S_and_147.7333_E,19,0.507,0.2327,0.458974359
Acacia baileyana,Historic,11/24/1984,34 33 30 S,147 44 00 E,-34.5583,147.7333,site_at_34.5583_S_and_147.7333_E,23,0.4414,0.1816,0.411418215
Acacia baileyana,Historic,11/24/1984,34 33 30 S,147 44 00 E,-34.5583,147.7333,site_at_34.5583_S_and_147.7333_E,16,0.3383,0.1268,0.374815253
Acacia baileyana,Historic,11/24/1984,34 33 30 S,147 44 00 E,-34.5583,147.7333,site_at_34.5583_S_and_147.7333_E,28,0.3937,0.1991,0.505715011
Acacia baileyana,Historic,11/24/1984,34 33 30 S,147 44 00 E,-34.5583,147.7333,site_at_34.5583_S_and_147.7333_E,30,0.2935,0.1311,0.446678024
Acacia baileyana,Historic,11/24/1984,34 33 30 S,147 44 00 E,-34.5583,147.7333,site_at_34.5583_S_and_147.7333_E,8,0.9082,0.3265,0.359502312
Acacia baileyana,Historic,11/24/1984,34 33 30 S,147 44 00 E,-34.5583,147.7333,site_at_34.5583_S_and_147.7333_E,20,0.2693,0.1172,0.435202377
Acacia baileyana,Historic,11/24/1984,34 33 30 S,147 44 00 E,-34.5583,147.7333,site_at_34.5583_S_and_147.7333_E,9,0.2996,0.1502,0.501335113
Acacia baileyana,Historic,11/24/1984,34 33 30 S,147 44 00 E,-34.5583,147.7333,site_at_34.5583_S_and_147.7333_E,33,0.4833,0.1832,0.379060625
Acacia baileyana,Historic,11/24/1984,34 33 30 S,147 44 00 E,-34.5583,147.7333,site_at_34.5583_S_and_147.7333_E,7,0.4271,0.2071,0.48489815
Acacia baileyana,Historic,11/24/1984,34 33 30 S,147 44 00 E,-34.5583,147.7333,site_at_34.5583_S_and_147.7333_E,25,0.3882,0.189,0.486862442
Acacia baileyana,Historic,11/24/1984,34 33 30 S,147 44 00 E,-34.5583,147.7333,site_at_34.5583_S_and_147.7333_E,21,0.3762,0.1636,0.434875066
Acacia baileyana,Historic,11/24/1984,34 33 30 S,147 44 00 E,-34.5583,147.7333,site_at_34.5583_S_and_147.7333_E,12,0.4291,0.2105,0.490561641
Acacia baileyana,Historic,11/24/1984,34 33 30 S,147 44 00 E,-34.5583,147.7333,site_at_34.5583_S_and_147.7333_E,13,0.2752,0.1375,0.499636628
Acacia baileyana,Historic,11/24/1984,34 33 30 S,147 44 00 E,-34.5583,147.7333,site_at_34.5583_S_and_147.7333_E,6,0.2342,0.0981,0.418872758
Acacia baileyana,Historic,11/24/1984,34 33 30 S,147 44 00 E,-34.5583,147.7333,site_at_34.5583_S_and_147.7333_E,32,0.433,0.2371,0.547575058
Acacia baileyana,Modern,11/24/2017,34 33 22 S,147 43 49 E,-34.5561,147.7303,site_at_34.5561_S_and_147.7303_E,9,0.3621,0.1934,0.5341066
Acacia baileyana,Modern,11/24/2017,34 33 22 S,147 43 49 E,-34.5561,147.7303,site_at_34.5561_S_and_147.7303_E,18,0.4047,0.1923,0.47516679
Acacia baileyana,Modern,11/24/2017,34 33 22 S,147 43 49 E,-34.5561,147.7303,site_at_34.5561_S_and_147.7303_E,4,0.3364,0.1578,0.469084423
Acacia baileyana,Modern,11/24/2017,34 33 22 S,147 43 49 E,-34.5561,147.7303,site_at_34.5561_S_and_147.7303_E,40,0.3564,0.1931,0.541806958
Acacia baileyana,Modern,11/24/2017,34 33 22 S,147 43 49 E,-34.5561,147.7303,site_at_34.5561_S_and_147.7303_E,10,0.281,0.156,0.555160142
Acacia baileyana,Modern,11/24/2017,34 33 22 S,147 43 49 E,-34.5561,147.7303,site_at_34.5561_S_and_147.7303_E,32,0.4289,0.2255,0.525763581
Acacia baileyana,Modern,11/24/2017,34 33 22 S,147 43 49 E,-34.5561,147.7303,site_at_34.5561_S_and_147.7303_E,29,0.4601,0.1844,0.400782439
Acacia baileyana,Modern,11/24/2017,34 33 22 S,147 43 49 E,-34.5561,147.7303,site_at_34.5561_S_and_147.7303_E,24,0.4072,0.2013,0.49435167
Acacia baileyana,Modern,11/24/2017,34 33 22 S,147 43 49 E,-34.5561,147.7303,site_at_34.5561_S_and_147.7303_E,30,0.2036,0.1012,0.497053045
Acacia baileyana,Modern,11/24/2017,34 33 22 S,147 43 49 E,-34.5561,147.7303,site_at_34.5561_S_and_147.7303_E,7,0.5862,0.2674,0.456158308
Acacia baileyana,Modern,11/24/2017,34 33 22 S,147 43 49 E,-34.5561,147.7303,site_at_34.5561_S_and_147.7303_E,5,0.5651,0.2191,0.387718988
Acacia baileyana,Modern,11/24/2017,34 33 22 S,147 43 49 E,-34.5561,147.7303,site_at_34.5561_S_and_147.7303_E,16,0.4612,0.1729,0.374891587
Acacia baileyana,Modern,11/24/2017,34 33 22 S,147 43 49 E,-34.5561,147.7303,site_at_34.5561_S_and_147.7303_E,36,0.2992,0.1271,0.424799465
Acacia baileyana,Modern,11/24/2017,34 33 22 S,147 43 49 E,-34.5561,147.7303,site_at_34.5561_S_and_147.7303_E,37,0.6156,0.2864,0.465237167
Acacia baileyana,Modern,11/24/2017,34 33 22 S,147 43 49 E,-34.5561,147.7303,site_at_34.5561_S_and_147.7303_E,1,0.46,0.2043,0.444130435
Acacia baileyana,Modern,11/24/2017,34 33 22 S,147 43 49 E,-34.5561,147.7303,site_at_34.5561_S_and_147.7303_E,6,0.1312,0.0482,0.367378049
Acacia baileyana,Modern,11/24/2017,34 33 22 S,147 43 49 E,-34.5561,147.7303,site_at_34.5561_S_and_147.7303_E,2,0.2621,0.1263,0.481877146
Acacia baileyana,Modern,11/24/2017,34 33 22 S,147 43 49 E,-34.5561,147.7303,site_at_34.5561_S_and_147.7303_E,12,0.5684,0.2826,0.497185081
Acacia baileyana,Modern,11/24/2017,34 33 22 S,147 43 49 E,-34.5561,147.7303,site_at_34.5561_S_and_147.7303_E,35,0.3287,0.1506,0.458168543
Acacia baileyana,Modern,11/24/2017,34 33 22 S,147 43 49 E,-34.5561,147.7303,site_at_34.5561_S_and_147.7303_E,14,0.4104,0.2468,0.601364522
Acacia baileyana,Modern,11/24/2017,34 33 22 S,147 43 49 E,-34.5561,147.7303,site_at_34.5561_S_and_147.7303_E,13,0.3521,0.1481,0.420619142
Acacia brachybotrya,Historic,11/27/1985,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,3,0.3205,0.1341,0.418408736
Acacia brachybotrya,Historic,11/27/1985,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,24,0.0989,0.0366,0.370070779
Acacia brachybotrya,Historic,11/27/1985,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,7,0.3276,0.122,0.372405372
Acacia brachybotrya,Historic,11/27/1985,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,18,0.0839,0.0227,0.270560191
Acacia brachybotrya,Historic,11/27/1985,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,13,0.2534,0.0905,0.357142857
Acacia brachybotrya,Historic,11/27/1985,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,31,0.1674,0.0627,0.374551971
Acacia brachybotrya,Historic,11/27/1985,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,23,0.0389,0.0139,0.357326478
Acacia brachybotrya,Historic,11/27/1985,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,29,0.2023,0.0732,0.361838853
Acacia brachybotrya,Historic,11/27/1985,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,27,0.2863,0.1037,0.362207475
Acacia brachybotrya,Historic,11/27/1985,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,25,0.072,0.0245,0.340277778
Acacia brachybotrya,Historic,11/27/1985,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,9,0.3514,0.1745,0.496585088
Acacia brachybotrya,Historic,11/27/1985,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,10,0.229,0.079,0.344978166
Acacia brachybotrya,Historic,11/27/1985,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,4,0.2555,0.1025,0.401174168
Acacia brachybotrya,Historic,11/27/1985,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,22,0.051,0.0224,0.439215686
Acacia brachybotrya,Historic,11/27/1985,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,36,0.1936,0.0842,0.434917355
Acacia brachybotrya,Historic,11/27/1985,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,14,0.3474,0.1312,0.377662637
Acacia brachybotrya,Historic,11/27/1985,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,34,0.0854,0.0329,0.385245902
Acacia brachybotrya,Historic,11/27/1985,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,33,0.2784,0.11,0.395114943
Acacia brachybotrya,Historic,11/27/1985,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,2,0.1403,0.0486,0.34640057
Acacia brachybotrya,Historic,11/27/1985,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,40,0.282,0.1173,0.415957447
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,33,0.1112,0.0344,0.309352518
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,29,0.0695,0.024,0.345323741
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,35,0.4123,0.1699,0.412078584
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,20,0.2954,0.1069,0.361882194
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,14,0.3966,0.1508,0.380231972
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,3,0.2325,0.0807,0.347096774
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,6,0.1852,0.0616,0.332613391
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,16,0.1138,0.0432,0.379613357
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,8,0.2442,0.0832,0.340704341
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,7,0.0882,0.0364,0.412698413
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,36,0.1866,0.0669,0.3585209
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,32,0.0854,0.0315,0.368852459
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,37,0.2928,0.1216,0.415300546
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,19,0.3707,0.1397,0.376854599
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,15,0.4201,0.1599,0.380623661
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,17,0.1472,0.0467,0.317255435
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,22,0.0177,0.0064,0.361581921
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,28,0.0274,0.0121,0.441605839
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,4,0.1677,0.0544,0.32438879
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,34,0.1008,0.0389,0.385912698
Acacia chinchillensis,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,23,0.019,0.005,0.263157895
Acacia chinchillensis,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,3,0.0881,0.0315,0.357548241
Acacia chinchillensis,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,18,0.0042,0.0043,1.023809524
Acacia chinchillensis,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,17,0.0511,0.0184,0.360078278
Acacia chinchillensis,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,31,0.0223,0.0091,0.408071749
Acacia chinchillensis,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,19,0.0375,0.0133,0.354666667
Acacia chinchillensis,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,29,0.1807,0.066,0.365246265
Acacia chinchillensis,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,36,0.0169,0.0047,0.278106509
Acacia chinchillensis,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,34,0.0355,0.0147,0.414084507
Acacia chinchillensis,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,12,0.0175,0.0063,0.36
Acacia chinchillensis,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,5,0.0615,0.0188,0.305691057
Acacia chinchillensis,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,33,0.0235,0.009,0.382978723
Acacia chinchillensis,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,16,0.0344,0.0099,0.287790698
Acacia chinchillensis,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,26,0.0476,0.0158,0.331932773
Acacia chinchillensis,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,25,0.0376,0.014,0.372340426
Acacia chinchillensis,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,15,0.063,0.0262,0.415873016
Acacia chinchillensis,Historic ,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,20,0.0147,0.0071,0.482993197
Acacia chinchillensis,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,9,0.119,0.0416,0.349579832
Acacia chinchillensis,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,20,0.0155,0.0073,0.470967742
Acacia chinchillensis,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,27,0.0129,0.0042,0.325581395
Acacia chinchillensis,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,8,0.0586,0.0189,0.322525597
Acacia chinchillensis,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,34,0.0126,0.0046,0.365079365
Acacia chinchillensis,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,19,0.0324,0.0149,0.459876543
Acacia chinchillensis,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,18,0.0189,0.0089,0.470899471
Acacia chinchillensis,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,16,0.0593,0.0196,0.330522766
Acacia chinchillensis,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,40,0.0282,0.0133,0.471631206
Acacia chinchillensis,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,36,0.045,0.0135,0.3
Acacia chinchillensis,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,24,0.0314,0.0115,0.366242038
Acacia chinchillensis,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,22,0.049,0.0167,0.340816327
Acacia chinchillensis,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,10,0.0426,0.0137,0.321596244
Acacia chinchillensis,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,39,0.0331,0.0098,0.296072508
Acacia chinchillensis,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,5,0.0915,0.0302,0.330054645
Acacia concurrens,Historic,11/25/1984,27 32 00 S,152 08 00 E,-27.5333,152.1333,site_at_27.5333_S_and_152.1333_E,33,0.2489,0.0638,0.256327843
Acacia concurrens,Historic,11/25/1984,27 32 00 S,152 08 00 E,-27.5333,152.1333,site_at_27.5333_S_and_152.1333_E,34,0.1325,0.0263,0.198490566
Acacia concurrens,Historic,11/25/1984,27 32 00 S,152 08 00 E,-27.5333,152.1333,site_at_27.5333_S_and_152.1333_E,24,0.3541,0.1021,0.288336628
Acacia concurrens,Historic,11/25/1984,27 32 00 S,152 08 00 E,-27.5333,152.1333,site_at_27.5333_S_and_152.1333_E,27,0.3197,0.0842,0.263371911
Acacia concurrens,Historic,11/25/1984,27 32 00 S,152 08 00 E,-27.5333,152.1333,site_at_27.5333_S_and_152.1333_E,1,0.2169,0.0499,0.230059935
Acacia concurrens,Historic,11/25/1984,27 32 00 S,152 08 00 E,-27.5333,152.1333,site_at_27.5333_S_and_152.1333_E,36,0.0681,0.0144,0.211453744
Acacia concurrens,Historic,11/25/1984,27 32 00 S,152 08 00 E,-27.5333,152.1333,site_at_27.5333_S_and_152.1333_E,37,0.298,0.0774,0.259731544
Acacia concurrens,Historic,11/25/1984,27 32 00 S,152 08 00 E,-27.5333,152.1333,site_at_27.5333_S_and_152.1333_E,9,0.1073,0.0258,0.240447344
Acacia concurrens,Historic,11/25/1984,27 32 00 S,152 08 00 E,-27.5333,152.1333,site_at_27.5333_S_and_152.1333_E,30,0.2077,0.0543,0.261434762
