veg,spp,sppcode,SLA(cm2/g),H2O(%),thick(mm),size(mm2),FF(N),Tough(N/m),%Lignin,%Hemicell,%Cellulose,%Holocellulose,Lignin (g cm-2),mf_holo,mf_lignin,mf_hemi,mf_cellu,totStrucPoly,lgSLA,lgH2O,lgthick,lgsize,lgFF,lgTough,lgLignin,lgHemiC,lgCellulose,lgHoloC,lgLignin_a
Dry,Hemigenia purpurea,Hempur,59.3,59.55,0.8,7.98,0.09,113,16.6,3.9,5.9,9.8,0.0028,0.37,0.63,0.15,0.22,26.4,1.773,1.775,-0.097,0.902,-1.046,2.051,1.220,0.591,0.771,0.991,-2.553
Dry,Hibbertia monogyna,Hibmon,73.6,60.1,0.36,47.6,0.13,361,13.3,10.6,7.8,18.4,0.0018,0.58,0.42,0.33,0.25,31.7,1.867,1.779,-0.444,1.678,-0.886,2.558,1.124,1.025,0.892,1.265,-2.743
Dry,Isopogon anethifolius,Isoane,,,,,,,18.9,10.9,18.4,29.3,,0.61,0.39,0.23,0.38,48.2,,,,,,,1.276,1.037,1.265,1.467,
Dry,Leptospermum trinervium,Leptri,65.15,47.75,0.37,27.75,0.445,1203,20.7,8.5,12.7,21.2,0.0032,0.51,0.49,0.20,0.30,41.9,1.814,1.679,-0.432,1.443,-0.352,3.080,1.316,0.929,1.104,1.326,-2.498
Dry,Leucopogon microphyllus,Leumic,72.95,41.4,0.31,2.64,0.37,1194,15.6,8.8,15.1,23.9,0.0021,0.61,0.39,0.22,0.38,39.5,1.863,1.617,-0.509,0.422,-0.432,3.077,1.193,0.944,1.179,1.378,-2.670
Dry,Patersonia glabrata,Patgla,42.1,49.75,0.685,858.5,2.155,3146,10.8,23.1,31,54.1,0.0026,0.83,0.17,0.36,0.48,64.9,1.624,1.697,-0.164,2.934,0.333,3.498,1.033,1.364,1.491,1.733,-2.591
Dry,Patysace linearifolia,Patlin,57.3,53.4,0.6,9.5,0.1,167,17.7,9.8,6.6,16.4,0.0031,0.48,0.52,0.29,0.19,34.1,1.758,1.728,-0.222,0.978,-1.000,2.222,1.248,0.991,0.820,1.215,-2.510
Dry,Persoonia lanceolata,Perlan,47,57.85,0.6,702,0.975,1625,13.3,6.1,13.2,19.3,0.0028,0.59,0.41,0.19,0.40,32.6,1.672,1.762,-0.222,2.846,-0.011,3.211,1.124,0.785,1.121,1.286,-2.548
Dry,Pultenaea elliptica,Pulell,102.3,54.2,0.3,18.1,0.17,567,20.6,13.1,11,24.1,0.0020,0.54,0.46,0.29,0.25,44.7,2.010,1.734,-0.523,1.258,-0.770,2.753,1.314,1.117,1.041,1.382,-2.696
Wet,Acacia floribunda,Acaflo,99.5,43.2,0.29,182.7,0.27,931,20.5,9,13.1,22.1,0.0021,0.52,0.48,0.21,0.31,42.60,1.998,1.635,-0.538,2.262,-0.569,2.969,1.312,0.954,1.117,1.344,-2.686
Wet,Acmena smithii,Acmsmi,143.9,63.1,0.3,3734,0.4,1333,17.4,12.3,22.2,34.5,0.0012,0.66,0.34,0.24,0.43,51.90,2.158,1.800,-0.523,3.572,-0.398,3.125,1.241,1.090,1.346,1.538,-2.918
Wet,Allocasuarina torulosa,Alltor,,,,,,,15.9,11.6,25.2,36.8,,0.70,0.30,0.22,0.48,52.70,,,,,,,1.201,1.064,1.401,1.566,
Wet,Blechnum cartilagineum,Blecar,130.4,64.5,0.2,24288,0.3,1500,6.6,11.8,25.3,37.1,0.0005,0.85,0.15,0.27,0.58,43.70,2.115,1.810,-0.699,4.385,-0.523,3.176,0.820,1.072,1.403,1.569,-3.296
Wet,Breynia oblongifolia,Breobl,101.5,27.5,0.2,330.2,0.1,500,25.1,5.6,10.4,16,0.0025,0.39,0.61,0.14,0.25,41.10,2.006,1.439,-0.699,2.519,-1.000,2.699,1.400,0.748,1.017,1.204,-2.607
Wet,Bursaria spinosa,Burspi,,,,,,,10.1,10.7,8.2,18.9,,0.65,0.35,0.37,0.28,29.00,,,,,,,1.004,1.029,0.914,1.276,
Wet,Ceratopetalum apetalum,Cerape,123.6,66.59,0.28,4597,0.49,1750,16.4,10.7,24.6,35.3,0.0013,0.68,0.32,0.21,0.48,51.70,2.092,1.823,-0.553,3.662,-0.310,3.243,1.215,1.029,1.391,1.548,-2.877
Wet,Cissus hypoglauca,Cishyp,121.6,64.8,0.26,1805,0.32,1231,11.3,11.1,19.3,30.4,0.0009,0.73,0.27,0.27,0.46,41.70,2.085,1.812,-0.585,3.256,-0.495,3.090,1.053,1.045,1.286,1.483,-3.032
Wet,Diospyros australis,Dioaus,87.5,60.2,0.3,2599,0.5,1667,17,5.3,12.4,17.7,0.0019,0.51,0.49,0.15,0.36,34.70,1.942,1.780,-0.523,3.415,-0.301,3.222,1.230,0.724,1.093,1.248,-2.712
Wet,Doryphora sassafrass,Dorsas,143,69.6,0.3,4619,0.5,1667,11.8,11.9,23.5,35.4,0.0008,0.75,0.25,0.25,0.50,47.20,2.155,1.843,-0.523,3.665,-0.301,3.222,1.072,1.076,1.371,1.549,-3.083
Wet,Gymnostachys anceps,Gymanc,51.8,64.2,0.5,15407,3.05,6100,6.2,13.1,38.2,51.3,0.0012,0.89,0.11,0.23,0.66,57.50,1.714,1.808,-0.301,4.188,0.484,3.785,0.792,1.117,1.582,1.710,-2.922
Wet,Hibbertia dentata,Hibden,127.1,73.9,0.45,859,0.32,711,15.7,17.8,16,33.8,0.0012,0.68,0.32,0.36,0.32,49.50,2.104,1.869,-0.347,2.934,-0.495,2.852,1.196,1.250,1.204,1.529,-2.908
Wet,Lepidosperma laterale,Leplat,44.1,50.5,0.7,11476,3.8,5429,4.7,27.2,37.1,64.3,0.0011,0.93,0.07,0.39,0.54,69.00,1.644,1.703,-0.155,4.060,0.580,3.735,0.672,1.435,1.569,1.808,-2.972
Wet,Livistona australis,Livaus,103.3,62.65,0.175,1498699,0.58,3314,12.4,22.5,23.2,45.7,0.0012,0.79,0.21,0.39,0.40,58.10,2.014,1.797,-0.757,6.176,-0.237,3.520,1.093,1.352,1.365,1.660,-2.921
Wet,Lomatia myricoides,Lommyr,171,57.2,0.3,3495,0.5,1667,21.8,11.7,24.4,36.1,0.0013,0.62,0.38,0.20,0.42,57.90,2.233,1.757,-0.523,3.543,-0.301,3.222,1.338,1.068,1.387,1.558,-2.895
Wet,Macrozamia communis,Maccom,41.1,55.8,0.6,367941,2.7,4500,23.2,8.5,25,33.5,0.0056,0.59,0.41,0.15,0.44,56.70,1.614,1.747,-0.222,5.566,0.431,3.653,1.365,0.929,1.398,1.525,-2.248
Wet,Palmeria scandens,Palsca,234,75.3,0.2,5365,0.2,1000,16.4,14.9,30.1,45,0.0007,0.73,0.27,0.24,0.49,61.40,2.369,1.877,-0.699,3.730,-0.699,3.000,1.215,1.173,1.479,1.653,-3.154
Wet,Pomaderris ferruginea,Pomfer,81.2,30.8,0.3,913,0.3,1000,10.1,14.8,26.5,41.3,0.0012,0.80,0.20,0.29,0.52,51.40,1.910,1.489,-0.523,2.960,-0.523,3.000,1.004,1.170,1.423,1.616,-2.905
Wet,Pteridium esculentum,Pteesc,94.5,51,0.31,285807,0.39,1258,18,10.7,22.4,33.1,0.0019,0.65,0.35,0.21,0.44,51.10,1.975,1.708,-0.509,5.456,-0.409,3.100,1.255,1.029,1.350,1.520,-2.720
Wet,Pultenaea daphnoides,Puldap,104.36,65.38,0.255,137.52,0.11,431,14.5,16,14.6,30.6,0.0014,0.68,0.32,0.35,0.32,45.10,2.019,1.815,-0.593,2.138,-0.959,2.635,1.161,1.204,1.164,1.486,-2.857
Wet,Pultenaea flexilis,Pulfle,149.1,77.2,0.33,48.3,0.21,636,13.6,30.4,11.4,41.8,0.0009,0.75,0.25,0.55,0.21,55.40,2.173,1.888,-0.481,1.684,-0.678,2.804,1.134,1.483,1.057,1.621,-3.040
Wet,Ripogonum album,Ripalb,128,66.1,0.28,3881,0.69,2464,18.6,13.5,32.5,46,0.0015,0.71,0.29,0.21,0.50,64.60,2.107,1.820,-0.553,3.589,-0.161,3.392,1.270,1.130,1.512,1.663,-2.838
Wet,Syncarpia glomulifera,Synglo,79.25,44.1,0.245,2898.15,0.635,2592,16.7,11.7,19.2,30.9,0.0021,0.65,0.35,0.25,0.40,47.60,1.899,1.644,-0.611,3.462,-0.197,3.414,1.223,1.068,1.283,1.490,-2.676
Wet,Synoum glandulosum,Syngla,124,64.4,0.31,1036.9,0.18,581,10.8,11.7,12.9,24.6,0.0009,0.69,0.31,0.33,0.36,35.40,2.093,1.809,-0.509,3.016,-0.745,2.764,1.033,1.068,1.111,1.391,-3.060
Wet,Tasmannia insipida,Tasins,,,,,,,23,8.6,13.5,22.1,,0.49,0.51,0.19,0.30,45.10,,,,,,,1.362,0.934,1.130,1.344,
Wet,Trochocarpa laurina,Trolau,119,48,0.26,1236,0.82,3154,12.7,12.8,35.9,48.7,0.0011,0.79,0.21,0.21,0.58,61.40,2.076,1.681,-0.585,3.092,-0.086,3.499,1.104,1.107,1.555,1.688,-2.972
Wet,Wilkiea hueglianna,Wilhue,105,62.8,0.3,4205,0.7,2333,11.5,14.6,25.1,39.7,0.0011,0.78,0.22,0.29,0.49,51.20,2.021,1.798,-0.523,3.624,-0.155,3.368,1.061,1.164,1.400,1.599,-2.960
